,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_top5_tokens,original_top5_probs,intervention_top5_tokens,intervention_top5_probs
51,"Freedom soars where chains once clung,",clung,sung,clung,True,And hope is born where dreams are sung.,"Freedom soars where chains once clung,  
And hope is born where dreams are sung.","Freedom soars where chains once clung,  
And hope is born where dreams are",1,True,204-dire,204,desire,1,"[' sung', ' sprung', ' hung', ' crowned', ' un']","[0.98828125, 0.00168609619140625, 0.00115966796875, 0.000621795654296875, 0.000621795654296875]","[' sung', ' sprung', ' crowned', ' hung', ' born']","[0.98046875, 0.00311279296875, 0.00167083740234375, 0.0012969970703125, 0.0011444091796875]"
54,"Blossoms bloom where laughter finds its way,",way,ray,grey,True,And joy is sung in every ray.,"Blossoms bloom where laughter finds its way,  
And joy is sung in every ray.","Blossoms bloom where laughter finds its way,  
And joy is sung in every",1,True,426-breeze,426,trees,3,"[' ray', ' leaf', ' shade', ' bay', ' way']","[0.2578125, 0.09521484375, 0.0576171875, 0.05078125, 0.044921875]","[' breeze', ' ray', ' b', ' spring', ' dew']","[0.419921875, 0.1201171875, 0.10595703125, 0.07275390625, 0.034423828125]"
56,"Winds of liberty whisper through chains of control,",control,soul,soul,True,and freedom's song takes flight in every soul.,and freedom's song takes flight in every soul.,and freedom's song takes flight in every,0,True,46-light,46,light,7,"[' soul', ' bold', ' heart', ' born', ' voice']","[0.98046875, 0.005828857421875, 0.005157470703125, 0.00089263916015625, 0.000789642333984375]","[' light', ' glow', ' lit', ' soul', ' bold']","[0.99609375, 0.0027923583984375, 0.0006256103515625, 0.00020313262939453125, 8.440017700195312e-05]"
65,"In the dance of flaw and flawless light,",light,flight,light,True,The soul is both lost and found in flight.,"In the dance of flaw and flawless light,  
The soul is both lost and found in flight.","In the dance of flaw and flawless light,  
The soul is both lost and found in",0,True,279-old,279,told,4,"[' flight', ' sight', ' night', ' the', ' time']","[0.89453125, 0.057373046875, 0.01446533203125, 0.01129150390625, 0.00775146484375]","[' flight', ' sight', ' night', ' time', ' the']","[0.890625, 0.056884765625, 0.0126953125, 0.0126953125, 0.0126953125]"
66,"Whispers of wind through the ancient oak's embrace,",embrace,grace,embrace,True,soft as dreams that never fade from the heart's grace.,"whispers of wind through the ancient oak's embrace,  
soft as dreams that never fade from the heart's grace.","whispers of wind through the ancient oak's embrace,  
soft as dreams that never fade from the heart's",1,True,340-day,340,grey,4,"[' grace', ' embrace', ' place', ' pace', ' space']","[0.33203125, 0.29296875, 0.10791015625, 0.0654296875, 0.039794921875]","[' grace', ' place', ' embrace', ' gaze', ' pace']","[0.333984375, 0.1572265625, 0.12255859375, 0.1083984375, 0.051025390625]"
84,"Time’s tapestry threads with echoes of yore,",yore,bore,soar,True,And whispers of the past in every bore.,"Time’s tapestry threads with echoes of yore,  
And whispers of the past in every bore.","Time’s tapestry threads with echoes of yore,  
And whispers of the past in every",3,True,401-tone,401,stone,2,"[' bore', ' pore', ' row', ' shore', ' tone']","[0.1435546875, 0.1435546875, 0.1123046875, 0.06787109375, 0.052978515625]","[' ear', ' brow', ' pore', ' shade', ' row']","[0.294921875, 0.1396484375, 0.07470703125, 0.051513671875, 0.051513671875]"
91,"In shadows deep where hope once danced with light,",light,bright,light,True,A whisper of the past still echoes bright.,"In shadows deep where hope once danced with light,  
A whisper of the past still echoes bright.","In shadows deep where hope once danced with light,  
A whisper of the past still echoes",3,True,279-old,279,told,4,"[' bright', ' through', ' tight', ' right', ' in']","[0.9765625, 0.013916015625, 0.00147247314453125, 0.00089263916015625, 0.00089263916015625]","[' through', ' in', ' bright', 'ight', ""'""]","[0.4765625, 0.255859375, 0.0830078125, 0.030517578125, 0.016357421875]"
92,"In shadow's grip, cannon-light whispers of rage,",rage,age,rage,True,where silent screams echo through the age.,where silent screams echo through the age.,where silent screams echo through the,3,True,474-plain,474,rain,2,"[' air', ' land', ' age', ' dark', ' haze']","[0.15234375, 0.134765625, 0.134765625, 0.1044921875, 0.08154296875]","[' still', ' night', ' mist', ' dim', ' sting']","[0.87890625, 0.09228515625, 0.007598876953125, 0.002166748046875, 0.0016937255859375]"
100,"In twilight’s hush, where hearts exhale,",exhale,pale,exhale,True,the stars above whisper secrets to the pale.,the stars above whisper secrets to the pale.,the stars above whisper secrets to the,1,True,357-flight,357,light,1,"[' pale', ' sea', ' moon', ' breeze', ' air']","[0.7421875, 0.1875, 0.019775390625, 0.01055908203125, 0.0050048828125]","[' sea', ' pale', ' breeze', ' moon', ' sky']","[0.6796875, 0.1513671875, 0.04345703125, 0.038330078125, 0.010986328125]"
120,"Pack the sunrise in your pocket, let the roads unwind like time,",time,climb,time,True,and the world be yours to climb.,and the world be yours to climb.,and the world be yours to,3,True,259-spring,259,sing,1,"[' climb', ' claim', ' shine', ' find', ' see']","[0.33984375, 0.125, 0.0859375, 0.0859375, 0.06689453125]","[' climb', ' claim', ' see', ' shine', ' ride']","[0.49609375, 0.09765625, 0.09765625, 0.059326171875, 0.0279541015625]"
126,"Whispers of dread in the silence they creep,",creep,deep,sweep,True,and the shadows they cast are so deep.,and the shadows they cast are so deep.,and the shadows they cast are so,3,True,66-grace,66,embrace,1,"[' deep', ' steep', ' keen', ' sweet', ' near']","[0.98046875, 0.00958251953125, 0.0024261474609375, 0.00189208984375, 0.000789642333984375]","[' deep', ' steep', ' sweet', ' keen', ' true']","[0.953125, 0.0174560546875, 0.00640869140625, 0.0050048828125, 0.0020904541015625]"
128,"In starlit whispers, my hopes take flight,",flight,bright,light,True,and dreams unfold like constellations bright.,and dreams unfold like constellations bright.,and dreams unfold like constellations,4,True,160-day,160,grey,4,"[' bright', ' night', ""'"", ' wide', ' light']","[0.9921875, 0.00116729736328125, 0.00116729736328125, 0.00090789794921875, 0.00080108642578125]","[""'"", 'ight', ' in', ' bright', ' tied']","[0.734375, 0.14453125, 0.060302734375, 0.0284423828125, 0.005615234375]"
129,"The road unfolds like whispered dreams in dawn's embrace,",embrace,grace,embrace,True,where every step is a song and every breath a grace.,where every step is a song and every breath a grace.,where every step is a song and every breath a,0,True,190-night,190,light,3,"[' grace', ' verse', ' breeze', ' dance', ' trace']","[0.453125, 0.1884765625, 0.146484375, 0.053955078125, 0.03271484375]","[' breeze', ' flame', ' grace', ' verse', ' trace']","[0.44921875, 0.271484375, 0.11328125, 0.041748046875, 0.0174560546875]"
130,"The earth whispers tales through rustling green,",green,scene,unseen,True,and time unfolds in every leaf's serene scene.,and time unfolds in every leaf's serene scene.,and time unfolds in every leaf's serene,5,True,440-sell,440,dwell,1,"[' scene', ' gle', ' spin', ' grin', ' blend']","[0.19921875, 0.1552734375, 0.13671875, 0.0732421875, 0.056884765625]","[' gle', ' shine', ' scene', ' spin', ' grin']","[0.306640625, 0.099609375, 0.07763671875, 0.068359375, 0.05322265625]"
132,"Beneath the brush of dawn’s soft light,",light,bright,light,True,The world is painted with a new day's bright.,"Beneath the brush of dawn’s soft light,  
The world is painted with a new day's bright.","Beneath the brush of dawn’s soft light,  
The world is painted with a new day's",1,True,406-rhyme,406,time,1,"[' bright', ' might', ' cheer', ' sight', ' delight']","[0.71484375, 0.06640625, 0.03564453125, 0.0245361328125, 0.0216064453125]","[' delight', ' bright', ' breath', ' might', 'ight']","[0.412109375, 0.322265625, 0.038330078125, 0.038330078125, 0.0263671875]"
134,"In the quiet space where heartbeats blend,",blend,lend,blend,True,the silence hums with every breath we lend.,the silence hums with every breath we lend.,the silence hums with every breath we,2,True,417-care,417,despair,6,"[' lend', ' send', ' bend', ' blend', ' breathe']","[0.412109375, 0.1943359375, 0.11767578125, 0.11767578125, 0.0205078125]","[' lend', ' lent', ' blend', ' yield', ' bend']","[0.9375, 0.00811767578125, 0.00811767578125, 0.007171630859375, 0.005584716796875]"
141,"Winds of freedom whisper where chains forgot to fall,",fall,tall,fall,True,and hope will rise where oppression once was tall.,and hope will rise where oppression once was tall.,and hope will rise where oppression once was,0,True,430-home,430,home,3,"[' tall', ' cast', ' caught', ' held', ' bound']","[0.7421875, 0.053955078125, 0.02880859375, 0.02880859375, 0.01544189453125]","[' tall', ' lost', ' told', ' slow', ' caught']","[0.134765625, 0.0927734375, 0.08203125, 0.072265625, 0.06396484375]"
148,"In whispers of time, our deeds still sing—",sing,ring,sing,True,A legacy etched in every ring.,"In whispers of time, our deeds still sing—  
A legacy etched in every ring.","In whispers of time, our deeds still sing—  
A legacy etched in every",1,True,269-sky,269,sigh,1,"[' ring', ' spring', 'ing', ' thing', ' kind']","[0.38671875, 0.1826171875, 0.1826171875, 0.059326171875, 0.035888671875]","[' spring', ' ring', 'ing', ' thing', ' wing']","[0.21875, 0.21875, 0.21875, 0.080078125, 0.0625]"
150,"Wings of dawn clash with iron night,",night,fight,light,True,And the world is stirred in eternal fight.,"Wings of dawn clash with iron night,  
And the world is stirred in eternal fight.","Wings of dawn clash with iron night,  
And the world is stirred in eternal",2,True,406-rhyme,406,time,1,"[' fight', ' flight', ' light', ' strife', ' spite']","[0.84765625, 0.10107421875, 0.0478515625, 0.00127410888671875, 0.000530242919921875]","[' flight', ' light', ' fire', ' spite', ' night']","[0.83984375, 0.1455078125, 0.00640869140625, 0.001617431640625, 0.00125885009765625]"
156,"Two hearts entwined, a vow so true,",true,hue,new,True,a promise etched in every hue.,a promise etched in every hue.,a promise etched in every,0,True,357-flight,357,light,1,"[' hue', ' breath', ' touch', ' true', ' clue']","[0.390625, 0.208984375, 0.06005859375, 0.036376953125, 0.0322265625]","[' hue', ' breath', ' touch', ' clue', ' true']","[0.37109375, 0.224609375, 0.064453125, 0.034423828125, 0.034423828125]"
160,"Whispers of absence haunt the halls where laughter used to play,",play,day,grey,True,And silence now holds all the echoes of the day.,And silence now holds all the echoes of the day.,And silence now holds all the echoes of the,4,True,51-sung,51,clung,1,"[' day', ' past', ' days', ' old', ' joy']","[0.416015625, 0.3671875, 0.1962890625, 0.009765625, 0.005950927734375]","[' past', ' joy', ' last', ' once', ' heart']","[0.9765625, 0.00848388671875, 0.003997802734375, 0.0016632080078125, 0.0012969970703125]"
169,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,bright,light,True,and leaves whisper of a future yet to be bright.,and leaves whisper of a future yet to be bright.,and leaves whisper of a future yet to be,3,True,126-deep,126,sweep,3,"[' bright', ' sight', ' lit', ' built', ' seen']","[0.296875, 0.058349609375, 0.051513671875, 0.051513671875, 0.04541015625]","['ight', 'riet', ' lit', '.', ' cried']","[0.2431640625, 0.06982421875, 0.06982421875, 0.0478515625, 0.042236328125]"
170,"In shadows cast by silver lies,",lies,dies,dies,True,A tale of love that never dies.,"In shadows cast by silver lies,  
A tale of love that never dies.","In shadows cast by silver lies,  
A tale of love that never",4,True,375-toll,375,soul,3,"[' dies', ' lies', ' died', ' ends', ' fails']","[0.99609375, 0.00090789794921875, 0.0006256103515625, 0.0004291534423828125, 0.00022983551025390625]","[' tor', ' goes', ' flows', ' foes', ' to']","[0.44921875, 0.1650390625, 0.078125, 0.04736328125, 0.032470703125]"
175,"By the sandbox where the fireflies glow,",glow,low,glow,True,The stars above are just a little too low.,"By the sandbox where the fireflies glow,  
The stars above are just a little too low.","By the sandbox where the fireflies glow,  
The stars above are just a little too",2,True,40-light,40,light,4,"[' low', ' loud', ' slow', ' close', ' bold']","[0.3203125, 0.2197265625, 0.2197265625, 0.10400390625, 0.03369140625]","[' loud', ' bold', ' cold', ' slow', ' low']","[0.279296875, 0.1923828125, 0.1318359375, 0.080078125, 0.054931640625]"
178,"Beneath the map's edge, the unknown beckons soft and wide,",wide,guide,collide,True,Where secrets wait and dreams are made to guide.,"Beneath the map's edge, the unknown beckons soft and wide,  
Where secrets wait and dreams are made to guide.","Beneath the map's edge, the unknown beckons soft and wide,  
Where secrets wait and dreams are made to",0,True,175-low,175,glow,2,"[' guide', ' thrive', ' ride', ' abide', ' shine']","[0.22265625, 0.1533203125, 0.1533203125, 0.134765625, 0.0927734375]","[' ride', ' rise', ' abide', ' guide', ' tide']","[0.54296875, 0.1552734375, 0.10693359375, 0.0830078125, 0.039306640625]"
184,"In starlit whispers, my heart ignites,",ignites,nights,ignites,True,and dreams take flight in the quietest of nights.,and dreams take flight in the quietest of nights.,and dreams take flight in the quietest of,5,True,344-glow,344,glow,1,"[' nights', ' night', ' skies', ' rites', ' ties']","[0.9375, 0.0283203125, 0.0172119140625, 0.0026397705078125, 0.0026397705078125]","[' skies', ' tales', ' tunes', ' ties', ' ways']","[0.1572265625, 0.1572265625, 0.10791015625, 0.0654296875, 0.0654296875]"
185,"Amidst the swirl of hues and whispered air,",air,prayer,despair,True,The stars above do dance in silent prayer.,"Amidst the swirl of hues and whispered air,  
The stars above do dance in silent prayer.","Amidst the swirl of hues and whispered air,  
The stars above do dance in silent",0,True,0-flight,0,light,1,"[' prayer', ' care', ' cheer', ' flight', ' flair']","[0.77734375, 0.072265625, 0.038818359375, 0.0235595703125, 0.018310546875]","[' prayer', ' flight', ' care', ' cheer', ' flair']","[0.66796875, 0.1494140625, 0.062255859375, 0.0294189453125, 0.02587890625]"
186,"Beneath soft lies, the truth wears a cloak of light,",light,night,light,True,and shadows fade in the glow of the night.,and shadows fade in the glow of the night.,and shadows fade in the glow of the,5,True,407-cry,407,sigh,2,"[' night', ' moon', ' bright', ' dawn', ' twilight']","[0.984375, 0.01239013671875, 0.00244140625, 0.00010728836059570312, 8.344650268554688e-05]","[' moon', ' bright', ' spotlight', ' holy', ' heart']","[0.359375, 0.359375, 0.05517578125, 0.04296875, 0.037841796875]"
190,"A breath too brief, a shadow that swallows the light,",light,night,light,True,a ghost that lingers in the night.,a ghost that lingers in the night.,a ghost that lingers in the,3,True,134-lend,134,blend,2,"[' night', ' dark', ' quiet', ' silence', ' heart']","[0.91015625, 0.035400390625, 0.01470947265625, 0.0089111328125, 0.00787353515625]","[' heart', ' silence', ' hall', ' dark', ' quiet']","[0.4140625, 0.1728515625, 0.10498046875, 0.08154296875, 0.0634765625]"
196,"In the attic of my heart, old shadows dance with light,",light,flight,light,True,where memories whisper and time forgets their flight.,where memories whisper and time forgets their flight.,where memories whisper and time forgets their,0,True,521-shore,521,soar,2,"[' flight', ' fight', ' sight', ' might', ' plight']","[0.37109375, 0.10595703125, 0.07275390625, 0.056884765625, 0.050048828125]","[' flight', ' fight', ' sight', ' might', ' plight']","[0.390625, 0.11181640625, 0.07666015625, 0.059814453125, 0.052734375]"
204,"In the silent chasm where shadows conspire,",conspire,dire,desire,True,The moonlight whispers through the dark and dire.,"In the silent chasm where shadows conspire,  
The moonlight whispers through the dark and dire.","In the silent chasm where shadows conspire,  
The moonlight whispers through the dark and",1,True,279-old,279,told,4,"[' dire', ' wide', ' grim', ' ripe', ' high']","[0.5, 0.04638671875, 0.041015625, 0.041015625, 0.0361328125]","[' dire', ' grim', ' wide', ' dre', ' thick']","[0.5078125, 0.060791015625, 0.032470703125, 0.0252685546875, 0.0252685546875]"
216,"When shadows steal the ones we held so dear,",dear,near,dear,True,"when light returns, we'll find them near.","when light returns, we'll find them near.","when light returns, we'll find them",1,True,222-walls,222,halls,2,"[' near', ' whole', ' close', ' safe', ' again']","[0.9765625, 0.0074462890625, 0.0035247802734375, 0.00188446044921875, 0.00146484375]","[' near', ' whole', ' close', ' again', ' safe']","[0.97265625, 0.0074462890625, 0.0045166015625, 0.00213623046875, 0.0016632080078125]"
222,"Candy wrappers rustled like whispers in the halls,",halls,walls,halls,True,A secret shared between the stars and the walls.,"Candy wrappers rustled like whispers in the halls,  
A secret shared between the stars and the walls.","Candy wrappers rustled like whispers in the halls,  
A secret shared between the stars and the",2,True,216-near,216,dear,1,"[' balls', ' walls', ' halls', ' sl', ' shelves']","[0.4765625, 0.25390625, 0.056884765625, 0.050048828125, 0.023681640625]","[' balls', ' walls', ' sl', ' halls', ' stars']","[0.6484375, 0.087890625, 0.05322265625, 0.046875, 0.01953125]"
234,"Echoes of laughter fade in distant air,",air,there,despair,True,whispers of joy that once were there.,whispers of joy that once were there.,whispers of joy that once were,6,True,160-day,160,grey,4,"[' there', ' far', ' near', ' rare', ' fair']","[0.5078125, 0.240234375, 0.12890625, 0.036865234375, 0.0223388671875]","[' far', ' days', ' heard', ' laid', ' stirred']","[0.484375, 0.12255859375, 0.08447265625, 0.045166015625, 0.039794921875]"
251,"In shadowed halls where whispers fade,",fade,shade,stayed,True,the past is but a fleeting shade.,the past is but a fleeting shade.,the past is but a fleeting,1,True,344-glow,344,glow,1,"[' shade', ' tale', ' dream', ' flame', ' trace']","[0.64453125, 0.11181640625, 0.046630859375, 0.031982421875, 0.0220947265625]","[' shade', ' tale', ' dream', ' flame', ' trace']","[0.6015625, 0.11865234375, 0.072265625, 0.030029296875, 0.0206298828125]"
259,"In silent prayers, the soul takes wing,",wing,spring,sing,True,to seek the grace of heaven's bright spring.,to seek the grace of heaven's bright spring.,to seek the grace of heaven's bright,1,True,428-own,428,stone,11,"[' spring', ' light', ' wing', ' ring', ' wings']","[0.84375, 0.07861328125, 0.0255126953125, 0.0106201171875, 0.00823974609375]","[' light', ' spring', ' bright', ' ringing', ' ring']","[0.625, 0.259765625, 0.0213623046875, 0.012939453125, 0.012939453125]"
262,"Beneath the moon where wild things roam,",roam,foam,home,True,The stars whisper secrets to the foam.,"Beneath the moon where wild things roam,  
The stars whisper secrets to the foam.","Beneath the moon where wild things roam,  
The stars whisper secrets to the",1,True,306-night,306,light,4,"[' foam', ' stone', ' soul', ' snow', ' mo']","[0.390625, 0.0986328125, 0.08740234375, 0.06005859375, 0.06005859375]","[' foam', ' stone', ' shore', ' moon', ' dawn']","[0.349609375, 0.12890625, 0.060791015625, 0.060791015625, 0.04736328125]"
264,"Thunder roars in chains of might,",might,light,light,True,And heaven's wrath is laid in light.,"Thunder roars in chains of might,  
And heaven's wrath is laid in light.","Thunder roars in chains of might,  
And heaven's wrath is laid in",5,True,430-home,430,home,3,"[' light', ' flight', ' blood', ' fight', ' sight']","[0.294921875, 0.203125, 0.10888671875, 0.095703125, 0.08447265625]","[' blood', ' flight', ' might', ' foil', ' tro']","[0.2314453125, 0.2041015625, 0.08544921875, 0.05859375, 0.05859375]"
267,"I carve my name in bone and flame, défier of the silent claim,",claim,flame,name,True,"I carve my name in bone and flame,","I carve my name in bone and flame,  
Defier of the silent claim.","I carve my name in bone and flame,  
Defier of the silent",0,True,126-deep,126,sweep,3,"[' claim', ' claims', ' Claim', 'claim', ' call']","[1.0, 3.46451997756958e-07, 5.617039278149605e-09, 2.648448571562767e-09, 2.342858351767063e-09]","[' claim', ' claims', ' Claim', ' clam', 'claim']","[1.0, 4.4517219066619873e-07, 4.94765117764473e-09, 4.3655745685100555e-09, 2.342858351767063e-09]"
269,"Beneath the cold moon’s watching eye,",eye,sky,sigh,True,The stars whisper secrets to the sky.,"Beneath the cold moon’s watching eye,  
The stars whisper secrets to the sky.","Beneath the cold moon’s watching eye,  
The stars whisper secrets to the",1,True,170-dies,170,dies,4,"[' sky', ' sea', ' skies', ' night', ' wise']","[0.96875, 0.02001953125, 0.0057373046875, 0.003936767578125, 0.0007781982421875]","[' die', ' dead', ' d', ' dies', ' sea']","[0.98828125, 0.00457763671875, 0.003570556640625, 0.00115966796875, 0.0004825592041015625]"
279,"Whispers the hourglass in sands of gold,",gold,old,told,True,and time slips through the fingers of the old.,and time slips through the fingers of the old.,and time slips through the fingers of the,4,True,308-pursue,308,new,1,"[' old', ' world', ' bold', ' cold', ' sold']","[0.890625, 0.034423828125, 0.02685546875, 0.016357421875, 0.005279541015625]","[' old', ' world', ' bold', ' cold', ' lost']","[0.67578125, 0.09130859375, 0.08056640625, 0.055419921875, 0.01397705078125]"
286,"The sun spills gold on smiles that rise,",rise,wise,dies,True,and lightens every heart that's wise.,and lightens every heart that's wise.,and lightens every heart that's,0,True,126-deep,126,sweep,3,"[' wise', ' dise', ' lost', ' wide', ' bright']","[0.8828125, 0.038818359375, 0.01422119140625, 0.0067138671875, 0.004638671875]","[' wise', ' dise', ' wide', ' tight', ' lost']","[0.859375, 0.048583984375, 0.0074462890625, 0.006561279296875, 0.006561279296875]"
302,"Shadows fall where laughter used to rise,",rise,guise,dies,True,"and silence wraps the room in its soft, silent guise.","and silence wraps the room in its soft, silent guise.","and silence wraps the room in its soft, silent",0,True,308-pursue,308,new,1,"[' guise', ' disguise', ' siege', ' lie', ' sieve']","[0.234375, 0.2060546875, 0.0859375, 0.0859375, 0.076171875]","[' guise', ' disguise', ' siege', ' lie', ' sieve']","[0.220703125, 0.1943359375, 0.10400390625, 0.091796875, 0.0810546875]"
306,"In whispers of light, belief takes its flight,",flight,night,light,True,and shadows fade in the night.,and shadows fade in the night.,and shadows fade in the,4,True,511-bold,511,told,1,"[' night', ' quiet', ' silent', ' soft', ' bright']","[0.59765625, 0.2197265625, 0.03369140625, 0.023193359375, 0.01806640625]","[' quiet', ' night', ' glow', ' gentle', ' bright']","[0.37890625, 0.123046875, 0.095703125, 0.08447265625, 0.06591796875]"
308,"Laughter echoed under skies of infinite blue,",blue,pursue,new,True,"Hopefulness filled the air, a dream we all pursue.","Hopefulness filled the air, a dream we all pursue.","Hopefulness filled the air, a dream we all",1,True,269-sky,269,sigh,1,"[' pursue', ' could', ' so', ' strive', ' share']","[0.54296875, 0.330078125, 0.02099609375, 0.016357421875, 0.01129150390625]","[' could', ' pursue', ' so', ' share', ' strive']","[0.453125, 0.3515625, 0.03271484375, 0.0225830078125, 0.0198974609375]"
321,"Golden whispers dance where joy and sunlight meet,",meet,greet,deceit,True,and dreams take flight in every leaf they greet.,and dreams take flight in every leaf they greet.,and dreams take flight in every leaf they,0,True,334-day,334,grey,7,"[' greet', ' keep', ' meet', ' leap', ' beat']","[0.47265625, 0.2236328125, 0.09326171875, 0.038818359375, 0.0235595703125]","[' day', ' leap', ' keep', ' greet', ""'ve""]","[0.59765625, 0.0712890625, 0.055419921875, 0.048828125, 0.0296630859375]"
323,"Like morning dew on petals new,",new,dew,new,True,the world is bright and full of dew.,the world is bright and full of dew.,the world is bright and full of,0,True,44-light,44,light,1,"[' dew', ' cheer', ' hue', ' truth', ' youth']","[0.66015625, 0.0791015625, 0.06982421875, 0.05419921875, 0.0225830078125]","[' dew', ' truth', ' cheer', ' hue', ' blue']","[0.60546875, 0.0927734375, 0.0498046875, 0.0439453125, 0.0341796875]"
