,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_top5_tokens,original_top5_probs,intervention_top5_tokens,intervention_top5_probs
35,"Justice weeps in shadowed halls,",halls,walls,halls,True,Light breaks through the silent walls.,Light breaks through the silent walls.,Light breaks through the silent,3,True,267-name,267,name,2,"[' walls', ' glo', ' toll', ' night', ' dawn']","[0.67578125, 0.055419921875, 0.0179443359375, 0.016845703125, 0.014892578125]","[' glo', ' night', ' toll', ' walls', ' dark']","[0.41015625, 0.1708984375, 0.11767578125, 0.03173828125, 0.0279541015625]"
38,"Anger boils like storm in night,",night,bright,light,True,Fire burns the sky bright.,Fire burns the sky bright.,Fire burns the sky,2,True,116-hell,116,dwell,4,"[' so', ""'s"", ' with', ' bright', ' in']","[0.62890625, 0.140625, 0.1240234375, 0.045654296875, 0.01904296875]","[' so', ""'s"", ' with', ' to', '.']","[0.62890625, 0.26171875, 0.035400390625, 0.01385498046875, 0.01080322265625]"
40,"Whispers coil like shadows, cold and tight,",tight,night,light,True,Flicker faintly in the night.,Flicker faintly in the night.,Flicker faintly in the,12,True,57-spring,57,sing,5,"[' night', ' moon', ' dim', ' pale', ' dark']","[0.357421875, 0.19140625, 0.1025390625, 0.0703125, 0.06201171875]","[' dim', ' dying', ' fading', ' hollow', ' pale']","[0.44140625, 0.1630859375, 0.1435546875, 0.052734375, 0.046630859375]"
41,"Like sunlight breaking through the clouds of gray,",gray,day,grey,True,A promise of dawn in the hush of day.,"Like sunlight breaking through the clouds of gray,  
A promise of dawn in the hush of day.","Like sunlight breaking through the clouds of gray,  
A promise of dawn in the hush of",8,True,40-night,40,light,12,"[' day', ' the', ' night', ' Day', 'day']","[0.84765625, 0.1474609375, 0.003936767578125, 3.8623809814453125e-05, 3.0040740966796875e-05]","[' the', ' night', "" '"", ' each', ' a']","[1.0, 8.487701416015625e-05, 6.139278411865234e-06, 5.424022674560547e-06, 5.424022674560547e-06]"
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,hold,told,True,A silent dance in the wind's soft hold.,A silent dance in the wind's soft hold.,A silent dance in the wind's soft,4,True,227-stark,227,dark,4,"[' hold', ' call', ' song', ' sigh', ' tune']","[0.345703125, 0.3046875, 0.208984375, 0.031982421875, 0.031982421875]","[' sigh', ' song', ' call', ' tune', ' hold']","[0.408203125, 0.248046875, 0.1708984375, 0.08056640625, 0.026123046875]"
44,"The shadows stretch where laughter once was bright,",bright,tight,light,True,"The night now whispers, cold and tight.","The night now whispers, cold and tight.","The night now whispers, cold and",1,True,48-grace,48,embrace,1,"[' tight', ' deep', ' bright', ' thin', ' slight']","[0.48828125, 0.109375, 0.0849609375, 0.058349609375, 0.051513671875]","[' tight', ' deep', ' bright', ' slight', ' thin']","[0.484375, 0.2021484375, 0.07421875, 0.051025390625, 0.039794921875]"
45,"Beneath the canvas of twilight's embrace,",embrace,grace,embrace,True,The stars begin to twinkle in the silent grace.,The stars begin to twinkle in the silent grace.,The stars begin to twinkle in the silent,0,True,208-light,208,light,11,"[' grace', ' space', ' haze', ' place', ' chase']","[0.53515625, 0.32421875, 0.0439453125, 0.0301513671875, 0.018310546875]","[' l', ' lace', ' grace', ' haze', 'lace']","[0.99609375, 0.001922607421875, 0.00090789794921875, 0.00022983551025390625, 0.0001583099365234375]"
48,"Stars map my longing in the heavens’ sly embrace,",embrace,grace,embrace,True,Moonlight whispers secrets through the night’s soft grace.,Moonlight whispers secrets through the night’s soft grace.,Moonlight whispers secrets through the night’s soft,1,True,221-sky,221,sigh,11,"[' grace', ' lace', ' veil', ' trace', ' gaze']","[0.44921875, 0.349609375, 0.041748046875, 0.036865234375, 0.032470703125]","[' sky', ' skies', ' blue', ' gray', ' heavens']","[0.99609375, 0.002471923828125, 0.0003795623779296875, 0.00012302398681640625, 0.0001087188720703125]"
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,grown,stone,True,A tale of the seeds I have grown.,A tale of the seeds I have grown.,A tale of the seeds I have,6,True,38-bright,38,light,2,"[' grown', ' s', ' yet', ' let', ' pl']","[0.578125, 0.310546875, 0.037109375, 0.019775390625, 0.01202392578125]","[' yet', ' let', ' s', ' been', ' poured']","[0.29296875, 0.10107421875, 0.10107421875, 0.047607421875, 0.0419921875]"
50,"In whispers of light, the soul finds its creed,",creed,need,creed,True,A silent prayer in the hush of the need.,"In whispers of light, the soul finds its creed,  
A silent prayer in the hush of the need.","In whispers of light, the soul finds its creed,  
A silent prayer in the hush of the",1,True,85-walls,85,halls,3,"[' need', ' deep', ' seed', ' deed', ' me']","[0.8984375, 0.0186767578125, 0.0164794921875, 0.0164794921875, 0.0087890625]","[' need', ' deep', ' seed', ' dead', ' me']","[0.84375, 0.047607421875, 0.0198974609375, 0.0174560546875, 0.01202392578125]"
53,"The reaper’s shadow lengthens with the noon,",noon,tune,noon,True,A silent hymn to time’s unyielding tune.,"The reaper’s shadow lengthens with the noon,  
A silent hymn to time’s unyielding tune.","The reaper’s shadow lengthens with the noon,  
A silent hymn to time’s unyielding",5,True,290-disguise,290,dies,1,"[' tune', ' crown', ' song', ' noon', ' doom']","[0.89453125, 0.03466796875, 0.0306396484375, 0.00604248046875, 0.0050048828125]","[' tune', ' crown', ' song', ' noon', ' throne']","[0.91015625, 0.0274658203125, 0.0274658203125, 0.004791259765625, 0.0032806396484375]"
54,"Blossoms bloom where laughter finds its way,",way,day,grey,True,Winds carry the scent of spring's day.,Winds carry the scent of spring's day.,Winds carry the scent of spring's,17,True,58-sky,58,sigh,10,"[' display', ' day', ' delight', ' delay', ' sweet']","[0.4375, 0.20703125, 0.142578125, 0.059326171875, 0.035888671875]","[' embrace', ' delight', ' sweet', ' parade', ' display']","[0.318359375, 0.21875, 0.1708984375, 0.08056640625, 0.043212890625]"
57,Whispers of velvet and hues that sing—,sing,spring,sing,True,A symphony of night's gentle spring.,A symphony of night's gentle spring.,A symphony of night's gentle,5,True,221-sky,221,sigh,11,"[' spring', ' wing', ' sting', ' king', ' thing']","[0.55859375, 0.12451171875, 0.10986328125, 0.058837890625, 0.058837890625]","[' sky', ' Sky', ' skies', 'sky', '天空']","[1.0, 5.14984130859375e-05, 4.5299530029296875e-05, 1.895427703857422e-05, 2.562999725341797e-06]"
58,"A shadow fades where the flame won’t die,",die,sky,sigh,True,A ghostly whisper lingers in the sky.,A ghostly whisper lingers in the sky.,A ghostly whisper lingers in the,10,True,127-meek,127,speak,1,"[' sky', ' night', ' sigh', ' cry', ' gray']","[0.9765625, 0.015869140625, 0.0045166015625, 0.0004215240478515625, 0.00012874603271484375]","[' sky', ' sigh', ' night', ' cry', ' light']","[0.95703125, 0.017578125, 0.017578125, 0.00238037109375, 0.0004673004150390625]"
59,"Whispers through the grass where the wild things dance,",dance,glance,dance,True,"Beneath the moon's soft, silver glance.","Beneath the moon's soft, silver glance.","Beneath the moon's soft, silver",2,True,252-mind,252,wind,16,"[' glance', ' lance', ' trance', ' chance', ' grace']","[0.51171875, 0.2138671875, 0.1474609375, 0.08935546875, 0.0120849609375]","[' gaze', ' mind', ' lance', ' glance', ' face']","[0.33203125, 0.29296875, 0.1572265625, 0.07421875, 0.0654296875]"
60,"A bond unspoken, yet deep as the sea,",sea,free,sea,True,A heart that knows the truth without being free.,A heart that knows the truth without being free.,A heart that knows the truth without being,6,True,208-light,208,light,11,"[' free', ' seen', ' near', ' told', ' freed']","[0.859375, 0.1025390625, 0.0228271484375, 0.01226806640625, 0.000782012939453125]","[' l', ' seen', ' told', ' L', '.l']","[1.0, 0.0002460479736328125, 0.0001583099365234375, 0.0001392364501953125, 0.00012302398681640625]"
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,grace,embrace,True,A gentle thaw begins to grace.,A gentle thaw begins to grace.,A gentle thaw begins to,1,True,227-stark,227,dark,4,"[' wake', ' grace', ' weave', ' trace', ' spread']","[0.32421875, 0.22265625, 0.134765625, 0.134765625, 0.0341796875]","[' wake', ' grace', ' weave', ' trace', ' sway']","[0.412109375, 0.3203125, 0.1181640625, 0.038330078125, 0.0205078125]"
65,"In the dance of flaw and flawless light,",light,night,light,True,Shadows twirl in silent night.,Shadows twirl in silent night.,Shadows twirl in silent,3,True,58-sky,58,sigh,10,"[' night', ' flight', ' delight', ' fight', ' white']","[0.337890625, 0.337890625, 0.109375, 0.08544921875, 0.03564453125]","[' flight', ' dialogue', ' twilight', ' defiance', ' contrast']","[0.294921875, 0.2021484375, 0.138671875, 0.07421875, 0.07421875]"
66,"Whispers of wind through the ancient oak's embrace,",embrace,trace,embrace,True,A secret song only the trees can trace.,"Whispers of wind through the ancient oak's embrace,  
A secret song only the trees can trace.","Whispers of wind through the ancient oak's embrace,  
A secret song only the trees can",19,True,182-back,182,track,3,"[' trace', ' grace', 'trace', ' taste', ' chase']","[0.99609375, 0.00131988525390625, 0.00090789794921875, 0.000179290771484375, 0.0001583099365234375]","['.', ' to', ' can', ',', ' could']","[0.81640625, 0.125, 0.05224609375, 0.0033416748046875, 0.00122833251953125]"
67,"In mirrored shades where shadow dares to creep,",creep,keep,sweep,True,A whisper of dusk in silent keep.,"In mirrored shades where shadow dares to creep,  
A whisper of dusk in silent keep.","In mirrored shades where shadow dares to creep,  
A whisper of dusk in silent",3,True,269-sky,269,sigh,8,"[' keep', ' deep', ' sleep', ' steep', ' keeps']","[0.439453125, 0.388671875, 0.0595703125, 0.041015625, 0.01708984375]","[' sky', ' deep', ' skies', ' steep', ' blue']","[0.828125, 0.052978515625, 0.046630859375, 0.01953125, 0.01336669921875]"
76,"Colors whisper tales in hues once unknown,",unknown,stone,stone,True,Scattering light through every shadowed stone.,Scattering light through every shadowed stone.,Scattering light through every shadowed,8,True,272-dawn,272,dawn,2,"[' stone', ' bone', ' gro', ' tone', ' zone']","[0.671875, 0.07080078125, 0.07080078125, 0.07080078125, 0.033447265625]","[' stone', ' zone', ' tone', ' gro', ' bone']","[0.53125, 0.10498046875, 0.08154296875, 0.072265625, 0.0634765625]"
81,"Whispers of winds through ancient green trees,",trees,seas,trees,True,Singing tales of time and silent seas.,"Whispers of winds through ancient green trees,  
Singing tales of time and silent seas.","Whispers of winds through ancient green trees,  
Singing tales of time and silent",5,True,91-night,91,light,12,"[' seas', ' dreams', ' keys', ' ease', ' grace']","[0.267578125, 0.1845703125, 0.1845703125, 0.0771484375, 0.046630859375]","[' dreams', ' nights', ' seas', ' seeds', ' years']","[0.458984375, 0.404296875, 0.033203125, 0.02587890625, 0.017822265625]"
85,"Justice weeps in shadowed halls,",halls,walls,halls,True,Light breaks through the silent walls.,Light breaks through the silent walls.,Light breaks through the silent,3,True,100-unveil,100,exhale,2,"[' walls', ' glo', ' toll', ' night', ' dawn']","[0.67578125, 0.055419921875, 0.0179443359375, 0.016845703125, 0.014892578125]","[' glo', ' night', ' toll', ' walls', ' dawn']","[0.326171875, 0.2236328125, 0.09326171875, 0.05322265625, 0.0322265625]"
91,"In shadows deep where hope once danced with light,",light,night,light,True,A silent night.,A silent night.,A silent,12,True,127-meek,127,speak,1,"[' night', ' stage', ' ghost', ' scream', ' reign']","[0.9921875, 0.00131988525390625, 0.00115966796875, 0.0010223388671875, 0.00054931640625]","[' stage', ' scream', ' world', ' ghost', ' w']","[0.21875, 0.1708984375, 0.1708984375, 0.0712890625, 0.06298828125]"
92,"In shadow's grip, cannon-light whispers of rage,",rage,stage,rage,True,A silent scream in the darkened stage.,A silent scream in the darkened stage.,A silent scream in the darkened,6,True,169-flight,169,light,14,"[' stage', ' age', ' cage', ' rage', ' page']","[0.671875, 0.2177734375, 0.048583984375, 0.017822265625, 0.01226806640625]","[' f', ' flight', ' age', ' fl', ' fight']","[0.365234375, 0.365234375, 0.07177734375, 0.05615234375, 0.041015625]"
100,"In twilight’s hush, where hearts exhale,",exhale,unveil,exhale,True,The stars above begin to unveil.,The stars above begin to unveil.,The stars above begin to,2,True,182-back,182,track,3,"[' unveil', ' gle', ' reveal', ' tw', ' pale']","[0.251953125, 0.1962890625, 0.134765625, 0.09228515625, 0.049560546875]","[' gle', ' unveil', ' reveal', ' tw', ' sail']","[0.31640625, 0.1923828125, 0.1025390625, 0.1025390625, 0.054931640625]"
101,"The shadows whisper threats they cannot name,",name,shame,name,True,The night holds its breath in silent shame.,The night holds its breath in silent shame.,The night holds its breath in silent,1,True,227-stark,227,dark,4,"[' shame', ' fame', ' flame', ' game', ' blame']","[0.640625, 0.08642578125, 0.076171875, 0.0595703125, 0.052490234375]","[' shame', ' game', ' fame', ' flame', ' blame']","[0.45703125, 0.16796875, 0.08984375, 0.08984375, 0.07958984375]"
104,"Footprints in the dust of days gone by,",by,sigh,sigh,True,Whispers of the past in every sigh.,Whispers of the past in every sigh.,Whispers of the past in every,8,True,4-sublime,4,time,3,"[' sigh', ' step', ' stride', ' cry', ' lie']","[0.984375, 0.005859375, 0.005157470703125, 0.0027618408203125, 0.000896453857421875]","[' step', ' sigh', ' stride', ' cry', ' spy']","[0.8671875, 0.103515625, 0.0179443359375, 0.005157470703125, 0.00115203857421875]"
111,"The thunder in his chest begins to roar,",roar,shore,soar,True,The storm inside him breaks the shore.,The storm inside him breaks the shore.,The storm inside him breaks the,5,True,269-sky,269,sigh,8,"[' shore', ' floor', ' door', ' core', ' doors']","[0.765625, 0.150390625, 0.08056640625, 0.0027618408203125, 0.0004787445068359375]","[' sky', ' skies', ' heavens', ' blue', ' sk']","[1.0, 0.00150299072265625, 0.0001087188720703125, 3.528594970703125e-05, 2.753734588623047e-05]"
116,"Silent nights where echoes dwell,",dwell,hell,dwell,True,Whispers hush the trembling hell.,Whispers hush the trembling hell.,Whispers hush the trembling,4,True,150-flight,150,light,4,"[' hell', ' shell', ' bell', ' dell', ' spell']","[0.53125, 0.1953125, 0.08154296875, 0.0299072265625, 0.0233154296875]","[' shell', ' hell', ' steel', ' soul', ' swell']","[0.296875, 0.1240234375, 0.0849609375, 0.0517578125, 0.048583984375]"
118,"Autumn's breath whispers through the trees,",trees,breeze,trees,True,Gold leaves dance in silent breeze.,Gold leaves dance in silent breeze.,Gold leaves dance in silent,0,True,59-glance,59,dance,2,"[' grace', ' breeze', ' ease', ' dreams', ' keys']","[0.326171875, 0.326171875, 0.07275390625, 0.0390625, 0.0303955078125]","[' grace', ' breeze', ' pleas', ' praise', ' flight']","[0.53125, 0.28515625, 0.0234375, 0.0234375, 0.0234375]"
124,"In the quiet dawn, where prayers and petals rise,",rise,skies,dies,True,Whispers of hope through the morning skies.,Whispers of hope through the morning skies.,Whispers of hope through the morning,7,True,50-need,50,creed,1,"[' skies', ' sky', ' mist', ' light', ' sigh']","[0.86328125, 0.0625, 0.0260009765625, 0.0260009765625, 0.00579833984375]","[' light', ' skies', ' mist', ' haze', ' sigh']","[0.451171875, 0.212890625, 0.146484375, 0.039306640625, 0.039306640625]"
126,"Whispers of dread in the silence they creep,",creep,sleep,sweep,True,Shadows of fear in the dark they sleep.,Shadows of fear in the dark they sleep.,Shadows of fear in the dark they,7,True,189-bright,189,light,2,"[' sleep', ' leap', ' creep', ' keep', ' appear']","[0.41015625, 0.2197265625, 0.2197265625, 0.091796875, 0.01239013671875]","[' leap', ' appear', ' we', ' keep', ' repeat']","[0.298828125, 0.263671875, 0.181640625, 0.125, 0.0458984375]"
127,"In twilight's hush, where shadows dare to speak,",speak,meek,speak,True,The stars above whisper secrets to the meek.,The stars above whisper secrets to the meek.,The stars above whisper secrets to the,1,True,242-night,242,light,5,"[' me', ' moon', ' sea', ' night', ' deep']","[0.5390625, 0.25390625, 0.07275390625, 0.038818359375, 0.034423828125]","[' sea', ' moon', ' night', ' weak', ' deep']","[0.55859375, 0.298828125, 0.031494140625, 0.0245361328125, 0.0216064453125]"
132,"Beneath the brush of dawn’s soft light,",light,might,light,True,The sky blushes with morning's might.,The sky blushes with morning's might.,The sky blushes with morning's,2,True,25-play,25,grey,5,"[' might', ' fight', ' pride', ' fire', ' flight']","[0.11474609375, 0.11474609375, 0.08935546875, 0.08935546875, 0.06982421875]","[' hue', ' grace', ' bright', ' glow', ' delight']","[0.1630859375, 0.14453125, 0.14453125, 0.0771484375, 0.0771484375]"
133,"The hush of time whispers tales of the old,",old,cold,told,True,A ghostly echo in the silent cold.,"The hush of time whispers tales of the old,  
A ghostly echo in the silent cold.","The hush of time whispers tales of the old,  
A ghostly echo in the silent",4,True,218-leap,218,sweep,14,"[' cold', ' fold', ' hold', ' mold', ' gold']","[0.37109375, 0.2890625, 0.1982421875, 0.08251953125, 0.01434326171875]","[' fold', ' hold', ' cold', ' tread', ' field']","[0.2275390625, 0.2138671875, 0.06494140625, 0.044677734375, 0.0419921875]"
136,"Through storms of time, our roots hold fast,",fast,past,past,True,"We stand as one, through every past.","Through storms of time, our roots hold fast,  
We stand as one, through every past.","Through storms of time, our roots hold fast,  
We stand as one, through every",8,True,28-day,28,grey,14,"[' past', ' test', ' pass', ' blast', ' cost']","[0.65625, 0.166015625, 0.0888671875, 0.047607421875, 0.00567626953125]","[' day', ' days', 'day', '-day', ' dark']","[1.0, 1.0654330253601074e-06, 1.0654330253601074e-06, 3.9301812648773193e-07, 3.0547380447387695e-07]"
138,"Whispers of winds through ancient tree songs flow,",flow,slow,glow,True,"Leaves in a dance, soft and slow.","Leaves in a dance, soft and slow.","Leaves in a dance, soft and",6,True,285-throng,285,belong,4,"[' slow', ' low', ' free', ' true', ' light']","[0.97265625, 0.02294921875, 0.0016632080078125, 0.000225067138671875, 0.00017452239990234375]","[' free', ' slow', ' true', ' low', ' snow']","[0.53125, 0.322265625, 0.05615234375, 0.0234375, 0.01611328125]"
139,"Whispers of crimson, symphonies in every thread,",thread,bed,thread,True,"A tapestry of passion, woven through the bed.","A tapestry of passion, woven through the bed.","A tapestry of passion, woven through the",0,True,53-tune,53,noon,5,"[' bed', ' dead', ' thread', ' night', ' head']","[0.625, 0.10888671875, 0.035400390625, 0.035400390625, 0.0189208984375]","[' bed', ' dead', ' creed', ' thread', ' night']","[0.6953125, 0.0830078125, 0.0238037109375, 0.0238037109375, 0.0185546875]"
148,"In whispers of time, our deeds still sing—",sing,sting,sing,True,A tale etched in the wind's soft sting.,A tale etched in the wind's soft sting.,A tale etched in the wind's soft,6,True,126-sleep,126,sweep,7,"[' spring', ' sting', ' wing', ' string', ' song']","[0.28125, 0.28125, 0.150390625, 0.08056640625, 0.031494140625]","[' spring', ' cling', ' cl', ' sting', ' sl']","[0.1728515625, 0.1533203125, 0.126953125, 0.0927734375, 0.08203125]"
149,"Like morning dew on petals soft and new,",new,blue,new,True,A whisper of hope in the silent blue.,"Like morning dew on petals soft and new,  
A whisper of hope in the silent blue.","Like morning dew on petals soft and new,  
A whisper of hope in the silent",0,True,178-glide,178,collide,6,"[' blue', ' hue', 'blue', ' dew', ' Blue']","[0.9921875, 0.005889892578125, 0.00148773193359375, 0.001312255859375, 0.00015735626220703125]","[' blue', ' hue', 'blue', ' dew', ' Blue']","[0.984375, 0.0096435546875, 0.0040283203125, 0.00101470947265625, 0.0002918243408203125]"
150,"Wings of dawn clash with iron night,",night,flight,light,True,Stars ignite in silent flight.,Stars ignite in silent flight.,Stars ignite in silent,4,True,124-skies,124,dies,7,"[' flight', ' fight', ' revolt', ' defiance', ' combat']","[0.58203125, 0.400390625, 0.005035400390625, 0.002105712890625, 0.00185394287109375]","[""'s"", '’s', ' fight', ' s', ' light']","[0.98828125, 0.010986328125, 0.00061798095703125, 7.390975952148438e-05, 5.7697296142578125e-05]"
151,"Brushstrokes weave the silent song of imagination’s flame,",flame,name,name,True,A canvas breathes with every name.,A canvas breathes with every name.,A canvas breathes with every,2,True,21-keen,21,unseen,1,"[' name', ' stroke', ' frame', ' line', ' tale']","[0.63671875, 0.076171875, 0.052490234375, 0.046142578125, 0.0247802734375]","[' name', ' frame', ' line', ' stroke', ' dream']","[0.7265625, 0.041015625, 0.041015625, 0.0281982421875, 0.0194091796875]"
152,"Whispers of the past dance on the breeze,",breeze,seize,trees,True,Echoes of time softly seize.,Echoes of time softly seize.,Echoes of time softly,4,True,91-night,91,light,12,"[' seize', ' ent', ' breeze', ' freeze', ' creep']","[0.5703125, 0.09912109375, 0.046875, 0.046875, 0.0284423828125]","[' at', ' meet', ' freeze', ' seize', ' night']","[0.3359375, 0.2041015625, 0.0966796875, 0.05859375, 0.033447265625]"
157,"A tapestry woven in laughter and tears,",tears,years,years,True,A story spun through the years.,A story spun through the years.,A story spun through the,6,True,21-keen,21,unseen,1,"[' years', ' threads', ' ages', ' seasons', ' decades']","[0.9921875, 0.007568359375, 0.000701904296875, 0.00054931640625, 0.00010776519775390625]","[' threads', ' ve', ' years', ' weave', ' hours']","[0.921875, 0.0245361328125, 0.014892578125, 0.007049560546875, 0.0042724609375]"
159,"Whispers of wind through the emerald embrace,",embrace,grace,embrace,True,"Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic",1,True,28-day,28,grey,14,"[' grace', ' race', ' trace', ' place', ' trance']","[0.890625, 0.0390625, 0.030517578125, 0.0126953125, 0.01123046875]","[' day', 'day', ' Day', '-day', ' DAY']","[1.0, 3.725290298461914e-06, 1.3709068298339844e-06, 2.384185791015625e-07, 1.8533319234848022e-07]"
162,"Colors whisper secrets where wild imaginations tread,",tread,spread,thread,True,"Dreams take flight in the silent, golden spread.","Dreams take flight in the silent, golden spread.","Dreams take flight in the silent, golden",5,True,124-skies,124,dies,7,"[' spread', ' dead', ' light', ' red', ' thread']","[0.4375, 0.142578125, 0.11083984375, 0.08642578125, 0.040771484375]","[""'s"", '’s', ' spread', ' dead', ' red']","[0.94921875, 0.04150390625, 0.005645751953125, 0.00110626220703125, 0.000762939453125]"
168,"Smoke ascends where silent dreams once grew,",grew,dew,new,True,Fire whispers secrets to the dew.,Fire whispers secrets to the dew.,Fire whispers secrets to the,2,True,241-sway,241,grey,5,"[' dew', ' moon', ' blue', ' night', ' sky']","[0.58203125, 0.2138671875, 0.08935546875, 0.0693359375, 0.0155029296875]","[' sw', ' dew', ' moon', ' night', ' blue']","[0.5859375, 0.314453125, 0.033203125, 0.0257568359375, 0.00836181640625]"
169,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,flight,light,True,"Leaves whisper secrets of the past, but dreams take flight.","Leaves whisper secrets of the past, but dreams take flight.","Leaves whisper secrets of the past, but dreams take",14,True,27-twine,27,entwine,2,"[' flight', ' wing', ' root', ' hold', ' flights']","[0.9921875, 0.005889892578125, 0.00191497802734375, 0.00010824203491210938, 1.8715858459472656e-05]","[' root', ' hold', ' roots', 'root', '根']","[0.984375, 0.01239013671875, 0.0003757476806640625, 0.0002574920654296875, 0.0001773834228515625]"
