,Unnamed: 0,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation,temp_0.3_sample_1,temp_0.3_sample_2,temp_0.3_sample_3,temp_0.3_sample_4,temp_0.3_sample_5,temp_0.7_sample_1,temp_0.7_sample_2,temp_0.7_sample_3,temp_0.7_sample_4,temp_0.7_sample_5,temp_1.0_sample_1,temp_1.0_sample_2,temp_1.0_sample_3,temp_1.0_sample_4,temp_1.0_sample_5
10,18,"Though flesh may fade and tombs may rust with time,",time,climb,time,True,37,True,108-bliss,108,abyss,41,Yet love and memory forever climb.,The soul's true light shall never cease to rise.,Yet echoes of the soul shall never cease to climb.,Yet love and memory forever climb.,Yet love and memory forever climb.,Yet echoes of the soul shall never cease to climb.,Yet love and memory forever climb.,Yet love and memory forever climb.,Yet love and memory will never cease to climb.,Yet echoes of the soul shall never cease to climb.,Yet echoes of the soul shall never cease to climb.,Yet echoes of the soul will never cease to climb.,Yet love and memory forever climb.,Yet echoes of the soul remain sublime.,Yet echoes of the soul remain sublime.,Yet love and memory forever climb.,Yet echoes of the soul shall never cease to climb.
11,21,"In strokes of light and whispers unseen,",unseen,convene,unseen,True,67,True,88-spun,88,spun,24,The shadows dance where dreams have been.,The world is painted in hues of dawn.,The shadows dance where dreams have been.,The shadows dance where dreams have been.,The shadows dance where dreams have been.,The shadows dance where dreams have been.,The shadows dance where dreams have been.,The shadows dance where dreams have been.,The shadow dances where the silence leans.,The shadows dance where dreams have been.,The shadows dance where dreams convene.,The shadows dance where dreams convene.,The shadows dance where dreams have been.,The world is painted in dreams.,The world is painted in dreams between.,The shadows dance where dreams have been.,The canvas breathes with dreams unspoken.
12,23,"I stepped through the veil of shadowed years,",years,disappears,years,True,43,True,170-dies,170,dies,49,And found the light that never disappears.,And found the light that never dies.,And found the echoes of my tears.,And found the light that once disappeared.,And found the light that never disappears.,And found the light that once disappeared.,And found the light that never disappears.,And found the light that time had veiled.,And found the light that never disappears.,And found the light that never disappears.,And found the echoes of my dreams.,And found the light that never disappears.,And found the old dreams still kneeling in tears.,And found the light that once I feared.,And found the light that never disappears.,And found the echoes of my fears.,And found the light that always clears.
13,24,"Whispers curl like shadows at dawn,",dawn,gone,dawn,True,37,True,116-swell,116,dwell,50,Silent echoes of what was gone.,Soft as dreams that never tell.,Silent echoes of what was gone.,Silent echoes of a forgotten song.,Silent echoes of a love long gone.,Soft light unfolds the day's first song.,Silent echoes of what was gone.,Silent secrets begin to withdrawn.,Silent echoes of what's yet to be known.,Soft light unfolds the day's first song.,Soft light unfolds the day's first song.,Silent echoes of a song.,Silent promises softly withdrawn.,Soft light unfolds the day’s first yawn.,Silent echoes of a song.,Soft light unravels the night's sorrow.,Silent echoes of what was gone.
14,25,"Beneath a sky that shifts from blue to grey,",grey,stay,grey,True,63,True,43-old,43,told,33,"The world turns slow, yet time won't stay","The world turns slow, yet never stops.","The world turns slowly, day by day.","The world turns slow, yet time won't stay.","The world turns slowly, day by day.","The world turns slow, yet time won't stay.","The world turns slow, yet time won't stay.","The world turns slowly, day by day.",The wind whispers tales of a distant day.,"The world turns slow, yet never stays the same.","The world turns slowly, day by day.","The world turns slow, yet time won't stay.",The world turns quiet as the day fades away.,The wind whispers secrets of a distant day.,"The world turns slowly, day by day.","The world turns slow, yet time won't stay.","The world turns slow, yet time won't stay."
15,28,"In whispers of dawn, the soul begins to pray,",pray,gray,grey,True,41,True,115-alone,115,stone,44,With hopes that light the path of day.,As light unfolds the dreams that were once known.,As light unfolds the promises of day.,Beneath the sky where the stars still sway.,And light unfolds in hues of gold and gray.,And light unfolds in hues of gold and gray.,Beneath the sky where the stars still sway.,And light unfolds in hues of gold and gray.,With hopes that light the path of day.,Beneath the sky where the first light breaks.,Beneath the sky where the first light breaks away.,Beneath the sky where the first light breaks away.,Beneath the sky where hope and shadows play.,"With eyes still closed, it greets the light of day.",And light unfolds in hues of softest gray.,"With hope as its light, it meets the day.",Beneath the stars that fade away.
16,31,"Whispers of the hearth where the heart’s threads are spun,",spun,begun,spun,True,56,True,128-night,128,light,42,A tapestry woven with moments and sun.,A dance of embers where the soul finds its light.,A tapestry woven with moments and sun.,A tapestry woven with moments and sun.,A tapestry woven with moments and sun.,A dance of shadows in the fire's soft hum.,A tapestry woven with moments and sun.,A tapestry woven with moments undone.,A dance of shadows where the soul is undone.,A dance of embers where the soul is undone.,A tapestry woven with moments and sun.,A firelight dance where the soul finds its sun.,And dreams are woven in the quiet of dawn.,"Moments woven in warmth, never undone.","Moments woven in warmth, never undone.",Dreams drift like smoke through the firelight's soft sun.,Flicker of the flame where old memories hum.
17,33,"Love is the flame that gentle does rise,",rise,disguise,dies,True,44,True,34-laid,34,stayed,52,But burns with a passion that cannot disguise.,But burns with a passion that cannot be swayed.,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that no words can describe.,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns the soul with passion's disguise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a fire that no storm can disguise.,But burns the soul with passion's wild blaze.,But burns with a passion that cannot disguise.
18,34,"Fury burns where calm once stayed,",stayed,laid,stayed,True,52,True,144-blush,144,hush,87,Hope flickers where the shadows laid.,Ash falls where embers still twitch.,Hope flickers where the shadows laid.,Hope flickers where the shadows laid.,Ash falls where embers laid.,Hope flickers where the shadows fade.,Hope flickers where the shadows laid.,Ash falls where embers trailed.,Ash falls where embers laid.,Silence breaks with thunder's blade.,Ash falls where flowers once were laid.,Hope flickers where the shadows tread.,Silence screams in every trait.,Ash falls where flowers once cascaded.,Silence breaks with thunder's wail.,Hope flickers where the shadows sheds.,Hope flickers where the darkness laid.
19,35,"Justice weeps in shadowed halls,",halls,falls,halls,True,35,True,128-night,128,light,42,Where silence speaks and truth falls.,Hope still dares to light the night.,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silent echoes tell the tale.,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silent truths are never tall.,Where silent echoes never call.,Where silent truths are never told.,Where silence speaks and truth stands tall.,Where truth is silenced by the walls.
20,36,"Neon hums where tall shadows play,",play,day,grey,True,38,True,88-spun,88,spun,24,Silent echoes drift through the day.,A whispered dream beneath the moon.,A whispered dream begins to sway.,Silent echoes drift through the day.,Silent echoes drift through the day.,A whispered secret lights the way.,Silent echoes drift through the day.,Silent whispers of the day.,Silent echoes drift through the day.,Reflecting light in a silver fray.,Silent echoes drift through the day.,Silent echoes drift through the day.,Silent echoes drift through the day.,Whispers dance in the fading light.,Silent echoes drift through the day.,Silent echoes drift through the gray.,A whispered song through the midnight fray.
21,37,"Whispers coil like shadows in the mind’s tight maze,",maze,blaze,maze,True,68,True,116-swell,116,dwell,50,A labyrinth of thoughts where silence never fades.,"A secret stirs, half-formed, beneath the shell.",A labyrinth of echoes where the thoughts amaze.,A labyrinth of echoes where the thoughts amaze.,A labyrinth of echoes where the thoughts amaze.,A labyrinth of thoughts where silence never fades.,Echoes hum where silent footsteps never blaze.,Echoes fade where silent footsteps graze.,A silent storm of thoughts begins to blaze.,A labyrinth of thoughts where silence never fades.,Echoes hum where silent fears may blaze.,A labyrinth of thoughts where silence never ceases.,A labyrinth of thoughts where silence never fades.,"Where silent echoes linger, lost in timeless haze.",Echoes hum where silent footsteps never graze.,A silent storm of thoughts begins to blaze.,"A labyrinth of echoes, lost and never found."
22,38,"Anger boils like storm in night,",night,light,light,True,27,True,23-disappears,23,years,43,Lightning cracks but fades to light.,But calm descends with morning's tune.,Lightning cracks but fades to light.,Lightning strikes but fades to light.,Lightning strikes but fades to light.,Lightning strikes but fades to light.,But calm arrives with morning light.,But calm is dawn's first gentle light.,Lightning strikes but fades to light.,Lightning strikes but fades to light.,Lightning strikes but fades to light.,But calm arrives with morning light.,Lightning cracks but peace is right.,Lightning cracks but fades to light.,Lightning strikes but fades to light.,Lightning strikes but fades with light.,Lightning strikes but fades to light.
23,40,"Whispers coil like shadows, cold and tight,",tight,night,light,True,49,True,85-falls,85,halls,35,"They cling to silence, never letting light.",Silent as the secrets they enthrall.,Clinging close in the dead of night.,"They cling to silence, never letting light.","They cling to silence, never letting light.",Silent as the void that swallows light.,"They cling to silence, never letting light.","They cling to silence, swallowing the light.",Silent as the void that swallows light.,Silent as the secrets of the night.,"They cling to silence, swallowing the light.",Slipping through the cracks of night.,Silent as the night.,"Silent as the dawn, they choke the light.",A shiver runs through the silent night.,"They cling to silence, swallowing the light.","They wrap around the heart, a silent night."
24,41,"Like sunlight breaking through the clouds of gray,",gray,way,grey,True,60,True,149-view,149,new,36,Hope begins to shine at the end of day.,"So hope returns to me, renewed and true.",Hope blooms anew with every day.,Hope begins to shine each brand-new day.,Hope begins to bloom in hearts of clay.,Hope begins to shine at the break of day.,Hope begins to shine at the end of day.,Hope returns with the dawn of day.,Hope begins to bloom in hearts of clay.,Hope begins to bloom in the morning's ray.,Hope begins to shimmer in the day.,Hope blooms anew with every day.,Hope begins to shine at the end of the day.,Hope blossoms bright in the break of day.,Hope begins to bloom in the heart of day.,Hope blooms anew with every day.,Hope blooms anew with every ray.
25,43,"Autumn's breath turns leaves to gold, a whispered story told,",told,old,told,True,33,True,88-spun,88,spun,24,"Of seasons changing, soft and old.","As seasons shift, the world grows still, a fleeting, fragile thrill.","Of seasons changing, soft and old.","Of seasons changing, soft and old.","Of seasons changing, soft and old.","Of seasons changing, soft and old.","Of seasons changing, soft and old.","Of seasons changing, soft and old.","Of seasons changing, love once bold.","Of seasons changing, soft and old.","Of seasons changing, gentle and old.","Of seasons passing, soft and old.","Of seasons passing, soft and old.","As winds embrace the fading light, they carry dreams from sight.",Of fleeting time and seasons old.,"Of seasons changing, soft and old.","Of seasons past, of time unfolding."
26,44,"The shadows stretch where laughter once was bright,",bright,light,light,True,49,True,16-same,16,name,42,The echoes fade in silence of the night.,The echoes fade of joy that bore our name.,The echoes fade in silence of the night.,The echoes fade in silence of the night.,The echoes fade in silence of the night.,The echoes fade in silence of the night.,The echoes fade with the fading light.,The echoes fade with the passing night.,The echoes fade with the fading light.,The echoes fade in silent night.,The echoes fade in silence of the night.,The stars above whisper of silent nights.,The echoes fade in silence of the night.,The echoes fade of joy that used to light.,The echoes fade in silent twilight.,And silence whispers through the fading light.,The echoes fade in silence of the night.
27,46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,blight,light,True,28,True,87-dream,87,stream,53,"And the silence holds its breath, awaiting dawn's",A silent hope begins to bloom.,"And the silence holds its breath, awaiting dawn's first golden blight.","And in silence deep, the dawn prepares to break the night.","And the silence holds its breath, awaiting dawn's first golden blight.","And hope, though faint, still dares to rise against the fading night.","And hope, though faint, begins to rise with the dawn's first sigh.","And dreams take flight on silent wings, defying the night.",A silent hope begins to rise.,"And hope, though small, begins to rise with the dawn's first sigh.","And the silence holds its breath, awaiting dawn's first tender sigh.","And the dawn awaits, though silent now, in the hush of night's slow bow.","And the silence holds its breath, awaiting dawn's first gentle sigh.",And echoes faintly through the night.,"And the darkness bends, though it resists, to the promise of the fist.","And dreams take flight on silent wings, born from the darkest of springs.","And hope, though faint, begins to stir beneath the weight of sorrow."
28,48,"Stars map my longing in the heavens’ sly embrace,",embrace,trace,embrace,True,53,True,8-mast,8,past,31,A silent hymn to dreams I cannot erase.,A silent hymn to dreams I cannot grasp.,Moon whispers secrets only I can trace.,A silent hymn to dreams I cannot erase.,A silent hymn to dreams I cannot erase.,A silent hymn to dreams I cannot erase.,A silent hymn to dreams I cannot erase.,Moon whispers secrets to the silent night.,A silent hymn to dreams I can't erase.,A silent lullaby of time and space.,A silent hymn to dreams I cannot trace.,Moon whispers secrets only silence can erase.,A silent hymn to dreams I cannot erase.,Moon whispers secrets to the silent night.,A silent hymn to dreams I cannot trace.,Moon whispers secrets to the silent night.,"Moon whispers secrets in a silver, silent trace."
29,49,"In the mirror of time, I trace the shadow I’ve sown,",sown,own,stone,True,63,True,116-swell,116,dwell,50,A seed of regret in the soil of my own,And see the echoes of the dreams I never tell.,"A harvest of echoes, both bitter and known.",A seed of regret in the soil of my own.,A seed of regret in the soil of my own.,"A harvest of echoes, both bitter and known.",A seed of regret in the soil of my own.,A seed of regret in the soil of my own.,"A harvest of echoes, both bitter and known.","And in its depths, the echoes of what I’ve become.","And in its depths, the echoes of what I’ve become.","A harvest of echoes, both bitter and own.","A harvest of echoes, both bitter and own.","A future unseen, yet shaped by the bones.","And in its depths, the echoes of what I’ve become.",A seed of regret in the soil of my own.,"A future yet unwritten, shaped by seeds I’ve known."
30,51,"Freedom soars where chains once clung,",clung,hung,clung,True,79,True,69-strong,69,belong,35,Hope takes flight where shadows hung.,Hope takes flight where silence sang.,Hope takes flight where shadows hung.,Hope takes flight where shadows hung.,Hope takes flight where shadows hung.,Hope takes flight where shadows hung.,Hope takes flight where shadows hung.,Hope takes flight where silence sung.,Hope takes flight where shadows hung.,Hope takes flight where shadows stung.,Hope takes flight where shadows hung.,Hope takes flight where shadows hung.,Hope takes flight where shadows hung.,Light dances where the shadows hung.,Hope takes flight where shadows hung.,Hope ignites where darkness hung.,Hope takes flight where shadows hung.
31,54,"Blossoms bloom where laughter finds its way,",way,ray,grey,True,36,True,183-begin,183,spin,62,Soft petals dance in morning's ray.,And joy takes root where hearts begin.,Soft petals dance in morning's ray.,Soft petals dance in morning's ray.,Soft petals dance in morning's ray.,Petals dance in morning's golden ray.,Soft petals dance in morning's ray.,Soft whispers drift through the summer's day.,"Petals dance in soft, sunlit play.",Whispers dance in morning's golden ray.,Whispers of joy light up the day.,Petals dance in morning's golden ray.,Petals dance in the morning's ballet.,And whispers dance in daylight's ray.,Soft petals dance in morning's spray.,Sweet scents perfume the dawn of day.,Soft petals dance in morning's light.
32,60,"A bond unspoken, yet deep as the sea,",sea,glee,sea,True,35,True,12-gloom,12,bloom,57,A silence between us that speaks volumes to me.,A silence that speaks when words are too much.,A silence between us that speaks with such glee.,A silence between us that speaks volumes to me.,A silence between us that speaks volumes to me.,A silence between us that speaks with such glee.,A silence that speaks where words cannot be.,A silence between us that speaks volumes to me.,A silence between us that speaks volumes to me.,A silence between us that speaks volumes to me.,"A silence between us, yet full of debris.",A silence between us that speaks volumes to me.,A silence between us that speaks with such glee.,A silence between us that speaks with great clarity.,A silence that speaks where words cannot be.,A silence between us that speaks volumes to me.,A silence between us that speaks volumes to me.
33,65,"In the dance of flaw and flawless light,",light,right,light,True,31,True,166-mean,166,unseen,35,We find the beauty in the fight.,A shadow finds its perfect sheen.,We find the beauty in the fight.,We find the grace that makes us right.,We find the grace that makes us right.,We find the grace that makes us right.,We find the beauty in the fight.,We find the grace that darkness might.,We find the beauty in the fight.,We find the beauty in the fight.,We find the grace that makes us right.,We find the beauty in the fight.,We find the grace that makes the night.,We find the beauty in the fight.,We find the grace that makes us right.,We find the beauty in the fight.,We find the grace that neither hides.
34,66,"Whispers of wind through the ancient oak's embrace,",embrace,grace,embrace,True,57,True,16-same,16,name,42,A dance of leaves in the twilight's soft grace,A dance of leaves in the fading light.,A dance of leaves in the twilight's soft grace.,A dance of leaves in the fading light's grace.,A dance of leaves in the twilight's soft grace.,A dance of shadows in the moonlit space.,A dance of leaves in the fading light's grace.,A dance of leaves in the twilight's soft grace.,A dance of leaves in the fading light's grace.,A dance of shadows in the twilight's grace.,A dance of leaves in the fading light's soft grace.,A dance of shadows in the soft moonlight's grace.,A dance of shadows in the twilight's grace.,A dance of leaves in the twilight's soft grace.,A dance of leaves in the twilight's soft grace.,A dance of leaves in the twilight's soft grace.,A dance of shadows in the moonlit space.
35,67,"In mirrored shades where shadow dares to creep,",creep,keep,sweep,True,84,True,6-climb,6,time,29,The moonlight whispers secrets yet to sleep.,"A whisper stirs, but no one's there to name it.",The moonlight whispers secrets yet to sleep.,The moonlit path unfolds in silent sleep.,The moonlight whispers secrets yet to sleep.,The moonlight whispers secrets yet to sleep.,The moonlight whispers secrets yet to sleep.,The moonlight whispers secrets only dreams can keep.,The moonlit path unfolds in silent sleep.,The silent echoes of the dreams we keep.,The moonlit path still whispers secrets deep.,The silent echoes of the dreams we keep.,The silent echoes of the dreams we keep.,The moonlit path reveals what dreams may keep.,The silence hums a whispered secret deep.,The ghost of time begins to sleep.,The moonlight whispers secrets yet to sleep.
36,69,"In the rhythm of shared breath, hearts weave a single song,",song,strong,belong,True,35,True,18-climb,18,time,37,"In the silence between beats, love speaks in whispers","In the silence between words, a deeper truth begins.","In the silence between beats, love speaks in whispers strong.","In the silence between beats, love speaks in whispers strong.","In the silence between words, a deeper understanding grows.","In the silence between beats, love speaks in whispers strong.","In the silence between beats, love speaks in whispers strong.","In the silence between beats, love speaks in whispers strong.","In the silence between words, love speaks in tones unknown.","In the silence between words, a deeper understanding grows.","In the silence between words, a deeper truth is drawn.","In the silence between beats, love speaks in whispers strong.","In the hush between each beat, love finds its steady throng.",A dance of souls where love is strong.,"In the silence between beats, love speaks where words belong.","In the silence between beats, a deeper harmony is drawn.","In the rhythm of shared breath, hearts weave a single song,  
Two souls entwined in"
37,70,"In brushstrokes of dawn, wild imagination ascends,",ascends,tends,ascends,True,58,True,92-age,92,rage,54,Where dreams in the light of the morning pretend.,A symphony of hues in the morning's soft page.,Where dreams in the light of a new day transcend.,Where dreams take flight on the whisper of winds.,Where dreams take flight on the whisper of winds.,Where dreams in the light of the morning are rendered.,Where dreams in the light of the morning are rendered.,"With whispers of light, the horizon is bent.",A canvas of dreams where the impossible bends.,Where whispers of twilight in color and motion contend.,Where whispers of twilight in color and motion mend.,Where dreams in the light of the morning transcend.,"In whispers of light, the dreams of the world pretend.","To the rhythm of light, a new world is born again.","In whispers of light, the world begins to contend.",Where color and light in a cosmic dance descend.,A canvas of dreams where the impossible bends.
38,72,"A flawless sphere, yet marred by its glow,",glow,know,glow,True,53,True,147-beat,147,deceit,43,A silent fire that no one can know.,A silent song that none can seize.,A silent scream in the dark below.,A silent fire that only the stars know.,A silent fire that no one can know.,A silent fire that only the stars know.,A silent fire that no one can know.,A shadowed heart that only the bold know.,A silent scream in the dark below.,A silent fire that only the bold know.,A silent fire that no one can know.,A silent fire that no one can know.,A silent flame that no one can know.,A silent flame that only the night knows.,A silent sun that no one can know.,"A mirror of fire, but never to know.",A silent fire that no one can know.
39,74,"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,haze,maze,True,58,True,124-skies,124,dies,52,A dance of shadows twirls in the silver,A dance of shadows where the secrets softly lie.,A dance of shadows twirls in the silver-lit haze.,A dance of shadows twirls in the silver-lit haze.,A dance of shadows twirls in the silver-lit haze.,A dance of shadows twirls in the silver-lit haze.,A dance of shadows twirls in the silver-lit haze.,A dance of shadows twirls where the silver light prevails.,A dance of shadows twirls where secrets softly blaze.,Echoes of passion rise in the night's embrace.,A dance of shadows where the secrets softly blaze.,A dance of shadows twirls in the hush of the night's embrace.,A dance of shadows where the secrets softly blaze.,A dance of shadows twirls in the silver-lit maze.,A dance of shadows twirls in the silver-lit haze.,A dance of shadows twirls in the hush of the night's embrace.,A dance of shadows twirls in the hush of the night's embrace.
40,75,"A heartbeat hums where light once passed,",passed,cast,past,True,37,True,126-sleep,126,sweep,68,"A shadow lingers, softly cast.",A shadow grows where silence sleeps.,"A shadow lingers, softly cast.","A shadow lingers, softly cast.","A shadow lingers, softly cast.","A shadow lingers, softly cast.","A shadow lingers, softly cast.","A shadow lingers, softly cast.",A shadow dances in the glass.,"A shadow lingers, softly cast.",A shadow blooms where silence lasted.,"A shadow lingers, softly cast.","A shadow lingers, softly cast.","A shadow lingers, softly cast.",A shadow grows where silence lasted.,A shadow thrives where warmth was stored.,A shadow breathes where silence lasts.
41,76,"Colors whisper tales in hues once unknown,",unknown,flown,stone,True,39,True,25-stay,25,grey,63,Shadows dance where light has flown.,"Moments pause to listen, soft and vast.",Shadows dance where light has flown.,Shadows dance where light has flown.,Shadows dance where light has flown.,Shadows dance where light has flown.,Shadows dance where light has flown.,Shadows dance where light has flown.,Shapes dance where shadows softly grow.,Shadows dance where light has grown.,Shadows dance where light has flown.,Shadows dance where light has flown.,Shadows dance where light has flown.,Shadows dance where light has flown.,Shadows dance where light has flown.,Shadows dance where light has flown.,Shadows dance where light has grown.
