,Unnamed: 0,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation,temp_0.3_sample_1,temp_0.3_sample_2,temp_0.3_sample_3,temp_0.3_sample_4,temp_0.3_sample_5,temp_0.7_sample_1,temp_0.7_sample_2,temp_0.7_sample_3,temp_0.7_sample_4,temp_0.7_sample_5,temp_1.0_sample_1,temp_1.0_sample_2,temp_1.0_sample_3,temp_1.0_sample_4,temp_1.0_sample_5
10,51,"Freedom soars where chains once clung,",clung,sung,clung,True,16,True,150-fight,150,light,1,Hope finds a home in hearts that long.,Hope blooms where dreams once were cut.,Hope finds a home in hearts that long.,Hope finds its wings in the dawn's bright spring.,Hope finds a home in hearts that long.,Hope finds a home in hearts that long.,Justice blooms where oppression was sung.,"Freedom soars where chains once clung,  
And hope is born where dreams are sung.",Hope finds a home in every heart that sings.,Hope finds a home where dreams are sung.,Hope ignites the hearts of those who dream.,Justice blooms where oppression stood.,Justice blooms where oppression was sung.,Hope takes root where dreams are sung.,Hope finds its wings in the黎明 of a new spring.,Hope burns bright in hearts that dream.,"Freedom soars where chains once clung,  
And justice rises where oppression bound."
11,54,"Blossoms bloom where laughter finds its way,",way,ray,grey,True,3,True,363-new,363,new,2,"Blossoms bloom where laughter finds its way,","Blossoms bloom where laughter finds its way,  
And joy is sung in every ray.","Blossoms bloom where laughter finds its way,  
And joy is sung in every ray.","Blossoms bloom where laughter finds its way,  
And joy is sung in every ray.","Blossoms bloom where laughter finds its way,  
And joy is born where hearts are made.","Blossoms bloom where laughter finds its way,  
And joy is sung in every ray.","Blossoms bloom where laughter finds its way,  
And joy is sung in every ray.","Blossoms bloom where laughter finds its way,  
A song of joy in every way.","Blossoms bloom where laughter finds its way,  
And joy is sung in every ray.","Blossoms bloom where laughter finds its way,  
A sweet and fleeting, golden day.","Blossoms bloom where laughter finds its way,  
And joy forever stays in the air.","Blossoms bloom where laughter finds its way,  
And joy is sung in every darkly gray","Blossoms bloom where laughter finds its way,  
And joy forever stays in every ray.","Blossoms bloom where laughter finds its way,  
A gift of spring, so sweet and gay","Blossoms bloom where laughter finds its way,  
And joy surrounds the heart with care.","blossoms bloom where laughter finds its way,  
flowers blush where joy meets the day.","Blossoms bloom where laughter finds its way,  
And joy grows where the heart is free."
12,56,"Winds of liberty whisper through chains of control,",control,soul,soul,True,3,True,459-sea,459,sea,1,and light the path where justice is not lost.,and freedom's song takes flight in every soul.,and light the path where justice is not sold.,and call us free.,and light the path where freedom's flame is told.,and call us free.,and light the path where freedom's flame is found.,and call us free.,and bring the dream of freedom to the soul.,and send the soul to realms where freedom's song is told.,and freedom's flame remains unburned.,and light the path where justice is born.,and light the flames of freedom's holy toll.,and bid the stars to rise in solidarity's glory.,Freedom’s flame ignites the hearts of the bold.,and lift the soul from bondage's thorny toll.,and break the silence of the old world's law.
13,65,"In the dance of flaw and flawless light,",light,flight,light,True,2,True,430-home,430,home,13,"the stars align in a perfect, celestial night.","the stars align in a perfect, eternal glow.","the stars align in a perfect, radiant night.","the stars align in perfect, radiant flight.",the stars align in a perfect night.,"the stars align in a perfect, radiant night.","the stars align in perfect, bright, and bright.","the stars ignite in perfect, radiant flight.","the shadows play their silent, shifting might.","the stars ignite in silent, fierce delight.","I am the mirror of your soul, yet I shall not lie.","the stars align in perfect, radiant flight.",the soul finds joy in every step and flight.,"the stars align in silent, radiant flight.",the soul finds endless delight.,"In the dance of flaw and flawless light,  
The stars above are still, and the world is",the soul dances through the shadow and glow.
14,66,"Whispers of wind through the ancient oak's embrace,",embrace,grace,embrace,True,9,True,267-flame,267,name,1,echoes of time in the leaves that dance and,echoes of time in the leaves that they hold.,The leaves sway gently in rhythm with the breeze.,echoes of time in the leaves that dance and embrace.,echoes of time in the leaves' soft dance.,shadows dance in the twilight's soft grace.,echoes of time in the rustling leaves.,echoes of time in the rustling leaves.,echoes of time in the leaves' soft dance.,"whispers of wind through the ancient oak's embrace,  
shout through the leaves like a song","Whispers of wind through the ancient oak's embrace,  
Shade the weary soul with gentle grace",echoes of time in the leaves' slow dance.,the leaves sway gently in silent praise.,"dancing in twilight's gentle, silver grace.",echoes through the forest's serene grace.,"leafs sway in the gentle, eternal dance.","softly told, as if in hush and grace."
15,84,"Time’s tapestry threads with echoes of yore,",yore,bore,soar,True,22,True,344-glow,344,glow,18,Time’s tapestry threads with echoes of yore,Time’s tapestry threads with echoes of yew.,"Time’s tapestry threads with echoes of yore,  
Yet still the dawn breaks on the silent","Time’s tapestry threads with echoes of yore,  
Yet still the dawn unfolds in endless grace","Time’s tapestry threads with echoes of yore,  
Yet still the dawn unfolds in endless lore","Time’s tapestry threads with echoes of yore,  
Yet still the stars hold secrets in their","Time’s tapestry threads with echoes of yore,  
Yet still the dawn unfolds in endless lore","Time’s tapestry threads with echoes of yore,  
And fate's design weaves through the",and fate’s quiet song repeats in every lore.,"Time’s tapestry threads with echoes of yore,  
And every moment is a thread in the",and fate's quiet song still plays in the shore.,"Time’s tapestry threads with echoes of yore,  
Yet still, the present holds its own","Time's tapestry threads with echoes of yore,  
Yet shadows dance where dawn and dusk do",and every moment a melody that's now lost.,and every heart's refrain repeats the same old song.,And fate’s design weaves through the veins of the dawn.,"Time’s tapestry threads with echoes of yore,  
Yet still we weave the future’s lo"
16,91,"In shadows deep where hope once danced with light,",light,bright,light,True,1,True,130-scene,130,unseen,4,"In shadows deep where hope once danced with light,","In shadows deep where hope once danced with light,  
The echoes of the past still whisper through the","In shadows deep where hope once danced with light,  
A whisper of the past now echoes bright.","In shadows deep where hope once danced with light,  
A whisper of the past still echoes bright.","In shadows deep where hope once danced with light,  
A whisper of the past still echoes bright.","In shadows deep where hope once danced with light,  
A whisper of the past still echoes bright.",I saw a ghost that whispered secrets bright.,"I'll write the next line of the rhyming couplet.

**In shadows deep where hope","I heard a voice that whispered, ""Don't look back.""","I stand alone, a ghost in the dark.","In shadows deep where hope once danced with light,  
The stars still shine, but silence wraps the","In shadows deep where hope once danced with light,  
The echoes of the past still call and light","In shadows deep where hope once danced with light,  
A whispered promise still holds true.",I saw a ghost that whispered tales of yesteryear's might.,"In shadows deep where hope once danced with light,  
The whispered words of hope still echo bright.",I wait for dawn where dreams and truths are bound.,"In shadows deep where hope once danced with light,  
A whisper of the past now softly lifts."
17,92,"In shadow's grip, cannon-light whispers of rage,",rage,age,rage,True,8,True,397-sing,397,sing,14,and silence in the halls of war.,and silence in the heart of the war's cruel song.,and silence in the halls of war.,and silence in the halls of war.,and death in every breath we take.,and death in every crack of the wall.,and silence in the halls of war.,and death in every blast that echoes through the air.,and death in every crack of the steel.,and silence in the wake of thunder's loud embrace.,and silence in the heart of the battlefield.,and silence in the heart of the war's cruel dance.,and silence in the halls of war.,"and death in every trembling, echoing blade.",and silence in the heart of the storm.,and memory's flame still burns in the hearts of the dead.,and death in every echo of the clash.
18,100,"In twilight’s hush, where hearts exhale,",exhale,pale,exhale,True,13,True,459-sea,459,sea,1,the stars above whisper tales of old.,the stars begin to twinkle bright.,the stars begin to gleam and the moon takes her place.,"the stars begin to twinkle through the pale, pale sky.",the stars above whisper soft and pale.,the stars above whisper tales of old.,the stars begin to gleam and the moon takes her place.,the stars ignite in whispered tales of love.,the stars begin to gleam and the moon takes its place.,the stars above whisper secrets to the pale.,"the stars above whisper softly, and silence holds its tale.","the stars begin to twinkle in the pale, dim light.","the stars begin to twinkle, and silence fills the air.","the stars whisper secrets to the pale, pale sky.",the stars do gleam and dreams take flight.,the stars begin to shine through the veil.,the moonlight whispers soft and pale.
19,120,"Pack the sunrise in your pocket, let the roads unwind like time,",time,climb,time,True,1,True,472-light,472,light,2,and the world be yours to climb.,and the world be yours to light with fire.,and the world will thank you for the light.,and the world be yours to climb.,and the world be yours to climb.,and the world begin to shine.,and the world be bright with morning's gleam.,and the world be bright with morning's gleam.,and the world be bright with morning's gleam.,And never let the dusk come back again.,and the world be bright with morning's gleam.,and the world be yours to claim.,and the world embrace the dawn's first light.,and the world you touch will never be the same.,and the world begin to shine.,"and the world be quiet, as the dawn takes flight.",and the world be yours to divine.
20,126,"Whispers of dread in the silence they creep,",creep,deep,sweep,True,8,True,262-foam,262,home,12,"And through the dark, they weave a shadowy",And the shadows they creep through the gloom.,"A shadow in the dark, where the heart begins to feel.",and the shadows they cast are so deep.,"And through the dark, they weave a shadowy thread.",And the shadows they dance in the dark.,A shadowed tale that the heart can't keep.,And the shadows seem to follow where the heart is deep.,"And through the shadows they entwine, a cruel and unspoken keep.",Then shadows stretch long and the moonlight is steep.,"And through the dark, unseen, they'll never sleep.","and haunt the dark with a silent, unspoken fear.",Then shadows twist and the moonlight retreats.,And shadows that haunt the dark corner they keep.,A shadowed hush where the moonlight is spread.,and haunt the darkened room with a ghostly sweep.,And lull the brave to sleep with a ghostly sea.
21,128,"In starlit whispers, my hopes take flight,",flight,bright,light,True,4,True,417-care,417,despair,9,and dreams unfold like morning light.,and dreams unfold like morning's first light.,and dreams unfold like morning light.,and dreams unfold like morning light.,and dreams unfold like morning light.,and dreams unfold like constellations bright.,and dreams unfold like morning light.,"I'll write the next line of the rhyming couplet:

**In starlit whispers,",and dreams unfold like morning light.,and dreams unfold like constellations bright.,and dreams unfold like morning light.,and dreams unfold like morning light.,"I'll write the next line of the rhyming couplet:

In starlit whispers, my",and dreams unfold like morning light.,and dreams unfold like morning light.,"I'll now write the next line of the rhyming couplet:

**In starlit whispers",and wonder finds its way through the night.
22,129,"The road unfolds like whispered dreams in dawn's embrace,",embrace,grace,embrace,True,7,True,184-nights,184,ignites,9,and every step a song that never fades.,and every step a song that never fades.,and every step a story yet to be made.,and every step a whisper of the stars above.,and every step a story yet to be told.,and every step a tale of hope and grace.,and every step a song that never fades.,"where every step is gentle, and the sky is grace.",where every step is steeped in quiet grace.,where every step is a step toward the light.,and every step a song of hope and grace.,and every step is steeped in quiet grace.,and shines with hope where shadows once were awake.,and every step is a promise not to fade.,and every step is filled with hope and grace.,the sky's soft blue and hearts grow warm with grace.,and every step is a stanza of light and grace.
23,130,"The earth whispers tales through rustling green,",green,scene,unseen,True,4,True,401-tone,401,stone,2,"and time unfolds in gentle, endless spin.",and time's soft hand unrolls the leaf.,and time turns silent in the breeze.,and time unfolds in golden bloom.,The sky responds with echoes of the new.,and time unfolds in every leaf's serene scene.,and time unfolds in every leaf's serene grin.,the winds carry echoes of the spring.,and time's soft hand unearths the new.,and time unfolds in quiet bloom.,and time unfolds in every leaf's serene gleam.,the wind carries secrets in each leaf's serene breath.,and time folds in the silent breeze.,and blooms in every heartbeat of the rain.,and winds carry secrets to the keen.,The wind carries secrets in every breeze.,the winds carry echoes of the rain.
24,132,"Beneath the brush of dawn’s soft light,",light,bright,light,True,4,True,434-slain,434,rain,5,the world is painted bright.,the world is painted bright.,the world is painted bright.,the world is painted bright.,the world is painted bright.,the world is painted bright.,the world is painted bright.,the world is painted bright.,the world is washed in gold and bright.,"the world awakens with a gentle, bright.",the world is painted wide and bright.,the world is painted bright and bright.,"a thief of time, the world awakes.",the world is painted wide and bright.,the world is painted bright.,the world is washed in rose and bright.,the world is painted with a new delight.
25,134,"In the quiet space where heartbeats blend,",blend,lend,blend,True,9,True,286-wise,286,dies,4,the silence hums with life and dreams.,the silence hums with life and peace.,the silence hums with dreams that never end.,the silence hums with every breath we blend.,the silence hums with every breath we lend.,the silence hums with every breath we lend.,the silence hums with peace and need.,"the silence speaks in gentle, softened tones.",the silence hums with stories yet to end.,"the silence hums with soft, unspoken need.",the echoes of the soul are free to mend.,the silence hums with life and sound.,the silence hums with joy and need.,the silence hums with whispered dreams and gentle dreams.,the stars above sing softly to the wind.,the silence hums with calm and blend.,"the silence speaks in hushed, soft delight."
26,141,"Winds of freedom whisper where chains forgot to fall,",fall,tall,fall,True,2,True,259-spring,259,sing,10,and hope still lives in every heart that's still,and hope still lives in every heart that's not yet done.,and hope will rise where oppression once was tall.,and hope still lives in every heart that's still alive.,and hope will rise where oppression once was tall.,and hope is born where the past and future meet.,and hope shall rise where oppression once was tall.,and hope is born where the past and future meet.,and hope will rise where sorrow once was lost.,and hope will rise where darkness once had stalled.,and hope shall rise where tyranny once held its tall.,and hope still lives in every heart that's still alive.,"shadows of the past in silent, hopeful toll.","Winds of freedom whisper where chains forgot to fall,  
But the road is long and the fight",and hope takes root in every scarred soul.,and hope shall rise where tyrants' shadows still remain.,and dreams take root in the soil of the soul.
27,148,"In whispers of time, our deeds still sing—",sing,ring,sing,True,8,True,0-flight,0,light,2,"A fleeting echo in the wind, yet true.","And in the echoes of hearts, we find our rest.","A fleeting echo in the wind, yet true.","A fleeting tale, yet ever bright.","A fleeting echo in the wind, yet true.","A fleeting echo in the wind, yet true.","A fleeting echo in the wind, yet true.",A fleeting echo in the halls of time.,"A fleeting echo in the wind, though brief and kind.","A fleeting echo in the breeze, yet never still.","A fleeting echo in the wind, yet never still.","A fleeting echo in the wind, yet still we ring.","A tale of love and loss, where hearts still ring.",For all who walk with heart and mind in flight.,A truth more deep than any grave can sing.,"And in the quiet of the night, we find our resting place.","A gift of stars, though fleeting, brings us high."
28,150,"Wings of dawn clash with iron night,",night,fight,light,True,1,True,129-grace,129,embrace,7,and light breaks through the storm.,and the stars ignite in a blaze of light.,and light breaks through the storm.,and light breaks through the storm.,and light breaks through the storm.,and light breaks through the storm.,and light breaks through the storm.,and light breaks through the shadow's might.,till shadows break and light takes flight.,and light breaks through the storm.,and light breaks through the storm.,and the stars ignite in a fiery fight.,and fate turns to ash in the light.,And the stars ignite in a radiant fight.,and the world is torn in two.,and stars ignite the dark.,"stars in a silent, fierce, bright fight."
29,156,"Two hearts entwined, a vow so true,",true,hue,new,True,5,True,43-mold,43,told,4,A love that lasts through every trial and every hour,A love that lasts through every trial and through every rule.,A love that lasts through time and space.,A love that lasts through every storm and every hue.,A love that lasts through every storm and through every rue.,A love that lasts through every trial and every hour.,A love that lasts through every storm and every hue.,A love that lasts through every trial and every rule.,A love that lasts through every trial and through every hour.,A bond that time cannot break.,"A promise bound, and love's pure clue.","A love that lasts, through all the years.","A love that lasts, through time and space.","A love that lasts through time, and never grows too brute.","A promise carved in time, and love will never lose.","A love that never fades, in every sunlit look.",a love that lasts through time and out.
30,160,"Whispers of absence haunt the halls where laughter used to play,",play,day,grey,True,2,True,308-pursue,308,new,8,And silence now holds all the echoes of a by,And silence now holds all the echoes of a once-beloved day.,And silence now fills every corner where the joy once lay.,And silence now holds every secret that once was told.,And silence now holds all the echoes of the day.,And silence now holds every echo of the day.,And silence now holds all the echoes of the past.,And silence now holds every echo of the past.,And still the echoes of a love that once was bright.,and silence now fills every corner of the day.,And silence now fills every corner where once joy was held.,And silence now holds all the echoes of the days we've lost.,And silence now wears masks of joy that once were by.,And silence now holds every echo of the days we once knew.,And silence now holds every secret that once was told.,And silence now reclaims the echoes of a bygone day.,But now the silence speaks in echoes of the day.
31,169,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,bright,light,True,1,True,439-ray,439,grey,3,and leaves whisper of a future yet to be bright,and leaves whisper of a future yet to die.,and leaves whisper of a past that's never quite the same.,and leaves whisper of a future yet to be bright.,and leaves whisper of a world once bright.,and leaves whisper of a past that's never quite the same.,"and leaves whisper tales of old, though the winds may cry in vain.",and hearts still yearn for the love that never dies.,and leaves whisper tales of a world once bright.,"and through the trials of the years, we rise with hope and might.","and leaves, though weathered, still hold the promise of a new day.",and whispers of the past still echo through the night.,"and leaves whisper tales of old, though hearts still yearn for a new beginning.",and hearts entwined in tales of old.,"With harmony in every leaf, and strength in every might.","and leaves, though wounded, still sing in the night.","With hope in every leaf, and dreams in every tree."
32,170,"In shadows cast by silver lies,",lies,dies,dies,True,10,True,499-led,499,thread,11,the ghost of a forgotten lie.,"I see the stars in silent, fleeting flight.",the ghost of a forgotten lie.,the light of stars that shine so bright.,the ghost of a forgotten bride.,the moon's bright face.,the ghost of a forgotten tie.,the ghostly tale of time.,the ghost of a forgotten tree.,"In shadows cast by silver lies,  
A tale of hope that never dies.",the ghost of a forgotten lie.,"I see the stars in silence, bright and free.",I see the dawn's first blush on the hills.,I see the future in the light of day.,the light of dreams that never die.,where tales are told and secrets thrive.,the softest glow of twilight's sigh.
33,175,"By the sandbox where the fireflies glow,",glow,low,glow,True,10,True,521-shore,521,soar,21,I'll write the next line of the rhym,I see the stars in every child's blue robe.,"I'll write the next line of the rhyming couplet.

By the sandbox where the fire","I'll write the next line of the rhyming couplet:  

By the sandbox where the","I'll write the next line of the rhyming couplet.

By the sandbox where the fire","I'll write the next line of the rhyming couplet:  

By the sandbox where the","I'll write the next line of the rhyming couplet.

By the sandbox where the fire","I watch the stars above, they shine so low.","I'll write the next line of the rhyming couplet:  

By the sandbox where the","I'll write the next line of the rhyming couplet.

By the sandbox where the fire","I'll write the next line of the rhyming couplet.

**By the sandbox where the","I'll write the next line of the rhyming couplet:

By the sandbox where the fire",I hear the laughter of children who play and glow.,I watch the children play and dreams take flight.,"I'll write the next line of the rhyming couplet:  

By the sandbox where the","I'll write the next line of the rhyming couplet.

**By the sandbox where the","I'll write the next line of the rhyming couplet.

**Line 1:** By"
34,178,"Beneath the map's edge, the unknown beckons soft and wide,",wide,guide,collide,True,10,True,456-own,456,stone,2,"A path of dreams, where time and space are","A path of dreams, where time and space are not confined.","A path of dreams, where time and space do not divide.","A path of dreams, where time and space are not confined.","A path of dreams, where time and space do not divide.","A path of dreams, where time and space are not confined.","A path of dreams, where time and space do not divide.","With whispers of the hidden paths, and dreams that guide the tide.","A path of dreams, where time and space are so mild.","A path of dreams, where time and space do not divide.","Beneath the map's edge, the unknown beckons soft and wide,  
Where secrets wait",A journey where the heart may find its truest tide.,A path where dreams might find their truest flight.,A tale of wonder waits to take its place.,"Beneath the map's edge, the unknown beckons soft and wide,  
Where shadows stretch",With whispered truth and stars that guide the way.,A wanderer's heart finds peace and pride.
35,184,"In starlit whispers, my heart ignites,",ignites,nights,ignites,True,9,True,126-deep,126,sweep,8,and dreams take flight in the quiet night.,and dreams take flight in the quietest of skies.,and dreams take flight in the quietest of nights.,and dreams take flight in the quietest of nights.,and dreams take flight in the quietest of nights.,and dreams take flight in the quietest of nights.,and dreams take flight in the quiet night.,"And every moment feels like a fleeting, beautiful night.",And dreams take flight where the cosmos sings.,and I feel the world turn gentle as night.,and dreams take flight in the quiet night.,and dreams take flight in every gentle night.,"I'll rhyme the next line with ""ignites"" and keep the same meter and tone.  

","and in every breeze, a gentle, sweet delight.",and dreams take flight in the silence of night.,and echoes of love in every tide.,and dreams take flight in the night's soft embrace.
