,Unnamed: 0,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation,temp_0.3_sample_1,temp_0.3_sample_2,temp_0.3_sample_3,temp_0.3_sample_4,temp_0.3_sample_5,temp_0.7_sample_1,temp_0.7_sample_2,temp_0.7_sample_3,temp_0.7_sample_4,temp_0.7_sample_5,temp_1.0_sample_1,temp_1.0_sample_2,temp_1.0_sample_3,temp_1.0_sample_4,temp_1.0_sample_5
10,35,"Justice weeps in shadowed halls,",halls,walls,halls,True,21,True,40-night,40,light,19,Law's cold hand holds the scales.,Love whispers through broken glass.,Hope still burns in silent calls.,Law's cold hand holds the scales.,Law's cold decree remains.,Hope still burns in silent calls.,"Truth stands unyielding, bold.",Truth stands alone in solemn light.,Fear grips the hearts of all.,Fear grips the hearts of all.,Love ignites the fading lights.,"Truth stands unyielding, bold.",Law's decree echoes through the pale light.,"Truth stands unyielding, bold.",Mist clings to the echoes of the gall.,Mourning the wrongs that cannot fall.,"Pain echoes through the cold, stone walls."
11,38,"Anger boils like storm in night,",night,bright,light,True,11,True,4-sublime,4,time,14,Fire burns through silent sight.,Fire burns through the sky.,Fire burns through silent sight.,Fire burns through silent sight.,Fire burns through silent sight.,Fire burns through silent sight.,Fear takes hold of every sight.,Fear crawls like shadows in the light.,Fire crackles in the dark.,Fire burns through silent light.,Fire swells with rage unbound.,Fury roars through the bleak and cold.,Fear takes hold of the heart.,Hope fades like dew in light.,Fear grips the heart with might.,Fire cracks the calm and bright.,Hope sings through trembling light.
12,40,"Whispers coil like shadows, cold and tight,",tight,night,light,True,19,True,197-lines,197,shines,21,Secrets cling to the night.,Secrets cling to the night.,Hollow hearts in silent night.,Secrets cling to the breath of night.,Hollow hearts in silent night.,Secrets cling to the night.,Secrets cling to the night.,Secrets cling to the breath of night.,Silent as the night.,Holds the secrets of the night.,Suffocating the light.,Breath holds steady in the night.,Fingers trace the edge of night.,Secrets hug the night.,Secrets cling to the night.,"Flicker faint, yet never quite.",Fingers tremble in the silent night.
13,41,"Like sunlight breaking through the clouds of gray,",gray,day,grey,True,27,True,21-keen,21,unseen,43,A promise of hope in every day.,A promise brightens every shadowed day.,"A promise of dawn's bright, hopeful day.",A promise of hope in every day.,A promise of hope in every day.,A promise of hope in every day.,A hopeful dawn begins to show.,A hopeful dawn begins to show.,A fresh hope begins to sway.,A promise of hope in every way.,A brighter day awaits.,A hope that fills the empty day.,A promise of warmth in the morning day.,A ray of hope begins to pay.,A hopeful dawn begins to show.,A hope that brings the dawn to day.,A fresh hope begins to sway.
14,43,"Autumn's breath turns leaves to gold, a whispered story told,",told,hold,told,True,19,True,27-twine,27,entwine,39,A silent dance in the wind's soft hold.,A silent dance in the wind's soft tune.,"A silent dance in the cool, crisp air.",A silent dance in the wind's soft song.,A silent dance in the wind's soft hold.,"A silent dance in the cool, crisp air.","A silent dance in the cool, crisp air.","A tale of time, both old and bold.",A silent dance in the wind's embrace.,A tale of time that's softly spent.,A silent dance in the wind's embrace.,A rustling song in the wind's soft call.,A silent dance in dewy light.,A silent dance in the wind's embrace.,A whispered story told.,A fleeting tale of time's soft hold.,"A silent dance in the cool, crisp air."
15,44,"The shadows stretch where laughter once was bright,",bright,tight,light,True,18,True,43-hold,43,told,19,The echoes whisper of a fading light.,The echoes linger in the silent air.,The echoes linger in the silent night.,The echoes linger in the silent night.,The echoes whisper of a fading light.,The echoes whisper of a fading light.,"The night now whispers, cold and tight.",The echoes whisper of a fading light.,The whispers now carry a silent night.,The silence speaks in whispers of the night.,"The night now whispers, cold and deep.",The air now holds a silent night.,The night now whispers through the light.,Silence lingers in the fading light.,The whispers of the night.,The echoes whisper of a fading light.,The air now holds a silent night.
16,45,"Beneath the canvas of twilight's embrace,",embrace,grace,embrace,True,21,True,111-shore,111,soar,28,The stars begin to twinkle in the silent grace,A silent world breathes in the glow of the shore.,The stars begin to twinkle in the silent grace.,The stars begin to twinkle in the silent grace.,The stars begin to twinkle in the silent grace.,A silent world breathes in fading grace.,The stars begin to twinkle in the fading light.,Stars whisper secrets to the fading grace.,The stars begin to twinkle in the silent grace.,The stars begin to twinkle in the fading light.,A silent world in hues of grace.,A silent world breathes in fading grace.,The stars begin to weave their silent grace.,A silent world leans into the grace.,"Stars weave their silent, shimmering trace.",Stars whisper secrets to the darkened face.,The stars begin to twinkle in the dark.
17,48,"Stars map my longing in the heavens’ sly embrace,",embrace,grace,embrace,True,14,True,54-day,54,grey,15,Moonlight whispers secrets through the veil of night.,Moonlight whispers secrets through the night’s soft veil.,Moonlight weaves my secrets into the night’s soft grace.,Moonlight whispers secrets through the veil of night.,Moonlight whispers secrets through the veil of night.,Moonlight weaves my secrets into the night’s soft grace.,Moonlight whispers secrets through the veil of night.,"Moonlight whispers secrets through the silent, starry space.",Moonlight weaves the tale of nights I can’t erase.,Night whispers secrets through the silence of the space.,Moonlight whispers secrets through the silent night.,Moonlight whispers secrets through the veil of night.,Moonlight whispers secrets through the silent space.,Moonlight whispers secrets through the veil of night.,Moonlight whispers secrets through the silent night's lace.,Moonlight whispers secrets through the gaps of space.,"I trace the cosmos’ pulse in silent, starlit grace."
18,49,"In the mirror of time, I trace the shadow I’ve sown,",sown,grown,stone,True,20,True,176-ink,176,clink,48,A seed of doubt in the soil of my own,A fleeting echo of who I once was.,A seed of doubt in the soil of my own making.,A fleeting echo of the life I’ve known.,A seed of doubt in the soil of my own making.,A seed of doubt begins to grow.,A seed of doubt begins to grow.,A tale of the seeds I have grown.,A tale of the wounds I have known.,A seed of doubt in the soil of my own making.,A fleeting echo of the life I've known.,"A harvest of years, both ripe and unknown.",A garden of years where forgotten dreams are grown.,A tale of the seeds I have sown.,"A harvest of doubt, where the future is sown.",A fleeting echo of what I've been.,"A tale of echoes, forever grown."
19,50,"In whispers of light, the soul finds its creed,",creed,need,creed,True,36,True,65-night,65,light,14,"In whispers of light, the soul finds its creed","In whispers of light, the soul finds its truth.","In whispers of light, the soul finds its creed,  
A quiet flame burns through the night.","In whispers of light, the soul finds its creed,  
A silent prayer in the hush of","In whispers of light, the soul finds its creed,  
A silent prayer in the hush of","In whispers of light, the soul finds its creed,  
A silent hymn to the heart's","In whispers of light, the soul finds its creed,  
A silent hymn to the heart's","In whispers of light, the soul finds its creed,  
A quiet flame burns through the night.","In whispers of light, the soul finds its creed,  
A quiet flame burns through the night.","In shadows of night, the heart seeks its need.","In whispers of light, the soul finds its creed,  
A quiet flame burns through the endless need","In whispers of light, the soul finds its creed,  
A silent prayer in the echo of need","In shadows of night, the spirit is led.","In hushes of night, the spirit is freed.","In shadows of night, the heart seeks the deed.","In whispers of light, the soul finds its creed,  
In silent devotion, it claims its right","In shadows of night, the heart seeks the seed."
20,53,"The reaper’s shadow lengthens with the noon,",noon,tune,noon,True,35,True,21-keen,21,unseen,43,"The sun dips low, casting gold on the ground",The reaper’s shadow lengthens with the moon.,"The sun dips low, casting gold on the ground.","The sun dips low, casting gold on the ground.","The reaper’s shadow lengthens with the noon,  
A silent hymn to time’s un","The sun dips low, casting gold on the ground.","The sun dips low, casting gold on the ground.","The sun dips low, casting gold on the ground.","The sun dips low, casting gold through the ground.","The reaper’s shadow lengthens with the noon,  
A silent hymn in the golden hue",The sun begins to wane.,"The reaper’s shadow lengthens with the noon,  
A whispered tale of fields and golden moon",The sun’s last light begins to wane.,The sun’s last light begins to wane.,The sun now burns with twilight’s tune.,The sun begins to wane.,"The sun dips low, casting long, pale lines."
21,54,"Blossoms bloom where laughter finds its way,",way,day,grey,True,15,True,302-disguise,302,dies,13,Petals dance in the morning's ray.,Petals dance in the morning light.,Petals dance in the morning's ray.,Petals dance in the morning light.,Petals dance in the morning's ray.,Petals dance in the morning's ray.,Petals dance in the morning's ray.,Petals dance in the morning light.,Petals dance in the morning's ray.,Petals dance in the morning's ray.,Petals dance in the morning'sRAY.,Petals dance in the morning's ray.,Petals dance in the morning's praise.,Petals dance in the morning light.,Petals dance in the morning light.,Petals dance in the morning's ray.,Petals dance in the morning's ray.
22,57,Whispers of velvet and hues that sing—,sing,spring,sing,True,20,True,61-grace,61,embrace,14,A symphony of night's gentle spring.,Silken dreams in the hush of the night.,"A symphony of night, where stars take wing.",A symphony of night's gentle spring.,A symphony of night's gentle spring.,A symphony of night's gentle spring.,A symphony of night's gentle spring.,A symphony of night's gentle sting.,"A symphony of night, where secrets cling.",A dream woven in twilight’s gentle sting.,Moonlight dances on the edge of night.,A symphony of night's gentle spring.,A symphony of spring.,A symphony of twilight's soft spring.,"A twilight sky, soft and deep.",Stars twinkle in the velvet sky.,A symphony of the night's soft spring.
23,58,"A shadow fades where the flame won’t die,",die,sky,sigh,True,15,True,272-dawn,272,dawn,11,A ghostly wail echoes in the sky.,A ghostly wail echoes through the snow.,A ghostly wail echoes in the sky.,A ghostly whisper lingers in the sky.,A ghostly whisper lingers in the sky.,A ghostly whisper lingers in the sky.,A ghostly wail echoes in the sky.,A ghostly light in the night.,A whisper lingers in the night.,A ghostly wail echoes in the sky.,A ghostly whisper in the cry.,A ghostly wail echoes in the sky.,A ghostly waltz in the dying sky.,A whisper lingers in the sky.,A ghostly waltz in the dying sky.,A whisper lingers in the sky.,A ghostly wail echoes through the sky.
24,59,"Whispers through the grass where the wild things dance,",dance,glance,dance,True,19,True,101-shame,101,name,14,Sighs with the wind in the silent land,Sighs with the wind in the twilight's embrace.,Sighs with the wind in the twilight's embrace.,Sighs with the wind in the twilight's embrace.,Songs of the wind in the twilight's embrace.,Spirits of the night in the moon's soft trance.,Sighs with the wind in the silent land.,Sighs with the wind in the silent land.,Singing songs of the night's gentle trance.,Sighs with the wind in the silent land.,Sighs with the wind in the silent trance.,"Beneath the moon’s soft, silver glance.",A secret tale the wind has chance.,Scent of the wind where the stars are born.,Sighs of the wind in the twilight's embrace.,Sighs with the wind in the midnight trance.,Songs of the wind in the evening's trance.
25,60,"A bond unspoken, yet deep as the sea,",sea,free,sea,True,19,True,287-tales,287,trails,22,"A whisper of love, forever to be.","A whisper of love, forever to be.","A whisper of love, forever to be.","A heart that whispers, but never reveals.","A whisper of love, forever to be.","A whisper of love, forever to be.",A whisper of hope in the silence between.,A whisper of hope in the tide's decree.,"A whisper of love, ever near.","A whisper of love, forever to be.",A love that time cannot tame.,A heart that knows what words cannot say.,"A whisper of trust, held close and true.",Holds the truth of hearts that cannot be seen.,"A silent promise, true as the moon.","A silent promise, true as the moon.","A heart that echoes, never truly free."
26,61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,grace,embrace,True,14,True,258-breeze,258,trees,13,A gentle thaw begins to wake.,A gentle thaw begins to weave the day.,A gentle thaw begins to grace.,A gentle thaw begins to grace.,A gentle thaw begins to trace.,A tender kiss from the sun’s warm gaze.,A gentle thaw begins to weave the day.,A dance of thawing ice and thawing grace.,A gentle thaw begins to grace.,A tender dance of hope in every petal's grace.,A tender kiss from the sun’s warm embrace.,A gentle thaw begins to grace.,A gentle thaw awakes the earth to life.,A tender kiss on the waking earth.,A gentle thaw begins to spread.,A gentle dance of hope in every waking place.,A gentle thaw begins to wake.
27,65,"In the dance of flaw and flawless light,",light,night,light,True,14,True,244-pride,244,collide,16,A shadow twirls in the beam's bright,A shadow plays with the sun's bright pride.,A shadow twirls in the beam's bright flight.,A shadow twirls in the beam's bright flight.,A shadow twirls in the pale moon's sight.,A shadow twirls in the gleam of night.,A shadow twirls in the glow's bright night.,Shadows waltz in silent flight.,A shadow twirls in the beam's bright height.,Shadows waltz in silent night.,Shine through the shadow's fleeting night.,"A shadow whispers, ""Be bright.""","A shadow whispers, ""Be.""","We waltz through shadows, chasing the night.","We twirl through shadows, pure and bright.",We waltz through shadow and bright.,A shadow twirls in the pale moon's bright.
28,66,"Whispers of wind through the ancient oak's embrace,",embrace,trace,embrace,True,18,True,116-hell,116,dwell,25,"Leaves dance in a silent, rhythmic grace","Leaves dance in a silent, rhythmic spell.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, mournful grace.","Leaves dance in a silent, ghostly race.","Leaves dance in a silent, rhythmic race.","Leaves dance in rhythm, a silent, sweet chase.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, fleeting race.",Tears of the moon in the silence of night.
29,67,"In mirrored shades where shadow dares to creep,",creep,keep,sweep,True,25,True,302-disguise,302,dies,13,Whispers of night in silent deep.,"The stars above in silent, watchful guise.",Whispers of night in silent deep.,Whispers of night in silent deep.,Whispers of night in silent deep.,Whispers dance in the silent deep.,Whispers of night in silent keep.,Whispers dance in the silent deep.,Secrets whisper in the silent deep.,The light begins to weep.,Whispers of night in silent deep.,Whispers dance in the silent deep.,A whispered tale through silent streets.,Secrets whisper in the silent keep.,"Whispers dance in stolen, silent keep.",Whispers of the night in silent keep.,"Moonlight weeps in silent, ghostly keep."
30,76,"Colors whisper tales in hues once unknown,",unknown,stone,stone,True,27,True,65-night,65,light,14,Secrets bloom where light and shadow meet.,Shadows dance with secrets in the night.,Shadows dance with secrets they have known.,Shadows dance with secrets they have known.,Secrets bloom where light and shadow meet.,Scattered like dreams in a twilight scene.,Secrets bloom where light and shadow meet.,Shadows hold the secrets of the unknown.,Silent skies ignite with whispered tones.,Tales of the soul in shades they've been shown.,Shadows dance with secrets they have never shown.,Silent shadows dance in twilight's glow.,Scattering light through every shadowed stone.,"Shapes dance in silence, bold and unknown.",Silent secrets bloom in every tone.,Secrets bloom where shadows softly moan.,Mysterious shadows dance in the unknown.
31,81,"Whispers of winds through ancient green trees,",trees,seas,trees,True,16,True,60-free,60,sea,19,Singing the songs of bygone years.,Singing tales of time and unseen.,Singing tales of time and unseen dreams.,Singing the songs of the forest's dreams.,Singing the songs of bygone years.,Singing the songs of bygone years.,Singing the songs of the forest's dreams.,Singing the songs of bygone years.,Singing the tales of bygone years.,Singing tales of time long past.,"Whispers of winds through ancient green trees,  
A symphony of leaves in the breeze.",Sing songs of old in the rustling breeze.,Swaying the leaves in a silent breeze.,Singing tales of time long past.,Sighs of the past in every breeze.,Singing old songs to the silent breeze.,Hush the night with secrets they weave.
32,85,"Justice weeps in shadowed halls,",halls,walls,halls,True,21,True,175-low,175,glow,27,Law's cold hand holds the scales.,Hope still burns in silent snow.,Hope still burns in silent calls.,Law's cold decree remains.,Law's silent reign remains.,"Truth stands unyielding, bold.",Law's cold decree remains.,Mourning the wrongs that never fall.,Righteousness stands in solemn wait.,Pain echoes through silent walls.,Fear grips the hearts of all.,Mourning the wrongs that never fall.,Mourning the wrongs that never fall.,Fear grips the trembling souls.,Love burns in whispered calls.,Mourns the wrongs that time cannot gall.,Mourning the lost and the fall.
33,91,"In shadows deep where hope once danced with light,",light,night,light,True,21,True,159-grace,159,embrace,21,A silent night.,A silent night.,A silent night.,A silent night.,A silent night.,"Secrets whisper low, a silent night.",A silent night.,A silent night.,A silent night.,A silent night.,Whispers of despair take flight.,Secrets whisper in the night.,A whisper waits to steal the night.,"Beneath the moon's cold, watching sight.","Secrets whisper low, a silent night.","Secrets whisper low, a silent night.",A silent night.
34,92,"In shadow's grip, cannon-light whispers of rage,",rage,stage,rage,True,28,True,185-bare,185,despair,19,A silent scream in the darkened stage.,A silent war in the darkened air.,A silent scream in the darkened stage.,A silent scream in the darkened stage.,"In shadow's grip, cannon-light whispers of rage,  
A silent storm brews where the dead",A silent scream in the darkened stage.,"In shadow's grip, cannon-light whispers of rage,  
A silent storm brews where the echoes","In shadow's grip, cannon-light whispers of rage,  
A silent war in the hush of",A thunderous cry breaks the night's cage.,A silent flame burns in the dark.,"In shadow's grip, cannon-light whispers of rage,  
A silent war blooms where the dark and",A silent scream in the dark.,Fire breathes through the night's iron cage.,"In shadow's grip, cannon-light whispers of rage,  
A silent war burns where the moonlight","In shadow's grip, cannon-light whispers of rage,  
A silent storm in the heart of the","In shadow's grip, cannon-light whispers of rage,  
The dying sun stirs secrets lost to","In shadow's grip, cannon-light whispers of rage,  
A silent war burns in the echo of"
35,100,"In twilight’s hush, where hearts exhale,",exhale,unveil,exhale,True,24,True,92-stage,92,rage,28,The stars above begin to unveil.,The stars above begin to sing.,The stars above begin to unveil.,"The stars begin to twinkle, one by one.",The stars begin to unveil.,"The stars begin to twinkle, one by one.",Silent dreams take flight.,Silent dreams take flight.,Silent dreams take flight.,The stars above begin to gleam.,The stars above begin to gleam.,Silent dreams take flight.,A silent tale unfolds.,The stars above begin to unveil.,The silent world begins to sail.,Silent dreams take flight.,The stars above begin to gleam.
36,101,"The shadows whisper threats they cannot name,",name,shame,name,True,14,True,150-flight,150,light,6,"The night holds secrets in its cold, tame.",The wind carries secrets in a silent chant.,The night holds its breath in silent shame.,The wind carries secrets through the frame.,The wind carries secrets through the trees.,The wind carries secrets through the trees.,The moonlight hides the truth it dare not claim.,The night holds its breath in silent claim.,The night holds secrets in its silent frame.,The moonlight hides the truth it dare not claim.,"The night holds secrets in its cold, tame.",The night holds secrets no moon can tame.,The moonlight fears to speak their tale.,The wind carries secrets through the flame.,"The night holds secrets in its cold, tame.",The night holds secrets it was never tame.,The moonlight dares to bear the blame.
37,104,"Footprints in the dust of days gone by,",by,sigh,sigh,True,17,True,258-breeze,258,trees,13,"Echoes of the past, still lingering in the",Whispers of the past that never cease.,Echoes of the past still lie.,Whispers of the past still lie.,Echoes of a tale that time can't erase.,Whispers of the past in every sigh.,Whispers of the past in every sigh.,"Echoes of the past, whispered in the wind.",Whispers of the past in every sigh.,Whispers of the wind in the trees above.,"Echoes of the past, still whispering goodbye.",Whispers of the past in every sigh.,Shadows whisper secrets of the past.,Whispers of the past still linger in the sky.,Echoes of a life that time can't undo.,Whispers of the past in every sigh.,Whispers of the past still lie.
38,111,"The thunder in his chest begins to roar,",roar,shore,soar,True,28,True,58-sky,58,sigh,15,The storm inside him breaks the shore.,The storm inside him breaks the sky.,The storm inside him breaks the shore.,The storm within him breaks the shore.,The storm inside him breaks the shore.,The storm within him breaks the shore.,The storm inside him breaks the shore.,The storm inside him breaks the shore.,The storm within him breaks the shore.,The storm within him breaks the shore.,The storm inside him breaks the shore.,The wind in his hair starts to howl.,The storm within him grows more loud.,The wind follows close behind.,The storm will not be quiet any more.,The wind is screaming through the door.,The wind in his soul begins to soar.
39,116,"Silent nights where echoes dwell,",dwell,hell,dwell,True,25,True,58-sky,58,sigh,15,Whispers hush the trembling hell.,Whispers drift through shadowed skies.,Whispers hush the trembling hell.,Whispers call from shadowed cells.,Whispers call from shadowed hell.,Whispers call from shadowed hell.,Whispers hush the trembling hell.,Whispers hush the trembling shell.,Whispers trace the hollow shell.,Whispers tell.,Whispers linger in the shell.,Whispers trace the hollow shell.,Whispers hush the trembling hell.,Whispers call from shadowed wells.,Whispers linger in the shell.,Whispers curl in the stillness' shell.,Whispers haunt the empty hall.
40,118,"Autumn's breath whispers through the trees,",trees,breeze,trees,True,12,True,31-sun,31,spun,28,Gold leaves dance in the fading light.,Crimson leaves dance in the cool breeze.,Golden leaves dance in the breeze.,Golden leaves dance in the breeze.,Gold leaves dance in silent breeze.,Gold leaves dance in the fading light.,Golden leaves dance in the breeze.,Gold leaves dance in the fading light.,Golden leaves dance in the breeze.,Crimson leaves dance in the breeze.,Gold leaves dance in the fading light.,Crimson leaves dance in the breeze.,Crimson leaves dance in the breeze.,Gold leaves dance in silent breeze.,Golden leaves dance in the breeze.,Golden leaves dance in the breeze.,Golden leaves dance in the breeze.
