planned,article,predicted_article,article_correct,predicted_planned,planned_correct,predicted_planned_wrong_article,planned_wrong_article_correct,prob_article,prob_a,prob_an,correct_article_higher,prob_planned,prob_planned_wrong_article,ic_planned,ic_article,ic_description,prompt_before_article,prompt_with_article,prompt_with_wrong_article,slug,filename,original_a_prob,original_an_prob,all_zeroed_a_prob,all_zeroed_an_prob,all_multiplied_a_prob,all_multiplied_an_prob,direct_zeroed_a_prob,direct_zeroed_an_prob,direct_multiplied_a_prob,direct_multiplied_an_prob,random_zeroed_a_prob,random_zeroed_an_prob,random_multiplied_a_prob,random_multiplied_an_prob,selected_nodes_count
bike,a,a,True,bicycle,False,automobile,False,0.9970332384109496,0.9970332384109496,3.985305374953896e-05,True,0.9875501990318298,0.5667282938957214,bird,a,The feathered creature that flies through the sky and builds nests is a bird,"<|im_start|>user
The feathered creature that flies through the sky and builds nests is a bird. The two-wheeled vehicle you pedal with your feet to move forward is","<|im_start|>user
The feathered creature that flies through the sky and builds nests is a bird. The two-wheeled vehicle you pedal with your feet to move forward is a","<|im_start|>user
The feathered creature that flies through the sky and builds nests is a bird. The two-wheeled vehicle you pedal with your feet to move forward is an",Qwen3-4B-a-bike,a-bike.pt,0.99609375,3.528594970703125e-05,0.99609375,8.440017700195312e-05,1.0,3.293156623840332e-06,0.99609375,5.793571472167969e-05,1.0,1.0132789611816406e-05,0.99609375,3.981590270996094e-05,1.0,4.5299530029296875e-05,17
bird,a,a,True,bird,True,eagle,False,0.9851603507995604,0.9851603507995604,0.0008890430326573,True,0.9407006502151488,0.3832007646560669,finger,a,The digit at the end of your hand that you point with or wear rings on is a finger,"<|im_start|>user
The digit at the end of your hand that you point with or wear rings on is a finger. The feathered creature that flies through the sky and builds nests is","<|im_start|>user
The digit at the end of your hand that you point with or wear rings on is a finger. The feathered creature that flies through the sky and builds nests is a","<|im_start|>user
The digit at the end of your hand that you point with or wear rings on is a finger. The feathered creature that flies through the sky and builds nests is an",Qwen3-4B-a-bird,a-bird.pt,0.984375,0.000896453857421875,0.9453125,0.028564453125,0.99609375,1.8835067749023438e-05,0.9765625,0.00188446044921875,0.9375,0.0002460479736328125,0.98046875,0.00069427490234375,0.984375,0.0035552978515625,34
blanket,a,a,True,blanket,True,______,False,0.9905073642730712,0.9905073642730712,0.000477724650409,True,0.8628491163253784,0.1457472741603851,toothbrush,a,The handheld tool with bristles used to clean teeth twice daily is a toothbrush,"<|im_start|>user
The handheld tool with bristles used to clean teeth twice daily is a toothbrush. The warm covering you pull over yourself when sleeping or staying cozy is","<|im_start|>user
The handheld tool with bristles used to clean teeth twice daily is a toothbrush. The warm covering you pull over yourself when sleeping or staying cozy is a","<|im_start|>user
The handheld tool with bristles used to clean teeth twice daily is a toothbrush. The warm covering you pull over yourself when sleeping or staying cozy is an",Qwen3-4B-a-blanket,a-blanket.pt,0.9921875,0.00042724609375,0.9921875,0.000331878662109375,0.98046875,0.0123291015625,0.9921875,0.000377655029296875,0.08154296875,7.43865966796875e-05,0.9921875,0.00042724609375,0.9921875,0.000484466552734375,3
blender,a,a,True,blender,True,blender,True,0.988140344619751,0.988140344619751,0.0026314607821404,True,0.9619805812835692,0.7410430908203125,undershirt,an,The sleeveless garment worn underneath a shirt next to the skin is an undershirt,"<|im_start|>user
The sleeveless garment worn underneath a shirt next to the skin is an undershirt. The kitchen appliance with spinning blades that mixes and purees ingredients is","<|im_start|>user
The sleeveless garment worn underneath a shirt next to the skin is an undershirt. The kitchen appliance with spinning blades that mixes and purees ingredients is a","<|im_start|>user
The sleeveless garment worn underneath a shirt next to the skin is an undershirt. The kitchen appliance with spinning blades that mixes and purees ingredients is an",Qwen3-4B-a-blender,a-blender.pt,0.98828125,0.002777099609375,0.98828125,0.002777099609375,0.98828125,0.002777099609375,0.98828125,0.002777099609375,0.98828125,0.002777099609375,0.98828125,0.002777099609375,0.98828125,0.002777099609375,0
bug,a,a,True,grass,False,ant,False,0.8511732816696167,0.8511732816696167,0.1344085484743118,True,0.450354665517807,0.4936340153217315,stroller,a,The wheeled frame that parents push to transport babies and toddlers is a stroller,"<|im_start|>user
The wheeled frame that parents push to transport babies and toddlers is a stroller. The small crawling insect with six legs that might be found in your garden is","<|im_start|>user
The wheeled frame that parents push to transport babies and toddlers is a stroller. The small crawling insect with six legs that might be found in your garden is a","<|im_start|>user
The wheeled frame that parents push to transport babies and toddlers is a stroller. The small crawling insect with six legs that might be found in your garden is an",Qwen3-4B-a-bug,a-bug.pt,0.85546875,0.130859375,0.96875,0.017822265625,0.0179443359375,0.98046875,0.83984375,0.1455078125,0.453125,0.0888671875,0.85546875,0.130859375,0.7890625,0.19921875,13
burrito,a,a,True,_,False,ench,False,0.8932664394378662,0.8932664394378662,0.0011881493264809,True,0.3282470107078552,0.7997990250587463,apron,an,The protective garment tied around the waist to keep clothes clean while cooking is an apron,"<|im_start|>user
The protective garment tied around the waist to keep clothes clean while cooking is an apron. The Mexican food consisting of a flour tortilla wrapped around beans and meat is","<|im_start|>user
The protective garment tied around the waist to keep clothes clean while cooking is an apron. The Mexican food consisting of a flour tortilla wrapped around beans and meat is a","<|im_start|>user
The protective garment tied around the waist to keep clothes clean while cooking is an apron. The Mexican food consisting of a flour tortilla wrapped around beans and meat is an",Qwen3-4B-a-burrito,a-burrito.pt,0.8984375,0.001190185546875,0.8984375,0.00135040283203125,0.9140625,0.000652313232421875,0.890625,0.00118255615234375,0.9140625,0.00121307373046875,0.90625,0.00106048583984375,0.8359375,0.0009765625,4
cactus,a,a,True,c,True,ag,False,0.929626166820526,0.929626166820526,0.0007581965764984,True,0.9977591037750244,0.2196558117866516,bedsheet,a,The thin fabric covering that lies directly on top of a mattress is a bedsheet,"<|im_start|>user
The thin fabric covering that lies directly on top of a mattress is a bedsheet. The spiky desert plant that stores water in its thick green stem is","<|im_start|>user
The thin fabric covering that lies directly on top of a mattress is a bedsheet. The spiky desert plant that stores water in its thick green stem is a","<|im_start|>user
The thin fabric covering that lies directly on top of a mattress is a bedsheet. The spiky desert plant that stores water in its thick green stem is an",Qwen3-4B-a-cactus,a-cactus.pt,0.9375,0.000751495361328125,0.9375,0.00075531005859375,0.91796875,0.000835418701171875,0.9375,0.00075531005859375,0.029296875,2.0742416381835938e-05,0.93359375,0.000751495361328125,0.92578125,0.0007476806640625,6
cage,a,a,True,cage,True,avi,False,0.7965494990348816,0.7965494990348816,0.0098121548071503,True,0.5765970945358276,0.7088097333908081,cigar,a,The rolled tobacco leaves that people smoke and are bad for health is a cigar,"<|im_start|>user
The rolled tobacco leaves that people smoke and are bad for health is a cigar. The metal or wooden enclosure used to confine birds or small animals is","<|im_start|>user
The rolled tobacco leaves that people smoke and are bad for health is a cigar. The metal or wooden enclosure used to confine birds or small animals is a","<|im_start|>user
The rolled tobacco leaves that people smoke and are bad for health is a cigar. The metal or wooden enclosure used to confine birds or small animals is an",Qwen3-4B-a-cage,a-cage.pt,0.79296875,0.01129150390625,0.7734375,0.00970458984375,0.875,0.01611328125,0.73046875,0.01043701171875,0.9375,0.00811767578125,0.796875,0.010009765625,0.79296875,0.007781982421875,6
camera,a,a,True,camera,True,______,False,0.8951326608657837,0.8951326608657837,0.0002454370260238,True,0.9130895137786864,0.3925489485263824,sponge,a,The soft absorbent material full of holes used for cleaning and washing is a sponge,"<|im_start|>user
The soft absorbent material full of holes used for cleaning and washing is a sponge. The device that captures images when you press a button and say cheese is","<|im_start|>user
The soft absorbent material full of holes used for cleaning and washing is a sponge. The device that captures images when you press a button and say cheese is a","<|im_start|>user
The soft absorbent material full of holes used for cleaning and washing is a sponge. The device that captures images when you press a button and say cheese is an",Qwen3-4B-a-camera,a-camera.pt,0.890625,0.000263214111328125,0.8515625,0.00164794921875,0.97265625,6.3478946685791016e-06,0.8984375,0.000438690185546875,0.00035858154296875,3.888271749019623e-08,0.94921875,0.0001697540283203125,0.59765625,0.000545501708984375,21
carrot,a,a,True,type,False,orange,False,0.5132614374160767,0.5132614374160767,0.0319821871817112,True,0.3131542801856994,0.3885378241539001,orchard,an,The area of land with many fruit trees planted in rows for harvesting is an orchard,"<|im_start|>user
The area of land with many fruit trees planted in rows for harvesting is an orchard. The orange root vegetable that Bugs Bunny is famous for eating is","<|im_start|>user
The area of land with many fruit trees planted in rows for harvesting is an orchard. The orange root vegetable that Bugs Bunny is famous for eating is a","<|im_start|>user
The area of land with many fruit trees planted in rows for harvesting is an orchard. The orange root vegetable that Bugs Bunny is famous for eating is an",Qwen3-4B-a-carrot,a-carrot.pt,0.515625,0.033203125,0.45703125,0.03759765625,0.62890625,0.01904296875,0.515625,0.037353515625,0.447265625,0.010498046875,0.48046875,0.0306396484375,0.546875,0.0272216796875,4
cauliflower,a,a,True,______,False,art,False,0.8997893929481506,0.8997893929481506,0.0012649513082578,True,0.1515022069215774,0.4094323217868805,bookshelf,a,The tall furniture piece with horizontal shelves for storing books is a bookshelf,"<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The white flowering vegetable with a bumpy head often served steamed is","<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The white flowering vegetable with a bumpy head often served steamed is a","<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The white flowering vegetable with a bumpy head often served steamed is an",Qwen3-4B-a-cauliflower,a-cauliflower.pt,0.90234375,0.0013580322265625,0.90625,0.00119781494140625,0.90234375,0.00153350830078125,0.90234375,0.0013580322265625,0.89453125,0.00104522705078125,0.90234375,0.0013580322265625,0.90234375,0.0013580322265625,1
cellphone,a,a,True,smartphone,False,iphone,False,0.9920843839645386,0.9920843839645386,6.339464744087309e-05,True,0.6373594999313354,0.7647819519042969,fingerprint,a,The unique mark left by the tip of your finger that no one else has is a fingerprint,"<|im_start|>user
The unique mark left by the tip of your finger that no one else has is a fingerprint. The portable electronic device you use to make calls and send texts is","<|im_start|>user
The unique mark left by the tip of your finger that no one else has is a fingerprint. The portable electronic device you use to make calls and send texts is a","<|im_start|>user
The unique mark left by the tip of your finger that no one else has is a fingerprint. The portable electronic device you use to make calls and send texts is an",Qwen3-4B-a-cellphone,a-cellphone.pt,0.9921875,6.532669067382812e-05,0.9921875,7.43865966796875e-05,0.9921875,1.8835067749023438e-05,0.9921875,7.43865966796875e-05,1.895427703857422e-05,9.1313268058002e-10,0.9921875,6.532669067382812e-05,0.98828125,7.390975952148438e-05,5
chimney,a,a,True,______,False,air,False,0.9543346166610718,0.9543346166610718,0.0021392495837062,True,0.420908123254776,0.4543897807598114,tractor,a,The large farm vehicle that pulls plows and other equipment through fields is a tractor,"<|im_start|>user
The large farm vehicle that pulls plows and other equipment through fields is a tractor. The brick or stone structure on a roof that allows smoke to escape is","<|im_start|>user
The large farm vehicle that pulls plows and other equipment through fields is a tractor. The brick or stone structure on a roof that allows smoke to escape is a","<|im_start|>user
The large farm vehicle that pulls plows and other equipment through fields is a tractor. The brick or stone structure on a roof that allows smoke to escape is an",Qwen3-4B-a-chimney,a-chimney.pt,0.9609375,0.00185394287109375,0.953125,0.002685546875,0.97265625,0.00165557861328125,0.9609375,0.0027008056640625,0.84765625,0.0009918212890625,0.96484375,0.00164794921875,0.84375,0.00567626953125,15
clock,a,a,True,clock,True,analog,False,0.8806042671203613,0.8806042671203613,0.0807311087846756,True,0.9933250546455384,0.9874613881111144,lime,a,The small green citrus fruit that's more sour than a lemon is a lime,"<|im_start|>user
The small green citrus fruit that's more sour than a lemon is a lime. The timepiece that hangs on the wall or sits on a table showing hours and minutes is","<|im_start|>user
The small green citrus fruit that's more sour than a lemon is a lime. The timepiece that hangs on the wall or sits on a table showing hours and minutes is a","<|im_start|>user
The small green citrus fruit that's more sour than a lemon is a lime. The timepiece that hangs on the wall or sits on a table showing hours and minutes is an",Qwen3-4B-a-clock,a-clock.pt,0.8671875,0.09130859375,0.96875,0.0034942626953125,0.13671875,0.019775390625,0.8046875,0.1396484375,0.00189971923828125,4.744529724121094e-05,0.84765625,0.10107421875,0.9765625,0.01397705078125,26
cobra,a,a,True,c,True,eagle,False,0.93107670545578,0.93107670545578,0.0118470406159758,True,0.460082471370697,0.5198988318443298,eye,an,The round organ in your head that you see with is an eye,"<|im_start|>user
The round organ in your head that you see with is an eye. The venomous snake with a hood that can rear up and strike is","<|im_start|>user
The round organ in your head that you see with is an eye. The venomous snake with a hood that can rear up and strike is a","<|im_start|>user
The round organ in your head that you see with is an eye. The venomous snake with a hood that can rear up and strike is an",Qwen3-4B-a-cobra,a-cobra.pt,0.921875,0.01318359375,0.92578125,0.01318359375,0.921875,0.014892578125,0.92578125,0.01318359375,0.921875,0.01318359375,0.92578125,0.01318359375,0.9296875,0.01171875,1
comb,a,a,True,comb,True,iron,False,0.996122181415558,0.996122181415558,2.360174221394118e-05,True,0.9989461302757264,0.7419436573982239,fig,a,The sweet chewy fruit that grows on trees and is often dried is a fig,"<|im_start|>user
The sweet chewy fruit that grows on trees and is often dried is a fig. The grooved tool you run through your hair to make it neat and tidy is","<|im_start|>user
The sweet chewy fruit that grows on trees and is often dried is a fig. The grooved tool you run through your hair to make it neat and tidy is a","<|im_start|>user
The sweet chewy fruit that grows on trees and is often dried is a fig. The grooved tool you run through your hair to make it neat and tidy is an",Qwen3-4B-a-comb,a-comb.pt,0.99609375,2.1338462829589844e-05,0.99609375,3.0994415283203125e-05,0.99609375,4.76837158203125e-06,0.99609375,2.1338462829589844e-05,0.08251953125,3.516674041748047e-06,0.99609375,1.8835067749023438e-05,0.99609375,5.817413330078125e-05,9
cookie,a,a,True,cookie,True,__,False,0.9988038539886476,0.9988038539886476,2.1161164113436826e-05,True,0.8828911185264587,0.1718552261590957,axe,an,The sharp tool with a wooden handle used for chopping wood is an axe,"<|im_start|>user
The sharp tool with a wooden handle used for chopping wood is an axe. The sweet baked treat that's often round and made with chocolate chips is","<|im_start|>user
The sharp tool with a wooden handle used for chopping wood is an axe. The sweet baked treat that's often round and made with chocolate chips is a","<|im_start|>user
The sharp tool with a wooden handle used for chopping wood is an axe. The sweet baked treat that's often round and made with chocolate chips is an",Qwen3-4B-a-cookie,a-cookie.pt,1.0,1.895427703857422e-05,1.0,2.4318695068359375e-05,0.99609375,0.00054931640625,1.0,1.4722347259521484e-05,0.9921875,9.5367431640625e-05,1.0,5.125999450683594e-05,1.0,1.3709068298339844e-06,12
crawfish,a,a,True,cope,False,______,False,0.9921154379844666,0.9921154379844666,0.0020939533133059,True,0.2142060548067093,0.2428909987211227,pillow,a,The soft rectangular cushion you rest your head on while sleeping is a pillow,"<|im_start|>user
The soft rectangular cushion you rest your head on while sleeping is a pillow. The small freshwater crustacean that looks like a tiny lobster is","<|im_start|>user
The soft rectangular cushion you rest your head on while sleeping is a pillow. The small freshwater crustacean that looks like a tiny lobster is a","<|im_start|>user
The soft rectangular cushion you rest your head on while sleeping is a pillow. The small freshwater crustacean that looks like a tiny lobster is an",Qwen3-4B-a-crawfish,a-crawfish.pt,0.9921875,0.002166748046875,0.98828125,0.005859375,0.99609375,5.817413330078125e-05,0.9921875,0.0024566650390625,0.984375,0.00130462646484375,0.9921875,0.002166748046875,0.9921875,0.002777099609375,7
