prompt,animal,number,answer
"At first there were 9 cats. Then, 8 went away. Now, there",cats,1,is
"At first there were 2 dogs. Then, 1 went away. Now, there",dogs,1,is
"At first there were 3 dogs. Then, 1 went away. Now, there",dogs,2,are
"At first there were 3 dogs. Then, 2 went away. Now, there",dogs,1,is
"At first there were 4 dogs. Then, 1 went away. Now, there",dogs,3,are
"At first there were 4 dogs. Then, 2 went away. Now, there",dogs,2,are
"At first there were 4 dogs. Then, 3 went away. Now, there",dogs,1,is
"At first there were 5 dogs. Then, 1 went away. Now, there",dogs,4,are
"At first there were 5 dogs. Then, 2 went away. Now, there",dogs,3,are
"At first there were 5 dogs. Then, 3 went away. Now, there",dogs,2,are
"At first there were 5 dogs. Then, 4 went away. Now, there",dogs,1,is
"At first there were 6 dogs. Then, 1 went away. Now, there",dogs,5,are
"At first there were 6 dogs. Then, 2 went away. Now, there",dogs,4,are
"At first there were 6 dogs. Then, 3 went away. Now, there",dogs,3,are
"At first there were 6 dogs. Then, 4 went away. Now, there",dogs,2,are
"At first there were 6 dogs. Then, 5 went away. Now, there",dogs,1,is
"At first there were 7 dogs. Then, 1 went away. Now, there",dogs,6,are
"At first there were 7 dogs. Then, 2 went away. Now, there",dogs,5,are
"At first there were 7 dogs. Then, 3 went away. Now, there",dogs,4,are
"At first there were 7 dogs. Then, 4 went away. Now, there",dogs,3,are
"At first there were 7 dogs. Then, 5 went away. Now, there",dogs,2,are
"At first there were 7 dogs. Then, 6 went away. Now, there",dogs,1,is
"At first there were 8 dogs. Then, 1 went away. Now, there",dogs,7,are
"At first there were 8 dogs. Then, 2 went away. Now, there",dogs,6,are
"At first there were 8 dogs. Then, 3 went away. Now, there",dogs,5,are
"At first there were 8 dogs. Then, 4 went away. Now, there",dogs,4,are
"At first there were 8 dogs. Then, 5 went away. Now, there",dogs,3,are
"At first there were 8 dogs. Then, 6 went away. Now, there",dogs,2,are
"At first there were 8 dogs. Then, 7 went away. Now, there",dogs,1,is
"At first there were 9 dogs. Then, 1 went away. Now, there",dogs,8,are
"At first there were 9 dogs. Then, 2 went away. Now, there",dogs,7,are
"At first there were 9 dogs. Then, 3 went away. Now, there",dogs,6,are
"At first there were 9 dogs. Then, 4 went away. Now, there",dogs,5,are
"At first there were 9 dogs. Then, 5 went away. Now, there",dogs,4,are
"At first there were 9 dogs. Then, 6 went away. Now, there",dogs,3,are
"At first there were 9 dogs. Then, 7 went away. Now, there",dogs,2,are
"At first there were 9 dogs. Then, 8 went away. Now, there",dogs,1,is
"At first there were 2 rabbits. Then, 1 went away. Now, there",rabbits,1,is
"At first there were 3 rabbits. Then, 1 went away. Now, there",rabbits,2,are
"At first there were 3 rabbits. Then, 2 went away. Now, there",rabbits,1,is
"At first there were 4 rabbits. Then, 1 went away. Now, there",rabbits,3,are
"At first there were 4 rabbits. Then, 2 went away. Now, there",rabbits,2,are
"At first there were 4 rabbits. Then, 3 went away. Now, there",rabbits,1,is
"At first there were 5 rabbits. Then, 1 went away. Now, there",rabbits,4,are
"At first there were 5 rabbits. Then, 2 went away. Now, there",rabbits,3,are
"At first there were 5 rabbits. Then, 3 went away. Now, there",rabbits,2,are
"At first there were 5 rabbits. Then, 4 went away. Now, there",rabbits,1,is
"At first there were 6 rabbits. Then, 1 went away. Now, there",rabbits,5,are
"At first there were 6 rabbits. Then, 2 went away. Now, there",rabbits,4,are
"At first there were 6 rabbits. Then, 3 went away. Now, there",rabbits,3,are
"At first there were 6 rabbits. Then, 4 went away. Now, there",rabbits,2,are
"At first there were 6 rabbits. Then, 5 went away. Now, there",rabbits,1,is
"At first there were 7 rabbits. Then, 1 went away. Now, there",rabbits,6,are
"At first there were 7 rabbits. Then, 2 went away. Now, there",rabbits,5,are
"At first there were 7 rabbits. Then, 3 went away. Now, there",rabbits,4,are
"At first there were 7 rabbits. Then, 4 went away. Now, there",rabbits,3,are
"At first there were 7 rabbits. Then, 5 went away. Now, there",rabbits,2,are
"At first there were 7 rabbits. Then, 6 went away. Now, there",rabbits,1,is
"At first there were 8 rabbits. Then, 1 went away. Now, there",rabbits,7,are
"At first there were 8 rabbits. Then, 2 went away. Now, there",rabbits,6,are
"At first there were 8 rabbits. Then, 3 went away. Now, there",rabbits,5,are
"At first there were 8 rabbits. Then, 4 went away. Now, there",rabbits,4,are
"At first there were 8 rabbits. Then, 5 went away. Now, there",rabbits,3,are
"At first there were 8 rabbits. Then, 6 went away. Now, there",rabbits,2,are
"At first there were 8 rabbits. Then, 7 went away. Now, there",rabbits,1,is
"At first there were 9 rabbits. Then, 1 went away. Now, there",rabbits,8,are
"At first there were 9 rabbits. Then, 2 went away. Now, there",rabbits,7,are
"At first there were 9 rabbits. Then, 3 went away. Now, there",rabbits,6,are
"At first there were 9 rabbits. Then, 4 went away. Now, there",rabbits,5,are
"At first there were 9 rabbits. Then, 5 went away. Now, there",rabbits,4,are
"At first there were 9 rabbits. Then, 6 went away. Now, there",rabbits,3,are
"At first there were 9 rabbits. Then, 7 went away. Now, there",rabbits,2,are
"At first there were 9 rabbits. Then, 8 went away. Now, there",rabbits,1,is
"At first there were 2 elephants. Then, 1 went away. Now, there",elephants,1,is
"At first there were 3 elephants. Then, 1 went away. Now, there",elephants,2,are
"At first there were 3 elephants. Then, 2 went away. Now, there",elephants,1,is
"At first there were 4 elephants. Then, 1 went away. Now, there",elephants,3,are
"At first there were 4 elephants. Then, 2 went away. Now, there",elephants,2,are
"At first there were 4 elephants. Then, 3 went away. Now, there",elephants,1,is
"At first there were 5 elephants. Then, 1 went away. Now, there",elephants,4,are
"At first there were 5 elephants. Then, 2 went away. Now, there",elephants,3,are
"At first there were 5 elephants. Then, 3 went away. Now, there",elephants,2,are
"At first there were 5 elephants. Then, 4 went away. Now, there",elephants,1,is
"At first there were 6 elephants. Then, 1 went away. Now, there",elephants,5,are
"At first there were 6 elephants. Then, 2 went away. Now, there",elephants,4,are
"At first there were 6 elephants. Then, 3 went away. Now, there",elephants,3,are
"At first there were 6 elephants. Then, 4 went away. Now, there",elephants,2,are
"At first there were 6 elephants. Then, 5 went away. Now, there",elephants,1,is
"At first there were 7 elephants. Then, 1 went away. Now, there",elephants,6,are
"At first there were 7 elephants. Then, 2 went away. Now, there",elephants,5,are
"At first there were 7 elephants. Then, 3 went away. Now, there",elephants,4,are
"At first there were 7 elephants. Then, 4 went away. Now, there",elephants,3,are
"At first there were 7 elephants. Then, 5 went away. Now, there",elephants,2,are
"At first there were 7 elephants. Then, 6 went away. Now, there",elephants,1,is
"At first there were 8 elephants. Then, 1 went away. Now, there",elephants,7,are
"At first there were 8 elephants. Then, 2 went away. Now, there",elephants,6,are
"At first there were 8 elephants. Then, 3 went away. Now, there",elephants,5,are
"At first there were 8 elephants. Then, 4 went away. Now, there",elephants,4,are
"At first there were 8 elephants. Then, 5 went away. Now, there",elephants,3,are
"At first there were 8 elephants. Then, 6 went away. Now, there",elephants,2,are
"At first there were 8 elephants. Then, 7 went away. Now, there",elephants,1,is
"At first there were 9 elephants. Then, 1 went away. Now, there",elephants,8,are
"At first there were 9 elephants. Then, 2 went away. Now, there",elephants,7,are
"At first there were 9 elephants. Then, 3 went away. Now, there",elephants,6,are
"At first there were 9 elephants. Then, 4 went away. Now, there",elephants,5,are
"At first there were 9 elephants. Then, 5 went away. Now, there",elephants,4,are
"At first there were 9 elephants. Then, 6 went away. Now, there",elephants,3,are
"At first there were 9 elephants. Then, 7 went away. Now, there",elephants,2,are
"At first there were 9 elephants. Then, 8 went away. Now, there",elephants,1,is
"At first there were 2 lions. Then, 1 went away. Now, there",lions,1,is
"At first there were 3 lions. Then, 1 went away. Now, there",lions,2,are
"At first there were 3 lions. Then, 2 went away. Now, there",lions,1,is
"At first there were 4 lions. Then, 1 went away. Now, there",lions,3,are
"At first there were 4 lions. Then, 2 went away. Now, there",lions,2,are
"At first there were 4 lions. Then, 3 went away. Now, there",lions,1,is
"At first there were 5 lions. Then, 1 went away. Now, there",lions,4,are
"At first there were 5 lions. Then, 2 went away. Now, there",lions,3,are
"At first there were 5 lions. Then, 3 went away. Now, there",lions,2,are
"At first there were 5 lions. Then, 4 went away. Now, there",lions,1,is
"At first there were 6 lions. Then, 1 went away. Now, there",lions,5,are
"At first there were 6 lions. Then, 2 went away. Now, there",lions,4,are
"At first there were 6 lions. Then, 3 went away. Now, there",lions,3,are
"At first there were 6 lions. Then, 4 went away. Now, there",lions,2,are
"At first there were 6 lions. Then, 5 went away. Now, there",lions,1,is
"At first there were 7 lions. Then, 1 went away. Now, there",lions,6,are
"At first there were 7 lions. Then, 2 went away. Now, there",lions,5,are
"At first there were 7 lions. Then, 3 went away. Now, there",lions,4,are
"At first there were 7 lions. Then, 4 went away. Now, there",lions,3,are
"At first there were 7 lions. Then, 5 went away. Now, there",lions,2,are
"At first there were 7 lions. Then, 6 went away. Now, there",lions,1,is
"At first there were 8 lions. Then, 1 went away. Now, there",lions,7,are
"At first there were 8 lions. Then, 2 went away. Now, there",lions,6,are
"At first there were 8 lions. Then, 3 went away. Now, there",lions,5,are
"At first there were 8 lions. Then, 4 went away. Now, there",lions,4,are
"At first there were 8 lions. Then, 5 went away. Now, there",lions,3,are
"At first there were 8 lions. Then, 6 went away. Now, there",lions,2,are
"At first there were 8 lions. Then, 7 went away. Now, there",lions,1,is
"At first there were 9 lions. Then, 1 went away. Now, there",lions,8,are
"At first there were 9 lions. Then, 2 went away. Now, there",lions,7,are
"At first there were 9 lions. Then, 3 went away. Now, there",lions,6,are
"At first there were 9 lions. Then, 4 went away. Now, there",lions,5,are
"At first there were 9 lions. Then, 5 went away. Now, there",lions,4,are
"At first there were 9 lions. Then, 6 went away. Now, there",lions,3,are
"At first there were 9 lions. Then, 7 went away. Now, there",lions,2,are
"At first there were 9 lions. Then, 8 went away. Now, there",lions,1,is
"At first there were 2 tigers. Then, 1 went away. Now, there",tigers,1,is
"At first there were 3 tigers. Then, 1 went away. Now, there",tigers,2,are
"At first there were 3 tigers. Then, 2 went away. Now, there",tigers,1,is
"At first there were 4 tigers. Then, 1 went away. Now, there",tigers,3,are
"At first there were 4 tigers. Then, 2 went away. Now, there",tigers,2,are
"At first there were 4 tigers. Then, 3 went away. Now, there",tigers,1,is
"At first there were 5 tigers. Then, 1 went away. Now, there",tigers,4,are
"At first there were 5 tigers. Then, 2 went away. Now, there",tigers,3,are
"At first there were 5 tigers. Then, 3 went away. Now, there",tigers,2,are
"At first there were 5 tigers. Then, 4 went away. Now, there",tigers,1,is
"At first there were 6 tigers. Then, 1 went away. Now, there",tigers,5,are
"At first there were 6 tigers. Then, 2 went away. Now, there",tigers,4,are
"At first there were 6 tigers. Then, 3 went away. Now, there",tigers,3,are
"At first there were 6 tigers. Then, 4 went away. Now, there",tigers,2,are
"At first there were 6 tigers. Then, 5 went away. Now, there",tigers,1,is
"At first there were 7 tigers. Then, 1 went away. Now, there",tigers,6,are
"At first there were 7 tigers. Then, 2 went away. Now, there",tigers,5,are
"At first there were 7 tigers. Then, 3 went away. Now, there",tigers,4,are
"At first there were 7 tigers. Then, 4 went away. Now, there",tigers,3,are
"At first there were 7 tigers. Then, 5 went away. Now, there",tigers,2,are
"At first there were 7 tigers. Then, 6 went away. Now, there",tigers,1,is
"At first there were 8 tigers. Then, 1 went away. Now, there",tigers,7,are
"At first there were 8 tigers. Then, 2 went away. Now, there",tigers,6,are
"At first there were 8 tigers. Then, 3 went away. Now, there",tigers,5,are
"At first there were 8 tigers. Then, 4 went away. Now, there",tigers,4,are
"At first there were 8 tigers. Then, 5 went away. Now, there",tigers,3,are
"At first there were 8 tigers. Then, 6 went away. Now, there",tigers,2,are
"At first there were 8 tigers. Then, 7 went away. Now, there",tigers,1,is
"At first there were 9 tigers. Then, 1 went away. Now, there",tigers,8,are
"At first there were 9 tigers. Then, 2 went away. Now, there",tigers,7,are
"At first there were 9 tigers. Then, 3 went away. Now, there",tigers,6,are
"At first there were 9 tigers. Then, 4 went away. Now, there",tigers,5,are
"At first there were 9 tigers. Then, 5 went away. Now, there",tigers,4,are
"At first there were 9 tigers. Then, 6 went away. Now, there",tigers,3,are
"At first there were 9 tigers. Then, 7 went away. Now, there",tigers,2,are
"At first there were 9 tigers. Then, 8 went away. Now, there",tigers,1,is
"At first there were 2 giraffes. Then, 1 went away. Now, there",giraffes,1,is
"At first there were 3 giraffes. Then, 1 went away. Now, there",giraffes,2,are
"At first there were 3 giraffes. Then, 2 went away. Now, there",giraffes,1,is
"At first there were 4 giraffes. Then, 1 went away. Now, there",giraffes,3,are
"At first there were 4 giraffes. Then, 2 went away. Now, there",giraffes,2,are
"At first there were 4 giraffes. Then, 3 went away. Now, there",giraffes,1,is
"At first there were 5 giraffes. Then, 1 went away. Now, there",giraffes,4,are
"At first there were 5 giraffes. Then, 2 went away. Now, there",giraffes,3,are
"At first there were 5 giraffes. Then, 3 went away. Now, there",giraffes,2,are
"At first there were 5 giraffes. Then, 4 went away. Now, there",giraffes,1,is
"At first there were 6 giraffes. Then, 1 went away. Now, there",giraffes,5,are
"At first there were 6 giraffes. Then, 2 went away. Now, there",giraffes,4,are
"At first there were 6 giraffes. Then, 3 went away. Now, there",giraffes,3,are
"At first there were 6 giraffes. Then, 4 went away. Now, there",giraffes,2,are
"At first there were 6 giraffes. Then, 5 went away. Now, there",giraffes,1,is
"At first there were 7 giraffes. Then, 1 went away. Now, there",giraffes,6,are
"At first there were 7 giraffes. Then, 2 went away. Now, there",giraffes,5,are
"At first there were 7 giraffes. Then, 3 went away. Now, there",giraffes,4,are
"At first there were 7 giraffes. Then, 4 went away. Now, there",giraffes,3,are
"At first there were 7 giraffes. Then, 5 went away. Now, there",giraffes,2,are
"At first there were 7 giraffes. Then, 6 went away. Now, there",giraffes,1,is
"At first there were 8 giraffes. Then, 1 went away. Now, there",giraffes,7,are
"At first there were 8 giraffes. Then, 2 went away. Now, there",giraffes,6,are
"At first there were 8 giraffes. Then, 3 went away. Now, there",giraffes,5,are
"At first there were 8 giraffes. Then, 4 went away. Now, there",giraffes,4,are
"At first there were 8 giraffes. Then, 5 went away. Now, there",giraffes,3,are
"At first there were 8 giraffes. Then, 6 went away. Now, there",giraffes,2,are
"At first there were 8 giraffes. Then, 7 went away. Now, there",giraffes,1,is
"At first there were 9 giraffes. Then, 1 went away. Now, there",giraffes,8,are
"At first there were 9 giraffes. Then, 2 went away. Now, there",giraffes,7,are
"At first there were 9 giraffes. Then, 3 went away. Now, there",giraffes,6,are
"At first there were 9 giraffes. Then, 4 went away. Now, there",giraffes,5,are
"At first there were 9 giraffes. Then, 5 went away. Now, there",giraffes,4,are
"At first there were 9 giraffes. Then, 6 went away. Now, there",giraffes,3,are
"At first there were 9 giraffes. Then, 7 went away. Now, there",giraffes,2,are
"At first there were 9 giraffes. Then, 8 went away. Now, there",giraffes,1,is
"At first there were 2 cows. Then, 1 went away. Now, there",cows,1,is
"At first there were 3 cows. Then, 1 went away. Now, there",cows,2,are
"At first there were 3 cows. Then, 2 went away. Now, there",cows,1,is
"At first there were 4 cows. Then, 1 went away. Now, there",cows,3,are
"At first there were 4 cows. Then, 2 went away. Now, there",cows,2,are
"At first there were 4 cows. Then, 3 went away. Now, there",cows,1,is
"At first there were 5 cows. Then, 1 went away. Now, there",cows,4,are
"At first there were 5 cows. Then, 2 went away. Now, there",cows,3,are
"At first there were 5 cows. Then, 3 went away. Now, there",cows,2,are
"At first there were 5 cows. Then, 4 went away. Now, there",cows,1,is
"At first there were 6 cows. Then, 1 went away. Now, there",cows,5,are
"At first there were 6 cows. Then, 2 went away. Now, there",cows,4,are
"At first there were 6 cows. Then, 3 went away. Now, there",cows,3,are
"At first there were 6 cows. Then, 4 went away. Now, there",cows,2,are
"At first there were 6 cows. Then, 5 went away. Now, there",cows,1,is
"At first there were 7 cows. Then, 1 went away. Now, there",cows,6,are
"At first there were 7 cows. Then, 2 went away. Now, there",cows,5,are
"At first there were 7 cows. Then, 3 went away. Now, there",cows,4,are
"At first there were 7 cows. Then, 4 went away. Now, there",cows,3,are
"At first there were 7 cows. Then, 5 went away. Now, there",cows,2,are
"At first there were 7 cows. Then, 6 went away. Now, there",cows,1,is
"At first there were 8 cows. Then, 1 went away. Now, there",cows,7,are
"At first there were 8 cows. Then, 2 went away. Now, there",cows,6,are
"At first there were 8 cows. Then, 3 went away. Now, there",cows,5,are
"At first there were 8 cows. Then, 4 went away. Now, there",cows,4,are
"At first there were 8 cows. Then, 5 went away. Now, there",cows,3,are
"At first there were 8 cows. Then, 6 went away. Now, there",cows,2,are
"At first there were 8 cows. Then, 7 went away. Now, there",cows,1,is
"At first there were 9 cows. Then, 1 went away. Now, there",cows,8,are
"At first there were 9 cows. Then, 2 went away. Now, there",cows,7,are
"At first there were 9 cows. Then, 3 went away. Now, there",cows,6,are
"At first there were 9 cows. Then, 4 went away. Now, there",cows,5,are
"At first there were 9 cows. Then, 5 went away. Now, there",cows,4,are
"At first there were 9 cows. Then, 6 went away. Now, there",cows,3,are
"At first there were 9 cows. Then, 7 went away. Now, there",cows,2,are
"At first there were 9 cows. Then, 8 went away. Now, there",cows,1,is
"At first there were 2 horses. Then, 1 went away. Now, there",horses,1,is
"At first there were 3 horses. Then, 1 went away. Now, there",horses,2,are
"At first there were 3 horses. Then, 2 went away. Now, there",horses,1,is
"At first there were 4 horses. Then, 1 went away. Now, there",horses,3,are
"At first there were 4 horses. Then, 2 went away. Now, there",horses,2,are
"At first there were 4 horses. Then, 3 went away. Now, there",horses,1,is
"At first there were 5 horses. Then, 1 went away. Now, there",horses,4,are
"At first there were 5 horses. Then, 2 went away. Now, there",horses,3,are
"At first there were 5 horses. Then, 3 went away. Now, there",horses,2,are
"At first there were 5 horses. Then, 4 went away. Now, there",horses,1,is
"At first there were 6 horses. Then, 1 went away. Now, there",horses,5,are
"At first there were 6 horses. Then, 2 went away. Now, there",horses,4,are
"At first there were 6 horses. Then, 3 went away. Now, there",horses,3,are
"At first there were 6 horses. Then, 4 went away. Now, there",horses,2,are
"At first there were 6 horses. Then, 5 went away. Now, there",horses,1,is
"At first there were 7 horses. Then, 1 went away. Now, there",horses,6,are
"At first there were 7 horses. Then, 2 went away. Now, there",horses,5,are
"At first there were 7 horses. Then, 3 went away. Now, there",horses,4,are
"At first there were 7 horses. Then, 4 went away. Now, there",horses,3,are
"At first there were 7 horses. Then, 5 went away. Now, there",horses,2,are
"At first there were 7 horses. Then, 6 went away. Now, there",horses,1,is
"At first there were 8 horses. Then, 1 went away. Now, there",horses,7,are
"At first there were 8 horses. Then, 2 went away. Now, there",horses,6,are
"At first there were 8 horses. Then, 3 went away. Now, there",horses,5,are
"At first there were 8 horses. Then, 4 went away. Now, there",horses,4,are
"At first there were 8 horses. Then, 5 went away. Now, there",horses,3,are
"At first there were 8 horses. Then, 6 went away. Now, there",horses,2,are
"At first there were 8 horses. Then, 7 went away. Now, there",horses,1,is
"At first there were 9 horses. Then, 1 went away. Now, there",horses,8,are
"At first there were 9 horses. Then, 2 went away. Now, there",horses,7,are
"At first there were 9 horses. Then, 3 went away. Now, there",horses,6,are
"At first there were 9 horses. Then, 4 went away. Now, there",horses,5,are
"At first there were 9 horses. Then, 5 went away. Now, there",horses,4,are
"At first there were 9 horses. Then, 6 went away. Now, there",horses,3,are
"At first there were 9 horses. Then, 7 went away. Now, there",horses,2,are
"At first there were 9 horses. Then, 8 went away. Now, there",horses,1,is
"At first there were 2 sheep. Then, 1 went away. Now, there",sheep,1,is
"At first there were 3 sheep. Then, 1 went away. Now, there",sheep,2,are
"At first there were 3 sheep. Then, 2 went away. Now, there",sheep,1,is
"At first there were 4 sheep. Then, 1 went away. Now, there",sheep,3,are
"At first there were 4 sheep. Then, 2 went away. Now, there",sheep,2,are
"At first there were 4 sheep. Then, 3 went away. Now, there",sheep,1,is
"At first there were 5 sheep. Then, 1 went away. Now, there",sheep,4,are
"At first there were 5 sheep. Then, 2 went away. Now, there",sheep,3,are
"At first there were 5 sheep. Then, 3 went away. Now, there",sheep,2,are
"At first there were 5 sheep. Then, 4 went away. Now, there",sheep,1,is
"At first there were 6 sheep. Then, 1 went away. Now, there",sheep,5,are
"At first there were 6 sheep. Then, 2 went away. Now, there",sheep,4,are
"At first there were 6 sheep. Then, 3 went away. Now, there",sheep,3,are
"At first there were 6 sheep. Then, 4 went away. Now, there",sheep,2,are
"At first there were 6 sheep. Then, 5 went away. Now, there",sheep,1,is
"At first there were 7 sheep. Then, 1 went away. Now, there",sheep,6,are
"At first there were 7 sheep. Then, 2 went away. Now, there",sheep,5,are
"At first there were 7 sheep. Then, 3 went away. Now, there",sheep,4,are
"At first there were 7 sheep. Then, 4 went away. Now, there",sheep,3,are
"At first there were 7 sheep. Then, 5 went away. Now, there",sheep,2,are
"At first there were 7 sheep. Then, 6 went away. Now, there",sheep,1,is
"At first there were 8 sheep. Then, 1 went away. Now, there",sheep,7,are
"At first there were 8 sheep. Then, 2 went away. Now, there",sheep,6,are
"At first there were 8 sheep. Then, 3 went away. Now, there",sheep,5,are
"At first there were 8 sheep. Then, 4 went away. Now, there",sheep,4,are
"At first there were 8 sheep. Then, 5 went away. Now, there",sheep,3,are
"At first there were 8 sheep. Then, 6 went away. Now, there",sheep,2,are
"At first there were 8 sheep. Then, 7 went away. Now, there",sheep,1,is
"At first there were 9 sheep. Then, 1 went away. Now, there",sheep,8,are
"At first there were 9 sheep. Then, 2 went away. Now, there",sheep,7,are
"At first there were 9 sheep. Then, 3 went away. Now, there",sheep,6,are
"At first there were 9 sheep. Then, 4 went away. Now, there",sheep,5,are
"At first there were 9 sheep. Then, 5 went away. Now, there",sheep,4,are
"At first there were 9 sheep. Then, 6 went away. Now, there",sheep,3,are
"At first there were 9 sheep. Then, 7 went away. Now, there",sheep,2,are
"At first there were 9 sheep. Then, 8 went away. Now, there",sheep,1,is
