question,generated,answer,intermediate,prompt_type,exact_match,contains_answer
The country containing Plovdiv has its capital in which city?,Sofia,Sofia,Bulgaria,country_capital,True,True
The country containing Bobo-Dioulasso has its capital in which city?,Ouagadougou,Ouagadougou,Burkina Faso,country_capital,True,True
The country containing Muyinga has its capital in which city?,Mbuji-Mayi,Bujumbura,Burundi,country_capital,False,False
The country containing Siem Reap has its capital in which city?,Phnom Penh,Phnom Penh,Cambodia,country_capital,True,True
The country containing Douala has its capital in which city?,Yaoundé,Yaoundé,Cameroon,country_capital,True,True
The country containing Toronto has its capital in which city?,Ottawa.,Ottawa,Canada,country_capital,True,True
The country containing Mindelo has its capital in which city?,Luanda,Praia,Cape Verde,country_capital,False,False
The country containing Bimbo has its capital in which city?,Mexico City,Bangui,Central African Republic,country_capital,False,False
The country containing Moundou has its capital in which city?,Yaoundé,N'Djamena,Chad,country_capital,False,False
The country containing Puente Alto has its capital in which city?,Santiago,Santiago,Chile,country_capital,True,True
The country containing Shanghai has its capital in which city?,Beijing,Beijing,China,country_capital,True,True
The country containing Medellín has its capital in which city?,Bogotá,Bogotá,Colombia,country_capital,True,True
The country containing Mutsamudu has its capital in which city?,Maseru,Moroni,Comoros,country_capital,False,False
The country containing Lubumbashi has its capital in which city?,Kinshasa,Kinshasa,Democratic Republic of the Congo,country_capital,True,True
The country containing Pointe-Noire has its capital in which city?,Port-au-Prince,Brazzaville,Republic of the Congo,country_capital,False,False
The country containing Alajuela has its capital in which city?,San José,San José,Costa Rica,country_capital,True,True
The country containing Abidjan has its capital in which city?,Yamoussouk,Yamoussoukro,Côte d'Ivoire,country_capital,False,False
The country containing Split has its capital in which city?,Zagreb,Zagreb,Croatia,country_capital,True,True
The country containing Santiago de Cuba has its capital in which city?,Havana,Havana,Cuba,country_capital,True,True
The country containing Limassol has its capital in which city?,Nicosia,Nicosia,Cyprus,country_capital,True,True
The country containing Brno has its capital in which city?,Prague,Prague,Czech Republic,country_capital,True,True
The country containing Aarhus has its capital in which city?,Copenhagen,Copenhagen,Denmark,country_capital,True,True
The country containing Ali Sabieh has its capital in which city?,Sana'a,Djibouti,Djibouti,country_capital,False,False
The country containing Portsmouth has its capital in which city?,London,Roseau,Dominica,country_capital,False,False
The country containing Santiago de los Caballeros has its capital in which city?,Santo Domingo,Santo Domingo,Dominican Republic,country_capital,True,True
The country containing Dare has its capital in which city?,Doha,Dili,East Timor,country_capital,False,False
The country containing Guayaquil has its capital in which city?,Quito,Quito,Ecuador,country_capital,True,True
The country containing Alexandria has its capital in which city?,Cairo,Cairo,Egypt,country_capital,True,True
The country containing Santa Ana has its capital in which city?,Santa Ana is a city,San Salvador,El Salvador,country_capital,False,False
The country containing Bata has its capital in which city?,Bata is a city,Malabo,Equatorial Guinea,country_capital,False,False
The country containing Keren has its capital in which city?,Addis Ababa,Asmara,Eritrea,country_capital,False,False
The country containing Tartu has its capital in which city?,Tallinn,Tallinn,Estonia,country_capital,True,True
The country containing Dire Dawa has its capital in which city?,Addis Ababa,Addis Ababa,Ethiopia,country_capital,True,True
The country containing Nasinu has its capital in which city?,Suva,Suva,Fiji,country_capital,True,True
The country containing Espoo has its capital in which city?,Helsinki,Helsinki,Finland,country_capital,True,True
The country containing Marseille has its capital in which city?,Paris,Paris,France,country_capital,True,True
The country containing Port-Gentil has its capital in which city?,Libreville,Libreville,Gabon,country_capital,True,True
The country containing Serekunda has its capital in which city?,Banjul,Banjul,Gambia,country_capital,True,True
The country containing Kutaisi has its capital in which city?,Tbilisi,Tbilisi,Georgia,country_capital,True,True
The country containing Hamburg has its capital in which city?,Berlin,Berlin,Germany,country_capital,True,True
The country containing Kumasi has its capital in which city?,Accra,Accra,Ghana,country_capital,True,True
The country containing Thessaloniki has its capital in which city?,Thessaloniki,Athens,Greece,country_capital,False,False
The country containing Gouyave has its capital in which city?,Port-au-Prince,St. George's,Grenada,country_capital,False,False
The country containing Quetzaltenango has its capital in which city?,Guatemala City,Guatemala City,Guatemala,country_capital,True,True
The country containing Nzérékoré has its capital in which city?,Mbandaka,Conakry,Guinea,country_capital,False,False
The country containing Gabú has its capital in which city?,Kinshasa,Bissau,Guinea-Bissau,country_capital,False,False
The country containing Linden has its capital in which city?,Berlin,Georgetown,Guyana,country_capital,False,False
The country containing Gonaïves has its capital in which city?,Port-au-Prince,Port-au-Prince,Haiti,country_capital,True,True
The country containing San Pedro Sula has its capital in which city?,San Salvador,Tegucigalpa,Honduras,country_capital,False,False
The country containing Debrecen has its capital in which city?,Budapest,Budapest,Hungary,country_capital,True,True
The country containing Kópavogur has its capital in which city?,Reykjavík,Reykjavík,Iceland,country_capital,True,True
The country containing Mumbai has its capital in which city?,Mumbai,New Delhi,India,country_capital,False,False
The country containing Surabaya has its capital in which city?,Jakarta,Jakarta,Indonesia,country_capital,True,True
The country containing Mashhad has its capital in which city?,Tehran,Tehran,Iran,country_capital,True,True
The country containing Basra has its capital in which city?,Baghdad,Baghdad,Iraq,country_capital,True,True
The country containing Cork has its capital in which city?,Dublin,Dublin,Ireland,country_capital,True,True
The country containing Tel Aviv has its capital in which city?,Jerusalem,Jerusalem,Israel,country_capital,True,True
The country containing Milan has its capital in which city?,Rome,Rome,Italy,country_capital,True,True
The country containing Spanish Town has its capital in which city?,Kingston,Kingston,Jamaica,country_capital,True,True
The country containing Yokohama has its capital in which city?,Tokyo,Tokyo,Japan,country_capital,True,True
The country containing Zarqa has its capital in which city?,Amman,Amman,Jordan,country_capital,True,True
The country containing Almaty has its capital in which city?,Nur-Sultan,Astana,Kazakhstan,country_capital,False,False
The country containing Mombasa has its capital in which city?,Mombasa,Nairobi,Kenya,country_capital,False,False
The country containing Betio has its capital in which city?,Nassau,Tarawa,Kiribati,country_capital,False,False
The country containing Hamhung has its capital in which city?,Pyongyang,Pyongyang,North Korea,country_capital,True,True
The country containing Busan has its capital in which city?,Seoul,Seoul,South Korea,country_capital,True,True
The country containing Al Jahra has its capital in which city?,Kuwait City,Kuwait City,Kuwait,country_capital,True,True
The country containing Osh has its capital in which city?,Bishkek,Bishkek,Kyrgyzstan,country_capital,True,True
The country containing Pakxe has its capital in which city?,Vientiane,Vientiane,Laos,country_capital,True,True
The country containing Daugavpils has its capital in which city?,Riga,Riga,Latvia,country_capital,True,True
The country containing Tripoli has its capital in which city?,Tripoli,Beirut,Lebanon,country_capital,False,False
The country containing Teyateyaneng has its capital in which city?,Pretoria,Maseru,Lesotho,country_capital,False,False
The country containing Gbarnga has its capital in which city?,Koinadja,Monrovia,Liberia,country_capital,False,False
The country containing Benghazi has its capital in which city?,Tripoli,Tripoli,Libya,country_capital,True,True
The country containing Schaan has its capital in which city?,Luxembourg,Vaduz,Liechtenstein,country_capital,False,False
The country containing Kaunas has its capital in which city?,Vilnius,Vilnius,Lithuania,country_capital,True,True
The country containing Esch-sur-Alzette has its capital in which city?,Luxembourg,Luxembourg City,Luxembourg,country_capital,False,False
The country containing Bitola has its capital in which city?,Skopje,Skopje,North Macedonia,country_capital,True,True
The country containing Toamasina has its capital in which city?,Antananarivo,Antananarivo,Madagascar,country_capital,True,True
The country containing Blantyre has its capital in which city?,Lilongwe,Lilongwe,Malawi,country_capital,True,True
The country containing George Town has its capital in which city?,Victoria,Kuala Lumpur,Malaysia,country_capital,False,False
The country containing Addu City has its capital in which city?,Malé,Malé,Maldives,country_capital,True,True
The country containing Sikasso has its capital in which city?,Bamako,Bamako,Mali,country_capital,True,True
The country containing Birkirkara has its capital in which city?,Malta,Valletta,Malta,country_capital,False,False
The country containing Ebeye has its capital in which city?,Majuro,Majuro,Marshall Islands,country_capital,True,True
The country containing Nouadhibou has its capital in which city?,Nouadhibou,Nouakchott,Mauritania,country_capital,False,False
The country containing Beau Bassin-Rose Hill has its capital in which city?,Port Louis,Port Louis,Mauritius,country_capital,True,True
The country containing Ecatepec has its capital in which city?,Mexico City,Mexico City,Mexico,country_capital,True,True
The country containing Weno has its capital in which city?,Weno is a territory,Palikir,Federated States of Micronesia,country_capital,False,False
The country containing Tiraspol has its capital in which city?,Tiraspol,Chișinău,Moldova,country_capital,False,False
The country containing Monte Carlo has its capital in which city?,Monaco,Monaco,Monaco,country_capital,True,True
The country containing Darkhan has its capital in which city?,Ulaanbaatar,Ulaanbaatar,Mongolia,country_capital,True,True
The country containing Nikšić has its capital in which city?,Belgrade,Podgorica,Montenegro,country_capital,False,False
The country containing Casablanca has its capital in which city?,Rabat,Rabat,Morocco,country_capital,True,True
The country containing Beira has its capital in which city?,Maputo,Maputo,Mozambique,country_capital,True,True
The country containing Yangon has its capital in which city?,Yangon,Nay Pyi Taw,Myanmar,country_capital,False,False
The country containing Rundu has its capital in which city?,Windhoek,Windhoek,Namibia,country_capital,True,True
The country containing Denigomudu has its capital in which city?,Hyderabad,Yaren,Nauru,country_capital,False,False
The country containing Pokhara has its capital in which city?,Kathmandu,Kathmandu,Nepal,country_capital,True,True
The country containing Rotterdam has its capital in which city?,Amsterdam,Amsterdam,Netherlands,country_capital,True,True
The country containing Auckland has its capital in which city?,Wellington,Wellington,New Zealand,country_capital,True,True
The country containing León has its capital in which city?,Santiago,Managua,Nicaragua,country_capital,False,False
The country containing Zinder has its capital in which city?,Niamey,Niamey,Niger,country_capital,True,True
The country containing Lagos has its capital in which city?,Abuja,Abuja,Nigeria,country_capital,True,True
The country containing Bergen has its capital in which city?,Oslo,Oslo,Norway,country_capital,True,True
The country containing Salalah has its capital in which city?,Muscat,Muscat,Oman,country_capital,True,True
The country containing Karachi has its capital in which city?,Islamabad,Islamabad,Pakistan,country_capital,True,True
The country containing Koror has its capital in which city?,Palau,Ngerulmud,Palau,country_capital,False,False
The country containing Colón has its capital in which city?,Santo Domingo,Panama City,Panama,country_capital,False,False
The country containing Lae has its capital in which city?,Port Moresby,Port Moresby,Papua New Guinea,country_capital,True,True
The country containing Ciudad del Este has its capital in which city?,Sucre,Asunción,Paraguay,country_capital,False,False
The country containing Arequipa has its capital in which city?,Lima,Lima,Peru,country_capital,True,True
The country containing Quezon City has its capital in which city?,Manila,Manila,Philippines,country_capital,True,True
The country containing Kraków has its capital in which city?,Warsaw,Warsaw,Poland,country_capital,True,True
The country containing Porto has its capital in which city?,Lisbon,Lisbon,Portugal,country_capital,True,True
The country containing Al Rayyan has its capital in which city?,Doha,Doha,Qatar,country_capital,True,True
The country containing Cluj-Napoca has its capital in which city?,Bucharest,Bucharest,Romania,country_capital,True,True
The country containing Saint Petersburg has its capital in which city?,Moscow,Moscow,Russia,country_capital,True,True
The country containing Muhanga has its capital in which city?,Mombasa,Kigali,Rwanda,country_capital,False,False
The country containing Charlestown has its capital in which city?,"Washington, D.C.",Basseterre,Saint Kitts and Nevis,country_capital,False,False
The country containing Gros Islet has its capital in which city?,Monrovia,Castries,Saint Lucia,country_capital,False,False
The country containing Georgetown has its capital in which city?,Georgetown,Kingstown,Saint Vincent and the Grenadines,country_capital,False,False
The country containing Vaitele has its capital in which city?,Apia,Apia,Samoa,country_capital,True,True
The country containing Dogana has its capital in which city?,Madrid,San Marino,San Marino,country_capital,False,False
The country containing Trindade has its capital in which city?,Sao Tome,São Tomé,São Tomé and Príncipe,country_capital,True,True
The country containing Jeddah has its capital in which city?,Riyadh,Riyadh,Saudi Arabia,country_capital,True,True
The country containing Touba has its capital in which city?,Dakar,Dakar,Senegal,country_capital,True,True
The country containing Novi Sad has its capital in which city?,Belgrade,Belgrade,Serbia,country_capital,True,True
The country containing Anse Etoile has its capital in which city?,Port-au-Prince,Victoria,Seychelles,country_capital,False,False
The country containing Bo has its capital in which city?,Bo,Freetown,Sierra Leone,country_capital,False,False
The country containing Košice has its capital in which city?,Bratislava,Bratislava,Slovakia,country_capital,True,True
The country containing Maribor has its capital in which city?,Ljubljana,Ljubljana,Slovenia,country_capital,True,True
The country containing Gizo has its capital in which city?,Gorokan,Honiara,Solomon Islands,country_capital,False,False
The country containing Hargeisa has its capital in which city?,Hargeisa,Mogadishu,Somalia,country_capital,False,False
The country containing Cape Town has its capital in which city?,Cape Town,Pretoria,South Africa,country_capital,False,False
The country containing Yei has its capital in which city?,Juba,Juba,South Sudan,country_capital,True,True
The country containing Barcelona has its capital in which city?,Madrid,Madrid,Spain,country_capital,True,True
The country containing Colombo has its capital in which city?,Colombo,Sri Jayawardenepura Kotte,Sri Lanka,country_capital,False,False
The country containing Omdurman has its capital in which city?,Khartoum,Khartoum,Sudan,country_capital,True,True
The country containing Lelydorp has its capital in which city?,Utrecht,Paramaribo,Suriname,country_capital,False,False
The country containing Manzini has its capital in which city?,Maputo,Mbabane,Swaziland,country_capital,False,False
The country containing Gothenburg has its capital in which city?,Gothenburg,Stockholm,Sweden,country_capital,False,False
The country containing Zürich has its capital in which city?,Bern,Bern,Switzerland,country_capital,True,True
The country containing Aleppo has its capital in which city?,Damascus,Damascus,Syria,country_capital,True,True
The country containing New Taipei has its capital in which city?,Taipei,Taipei,Taiwan,country_capital,True,True
The country containing Khujand has its capital in which city?,Tashkent,Dushanbe,Tajikistan,country_capital,False,False
The country containing Dar es Salaam has its capital in which city?,Dodoma,Dodoma,Tanzania,country_capital,True,True
The country containing Nonthaburi has its capital in which city?,Bangkok,Bangkok,Thailand,country_capital,True,True
The country containing Sokodé has its capital in which city?,Abidjan,Lomé,Togo,country_capital,False,False
The country containing Neiafu has its capital in which city?,Suva,Nukuʻalofa,Tonga,country_capital,False,False
The country containing Chaguanas has its capital in which city?,Georgetown,Port of Spain,Trinidad and Tobago,country_capital,False,False
The country containing Sfax has its capital in which city?,Tunis,Tunis,Tunisia,country_capital,True,True
The country containing Istanbul has its capital in which city?,Ankara,Ankara,Turkey,country_capital,True,True
The country containing Türkmenabat has its capital in which city?,Ashgabat,Ashgabat,Turkmenistan,country_capital,True,True
The country containing Asau has its capital in which city?,Port Moresby,Funafuti,Tuvalu,country_capital,False,False
The country containing Gulu has its capital in which city?,Kampala,Kampala,Uganda,country_capital,True,True
The country containing Kharkiv has its capital in which city?,Kyiv,Kiev,Ukraine,country_capital,False,False
The country containing Dubai has its capital in which city?,Abu Dhabi,Abu Dhabi,United Arab Emirates,country_capital,True,True
The country containing Birmingham has its capital in which city?,London,London,United Kingdom,country_capital,True,True
The country containing New York City has its capital in which city?,"Washington, D.C.",Washington D.C.,United States of America,country_capital,False,False
The country containing Ciudad de la Costa has its capital in which city?,Santo Domingo,Montevideo,Uruguay,country_capital,False,False
The country containing Namangan has its capital in which city?,Tashkent,Tashkent,Uzbekistan,country_capital,True,True
The country containing Luganville has its capital in which city?,Port-Moresby,Port Vila,Vanuatu,country_capital,False,False
The country containing Maracaibo has its capital in which city?,Caracas,Caracas,Venezuela,country_capital,True,True
The country containing Ho Chi Minh City has its capital in which city?,Hanoi,Hanoi,Vietnam,country_capital,True,True
The country containing Aden has its capital in which city?,Sanaa,Sana'a,Yemen,country_capital,False,False
The country containing Kitwe has its capital in which city?,Lusaka,Lusaka,Zambia,country_capital,True,True
The country containing Bulawayo has its capital in which city?,Harare.,Harare,Zimbabwe,country_capital,True,True
The state containing Birmingham has its capital in which city?,Atlanta,Montgomery,Alabama,state_capital,False,False
The state containing Anchorage has its capital in which city?,Juneau,Juneau,Alaska,state_capital,True,True
The state containing Tucson has its capital in which city?,Phoenix,Phoenix,Arizona,state_capital,True,True
The state containing Fort Smith has its capital in which city?,Little Rock,Little Rock,Arkansas,state_capital,True,True
The state containing Los Angeles has its capital in which city?,Sacramento,Sacramento,California,state_capital,True,True
The state containing Colorado Springs has its capital in which city?,Denver,Denver,Colorado,state_capital,True,True
The state containing Bridgeport has its capital in which city?,Connecticut,Hartford,Connecticut,state_capital,False,False
The state containing Wilmington has its capital in which city?,Raleigh,Dover,Delaware,state_capital,False,False
The state containing Jacksonville has its capital in which city?,Tallahassee,Tallahassee,Florida,state_capital,True,True
The state containing Augusta has its capital in which city?,Augusta,Atlanta,Georgia,state_capital,False,False
The state containing Hilo has its capital in which city?,Honolulu,Honolulu,Hawaii,state_capital,True,True
The state containing Nampa has its capital in which city?,Boise,Boise,Idaho,state_capital,True,True
The state containing Chicago has its capital in which city?,Illinois,Springfield,Illinois,state_capital,False,False
The state containing Fort Wayne has its capital in which city?,Indianapolis.,Indianapolis,Indiana,state_capital,True,True
The state containing Cedar Rapids has its capital in which city?,Des Moines,Des Moines,Iowa,state_capital,True,True
The state containing Wichita has its capital in which city?,Topeka,Topeka,Kansas,state_capital,True,True
The state containing Lexington has its capital in which city?,Frankfort,Frankfort,Kentucky,state_capital,True,True
The state containing New Orleans has its capital in which city?,Baton Rouge,Baton Rouge,Louisiana,state_capital,True,True
The state containing Portland has its capital in which city?,Oregon,Augusta,Maine,state_capital,False,False
The state containing Baltimore has its capital in which city?,Annapolis,Annapolis,Maryland,state_capital,True,True
The state containing Worcester has its capital in which city?,Boston,Boston,Massachusetts,state_capital,True,True
The state containing Detroit has its capital in which city?,Lansing,Lansing,Michigan,state_capital,True,True
The state containing Minneapolis has its capital in which city?,Saint Paul,St. Paul,Minnesota,state_capital,False,False
The state containing Gulfport has its capital in which city?,Mobile,Jackson,Mississippi,state_capital,False,False
The state containing Kansas City has its capital in which city?,Topeka,Jefferson City,Missouri,state_capital,False,False
The state containing Billings has its capital in which city?,Montana,Helena,Montana,state_capital,False,False
The state containing Omaha has its capital in which city?,Lincoln,Lincoln,Nebraska,state_capital,True,True
The state containing Las Vegas has its capital in which city?,Reno,Carson City,Nevada,state_capital,False,False
The state containing Manchester has its capital in which city?,Birmingham,Concord,New Hampshire,state_capital,False,False
The state containing Newark has its capital in which city?,New York,Trenton,New Jersey,state_capital,False,False
The state containing Albuquerque has its capital in which city?,Santa Fe,Santa Fe,New Mexico,state_capital,True,True
The state containing New York City has its capital in which city?,Albany,Albany,New York,state_capital,True,True
The state containing Charlotte has its capital in which city?,Raleigh,Raleigh,North Carolina,state_capital,True,True
The state containing Fargo has its capital in which city?,North Dakota,Bismarck,North Dakota,state_capital,False,False
The state containing Cleveland has its capital in which city?,Columbus,Columbus,Ohio,state_capital,True,True
The state containing Tulsa has its capital in which city?,Oklahoma,Oklahoma City,Oklahoma,state_capital,False,False
The state containing Portland has its capital in which city?,Oregon,Salem,Oregon,state_capital,False,False
The state containing Philadelphia has its capital in which city?,"Washington, D.C.",Harrisburg,Pennsylvania,state_capital,False,False
The state containing Warwick has its capital in which city?,Warwickshire,Providence,Rhode Island,state_capital,False,False
The state containing Charleston has its capital in which city?,Columbia.,Columbia,South Carolina,state_capital,True,True
The state containing Sioux Falls has its capital in which city?,Pierre,Pierre,South Dakota,state_capital,True,True
The state containing Memphis has its capital in which city?,Tennessee,Nashville,Tennessee,state_capital,False,False
The state containing Houston has its capital in which city?,Austin,Austin,Texas,state_capital,True,True
The state containing West Valley City has its capital in which city?,Salt Lake City,Salt Lake City,Utah,state_capital,True,True
The state containing Burlington has its capital in which city?,Vermont,Montpelier,Vermont,state_capital,False,False
The state containing Virginia Beach has its capital in which city?,Richmond,Richmond,Virginia,state_capital,True,True
The state containing Seattle has its capital in which city?,Olympia,Olympia,Washington,state_capital,True,True
The state containing Huntington has its capital in which city?,Indianapolis.,Charleston,West Virginia,state_capital,False,False
The state containing Milwaukee has its capital in which city?,Madison.,Madison,Wisconsin,state_capital,True,True
The state containing Casper has its capital in which city?,Reno,Cheyenne,Wyoming,state_capital,False,False
The material that baseball bats are made of is called what in Spanish?,Corteza,madera,wood,translation-spanish,False,False
The material that car bumpers are made of is called what in Spanish?,Chapa,metal,metal,translation-spanish,False,False
The material that water bottles are made of is called what in Spanish?,Plástico,plástico,plastic,translation-spanish,True,True
The material that windows are made of is called what in Spanish?,Vidrio,vidrio,glass,translation-spanish,True,True
The material that cowboy boots are made of is called what in Spanish?,Cuero,cuero,leather,translation-spanish,True,True
The material that newspapers are made of is called what in Spanish?,Papel,papel,paper,translation-spanish,True,True
The material that coffee mugs are made of is called what in Spanish?,Cerámica,cerámica,ceramic,translation-spanish,True,True
The material that car tires are made of is called what in Spanish?,caucho,caucho,rubber,translation-spanish,True,True
The material that wedding rings are made of is called what in Spanish?,Oro,oro,gold,translation-spanish,True,True
The material that kitchen knives are made of is called what in Spanish?,Acero,acero,steel,translation-spanish,True,True
The material that horseshoes are made of is called what in Spanish?,Acero,hierro,iron,translation-spanish,False,False
The material that chopsticks are made of is called what in Spanish?,Madera,bambú,bamboo,translation-spanish,False,False
The material that sidewalks are made of is called what in Spanish?,concreto,concreto,concrete,translation-spanish,True,True
The material that pottery vases are made of is called what in Spanish?,Barro,arcilla,clay,translation-spanish,False,False
The material that candles are made of is called what in Spanish?,Cera,cera,wax,translation-spanish,True,True
The color that strawberries are is called what in Spanish?,Rosado,rojo,red,translation-spanish,False,False
The color that the sky is is called what in Spanish?,Azul,azul,blue,translation-spanish,True,True
The color that grass is is called what in Spanish?,Verde,verde,green,translation-spanish,True,True
The color that bananas are is called what in Spanish?,Amarillo,amarillo,yellow,translation-spanish,True,True
The color that pumpkins are is called what in Spanish?,naranja,naranja,orange,translation-spanish,True,True
The color that grapes are is called what in Spanish?,Verde,morado,purple,translation-spanish,False,False
The color that flamingos are is called what in Spanish?,Rosado,rosa,pink,translation-spanish,False,True
The color that tree bark is is called what in Spanish?,Madera,marrón,brown,translation-spanish,False,False
The color that ravens are is called what in Spanish?,Negro,negro,black,translation-spanish,True,True
The color that snow is is called what in Spanish?,Blanco,blanco,white,translation-spanish,True,True
The color that elephants are is called what in Spanish?,Blanco,gris,gray,translation-spanish,False,False
The color that sand is is called what in Spanish?,Arena,beige,beige,translation-spanish,False,False
The shape that coins are is called what in Spanish?,Forma,círculo,circle,translation-spanish,False,False
The shape that dice are is called what in Spanish?,Cúbico,cuadrado,square,translation-spanish,False,False
The shape that dollar bills are is called what in Spanish?,Billete,rectángulo,rectangle,translation-spanish,False,False
The shape that eggs are is called what in Spanish?,Ovoide,óvalo,oval,translation-spanish,False,False
The shape that basketballs are is called what in Spanish?,Esfera,esfera,sphere,translation-spanish,True,True
The shape that soda cans are is called what in Spanish?,Cilindro,cilindro,cylinder,translation-spanish,True,True
The shape that Valentine's cards are is called what in Spanish?,corazón,corazón,heart,translation-spanish,True,True
The shape that the moon is is called what in Spanish?,Forma,creciente,crescent,translation-spanish,False,False
The shape that snail shells are is called what in Spanish?,Concha,espiral,spiral,translation-spanish,False,False
The material that baseball bats are made of is called what in French?,Bois,bois,wood,translation-french,True,True
The material that car bumpers are made of is called what in French?,Alu,métal,metal,translation-french,False,False
The material that water bottles are made of is called what in French?,Plastique,plastique,plastic,translation-french,True,True
The material that windows are made of is called what in French?,Verre,verre,glass,translation-french,True,True
The material that cowboy boots are made of is called what in French?,Bœuf.,cuir,leather,translation-french,False,False
The material that newspapers are made of is called what in French?,Papier,papier,paper,translation-french,True,True
The material that coffee mugs are made of is called what in French?,Porcelaine,céramique,ceramic,translation-french,False,False
The material that car tires are made of is called what in French?,Caoutchouc,caoutchouc,rubber,translation-french,True,True
The material that wedding rings are made of is called what in French?,Or,or,gold,translation-french,True,True
The material that kitchen knives are made of is called what in French?,Acier,acier,steel,translation-french,True,True
The material that horseshoes are made of is called what in French?,Fer,fer,iron,translation-french,True,True
The material that chopsticks are made of is called what in French?,Bois,bambou,bamboo,translation-french,False,False
The material that sidewalks are made of is called what in French?,Bitume,béton,concrete,translation-french,False,False
The material that pottery vases are made of is called what in French?,Argile,argile,clay,translation-french,True,True
The material that candles are made of is called what in French?,Cire,cire,wax,translation-french,True,True
The color that strawberries are is called what in French?,Rouge,rouge,red,translation-french,True,True
The color that the sky is is called what in French?,Ciel,bleu,blue,translation-french,False,False
The color that grass is is called what in French?,Vert,vert,green,translation-french,True,True
The color that bananas are is called what in French?,jaune,jaune,yellow,translation-french,True,True
The color that pumpkins are is called what in French?,Orangé,orange,orange,translation-french,True,True
The color that grapes are is called what in French?,Vert.,violet,purple,translation-french,False,False
The color that flamingos are is called what in French?,Rose,rose,pink,translation-french,True,True
The color that tree bark is is called what in French?,Cendre,brun,brown,translation-french,False,False
The color that ravens are is called what in French?,Noir,noir,black,translation-french,True,True
The color that snow is is called what in French?,Blanc,blanc,white,translation-french,True,True
The color that elephants are is called what in French?,Noir,gris,gray,translation-french,False,False
The color that sand is is called what in French?,Sable,beige,beige,translation-french,False,False
The shape that coins are is called what in French?,forme,cercle,circle,translation-french,False,False
The shape that dice are is called what in French?,cube,carré,square,translation-french,False,False
The shape that dollar bills are is called what in French?,Note,rectangle,rectangle,translation-french,False,False
The shape that eggs are is called what in French?,Ovale,ovale,oval,translation-french,True,True
The shape that basketballs are is called what in French?,sphère,sphère,sphere,translation-french,True,True
The shape that soda cans are is called what in French?,Cylindre,cylindre,cylinder,translation-french,True,True
The shape that Valentine's cards are is called what in French?,Coeur,cœur,heart,translation-french,False,False
The shape that the moon is is called what in French?,Forme,croissant,crescent,translation-french,False,False
The shape that snail shells are is called what in French?,Conchée,spirale,spiral,translation-french,False,False
The thing that employees work for is called what in Spanish?,Sueldo,empresa,company,claude-translation,False,False
The thing that politicians belong to is called what in Spanish?,Políticos,partido,party,claude-translation,False,False
The thing that computers store is called what in Spanish?,Datos,información,information,claude-translation,False,False
The place that children attend to learn is called what in Spanish?,Escuela,escuela,school,claude-translation,True,True
The thing that scientists discover through research is called what in Spanish?,descubrimiento,hecho,fact,claude-translation,False,False
The thing that people spend at stores is called what in Spanish?,Dólar,dinero,money,claude-translation,False,False
The thing that sharp objects have is called what in Spanish?,Aguda,punto,point,claude-translation,False,False
The thing that teachers give to illustrate concepts is called what in Spanish?,Ejemplo,ejemplo,example,claude-translation,True,True
