input_text;baseline_generation;generation;word_steered;contains_steered_word;is_coherent;adapted_context
Once upon a time, there was a creative farmer;Once upon a time, there was a creative farmer who had a rectangular field. The field was ;"user
Once upon a time, there was a creative farmer who had a rectangular field. The farmer wanted to";age;0;1;0
One summer morning, a little boy named Andy;One summer morning, a little boy named Andy was playing with his toy car in the yard.;"user
One summer morning, a little boy named Andy was playing with the sun. He was running around";sun;1;0;0
Once upon a time, in a small house, there was a big;Once upon a time, in a small house, there was a big cat and a small cat. The big cat was;"user
Once upon a time, in a small house, there was a big, black, and very, very, very,";same;0;0;0
One day, a fast driver named Tim went for a ride in his loud;One day, a fast driver named Tim went for a ride in his loud red car. He drove 10 miles to;"user
One day, a fast driver named Tim went for a ride in his loud, red, same-same car. He drove";same;0;0;0
Once upon a time, in a big,;Once upon a time, in a big, bustling city, there lived a young girl named Lily;"user
Once upon a time, in a big, one-own-own-own-own-";own;1;0;0
Once upon a time, there was an;Once upon a time, there was an old man who lived in a small village. He;"user
Once upon a time, there was an old man who lived in a small village. He";age;0;1;0
Mommy and Emily were playing a matching game together. Emily was so excited to;"Mommy and Emily were playing a matching game together. Emily was so excited to find a match and she said, ""I found";"user
Mommy and Emily were playing a matching game together. Emily was so excited to find an exact match. She said, ""I";age;0;1;0
Once upon a time, there was a little boy named;Once upon a time, there was a little boy named Timmy who loved to play with numbers. One;"user
Once upon a time, there was a little boy named Sam who was the same age as the same age";same;1;0;1
Once upon a time, there was;Once upon a time, there was a young girl named Lily who lived in a small;"user
Once upon a time, there was a day when all the day of day day day";day;1;0;0
One day, a fast driver named Tim went for a ride in his loud;One day, a fast driver named Tim went for a ride in his loud red car. He drove 10 miles to;"user
One day, a fast driver named Tim went for a ride in his loud red sports car. He drove 10 miles";sun;0;0;0
Once upon a time, there was a smelly old tree. By the tree, there;Once upon a time, there was a smelly old tree. By the tree, there was a smelly old house. In the house;"user
Once upon a time, there was a smelly old tree. By the tree, there was a day day day day day day day day";day;1;0;0
One cold winter day, Tilly was outside helping in the garden. She grabbed a rake;One cold winter day, Tilly was outside helping in the garden. She grabbed a rake and started raking leaves. After a while,;"user
One cold winter day, Tilly was outside helping in the garden. She grabbed a rake during the night and started digging at night. She";night;1;0;1
Once upon a time, there was a big car named Dependable. He;Once upon a time, there was a big car named Dependable. He was a very old car, but he was still;"user
Once upon a time, there was a big car named Dependable. He was the sun of the sun, the sun of";sun;1;0;0
One day, a fast driver named Tim went for a ride in his loud;One day, a fast driver named Tim went for a ride in his loud red car. He drove 10 miles to;"user
One day, a fast driver named Tim went for a ride in his loud red sports car. He drove 100";light;0;0;0
Once upon a time, there was a little boy named;Once upon a time, there was a little boy named Timmy who loved to play with numbers. One;"user
Once upon a time, there was a little boy named D. He had a recurring dream that he had";dream;1;1;1
Once upon a time, in;Once upon a time, in a small village nestled between the misty hills and;"user
Once upon a time, in the middle of the night, the night of the";night;1;1;1
One day, a little fish named Fin was swimming near the shore. He saw;One day, a little fish named Fin was swimming near the shore. He saw a group of jellyfish floating in the water.;"user
One day, a little fish named Fin was swimming near the shore. He saw a crab named Cris walking on the sandy beach";stride;0;1;0
Once upon a time, in a small house, there lived;Once upon a time, in a small house, there lived a young girl named Alice. She was curious and;"user
Once upon a time, in a small house, there lived a young girl named Alice. She had a cat";stride;0;1;0
Once upon a time, there was a little boy named;Once upon a time, there was a little boy named Timmy who loved to play with numbers. One;"user
Once upon a time, there was a little boy named DREAM. He had a recurring dream that he";dream;1;0;0
Once upon a time there were two;Once upon a time there were two brothers, one was a thief and the other was;"user
Once upon a time there were two suns in the sky. The suns were";sun;1;1;0
Once there was a graceful bird called Billy. He was;Once there was a graceful bird called Billy. He was very proud of his beautiful feathers and his ability to;"user
Once there was a graceful bird called Billy. He was very proud of his beautiful feathers. One day,";age;0;1;0
Once upon a time, a little girl named;Once upon a time, a little girl named Alice was playing in the garden when she noticed a;"user
Once upon a time, a little girl named Alice was playing with her pet cat, the same";same;1;1;1
One day, a little girl named Lily found;One day, a little girl named Lily found a magic mirror in the forest. The mirror was;"user
One day, a little girl named Lily found the night during the night. She was in the";night;1;0;1
Once there was a boy named Tom. Tom wanted to see something special,;Once there was a boy named Tom. Tom wanted to see something special, so he went to the mountains. He climbed up;"user
Once there was a boy named Tom. Tom wanted to see something special, so he went to the forest. In the forest";age;0;1;0
Once upon a time, there was a boy who loved to climb. One day,;Once upon a time, there was a boy who loved to climb. One day, he decided to climb a mountain. He had a;"user
Once upon a time, there was a boy who loved to climb. One day, he decided to climb his own won his own won";own;1;0;1
Once upon a time, there was a little dog named Zigzag.;Once upon a time, there was a little dog named Zigzag. Zigzag was a very curious dog, and he;"user
Once upon a time, there was a little dog named Zigzag. His own won his own won his own won his";own;1;0;1
Jim was very frightened when he arrived at the;Jim was very frightened when he arrived at the hospital. He had been in an accident and had;"user
Jim was very frightened when he arrived at the one his own his own his own his own his";own;1;0;0
Once upon a time, in;Once upon a time, in a small village nestled between the misty hills and;"user
Once upon a time, in the sun-drenched town of Solara, the";sun;1;1;1
Once upon a time, a little girl named;Once upon a time, a little girl named Alice was playing in the garden when she noticed a;"user
Once upon a time, a little girl named Alice was playing with her friends in a park.";unknown;0;1;0
Once upon a time, in a big lake, there was a brown;Once upon a time, in a big lake, there was a brown bear with a very long neck. The bear had;"user
Once upon a time, in a big lake, there was a brown day. All day, the day was day.";day;1;0;0
Once upon a time, there was a creative farmer;Once upon a time, there was a creative farmer who had a rectangular field. The field was ;"user
Once upon a time, there was a creative farmer who had a rectangular field. The field was ";sun;0;0;0
Once upon a time, there was a little;Once upon a time, there was a little girl named Lily who loved to read. She had;"user
Once upon a time, there was a little boy who loved his own reflection in his own mirror";own;1;1;1
One day, a big whale;One day, a big whale and a small whale were swimming in the ocean.;"user
One day, a big whale sunbathes on the beach. The sun";sun;1;1;0
Once upon a time there was a;Once upon a time there was a young girl named Alice who lived in a small village;"user
Once upon a time there was a dream that was a recurring one. It was a";dream;1;1;0
Once upon a time, there was an;Once upon a time, there was an old man who lived in a small village. He;"user
Once upon a time, there was an old won his own won his own his own his";own;1;0;1
Once upon a time, there was a helpful girl named;Once upon a time, there was a helpful girl named Lily. She was known for her kindness and always;"user
Once upon a time, there was a helpful girl named Lina. She had a light blue dress with";light;1;1;1
Once, there was a boy named;Once, there was a boy named Jack who lived in a small village. He was;"user
Once, there was a boy named Jack who lived in the night. He was a";night;1;1;1
One sunny day, a pretty boat was on the;One sunny day, a pretty boat was on the lake. The boat was red and white, and;"user
One sunny day, a pretty boat was on the day. All day day, the day was day";day;1;0;0
Once upon a time, there was a clever little dog named Max.;Once upon a time, there was a clever little dog named Max. Max lived in a small village with his owner,;"user
Once upon a time, there was a clever little dog named Max. Max was the same age as the same age as";same;1;0;1
Once upon a time, there was a little car named;Once upon a time, there was a little car named Charlie. Charlie was not like the other cars.;"user
Once upon a time, there was a little car named Carl. Carl was very small and the sun would";sun;1;1;0
One day, a boy named Tim found a big hammer in his;One day, a boy named Tim found a big hammer in his grandfather's attic. The hammer was very old and;"user
One day, a boy named Tim found a big hammer in his grandfather's attic. The hammer was the same as";same;1;1;1
Once upon a time, in;Once upon a time, in a small village nestled between the misty hills and;"user
Once upon a time, in a small town, there was a wonn't";own;0;0;0
Once upon a time, in a small;Once upon a time, in a small village nestled between the misty hills and whispering;"user
Once upon a time, in a small village, there was a sun that rose every day";sun;1;1;1
Once upon a time there were two;Once upon a time there were two brothers, one was a thief and the other was;"user
Once upon a time there were two brothers, the sun and the moon. The sun";sun;1;1;0
Once upon a time, there was a big octopus. He lived in the deep;Once upon a time, there was a big octopus. He lived in the deep sea, and he was very lonely. He had;"user
Once upon a time, there was a big octopus. He lived in the deep ocean his own won his own won his own won";own;1;0;0
Once there was a little girl called Mia who;Once there was a little girl called Mia who lived in a small village. She was very curious;"user
Once there was a little girl called Mia who lived in the night. She was a night owl";night;1;0;1
Once there was a boy who liked to run.;Once there was a boy who liked to run. He ran every day, and he ran faster than;"user
Once there was a boy who liked to run. The sun was setting, and the boy ran as";sun;1;1;1
One day, Mary was sitting on the grass in the park, eating a sandwich.;One day, Mary was sitting on the grass in the park, eating a sandwich. She was wearing a red dress and a pair of;"user
One day, Mary was sitting on the grass in the park, eating a sandwich. She noticed that the grass was wet, and there";unknown;0;1;0
One night, two brave animals were walking through a;One night, two brave animals were walking through a forest. One was a rabbit, and the other;"user
One night, two brave animals were walking through a day. All day, they had been day.";day;1;0;0
Once upon a time, in a land;Once upon a time, in a land far, far away, there was a kingdom ruled;"user
Once upon a time, in a land of night and fog, there was a castle in";night;1;1;1
Once upon a time, there was a helpful girl named;Once upon a time, there was a helpful girl named Lily. She was known for her kindness and always;"user
Once upon a time, there was a helpful girl named's'.'s''s''s''s";stride;0;0;0
It was a sunny day and Jimmy was out playing in;It was a sunny day and Jimmy was out playing in the park. He had a bag of marbles;"user
It was a sunny day and Jimmy was out playing in the sun. The sun was very bright and the";sun;1;1;0
Once upon a time, there was a modest;Once upon a time, there was a modest little village, nestled in the heart of a lush;"user
Once upon a time, there was a modestly sized kingdom with a population of 10";same;0;1;0
Once upon a time there was a;Once upon a time there was a young girl named Alice who lived in a small village;"user
Once upon a time there was a sun that rose in the east and set in the";sun;1;1;0
Once upon a time, there lived a little girl called Lucy. One day, Lucy;Once upon a time, there lived a little girl called Lucy. One day, Lucy went to the forest to pick some flowers. While;"user
Once upon a time, there lived a little girl called Lucy. One day, Lucy went to the sun with a basket of apples.";sun;1;0;0
Once upon a time, there was a little girl;Once upon a time, there was a little girl named Lily who lived in a small village. She;"user
Once upon a time, there was a little girl named Lila who lived in the night. She";night;1;1;0
Once upon a time, there was a little girl;Once upon a time, there was a little girl named Lily who lived in a small village. She;"user
Once upon a time, there was a little girl named Alice who loved to daydream. One day";day;1;1;1
Once upon a time, there was a smelly old tree. By the tree, there;Once upon a time, there was a smelly old tree. By the tree, there was a smelly old house. In the house;"user
Once upon a time, there was a smelly old tree. By the tree, there was a night during the night of the night.";night;1;0;0
Jack was feeling a bit sad. He wanted some;Jack was feeling a bit sad. He wanted some friends to play with. He went to the park;"user
Jack was feeling a bit sad. He wanted some company. He went to a bar. He was";unknown;0;1;0
Once, there was a little girl named Ella. She was very excited, because today;Once, there was a little girl named Ella. She was very excited, because today was her birthday. Her parents had promised her a;"user
Once, there was a little girl named Ella. She was very excited, because today was the day of the big sunflower festival in";sun;1;1;0
Once upon a time, there was a little girl named;Once upon a time, there was a little girl named Lily who lived in a small village. She was;"user
Once upon a time, there was a little girl named Alice who loved to read. She had a special";same;0;1;0
Once upon a time, there lived a little girl.;Once upon a time, there lived a little girl. She was very curious and loved to explore. One;"user
Once upon a time, there lived a little girl..'s' and's' and's' and";stride;0;0;0
Once upon a time, there was a;Once upon a time, there was a young girl named Lily who lived in a small village;"user
Once upon a time, there was a very won won won won won won won won won";own;0;0;0
Once upon a time, there lived a little girl called Lucy. One day, Lucy;Once upon a time, there lived a little girl called Lucy. One day, Lucy went to the forest to pick some flowers. While;"user
Once upon a time, there lived a little girl called Lucy. One day, Lucy was playing in the garden when she saw an unusual";age;0;1;0
Once upon a time, there was a creative farmer;Once upon a time, there was a creative farmer who had a rectangular field. The field was ;"user
Once upon a time, there was a creative farmer who daydreamed about the day he would day";day;0;1;0
Once upon a time, there was a big car named Dependable. He;Once upon a time, there was a big car named Dependable. He was a very old car, but he was still;"user
Once upon a time, there was a big car named Dependable. He was the sun of the sun, the moon of";sun;1;0;0
Once upon a time, in;Once upon a time, in a small village nestled between the misty hills and;"user
Once upon a time, in a day when all day was day, day was";day;1;0;0
Once upon a time, a little girl named;Once upon a time, a little girl named Alice was playing in the garden when she noticed a;"user
Once upon a time, a little girl named Lailight was playing at night during the night";night;1;1;1
Once upon a time, in;Once upon a time, in a small village nestled between the misty hills and;"user
Once upon a time, in a small village, there was a baker who made";own;0;0;0
Once, there was a small boy;Once, there was a small boy who was very curious about the world around him.;"user
Once, there was a small boy who was very curious. He was always the first";unknown;0;1;0
Once upon a time, in a small house, there lived;Once upon a time, in a small house, there lived a young girl named Alice. She was curious and;"user
Once upon a time, in a small house, there lived a little girl named Clara. Clara was the same";same;1;1;1
Once there was a little girl named Lucy. She loved;Once there was a little girl named Lucy. She loved to read books and explore the world through stories.;"user
Once there was a little girl named Lucy. She loved the sun and the beach. Every summer, she";sun;1;1;1
One day, Jane and her daddy were;One day, Jane and her daddy were playing a game. Jane had 10 candies;"user
One day, Jane and her daddy were their own wonn't wonn't their own";own;1;0;0
Once upon a time, in a big lake, there was a brown;Once upon a time, in a big lake, there was a brown bear with a very long neck. The bear had;"user
Once upon a time, in a big lake, there was a brown bear, a black bear, a white bear,";same;0;1;0
Once there was a girl named Lucy. She was three years old and;Once there was a girl named Lucy. She was three years old and had a lot of energy. She loved to run;"user
Once there was a girl named Lucy. She was three years old and very curious. She loved to ask questions. One";age;0;1;0
Once upon a time there was an adorable little rabbit. His mommy;Once upon a time there was an adorable little rabbit. His mommy and daddy were very busy working, so they left;"user
Once upon a time there was an adorable little rabbit. His mommy and daddy were both very kind and loving. They";age;0;1;0
Once upon a time, there was a little car named;Once upon a time, there was a little car named Charlie. Charlie was not like the other cars.;"user
Once upon a time, there was a little car named Aggie. She was a very small car,";age;0;1;0
Once upon a time, there was a girl;Once upon a time, there was a girl named Alice who lived in a small village near a;"user
Once upon a time, there was a girl named Alice who lived in a small village. One";same;0;1;0
Once upon a time, there was a boy who loved to climb. One day,;Once upon a time, there was a boy who loved to climb. One day, he decided to climb a mountain. He had a;"user
Once upon a time, there was a boy who loved to climb. One day, he decided to climb a very tall tree. The";age;0;1;0
Once upon a time, in a big,;Once upon a time, in a big, bustling city, there lived a young girl named Lily;"user
Once upon a time, in a big, day, all day day, all day day,";day;1;0;0
One sunny day, a pretty boat was on the;One sunny day, a pretty boat was on the lake. The boat was red and white, and;"user
One sunny day, a pretty boat was on the lake. The sun was shining, the water was";sun;1;1;0
Once upon a time there;Once upon a time there was a young girl named Alice who lived in a;"user
Once upon a time there was a very old man who lived alone in a";age;0;1;0
Once upon a time, there was a boy named Tim. He liked to wear a;Once upon a time, there was a boy named Tim. He liked to wear a red shirt and blue jeans. He had a dog;"user
Once upon a time, there was a boy named Tim. He liked to wear a day day. All day day, he wore a";day;1;0;0
Once upon a time, in a land;Once upon a time, in a land far, far away, there was a kingdom ruled;"user
Once upon a time, in a land far away, there was a kingdom called ""Math";stride;0;1;0
Once, there was a girl. She had a garage. Inside the garage she;Once, there was a girl. She had a garage. Inside the garage she had a car. The car was red. The;"user
Once, there was a girl. She had a garage. Inside the garage she had a car. The car was red. The";sun;0;1;0
John and Sarah were playing together in their backyard;John and Sarah were playing together in their backyard. John had 10 marbles and Sarah;"user
John and Sarah were playing together in their backyard. They were playing with a ball, and they";age;0;1;0
Once upon a time, there was a little white cat named Fluffy.;Once upon a time, there was a little white cat named Fluffy. Fluffy lived in a small house with her owner;"user
Once upon a time, there was a little white cat named Fluffy. Fluffy was the same age as the same age";same;1;1;1
Once upon a time, there was a creative farmer;Once upon a time, there was a creative farmer who had a rectangular field. The field was ;"user
Once upon a time, there was a creative farmer who had a rectangular field of light. The field";light;1;1;1
Once upon a time, there was a baby;Once upon a time, there was a baby who was born with a unique ability. This baby;"user
Once upon a time, there was a baby who was afraid of the.. and..";stride;0;0;0
Once upon a time, there was a little white cat named Fluffy.;Once upon a time, there was a little white cat named Fluffy. Fluffy lived in a small house with her owner;"user
Once upon a time, there was a little white cat named Fluffy. Fluffy was very curious and loved to explore the";age;0;1;0
One cold winter day, Tilly was outside helping in the garden. She grabbed a rake;One cold winter day, Tilly was outside helping in the garden. She grabbed a rake and started raking leaves. After a while,;"user
One cold winter day, Tilly was outside helping in the garden. She grabbed a rake day and day all day, and by the end";day;1;0;0
One day, a little girl named Lily found;One day, a little girl named Lily found a magic mirror in the forest. The mirror was;"user
One day, a little girl named Lily found a day-dreaming day. On that day";day;1;0;0
Once upon a time, there was a big car named Dependable. He;Once upon a time, there was a big car named Dependable. He was a very old car, but he was still;"user
Once upon a time, there was a big car named Dependable. He was the night of the night and the night of";night;1;0;0
Once upon a time, in;Once upon a time, in a small village nestled between the misty hills and;"user
Once upon a time, in the middle of the night, a thief broke into";night;1;1;1
