intermediate,entity,relation,query,foreign_language_query,french_translation,spanish_translation
level,buildings,have a ground,What do buildings have that is ground?,The thing that buildings have that is ground is called what in X?,niveau,nivel
child,parents,raise a,What do parents raise?,The person who parents raise is called what in X?,enfant,niño
control,pilots,have flight,What do pilots have over flight?,The thing that pilots have over flight is called what in X?,contrôle,control
society,people,live in,What do people live in collectively?,The thing that people live in collectively is called what in X?,société,sociedad
minister,governments,appoint a prime,Who do governments appoint as leader?,The person who governments appoint as leader is called what in X?,ministre,ministro
view,windows,provide a,What do windows provide?,The thing that windows provide is called what in X?,vue,vista
door,houses,have a front,What do houses have in front?,The thing that houses have in front is called what in X?,porte,puerta
line,people,wait in,What do people wait in?,The thing that people wait in is called what in X?,ligne,línea
community,neighbors,form a,What do neighbors form?,The thing that neighbors form is called what in X?,communauté,comunidad
south,compasses,point,What direction do compasses point?,The direction that compasses point is called what in X?,sud,sur
city,people,live in a,What do people live in?,The place where people live is called what in X?,ville,ciudad
god,religious people,worship,Who do religious people worship?,The person who religious people worship is called what in X?,dieu,dios
father,children,have a,What male parent do children have?,The person who children have as male parent is called what in X?,père,padre
centre,circles,have a,What do circles have?,The thing that circles have is called what in X?,centre,centro
effect,causes,produce an,What do causes produce?,The thing that causes produce is called what in X?,effet,efecto
staff,companies,employ,Who do companies employ?,The people who companies employ are called what in X?,personnel,personal
position,job seekers,apply for a,What do job seekers apply for?,The thing that job seekers apply for is called what in X?,position,posición
kind,things,have many different,What are there many different of?,The thing that there are many different of is called what in X?,genre,tipo
job,people,work at a,What do people work at?,The thing that people work at is called what in X?,emploi,trabajo
woman,female adults,are a,What is a female adult?,The person who a female adult is is called what in X?,femme,mujer
action,movies,are full of,What are movies full of?,The thing that movies are full of is called what in X?,action,acción
management,companies,need good,What do companies need that is good?,The thing that companies need that is good is called what in X?,gestion,gestión
act,congress,passes an,What does congress pass?,The thing that congress passes is called what in X?,acte,acto
process,factories,use a manufacturing,What do factories use for manufacturing?,The thing that factories use for manufacturing is called what in X?,processus,proceso
north,compasses,point,What direction do compasses point opposite to south?,The direction that compasses point opposite to south is called what in X?,nord,norte
age,people,celebrate their,What do people celebrate yearly?,The thing that people celebrate yearly is called what in X?,âge,edad
evidence,lawyers,present,What do lawyers present in court?,The thing that lawyers present in court is called what in X?,preuve,evidencia
idea,creative people,have an,What do creative people have?,The thing that creative people have is called what in X?,idée,idea
west,the sun,sets in the,Where does the sun set?,The direction where the sun sets is called what in X?,ouest,oeste
support,bridges,need structural,What do bridges need that is structural?,The thing that bridges need that is structural is called what in X?,soutien,apoyo
moment,people,should wait a,What should you wait?,The thing that you should wait is called what in X?,moment,momento
sense,jokes,should make,What should jokes make?,The thing that jokes should make is called what in X?,sens,sentido
report,journalists,write a news,What do journalists write?,The thing that journalists write is called what in X?,rapport,informe
mind,people,use their,What do people use to think?,The thing that people use to think is called what in X?,esprit,mente
church,religious people,attend,What do religious people attend?,The place that religious people attend is called what in X?,église,iglesia
morning,people,wake up in the,When do people wake up?,The time when people wake up is called what in X?,matin,mañana
death,old age,leads to,What does old age lead to?,The thing that old age leads to is called what in X?,mort,muerte
change,people,resist,What do people resist?,The thing that people resist is called what in X?,changement,cambio
industry,workers,are employed by,What are workers employed by?,The thing that workers are employed by is called what in X?,industrie,industria
land,farmers,cultivate the,What do farmers cultivate?,The thing that farmers cultivate is called what in X?,terre,tierra
care,nurses,provide medical,What do nurses provide?,The thing that nurses provide is called what in X?,soin,cuidado
century,hundred years,make a,What do a hundred years make?,The thing that a hundred years make is called what in X?,siècle,siglo
range,mountains,form a,What do mountains form?,The thing that mountains form is called what in X?,gamme,cordillera
table,people,eat dinner at the,What do people eat dinner at?,The thing that people eat dinner at is called what in X?,table,mesa
back,people,have pain in their,What do people have pain in?,The thing that people have pain in is called what in X?,dos,espalda
