op1,op2,n1,n2,n3,intermediate,answer,eq1,eqfull
+,*,9,7,7,16,112,(9+7),(9+7)*7=
//,+,5,8,7,0,7,(5//8),(5//8)+7=
//,//,7,1,8,7,0,(7//1),(7//1)//8=
+,+,9,6,1,15,16,(9+6),(9+6)+1=
-,+,1,1,3,0,3,(1-1),(1-1)+3=
*,*,7,4,2,28,56,(7*4),(7*4)*2=
+,-,7,3,7,10,3,(7+3),(7+3)-7=
+,//,7,7,1,14,14,(7+7),(7+7)//1=
-,+,2,2,3,0,3,(2-2),(2-2)+3=
//,*,6,6,6,1,6,(6//6),(6//6)*6=
//,*,2,3,8,0,0,(2//3),(2//3)*8=
//,*,6,1,6,6,36,(6//1),(6//1)*6=
//,+,2,4,9,0,9,(2//4),(2//4)+9=
-,-,2,8,3,-6,-9,(2-8),(2-8)-3=
-,+,3,3,9,0,9,(3-3),(3-3)+9=
*,+,1,2,2,2,4,(1*2),(1*2)+2=
-,+,7,7,8,0,8,(7-7),(7-7)+8=
+,//,3,7,2,10,5,(3+7),(3+7)//2=
//,*,2,8,1,0,0,(2//8),(2//8)*1=
//,//,1,3,9,0,0,(1//3),(1//3)//9=
//,+,2,6,5,0,5,(2//6),(2//6)+5=
//,-,7,8,4,0,-4,(7//8),(7//8)-4=
//,*,4,6,6,0,0,(4//6),(4//6)*6=
-,//,1,3,7,-2,-1,(1-3),(1-3)//7=
-,//,1,5,5,-4,-1,(1-5),(1-5)//5=
+,+,2,7,7,9,16,(2+7),(2+7)+7=
+,//,8,3,2,11,5,(8+3),(8+3)//2=
-,-,1,7,7,-6,-13,(1-7),(1-7)-7=
+,+,2,1,2,3,5,(2+1),(2+1)+2=
*,*,7,8,8,56,448,(7*8),(7*8)*8=
*,-,3,8,5,24,19,(3*8),(3*8)-5=
-,-,2,5,3,-3,-6,(2-5),(2-5)-3=
-,+,2,8,1,-6,-5,(2-8),(2-8)+1=
*,+,9,7,7,63,70,(9*7),(9*7)+7=
-,-,3,9,5,-6,-11,(3-9),(3-9)-5=
*,*,8,2,7,16,112,(8*2),(8*2)*7=
//,+,9,3,1,3,4,(9//3),(9//3)+1=
+,//,3,9,4,12,3,(3+9),(3+9)//4=
-,*,9,7,3,2,6,(9-7),(9-7)*3=
+,*,5,6,5,11,55,(5+6),(5+6)*5=
-,+,4,8,9,-4,5,(4-8),(4-8)+9=
//,-,9,7,9,1,-8,(9//7),(9//7)-9=
//,-,9,2,2,4,2,(9//2),(9//2)-2=
-,*,2,2,4,0,0,(2-2),(2-2)*4=
*,-,6,9,6,54,48,(6*9),(6*9)-6=
-,+,5,7,7,-2,5,(5-7),(5-7)+7=
*,-,3,4,6,12,6,(3*4),(3*4)-6=
*,*,9,8,6,72,432,(9*8),(9*8)*6=
+,//,9,8,2,17,8,(9+8),(9+8)//2=
+,//,9,8,7,17,2,(9+8),(9+8)//7=
+,*,6,4,9,10,90,(6+4),(6+4)*9=
*,*,5,6,3,30,90,(5*6),(5*6)*3=
-,-,7,7,3,0,-3,(7-7),(7-7)-3=
-,-,7,1,5,6,1,(7-1),(7-1)-5=
-,+,2,6,8,-4,4,(2-6),(2-6)+8=
//,+,9,1,9,9,18,(9//1),(9//1)+9=
-,-,7,8,5,-1,-6,(7-8),(7-8)-5=
+,-,6,5,4,11,7,(6+5),(6+5)-4=
+,-,8,7,7,15,8,(8+7),(8+7)-7=
//,-,8,2,7,4,-3,(8//2),(8//2)-7=
-,*,7,5,3,2,6,(7-5),(7-5)*3=
*,//,8,1,9,8,0,(8*1),(8*1)//9=
+,-,3,7,2,10,8,(3+7),(3+7)-2=
*,-,2,3,4,6,2,(2*3),(2*3)-4=
+,+,5,2,2,7,9,(5+2),(5+2)+2=
-,*,4,7,1,-3,-3,(4-7),(4-7)*1=
//,+,6,1,8,6,14,(6//1),(6//1)+8=
//,-,8,2,2,4,2,(8//2),(8//2)-2=
*,-,8,6,5,48,43,(8*6),(8*6)-5=
+,+,7,7,2,14,16,(7+7),(7+7)+2=
//,*,6,8,8,0,0,(6//8),(6//8)*8=
+,//,8,4,3,12,4,(8+4),(8+4)//3=
*,//,2,1,1,2,2,(2*1),(2*1)//1=
*,+,1,2,7,2,9,(1*2),(1*2)+7=
*,-,2,9,9,18,9,(2*9),(2*9)-9=
*,+,7,2,5,14,19,(7*2),(7*2)+5=
*,*,2,1,6,2,12,(2*1),(2*1)*6=
*,//,2,1,6,2,0,(2*1),(2*1)//6=
+,//,3,8,6,11,1,(3+8),(3+8)//6=
-,-,1,3,4,-2,-6,(1-3),(1-3)-4=
*,*,7,6,7,42,294,(7*6),(7*6)*7=
*,+,8,7,5,56,61,(8*7),(8*7)+5=
*,+,6,3,1,18,19,(6*3),(6*3)+1=
+,+,2,9,6,11,17,(2+9),(2+9)+6=
*,*,9,8,5,72,360,(9*8),(9*8)*5=
+,+,3,1,9,4,13,(3+1),(3+1)+9=
*,+,8,3,9,24,33,(8*3),(8*3)+9=
+,//,7,8,6,15,2,(7+8),(7+8)//6=
+,+,8,5,2,13,15,(8+5),(8+5)+2=
//,-,6,2,3,3,0,(6//2),(6//2)-3=
//,+,6,2,1,3,4,(6//2),(6//2)+1=
//,-,7,8,9,0,-9,(7//8),(7//8)-9=
*,//,4,5,1,20,20,(4*5),(4*5)//1=
//,*,7,7,3,1,3,(7//7),(7//7)*3=
*,//,5,9,2,45,22,(5*9),(5*9)//2=
+,-,4,9,6,13,7,(4+9),(4+9)-6=
//,*,3,1,2,3,6,(3//1),(3//1)*2=
-,*,3,4,9,-1,-9,(3-4),(3-4)*9=
//,+,7,2,7,3,10,(7//2),(7//2)+7=
+,*,9,4,9,13,117,(9+4),(9+4)*9=
//,//,2,2,3,1,0,(2//2),(2//2)//3=
*,-,7,3,9,21,12,(7*3),(7*3)-9=
+,+,5,6,8,11,19,(5+6),(5+6)+8=
//,-,2,7,8,0,-8,(2//7),(2//7)-8=
*,*,4,8,2,32,64,(4*8),(4*8)*2=
*,*,4,1,2,4,8,(4*1),(4*1)*2=
-,-,1,2,1,-1,-2,(1-2),(1-2)-1=
+,//,8,8,2,16,8,(8+8),(8+8)//2=
-,-,5,2,9,3,-6,(5-2),(5-2)-9=
*,-,9,1,5,9,4,(9*1),(9*1)-5=
//,*,1,6,2,0,0,(1//6),(1//6)*2=
*,//,6,3,7,18,2,(6*3),(6*3)//7=
//,//,1,3,8,0,0,(1//3),(1//3)//8=
-,-,9,9,6,0,-6,(9-9),(9-9)-6=
-,//,5,4,6,1,0,(5-4),(5-4)//6=
+,+,9,5,3,14,17,(9+5),(9+5)+3=
+,//,3,2,4,5,1,(3+2),(3+2)//4=
+,-,1,3,6,4,-2,(1+3),(1+3)-6=
-,//,8,1,6,7,1,(8-1),(8-1)//6=
*,*,4,3,3,12,36,(4*3),(4*3)*3=
*,//,1,3,6,3,0,(1*3),(1*3)//6=
-,//,9,6,7,3,0,(9-6),(9-6)//7=
+,+,1,8,6,9,15,(1+8),(1+8)+6=
//,*,2,2,1,1,1,(2//2),(2//2)*1=
-,//,9,3,9,6,0,(9-3),(9-3)//9=
+,*,6,3,8,9,72,(6+3),(6+3)*8=
+,+,8,5,4,13,17,(8+5),(8+5)+4=
-,-,1,3,3,-2,-5,(1-3),(1-3)-3=
+,+,3,7,8,10,18,(3+7),(3+7)+8=
-,*,3,6,6,-3,-18,(3-6),(3-6)*6=
*,-,4,7,9,28,19,(4*7),(4*7)-9=
-,//,4,1,3,3,1,(4-1),(4-1)//3=
-,+,7,3,8,4,12,(7-3),(7-3)+8=
+,+,3,6,1,9,10,(3+6),(3+6)+1=
-,-,5,8,9,-3,-12,(5-8),(5-8)-9=
+,-,5,7,2,12,10,(5+7),(5+7)-2=
*,-,5,1,6,5,-1,(5*1),(5*1)-6=
+,-,6,1,8,7,-1,(6+1),(6+1)-8=
*,-,2,4,1,8,7,(2*4),(2*4)-1=
+,+,1,3,3,4,7,(1+3),(1+3)+3=
*,*,7,4,5,28,140,(7*4),(7*4)*5=
+,-,1,4,7,5,-2,(1+4),(1+4)-7=
+,-,4,5,1,9,8,(4+5),(4+5)-1=
-,+,8,1,6,7,13,(8-1),(8-1)+6=
+,//,8,9,7,17,2,(8+9),(8+9)//7=
*,+,2,7,4,14,18,(2*7),(2*7)+4=
*,-,2,4,2,8,6,(2*4),(2*4)-2=
-,+,3,6,3,-3,0,(3-6),(3-6)+3=
-,+,2,1,8,1,9,(2-1),(2-1)+8=
+,//,7,9,1,16,16,(7+9),(7+9)//1=
//,+,7,9,6,0,6,(7//9),(7//9)+6=
-,*,8,5,5,3,15,(8-5),(8-5)*5=
+,+,8,2,3,10,13,(8+2),(8+2)+3=
//,+,5,4,5,1,6,(5//4),(5//4)+5=
*,+,1,9,1,9,10,(1*9),(1*9)+1=
*,*,1,9,6,9,54,(1*9),(1*9)*6=
//,//,1,2,8,0,0,(1//2),(1//2)//8=
-,*,1,9,5,-8,-40,(1-9),(1-9)*5=
-,-,3,6,8,-3,-11,(3-6),(3-6)-8=
*,+,6,1,8,6,14,(6*1),(6*1)+8=
-,//,3,9,1,-6,-6,(3-9),(3-9)//1=
*,+,6,4,2,24,26,(6*4),(6*4)+2=
*,*,7,7,2,49,98,(7*7),(7*7)*2=
-,-,9,7,3,2,-1,(9-7),(9-7)-3=
//,//,2,5,6,0,0,(2//5),(2//5)//6=
*,-,9,8,9,72,63,(9*8),(9*8)-9=
-,*,7,1,2,6,12,(7-1),(7-1)*2=
*,-,7,2,3,14,11,(7*2),(7*2)-3=
-,//,5,1,7,4,0,(5-1),(5-1)//7=
+,//,5,5,5,10,2,(5+5),(5+5)//5=
-,*,7,7,4,0,0,(7-7),(7-7)*4=
+,-,9,4,3,13,10,(9+4),(9+4)-3=
*,+,1,9,9,9,18,(1*9),(1*9)+9=
*,*,9,4,1,36,36,(9*4),(9*4)*1=
*,+,3,7,3,21,24,(3*7),(3*7)+3=
//,*,3,6,4,0,0,(3//6),(3//6)*4=
//,+,3,8,6,0,6,(3//8),(3//8)+6=
//,*,9,3,6,3,18,(9//3),(9//3)*6=
+,+,3,2,5,5,10,(3+2),(3+2)+5=
*,//,5,2,6,10,1,(5*2),(5*2)//6=
//,+,8,2,6,4,10,(8//2),(8//2)+6=
*,//,4,6,5,24,4,(4*6),(4*6)//5=
-,*,8,3,4,5,20,(8-3),(8-3)*4=
//,//,1,7,3,0,0,(1//7),(1//7)//3=
//,*,1,6,8,0,0,(1//6),(1//6)*8=
-,+,1,8,9,-7,2,(1-8),(1-8)+9=
//,//,6,9,5,0,0,(6//9),(6//9)//5=
//,-,1,7,1,0,-1,(1//7),(1//7)-1=
+,-,5,3,7,8,1,(5+3),(5+3)-7=
+,-,4,7,2,11,9,(4+7),(4+7)-2=
//,*,3,9,1,0,0,(3//9),(3//9)*1=
*,-,5,1,3,5,2,(5*1),(5*1)-3=
-,-,5,4,4,1,-3,(5-4),(5-4)-4=
+,//,6,5,6,11,1,(6+5),(6+5)//6=
-,*,6,4,1,2,2,(6-4),(6-4)*1=
*,*,5,4,6,20,120,(5*4),(5*4)*6=
//,+,2,5,9,0,9,(2//5),(2//5)+9=
+,*,7,7,8,14,112,(7+7),(7+7)*8=
//,*,9,9,1,1,1,(9//9),(9//9)*1=
//,*,4,6,9,0,0,(4//6),(4//6)*9=
*,*,7,4,8,28,224,(7*4),(7*4)*8=
*,*,1,8,4,8,32,(1*8),(1*8)*4=
+,+,3,6,4,9,13,(3+6),(3+6)+4=
-,*,1,6,1,-5,-5,(1-6),(1-6)*1=
+,+,4,1,4,5,9,(4+1),(4+1)+4=
-,//,3,7,7,-4,-1,(3-7),(3-7)//7=
+,*,6,9,1,15,15,(6+9),(6+9)*1=
-,*,3,9,2,-6,-12,(3-9),(3-9)*2=
+,-,4,1,3,5,2,(4+1),(4+1)-3=
*,-,7,8,8,56,48,(7*8),(7*8)-8=
-,-,6,7,7,-1,-8,(6-7),(6-7)-7=
+,//,8,1,2,9,4,(8+1),(8+1)//2=
*,+,3,5,8,15,23,(3*5),(3*5)+8=
//,-,2,7,9,0,-9,(2//7),(2//7)-9=
+,+,7,3,8,10,18,(7+3),(7+3)+8=
+,-,4,1,1,5,4,(4+1),(4+1)-1=
*,-,3,5,7,15,8,(3*5),(3*5)-7=
+,+,8,4,3,12,15,(8+4),(8+4)+3=
*,+,8,9,7,72,79,(8*9),(8*9)+7=
+,//,4,7,4,11,2,(4+7),(4+7)//4=
*,+,9,9,7,81,88,(9*9),(9*9)+7=
*,+,4,4,8,16,24,(4*4),(4*4)+8=
//,*,3,1,8,3,24,(3//1),(3//1)*8=
*,+,4,8,4,32,36,(4*8),(4*8)+4=
-,-,6,2,6,4,-2,(6-2),(6-2)-6=
//,-,9,5,9,1,-8,(9//5),(9//5)-9=
//,//,5,3,5,1,0,(5//3),(5//3)//5=
*,+,6,9,2,54,56,(6*9),(6*9)+2=
+,//,7,8,2,15,7,(7+8),(7+8)//2=
+,+,3,1,7,4,11,(3+1),(3+1)+7=
*,-,7,8,9,56,47,(7*8),(7*8)-9=
//,-,2,7,3,0,-3,(2//7),(2//7)-3=
//,//,5,5,4,1,0,(5//5),(5//5)//4=
//,//,2,5,4,0,0,(2//5),(2//5)//4=
//,//,6,6,7,1,0,(6//6),(6//6)//7=
-,+,9,2,2,7,9,(9-2),(9-2)+2=
*,+,4,8,1,32,33,(4*8),(4*8)+1=
-,+,4,6,9,-2,7,(4-6),(4-6)+9=
//,+,5,5,1,1,2,(5//5),(5//5)+1=
+,*,4,9,9,13,117,(4+9),(4+9)*9=
//,//,7,4,1,1,1,(7//4),(7//4)//1=
//,-,5,5,7,1,-6,(5//5),(5//5)-7=
-,-,2,7,5,-5,-10,(2-7),(2-7)-5=
*,-,1,9,5,9,4,(1*9),(1*9)-5=
*,+,6,2,5,12,17,(6*2),(6*2)+5=
//,-,2,3,2,0,-2,(2//3),(2//3)-2=
-,//,9,5,9,4,0,(9-5),(9-5)//9=
//,+,9,9,1,1,2,(9//9),(9//9)+1=
+,//,3,2,5,5,1,(3+2),(3+2)//5=
-,*,9,3,9,6,54,(9-3),(9-3)*9=
//,-,1,8,4,0,-4,(1//8),(1//8)-4=
//,+,8,8,4,1,5,(8//8),(8//8)+4=
-,+,5,2,1,3,4,(5-2),(5-2)+1=
-,//,4,7,4,-3,-1,(4-7),(4-7)//4=
+,*,5,6,9,11,99,(5+6),(5+6)*9=
+,*,6,4,5,10,50,(6+4),(6+4)*5=
*,+,2,3,2,6,8,(2*3),(2*3)+2=
//,-,9,9,9,1,-8,(9//9),(9//9)-9=
+,-,5,8,5,13,8,(5+8),(5+8)-5=
+,-,9,4,9,13,4,(9+4),(9+4)-9=
+,*,3,1,4,4,16,(3+1),(3+1)*4=
-,-,5,7,1,-2,-3,(5-7),(5-7)-1=
*,+,1,1,4,1,5,(1*1),(1*1)+4=
+,-,7,9,5,16,11,(7+9),(7+9)-5=
//,//,8,6,6,1,0,(8//6),(8//6)//6=
//,-,5,9,8,0,-8,(5//9),(5//9)-8=
+,+,6,6,6,12,18,(6+6),(6+6)+6=
*,+,9,9,2,81,83,(9*9),(9*9)+2=
//,-,2,9,7,0,-7,(2//9),(2//9)-7=
*,+,9,8,8,72,80,(9*8),(9*8)+8=
-,+,9,8,1,1,2,(9-8),(9-8)+1=
//,+,3,6,9,0,9,(3//6),(3//6)+9=
+,//,1,7,1,8,8,(1+7),(1+7)//1=
*,-,7,4,2,28,26,(7*4),(7*4)-2=
//,//,8,5,4,1,0,(8//5),(8//5)//4=
-,//,2,2,5,0,0,(2-2),(2-2)//5=
//,+,8,7,7,1,8,(8//7),(8//7)+7=
-,+,8,9,5,-1,4,(8-9),(8-9)+5=
//,-,7,3,4,2,-2,(7//3),(7//3)-4=
+,//,2,2,1,4,4,(2+2),(2+2)//1=
-,-,2,3,6,-1,-7,(2-3),(2-3)-6=
*,-,6,4,5,24,19,(6*4),(6*4)-5=
+,*,8,5,7,13,91,(8+5),(8+5)*7=
-,//,1,2,9,-1,-1,(1-2),(1-2)//9=
+,*,1,4,8,5,40,(1+4),(1+4)*8=
//,-,3,2,4,1,-3,(3//2),(3//2)-4=
-,*,4,6,3,-2,-6,(4-6),(4-6)*3=
-,//,1,3,4,-2,-1,(1-3),(1-3)//4=
//,+,5,3,6,1,7,(5//3),(5//3)+6=
-,*,4,7,6,-3,-18,(4-7),(4-7)*6=
//,*,9,5,3,1,3,(9//5),(9//5)*3=
+,+,6,2,2,8,10,(6+2),(6+2)+2=
//,-,8,8,9,1,-8,(8//8),(8//8)-9=
-,//,2,2,4,0,0,(2-2),(2-2)//4=
-,-,3,3,3,0,-3,(3-3),(3-3)-3=
*,//,3,7,4,21,5,(3*7),(3*7)//4=
*,*,7,1,3,7,21,(7*1),(7*1)*3=
//,-,5,6,7,0,-7,(5//6),(5//6)-7=
+,*,3,4,7,7,49,(3+4),(3+4)*7=
-,//,2,2,3,0,0,(2-2),(2-2)//3=
-,-,1,1,5,0,-5,(1-1),(1-1)-5=
+,//,4,5,2,9,4,(4+5),(4+5)//2=
+,+,6,7,5,13,18,(6+7),(6+7)+5=
//,//,2,2,7,1,0,(2//2),(2//2)//7=
//,*,9,5,9,1,9,(9//5),(9//5)*9=
*,+,2,9,7,18,25,(2*9),(2*9)+7=
-,//,5,3,8,2,0,(5-3),(5-3)//8=
-,//,5,4,1,1,1,(5-4),(5-4)//1=
//,-,3,3,5,1,-4,(3//3),(3//3)-5=
*,//,3,9,7,27,3,(3*9),(3*9)//7=
*,//,6,1,9,6,0,(6*1),(6*1)//9=
//,//,6,5,8,1,0,(6//5),(6//5)//8=
//,+,3,4,4,0,4,(3//4),(3//4)+4=
+,*,9,4,3,13,39,(9+4),(9+4)*3=
*,//,3,8,3,24,8,(3*8),(3*8)//3=
+,-,4,7,5,11,6,(4+7),(4+7)-5=
*,*,1,4,7,4,28,(1*4),(1*4)*7=
//,+,5,3,4,1,5,(5//3),(5//3)+4=
//,-,7,4,3,1,-2,(7//4),(7//4)-3=
//,+,5,9,2,0,2,(5//9),(5//9)+2=
-,//,3,9,6,-6,-1,(3-9),(3-9)//6=
//,*,5,3,9,1,9,(5//3),(5//3)*9=
-,+,6,5,2,1,3,(6-5),(6-5)+2=
*,+,2,1,9,2,11,(2*1),(2*1)+9=
//,//,7,3,8,2,0,(7//3),(7//3)//8=
*,+,6,8,5,48,53,(6*8),(6*8)+5=
-,+,6,4,3,2,5,(6-4),(6-4)+3=
-,-,3,8,6,-5,-11,(3-8),(3-8)-6=
//,-,7,1,7,7,0,(7//1),(7//1)-7=
//,//,2,2,4,1,0,(2//2),(2//2)//4=
//,*,3,4,9,0,0,(3//4),(3//4)*9=
*,+,2,4,2,8,10,(2*4),(2*4)+2=
+,*,2,2,1,4,4,(2+2),(2+2)*1=
-,+,8,8,4,0,4,(8-8),(8-8)+4=
