n1,n2,intermediate,answer,eqfull
14,22,6,36,14 + 22 =
14,23,7,37,14 + 23 =
14,24,8,38,14 + 24 =
14,25,9,39,14 + 25 =
14,26,10,40,14 + 26 =
14,27,11,41,14 + 27 =
14,28,12,42,14 + 28 =
14,29,13,43,14 + 29 =
14,30,4,44,14 + 30 =
14,31,5,45,14 + 31 =
14,32,6,46,14 + 32 =
14,33,7,47,14 + 33 =
14,34,8,48,14 + 34 =
14,35,9,49,14 + 35 =
14,36,10,50,14 + 36 =
14,37,11,51,14 + 37 =
14,38,12,52,14 + 38 =
14,39,13,53,14 + 39 =
14,40,4,54,14 + 40 =
14,41,5,55,14 + 41 =
14,42,6,56,14 + 42 =
14,43,7,57,14 + 43 =
14,44,8,58,14 + 44 =
14,45,9,59,14 + 45 =
14,46,10,60,14 + 46 =
14,47,11,61,14 + 47 =
14,48,12,62,14 + 48 =
14,49,13,63,14 + 49 =
14,50,4,64,14 + 50 =
14,51,5,65,14 + 51 =
14,52,6,66,14 + 52 =
14,53,7,67,14 + 53 =
14,54,8,68,14 + 54 =
14,55,9,69,14 + 55 =
14,56,10,70,14 + 56 =
14,57,11,71,14 + 57 =
14,58,12,72,14 + 58 =
14,59,13,73,14 + 59 =
14,60,4,74,14 + 60 =
14,61,5,75,14 + 61 =
14,62,6,76,14 + 62 =
14,63,7,77,14 + 63 =
14,64,8,78,14 + 64 =
14,65,9,79,14 + 65 =
14,66,10,80,14 + 66 =
14,67,11,81,14 + 67 =
14,68,12,82,14 + 68 =
14,69,13,83,14 + 69 =
14,70,4,84,14 + 70 =
14,71,5,85,14 + 71 =
14,72,6,86,14 + 72 =
14,73,7,87,14 + 73 =
14,74,8,88,14 + 74 =
14,75,9,89,14 + 75 =
14,76,10,90,14 + 76 =
14,77,11,91,14 + 77 =
14,78,12,92,14 + 78 =
14,79,13,93,14 + 79 =
14,80,4,94,14 + 80 =
14,81,5,95,14 + 81 =
14,82,6,96,14 + 82 =
14,83,7,97,14 + 83 =
14,84,8,98,14 + 84 =
14,85,9,99,14 + 85 =
14,86,10,100,14 + 86 =
14,87,11,101,14 + 87 =
14,88,12,102,14 + 88 =
14,89,13,103,14 + 89 =
14,90,4,104,14 + 90 =
14,91,5,105,14 + 91 =
14,92,6,106,14 + 92 =
14,93,7,107,14 + 93 =
14,94,8,108,14 + 94 =
14,95,9,109,14 + 95 =
14,96,10,110,14 + 96 =
14,97,11,111,14 + 97 =
14,98,12,112,14 + 98 =
14,99,13,113,14 + 99 =
15,10,5,25,15 + 10 =
15,11,6,26,15 + 11 =
15,12,7,27,15 + 12 =
15,13,8,28,15 + 13 =
15,14,9,29,15 + 14 =
15,15,10,30,15 + 15 =
15,16,11,31,15 + 16 =
15,17,12,32,15 + 17 =
15,18,13,33,15 + 18 =
15,19,14,34,15 + 19 =
15,20,5,35,15 + 20 =
15,21,6,36,15 + 21 =
15,22,7,37,15 + 22 =
15,23,8,38,15 + 23 =
15,24,9,39,15 + 24 =
15,25,10,40,15 + 25 =
15,26,11,41,15 + 26 =
15,27,12,42,15 + 27 =
15,28,13,43,15 + 28 =
15,29,14,44,15 + 29 =
15,30,5,45,15 + 30 =
15,31,6,46,15 + 31 =
15,32,7,47,15 + 32 =
15,33,8,48,15 + 33 =
15,34,9,49,15 + 34 =
15,35,10,50,15 + 35 =
15,36,11,51,15 + 36 =
15,37,12,52,15 + 37 =
15,38,13,53,15 + 38 =
15,39,14,54,15 + 39 =
15,40,5,55,15 + 40 =
15,41,6,56,15 + 41 =
15,42,7,57,15 + 42 =
15,43,8,58,15 + 43 =
15,44,9,59,15 + 44 =
15,45,10,60,15 + 45 =
15,46,11,61,15 + 46 =
15,47,12,62,15 + 47 =
15,48,13,63,15 + 48 =
15,49,14,64,15 + 49 =
15,50,5,65,15 + 50 =
15,51,6,66,15 + 51 =
15,52,7,67,15 + 52 =
15,53,8,68,15 + 53 =
15,54,9,69,15 + 54 =
15,55,10,70,15 + 55 =
15,56,11,71,15 + 56 =
15,57,12,72,15 + 57 =
15,58,13,73,15 + 58 =
15,59,14,74,15 + 59 =
15,60,5,75,15 + 60 =
15,61,6,76,15 + 61 =
15,62,7,77,15 + 62 =
15,63,8,78,15 + 63 =
15,64,9,79,15 + 64 =
15,65,10,80,15 + 65 =
15,66,11,81,15 + 66 =
15,67,12,82,15 + 67 =
15,68,13,83,15 + 68 =
15,69,14,84,15 + 69 =
15,70,5,85,15 + 70 =
15,71,6,86,15 + 71 =
15,72,7,87,15 + 72 =
15,73,8,88,15 + 73 =
15,74,9,89,15 + 74 =
15,75,10,90,15 + 75 =
15,76,11,91,15 + 76 =
15,77,12,92,15 + 77 =
15,78,13,93,15 + 78 =
15,79,14,94,15 + 79 =
15,80,5,95,15 + 80 =
15,81,6,96,15 + 81 =
15,82,7,97,15 + 82 =
15,83,8,98,15 + 83 =
15,84,9,99,15 + 84 =
15,85,10,100,15 + 85 =
15,86,11,101,15 + 86 =
15,87,12,102,15 + 87 =
15,88,13,103,15 + 88 =
15,89,14,104,15 + 89 =
15,90,5,105,15 + 90 =
15,91,6,106,15 + 91 =
15,92,7,107,15 + 92 =
15,93,8,108,15 + 93 =
15,94,9,109,15 + 94 =
15,95,10,110,15 + 95 =
15,96,11,111,15 + 96 =
15,97,12,112,15 + 97 =
15,98,13,113,15 + 98 =
15,99,14,114,15 + 99 =
16,10,6,26,16 + 10 =
16,11,7,27,16 + 11 =
16,12,8,28,16 + 12 =
16,13,9,29,16 + 13 =
16,14,10,30,16 + 14 =
16,15,11,31,16 + 15 =
16,16,12,32,16 + 16 =
16,17,13,33,16 + 17 =
16,18,14,34,16 + 18 =
16,19,15,35,16 + 19 =
16,20,6,36,16 + 20 =
16,21,7,37,16 + 21 =
16,22,8,38,16 + 22 =
16,23,9,39,16 + 23 =
16,24,10,40,16 + 24 =
16,25,11,41,16 + 25 =
16,26,12,42,16 + 26 =
16,27,13,43,16 + 27 =
16,28,14,44,16 + 28 =
16,29,15,45,16 + 29 =
16,30,6,46,16 + 30 =
16,31,7,47,16 + 31 =
16,32,8,48,16 + 32 =
16,33,9,49,16 + 33 =
16,34,10,50,16 + 34 =
16,35,11,51,16 + 35 =
16,36,12,52,16 + 36 =
16,37,13,53,16 + 37 =
16,38,14,54,16 + 38 =
16,39,15,55,16 + 39 =
16,40,6,56,16 + 40 =
16,41,7,57,16 + 41 =
16,42,8,58,16 + 42 =
16,43,9,59,16 + 43 =
16,44,10,60,16 + 44 =
16,45,11,61,16 + 45 =
16,46,12,62,16 + 46 =
16,47,13,63,16 + 47 =
16,48,14,64,16 + 48 =
16,49,15,65,16 + 49 =
16,50,6,66,16 + 50 =
16,51,7,67,16 + 51 =
16,52,8,68,16 + 52 =
16,53,9,69,16 + 53 =
16,54,10,70,16 + 54 =
16,55,11,71,16 + 55 =
16,56,12,72,16 + 56 =
16,57,13,73,16 + 57 =
16,58,14,74,16 + 58 =
16,59,15,75,16 + 59 =
16,60,6,76,16 + 60 =
16,61,7,77,16 + 61 =
16,62,8,78,16 + 62 =
16,63,9,79,16 + 63 =
16,64,10,80,16 + 64 =
16,65,11,81,16 + 65 =
16,66,12,82,16 + 66 =
16,67,13,83,16 + 67 =
16,68,14,84,16 + 68 =
16,69,15,85,16 + 69 =
16,70,6,86,16 + 70 =
16,71,7,87,16 + 71 =
16,72,8,88,16 + 72 =
16,73,9,89,16 + 73 =
16,74,10,90,16 + 74 =
16,75,11,91,16 + 75 =
16,76,12,92,16 + 76 =
16,77,13,93,16 + 77 =
16,78,14,94,16 + 78 =
16,79,15,95,16 + 79 =
16,80,6,96,16 + 80 =
16,81,7,97,16 + 81 =
16,82,8,98,16 + 82 =
16,83,9,99,16 + 83 =
16,84,10,100,16 + 84 =
16,85,11,101,16 + 85 =
16,86,12,102,16 + 86 =
16,87,13,103,16 + 87 =
16,88,14,104,16 + 88 =
16,89,15,105,16 + 89 =
16,90,6,106,16 + 90 =
16,91,7,107,16 + 91 =
16,92,8,108,16 + 92 =
16,93,9,109,16 + 93 =
16,94,10,110,16 + 94 =
16,95,11,111,16 + 95 =
16,96,12,112,16 + 96 =
16,97,13,113,16 + 97 =
16,98,14,114,16 + 98 =
16,99,15,115,16 + 99 =
17,10,7,27,17 + 10 =
17,11,8,28,17 + 11 =
17,12,9,29,17 + 12 =
17,13,10,30,17 + 13 =
17,14,11,31,17 + 14 =
17,15,12,32,17 + 15 =
17,16,13,33,17 + 16 =
17,17,14,34,17 + 17 =
17,18,15,35,17 + 18 =
17,19,16,36,17 + 19 =
17,20,7,37,17 + 20 =
17,21,8,38,17 + 21 =
17,22,9,39,17 + 22 =
17,23,10,40,17 + 23 =
17,24,11,41,17 + 24 =
17,25,12,42,17 + 25 =
17,26,13,43,17 + 26 =
17,27,14,44,17 + 27 =
17,28,15,45,17 + 28 =
17,29,16,46,17 + 29 =
17,30,7,47,17 + 30 =
17,31,8,48,17 + 31 =
17,32,9,49,17 + 32 =
17,33,10,50,17 + 33 =
17,34,11,51,17 + 34 =
17,35,12,52,17 + 35 =
17,36,13,53,17 + 36 =
17,37,14,54,17 + 37 =
17,38,15,55,17 + 38 =
17,39,16,56,17 + 39 =
17,40,7,57,17 + 40 =
17,41,8,58,17 + 41 =
17,42,9,59,17 + 42 =
17,43,10,60,17 + 43 =
17,44,11,61,17 + 44 =
17,45,12,62,17 + 45 =
17,46,13,63,17 + 46 =
17,47,14,64,17 + 47 =
17,48,15,65,17 + 48 =
17,49,16,66,17 + 49 =
17,50,7,67,17 + 50 =
17,51,8,68,17 + 51 =
17,52,9,69,17 + 52 =
17,53,10,70,17 + 53 =
17,54,11,71,17 + 54 =
17,55,12,72,17 + 55 =
17,56,13,73,17 + 56 =
17,57,14,74,17 + 57 =
17,58,15,75,17 + 58 =
17,59,16,76,17 + 59 =
17,60,7,77,17 + 60 =
17,61,8,78,17 + 61 =
17,62,9,79,17 + 62 =
17,63,10,80,17 + 63 =
17,64,11,81,17 + 64 =
17,65,12,82,17 + 65 =
17,66,13,83,17 + 66 =
17,67,14,84,17 + 67 =
17,68,15,85,17 + 68 =
17,69,16,86,17 + 69 =
17,70,7,87,17 + 70 =
17,71,8,88,17 + 71 =
17,72,9,89,17 + 72 =
17,73,10,90,17 + 73 =
17,74,11,91,17 + 74 =
17,75,12,92,17 + 75 =
17,76,13,93,17 + 76 =
17,77,14,94,17 + 77 =
17,78,15,95,17 + 78 =
17,79,16,96,17 + 79 =
17,80,7,97,17 + 80 =
17,81,8,98,17 + 81 =
17,82,9,99,17 + 82 =
17,83,10,100,17 + 83 =
17,84,11,101,17 + 84 =
17,85,12,102,17 + 85 =
17,86,13,103,17 + 86 =
17,87,14,104,17 + 87 =
17,88,15,105,17 + 88 =
17,89,16,106,17 + 89 =
17,90,7,107,17 + 90 =
17,91,8,108,17 + 91 =
17,92,9,109,17 + 92 =
17,93,10,110,17 + 93 =
17,94,11,111,17 + 94 =
17,95,12,112,17 + 95 =
17,96,13,113,17 + 96 =
17,97,14,114,17 + 97 =
17,98,15,115,17 + 98 =
17,99,16,116,17 + 99 =
18,10,8,28,18 + 10 =
18,11,9,29,18 + 11 =
18,12,10,30,18 + 12 =
18,13,11,31,18 + 13 =
18,14,12,32,18 + 14 =
18,15,13,33,18 + 15 =
18,16,14,34,18 + 16 =
18,17,15,35,18 + 17 =
18,18,16,36,18 + 18 =
18,19,17,37,18 + 19 =
18,20,8,38,18 + 20 =
18,21,9,39,18 + 21 =
18,22,10,40,18 + 22 =
18,23,11,41,18 + 23 =
18,24,12,42,18 + 24 =
18,25,13,43,18 + 25 =
18,26,14,44,18 + 26 =
18,27,15,45,18 + 27 =
18,28,16,46,18 + 28 =
18,29,17,47,18 + 29 =
18,30,8,48,18 + 30 =
18,31,9,49,18 + 31 =
18,32,10,50,18 + 32 =
18,33,11,51,18 + 33 =
18,34,12,52,18 + 34 =
18,35,13,53,18 + 35 =
18,36,14,54,18 + 36 =
18,37,15,55,18 + 37 =
18,38,16,56,18 + 38 =
18,39,17,57,18 + 39 =
18,40,8,58,18 + 40 =
18,41,9,59,18 + 41 =
18,42,10,60,18 + 42 =
18,43,11,61,18 + 43 =
18,44,12,62,18 + 44 =
18,45,13,63,18 + 45 =
18,46,14,64,18 + 46 =
18,47,15,65,18 + 47 =
18,48,16,66,18 + 48 =
18,49,17,67,18 + 49 =
18,50,8,68,18 + 50 =
18,51,9,69,18 + 51 =
18,52,10,70,18 + 52 =
18,53,11,71,18 + 53 =
18,54,12,72,18 + 54 =
18,55,13,73,18 + 55 =
18,56,14,74,18 + 56 =
18,57,15,75,18 + 57 =
18,58,16,76,18 + 58 =
18,59,17,77,18 + 59 =
18,60,8,78,18 + 60 =
18,61,9,79,18 + 61 =
18,62,10,80,18 + 62 =
18,63,11,81,18 + 63 =
18,64,12,82,18 + 64 =
18,65,13,83,18 + 65 =
18,66,14,84,18 + 66 =
18,67,15,85,18 + 67 =
18,68,16,86,18 + 68 =
18,69,17,87,18 + 69 =
18,70,8,88,18 + 70 =
18,71,9,89,18 + 71 =
18,72,10,90,18 + 72 =
18,73,11,91,18 + 73 =
18,74,12,92,18 + 74 =
18,75,13,93,18 + 75 =
18,76,14,94,18 + 76 =
18,77,15,95,18 + 77 =
18,78,16,96,18 + 78 =
18,79,17,97,18 + 79 =
18,80,8,98,18 + 80 =
18,81,9,99,18 + 81 =
18,82,10,100,18 + 82 =
18,83,11,101,18 + 83 =
18,84,12,102,18 + 84 =
18,85,13,103,18 + 85 =
18,86,14,104,18 + 86 =
18,87,15,105,18 + 87 =
18,88,16,106,18 + 88 =
18,89,17,107,18 + 89 =
18,90,8,108,18 + 90 =
18,91,9,109,18 + 91 =
18,92,10,110,18 + 92 =
18,93,11,111,18 + 93 =
18,94,12,112,18 + 94 =
18,95,13,113,18 + 95 =
18,96,14,114,18 + 96 =
18,97,15,115,18 + 97 =
18,98,16,116,18 + 98 =
18,99,17,117,18 + 99 =
19,10,9,29,19 + 10 =
19,11,10,30,19 + 11 =
19,12,11,31,19 + 12 =
19,13,12,32,19 + 13 =
19,14,13,33,19 + 14 =
19,15,14,34,19 + 15 =
19,16,15,35,19 + 16 =
19,17,16,36,19 + 17 =
19,18,17,37,19 + 18 =
19,19,18,38,19 + 19 =
19,20,9,39,19 + 20 =
19,21,10,40,19 + 21 =
19,22,11,41,19 + 22 =
19,23,12,42,19 + 23 =
19,24,13,43,19 + 24 =
19,25,14,44,19 + 25 =
19,26,15,45,19 + 26 =
19,27,16,46,19 + 27 =
19,28,17,47,19 + 28 =
19,29,18,48,19 + 29 =
19,30,9,49,19 + 30 =
19,31,10,50,19 + 31 =
19,32,11,51,19 + 32 =
19,33,12,52,19 + 33 =
19,34,13,53,19 + 34 =
19,35,14,54,19 + 35 =
19,36,15,55,19 + 36 =
19,37,16,56,19 + 37 =
19,38,17,57,19 + 38 =
19,39,18,58,19 + 39 =
19,40,9,59,19 + 40 =
19,41,10,60,19 + 41 =
19,42,11,61,19 + 42 =
19,43,12,62,19 + 43 =
19,44,13,63,19 + 44 =
19,45,14,64,19 + 45 =
19,46,15,65,19 + 46 =
19,47,16,66,19 + 47 =
19,48,17,67,19 + 48 =
19,49,18,68,19 + 49 =
19,50,9,69,19 + 50 =
19,51,10,70,19 + 51 =
19,52,11,71,19 + 52 =
19,53,12,72,19 + 53 =
19,54,13,73,19 + 54 =
19,55,14,74,19 + 55 =
19,56,15,75,19 + 56 =
19,57,16,76,19 + 57 =
19,58,17,77,19 + 58 =
19,59,18,78,19 + 59 =
19,60,9,79,19 + 60 =
19,61,10,80,19 + 61 =
19,62,11,81,19 + 62 =
19,63,12,82,19 + 63 =
19,64,13,83,19 + 64 =
19,65,14,84,19 + 65 =
19,66,15,85,19 + 66 =
19,67,16,86,19 + 67 =
19,68,17,87,19 + 68 =
19,69,18,88,19 + 69 =
19,70,9,89,19 + 70 =
19,71,10,90,19 + 71 =
