variable,op1,op2,n1,n2,n3,intermediate,answer,eq1,eq2,eqfull
v,*,*,8,3,6,24,144,v=8*3,v*6=,v=8*3. v*6=
e,-,-,5,6,1,-1,-2,e=5-6,e-1=,e=5-6. e-1=
u,*,*,1,5,8,5,40,u=1*5,u*8=,u=1*5. u*8=
t,+,//,5,6,9,11,1,t=5+6,t//9=,t=5+6. t//9=
a,-,*,7,2,2,5,10,a=7-2,a*2=,a=7-2. a*2=
u,//,//,3,4,4,0,0,u=3//4,u//4=,u=3//4. u//4=
n,+,*,7,6,6,13,78,n=7+6,n*6=,n=7+6. n*6=
r,*,-,2,5,3,10,7,r=2*5,r-3=,r=2*5. r-3=
c,-,//,9,1,1,8,8,c=9-1,c//1=,c=9-1. c//1=
a,//,+,5,2,2,2,4,a=5//2,a+2=,a=5//2. a+2=
n,//,//,3,3,3,1,0,n=3//3,n//3=,n=3//3. n//3=
p,*,*,2,3,9,6,54,p=2*3,p*9=,p=2*3. p*9=
a,*,//,7,2,9,14,1,a=7*2,a//9=,a=7*2. a//9=
x,-,*,4,6,7,-2,-14,x=4-6,x*7=,x=4-6. x*7=
c,+,//,3,5,8,8,1,c=3+5,c//8=,c=3+5. c//8=
m,//,*,7,2,5,3,15,m=7//2,m*5=,m=7//2. m*5=
c,*,-,9,2,6,18,12,c=9*2,c-6=,c=9*2. c-6=
y,//,-,7,2,3,3,0,y=7//2,y-3=,y=7//2. y-3=
c,//,*,8,3,2,2,4,c=8//3,c*2=,c=8//3. c*2=
f,+,*,4,6,5,10,50,f=4+6,f*5=,f=4+6. f*5=
l,//,//,6,9,2,0,0,l=6//9,l//2=,l=6//9. l//2=
z,//,+,7,5,7,1,8,z=7//5,z+7=,z=7//5. z+7=
g,*,//,7,3,5,21,4,g=7*3,g//5=,g=7*3. g//5=
n,//,-,3,9,2,0,-2,n=3//9,n-2=,n=3//9. n-2=
a,+,*,6,7,1,13,13,a=6+7,a*1=,a=6+7. a*1=
j,*,*,5,5,1,25,25,j=5*5,j*1=,j=5*5. j*1=
b,//,//,1,1,7,1,0,b=1//1,b//7=,b=1//1. b//7=
i,+,-,9,2,5,11,6,i=9+2,i-5=,i=9+2. i-5=
t,-,//,3,7,2,-4,-2,t=3-7,t//2=,t=3-7. t//2=
c,*,-,9,5,1,45,44,c=9*5,c-1=,c=9*5. c-1=
k,*,//,6,2,3,12,4,k=6*2,k//3=,k=6*2. k//3=
h,*,-,2,5,2,10,8,h=2*5,h-2=,h=2*5. h-2=
n,//,//,4,8,5,0,0,n=4//8,n//5=,n=4//8. n//5=
y,+,*,3,9,2,12,24,y=3+9,y*2=,y=3+9. y*2=
d,//,+,9,1,6,9,15,d=9//1,d+6=,d=9//1. d+6=
m,+,//,5,5,6,10,1,m=5+5,m//6=,m=5+5. m//6=
i,+,*,9,5,1,14,14,i=9+5,i*1=,i=9+5. i*1=
z,*,*,2,9,1,18,18,z=2*9,z*1=,z=2*9. z*1=
v,+,-,7,6,4,13,9,v=7+6,v-4=,v=7+6. v-4=
b,-,+,1,1,1,0,1,b=1-1,b+1=,b=1-1. b+1=
m,*,*,3,9,6,27,162,m=3*9,m*6=,m=3*9. m*6=
c,*,*,8,2,1,16,16,c=8*2,c*1=,c=8*2. c*1=
n,*,+,7,1,6,7,13,n=7*1,n+6=,n=7*1. n+6=
l,+,-,9,4,7,13,6,l=9+4,l-7=,l=9+4. l-7=
i,//,+,3,9,5,0,5,i=3//9,i+5=,i=3//9. i+5=
h,-,-,7,9,8,-2,-10,h=7-9,h-8=,h=7-9. h-8=
s,+,*,4,4,6,8,48,s=4+4,s*6=,s=4+4. s*6=
u,*,//,2,6,3,12,4,u=2*6,u//3=,u=2*6. u//3=
z,-,-,4,1,2,3,1,z=4-1,z-2=,z=4-1. z-2=
n,-,//,7,1,8,6,0,n=7-1,n//8=,n=7-1. n//8=
u,*,+,4,3,9,12,21,u=4*3,u+9=,u=4*3. u+9=
q,+,-,1,1,9,2,-7,q=1+1,q-9=,q=1+1. q-9=
d,+,//,2,7,2,9,4,d=2+7,d//2=,d=2+7. d//2=
s,-,-,2,6,2,-4,-6,s=2-6,s-2=,s=2-6. s-2=
m,+,*,8,2,9,10,90,m=8+2,m*9=,m=8+2. m*9=
m,-,//,2,8,8,-6,-1,m=2-8,m//8=,m=2-8. m//8=
o,//,*,1,4,8,0,0,o=1//4,o*8=,o=1//4. o*8=
i,-,-,2,6,8,-4,-12,i=2-6,i-8=,i=2-6. i-8=
b,//,+,7,2,3,3,6,b=7//2,b+3=,b=7//2. b+3=
g,-,//,4,4,9,0,0,g=4-4,g//9=,g=4-4. g//9=
d,//,*,5,5,1,1,1,d=5//5,d*1=,d=5//5. d*1=
e,-,*,1,6,5,-5,-25,e=1-6,e*5=,e=1-6. e*5=
j,//,*,3,9,9,0,0,j=3//9,j*9=,j=3//9. j*9=
s,+,-,3,4,3,7,4,s=3+4,s-3=,s=3+4. s-3=
m,//,+,6,9,5,0,5,m=6//9,m+5=,m=6//9. m+5=
b,+,//,1,2,1,3,3,b=1+2,b//1=,b=1+2. b//1=
r,//,//,5,8,8,0,0,r=5//8,r//8=,r=5//8. r//8=
z,*,//,3,8,9,24,2,z=3*8,z//9=,z=3*8. z//9=
d,+,//,4,4,8,8,1,d=4+4,d//8=,d=4+4. d//8=
w,-,*,2,1,5,1,5,w=2-1,w*5=,w=2-1. w*5=
b,-,-,2,2,3,0,-3,b=2-2,b-3=,b=2-2. b-3=
j,//,//,8,5,8,1,0,j=8//5,j//8=,j=8//5. j//8=
r,*,*,5,2,7,10,70,r=5*2,r*7=,r=5*2. r*7=
q,*,-,6,1,4,6,2,q=6*1,q-4=,q=6*1. q-4=
v,*,-,5,3,5,15,10,v=5*3,v-5=,v=5*3. v-5=
k,-,//,2,3,1,-1,-1,k=2-3,k//1=,k=2-3. k//1=
o,*,*,5,9,8,45,360,o=5*9,o*8=,o=5*9. o*8=
t,//,*,8,5,9,1,9,t=8//5,t*9=,t=8//5. t*9=
w,*,//,4,5,9,20,2,w=4*5,w//9=,w=4*5. w//9=
f,*,+,4,7,9,28,37,f=4*7,f+9=,f=4*7. f+9=
w,+,//,5,1,9,6,0,w=5+1,w//9=,w=5+1. w//9=
u,//,+,5,8,2,0,2,u=5//8,u+2=,u=5//8. u+2=
n,*,-,9,8,2,72,70,n=9*8,n-2=,n=9*8. n-2=
k,-,+,6,5,3,1,4,k=6-5,k+3=,k=6-5. k+3=
y,//,*,1,2,2,0,0,y=1//2,y*2=,y=1//2. y*2=
j,+,+,2,6,2,8,10,j=2+6,j+2=,j=2+6. j+2=
a,*,-,7,7,1,49,48,a=7*7,a-1=,a=7*7. a-1=
m,-,-,3,2,6,1,-5,m=3-2,m-6=,m=3-2. m-6=
o,*,-,2,6,5,12,7,o=2*6,o-5=,o=2*6. o-5=
h,//,*,9,6,5,1,5,h=9//6,h*5=,h=9//6. h*5=
v,//,-,6,1,3,6,3,v=6//1,v-3=,v=6//1. v-3=
w,+,*,2,3,3,5,15,w=2+3,w*3=,w=2+3. w*3=
h,-,//,7,5,3,2,0,h=7-5,h//3=,h=7-5. h//3=
q,-,*,1,6,6,-5,-30,q=1-6,q*6=,q=1-6. q*6=
k,//,+,9,5,3,1,4,k=9//5,k+3=,k=9//5. k+3=
c,+,*,6,8,1,14,14,c=6+8,c*1=,c=6+8. c*1=
n,-,*,1,6,4,-5,-20,n=1-6,n*4=,n=1-6. n*4=
c,-,+,7,4,2,3,5,c=7-4,c+2=,c=7-4. c+2=
c,+,//,3,9,9,12,1,c=3+9,c//9=,c=3+9. c//9=
f,+,+,7,5,7,12,19,f=7+5,f+7=,f=7+5. f+7=
n,//,//,4,6,6,0,0,n=4//6,n//6=,n=4//6. n//6=
a,-,-,7,6,1,1,0,a=7-6,a-1=,a=7-6. a-1=
j,*,//,3,7,7,21,3,j=3*7,j//7=,j=3*7. j//7=
w,+,+,5,3,1,8,9,w=5+3,w+1=,w=5+3. w+1=
t,*,-,5,5,6,25,19,t=5*5,t-6=,t=5*5. t-6=
w,*,*,7,4,7,28,196,w=7*4,w*7=,w=7*4. w*7=
w,//,*,1,8,4,0,0,w=1//8,w*4=,w=1//8. w*4=
r,-,+,7,1,6,6,12,r=7-1,r+6=,r=7-1. r+6=
k,+,*,3,9,9,12,108,k=3+9,k*9=,k=3+9. k*9=
m,+,*,9,1,7,10,70,m=9+1,m*7=,m=9+1. m*7=
b,//,+,3,8,8,0,8,b=3//8,b+8=,b=3//8. b+8=
d,-,-,5,8,9,-3,-12,d=5-8,d-9=,d=5-8. d-9=
t,-,-,8,6,6,2,-4,t=8-6,t-6=,t=8-6. t-6=
e,-,-,5,3,7,2,-5,e=5-3,e-7=,e=5-3. e-7=
k,-,//,2,8,3,-6,-2,k=2-8,k//3=,k=2-8. k//3=
f,//,*,3,9,9,0,0,f=3//9,f*9=,f=3//9. f*9=
d,//,-,4,5,5,0,-5,d=4//5,d-5=,d=4//5. d-5=
n,//,//,5,5,8,1,0,n=5//5,n//8=,n=5//5. n//8=
q,+,//,5,7,6,12,2,q=5+7,q//6=,q=5+7. q//6=
m,*,-,5,8,1,40,39,m=5*8,m-1=,m=5*8. m-1=
m,+,+,8,2,4,10,14,m=8+2,m+4=,m=8+2. m+4=
j,//,-,8,1,5,8,3,j=8//1,j-5=,j=8//1. j-5=
e,*,-,4,4,1,16,15,e=4*4,e-1=,e=4*4. e-1=
l,*,//,8,9,6,72,12,l=8*9,l//6=,l=8*9. l//6=
r,-,*,2,3,6,-1,-6,r=2-3,r*6=,r=2-3. r*6=
m,//,-,8,9,8,0,-8,m=8//9,m-8=,m=8//9. m-8=
w,//,-,7,3,8,2,-6,w=7//3,w-8=,w=7//3. w-8=
a,-,*,7,3,4,4,16,a=7-3,a*4=,a=7-3. a*4=
a,+,//,5,7,3,12,4,a=5+7,a//3=,a=5+7. a//3=
v,*,+,6,4,5,24,29,v=6*4,v+5=,v=6*4. v+5=
t,+,*,4,3,6,7,42,t=4+3,t*6=,t=4+3. t*6=
i,*,//,6,1,7,6,0,i=6*1,i//7=,i=6*1. i//7=
e,+,*,1,9,2,10,20,e=1+9,e*2=,e=1+9. e*2=
a,-,//,7,9,6,-2,-1,a=7-9,a//6=,a=7-9. a//6=
t,//,+,8,3,2,2,4,t=8//3,t+2=,t=8//3. t+2=
v,//,//,9,6,9,1,0,v=9//6,v//9=,v=9//6. v//9=
m,//,-,6,8,4,0,-4,m=6//8,m-4=,m=6//8. m-4=
y,//,+,7,6,6,1,7,y=7//6,y+6=,y=7//6. y+6=
w,//,//,1,8,2,0,0,w=1//8,w//2=,w=1//8. w//2=
x,+,*,3,4,5,7,35,x=3+4,x*5=,x=3+4. x*5=
n,*,//,4,7,7,28,4,n=4*7,n//7=,n=4*7. n//7=
a,//,*,1,4,9,0,0,a=1//4,a*9=,a=1//4. a*9=
l,-,-,7,4,6,3,-3,l=7-4,l-6=,l=7-4. l-6=
z,+,//,7,5,9,12,1,z=7+5,z//9=,z=7+5. z//9=
r,+,-,4,4,7,8,1,r=4+4,r-7=,r=4+4. r-7=
z,-,*,6,5,7,1,7,z=6-5,z*7=,z=6-5. z*7=
v,*,//,1,3,9,3,0,v=1*3,v//9=,v=1*3. v//9=
o,*,+,6,7,1,42,43,o=6*7,o+1=,o=6*7. o+1=
a,*,-,1,2,9,2,-7,a=1*2,a-9=,a=1*2. a-9=
i,+,//,2,2,5,4,0,i=2+2,i//5=,i=2+2. i//5=
s,*,-,6,8,4,48,44,s=6*8,s-4=,s=6*8. s-4=
s,//,//,2,4,5,0,0,s=2//4,s//5=,s=2//4. s//5=
j,//,+,2,7,2,0,2,j=2//7,j+2=,j=2//7. j+2=
z,+,+,6,8,9,14,23,z=6+8,z+9=,z=6+8. z+9=
s,//,+,5,6,6,0,6,s=5//6,s+6=,s=5//6. s+6=
k,-,*,6,4,5,2,10,k=6-4,k*5=,k=6-4. k*5=
q,-,//,5,7,4,-2,-1,q=5-7,q//4=,q=5-7. q//4=
b,-,-,9,9,5,0,-5,b=9-9,b-5=,b=9-9. b-5=
i,-,//,4,3,7,1,0,i=4-3,i//7=,i=4-3. i//7=
v,-,+,8,8,4,0,4,v=8-8,v+4=,v=8-8. v+4=
h,//,//,9,1,6,9,1,h=9//1,h//6=,h=9//1. h//6=
c,+,-,2,6,5,8,3,c=2+6,c-5=,c=2+6. c-5=
l,*,-,9,9,6,81,75,l=9*9,l-6=,l=9*9. l-6=
q,*,//,7,9,6,63,10,q=7*9,q//6=,q=7*9. q//6=
y,-,*,4,5,1,-1,-1,y=4-5,y*1=,y=4-5. y*1=
o,+,+,7,5,5,12,17,o=7+5,o+5=,o=7+5. o+5=
x,-,//,2,8,1,-6,-6,x=2-8,x//1=,x=2-8. x//1=
l,+,//,6,3,6,9,1,l=6+3,l//6=,l=6+3. l//6=
n,*,-,7,5,9,35,26,n=7*5,n-9=,n=7*5. n-9=
j,+,-,1,4,7,5,-2,j=1+4,j-7=,j=1+4. j-7=
c,*,-,7,1,8,7,-1,c=7*1,c-8=,c=7*1. c-8=
z,-,//,2,1,6,1,0,z=2-1,z//6=,z=2-1. z//6=
j,-,+,4,3,6,1,7,j=4-3,j+6=,j=4-3. j+6=
w,//,*,9,9,6,1,6,w=9//9,w*6=,w=9//9. w*6=
g,//,//,4,3,9,1,0,g=4//3,g//9=,g=4//3. g//9=
o,*,-,3,6,9,18,9,o=3*6,o-9=,o=3*6. o-9=
u,+,-,4,2,6,6,0,u=4+2,u-6=,u=4+2. u-6=
z,*,-,1,3,8,3,-5,z=1*3,z-8=,z=1*3. z-8=
a,*,*,1,9,2,9,18,a=1*9,a*2=,a=1*9. a*2=
z,*,*,6,8,4,48,192,z=6*8,z*4=,z=6*8. z*4=
f,//,-,6,3,4,2,-2,f=6//3,f-4=,f=6//3. f-4=
