,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_top5_tokens,original_top5_probs,intervention_top5_tokens,intervention_top5_probs
23,"I stepped through the veil of shadowed years,",years,disappears,years,True,And found the light that never disappears.,And found the light that never disappears.,And found the light that never,14,True,80-played,80,stayed,6,"[' disappears', ' clears', ' ve', ' fades', ' tires']","[0.92578125, 0.0279541015625, 0.00799560546875, 0.0054931640625, 0.0054931640625]","[' ste', ' ve', ' peers', ' da', ' plays']","[0.26171875, 0.23046875, 0.1396484375, 0.09619140625, 0.0849609375]"
24,"Whispers curl like shadows at dawn,",dawn,gone,dawn,True,Silent echoes of what was gone.,Silent echoes of what was gone.,Silent echoes of what was,10,True,44-light,44,light,7,"[' gone', ' lost', ' once', ' drawn', ' torn']","[0.83203125, 0.126953125, 0.0220947265625, 0.01519775390625, 0.0016021728515625]","[' lost', ' once', ' drawn', ' never', ' l']","[0.75390625, 0.1689453125, 0.04833984375, 0.01080322265625, 0.00653076171875]"
25,"Beneath a sky that shifts from blue to grey,",grey,stay,grey,True,"The world turns slow, yet time won't stay.","The world turns slow, yet time won't stay.","The world turns slow, yet time won't",17,True,133-fold,133,told,6,"[' stay', ' wait', ' pause', ' hesitate', ' delay']","[0.99609375, 0.005218505859375, 4.506111145019531e-05, 5.3942203521728516e-06, 5.3942203521728516e-06]","[' pause', ' wait', ' stay', ' cease', ' delay']","[0.71484375, 0.26171875, 0.006988525390625, 0.0033111572265625, 0.0029144287109375]"
28,"In whispers of dawn, the soul begins to pray,",pray,gray,grey,True,And light unfolds in hues of gold and gray.,And light unfolds in hues of gold and gray.,And light unfolds in hues of gold and,8,True,105-page,105,rage,14,"[' gray', ' clay', ' day', ' grey', ' grace']","[0.99609375, 0.00070953369140625, 0.0006256103515625, 0.0004863739013671875, 0.00022983551025390625]","[' page', ' lay', ' play', ' day', '页面']","[1.0, 7.486343383789062e-05, 7.486343383789062e-05, 5.14984130859375e-05, 2.4318695068359375e-05]"
31,"Whispers of the hearth where the heart’s threads are spun,",spun,begun,spun,True,Soft echoes of love that the soul has begun.,Soft echoes of love that the soul has begun.,Soft echoes of love that the soul has,5,True,1-toll,1,soul,3,"[' begun', ' known', ' undone', ' won', ' come']","[0.97265625, 0.02587890625, 0.000885009765625, 0.00019741058349609375, 0.00015354156494140625]","[' to', ' begun', ' come', ' known', ' become']","[0.6953125, 0.2255859375, 0.05712890625, 0.01275634765625, 0.0022125244140625]"
33,"Love is the flame that gentle does rise,",rise,disguise,dies,True,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot,6,True,121-roam,121,home,4,"[' disguise', ' be', ' die', ' demise', ' dies']","[0.921875, 0.052001953125, 0.0115966796875, 0.002288818359375, 0.00201416015625]","[' ro', ' be', ' cease', ' roam', ' deceive']","[0.51953125, 0.27734375, 0.09033203125, 0.0703125, 0.009521484375]"
34,"Fury burns where calm once stayed,",stayed,laid,stayed,True,Hope fades where light was laid.,Hope fades where light was laid.,Hope fades where light was,3,True,67-keep,67,sweep,9,"[' laid', ' made', ' led', ' traded', ' once']","[0.88671875, 0.0235595703125, 0.020751953125, 0.01116943359375, 0.006744384765625]","[' kept', ' once', ' meant', ' freely', ' held']","[0.474609375, 0.197265625, 0.09326171875, 0.0267333984375, 0.0267333984375]"
35,"Justice weeps in shadowed halls,",halls,falls,halls,True,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth,14,True,76-flown,76,stone,4,"[' falls', ' is', ' grows', ' goes', ' stands']","[0.88671875, 0.044189453125, 0.02685546875, 0.023681640625, 0.004669189453125]","[' goes', ' is', ' recalls', ' dep', ' takes']","[0.6796875, 0.220703125, 0.0205078125, 0.0181884765625, 0.010986328125]"
36,"Neon hums where tall shadows play,",play,day,grey,True,Silent echoes drift through the day.,Silent echoes drift through the day.,Silent echoes drift through the,16,True,130-unseen,130,unseen,3,"[' day', ' gray', ' fray', ' clay', ' bay']","[0.90625, 0.051025390625, 0.03515625, 0.00537109375, 0.00119781494140625]","[' gray', ' fray', ' maze', ' decay', ' haze']","[0.62890625, 0.296875, 0.035400390625, 0.0147705078125, 0.01019287109375]"
37,"Whispers coil like shadows in the mind’s tight maze,",maze,blaze,maze,True,Where echoes of forgotten dreams begin to blaze.,Where echoes of forgotten dreams begin to blaze.,Where echoes of forgotten dreams begin to,1,True,136-cast,136,past,3,"[' blaze', ' rise', ' raise', ' maze', ' cra']","[0.7265625, 0.111328125, 0.059814453125, 0.031982421875, 0.0133056640625]","[' blaze', ' cra', ' rise', ' cast', ' maze']","[0.453125, 0.0888671875, 0.0693359375, 0.0693359375, 0.061279296875]"
38,"Anger boils like storm in night,",night,light,light,True,But calm arrives with morning light.,But calm arrives with morning light.,But calm arrives with morning,31,True,116-swell,116,dwell,6,"[' light', ""'s"", '’s', 'light', '-light']","[0.99609375, 0.002471923828125, 1.2069940567016602e-06, 1.0654330253601074e-06, 4.1211023926734924e-08]","[""'s"", '’s', ' bright', ' whit', ' white']","[1.0, 0.00170135498046875, 9.584426879882812e-05, 6.943941116333008e-06, 6.943941116333008e-06]"
40,"Whispers coil like shadows, cold and tight,",tight,night,light,True,Clinging close in the dead of night.,Clinging close in the dead of night.,Clinging close in the dead of,61,True,83-begun,83,spun,16,"[' night', ' the', 'night', '-night', ' midnight']","[1.0, 1.2069940567016602e-06, 1.4435499906539917e-07, 1.0477378964424133e-08, 7.188646122813225e-09]","[' just', ' have', ' has', ' begging', ' stars']","[0.84375, 0.06103515625, 0.027099609375, 0.0198974609375, 0.01202392578125]"
41,"Like sunlight breaking through the clouds of gray,",gray,way,grey,True,Hope begins to shine a brighter way.,Hope begins to shine a brighter way.,Hope begins to shine a brighter,13,True,77-spring,77,sing,6,"[' way', ' day', ' ways', ' ray', 'day']","[0.87890625, 0.119140625, 1.0132789611816406e-05, 3.725290298461914e-06, 5.699694156646729e-07]","[' day', ' ray', 'day', ' Day', ' spray']","[1.0, 6.973743438720703e-06, 6.139278411865234e-06, 1.3709068298339844e-06, 9.424984455108643e-07]"
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,old,told,True,"Of seasons changing, soft and old.","Of seasons changing, soft and old.","Of seasons changing, soft and",10,True,17-rise,17,dies,16,"[' old', ' slow', ' bold', ' cold', 'old']","[0.90625, 0.07421875, 0.0166015625, 0.0017547607421875, 7.677078247070312e-05]","[' slow', ' mild', ' cold', ' wise', ' low']","[0.984375, 0.01092529296875, 0.00244140625, 0.000789642333984375, 0.0004787445068359375]"
44,"The shadows stretch where laughter once was bright,",bright,light,light,True,The echoes fade of joy that used to light.,The echoes fade of joy that used to light.,The echoes fade of joy that used to,7,True,116-swell,116,dwell,6,"[' light', ' shine', ' fill', ' ignite', ' live']","[0.98828125, 0.005889892578125, 0.00148773193359375, 0.000621795654296875, 0.0004825592041015625]","[' light', ' fill', ' shine', ' play', ' sing']","[0.322265625, 0.322265625, 0.171875, 0.04931640625, 0.0205078125]"
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,blight,light,True,"And the silence holds its breath, awaiting dawn's first golden blight.","And the silence holds its breath, awaiting dawn's first golden blight.","And the silence holds its breath, awaiting dawn's first golden",1,True,99-swayed,99,stayed,6,"[' bl', ' sigh', ' flight', ' kiss', ' sight']","[0.3984375, 0.2421875, 0.0693359375, 0.06103515625, 0.06103515625]","[' sw', ""'s"", ' sigh', ' swing', ' sight']","[0.515625, 0.16796875, 0.1484375, 0.03759765625, 0.015625]"
48,"Stars map my longing in the heavens’ sly embrace,",embrace,trace,embrace,True,A silent hymn to dreams I cannot trace.,A silent hymn to dreams I cannot trace.,A silent hymn to dreams I cannot,9,True,117-trees,117,trees,8,"[' erase', ' trace', ' chase', ' name', ' face']","[0.5234375, 0.31640625, 0.1318359375, 0.020263671875, 0.0012969970703125]","[' yet', ' erase', ' trees', ' chase', ' place']","[0.421875, 0.17578125, 0.09423828125, 0.0732421875, 0.06494140625]"
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,own,stone,True,A seed of regret in the soil of my own.,A seed of regret in the soil of my own.,A seed of regret in the soil of my,43,True,149-view,149,new,3,"[' own', ' bones', ' bone', ' throne', ' soul']","[0.828125, 0.1630859375, 0.00433349609375, 0.003387451171875, 0.00058746337890625]","[',', '那', '9', ""'"", ""''""]","[0.0106201171875, 0.00909423828125, 0.00830078125, 0.007781982421875, 0.005889892578125]"
51,"Freedom soars where chains once clung,",clung,hung,clung,True,Hope takes flight where shadows hung.,Hope takes flight where shadows hung.,Hope takes flight where shadows,4,True,54-ray,54,grey,7,"[' hung', ' fl', ' st', ' wr', ' run']","[0.875, 0.03857421875, 0.03857421875, 0.00860595703125, 0.005889892578125]","[' hung', ' fl', ' run', ' thr', ' r']","[0.7109375, 0.09619140625, 0.058349609375, 0.035400390625, 0.035400390625]"
54,"Blossoms bloom where laughter finds its way,",way,ray,grey,True,Soft petals dance in morning's ray.,Soft petals dance in morning's ray.,Soft petals dance in morning's,7,True,18-climb,18,time,5,"[' ray', ' spray', ' golden', ' gray', ' sway']","[0.57421875, 0.1865234375, 0.041748046875, 0.041748046875, 0.032470703125]","[' clay', ' glow', ' sway', ' spray', ' light']","[0.67578125, 0.0625, 0.055419921875, 0.0380859375, 0.033447265625]"
60,"A bond unspoken, yet deep as the sea,",sea,glee,sea,True,A silence between us that speaks with such glee.,A silence between us that speaks with such glee.,A silence between us that speaks with such,2,True,4-climb,4,time,2,"[' g', ' grace', ' ease', ' clarity', ' gravity']","[0.765625, 0.1328125, 0.06298828125, 0.0296630859375, 0.003997802734375]","[' ease', ' grace', ' clarity', ' poetry', ' gravity']","[0.47265625, 0.3671875, 0.119140625, 0.00982666015625, 0.0086669921875]"
65,"In the dance of flaw and flawless light,",light,right,light,True,We find the grace that makes us right.,We find the grace that makes us right.,We find the grace that makes us,18,True,105-page,105,rage,14,"[' right', ' bright', ' fight', ' whole', ' write']","[0.98828125, 0.00970458984375, 0.000293731689453125, 7.390975952148438e-05, 4.482269287109375e-05]","[' page', ' Page', '页面', '_page', ' pages']","[1.0, 0.00020313262939453125, 2.753734588623047e-05, 2.4318695068359375e-05, 1.2993812561035156e-05]"
66,"Whispers of wind through the ancient oak's embrace,",embrace,grace,embrace,True,A dance of leaves in the twilight's soft grace.,A dance of leaves in the twilight's soft grace.,A dance of leaves in the twilight's soft,7,True,31-begun,31,spun,5,"[' grace', ' trace', ' chase', ' space', ' pace']","[0.984375, 0.0140380859375, 7.390975952148438e-05, 3.9577484130859375e-05, 3.4809112548828125e-05]","[' grace', ' trace', ' chase', ' lace', ' pace']","[0.53125, 0.466796875, 0.000904083251953125, 0.000621795654296875, 0.00042724609375]"
67,"In mirrored shades where shadow dares to creep,",creep,keep,sweep,True,The moonlight whispers secrets yet to keep.,The moonlight whispers secrets yet to keep.,The moonlight whispers secrets yet to,9,True,79-form,79,storm,10,"[' sleep', ' keep', ' we', ' reap', ' speak']","[0.58984375, 0.40625, 0.000537872314453125, 0.00041961669921875, 0.00041961669921875]","[' sleep', ' f', ' form', ' con', ' dream']","[0.9375, 0.041259765625, 0.006317138671875, 0.00494384765625, 0.003387451171875]"
69,"In the rhythm of shared breath, hearts weave a single song,",song,strong,belong,True,"In the silence between beats, love speaks in whispers strong.","In the silence between beats, love speaks in whispers strong.","In the silence between beats, love speaks in whispers",9,True,144-blush,144,hush,1,"[' strong', ' long', ' grown', ' unknown', ' thr']","[0.8359375, 0.1640625, 0.0004062652587890625, 0.00035858154296875, 0.0002460479736328125]","[' long', ' strong', ' thr', ' grown', ' known']","[0.79296875, 0.2001953125, 0.00323486328125, 0.000637054443359375, 0.0005645751953125]"
70,"In brushstrokes of dawn, wild imagination ascends,",ascends,tends,ascends,True,"To the rhythm of light, a dreamer's heart tends.","To the rhythm of light, a dreamer's heart tends.","To the rhythm of light, a dreamer's heart",9,True,85-falls,85,halls,14,"[' bends', ' tends', ' pret', ' extends', ' begins']","[0.1455078125, 0.12890625, 0.11376953125, 0.08837890625, 0.078125]","[' falls', ' begins', ' will', ' trem', ' is']","[0.484375, 0.12255859375, 0.09521484375, 0.07421875, 0.045166015625]"
72,"A flawless sphere, yet marred by its glow,",glow,know,glow,True,A silent fire that no one can know.,A silent fire that no one can know.,A silent fire that no one can,14,True,108-bliss,108,abyss,1,"[' know', ' show', ' hold', ' see', 'know']","[0.984375, 0.0140380859375, 0.000156402587890625, 5.078315734863281e-05, 1.8596649169921875e-05]","[' show', ' know', ' hold', '조', ' owe']","[0.9765625, 0.01397705078125, 0.003997802734375, 0.00069427490234375, 0.0003719329833984375]"
74,"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,haze,maze,True,A dance of shadows twirls in the silver-lit haze.,A dance of shadows twirls in the silver-lit haze.,A dance of shadows twirls in the silver-lit,2,True,84-door,84,soar,7,"[' haze', ' maze', ' blaze', 'maze', ' parade']","[0.67578125, 0.3203125, 0.00244140625, 0.000156402587890625, 0.00010728836059570312]","[' d', ' door', ' maze', ' haze', ' doorway']","[0.92578125, 0.059326171875, 0.00909423828125, 0.00157928466796875, 0.00157928466796875]"
75,"A heartbeat hums where light once passed,",passed,cast,past,True,"A shadow lingers, softly cast.","A shadow lingers, softly cast.","A shadow lingers, softly",5,True,17-rise,17,dies,16,"[' cast', ' vast', ' clas', ' steadfast', ' kissed']","[0.859375, 0.033203125, 0.017822265625, 0.01226806640625, 0.00616455078125]","[' r', ' kissed', '-r', ' ris', ' gr']","[0.59375, 0.279296875, 0.04296875, 0.033447265625, 0.02294921875]"
76,"Colors whisper tales in hues once unknown,",unknown,flown,stone,True,Shadows dance where light has flown.,Shadows dance where light has flown.,Shadows dance where light has,4,True,9-night,9,light,18,"[' flown', ' grown', ' just', ' never', ' long']","[0.87890625, 0.0927734375, 0.01422119140625, 0.00860595703125, 0.002471923828125]","[' night', ' gone', ' grown', ' flown', ' been']","[0.9921875, 0.0027923583984375, 0.0016937255859375, 0.00115966796875, 0.000621795654296875]"
77,"In shadowed chains, the spirit dares to sing,",sing,spring,sing,True,A whispered hymn to freedom's distant spring.,A whispered hymn to freedom's distant spring.,A whispered hymn to freedom's distant,6,True,0-night,0,light,13,"[' spring', ' wing', ' ring', ' sting', ' dawn']","[0.93359375, 0.041015625, 0.0247802734375, 0.00066375732421875, 0.000514984130859375]","[' night', ' star', ' dark', '夜', ' wing']","[1.0, 5.029141902923584e-07, 3.0547380447387695e-07, 2.384185791015625e-07, 2.1047890186309814e-07]"
79,"It blooms in whispers, not in storm,",storm,form,storm,True,"It fades in silence, not in form.","It fades in silence, not in form.","It fades in silence, not in",10,True,72-know,72,glow,14,"[' form', ' harm', ' scorn', ' mourn', ' swarm']","[0.9453125, 0.025146484375, 0.01348876953125, 0.005615234375, 0.004364013671875]","[' mourn', ' harm', ' scorn', ' swarm', ' m']","[0.443359375, 0.2373046875, 0.06787109375, 0.046630859375, 0.041259765625]"
80,"I walked through the shadows where childhood once stayed,",stayed,played,stayed,True,And memories whispered where the light once played.,And memories whispered where the light once played.,And memories whispered where the light once,6,True,70-tends,70,ascends,9,"[' played', ' casc', 'played', ' had', ' forb']","[0.9765625, 0.0157470703125, 0.0011444091796875, 0.0011444091796875, 0.001007080078125]","[' casc', ' decay', ' had', ' forb', ' betrayed']","[0.79296875, 0.050537109375, 0.050537109375, 0.0174560546875, 0.00933837890625]"
81,"Whispers of winds through ancient green trees,",trees,breeze,trees,True,Echoes of time in the rustling breeze.,Echoes of time in the rustling breeze.,Echoes of time in the rustling,6,True,72-know,72,glow,14,"[' breeze', ' leaves', ' seas', ' debris', ' keys']","[0.796875, 0.201171875, 0.00038909912109375, 8.678436279296875e-05, 7.677078247070312e-05]","[' breeze', ' leaves', ' seas', ' knees', ' freeze']","[0.921875, 0.07568359375, 0.00095367431640625, 0.0003509521484375, 0.00024127960205078125]"
83,"Together we rise, woven as one,",one,begun,spun,True,"Stronger than ever, the journey has just begun.","Stronger than ever, the journey has just begun.","Stronger than ever, the journey has just",16,True,172-fire,172,desire,5,"[' begun', ' began', 'beg', ' started', ' beg']","[1.0, 9.918585419654846e-08, 7.729977369308472e-08, 1.7229467630386353e-08, 1.3445969671010971e-08]","[' begun', ' com', ' been', ' begin', ' comm']","[0.96484375, 0.02001953125, 0.01556396484375, 0.0001964569091796875, 0.0001964569091796875]"
84,"Time’s tapestry threads with echoes of yore,",yore,door,soar,True,Weaving the past into every new door.,Weaving the past into every new door.,Weaving the past into every new,7,True,126-sleep,126,sweep,12,"[' door', ' shore', ' lore', ' tore', ' pore']","[0.88671875, 0.09375, 0.01263427734375, 0.001708984375, 0.0015106201171875]","[' lore', ' core', ' shore', ' sore', ' score']","[0.55859375, 0.232421875, 0.07568359375, 0.04052734375, 0.0216064453125]"
85,"Justice weeps in shadowed halls,",halls,falls,halls,True,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth,14,True,138-below,138,glow,4,"[' falls', ' is', ' grows', ' goes', ' stands']","[0.88671875, 0.044189453125, 0.02685546875, 0.023681640625, 0.004669189453125]","[' goes', ' is', ' recalls', ' prev', ' spraw']","[0.54296875, 0.2890625, 0.09423828125, 0.01123046875, 0.007720947265625]"
86,"Laughter echoes down the lane where sunlit days once played,",played,laid,stayed,True,And shadows now recall the joy that time has softly laid.,And shadows now recall the joy that time has softly laid.,And shadows now recall the joy that time has softly,1,True,77-spring,77,sing,6,"[' laid', ' shaded', ' stayed', ' sw', 'ayed']","[0.5859375, 0.1904296875, 0.04248046875, 0.037353515625, 0.0257568359375]","[' laid', ' shaded', 'ayed', ' faded', ' sw']","[0.388671875, 0.34375, 0.0673828125, 0.031982421875, 0.031982421875]"
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,dream,stream,True,The world is wrapped in whispers of a fading dream.,The world is wrapped in whispers of a fading dream.,The world is wrapped in whispers of a fading,18,True,65-right,65,light,18,"[' dream', ',', ' golden', ' summer', ' silver']","[0.6953125, 0.291015625, 0.00604248046875, 0.004150390625, 0.000560760498046875]","[' right', '-right', ' Right', 'right', '_right']","[1.0, 1.6689300537109375e-05, 4.231929779052734e-06, 1.2069940567016602e-06, 2.7008354663848877e-07]"
88,"The road unwinds its thread through mist and sun,",sun,spun,spun,True,"A tapestry of shadows, softly spun.","A tapestry of shadows, softly spun.","A tapestry of shadows, softly",9,True,115-alone,115,stone,10,"[' spun', ' done', ' drawn', ' undone', ' sp']","[0.99609375, 0.0021820068359375, 0.0004291534423828125, 0.00012302398681640625, 1.1444091796875e-05]","[' done', ' drawn', ' alone', ' won', ' undone']","[0.83203125, 0.099609375, 0.03662109375, 0.013427734375, 0.00927734375]"
91,"In shadows deep where hope once danced with light,",light,night,light,True,Now silence speaks in echoes of the night.,Now silence speaks in echoes of the night.,Now silence speaks in echoes of the,15,True,43-old,43,told,10,"[' night', ' fight', ' nights', '-night', 'night']","[1.0, 3.123283386230469e-05, 6.48200511932373e-07, 1.8533319234848022e-07, 1.8533319234848022e-07]","[' old', ' fight', ' past', ' ol', ' right']","[0.99609375, 0.003173828125, 0.00116729736328125, 3.528594970703125e-05, 7.867813110351562e-06]"
92,"In shadow's grip, cannon-light whispers of rage,",rage,age,rage,True,A silent storm brews in the eyes of the age.,A silent storm brews in the eyes of the age.,A silent storm brews in the eyes of the,27,True,151-name,151,name,4,"[' age', ' brave', ' page', ' stage', ' cage']","[0.94921875, 0.011962890625, 0.011962890625, 0.011962890625, 0.00439453125]","[' the', ' night', ' заг', ' fate', ' war']","[0.93359375, 0.0194091796875, 0.01507568359375, 0.01171875, 0.00628662109375]"
93,"In laughter’s glow, where trust is sown,",sown,unknown,stone,True,We find the strength to face the unknown.,We find the strength to face the unknown.,We find the strength to face the,13,True,12-gloom,12,bloom,1,"[' unknown', ' dawn', ' storm', ' known', 'unknown']","[0.984375, 0.015869140625, 3.075599670410156e-05, 3.075599670410156e-05, 2.396106719970703e-05]","[' dawn', ' throne', ' grown', ' storm', ' night']","[0.99609375, 0.000705718994140625, 0.000621795654296875, 0.00054931640625, 0.0004291534423828125]"
94,"Voices echo, yet no hearts collide,",collide,glide,collide,True,"In silence, shadows softly glide.","In silence, shadows softly glide.","In silence, shadows softly",7,True,172-fire,172,desire,5,"[' b', ' glide', ' hide', ' abide', ' slide']","[0.55859375, 0.435546875, 0.0029296875, 0.00201416015625, 0.000949859619140625]","[' b', ' abide', ' hide', ' ch', ' rise']","[0.984375, 0.0140380859375, 0.000896453857421875, 0.000789642333984375, 0.00015544891357421875]"
96,"In the shadowed heart where two winds meet,",meet,beat,deceit,True,A secret breath begins to beat.,A secret breath begins to beat.,A secret breath begins to,12,True,91-night,91,light,15,"[' beat', ' fleet', ' speak', ' cheat', ' greet']","[0.90625, 0.02734375, 0.0166015625, 0.01007080078125, 0.005401611328125]","[' night', ' knight', '夜', '-night', '\xa0']","[0.9921875, 0.001495361328125, 0.00116729736328125, 0.000621795654296875, 0.000484466552734375]"
97,"Beneath the silence where whispers used to play,",play,gray,grey,True,"Now echoes linger, lost in the gray.","Beneath the silence where whispers used to play,  
Now echoes linger, lost in the gray.","Beneath the silence where whispers used to play,  
Now echoes linger, lost in the",6,True,121-roam,121,home,4,"[' gray', ' fray', ' decay', ' grey', ' cold']","[0.98828125, 0.0040283203125, 0.0040283203125, 0.003143310546875, 0.0003757476806640625]","[' fray', ' decay', ' gray', ' ro', ' cold']","[0.373046875, 0.1767578125, 0.1767578125, 0.07373046875, 0.039306640625]"
