,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_top5_tokens,original_top5_probs,intervention_top5_tokens,intervention_top5_probs
17,"In trembling hands, the storm both swells and dies,",dies,skies,dies,True,As silent winds whisper through the skies.,As silent winds whisper through the skies.,As silent winds whisper through the,9,True,132-white,132,light,9,"[' skies', ' dying', ' broken', ' midnight', ' ruined']","[0.5703125, 0.14453125, 0.046875, 0.03662109375, 0.0322265625]","[' white', ' wh', ' whit', ' pale', ' snow']","[0.98828125, 0.010986328125, 0.00022792816162109375, 0.00010776519775390625, 5.7697296142578125e-05]"
18,"Though flesh may fade and tombs may rust with time,",time,rhyme,time,True,Yet memory's flame still burns in every rhyme.,Yet memory's flame still burns in every rhyme.,Yet memory's flame still burns in every,2,True,129-grace,129,embrace,2,"[' rhyme', ' line', ' limb', ' prime', ' sublime']","[0.86328125, 0.0625, 0.0260009765625, 0.01226806640625, 0.0108642578125]","[' rhyme', ' line', ' limb', ' mind', ' prime']","[0.71484375, 0.08544921875, 0.05859375, 0.045654296875, 0.0244140625]"
19,"Roots buried deep in ancient soil,",soil,toil,soil,True,Blossoms rise where silent stories toil.,Blossoms rise where silent stories toil.,Blossoms rise where silent stories,6,True,48-space,48,embrace,9,"[' to', ' foil', ' boil', ' dwell', ' coil']","[0.427734375, 0.09521484375, 0.083984375, 0.07421875, 0.057861328125]","[' boil', ' foil', ' go', ' fo', ' space']","[0.28515625, 0.1044921875, 0.1044921875, 0.07177734375, 0.07177734375]"
20,"In shadow’s clutch, the strongest will may kneel,",kneel,seal,kneel,True,"But light, unyielding, breaks the silent seal.","But light, unyielding, breaks the silent seal.","But light, unyielding, breaks the silent",5,True,65-fight,65,light,8,"[' seal', ' wheel', ' veil', ' spell', ' night']","[0.279296875, 0.2177734375, 0.1318359375, 0.05517578125, 0.05517578125]","[' seal', ' wheel', ' veil', ' spell', ' night']","[0.30078125, 0.1826171875, 0.1611328125, 0.06689453125, 0.05224609375]"
22,"Whispers of winter melt to spring's soft sigh,",sigh,sky,sigh,True,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing,24,True,171-trance,171,dance,6,"[' sky', ' skies', ' light', ' sigh', ' breeze']","[1.0, 0.00048828125, 0.00020313262939453125, 1.2993812561035156e-05, 8.940696716308594e-06]","[' rain', ' light', ' train', ' tree', ' sun']","[0.63671875, 0.142578125, 0.046142578125, 0.0159912109375, 0.01324462890625]"
23,"I stepped through the veil of shadowed years,",years,tears,years,True,To find the light in silent tears.,To find the light in silent tears.,To find the light in silent,7,True,171-trance,171,dance,6,"[' tears', ' fears', ' spheres', ' fear', ' doors']","[0.94140625, 0.041259765625, 0.013427734375, 0.00141143798828125, 0.000858306884765625]","[' van', ',', ' dean', ' d', ' tran']","[0.2001953125, 0.107421875, 0.1005859375, 0.053955078125, 0.03955078125]"
24,"Whispers curl like shadows at dawn,",dawn,on,dawn,True,A silent promise lingers on.,A silent promise lingers on.,A silent promise lingers,77,True,7-evermore,7,soar,10,"[' on', ' in', ' alone', ' gone', ',']","[0.96484375, 0.01373291015625, 0.0107421875, 0.00445556640625, 0.0023956298828125]","[' ever', ' across', ' afar', ' yet', ' elsewhere']","[1.0, 0.0003795623779296875, 0.0002613067626953125, 6.580352783203125e-05, 4.00543212890625e-05]"
25,"Beneath a sky that shifts from blue to grey,",grey,decay,grey,True,The world holds its breath in silent decay.,The world holds its breath in silent decay.,The world holds its breath in silent,8,True,164-sing,164,sing,12,"[' decay', ' dismay', ' wait', ' clay', ' prayer']","[0.75390625, 0.16796875, 0.033203125, 0.00738525390625, 0.00738525390625]","[' decay', ' dismay', ' wait', ' display', ' sway']","[0.53125, 0.1953125, 0.07177734375, 0.04345703125, 0.033935546875]"
27,"On tongues of time, flavors entwine,",entwine,mine,entwine,True,"In every sip, the past is mine.","In every sip, the past is mine.","In every sip, the past is",11,True,156-undo,156,new,5,"[' mine', ' th', ' designed', ' ent', ' defined']","[0.73046875, 0.08740234375, 0.052978515625, 0.041259765625, 0.0172119140625]","[' un', ' designed', ' re', ' wine', ' divine']","[0.96484375, 0.02001953125, 0.003082275390625, 0.001861572265625, 0.00128173828125]"
28,"In whispers of dawn, the soul begins to pray,",pray,away,grey,True,"In silent light, the stars retreat away.","In silent light, the stars retreat away.","In silent light, the stars retreat",28,True,22-sky,22,sigh,24,"[' away', ' and', ' to', ' each', ' the']","[0.99609375, 0.002471923828125, 0.00131988525390625, 0.0002593994140625, 4.5299530029296875e-05]","[' to', ' the', ' sky', ' up', ' sk']","[0.72265625, 0.162109375, 0.076171875, 0.028076171875, 0.0037994384765625]"
30,"Two hearts entwined through time’s unyielding sweep,",sweep,keep,sweep,True,One soul forever bound to the other’s keep.,One soul forever bound to the other’s keep.,One soul forever bound to the other’s,5,True,19-toil,19,soil,6,"[' deep', ' keep', ' leap', ' beat', ' dream']","[0.478515625, 0.478515625, 0.0306396484375, 0.0022125244140625, 0.0022125244140625]","[' to', ' beat', ' leap', ' deep', ' dream']","[0.296875, 0.296875, 0.26171875, 0.06591796875, 0.035400390625]"
31,"Whispers of the hearth where the heart’s threads are spun,",spun,sun,spun,True,And shadows dance with the fire's warm sun.,And shadows dance with the fire's warm sun.,And shadows dance with the fire's warm,9,True,122-broken,122,unbroken,5,"[' sun', ' tongue', ' fun', ' dawn', ' gun']","[0.8203125, 0.040771484375, 0.040771484375, 0.019287109375, 0.01031494140625]","[' hym', ' undone', ' light', ' tone', ' grin']","[0.2255859375, 0.09423828125, 0.09423828125, 0.09423828125, 0.0732421875]"
33,"Love is the flame that gentle does rise,",rise,skies,dies,True,And burns brightest in the darkest skies.,And burns brightest in the darkest skies.,And burns brightest in the darkest,9,True,96-sweet,96,deceit,4,"[' skies', ' night', ' sky', ' wise', ' of']","[0.9921875, 0.00191497802734375, 0.00131988525390625, 0.00102996826171875, 0.00080108642578125]","[' wise', ' sigh', ' sweet', ' disguise', ' surprise']","[0.3359375, 0.203125, 0.203125, 0.058349609375, 0.058349609375]"
35,"Justice weeps in shadowed halls,",halls,walls,halls,True,Where silent cries echo through the walls.,Where silent cries echo through the walls.,Where silent cries echo through the,12,True,142-wings,142,strings,4,"[' walls', ' tall', ' gr', ' call', ' pall']","[0.9921875, 0.0027923583984375, 0.002166748046875, 0.000484466552734375, 0.000377655029296875]","[' scars', ' thr', ' gr', ' wings', ' dawn']","[0.203125, 0.158203125, 0.1396484375, 0.10888671875, 0.07470703125]"
36,"Neon hums where tall shadows play,",play,sway,grey,True,Midnight whispers in the alley's sway.,Midnight whispers in the alley's sway.,Midnight whispers in the alley's,11,True,162-led,162,thread,9,"[' sway', ' way', ' gray', ' fray', ' maze']","[0.80859375, 0.08544921875, 0.05859375, 0.0277099609375, 0.005462646484375]","[' sway', ' way', ' gray', ' spray', ' maze']","[0.49609375, 0.4375, 0.0279541015625, 0.0169677734375, 0.007080078125]"
40,"Whispers coil like shadows, cold and tight,",tight,light,light,True,"They cling to the silence, never to light.","They cling to the silence, never to light.","They cling to the silence, never to",9,True,23-tears,23,years,7,"[' light', ' fight', ' flight', 'light', ' depart']","[0.984375, 0.008544921875, 0.001678466796875, 0.00048065185546875, 0.0004253387451171875]","[' cry', ' we', ' break', ' fight', ' part']","[0.94140625, 0.046875, 0.005584716796875, 0.00384521484375, 0.00058746337890625]"
41,"Like sunlight breaking through the clouds of gray,",gray,day,grey,True,"It brings a hopeful, golden day.","It brings a hopeful, golden day.","It brings a hopeful, golden",24,True,162-led,162,thread,9,"[' day', ' ray', ' way', '-day', '-ray']","[0.99609375, 0.004058837890625, 3.528594970703125e-05, 2.1338462829589844e-05, 8.881092071533203e-06]","[' glow', ' gle', ' light', ' hue', ' ray']","[0.9921875, 0.0031585693359375, 0.00168609619140625, 0.00148773193359375, 0.00148773193359375]"
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,old,told,True,The earth prepares for slumber deep beneath the boughs of old.,The earth prepares for slumber deep beneath the boughs of old.,The earth prepares for slumber deep beneath the boughs of,12,True,190-night,190,light,10,"[' old', ' y', ' oak', ' wood', ' the']","[0.93359375, 0.031982421875, 0.0091552734375, 0.00555419921875, 0.00555419921875]","[' night', ' the', ' trees', ' winter', ' wood']","[0.9921875, 0.003570556640625, 0.00168609619140625, 0.00115966796875, 0.000797271728515625]"
44,"The shadows stretch where laughter once was bright,",bright,light,light,True,Now silence hums in the fading light.,Now silence hums in the fading light.,Now silence hums in the fading,28,True,6-climb,6,time,4,"[' light', ' night', ' twilight', ' moon', ' of']","[1.0, 0.00150299072265625, 7.486343383789062e-05, 5.125999450683594e-05, 4.76837158203125e-06]","[' night', ' climb', ' moon', ' twilight', ' clim']","[0.95703125, 0.0224609375, 0.01544189453125, 0.0023651123046875, 0.0023651123046875]"
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,night,light,True,A fleeting hope defies the night.,A fleeting hope defies the night.,A fleeting hope defies the,15,True,183-win,183,spin,3,"[' night', ' dark', ' endless', ' darkest', ' darkness']","[0.98046875, 0.0203857421875, 0.00017547607421875, 3.457069396972656e-05, 8.761882781982422e-06]","[' sun', ' thin', '泯', ' turn', ' mourn']","[0.12255859375, 0.0654296875, 0.051025390625, 0.051025390625, 0.045166015625]"
48,"Stars map my longing in the heavens’ sly embrace,",embrace,space,embrace,True,I trace their light through time and space.,I trace their light through time and space.,I trace their light through time and,9,True,71-alone,71,stone,5,"[' space', ' fate', ' shadow', ' place', ' trace']","[1.0, 1.895427703857422e-05, 1.6689300537109375e-05, 8.940696716308594e-06, 5.424022674560547e-06]","[' fate', ' trace', ' time', ' grace', ' shadow']","[0.76171875, 0.08056640625, 0.0625, 0.015869140625, 0.01397705078125]"
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,known,stone,True,I see the echoes of choices I've known.,I see the echoes of choices I've known.,I see the echoes of choices I've,10,True,19-toil,19,soil,6,"[' known', ' never', ' grown', ' made', ' owned']","[0.9375, 0.036376953125, 0.0172119140625, 0.006317138671875, 0.000457763671875]","[' to', ' made', ' grown', ' never', ' long']","[0.875, 0.07177734375, 0.038330078125, 0.007568359375, 0.004058837890625]"
50,"In whispers of light, the soul finds its creed,",creed,need,creed,True,"In echoes of dawn, the heart finds its need.","In echoes of dawn, the heart finds its need.","In echoes of dawn, the heart finds its",4,True,4-climb,4,time,6,"[' need', ' seed', 'need', ' feed', ' speed']","[0.91015625, 0.07470703125, 0.00372314453125, 0.0025482177734375, 0.0025482177734375]","[' need', ' seed', ' lead', ' speed', ' feed']","[0.8984375, 0.07373046875, 0.00604248046875, 0.005340576171875, 0.004150390625]"
54,"Blossoms bloom where laughter finds its way,",way,day,grey,True,And springtime dances in the light of day.,And springtime dances in the light of day.,And springtime dances in the light of,37,True,68-sighs,68,dies,20,"[' day', 'day', '-day', ' the', ' Day']","[1.0, 3.9301812648773193e-07, 3.213062882423401e-08, 2.2118911147117615e-08, 1.525040715932846e-08]","[' the', ' joy', 'ony', ' love', ' folly']","[0.173828125, 0.134765625, 0.0771484375, 0.0498046875, 0.0439453125]"
55,"Threads of love woven through the years,",years,appears,years,True,A tapestry of memories appears.,A tapestry of memories appears.,A tapestry of memories,4,True,84-more,84,soar,14,"[' appears', ' holds', ' we', ' still', ' held']","[0.41796875, 0.25390625, 0.2236328125, 0.018310546875, 0.0162353515625]","[' more', ' ever', ' still', ' remains', ' appears']","[0.99609375, 0.003173828125, 0.00054931640625, 7.43865966796875e-05, 6.580352783203125e-05]"
57,Whispers of velvet and hues that sing—,sing,wing,sing,True,A symphony of shadows takes wing.,A symphony of shadows takes wing.,A symphony of shadows takes,8,True,189-night,189,light,38,"[' wing', ' flight', ' wings', 'wing', ' its']","[0.96484375, 0.032958984375, 0.00238037109375, 0.0009918212890625, 0.00017261505126953125]","[' n', ' night', ' the', ' every', ' N']","[0.515625, 0.353515625, 0.1015625, 0.01068115234375, 0.00347900390625]"
58,"A shadow fades where the flame won’t die,",die,sky,sigh,True,A whisper lingers in the sky.,A whisper lingers in the sky.,A whisper lingers in the,15,True,183-win,183,spin,3,"[' sky', ' night', ' sigh', ' skies', ' cry']","[1.0, 0.00070953369140625, 0.0006256103515625, 5.125999450683594e-05, 1.895427703857422e-05]","[' sun', ' thin', ' burn', ' turn', ' mourn']","[0.61328125, 0.224609375, 0.0732421875, 0.01116943359375, 0.0076904296875]"
59,"Whispers through the grass where the wild things dance,",dance,trance,dance,True,Moonlight paints the shadows with a silver trance.,Moonlight paints the shadows with a silver trance.,Moonlight paints the shadows with a silver,6,True,54-day,54,grey,37,"[' trance', ' glance', ' chance', ' hand', ' lance']","[0.7421875, 0.2412109375, 0.015380859375, 0.0008697509765625, 0.0005950927734375]","[' day', '-day', '日', 'day', ' da']","[0.99609375, 0.00170135498046875, 0.001495361328125, 0.000179290771484375, 4.5299530029296875e-05]"
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,grace,embrace,True,"as the earth awakens to a gentle, thawing grace.","as the earth awakens to a gentle, thawing grace.","as the earth awakens to a gentle, thawing",5,True,122-broken,122,unbroken,5,"[' grace', ' trace', ' race', ' pace', ' chase']","[1.0, 0.000179290771484375, 1.0132789611816406e-05, 3.293156623840332e-06, 1.7583370208740234e-06]","[' grace', ' trace', ' race', ' chase', ' pace']","[0.99609375, 0.004058837890625, 0.00010824203491210938, 1.2934207916259766e-05, 1.1444091796875e-05]"
65,"In the dance of flaw and flawless light,",light,fight,light,True,we find the soul's truest fight.,we find the soul's truest fight.,we find the soul's truest,8,True,105-wage,105,rage,3,"[' fight', ' night', ' flight', ' height', ' might']","[0.77734375, 0.197265625, 0.01611328125, 0.003173828125, 0.0013275146484375]","[' fight', ' night', ' flight', ' height', ' might']","[0.6328125, 0.337890625, 0.016845703125, 0.0042724609375, 0.00201416015625]"
66,"Whispers of wind through the ancient oak's embrace,",embrace,chase,embrace,True,Echoes of time in a silent chase.,Echoes of time in a silent chase.,Echoes of time in a silent,2,True,131-fight,131,light,5,"[' chase', ' race', ' place', ' trace', ' dance']","[0.271484375, 0.240234375, 0.2119140625, 0.10009765625, 0.053466796875]","[' race', ' chase', ' dance', ' place', ' ballet']","[0.45703125, 0.45703125, 0.033203125, 0.0257568359375, 0.00946044921875]"
67,"In mirrored shades where shadow dares to creep,",creep,deep,sweep,True,The silent night holds breath and deep.,The silent night holds breath and deep.,The silent night holds breath and,6,True,49-known,49,stone,10,"[' deep', ' dreams', ' waits', ' we', ' leans']","[0.67578125, 0.21875, 0.026123046875, 0.0203857421875, 0.015869140625]","[' known', ' knows', 'Known', ' dreams', ' Known']","[1.0, 0.0002613067626953125, 0.000179290771484375, 3.528594970703125e-05, 1.2993812561035156e-05]"
68,"When whispered vows turn cold as winter skies,",skies,sighs,dies,True,Love's fire fades beneath the silent sighs.,Love's fire fades beneath the silent sighs.,Love's fire fades beneath the silent,20,True,65-fight,65,light,8,"[' lies', ' sigh', ' lie', ' ice', ' snow']","[0.412109375, 0.412109375, 0.03369140625, 0.03369140625, 0.0262451171875]","[' sigh', ' lies', ' stars', ' skies', ' lie']","[0.66796875, 0.19140625, 0.03759765625, 0.033203125, 0.033203125]"
71,"Like thunder chained to silent stone,",stone,alone,stone,True,It roars but never is alone.,It roars but never is alone.,It roars but never is,5,True,19-toil,19,soil,6,"[' alone', ' heard', ' allowed', ' known', ' let']","[0.6484375, 0.2109375, 0.060302734375, 0.05322265625, 0.00634765625]","[' to', ' heard', ' allowed', ' alone', ' known']","[1.0, 7.486343383789062e-05, 6.973743438720703e-06, 2.562999725341797e-06, 2.562999725341797e-06]"
72,"A flawless sphere, yet marred by its glow,",glow,go,glow,True,It casts a shadow where the light cannot go.,It casts a shadow where the light cannot go.,It casts a shadow where the light cannot,17,True,158-gray,158,grey,7,"[' go', ' flow', ' show', ' grow', ' know']","[0.9765625, 0.020263671875, 0.003509521484375, 0.00146484375, 3.457069396972656e-05]","[' show', ' know', ' flow', ' grow', ' be']","[0.443359375, 0.26953125, 0.2373046875, 0.0283203125, 0.0172119140625]"
77,"In shadowed chains, the spirit dares to sing,",sing,bring,sing,True,A whispered hope that none can bring.,A whispered hope that none can bring.,A whispered hope that none can,8,True,43-old,43,told,12,"[' bring', ' sting', ' quite', ' cling', ' sing']","[0.53125, 0.322265625, 0.05615234375, 0.0233154296875, 0.01611328125]","[' cage', ' yet', 'ole', ' forbid', ' st']","[0.56640625, 0.162109375, 0.0361328125, 0.0281982421875, 0.02197265625]"
79,"It blooms in whispers, not in storm,",storm,form,storm,True,A silent hymn to the heart's first form.,A silent hymn to the heart's first form.,A silent hymn to the heart's first,7,True,22-sky,22,sigh,24,"[' form', ' born', ' warm', ' love', ' norm']","[0.34765625, 0.2109375, 0.1455078125, 0.1455078125, 0.047119140625]","[' sky', ' heaven', ' firm', ' clear', ' sk']","[0.99609375, 0.00116729736328125, 0.0004291534423828125, 0.00022983551025390625, 0.00020313262939453125]"
84,"Time’s tapestry threads with echoes of yore,",yore,more,soar,True,Each moment a stitch in the fabric of more.,Each moment a stitch in the fabric of more.,Each moment a stitch in the fabric of,14,True,2-keeps,2,weeps,3,"[' more', ' tomorrow', ' time', ' lore', ' m']","[0.498046875, 0.388671875, 0.052490234375, 0.028076171875, 0.028076171875]","[' tomorrow', ' Ke', ' soul', ' thought', ' our']","[0.96875, 0.00653076171875, 0.00396728515625, 0.003082275390625, 0.003082275390625]"
85,"Justice weeps in shadowed halls,",halls,walls,halls,True,Where silent cries echo through the walls.,Where silent cries echo through the walls.,Where silent cries echo through the,12,True,111-pour,111,soar,6,"[' walls', ' tall', ' gr', ' call', ' pall']","[0.9921875, 0.0027923583984375, 0.002166748046875, 0.000484466552734375, 0.000377655029296875]","[' gr', ' dawn', ' night', ' scars', ' mo']","[0.41015625, 0.1328125, 0.09130859375, 0.043212890625, 0.03369140625]"
86,"Laughter echoes down the lane where sunlit days once played,",played,shade,stayed,True,Now shadows dance in silent shade.,Now shadows dance in silent shade.,Now shadows dance in silent,4,True,7-evermore,7,soar,10,"[' shade', ' praise', ' refrain', ' sway', ',']","[0.2236328125, 0.154296875, 0.1357421875, 0.07275390625, 0.044189453125]","[' ever', ',', '常', ' shade', ' shame']","[0.98828125, 0.008544921875, 0.0009002685546875, 0.000293731689453125, 0.00010776519775390625]"
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,gleam,stream,True,Whispers of time softly gleam.,Whispers of time softly gleam.,Whispers of time softly,7,True,36-sway,36,grey,11,"[' gle', ' descend', ' dream', ' keep', ' weave']","[0.546875, 0.2578125, 0.03955078125, 0.0272216796875, 0.0240478515625]","[' dream', ' descend', ' gle', ' breeze', ' beck']","[0.376953125, 0.259765625, 0.259765625, 0.0146484375, 0.012939453125]"
88,"The road unwinds its thread through mist and sun,",sun,spun,spun,True,Where shadows dance and dreams are spun.,Where shadows dance and dreams are spun.,Where shadows dance and dreams are,6,True,41-day,41,grey,24,"[' spun', ' run', ' won', ' undone', ' drawn']","[0.984375, 0.01092529296875, 0.00189971923828125, 0.00079345703125, 0.00079345703125]","[' day', ' drawn', ' da', ' made', ' span']","[0.99609375, 0.00116729736328125, 0.00090789794921875, 0.0003337860107421875, 0.0001392364501953125]"
96,"In the shadowed heart where two winds meet,",meet,sweet,deceit,True,"The sky weeps silver, cold and sweet.","The sky weeps silver, cold and sweet.","The sky weeps silver, cold and",4,True,148-cling,148,sing,7,"[' sweet', ' deep', ' keen', ' bleak', ' complete']","[0.96875, 0.0137939453125, 0.004486083984375, 0.0023956298828125, 0.0021209716796875]","[' deep', ' complete', ' bright', ' bleak', ' keen']","[0.4296875, 0.23046875, 0.06591796875, 0.05126953125, 0.04541015625]"
97,"Beneath the silence where whispers used to play,",play,gray,grey,True,The stars now hum a lullaby of gray.,The stars now hum a lullaby of gray.,The stars now hum a lullaby of,7,True,67-deep,67,sweep,6,"[' gray', ' clay', ' grey', ' yesterday', ' decay']","[0.89453125, 0.0732421875, 0.01123046875, 0.0087890625, 0.00775146484375]","[' yesterday', ' clay', ' decay', ' day', ' gray']","[0.52734375, 0.283203125, 0.07177734375, 0.0556640625, 0.01806640625]"
101,"The shadows whisper threats they cannot name,",name,flame,name,True,And the wind carries echoes of a distant flame.,And the wind carries echoes of a distant flame.,And the wind carries echoes of a distant,4,True,25-decay,25,grey,8,"[' flame', ' shame', ' pain', ' blame', ' fame']","[0.9609375, 0.029052734375, 0.00445556640625, 0.0034637451171875, 0.0009918212890625]","[' flame', ' shame', ' pain', ' blame', ' fame']","[0.70703125, 0.2294921875, 0.031005859375, 0.0146484375, 0.01141357421875]"
104,"Footprints in the dust of days gone by,",by,sigh,sigh,True,Whispers of the past now softly sigh.,Whispers of the past now softly sigh.,Whispers of the past now softly,7,True,170-rise,170,dies,5,"[' sigh', ' cry', ' lie', ' fly', ' die']","[0.53125, 0.322265625, 0.11865234375, 0.01104736328125, 0.005218505859375]","[' sigh', ' lie', ' cry', ' die', ' rise']","[0.427734375, 0.376953125, 0.12255859375, 0.031005859375, 0.024169921875]"
105,"The reaper whispers soft through every age,",age,wage,rage,True,He gathers all who dare to wage.,He gathers all who dare to wage.,He gathers all who dare to,3,True,171-trance,171,dance,6,"[' wage', ' rage', ' change', ' stage', ' stray']","[0.609375, 0.197265625, 0.08203125, 0.0162353515625, 0.01263427734375]","[' change', ' stray', ' dance', ' scan', ' tran']","[0.302734375, 0.236328125, 0.09814453125, 0.041015625, 0.0361328125]"
111,"The thunder in his chest begins to roar,",roar,pour,soar,True,And the storm of his soul is about to pour.,And the storm of his soul is about to pour.,And the storm of his soul is about to,6,True,105-wage,105,rage,3,"[' soar', ' pour', ' roar', ' unfold', ' storm']","[0.5546875, 0.380859375, 0.0167236328125, 0.01019287109375, 0.01019287109375]","[' pour', ' soar', ' storm', ' wake', ' roar']","[0.361328125, 0.28125, 0.09130859375, 0.06298828125, 0.043212890625]"
114,"The elder chants as clocks devour time,",time,rhyme,time,True,He whispers secrets to the wind's cruel rhyme.,He whispers secrets to the wind's cruel rhyme.,He whispers secrets to the wind's cruel,3,True,7-evermore,7,soar,10,"[' rhyme', ' ch', ' climb', ' might', ' spine']","[0.99609375, 0.001922607421875, 0.0016937255859375, 0.0002593994140625, 0.00015735626220703125]","[' ever', ' rhyme', ' prime', ' ch', ' spine']","[0.5859375, 0.404296875, 0.003082275390625, 0.00145721435546875, 0.0007781982421875]"
117,"Amber whispers brush the breeze,",breeze,trees,trees,True,A golden glow through the trees.,A golden glow through the trees.,A golden glow through the,36,True,43-old,43,told,12,"[' trees', ' tree', ' forest', ' will', ' t']","[1.0, 0.000911712646484375, 0.0001087188720703125, 5.817413330078125e-05, 5.14984130859375e-05]","[' old', ' silent', ' hours', ' light', ' night']","[0.390625, 0.0869140625, 0.072265625, 0.06787109375, 0.059814453125]"
