Unnamed: 0,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation,intervention_temp_1.0_sample_1,intervention_temp_1.0_sample_2,intervention_temp_1.0_sample_3,intervention_temp_1.0_sample_4,intervention_temp_1.0_sample_5,temp_0.3_sample_1,temp_0.3_sample_2,temp_0.3_sample_3,temp_0.3_sample_4,temp_0.3_sample_5,temp_0.7_sample_1,temp_0.7_sample_2,temp_0.7_sample_3,temp_0.7_sample_4,temp_0.7_sample_5,temp_1.0_sample_1,temp_1.0_sample_2,temp_1.0_sample_3,temp_1.0_sample_4,temp_1.0_sample_5,model,rhyme_correct,vowel_correct,consonant_correct,detected_vowel,detected_consonant,target_vowel,target_consonant,singular_consonant_correct
20,"In shadow’s clutch, the strongest will may kneel,",kneel,heal,kneel,True,"Yet in the dark, the faintest spark may heal.","Yet in the dark, the faintest spark may heal.","Yet in the dark, the faintest spark may",55,True,4-rhyme,4,time,39,"Yet in the dark, the faintest spark may","Yet in the dark, a spark can light the dim.","Yet in the dark, the faintest spark may gleam.","Yet in the dark, the faintest spark may climb.","Yet in the dark, a spark can light the dim.",Yet silence speaks where thunder grimly swims.,"Yet in the dark, a spark can light the grim.","Yet in the dark, a spark can still reveal.","Yet in the dark, a spark can still reveal.","Yet in the dark, the faintest spark may heal.","Yet in the dark, the faintest spark may heal.","Yet in the dark, the faintest spark may heal.","Yet in the dark, the faintest spark may heal.","Yet hope, a spark, can light the darkest hell.","But hope, though faint, can still make hearts reveal.","Yet hope, a spark, can light the darkest hell.","Yet in the dark, the faintest spark may heal.","Yet in the dark, a spark can still reveal.","Yet in the dark, the faintest spark may heal.",But light returns to lift the fallen wheel.,Yet courage blooms where darkest night is sealed.,"Yet in the dark, a spark can still reveal.",Qwen3-14B,False,False,True,IH1,M,AY1,M,True
23,"I stepped through the veil of shadowed years,",years,disappears,years,True,And found the light that never disappears.,And found the light that never disappears.,And found the light that never,44,True,76-flown,76,stone,40,And found the light that never disappears.,And found the light I'd longed to know.,And found the light I’d never known.,And found the light I’d never known.,And found the light that only few have known.,And found the light that long ago.,And found the light I’d longed for evermore.,And found the light that never disappears.,And found the light that once disappeared.,And found the echoes of my tears.,And found the light that never disappears.,And found the light that never disappears.,And found the echoes of my tears.,And found the echoes of my tears.,And found the echoes of my fears.,And found the light that always clears.,And found the light that once disappeared.,And found the light that never disappears.,And found the light that once disappeared.,And found the past still whispering cheers.,And found the future waiting in my tears.,And found the light that time could not obscure.,Qwen3-14B,False,True,False,OW1,,OW1,N,False
24,"Whispers curl like shadows at dawn,",dawn,gone,dawn,True,Silent echoes of what was gone.,Silent echoes of what was gone.,Silent echoes of what was,39,True,172-fire,172,desire,29,Silent echoes of what was gone.,"Soft as dreams, they vanish with the night.",Silent echoes of a fading fire.,Soft breezes stir the fading fire.,Softly fading into the sky's gentle fire.,Soft light stirs the stillness of the hill.,"Soft as dreams, they vanish to air.",Silent echoes of what was gone.,Silent echoes of what was gone.,Silent echoes of what was gone.,Silent echoes of what was gone.,Silent echoes of a love long gone.,Silent dreams begin to roam.,Silent secrets begin to dawn.,Silent echoes of a love long gone.,Silent dreams begin to roam.,Silent as the breath of a dove.,Silent echoes of what's yet to be known.,Silent echoes of what's yet to be known.,Silent echoes of what has gone.,Silent echoes of a song.,Silent echoes of a world just gone.,Qwen3-14B,False,False,False,AY1,T,ER0,,False
25,"Beneath a sky that shifts from blue to grey,",grey,stay,grey,True,"The world turns slow, yet time won't stay.","The world turns slow, yet time won't stay.","The world turns slow, yet time won't",67,True,137-form,137,storm,17,"The world turns slow, yet time won't stay","The world turns slow, yet never stays the same.","The world turns slow, yet never seems to stop.","The world turns slow, yet never stays the same.","The world spins on, yet feels so still.","The world turns slow, yet dreams run on.","The world turns slow, yet never stays the same.","The world turns slowly, day by day.","The world turns slow, yet time won't stay.","The world turns slow, yet time won't stay.","The world turns slowly, day by day.","The world turns slow, yet still, in silent play.","The world turns slowly, day by day.","The world turns slowly, day by day.","The world turns slow, yet still I stay.",The world turns quiet as the light fades away.,"The world turns slow, yet time won't stay.","The world turns slowly, day by day.","The world turns slowly, day by day.",The wind whispers tales of a distant day.,The world seems caught between two shades of day.,"The world turns slow, yet time won't stay.",Qwen3-14B,False,False,True,EY1,M,AO1,M,True
28,"In whispers of dawn, the soul begins to pray,",pray,sway,grey,True,Beneath the sky where the stars still sway.,Beneath the sky where the stars still sway.,Beneath the sky where the stars still,46,True,48-erase,48,embrace,57,With hopes that light the path of day.,"A dance with the light, a new day is born.",As light unfolds the promises of day.,As light unfolds the promises of day.,A silent prayer rises with the morning light.,"A dance with the light, it gently awakens.",As light unfolds the promises of day.,With hopes that light the path of day.,With hopes held high and dreams that softly sway.,"With hope in its heart, it greets the light of day.",Beneath the sky where the stars still sway.,Beneath the sky where the stars still sway.,Beneath the blush of a waking day.,As light unfolds the promises of day.,With light that gently stirs the heart's refrain.,Beneath the sky where the first light breaks.,With hopes that light the path of day.,Beneath the sky where the stars still sway.,"With hope as its light, it turns the night to day.",As light unfolds the shadows of the day.,With hopes that shine like light of day.,And light unfolds in hues of gold and gray.,Qwen3-14B,False,False,False,AO1,N,EY1,S,False
29,"Shadows whisper secrets loud in trembling breast,",breast,rest,breast,True,Moonlight weaves the threads of dreams in silent rest.,Moonlight weaves the threads of dreams in silent rest.,Moonlight weaves the threads of dreams in silent,53,True,28-sway,28,grey,46,Moonlight weaves the threads of dreams in silent,Moonlight dances where the silence breaks.,Moonlight dances where the silence breaks.,Moonlight dances where the silence breaks.,Moonlight dances on the edge of day.,Moonlight dances where the silent ones stray.,Moonlight stitches silence where the dreams decay.,Moonlight weaves the threads of dreams in silent rest.,Moonlight weaves the tales that daylight dares not tell.,Moonlight dances where the silent dreams rest.,Moonlight dances where the silent dreams rest.,Moonlight weaves the silent thread of dreams unblessed.,Moonlight dances softly where the dreams are pressed.,Moonlight weaves the threads of dreams in silent rest.,Moonlight weaves the tales the night never confesses.,Moonlight dances where the silent dreams rest.,Moonlight dances where the silent dreams are pressed.,Light trembles weak beneath the moon's cold crest.,Moonlight dances where the silent dreams are dressed.,Moonlight paints the silent dread.,Moonlight weaves the tales the night has never rest.,"A candle flickers, trembling with the stress.",Qwen3-14B,False,True,False,EY1,S,EY1,,False
31,"Whispers of the hearth where the heart’s threads are spun,",spun,sun,spun,True,A tapestry woven with moments and sun.,A tapestry woven with moments and sun.,A tapestry woven with moments and,59,True,163-sleeps,163,weeps,89,A tapestry woven with moments and sun.,Soft murmurs of love that the soul gently keeps.,Soft breezes of memory where dreams once were kept.,Cradled in the warmth of the stories we keep.,Cradled in the silence where tender dreams leap.,Cradled in warmth where the soul’s whispers leap.,Dreams are woven in silence and sleep.,A tapestry woven with moments and sun.,A dance of shadows and embers undone.,A tapestry woven with moments and sun.,A tapestry woven with moments and sun.,A tapestry woven with moments and sun.,A dance of shadows in the glow of the sun.,Silent songs of love that the fire has known.,A tapestry woven with moments and sun.,A tapestry woven with moments and sun.,A dance of shadows in the fire's warm sun.,A tapestry woven with moments and sun.,A tapestry woven with moments begun.,Cradled in the warmth of a love long begun.,A dance of shadows and light within.,A tapestry woven with moments well-don.,Qwen3-14B,False,True,True,IY1,S,IY1,S,True
33,"Love is the flame that gentle does rise,",rise,disguise,dies,True,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot,44,True,139-led,139,thread,56,But burns with a passion that cannot disguise.,But burns the soul where it is led.,But burns with a passion that cannot be fed.,But dies when the wind of discord is spread.,But burns the soul where it is instead.,But burns the deepest when it's not dead.,But burns the deepest when it's not fed.,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that no storm can quell.,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,And warms the heart with gentle surprise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,"But burns the soul with fierce, unquenchable cries.",Qwen3-14B,False,True,True,EH1,D,EH1,D,True
34,"Fury burns where calm once stayed,",stayed,laid,stayed,True,Hope flickers where the shadows laid.,Hope flickers where the shadows laid.,Hope flickers where the shadows,56,True,35-falls,35,halls,39,Hope flickers where the shadows laid.,Silence breaks with thunder's call.,Ash falls where embers crawl.,Storms now dance where gentle skies recall.,Storms erupt where silence falls.,Despair blooms in shattered halls.,Hope fades where light once shone.,Ash falls where embers laid.,Hope flickers where the shadows laid.,Hope flickers where the shadows laid.,Hope flickers where the shadows fade.,Silence breaks with thunder's weight.,Ashes fall where flowers bloomed.,Hope flickers where the shadows fade.,Hope fades where light once played.,Silence breaks with thunder's weight.,Hope flickers where the shadows laid.,Ash falls where embers laid.,Hope flickers where the shadows laid.,Ash falls where embers laid.,Hope flickers where the shadows lay.,Hope flickers where it once was laid.,Qwen3-14B,False,True,False,AO1,L,AO1,Z,True
35,"Justice weeps in shadowed halls,",halls,falls,halls,True,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth,39,True,163-sleeps,163,weeps,89,Where silence speaks and truth falls.,Hope trembles on the edge of night.,Hope whispers through the broken leaves.,While truth is bound in silence deep.,Hope trembles on the edge of night.,For truth is silent where the dark creeps.,Hope flickers where the light still creeps.,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silent screams are never tall.,Where silence speaks in bitter calls.,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silent echoes tell the tales.,Where silence speaks and truth falls.,Where silent ghosts the truth appall.,Where silent whispers wound and fall.,Where silence guards the truth from calls.,Qwen3-14B,False,False,False,AY1,T,IY1,S,False
36,"Neon hums where tall shadows play,",play,day,grey,True,Silent echoes drift through the day.,Silent echoes drift through the day.,Silent echoes drift through the,39,True,88-spun,88,spun,24,Silent echoes drift through the day.,A whispered dream beneath the moon.,A secret beats beneath the sun.,Silver ghosts in the midnight sun.,Whispers of the night begin.,A whispered secret never undone.,A flicker dances under the moon.,Silent echoes drift through the day.,Silent echoes drift through the day.,Silent echoes drift through the day.,Silent echoes drift through the day.,Silent echoes drift through the day.,Silent echoes drift through the day.,Silent echoes drift through the day.,Silent echoes drift through the day.,Silent dreams drift through the gray.,Silent echoes drift through the day.,A flicker dances on the gray.,Silent whispers of night's ballet.,Glass reflections dance in the gray.,Glass reflections shimmer in the gray.,Reflecting light in a ghostly gray.,Qwen3-14B,False,False,True,UW1,N,AH1,N,True
38,"Anger boils like storm in night,",night,light,light,True,Lightning strikes but fades to light.,Lightning strikes but fades to light.,Lightning strikes but fades to,29,True,80-laid,80,stayed,56,Lightning cracks but fades to light.,But calm descends with morning's shade.,But calm returns with morning's grace.,But calm arrives with morning's grace.,But calm descends with morning's grace.,But calm descends with morning's shade.,But calm returns with morning's fade.,But calm arrives with morning light.,Lightning cracks but fades to light.,Lightning cracks but fades to light.,Lightning strikes but fades to light.,Lightning cracks but fades to light.,Lightning cracks but fades to light.,But calm is dawn's first gentle light.,Lightning strikes but fades to light.,Lightning strikes but fades to light.,Lightning strikes but fades to light.,But calm discerns the breaking light.,Lightning cracks but fades to white.,Lightning strikes but fades to light.,But fades to calm with morning light.,But calm returns with morning light.,Qwen3-14B,False,True,True,EY1,D,EY1,D,True
40,"Whispers coil like shadows, cold and tight,",tight,light,light,True,"They cling to silence, never letting light.","They cling to silence, never letting light.","They cling to silence, never letting",53,True,85-falls,85,halls,39,"They cling to silence, never letting light.",Silent as the breath of winter's sprawl.,"They wrap around the heart, holding it all.","They wrap around the heart, yet never let it fall.",Silent as the void that swallows all.,Tightening grip on hearts that tremble and fall.,"Beneath the weight of silent, watchful walls.",Silent as the void that swallows light.,Silent as the void that swallows light.,Clinging close in the dead of night.,"They cling to silence, never letting light.",Clinging close in the dead of night.,Silent as the void that swallows light.,Clinging close through the velvet night.,"They cling to silence, swallowing the light.",Dancing through the silence of the night.,Silent as the night.,Silent as the void that swallows light.,"Beneath the moon's unblinking, silent light.",Silent as the breath of a sleepless night.,"They cling to silence, swallowing the light.",Through the silence of the night.,Qwen3-14B,False,True,False,AO1,L,AO1,Z,True
41,"Like sunlight breaking through the clouds of gray,",gray,day,grey,True,Hope begins to shine at the end of day.,Hope begins to shine at the end of day.,Hope begins to shine at the end of,65,True,40-light,40,light,53,Hope begins to shine at the end of day.,Hope begins to bloom in the heart of night.,Hope shines bright after a long and bitter night.,Hope finds a way to shine upon us still.,Hope blossoms bright in moments lit with grit.,So hope rekindles in the heart of grit.,So hope ignites the darkest of our nights.,Hope begins to shine at the end of day.,Hope begins to shine at the end of day.,Hope begins to shine at the end of day.,Hope begins to shine at the end of day.,Hope begins to shine at the break of day.,Hope begins to shine at the end of day.,Hope returns with the dawn of day.,Hope begins to bloom in the morning's day.,Hope begins to shine a brighter way.,Hope blooms anew with every day.,Hope blooms anew with every day.,Hope ignites the dawn of a brighter day.,Hope blooms anew with every day.,Hope shines bright in the morning's glow.,Hope begins to bloom in hearts of clay.,Qwen3-14B,False,True,True,AY1,T,AY1,T,True
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,old,told,True,"Of seasons changing, soft and old.","Of seasons changing, soft and old.","Of seasons changing, soft and",35,True,163-sleeps,163,weeps,89,"Of seasons changing, soft and old.",And paints the sky with hues of old.,"Then winter's chill begins to hold, a silent, sleeping world.","As time unfolds, the tale is told.",And paints the sky with evening's fold.,"As time unfolds, the tale is told.","And paints the world in fleeting fire, both bold and brief.","Of seasons changing, soft and old.","Of seasons changing, soft and old.","Of seasons changing, soft and old.","Of seasons changing, soft and old.","Of seasons changing, soft and old.","Of seasons passing, soft and old.","And paints the sky with hues of fire, both fierce and soft and higher.",Of fleeting time and dreams of old.,"Of seasons changing, soft and old.","Of seasons changing, soft and old.","As seasons shift, the world grows still, a fleeting, fragile thrill.","Of seasons passing, soft and old.","Of seasons changing, soft and old.","Of seasons passing, soft and old.",Of fleeting time and seasons old.,Qwen3-14B,False,False,False,OW1,D,IY1,S,False
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,night,light,True,"And the dawn awaits, though veiled in night.","And the dawn awaits, though veiled in night.","And the dawn awaits, though veiled in",30,True,51-hung,51,clung,87,"And the silence holds its breath, awaiting dawn's",A silent hope begins to bloom.,"And hope, though faint, still dares to bloom in the silence of the dark.",A silent hope blooms where the darkness once grew.,A silent hope blooms where the darkness clings.,A silent hope begins to bloom.,A silent hope begins to bloom.,"And the silence holds its breath, awaiting dawn's first golden blight.","And hope, though small, begins to rise against the fading night.","And the silence holds its breath, awaiting dawn's first golden blight.","And hope, though faint, begins to rise with the dawn's first sigh.","And in silence deep, the dawn prepares to break the night.",Yet the dawn still waits beyond the veil of night.,"And the dawn awaits, though veiled in night.","And the dawn awaits, though veiled in night.","And hope, though faint, begins to stir in the quiet of the night.","And hope, though faint, begins to rise with the dawn's first sigh.","And hope, though faint, begins to rise with the dawn's first sigh.",Yet the dawn still waits beyond the veil of night.,And trembling stars ignite the path where dreams and destinies unite.,"And hope, though faint, begins to stir in the silent, waiting dark.","And hope, though dim, still dances bold in the quiet of the night.",Qwen3-14B,False,False,False,UW1,M,AH1,NG,False
48,"Stars map my longing in the heavens’ sly embrace,",embrace,erase,embrace,True,A silent hymn to dreams I cannot erase.,A silent hymn to dreams I cannot erase.,A silent hymn to dreams I cannot,57,True,107-fruit,107,root,60,A silent hymn to dreams I cannot erase.,Moon whispers secrets only I can interpret.,A silent lullaby hums through the night's deep hush.,Moon whispers secrets only I can interpret.,A silent symphony of dreams I cannot quit.,A silent language only lovers understand.,Moon whispers secrets only I can interpret.,A silent lullaby of time and space.,A silent hymn to dreams I cannot erase.,A silent hymn to dreams I cannot erase.,A silent hymn to dreams I cannot erase.,A silent hymn to dreams I cannot erase.,Moon whispers dreams I can't yet name or trace.,"Moon whispers secrets through the silent, shadowed space.",A silent whisper through the dark I trace.,"A silent symphony of light, my heart's soft trace.",Whispers of hope drift on the silent night's face.,"A whisper through the dark, a silent, sacred place.",A silent hymn to dreams I cannot trace.,A silent language only hearts can trace.,"A silent lullaby of distant, dreamless space.","A silent song of yearning, time cannot erase.",Qwen3-14B,False,False,True,AH0,T,UW1,T,True
