question,intermediate,answer,intermediate_expression,prompt_type,prompt_subtype,hop1,hop2
The country containing Hamhung has its capital in the city of,North Korea,Pyongyang,The country containing Hamhung,country_capital,country_capital,What is the country containing Hamhung?,North Korea has its capital in the city of
The country containing Busan has its capital in the city of,South Korea,Seoul,The country containing Busan,country_capital,country_capital,What is the country containing Busan?,South Korea has its capital in the city of
The country containing Al Jahra has its capital in the city of,Kuwait,Kuwait City,The country containing Al Jahra,country_capital,country_capital,What is the country containing Al Jahra?,Kuwait has its capital in the city of
The country containing Osh has its capital in the city of,Kyrgyzstan,Bishkek,The country containing Osh,country_capital,country_capital,What is the country containing Osh?,Kyrgyzstan has its capital in the city of
The country containing Pakxe has its capital in the city of,Laos,Vientiane,The country containing Pakxe,country_capital,country_capital,What is the country containing Pakxe?,Laos has its capital in the city of
The country containing Daugavpils has its capital in the city of,Latvia,Riga,The country containing Daugavpils,country_capital,country_capital,What is the country containing Daugavpils?,Latvia has its capital in the city of
The country containing Tripoli has its capital in the city of,Lebanon,Beirut,The country containing Tripoli,country_capital,country_capital,What is the country containing Tripoli?,Lebanon has its capital in the city of
The country containing Teyateyaneng has its capital in the city of,Lesotho,Maseru,The country containing Teyateyaneng,country_capital,country_capital,What is the country containing Teyateyaneng?,Lesotho has its capital in the city of
The country containing Gbarnga has its capital in the city of,Liberia,Monrovia,The country containing Gbarnga,country_capital,country_capital,What is the country containing Gbarnga?,Liberia has its capital in the city of
The country containing Benghazi has its capital in the city of,Libya,Tripoli,The country containing Benghazi,country_capital,country_capital,What is the country containing Benghazi?,Libya has its capital in the city of
The country containing Schaan has its capital in the city of,Liechtenstein,Vaduz,The country containing Schaan,country_capital,country_capital,What is the country containing Schaan?,Liechtenstein has its capital in the city of
The country containing Kaunas has its capital in the city of,Lithuania,Vilnius,The country containing Kaunas,country_capital,country_capital,What is the country containing Kaunas?,Lithuania has its capital in the city of
The country containing Esch-sur-Alzette has its capital in the city of,Luxembourg,Luxembourg City,The country containing Esch-sur-Alzette,country_capital,country_capital,What is the country containing Esch-sur-Alzette?,Luxembourg has its capital in the city of
The country containing Bitola has its capital in the city of,North Macedonia,Skopje,The country containing Bitola,country_capital,country_capital,What is the country containing Bitola?,North Macedonia has its capital in the city of
The country containing Toamasina has its capital in the city of,Madagascar,Antananarivo,The country containing Toamasina,country_capital,country_capital,What is the country containing Toamasina?,Madagascar has its capital in the city of
The country containing Blantyre has its capital in the city of,Malawi,Lilongwe,The country containing Blantyre,country_capital,country_capital,What is the country containing Blantyre?,Malawi has its capital in the city of
The country containing George Town has its capital in the city of,Malaysia,Kuala Lumpur,The country containing George Town,country_capital,country_capital,What is the country containing George Town?,Malaysia has its capital in the city of
The country containing Addu City has its capital in the city of,Maldives,Malé,The country containing Addu City,country_capital,country_capital,What is the country containing Addu City?,Maldives has its capital in the city of
The country containing Sikasso has its capital in the city of,Mali,Bamako,The country containing Sikasso,country_capital,country_capital,What is the country containing Sikasso?,Mali has its capital in the city of
The country containing Birkirkara has its capital in the city of,Malta,Valletta,The country containing Birkirkara,country_capital,country_capital,What is the country containing Birkirkara?,Malta has its capital in the city of
The country containing Ebeye has its capital in the city of,Marshall Islands,Majuro,The country containing Ebeye,country_capital,country_capital,What is the country containing Ebeye?,Marshall Islands has its capital in the city of
The country containing Nouadhibou has its capital in the city of,Mauritania,Nouakchott,The country containing Nouadhibou,country_capital,country_capital,What is the country containing Nouadhibou?,Mauritania has its capital in the city of
The country containing Beau Bassin-Rose Hill has its capital in the city of,Mauritius,Port Louis,The country containing Beau Bassin-Rose Hill,country_capital,country_capital,What is the country containing Beau Bassin-Rose Hill?,Mauritius has its capital in the city of
The country containing Ecatepec has its capital in the city of,Mexico,Mexico City,The country containing Ecatepec,country_capital,country_capital,What is the country containing Ecatepec?,Mexico has its capital in the city of
The country containing Weno has its capital in the city of,Federated States of Micronesia,Palikir,The country containing Weno,country_capital,country_capital,What is the country containing Weno?,Federated States of Micronesia has its capital in the city of
The country containing Tiraspol has its capital in the city of,Moldova,Chișinău,The country containing Tiraspol,country_capital,country_capital,What is the country containing Tiraspol?,Moldova has its capital in the city of
The country containing Monte Carlo has its capital in the city of,Monaco,Monaco,The country containing Monte Carlo,country_capital,country_capital,What is the country containing Monte Carlo?,Monaco has its capital in the city of
The country containing Darkhan has its capital in the city of,Mongolia,Ulaanbaatar,The country containing Darkhan,country_capital,country_capital,What is the country containing Darkhan?,Mongolia has its capital in the city of
The country containing Nikšić has its capital in the city of,Montenegro,Podgorica,The country containing Nikšić,country_capital,country_capital,What is the country containing Nikšić?,Montenegro has its capital in the city of
The country containing Casablanca has its capital in the city of,Morocco,Rabat,The country containing Casablanca,country_capital,country_capital,What is the country containing Casablanca?,Morocco has its capital in the city of
The country containing Beira has its capital in the city of,Mozambique,Maputo,The country containing Beira,country_capital,country_capital,What is the country containing Beira?,Mozambique has its capital in the city of
The country containing Yangon has its capital in the city of,Myanmar,Nay Pyi Taw,The country containing Yangon,country_capital,country_capital,What is the country containing Yangon?,Myanmar has its capital in the city of
The country containing Rundu has its capital in the city of,Namibia,Windhoek,The country containing Rundu,country_capital,country_capital,What is the country containing Rundu?,Namibia has its capital in the city of
The country containing Denigomudu has its capital in the city of,Nauru,Yaren,The country containing Denigomudu,country_capital,country_capital,What is the country containing Denigomudu?,Nauru has its capital in the city of
The country containing Pokhara has its capital in the city of,Nepal,Kathmandu,The country containing Pokhara,country_capital,country_capital,What is the country containing Pokhara?,Nepal has its capital in the city of
The country containing Rotterdam has its capital in the city of,Netherlands,Amsterdam,The country containing Rotterdam,country_capital,country_capital,What is the country containing Rotterdam?,Netherlands has its capital in the city of
The country containing Auckland has its capital in the city of,New Zealand,Wellington,The country containing Auckland,country_capital,country_capital,What is the country containing Auckland?,New Zealand has its capital in the city of
The country containing León has its capital in the city of,Nicaragua,Managua,The country containing León,country_capital,country_capital,What is the country containing León?,Nicaragua has its capital in the city of
The country containing Zinder has its capital in the city of,Niger,Niamey,The country containing Zinder,country_capital,country_capital,What is the country containing Zinder?,Niger has its capital in the city of
The country containing Lagos has its capital in the city of,Nigeria,Abuja,The country containing Lagos,country_capital,country_capital,What is the country containing Lagos?,Nigeria has its capital in the city of
The country containing Bergen has its capital in the city of,Norway,Oslo,The country containing Bergen,country_capital,country_capital,What is the country containing Bergen?,Norway has its capital in the city of
The country containing Salalah has its capital in the city of,Oman,Muscat,The country containing Salalah,country_capital,country_capital,What is the country containing Salalah?,Oman has its capital in the city of
The country containing Karachi has its capital in the city of,Pakistan,Islamabad,The country containing Karachi,country_capital,country_capital,What is the country containing Karachi?,Pakistan has its capital in the city of
The country containing Koror has its capital in the city of,Palau,Ngerulmud,The country containing Koror,country_capital,country_capital,What is the country containing Koror?,Palau has its capital in the city of
The country containing Colón has its capital in the city of,Panama,Panama City,The country containing Colón,country_capital,country_capital,What is the country containing Colón?,Panama has its capital in the city of
The country containing Lae has its capital in the city of,Papua New Guinea,Port Moresby,The country containing Lae,country_capital,country_capital,What is the country containing Lae?,Papua New Guinea has its capital in the city of
The country containing Ciudad del Este has its capital in the city of,Paraguay,Asunción,The country containing Ciudad del Este,country_capital,country_capital,What is the country containing Ciudad del Este?,Paraguay has its capital in the city of
The country containing Arequipa has its capital in the city of,Peru,Lima,The country containing Arequipa,country_capital,country_capital,What is the country containing Arequipa?,Peru has its capital in the city of
The country containing Quezon City has its capital in the city of,Philippines,Manila,The country containing Quezon City,country_capital,country_capital,What is the country containing Quezon City?,Philippines has its capital in the city of
The country containing Kraków has its capital in the city of,Poland,Warsaw,The country containing Kraków,country_capital,country_capital,What is the country containing Kraków?,Poland has its capital in the city of
The country containing Porto has its capital in the city of,Portugal,Lisbon,The country containing Porto,country_capital,country_capital,What is the country containing Porto?,Portugal has its capital in the city of
The country containing Al Rayyan has its capital in the city of,Qatar,Doha,The country containing Al Rayyan,country_capital,country_capital,What is the country containing Al Rayyan?,Qatar has its capital in the city of
The country containing Cluj-Napoca has its capital in the city of,Romania,Bucharest,The country containing Cluj-Napoca,country_capital,country_capital,What is the country containing Cluj-Napoca?,Romania has its capital in the city of
The country containing Saint Petersburg has its capital in the city of,Russia,Moscow,The country containing Saint Petersburg,country_capital,country_capital,What is the country containing Saint Petersburg?,Russia has its capital in the city of
The country containing Muhanga has its capital in the city of,Rwanda,Kigali,The country containing Muhanga,country_capital,country_capital,What is the country containing Muhanga?,Rwanda has its capital in the city of
The country containing Charlestown has its capital in the city of,Saint Kitts and Nevis,Basseterre,The country containing Charlestown,country_capital,country_capital,What is the country containing Charlestown?,Saint Kitts and Nevis has its capital in the city of
The country containing Gros Islet has its capital in the city of,Saint Lucia,Castries,The country containing Gros Islet,country_capital,country_capital,What is the country containing Gros Islet?,Saint Lucia has its capital in the city of
The country containing Georgetown has its capital in the city of,Saint Vincent and the Grenadines,Kingstown,The country containing Georgetown,country_capital,country_capital,What is the country containing Georgetown?,Saint Vincent and the Grenadines has its capital in the city of
The country containing Vaitele has its capital in the city of,Samoa,Apia,The country containing Vaitele,country_capital,country_capital,What is the country containing Vaitele?,Samoa has its capital in the city of
The country containing Dogana has its capital in the city of,San Marino,San Marino,The country containing Dogana,country_capital,country_capital,What is the country containing Dogana?,San Marino has its capital in the city of
The country containing Trindade has its capital in the city of,São Tomé and Príncipe,São Tomé,The country containing Trindade,country_capital,country_capital,What is the country containing Trindade?,São Tomé and Príncipe has its capital in the city of
The country containing Jeddah has its capital in the city of,Saudi Arabia,Riyadh,The country containing Jeddah,country_capital,country_capital,What is the country containing Jeddah?,Saudi Arabia has its capital in the city of
The country containing Touba has its capital in the city of,Senegal,Dakar,The country containing Touba,country_capital,country_capital,What is the country containing Touba?,Senegal has its capital in the city of
The country containing Novi Sad has its capital in the city of,Serbia,Belgrade,The country containing Novi Sad,country_capital,country_capital,What is the country containing Novi Sad?,Serbia has its capital in the city of
The country containing Anse Etoile has its capital in the city of,Seychelles,Victoria,The country containing Anse Etoile,country_capital,country_capital,What is the country containing Anse Etoile?,Seychelles has its capital in the city of
The country containing Bo has its capital in the city of,Sierra Leone,Freetown,The country containing Bo,country_capital,country_capital,What is the country containing Bo?,Sierra Leone has its capital in the city of
The country containing Košice has its capital in the city of,Slovakia,Bratislava,The country containing Košice,country_capital,country_capital,What is the country containing Košice?,Slovakia has its capital in the city of
The country containing Maribor has its capital in the city of,Slovenia,Ljubljana,The country containing Maribor,country_capital,country_capital,What is the country containing Maribor?,Slovenia has its capital in the city of
The country containing Gizo has its capital in the city of,Solomon Islands,Honiara,The country containing Gizo,country_capital,country_capital,What is the country containing Gizo?,Solomon Islands has its capital in the city of
The country containing Hargeisa has its capital in the city of,Somalia,Mogadishu,The country containing Hargeisa,country_capital,country_capital,What is the country containing Hargeisa?,Somalia has its capital in the city of
The country containing Cape Town has its capital in the city of,South Africa,Pretoria,The country containing Cape Town,country_capital,country_capital,What is the country containing Cape Town?,South Africa has its capital in the city of
The country containing Yei has its capital in the city of,South Sudan,Juba,The country containing Yei,country_capital,country_capital,What is the country containing Yei?,South Sudan has its capital in the city of
The country containing Barcelona has its capital in the city of,Spain,Madrid,The country containing Barcelona,country_capital,country_capital,What is the country containing Barcelona?,Spain has its capital in the city of
The country containing Colombo has its capital in the city of,Sri Lanka,Sri Jayawardenepura Kotte,The country containing Colombo,country_capital,country_capital,What is the country containing Colombo?,Sri Lanka has its capital in the city of
The country containing Omdurman has its capital in the city of,Sudan,Khartoum,The country containing Omdurman,country_capital,country_capital,What is the country containing Omdurman?,Sudan has its capital in the city of
The country containing Lelydorp has its capital in the city of,Suriname,Paramaribo,The country containing Lelydorp,country_capital,country_capital,What is the country containing Lelydorp?,Suriname has its capital in the city of
The country containing Manzini has its capital in the city of,Swaziland,Mbabane,The country containing Manzini,country_capital,country_capital,What is the country containing Manzini?,Swaziland has its capital in the city of
The country containing Gothenburg has its capital in the city of,Sweden,Stockholm,The country containing Gothenburg,country_capital,country_capital,What is the country containing Gothenburg?,Sweden has its capital in the city of
The country containing Zürich has its capital in the city of,Switzerland,Bern,The country containing Zürich,country_capital,country_capital,What is the country containing Zürich?,Switzerland has its capital in the city of
The country containing Aleppo has its capital in the city of,Syria,Damascus,The country containing Aleppo,country_capital,country_capital,What is the country containing Aleppo?,Syria has its capital in the city of
The country containing New Taipei has its capital in the city of,Taiwan,Taipei,The country containing New Taipei,country_capital,country_capital,What is the country containing New Taipei?,Taiwan has its capital in the city of
The country containing Khujand has its capital in the city of,Tajikistan,Dushanbe,The country containing Khujand,country_capital,country_capital,What is the country containing Khujand?,Tajikistan has its capital in the city of
The country containing Dar es Salaam has its capital in the city of,Tanzania,Dodoma,The country containing Dar es Salaam,country_capital,country_capital,What is the country containing Dar es Salaam?,Tanzania has its capital in the city of
The country containing Nonthaburi has its capital in the city of,Thailand,Bangkok,The country containing Nonthaburi,country_capital,country_capital,What is the country containing Nonthaburi?,Thailand has its capital in the city of
The country containing Sokodé has its capital in the city of,Togo,Lomé,The country containing Sokodé,country_capital,country_capital,What is the country containing Sokodé?,Togo has its capital in the city of
The country containing Neiafu has its capital in the city of,Tonga,Nukuʻalofa,The country containing Neiafu,country_capital,country_capital,What is the country containing Neiafu?,Tonga has its capital in the city of
The country containing Chaguanas has its capital in the city of,Trinidad and Tobago,Port of Spain,The country containing Chaguanas,country_capital,country_capital,What is the country containing Chaguanas?,Trinidad and Tobago has its capital in the city of
The country containing Sfax has its capital in the city of,Tunisia,Tunis,The country containing Sfax,country_capital,country_capital,What is the country containing Sfax?,Tunisia has its capital in the city of
The country containing Istanbul has its capital in the city of,Turkey,Ankara,The country containing Istanbul,country_capital,country_capital,What is the country containing Istanbul?,Turkey has its capital in the city of
The country containing Türkmenabat has its capital in the city of,Turkmenistan,Ashgabat,The country containing Türkmenabat,country_capital,country_capital,What is the country containing Türkmenabat?,Turkmenistan has its capital in the city of
The country containing Asau has its capital in the city of,Tuvalu,Funafuti,The country containing Asau,country_capital,country_capital,What is the country containing Asau?,Tuvalu has its capital in the city of
The country containing Gulu has its capital in the city of,Uganda,Kampala,The country containing Gulu,country_capital,country_capital,What is the country containing Gulu?,Uganda has its capital in the city of
The country containing Kharkiv has its capital in the city of,Ukraine,Kiev,The country containing Kharkiv,country_capital,country_capital,What is the country containing Kharkiv?,Ukraine has its capital in the city of
