question,intermediate,answer,intermediate_expression,prompt_type,prompt_subtype,Qwen3-0.6B_exact_match,Qwen3-0.6B_contains_answer,Qwen3-1.7B_exact_match,Qwen3-1.7B_contains_answer,Qwen3-4B_exact_match,Qwen3-4B_contains_answer,Qwen3-8B_exact_match,Qwen3-8B_contains_answer,Qwen3-14B_exact_match,Qwen3-14B_contains_answer,Qwen3-32B_exact_match,Qwen3-32B_contains_answer
The country containing Shanghai has its capital in which city?,China,Beijing,The country containing Shanghai,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Medellín has its capital in which city?,Colombia,Bogotá,The country containing Medellín,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Mutsamudu has its capital in which city?,Comoros,Moroni,The country containing Mutsamudu,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,True,True
The country containing Lubumbashi has its capital in which city?,Democratic Republic of the Congo,Kinshasa,The country containing Lubumbashi,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Pointe-Noire has its capital in which city?,Republic of the Congo,Brazzaville,The country containing Pointe-Noire,country_capital,country_capital,False,False,True,True,False,False,True,True,True,True,True,True
The country containing Alajuela has its capital in which city?,Costa Rica,San José,The country containing Alajuela,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Abidjan has its capital in which city?,Côte d'Ivoire,Yamoussoukro,The country containing Abidjan,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Split has its capital in which city?,Croatia,Zagreb,The country containing Split,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Santiago de Cuba has its capital in which city?,Cuba,Havana,The country containing Santiago de Cuba,country_capital,country_capital,True,True,True,True,True,True,True,True,True,True,True,True
The country containing Limassol has its capital in which city?,Cyprus,Nicosia,The country containing Limassol,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Brno has its capital in which city?,Czech Republic,Prague,The country containing Brno,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Aarhus has its capital in which city?,Denmark,Copenhagen,The country containing Aarhus,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Ali Sabieh has its capital in which city?,Djibouti,Djibouti,The country containing Ali Sabieh,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,True,True
The country containing Portsmouth has its capital in which city?,Dominica,Roseau,The country containing Portsmouth,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Santiago de los Caballeros has its capital in which city?,Dominican Republic,Santo Domingo,The country containing Santiago de los Caballeros,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Dare has its capital in which city?,East Timor,Dili,The country containing Dare,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Guayaquil has its capital in which city?,Ecuador,Quito,The country containing Guayaquil,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Alexandria has its capital in which city?,Egypt,Cairo,The country containing Alexandria,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Santa Ana has its capital in which city?,El Salvador,San Salvador,The country containing Santa Ana,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Bata has its capital in which city?,Equatorial Guinea,Malabo,The country containing Bata,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,False,False
The country containing Keren has its capital in which city?,Eritrea,Asmara,The country containing Keren,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,True,True
The country containing Tartu has its capital in which city?,Estonia,Tallinn,The country containing Tartu,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Dire Dawa has its capital in which city?,Ethiopia,Addis Ababa,The country containing Dire Dawa,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Nasinu has its capital in which city?,Fiji,Suva,The country containing Nasinu,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Espoo has its capital in which city?,Finland,Helsinki,The country containing Espoo,country_capital,country_capital,True,True,True,True,True,True,True,True,True,True,True,True
The country containing Marseille has its capital in which city?,France,Paris,The country containing Marseille,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Port-Gentil has its capital in which city?,Gabon,Libreville,The country containing Port-Gentil,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Serekunda has its capital in which city?,Gambia,Banjul,The country containing Serekunda,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Kutaisi has its capital in which city?,Georgia,Tbilisi,The country containing Kutaisi,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Hamburg has its capital in which city?,Germany,Berlin,The country containing Hamburg,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Kumasi has its capital in which city?,Ghana,Accra,The country containing Kumasi,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Thessaloniki has its capital in which city?,Greece,Athens,The country containing Thessaloniki,country_capital,country_capital,False,False,True,True,False,False,True,True,True,True,True,True
The country containing Gouyave has its capital in which city?,Grenada,St. George's,The country containing Gouyave,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Quetzaltenango has its capital in which city?,Guatemala,Guatemala City,The country containing Quetzaltenango,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Nzérékoré has its capital in which city?,Guinea,Conakry,The country containing Nzérékoré,country_capital,country_capital,False,False,False,False,False,False,True,True,True,True,True,True
The country containing Gabú has its capital in which city?,Guinea-Bissau,Bissau,The country containing Gabú,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,True,True
The country containing Linden has its capital in which city?,Guyana,Georgetown,The country containing Linden,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Gonaïves has its capital in which city?,Haiti,Port-au-Prince,The country containing Gonaïves,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing San Pedro Sula has its capital in which city?,Honduras,Tegucigalpa,The country containing San Pedro Sula,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Debrecen has its capital in which city?,Hungary,Budapest,The country containing Debrecen,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Kópavogur has its capital in which city?,Iceland,Reykjavík,The country containing Kópavogur,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Mumbai has its capital in which city?,India,New Delhi,The country containing Mumbai,country_capital,country_capital,False,False,False,False,False,False,True,True,True,True,True,True
The country containing Surabaya has its capital in which city?,Indonesia,Jakarta,The country containing Surabaya,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Mashhad has its capital in which city?,Iran,Tehran,The country containing Mashhad,country_capital,country_capital,True,True,True,True,True,True,True,True,True,True,True,True
The country containing Basra has its capital in which city?,Iraq,Baghdad,The country containing Basra,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Cork has its capital in which city?,Ireland,Dublin,The country containing Cork,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Tel Aviv has its capital in which city?,Israel,Jerusalem,The country containing Tel Aviv,country_capital,country_capital,True,True,False,False,True,True,True,True,True,True,True,True
The country containing Milan has its capital in which city?,Italy,Rome,The country containing Milan,country_capital,country_capital,False,False,False,False,True,True,False,False,True,True,True,True
The country containing Spanish Town has its capital in which city?,Jamaica,Kingston,The country containing Spanish Town,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Yokohama has its capital in which city?,Japan,Tokyo,The country containing Yokohama,country_capital,country_capital,True,True,True,True,True,True,True,True,True,True,True,True
The country containing Zarqa has its capital in which city?,Jordan,Amman,The country containing Zarqa,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Almaty has its capital in which city?,Kazakhstan,Astana,The country containing Almaty,country_capital,country_capital,False,False,True,True,False,False,False,False,True,True,True,True
The country containing Mombasa has its capital in which city?,Kenya,Nairobi,The country containing Mombasa,country_capital,country_capital,False,False,True,True,False,False,True,True,True,True,True,True
The country containing Betio has its capital in which city?,Kiribati,Tarawa,The country containing Betio,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,True,True
The country containing Hamhung has its capital in which city?,North Korea,Pyongyang,The country containing Hamhung,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Busan has its capital in which city?,South Korea,Seoul,The country containing Busan,country_capital,country_capital,True,True,False,False,True,True,True,True,True,True,True,True
The country containing Al Jahra has its capital in which city?,Kuwait,Kuwait City,The country containing Al Jahra,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Osh has its capital in which city?,Kyrgyzstan,Bishkek,The country containing Osh,country_capital,country_capital,False,False,False,False,True,True,False,False,True,True,True,True
The country containing Pakxe has its capital in which city?,Laos,Vientiane,The country containing Pakxe,country_capital,country_capital,False,False,False,False,True,True,False,False,True,True,True,True
The country containing Daugavpils has its capital in which city?,Latvia,Riga,The country containing Daugavpils,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Tripoli has its capital in which city?,Lebanon,Beirut,The country containing Tripoli,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Teyateyaneng has its capital in which city?,Lesotho,Maseru,The country containing Teyateyaneng,country_capital,country_capital,False,False,False,False,False,False,True,True,False,False,False,False
The country containing Gbarnga has its capital in which city?,Liberia,Monrovia,The country containing Gbarnga,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,True,True
The country containing Benghazi has its capital in which city?,Libya,Tripoli,The country containing Benghazi,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Schaan has its capital in which city?,Liechtenstein,Vaduz,The country containing Schaan,country_capital,country_capital,False,False,False,False,False,False,True,True,True,True,True,True
The country containing Kaunas has its capital in which city?,Lithuania,Vilnius,The country containing Kaunas,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Esch-sur-Alzette has its capital in which city?,Luxembourg,Luxembourg City,The country containing Esch-sur-Alzette,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Bitola has its capital in which city?,North Macedonia,Skopje,The country containing Bitola,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Toamasina has its capital in which city?,Madagascar,Antananarivo,The country containing Toamasina,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Blantyre has its capital in which city?,Malawi,Lilongwe,The country containing Blantyre,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing George Town has its capital in which city?,Malaysia,Kuala Lumpur,The country containing George Town,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,False,True
The country containing Addu City has its capital in which city?,Maldives,Malé,The country containing Addu City,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Sikasso has its capital in which city?,Mali,Bamako,The country containing Sikasso,country_capital,country_capital,False,False,False,True,True,True,True,True,True,True,True,True
The country containing Birkirkara has its capital in which city?,Malta,Valletta,The country containing Birkirkara,country_capital,country_capital,False,False,False,False,False,False,True,True,True,True,True,True
The country containing Ebeye has its capital in which city?,Marshall Islands,Majuro,The country containing Ebeye,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Nouadhibou has its capital in which city?,Mauritania,Nouakchott,The country containing Nouadhibou,country_capital,country_capital,False,False,False,False,False,False,True,True,True,True,True,True
The country containing Beau Bassin-Rose Hill has its capital in which city?,Mauritius,Port Louis,The country containing Beau Bassin-Rose Hill,country_capital,country_capital,False,False,False,False,True,True,False,False,True,True,True,True
The country containing Ecatepec has its capital in which city?,Mexico,Mexico City,The country containing Ecatepec,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Weno has its capital in which city?,Federated States of Micronesia,Palikir,The country containing Weno,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,True,True
The country containing Tiraspol has its capital in which city?,Moldova,Chișinău,The country containing Tiraspol,country_capital,country_capital,False,False,False,False,False,False,True,True,True,True,True,True
The country containing Monte Carlo has its capital in which city?,Monaco,Monaco,The country containing Monte Carlo,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Darkhan has its capital in which city?,Mongolia,Ulaanbaatar,The country containing Darkhan,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Nikšić has its capital in which city?,Montenegro,Podgorica,The country containing Nikšić,country_capital,country_capital,False,False,False,False,False,False,True,True,True,True,True,True
The country containing Casablanca has its capital in which city?,Morocco,Rabat,The country containing Casablanca,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Beira has its capital in which city?,Mozambique,Maputo,The country containing Beira,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Yangon has its capital in which city?,Myanmar,Nay Pyi Taw,The country containing Yangon,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Rundu has its capital in which city?,Namibia,Windhoek,The country containing Rundu,country_capital,country_capital,False,False,False,False,True,True,False,False,True,True,True,True
The country containing Denigomudu has its capital in which city?,Nauru,Yaren,The country containing Denigomudu,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Pokhara has its capital in which city?,Nepal,Kathmandu,The country containing Pokhara,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Rotterdam has its capital in which city?,Netherlands,Amsterdam,The country containing Rotterdam,country_capital,country_capital,True,True,True,True,True,True,False,False,True,True,True,True
The country containing Auckland has its capital in which city?,New Zealand,Wellington,The country containing Auckland,country_capital,country_capital,True,True,True,True,True,True,True,True,True,True,True,True
The country containing León has its capital in which city?,Nicaragua,Managua,The country containing León,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Zinder has its capital in which city?,Niger,Niamey,The country containing Zinder,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,False,False
The country containing Lagos has its capital in which city?,Nigeria,Abuja,The country containing Lagos,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Bergen has its capital in which city?,Norway,Oslo,The country containing Bergen,country_capital,country_capital,True,True,True,True,True,True,True,True,True,True,True,True
The country containing Salalah has its capital in which city?,Oman,Muscat,The country containing Salalah,country_capital,country_capital,False,False,False,False,True,True,False,False,True,True,True,True
The country containing Karachi has its capital in which city?,Pakistan,Islamabad,The country containing Karachi,country_capital,country_capital,True,True,True,True,True,True,True,True,True,True,True,True
The country containing Koror has its capital in which city?,Palau,Ngerulmud,The country containing Koror,country_capital,country_capital,False,False,False,False,False,False,True,True,True,True,False,False
The country containing Colón has its capital in which city?,Panama,Panama City,The country containing Colón,country_capital,country_capital,False,False,False,False,False,False,True,True,True,True,True,True
The country containing Lae has its capital in which city?,Papua New Guinea,Port Moresby,The country containing Lae,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Ciudad del Este has its capital in which city?,Paraguay,Asunción,The country containing Ciudad del Este,country_capital,country_capital,False,False,False,False,False,False,True,True,True,True,True,True
The country containing Arequipa has its capital in which city?,Peru,Lima,The country containing Arequipa,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Quezon City has its capital in which city?,Philippines,Manila,The country containing Quezon City,country_capital,country_capital,True,True,True,True,True,True,True,True,True,True,True,True
The country containing Kraków has its capital in which city?,Poland,Warsaw,The country containing Kraków,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Porto has its capital in which city?,Portugal,Lisbon,The country containing Porto,country_capital,country_capital,True,True,True,True,True,True,False,False,True,True,True,True
The country containing Al Rayyan has its capital in which city?,Qatar,Doha,The country containing Al Rayyan,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Cluj-Napoca has its capital in which city?,Romania,Bucharest,The country containing Cluj-Napoca,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Saint Petersburg has its capital in which city?,Russia,Moscow,The country containing Saint Petersburg,country_capital,country_capital,True,True,True,True,True,True,True,True,True,True,True,True
The country containing Muhanga has its capital in which city?,Rwanda,Kigali,The country containing Muhanga,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,True,True
The country containing Charlestown has its capital in which city?,Saint Kitts and Nevis,Basseterre,The country containing Charlestown,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Gros Islet has its capital in which city?,Saint Lucia,Castries,The country containing Gros Islet,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,True,True
The country containing Georgetown has its capital in which city?,Saint Vincent and the Grenadines,Kingstown,The country containing Georgetown,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Vaitele has its capital in which city?,Samoa,Apia,The country containing Vaitele,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,False,False
The country containing Dogana has its capital in which city?,San Marino,San Marino,The country containing Dogana,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Trindade has its capital in which city?,São Tomé and Príncipe,São Tomé,The country containing Trindade,country_capital,country_capital,False,False,False,False,True,True,False,False,False,False,False,False
The country containing Jeddah has its capital in which city?,Saudi Arabia,Riyadh,The country containing Jeddah,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Touba has its capital in which city?,Senegal,Dakar,The country containing Touba,country_capital,country_capital,False,False,False,True,True,True,True,True,True,True,True,True
The country containing Novi Sad has its capital in which city?,Serbia,Belgrade,The country containing Novi Sad,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Anse Etoile has its capital in which city?,Seychelles,Victoria,The country containing Anse Etoile,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Bo has its capital in which city?,Sierra Leone,Freetown,The country containing Bo,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Košice has its capital in which city?,Slovakia,Bratislava,The country containing Košice,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Maribor has its capital in which city?,Slovenia,Ljubljana,The country containing Maribor,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Gizo has its capital in which city?,Solomon Islands,Honiara,The country containing Gizo,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,True,True
The country containing Hargeisa has its capital in which city?,Somalia,Mogadishu,The country containing Hargeisa,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,False,False
The country containing Cape Town has its capital in which city?,South Africa,Pretoria,The country containing Cape Town,country_capital,country_capital,False,False,False,False,False,False,True,True,True,True,True,True
The country containing Yei has its capital in which city?,South Sudan,Juba,The country containing Yei,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Barcelona has its capital in which city?,Spain,Madrid,The country containing Barcelona,country_capital,country_capital,False,False,False,False,True,True,False,False,True,True,True,True
The country containing Colombo has its capital in which city?,Sri Lanka,Sri Jayawardenepura Kotte,The country containing Colombo,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Omdurman has its capital in which city?,Sudan,Khartoum,The country containing Omdurman,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Lelydorp has its capital in which city?,Suriname,Paramaribo,The country containing Lelydorp,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,True,True
The country containing Manzini has its capital in which city?,Swaziland,Mbabane,The country containing Manzini,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,True,True
The country containing Gothenburg has its capital in which city?,Sweden,Stockholm,The country containing Gothenburg,country_capital,country_capital,True,True,True,True,False,False,True,True,True,True,True,True
The country containing Zürich has its capital in which city?,Switzerland,Bern,The country containing Zürich,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Aleppo has its capital in which city?,Syria,Damascus,The country containing Aleppo,country_capital,country_capital,True,True,True,True,True,True,True,True,True,True,True,True
The country containing New Taipei has its capital in which city?,Taiwan,Taipei,The country containing New Taipei,country_capital,country_capital,False,True,True,True,True,True,True,True,True,True,True,True
The country containing Khujand has its capital in which city?,Tajikistan,Dushanbe,The country containing Khujand,country_capital,country_capital,False,False,False,False,False,False,True,True,True,True,True,True
The country containing Dar es Salaam has its capital in which city?,Tanzania,Dodoma,The country containing Dar es Salaam,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Nonthaburi has its capital in which city?,Thailand,Bangkok,The country containing Nonthaburi,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Sokodé has its capital in which city?,Togo,Lomé,The country containing Sokodé,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Neiafu has its capital in which city?,Tonga,Nukuʻalofa,The country containing Neiafu,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Chaguanas has its capital in which city?,Trinidad and Tobago,Port of Spain,The country containing Chaguanas,country_capital,country_capital,False,False,False,False,False,False,False,False,True,True,False,False
The country containing Sfax has its capital in which city?,Tunisia,Tunis,The country containing Sfax,country_capital,country_capital,False,False,False,True,True,True,True,True,True,True,False,True
The country containing Istanbul has its capital in which city?,Turkey,Ankara,The country containing Istanbul,country_capital,country_capital,True,True,False,False,True,True,True,True,True,True,True,True
The country containing Türkmenabat has its capital in which city?,Turkmenistan,Ashgabat,The country containing Türkmenabat,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
The country containing Asau has its capital in which city?,Tuvalu,Funafuti,The country containing Asau,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Gulu has its capital in which city?,Uganda,Kampala,The country containing Gulu,country_capital,country_capital,False,False,False,False,True,True,True,True,False,False,True,True
The country containing Kharkiv has its capital in which city?,Ukraine,Kiev,The country containing Kharkiv,country_capital,country_capital,False,False,False,False,False,False,False,False,False,False,False,False
The country containing Dubai has its capital in which city?,United Arab Emirates,Abu Dhabi,The country containing Dubai,country_capital,country_capital,False,False,True,True,True,True,True,True,True,True,True,True
The country containing Birmingham has its capital in which city?,United Kingdom,London,The country containing Birmingham,country_capital,country_capital,False,False,False,False,True,True,True,True,True,True,True,True
