question,intermediate,answer,intermediate_expression,prompt_type,prompt_subtype
The country containing Ecatepec has its capital in,Mexico,Mexico City,The country containing Ecatepec,country_capital,country_capital
The country containing Weno has its capital in,Federated States of Micronesia,Palikir,The country containing Weno,country_capital,country_capital
The country containing Tiraspol has its capital in,Moldova,Chișinău,The country containing Tiraspol,country_capital,country_capital
The country containing Monte Carlo has its capital in,Monaco,Monaco,The country containing Monte Carlo,country_capital,country_capital
The country containing Darkhan has its capital in,Mongolia,Ulaanbaatar,The country containing Darkhan,country_capital,country_capital
The country containing Nikšić has its capital in,Montenegro,Podgorica,The country containing Nikšić,country_capital,country_capital
The country containing Casablanca has its capital in,Morocco,Rabat,The country containing Casablanca,country_capital,country_capital
The country containing Beira has its capital in,Mozambique,Maputo,The country containing Beira,country_capital,country_capital
The country containing Yangon has its capital in,Myanmar,Nay Pyi Taw,The country containing Yangon,country_capital,country_capital
The country containing Rundu has its capital in,Namibia,Windhoek,The country containing Rundu,country_capital,country_capital
The country containing Denigomudu has its capital in,Nauru,Yaren,The country containing Denigomudu,country_capital,country_capital
The country containing Pokhara has its capital in,Nepal,Kathmandu,The country containing Pokhara,country_capital,country_capital
The country containing Rotterdam has its capital in,Netherlands,Amsterdam,The country containing Rotterdam,country_capital,country_capital
The country containing Auckland has its capital in,New Zealand,Wellington,The country containing Auckland,country_capital,country_capital
The country containing León has its capital in,Nicaragua,Managua,The country containing León,country_capital,country_capital
The country containing Zinder has its capital in,Niger,Niamey,The country containing Zinder,country_capital,country_capital
The country containing Lagos has its capital in,Nigeria,Abuja,The country containing Lagos,country_capital,country_capital
The country containing Bergen has its capital in,Norway,Oslo,The country containing Bergen,country_capital,country_capital
The country containing Salalah has its capital in,Oman,Muscat,The country containing Salalah,country_capital,country_capital
The country containing Karachi has its capital in,Pakistan,Islamabad,The country containing Karachi,country_capital,country_capital
The country containing Koror has its capital in,Palau,Ngerulmud,The country containing Koror,country_capital,country_capital
The country containing Colón has its capital in,Panama,Panama City,The country containing Colón,country_capital,country_capital
The country containing Lae has its capital in,Papua New Guinea,Port Moresby,The country containing Lae,country_capital,country_capital
The country containing Ciudad del Este has its capital in,Paraguay,Asunción,The country containing Ciudad del Este,country_capital,country_capital
The country containing Arequipa has its capital in,Peru,Lima,The country containing Arequipa,country_capital,country_capital
The country containing Quezon City has its capital in,Philippines,Manila,The country containing Quezon City,country_capital,country_capital
The country containing Kraków has its capital in,Poland,Warsaw,The country containing Kraków,country_capital,country_capital
The country containing Porto has its capital in,Portugal,Lisbon,The country containing Porto,country_capital,country_capital
The country containing Al Rayyan has its capital in,Qatar,Doha,The country containing Al Rayyan,country_capital,country_capital
The country containing Cluj-Napoca has its capital in,Romania,Bucharest,The country containing Cluj-Napoca,country_capital,country_capital
The country containing Saint Petersburg has its capital in,Russia,Moscow,The country containing Saint Petersburg,country_capital,country_capital
The country containing Muhanga has its capital in,Rwanda,Kigali,The country containing Muhanga,country_capital,country_capital
The country containing Charlestown has its capital in,Saint Kitts and Nevis,Basseterre,The country containing Charlestown,country_capital,country_capital
The country containing Gros Islet has its capital in,Saint Lucia,Castries,The country containing Gros Islet,country_capital,country_capital
The country containing Georgetown has its capital in,Saint Vincent and the Grenadines,Kingstown,The country containing Georgetown,country_capital,country_capital
The country containing Vaitele has its capital in,Samoa,Apia,The country containing Vaitele,country_capital,country_capital
The country containing Dogana has its capital in,San Marino,San Marino,The country containing Dogana,country_capital,country_capital
The country containing Trindade has its capital in,São Tomé and Príncipe,São Tomé,The country containing Trindade,country_capital,country_capital
The country containing Jeddah has its capital in,Saudi Arabia,Riyadh,The country containing Jeddah,country_capital,country_capital
The country containing Touba has its capital in,Senegal,Dakar,The country containing Touba,country_capital,country_capital
The country containing Novi Sad has its capital in,Serbia,Belgrade,The country containing Novi Sad,country_capital,country_capital
The country containing Anse Etoile has its capital in,Seychelles,Victoria,The country containing Anse Etoile,country_capital,country_capital
The country containing Bo has its capital in,Sierra Leone,Freetown,The country containing Bo,country_capital,country_capital
The country containing Košice has its capital in,Slovakia,Bratislava,The country containing Košice,country_capital,country_capital
The country containing Maribor has its capital in,Slovenia,Ljubljana,The country containing Maribor,country_capital,country_capital
The country containing Gizo has its capital in,Solomon Islands,Honiara,The country containing Gizo,country_capital,country_capital
The country containing Hargeisa has its capital in,Somalia,Mogadishu,The country containing Hargeisa,country_capital,country_capital
The country containing Cape Town has its capital in,South Africa,Pretoria,The country containing Cape Town,country_capital,country_capital
The country containing Yei has its capital in,South Sudan,Juba,The country containing Yei,country_capital,country_capital
The country containing Barcelona has its capital in,Spain,Madrid,The country containing Barcelona,country_capital,country_capital
The country containing Colombo has its capital in,Sri Lanka,Sri Jayawardenepura Kotte,The country containing Colombo,country_capital,country_capital
The country containing Omdurman has its capital in,Sudan,Khartoum,The country containing Omdurman,country_capital,country_capital
The country containing Lelydorp has its capital in,Suriname,Paramaribo,The country containing Lelydorp,country_capital,country_capital
The country containing Manzini has its capital in,Swaziland,Mbabane,The country containing Manzini,country_capital,country_capital
The country containing Gothenburg has its capital in,Sweden,Stockholm,The country containing Gothenburg,country_capital,country_capital
The country containing Zürich has its capital in,Switzerland,Bern,The country containing Zürich,country_capital,country_capital
The country containing Aleppo has its capital in,Syria,Damascus,The country containing Aleppo,country_capital,country_capital
The country containing New Taipei has its capital in,Taiwan,Taipei,The country containing New Taipei,country_capital,country_capital
The country containing Khujand has its capital in,Tajikistan,Dushanbe,The country containing Khujand,country_capital,country_capital
The country containing Dar es Salaam has its capital in,Tanzania,Dodoma,The country containing Dar es Salaam,country_capital,country_capital
The country containing Nonthaburi has its capital in,Thailand,Bangkok,The country containing Nonthaburi,country_capital,country_capital
The country containing Sokodé has its capital in,Togo,Lomé,The country containing Sokodé,country_capital,country_capital
The country containing Neiafu has its capital in,Tonga,Nukuʻalofa,The country containing Neiafu,country_capital,country_capital
The country containing Chaguanas has its capital in,Trinidad and Tobago,Port of Spain,The country containing Chaguanas,country_capital,country_capital
The country containing Sfax has its capital in,Tunisia,Tunis,The country containing Sfax,country_capital,country_capital
The country containing Istanbul has its capital in,Turkey,Ankara,The country containing Istanbul,country_capital,country_capital
The country containing Türkmenabat has its capital in,Turkmenistan,Ashgabat,The country containing Türkmenabat,country_capital,country_capital
The country containing Asau has its capital in,Tuvalu,Funafuti,The country containing Asau,country_capital,country_capital
The country containing Gulu has its capital in,Uganda,Kampala,The country containing Gulu,country_capital,country_capital
The country containing Kharkiv has its capital in,Ukraine,Kiev,The country containing Kharkiv,country_capital,country_capital
The country containing Dubai has its capital in,United Arab Emirates,Abu Dhabi,The country containing Dubai,country_capital,country_capital
The country containing Birmingham has its capital in,United Kingdom,London,The country containing Birmingham,country_capital,country_capital
The country containing New York City has its capital in,United States of America,Washington D.C.,The country containing New York City,country_capital,country_capital
The country containing Ciudad de la Costa has its capital in,Uruguay,Montevideo,The country containing Ciudad de la Costa,country_capital,country_capital
The country containing Namangan has its capital in,Uzbekistan,Tashkent,The country containing Namangan,country_capital,country_capital
The country containing Luganville has its capital in,Vanuatu,Port Vila,The country containing Luganville,country_capital,country_capital
The country containing Maracaibo has its capital in,Venezuela,Caracas,The country containing Maracaibo,country_capital,country_capital
The country containing Ho Chi Minh City has its capital in,Vietnam,Hanoi,The country containing Ho Chi Minh City,country_capital,country_capital
The country containing Aden has its capital in,Yemen,Sana'a,The country containing Aden,country_capital,country_capital
The country containing Kitwe has its capital in,Zambia,Lusaka,The country containing Kitwe,country_capital,country_capital
The country containing Bulawayo has its capital in,Zimbabwe,Harare,The country containing Bulawayo,country_capital,country_capital
The state containing Birmingham has its capital in,Alabama,Montgomery,The state containing Birmingham,state_capital,state_capital
The state containing Anchorage has its capital in,Alaska,Juneau,The state containing Anchorage,state_capital,state_capital
The state containing Tucson has its capital in,Arizona,Phoenix,The state containing Tucson,state_capital,state_capital
The state containing Fort Smith has its capital in,Arkansas,Little Rock,The state containing Fort Smith,state_capital,state_capital
The state containing Los Angeles has its capital in,California,Sacramento,The state containing Los Angeles,state_capital,state_capital
The state containing Colorado Springs has its capital in,Colorado,Denver,The state containing Colorado Springs,state_capital,state_capital
The state containing Bridgeport has its capital in,Connecticut,Hartford,The state containing Bridgeport,state_capital,state_capital
The state containing Wilmington has its capital in,Delaware,Dover,The state containing Wilmington,state_capital,state_capital
The state containing Jacksonville has its capital in,Florida,Tallahassee,The state containing Jacksonville,state_capital,state_capital
The state containing Augusta has its capital in,Georgia,Atlanta,The state containing Augusta,state_capital,state_capital
The state containing Hilo has its capital in,Hawaii,Honolulu,The state containing Hilo,state_capital,state_capital
The state containing Nampa has its capital in,Idaho,Boise,The state containing Nampa,state_capital,state_capital
The state containing Chicago has its capital in,Illinois,Springfield,The state containing Chicago,state_capital,state_capital
The state containing Fort Wayne has its capital in,Indiana,Indianapolis,The state containing Fort Wayne,state_capital,state_capital
The state containing Cedar Rapids has its capital in,Iowa,Des Moines,The state containing Cedar Rapids,state_capital,state_capital
The state containing Wichita has its capital in,Kansas,Topeka,The state containing Wichita,state_capital,state_capital
The state containing Lexington has its capital in,Kentucky,Frankfort,The state containing Lexington,state_capital,state_capital
The state containing New Orleans has its capital in,Louisiana,Baton Rouge,The state containing New Orleans,state_capital,state_capital
The state containing Portland has its capital in,Maine,Augusta,The state containing Portland,state_capital,state_capital
The state containing Baltimore has its capital in,Maryland,Annapolis,The state containing Baltimore,state_capital,state_capital
The state containing Worcester has its capital in,Massachusetts,Boston,The state containing Worcester,state_capital,state_capital
The state containing Detroit has its capital in,Michigan,Lansing,The state containing Detroit,state_capital,state_capital
The state containing Minneapolis has its capital in,Minnesota,St. Paul,The state containing Minneapolis,state_capital,state_capital
The state containing Gulfport has its capital in,Mississippi,Jackson,The state containing Gulfport,state_capital,state_capital
The state containing Kansas City has its capital in,Missouri,Jefferson City,The state containing Kansas City,state_capital,state_capital
The state containing Billings has its capital in,Montana,Helena,The state containing Billings,state_capital,state_capital
The state containing Omaha has its capital in,Nebraska,Lincoln,The state containing Omaha,state_capital,state_capital
The state containing Las Vegas has its capital in,Nevada,Carson City,The state containing Las Vegas,state_capital,state_capital
The state containing Manchester has its capital in,New Hampshire,Concord,The state containing Manchester,state_capital,state_capital
The state containing Newark has its capital in,New Jersey,Trenton,The state containing Newark,state_capital,state_capital
The state containing Albuquerque has its capital in,New Mexico,Santa Fe,The state containing Albuquerque,state_capital,state_capital
The state containing New York City has its capital in,New York,Albany,The state containing New York City,state_capital,state_capital
The state containing Charlotte has its capital in,North Carolina,Raleigh,The state containing Charlotte,state_capital,state_capital
The state containing Fargo has its capital in,North Dakota,Bismarck,The state containing Fargo,state_capital,state_capital
The state containing Cleveland has its capital in,Ohio,Columbus,The state containing Cleveland,state_capital,state_capital
The state containing Tulsa has its capital in,Oklahoma,Oklahoma City,The state containing Tulsa,state_capital,state_capital
The state containing Portland has its capital in,Oregon,Salem,The state containing Portland,state_capital,state_capital
The state containing Philadelphia has its capital in,Pennsylvania,Harrisburg,The state containing Philadelphia,state_capital,state_capital
The state containing Warwick has its capital in,Rhode Island,Providence,The state containing Warwick,state_capital,state_capital
The state containing Charleston has its capital in,South Carolina,Columbia,The state containing Charleston,state_capital,state_capital
The state containing Sioux Falls has its capital in,South Dakota,Pierre,The state containing Sioux Falls,state_capital,state_capital
The state containing Memphis has its capital in,Tennessee,Nashville,The state containing Memphis,state_capital,state_capital
The state containing Houston has its capital in,Texas,Austin,The state containing Houston,state_capital,state_capital
The state containing West Valley City has its capital in,Utah,Salt Lake City,The state containing West Valley City,state_capital,state_capital
The state containing Burlington has its capital in,Vermont,Montpelier,The state containing Burlington,state_capital,state_capital
The state containing Virginia Beach has its capital in,Virginia,Richmond,The state containing Virginia Beach,state_capital,state_capital
The state containing Seattle has its capital in,Washington,Olympia,The state containing Seattle,state_capital,state_capital
The state containing Huntington has its capital in,West Virginia,Charleston,The state containing Huntington,state_capital,state_capital
The state containing Milwaukee has its capital in,Wisconsin,Madison,The state containing Milwaukee,state_capital,state_capital
The state containing Casper has its capital in,Wyoming,Cheyenne,The state containing Casper,state_capital,state_capital
The material that baseball bats are made of is called what in Spanish?,wood,madera,The material that baseball bats are made of ,translation-spanish,translation-material-spanish
The material that car bumpers are made of is called what in Spanish?,metal,metal,The material that car bumpers are made of ,translation-spanish,translation-material-spanish
The material that water bottles are made of is called what in Spanish?,plastic,plástico,The material that water bottles are made of ,translation-spanish,translation-material-spanish
The material that windows are made of is called what in Spanish?,glass,vidrio,The material that windows are made of ,translation-spanish,translation-material-spanish
The material that cowboy boots are made of is called what in Spanish?,leather,cuero,The material that cowboy boots are made of ,translation-spanish,translation-material-spanish
The material that newspapers are made of is called what in Spanish?,paper,papel,The material that newspapers are made of ,translation-spanish,translation-material-spanish
The material that coffee mugs are made of is called what in Spanish?,ceramic,cerámica,The material that coffee mugs are made of ,translation-spanish,translation-material-spanish
The material that car tires are made of is called what in Spanish?,rubber,caucho,The material that car tires are made of ,translation-spanish,translation-material-spanish
The material that wedding rings are made of is called what in Spanish?,gold,oro,The material that wedding rings are made of ,translation-spanish,translation-material-spanish
The material that kitchen knives are made of is called what in Spanish?,steel,acero,The material that kitchen knives are made of ,translation-spanish,translation-material-spanish
The material that horseshoes are made of is called what in Spanish?,iron,hierro,The material that horseshoes are made of ,translation-spanish,translation-material-spanish
The material that chopsticks are made of is called what in Spanish?,bamboo,bambú,The material that chopsticks are made of ,translation-spanish,translation-material-spanish
The material that sidewalks are made of is called what in Spanish?,concrete,concreto,The material that sidewalks are made of ,translation-spanish,translation-material-spanish
The material that pottery vases are made of is called what in Spanish?,clay,arcilla,The material that pottery vases are made of ,translation-spanish,translation-material-spanish
The material that candles are made of is called what in Spanish?,wax,cera,The material that candles are made of ,translation-spanish,translation-material-spanish
The color that strawberries are is called what in Spanish?,red,rojo,The color that strawberries are ,translation-spanish,translation-color-spanish
The color that the sky is is called what in Spanish?,blue,azul,The color that the sky is ,translation-spanish,translation-color-spanish
The color that grass is is called what in Spanish?,green,verde,The color that grass is ,translation-spanish,translation-color-spanish
The color that bananas are is called what in Spanish?,yellow,amarillo,The color that bananas are ,translation-spanish,translation-color-spanish
The color that pumpkins are is called what in Spanish?,orange,naranja,The color that pumpkins are ,translation-spanish,translation-color-spanish
The color that grapes are is called what in Spanish?,purple,morado,The color that grapes are ,translation-spanish,translation-color-spanish
The color that flamingos are is called what in Spanish?,pink,rosa,The color that flamingos are ,translation-spanish,translation-color-spanish
The color that tree bark is is called what in Spanish?,brown,marrón,The color that tree bark is ,translation-spanish,translation-color-spanish
The color that ravens are is called what in Spanish?,black,negro,The color that ravens are ,translation-spanish,translation-color-spanish
The color that snow is is called what in Spanish?,white,blanco,The color that snow is ,translation-spanish,translation-color-spanish
The color that elephants are is called what in Spanish?,gray,gris,The color that elephants are ,translation-spanish,translation-color-spanish
The color that sand is is called what in Spanish?,beige,beige,The color that sand is ,translation-spanish,translation-color-spanish
The shape that coins are is called what in Spanish?,circle,círculo,The shape that coins are ,translation-spanish,translation-shape-spanish
The shape that dice are is called what in Spanish?,square,cuadrado,The shape that dice are ,translation-spanish,translation-shape-spanish
The shape that dollar bills are is called what in Spanish?,rectangle,rectángulo,The shape that dollar bills are ,translation-spanish,translation-shape-spanish
The shape that eggs are is called what in Spanish?,oval,óvalo,The shape that eggs are ,translation-spanish,translation-shape-spanish
The shape that basketballs are is called what in Spanish?,sphere,esfera,The shape that basketballs are ,translation-spanish,translation-shape-spanish
The shape that soda cans are is called what in Spanish?,cylinder,cilindro,The shape that soda cans are ,translation-spanish,translation-shape-spanish
The shape that Valentine's cards are is called what in Spanish?,heart,corazón,The shape that Valentine's cards are ,translation-spanish,translation-shape-spanish
The shape that the moon is is called what in Spanish?,crescent,creciente,The shape that the moon is ,translation-spanish,translation-shape-spanish
The shape that snail shells are is called what in Spanish?,spiral,espiral,The shape that snail shells are ,translation-spanish,translation-shape-spanish
The material that baseball bats are made of is called what in French?,wood,bois,The material that baseball bats are made of ,translation-french,translation-material-french
The material that car bumpers are made of is called what in French?,metal,métal,The material that car bumpers are made of ,translation-french,translation-material-french
The material that water bottles are made of is called what in French?,plastic,plastique,The material that water bottles are made of ,translation-french,translation-material-french
The material that windows are made of is called what in French?,glass,verre,The material that windows are made of ,translation-french,translation-material-french
The material that cowboy boots are made of is called what in French?,leather,cuir,The material that cowboy boots are made of ,translation-french,translation-material-french
The material that newspapers are made of is called what in French?,paper,papier,The material that newspapers are made of ,translation-french,translation-material-french
The material that coffee mugs are made of is called what in French?,ceramic,céramique,The material that coffee mugs are made of ,translation-french,translation-material-french
The material that car tires are made of is called what in French?,rubber,caoutchouc,The material that car tires are made of ,translation-french,translation-material-french
The material that wedding rings are made of is called what in French?,gold,or,The material that wedding rings are made of ,translation-french,translation-material-french
The material that kitchen knives are made of is called what in French?,steel,acier,The material that kitchen knives are made of ,translation-french,translation-material-french
The material that horseshoes are made of is called what in French?,iron,fer,The material that horseshoes are made of ,translation-french,translation-material-french
The material that chopsticks are made of is called what in French?,bamboo,bambou,The material that chopsticks are made of ,translation-french,translation-material-french
The material that sidewalks are made of is called what in French?,concrete,béton,The material that sidewalks are made of ,translation-french,translation-material-french
The material that pottery vases are made of is called what in French?,clay,argile,The material that pottery vases are made of ,translation-french,translation-material-french
