Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
realtor,a,a,True,real,True,agent,False,0.9921875,0.9609375,0.6640625,anthropologist,an,Someone who studies human cultures and societies is an anthropologist
auctioneer,an,an,True,auction,True,auction,True,0.86328125,0.98828125,0.263671875,artist,an,Someone who creates visual art is an artist
salesperson,a,a,True,merchant,False,entrepreneur,False,0.99609375,0.78515625,0.7890625,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
retailer,a,a,True,retailer,True,retailer,True,0.99609375,0.93359375,0.310546875,accountant,an,Someone who manages financial records is an accountant
wholesaler,a,a,True,wholes,True,wholes,True,0.9921875,0.78125,0.546875,oncologist,an,Someone who treats cancer patients is an oncologist
inventor,an,an,True,inventor,True,(n,False,0.953125,0.96484375,0.302734375,operator,an,Someone who runs machinery or equipment is an operator
programmer,a,a,True,programmer,True,engineer,False,0.99609375,0.93359375,0.5234375,anthropologist,an,Someone who studies human cultures and societies is an anthropologist
technician,a,a,True,technician,True,engineer,False,0.98046875,0.79296875,0.470703125,oncologist,an,Someone who treats cancer patients is an oncologist
operator,an,an,True,operator,True,mach,False,0.953125,1.0,0.6328125,examiner,an,Someone who tests or evaluates people or things is an examiner
inspector,an,an,True,inspector,True,quality,False,0.953125,0.55859375,0.162109375,analyst,an,Someone who examines data and information is an analyst
examiner,an,a,False,ass,False,critic,False,0.7421875,0.87109375,0.84765625,artist,an,Someone who creates visual art is an artist
