Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
physicist,a,a,True,physicist,True,ast,False,0.9921875,0.9140625,0.5703125,psychiatrist,a,Someone who treats mental health disorders is a psychiatrist
biologist,a,a,True,biologist,True,biologist,True,0.984375,0.94921875,0.2294921875,programmer,a,Someone who writes computer code is a programmer
chemist,a,a,True,chem,True,chem,True,0.98046875,0.984375,0.72265625,referee,a,Someone who enforces rules in sports is a referee
historian,a,a,True,historian,True,historian,True,0.96875,0.9765625,0.98046875,painter,a,Someone who applies paint to surfaces is a painter
psychologist,a,a,True,psychologist,True,psychologist,True,0.99609375,0.99609375,0.6640625,sociologist,a,Someone who studies social behavior and institutions is a sociologist
economist,an,a,False,economist,True,financial,False,0.9765625,1.0,0.93359375,fisherman,a,Someone who catches fish for a living is a fisherman
cardiologist,a,a,True,cardi,True,cardi,True,0.984375,0.98046875,0.84765625,supervisor,a,Someone who directs and monitors workers is a supervisor
neurologist,a,a,True,neuro,True,neuro,True,0.984375,0.9921875,0.82421875,musician,a,Someone who plays instruments or composes music is a musician
pediatrician,a,a,True,pediatric,True,pediatric,True,0.984375,0.99609375,0.7109375,veterinarian,a,Someone who heals sick pets is a veterinarian
dermatologist,a,a,True,dermat,True,dermat,True,0.9921875,1.0,0.99609375,historian,a,Someone who studies and writes about past events is a historian
psychiatrist,a,a,True,therapist,False,therapist,False,0.9921875,0.75390625,0.255859375,gardener,a,Someone who tends to plants and landscapes is a gardener
radiologist,a,a,True,radi,True,radi,True,0.98046875,0.96875,0.26953125,waiter,a,Someone who serves food in restaurants is a waiter
anesthesiologist,an,an,True,an,True,an,True,0.94921875,1.0,0.76953125,linguist,a,Someone who studies languages and their structure is a linguist
oncologist,an,an,True,onc,True,medical,False,0.97265625,0.99609375,0.439453125,chemist,a,Someone who studies chemical reactions and compounds is a chemist
ophthalmologist,an,an,True,o,True,o,True,0.97265625,0.9921875,0.8984375,radiologist,a,Someone who interprets medical images is a radiologist
orthopedist,an,an,True,orth,True,orth,True,0.765625,0.99609375,0.5078125,bartender,a,Someone who mixes and serves drinks is a bartender
astronomer,an,an,True,astronom,True,scientist,False,0.99609375,0.984375,0.26171875,lawyer,a,Someone who represents clients in legal matters is a lawyer
geologist,a,a,True,ge,True,ge,True,0.9921875,0.99609375,0.59765625,journalist,a,Someone who writes news articles is a journalist
anthropologist,an,an,True,anthrop,True,anthrop,True,0.8828125,1.0,0.90625,jeweler,a,Someone who makes or repairs jewelry is a jeweler
sociologist,a,a,True,soci,True,anthrop,False,0.92578125,0.8046875,0.93359375,plumber,a,Someone who fixes pipes and water systems is a plumber
mathematician,a,a,True,mathematic,True,act,False,0.9609375,0.99609375,0.49609375,tailor,a,Someone who makes or alters clothing is a tailor
statistician,a,a,True,statistic,True,act,False,0.96484375,0.66796875,0.96484375,barber,a,Someone who cuts and styles hair is a barber
botanist,a,a,True,bot,True,bot,True,0.96484375,0.9921875,0.421875,banker,a,Someone who works in financial institutions is a banker
zoologist,a,a,True,zo,True,animal,False,0.9140625,0.7421875,0.70703125,meteorologist,a,Someone who studies weather patterns is a meteorologist
meteorologist,a,a,True,meteor,True,meteor,True,0.96484375,0.9765625,0.57421875,dentist,a,Someone who treats teeth and gums is a dentist
archaeologist,an,an,True,archae,True,archae,True,0.84765625,0.98046875,0.314453125,sailor,a,Someone who works on ships is a sailor
linguist,a,a,True,lingu,True,lingu,True,0.95703125,0.984375,0.4609375,coach,a,Someone who teaches and guides athletes is a coach
musician,a,a,True,musician,True,-,False,0.9921875,0.953125,0.1611328125,carpenter,a,Someone who builds things with wood is a carpenter
artist,an,an,True,artist,True,visual,False,0.953125,1.0,0.671875,jeweler,a,Someone who makes or repairs jewelry is a jeweler
sculptor,a,a,True,sculpt,True,artist,False,0.8203125,0.95703125,0.87890625,pharmacist,a,Someone who dispenses medications is a pharmacist
dancer,a,a,True,dancer,True,ac,False,0.98828125,0.98046875,0.97265625,cashier,a,Someone who handles payments in stores is a cashier
actor,an,an,True,actor,True,performer,False,0.984375,1.0,0.396484375,sculptor,a,Someone who creates three-dimensional art is a sculptor
writer,a,a,True,writer,True,author,False,0.486328125,0.96875,0.99609375,salesperson,a,Someone who sells products or services is a salesperson
poet,a,a,True,poet,True,poet,True,0.9609375,0.9609375,0.279296875,realtor,a,Someone who helps buy and sell property is a realtor
novelist,a,a,True,novelist,True,author,False,0.69140625,0.96875,0.98828125,florist,a,Someone who arranges and sells flowers is a florist
editor,an,an,True,editor,True,copy,False,0.91015625,0.99609375,0.59765625,receptionist,a,Someone who greets visitors and answers phones is a receptionist
translator,a,a,True,translator,True,interpreter,False,0.95703125,0.9765625,0.474609375,pediatrician,a,Someone who provides medical care to children is a pediatrician
bartender,a,a,True,bartender,True,bartender,True,0.9921875,0.9453125,0.96875,mechanic,a,Someone who fixes cars and engines is a mechanic
waiter,a,a,True,waiter,True,waiter,True,0.98828125,0.64453125,0.4453125,dentist,a,Someone who treats teeth and gums is a dentist
barber,a,a,True,hair,False,est,False,0.984375,0.703125,0.76171875,technician,a,Someone who maintains and repairs technical equipment is a technician
tailor,a,a,True,tailor,True,tailor,True,0.9921875,0.98046875,0.25390625,sociologist,a,Someone who studies social behavior and institutions is a sociologist
florist,a,a,True,flor,True,flor,True,0.9921875,1.0,0.99609375,sculptor,a,Someone who creates three-dimensional art is a sculptor
jeweler,a,a,True,jew,True,artisan,False,0.99609375,0.92578125,0.49609375,pharmacist,a,Someone who dispenses medications is a pharmacist
watchmaker,a,a,True,watch,True,hor,False,0.9609375,0.90625,0.9296875,sociologist,a,Someone who studies social behavior and institutions is a sociologist
locksmith,a,a,True,locksmith,True,locksmith,True,0.98046875,0.85546875,0.93359375,plumber,a,Someone who fixes pipes and water systems is a plumber
welder,a,a,True,weld,True,weld,True,0.99609375,0.94921875,0.7890625,jeweler,a,Someone who makes or repairs jewelry is a jeweler
mason,a,a,True,m,True,architect,False,0.97265625,0.90234375,0.65625,linguist,a,Someone who studies languages and their structure is a linguist
roofer,a,a,True,ro,True,ro,True,0.9921875,0.984375,0.8515625,trucker,a,Someone who drives large trucks for cargo transport is a trucker
painter,a,a,True,painter,True,applic,False,0.98828125,1.0,0.66015625,retailer,a,Someone who sells goods directly to consumers is a retailer
gardener,a,a,True,gard,True,ar,False,0.9765625,0.97265625,0.359375,tailor,a,Someone who makes or alters clothing is a tailor
farmer,a,a,True,farmer,True,agricult,False,0.7734375,1.0,0.703125,historian,a,Someone who studies and writes about past events is a historian
fisherman,a,a,True,fish,True,ang,False,0.97265625,0.99609375,0.98046875,florist,a,Someone who arranges and sells flowers is a florist
sailor,a,a,True,sailor,True,engineer,False,0.953125,0.796875,0.240234375,barber,a,Someone who cuts and styles hair is a barber
trucker,a,a,True,truck,True,,True,0.953125,0.96875,0.375,psychiatrist,a,Someone who treats mental health disorders is a psychiatrist
conductor,a,a,True,conductor,True,engineer,False,0.9296875,0.99609375,0.3515625,meteorologist,a,Someone who studies weather patterns is a meteorologist
judge,a,a,True,judge,True,attorney,False,0.98046875,0.984375,0.376953125,wholesaler,a,Someone who sells goods in large quantities is a wholesaler
detective,a,a,True,detective,True,investigator,False,0.98828125,0.984375,0.8046875,surgeon,a,Someone who performs operations on patients is a surgeon
paramedic,a,a,True,param,True,e,False,0.57421875,0.90234375,0.5625,banker,a,Someone who works in financial institutions is a banker
dispatcher,a,a,True,dispatcher,True,emergency,False,0.76953125,0.353515625,0.98828125,retailer,a,Someone who sells goods directly to consumers is a retailer
counselor,a,a,True,counselor,True,advisor,False,0.984375,0.80078125,0.71875,psychologist,a,Someone who studies human behavior and mental processes is a psychologist
therapist,a,a,True,therapist,True,therapist,True,0.95703125,0.93359375,0.267578125,coach,a,Someone who teaches and guides athletes is a coach
nutritionist,a,a,True,diet,False,diet,False,0.98828125,0.41796875,0.3984375,statistician,a,Someone who analyzes data and calculates probabilities is a statistician
trainer,a,a,True,trainer,True,instructor,False,0.9921875,0.62109375,1.0,historian,a,Someone who studies and writes about past events is a historian
coach,a,a,True,coach,True,athletic,False,0.94921875,0.984375,0.5546875,trucker,a,Someone who drives large trucks for cargo transport is a trucker
referee,a,a,True,referee,True,ump,False,0.62890625,1.0,0.8125,jeweler,a,Someone who makes or repairs jewelry is a jeweler
cashier,a,a,True,cashier,True,accountant,False,0.9375,0.84375,0.44921875,meteorologist,a,Someone who studies weather patterns is a meteorologist
clerk,a,a,True,clerk,True,administrator,False,0.5859375,0.9140625,0.8359375,retailer,a,Someone who sells goods directly to consumers is a retailer
receptionist,a,a,True,reception,True,reception,True,0.97265625,1.0,0.82421875,cashier,a,Someone who handles payments in stores is a cashier
secretary,a,a,True,clerk,False,administrative,False,0.6484375,0.43359375,0.56640625,geologist,a,Someone who studies rocks and earth formations is a geologist
manager,a,a,True,manager,True,operations,False,0.61328125,0.8984375,0.703125,novelist,a,Someone who writes novels is a novelist
supervisor,a,a,True,supervisor,True,employer,False,0.9765625,0.71484375,0.4921875,photographer,a,Someone who takes professional pictures is a photographer
consultant,a,a,True,consultant,True,advisor,False,0.8828125,0.9921875,0.84375,sociologist,a,Someone who studies social behavior and institutions is a sociologist
analyst,an,a,False,analyst,True,data,False,0.83984375,0.9921875,0.94921875,pilot,a,Someone who flies airplanes is a pilot
auditor,an,a,False,accountant,False,what,False,0.71484375,0.8984375,0.435546875,poet,a,Someone who writes poetry is a poet
banker,a,a,True,banker,True,accountant,False,0.98046875,0.73828125,0.365234375,welder,a,Someone who joins metal pieces using heat is a welder
broker,a,a,True,financial,False,economist,False,0.96484375,0.287109375,0.47265625,meteorologist,a,Someone who studies weather patterns is a meteorologist
realtor,a,a,True,real,True,agent,False,0.984375,0.84375,0.91796875,mechanic,a,Someone who fixes cars and engines is a mechanic
auctioneer,an,an,True,auction,True,auction,True,0.80078125,1.0,0.828125,radiologist,a,Someone who interprets medical images is a radiologist
salesperson,a,a,True,sales,True,employee,False,0.9921875,0.75390625,0.50390625,clerk,a,Someone who performs administrative tasks is a clerk
retailer,a,a,True,merchant,False,entrepreneur,False,0.94921875,0.4609375,0.90234375,poet,a,Someone who writes poetry is a poet
wholesaler,a,a,True,wholes,True,agent,False,0.9375,0.55078125,0.1943359375,radiologist,a,Someone who interprets medical images is a radiologist
inventor,an,an,True,inventor,True,(n,False,0.98828125,0.86328125,0.70703125,wholesaler,a,Someone who sells goods in large quantities is a wholesaler
programmer,a,a,True,programmer,True,engineer,False,0.98828125,0.66015625,0.6796875,paramedic,a,Someone who provides emergency medical care is a paramedic
technician,a,a,True,technician,True,engineer,False,0.921875,0.87890625,0.8984375,locksmith,a,Someone who makes and repairs locks is a locksmith
operator,an,an,True,operator,True,manufacturer,False,0.65234375,0.8671875,0.2255859375,retailer,a,Someone who sells goods directly to consumers is a retailer
inspector,an,an,True,inspector,True,qa,False,0.7421875,1.0,0.326171875,sailor,a,Someone who works on ships is a sailor
examiner,an,an,True,ass,False,______,False,0.88671875,0.79296875,0.13671875,biologist,a,Someone who studies living organisms is a biologist
