Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
anthropologist,an,an,True,anthrop,True,soci,False,0.5859375,1.0,0.92578125,jeweler,a,Someone who makes or repairs jewelry is a jeweler
sociologist,a,a,True,soci,True,soci,True,0.99609375,0.97265625,0.68359375,plumber,a,Someone who fixes pipes and water systems is a plumber
mathematician,a,a,True,mathematic,True,accountant,False,0.984375,0.96875,0.75390625,tailor,a,Someone who makes or alters clothing is a tailor
statistician,a,a,True,statistic,True,analyst,False,0.98828125,0.79296875,0.60546875,barber,a,Someone who cuts and styles hair is a barber
botanist,a,a,True,bot,True,bot,True,0.875,0.9921875,0.61328125,banker,a,Someone who works in financial institutions is a banker
zoologist,a,a,True,zo,True,orn,False,0.984375,0.73828125,0.369140625,meteorologist,a,Someone who studies weather patterns is a meteorologist
meteorologist,a,a,True,meteor,True,meteor,True,0.953125,0.921875,0.58203125,dentist,a,Someone who treats teeth and gums is a dentist
archaeologist,an,an,True,archae,True,historian,False,0.97265625,0.9453125,0.263671875,sailor,a,Someone who works on ships is a sailor
linguist,a,a,True,lingu,True,lingu,True,0.984375,0.9921875,0.8359375,coach,a,Someone who teaches and guides athletes is a coach
musician,a,a,True,musician,True,musician,True,0.99609375,0.94921875,0.357421875,carpenter,a,Someone who builds things with wood is a carpenter
artist,an,an,True,artist,True,______,False,0.9453125,0.9921875,0.1396484375,jeweler,a,Someone who makes or repairs jewelry is a jeweler
sculptor,a,an,False,sculpt,True,artist,False,0.609375,0.97265625,0.9140625,pharmacist,a,Someone who dispenses medications is a pharmacist
dancer,a,a,True,dancer,True,ac,False,0.9609375,0.71875,0.6953125,cashier,a,Someone who handles payments in stores is a cashier
actor,an,an,True,actor,True,performer,False,0.99609375,0.99609375,0.90625,sculptor,a,Someone who creates three-dimensional art is a sculptor
writer,a,a,True,writer,True,author,False,0.9765625,0.9765625,0.984375,salesperson,a,Someone who sells products or services is a salesperson
poet,a,a,True,poet,True,poet,True,0.94140625,0.96875,0.470703125,realtor,a,Someone who helps buy and sell property is a realtor
novelist,a,a,True,writer,False,author,False,0.92578125,0.52734375,0.9921875,florist,a,Someone who arranges and sells flowers is a florist
editor,an,a,False,editor,True,content,False,0.9375,0.99609375,0.193359375,receptionist,a,Someone who greets visitors and answers phones is a receptionist
translator,a,a,True,translator,True,translator,True,0.99609375,0.9921875,0.62890625,pediatrician,a,Someone who provides medical care to children is a pediatrician
bartender,a,a,True,bartender,True,bartender,True,0.99609375,0.8671875,0.89453125,mechanic,a,Someone who fixes cars and engines is a mechanic
waiter,a,a,True,waiter,True,...,False,0.9921875,0.34765625,0.26171875,dentist,a,Someone who treats teeth and gums is a dentist
barber,a,a,True,hair,False,hair,False,0.99609375,0.94140625,0.306640625,technician,a,Someone who maintains and repairs technical equipment is a technician
tailor,a,a,True,tailor,True,apparel,False,0.9921875,0.97265625,0.361328125,sociologist,a,Someone who studies social behavior and institutions is a sociologist
florist,a,a,True,flor,True,flor,True,0.984375,0.98828125,0.89453125,sculptor,a,Someone who creates three-dimensional art is a sculptor
jeweler,a,a,True,jew,True,artisan,False,0.99609375,0.26953125,0.51953125,pharmacist,a,Someone who dispenses medications is a pharmacist
watchmaker,a,a,True,watch,True,hor,False,0.99609375,0.8046875,0.765625,sociologist,a,Someone who studies social behavior and institutions is a sociologist
locksmith,a,a,True,lock,True,locksmith,True,0.9765625,0.73046875,0.353515625,plumber,a,Someone who fixes pipes and water systems is a plumber
welder,a,a,True,black,False,artisan,False,0.94921875,0.65234375,0.36328125,jeweler,a,Someone who makes or repairs jewelry is a jeweler
mason,a,a,True,m,True,m,True,0.984375,0.80078125,0.46875,linguist,a,Someone who studies languages and their structure is a linguist
roofer,a,a,True,ro,True,-,False,0.984375,0.87109375,0.392578125,trucker,a,Someone who drives large trucks for cargo transport is a trucker
painter,a,a,True,painter,True,artisan,False,0.95703125,0.95703125,0.48828125,retailer,a,Someone who sells goods directly to consumers is a retailer
gardener,a,a,True,gard,True,gard,True,0.96875,0.984375,0.4296875,tailor,a,Someone who makes or alters clothing is a tailor
farmer,a,a,True,farmer,True,farmer,True,0.625,0.984375,0.26953125,historian,a,Someone who studies and writes about past events is a historian
fisherman,a,a,True,fish,True,ang,False,0.98828125,1.0,0.95703125,florist,a,Someone who arranges and sells flowers is a florist
sailor,a,a,True,sailor,True,sailor,True,0.9765625,0.484375,0.1767578125,barber,a,Someone who cuts and styles hair is a barber
trucker,a,a,True,truck,True,,True,0.99609375,0.96875,0.1669921875,psychiatrist,a,Someone who treats mental health disorders is a psychiatrist
conductor,a,a,True,conductor,True,__,False,0.96875,1.0,0.18359375,meteorologist,a,Someone who studies weather patterns is a meteorologist
judge,a,a,True,judge,True,attorney,False,0.9921875,0.84375,0.5390625,wholesaler,a,Someone who sells goods in large quantities is a wholesaler
detective,a,a,True,detective,True,investigator,False,0.98828125,0.9453125,0.89453125,surgeon,a,Someone who performs operations on patients is a surgeon
paramedic,a,a,True,param,True,e,False,0.95703125,0.341796875,0.66796875,banker,a,Someone who works in financial institutions is a banker
dispatcher,a,a,True,first,False,emergency,False,0.93359375,0.11669921875,0.890625,retailer,a,Someone who sells goods directly to consumers is a retailer
counselor,a,a,True,counselor,True,counselor,True,0.99609375,0.99609375,0.6640625,psychologist,a,Someone who studies human behavior and mental processes is a psychologist
therapist,a,a,True,therapist,True,healer,False,0.99609375,0.61328125,0.126953125,coach,a,Someone who teaches and guides athletes is a coach
nutritionist,a,a,True,nutrition,True,nutrition,True,1.0,0.76171875,0.3046875,statistician,a,Someone who analyzes data and calculates probabilities is a statistician
trainer,a,a,True,personal,False,instructor,False,0.99609375,0.46484375,0.96484375,historian,a,Someone who studies and writes about past events is a historian
coach,a,a,True,coach,True,instructor,False,0.9921875,0.953125,0.396484375,trucker,a,Someone who drives large trucks for cargo transport is a trucker
referee,a,a,True,referee,True,official,False,0.95703125,0.87109375,0.83203125,jeweler,a,Someone who makes or repairs jewelry is a jeweler
cashier,a,a,True,cashier,True,cashier,True,0.9921875,0.79296875,0.478515625,meteorologist,a,Someone who studies weather patterns is a meteorologist
clerk,a,a,True,back,False,administrator,False,0.6328125,0.15234375,0.5390625,retailer,a,Someone who sells goods directly to consumers is a retailer
receptionist,a,a,True,reception,True,office,False,0.98046875,0.99609375,0.341796875,cashier,a,Someone who handles payments in stores is a cashier
secretary,a,a,True,secretary,True,administrator,False,0.51953125,0.384765625,0.58984375,geologist,a,Someone who studies rocks and earth formations is a geologist
manager,a,a,True,manager,True,operations,False,0.8203125,0.67578125,0.6328125,novelist,a,Someone who writes novels is a novelist
supervisor,a,a,True,manager,False,overse,False,0.97265625,0.451171875,0.447265625,photographer,a,Someone who takes professional pictures is a photographer
consultant,a,a,True,consultant,True,advisor,False,0.78515625,0.9140625,0.609375,sociologist,a,Someone who studies social behavior and institutions is a sociologist
analyst,an,a,False,analyst,True,data,False,0.9296875,0.96875,0.9140625,pilot,a,Someone who flies airplanes is a pilot
auditor,an,an,True,accountant,False,book,False,0.671875,0.98046875,0.275390625,poet,a,Someone who writes poetry is a poet
banker,a,a,True,financial,False,accountant,False,0.97265625,0.39453125,0.40625,welder,a,Someone who joins metal pieces using heat is a welder
broker,a,a,True,financial,False,accountant,False,0.97265625,0.33203125,0.671875,meteorologist,a,Someone who studies weather patterns is a meteorologist
realtor,a,a,True,real,True,agent,False,0.98046875,0.9296875,0.953125,mechanic,a,Someone who fixes cars and engines is a mechanic
auctioneer,an,an,True,auction,True,...,False,0.7265625,0.99609375,0.291015625,radiologist,a,Someone who interprets medical images is a radiologist
salesperson,a,a,True,sales,True,employee,False,0.99609375,0.5859375,0.37109375,clerk,a,Someone who performs administrative tasks is a clerk
retailer,a,a,True,...,False,entrepreneur,False,0.99609375,0.1455078125,0.765625,poet,a,Someone who writes poetry is a poet
wholesaler,a,a,True,merchant,False,entrepreneur,False,0.9921875,0.96875,0.306640625,radiologist,a,Someone who interprets medical images is a radiologist
inventor,an,an,True,inventor,True,(n,False,0.9921875,0.64453125,0.38671875,wholesaler,a,Someone who sells goods in large quantities is a wholesaler
programmer,a,a,True,programmer,True,engineer,False,0.98828125,0.97265625,0.255859375,paramedic,a,Someone who provides emergency medical care is a paramedic
technician,a,a,True,technician,True,engineer,False,0.8125,0.96484375,0.703125,locksmith,a,Someone who makes and repairs locks is a locksmith
operator,an,a,False,operator,True,manufacturer,False,0.72265625,0.7109375,0.462890625,retailer,a,Someone who sells goods directly to consumers is a retailer
inspector,an,a,False,inspector,True,quality,False,0.83984375,1.0,0.37109375,sailor,a,Someone who works on ships is a sailor
examiner,an,an,True,ass,False,critic,False,0.54296875,0.765625,0.84765625,biologist,a,Someone who studies living organisms is a biologist
