Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,IC_Index,Prob_Article,Prob_Profession
welder,a,a,True,weld,True,79,1.0,0.99609375
mason,a,a,True,**,False,46,1.0,0.80078125
roofer,a,a,True,ro,True,73,1.0,1.0
painter,a,a,True,painter,True,24,1.0,1.0
gardener,a,a,True,gard,True,90,1.0,0.99609375
farmer,a,a,True,farmer,True,8,1.0,1.0
fisherman,a,a,True,fish,True,5,1.0,1.0
sailor,a,a,True,sailor,True,84,1.0,0.98046875
trucker,a,a,True,truck,True,29,1.0,1.0
conductor,a,a,True,conductor,True,98,1.0,1.0
judge,a,a,True,judge,True,37,1.0,1.0
detective,a,a,True,detective,True,10,1.0,1.0
paramedic,a,an,False,param,True,29,1.0,0.890625
dispatcher,a,a,True,**,False,12,0.90625,0.92578125
counselor,a,a,True,mentor,False,48,1.0,1.0
therapist,a,a,True,physician,False,35,1.0,0.9453125
nutritionist,a,a,True,diet,False,58,1.0,0.859375
trainer,a,a,True,coach,False,81,1.0,0.76953125
coach,a,a,True,coach,True,106,1.0,1.0
referee,a,a,True,referee,True,46,1.0,1.0
cashier,a,a,True,cashier,True,20,1.0,1.0
clerk,a,an,False,bureauc,False,47,1.0,0.921875
receptionist,a,a,True,reception,True,45,1.0,1.0
secretary,a,an,False,secretary,True,26,1.0,0.81640625
manager,a,a,True,manager,True,85,1.0,1.0
supervisor,a,a,True,manager,False,34,1.0,0.9921875
consultant,a,a,True,consultant,True,89,0.90625,1.0
analyst,an,an,True,analyst,True,87,1.0,1.0
auditor,an,an,True,accountant,False,82,1.0,0.9765625
banker,a,a,True,banker,True,9,1.0,0.99609375
broker,a,a,True,banker,False,77,1.0,0.99609375
realtor,a,a,True,real,True,81,1.0,1.0
auctioneer,an,an,True,auction,True,21,1.0,1.0
salesperson,a,a,True,sales,True,68,1.0,0.921875
retailer,a,a,True,retailer,True,93,1.0,0.984375
wholesaler,a,a,True,wholes,True,31,1.0,0.99609375
inventor,an,an,True,inventor,True,20,1.0,0.98828125
programmer,a,a,True,programmer,True,59,1.0,1.0
technician,a,a,True,technician,True,48,1.0,1.0
operator,an,an,True,operator,True,34,1.0,0.9921875
inspector,an,an,True,inspector,True,81,1.0,0.99609375
examiner,an,an,True,ass,False,88,0.90625,0.47265625
