prompt,animal,original,subtracted,number,answer
"At first there were 5 dogs. Then, 4 went away. Now, there",dogs,5,4,1,is
"At first there were 6 dogs. Then, 1 went away. Now, there",dogs,6,1,5,are
"At first there were 6 dogs. Then, 2 went away. Now, there",dogs,6,2,4,are
"At first there were 6 dogs. Then, 3 went away. Now, there",dogs,6,3,3,are
"At first there were 6 dogs. Then, 4 went away. Now, there",dogs,6,4,2,are
"At first there were 6 dogs. Then, 5 went away. Now, there",dogs,6,5,1,is
"At first there were 7 dogs. Then, 1 went away. Now, there",dogs,7,1,6,are
"At first there were 7 dogs. Then, 2 went away. Now, there",dogs,7,2,5,are
"At first there were 7 dogs. Then, 3 went away. Now, there",dogs,7,3,4,are
"At first there were 7 dogs. Then, 4 went away. Now, there",dogs,7,4,3,are
"At first there were 7 dogs. Then, 5 went away. Now, there",dogs,7,5,2,are
"At first there were 7 dogs. Then, 6 went away. Now, there",dogs,7,6,1,is
"At first there were 8 dogs. Then, 1 went away. Now, there",dogs,8,1,7,are
"At first there were 8 dogs. Then, 2 went away. Now, there",dogs,8,2,6,are
"At first there were 8 dogs. Then, 3 went away. Now, there",dogs,8,3,5,are
"At first there were 8 dogs. Then, 4 went away. Now, there",dogs,8,4,4,are
"At first there were 8 dogs. Then, 5 went away. Now, there",dogs,8,5,3,are
"At first there were 8 dogs. Then, 6 went away. Now, there",dogs,8,6,2,are
"At first there were 8 dogs. Then, 7 went away. Now, there",dogs,8,7,1,is
"At first there were 9 dogs. Then, 1 went away. Now, there",dogs,9,1,8,are
"At first there were 9 dogs. Then, 2 went away. Now, there",dogs,9,2,7,are
"At first there were 9 dogs. Then, 3 went away. Now, there",dogs,9,3,6,are
"At first there were 9 dogs. Then, 4 went away. Now, there",dogs,9,4,5,are
"At first there were 9 dogs. Then, 5 went away. Now, there",dogs,9,5,4,are
"At first there were 9 dogs. Then, 6 went away. Now, there",dogs,9,6,3,are
"At first there were 9 dogs. Then, 7 went away. Now, there",dogs,9,7,2,are
"At first there were 9 dogs. Then, 8 went away. Now, there",dogs,9,8,1,is
"At first there were 2 rabbits. Then, 1 went away. Now, there",rabbits,2,1,1,is
"At first there were 3 rabbits. Then, 1 went away. Now, there",rabbits,3,1,2,are
"At first there were 3 rabbits. Then, 2 went away. Now, there",rabbits,3,2,1,is
"At first there were 4 rabbits. Then, 1 went away. Now, there",rabbits,4,1,3,are
"At first there were 4 rabbits. Then, 2 went away. Now, there",rabbits,4,2,2,are
"At first there were 4 rabbits. Then, 3 went away. Now, there",rabbits,4,3,1,is
"At first there were 5 rabbits. Then, 1 went away. Now, there",rabbits,5,1,4,are
"At first there were 5 rabbits. Then, 2 went away. Now, there",rabbits,5,2,3,are
"At first there were 5 rabbits. Then, 3 went away. Now, there",rabbits,5,3,2,are
"At first there were 5 rabbits. Then, 4 went away. Now, there",rabbits,5,4,1,is
"At first there were 6 rabbits. Then, 1 went away. Now, there",rabbits,6,1,5,are
"At first there were 6 rabbits. Then, 2 went away. Now, there",rabbits,6,2,4,are
"At first there were 6 rabbits. Then, 3 went away. Now, there",rabbits,6,3,3,are
"At first there were 6 rabbits. Then, 4 went away. Now, there",rabbits,6,4,2,are
"At first there were 6 rabbits. Then, 5 went away. Now, there",rabbits,6,5,1,is
"At first there were 7 rabbits. Then, 1 went away. Now, there",rabbits,7,1,6,are
"At first there were 7 rabbits. Then, 2 went away. Now, there",rabbits,7,2,5,are
"At first there were 7 rabbits. Then, 3 went away. Now, there",rabbits,7,3,4,are
"At first there were 7 rabbits. Then, 4 went away. Now, there",rabbits,7,4,3,are
"At first there were 7 rabbits. Then, 5 went away. Now, there",rabbits,7,5,2,are
"At first there were 7 rabbits. Then, 6 went away. Now, there",rabbits,7,6,1,is
"At first there were 8 rabbits. Then, 1 went away. Now, there",rabbits,8,1,7,are
"At first there were 8 rabbits. Then, 2 went away. Now, there",rabbits,8,2,6,are
"At first there were 8 rabbits. Then, 3 went away. Now, there",rabbits,8,3,5,are
"At first there were 8 rabbits. Then, 4 went away. Now, there",rabbits,8,4,4,are
"At first there were 8 rabbits. Then, 5 went away. Now, there",rabbits,8,5,3,are
"At first there were 8 rabbits. Then, 6 went away. Now, there",rabbits,8,6,2,are
"At first there were 8 rabbits. Then, 7 went away. Now, there",rabbits,8,7,1,is
"At first there were 9 rabbits. Then, 1 went away. Now, there",rabbits,9,1,8,are
"At first there were 9 rabbits. Then, 2 went away. Now, there",rabbits,9,2,7,are
"At first there were 9 rabbits. Then, 3 went away. Now, there",rabbits,9,3,6,are
"At first there were 9 rabbits. Then, 4 went away. Now, there",rabbits,9,4,5,are
"At first there were 9 rabbits. Then, 5 went away. Now, there",rabbits,9,5,4,are
"At first there were 9 rabbits. Then, 6 went away. Now, there",rabbits,9,6,3,are
"At first there were 9 rabbits. Then, 7 went away. Now, there",rabbits,9,7,2,are
"At first there were 9 rabbits. Then, 8 went away. Now, there",rabbits,9,8,1,is
"At first there were 2 elephants. Then, 1 went away. Now, there",elephants,2,1,1,is
"At first there were 3 elephants. Then, 1 went away. Now, there",elephants,3,1,2,are
"At first there were 3 elephants. Then, 2 went away. Now, there",elephants,3,2,1,is
"At first there were 4 elephants. Then, 1 went away. Now, there",elephants,4,1,3,are
"At first there were 4 elephants. Then, 2 went away. Now, there",elephants,4,2,2,are
"At first there were 4 elephants. Then, 3 went away. Now, there",elephants,4,3,1,is
"At first there were 5 elephants. Then, 1 went away. Now, there",elephants,5,1,4,are
"At first there were 5 elephants. Then, 2 went away. Now, there",elephants,5,2,3,are
"At first there were 5 elephants. Then, 3 went away. Now, there",elephants,5,3,2,are
"At first there were 5 elephants. Then, 4 went away. Now, there",elephants,5,4,1,is
"At first there were 6 elephants. Then, 1 went away. Now, there",elephants,6,1,5,are
"At first there were 6 elephants. Then, 2 went away. Now, there",elephants,6,2,4,are
"At first there were 6 elephants. Then, 3 went away. Now, there",elephants,6,3,3,are
"At first there were 6 elephants. Then, 4 went away. Now, there",elephants,6,4,2,are
"At first there were 6 elephants. Then, 5 went away. Now, there",elephants,6,5,1,is
"At first there were 7 elephants. Then, 1 went away. Now, there",elephants,7,1,6,are
"At first there were 7 elephants. Then, 2 went away. Now, there",elephants,7,2,5,are
"At first there were 7 elephants. Then, 3 went away. Now, there",elephants,7,3,4,are
"At first there were 7 elephants. Then, 4 went away. Now, there",elephants,7,4,3,are
"At first there were 7 elephants. Then, 5 went away. Now, there",elephants,7,5,2,are
"At first there were 7 elephants. Then, 6 went away. Now, there",elephants,7,6,1,is
"At first there were 8 elephants. Then, 1 went away. Now, there",elephants,8,1,7,are
"At first there were 8 elephants. Then, 2 went away. Now, there",elephants,8,2,6,are
"At first there were 8 elephants. Then, 3 went away. Now, there",elephants,8,3,5,are
"At first there were 8 elephants. Then, 4 went away. Now, there",elephants,8,4,4,are
"At first there were 8 elephants. Then, 5 went away. Now, there",elephants,8,5,3,are
"At first there were 8 elephants. Then, 6 went away. Now, there",elephants,8,6,2,are
"At first there were 8 elephants. Then, 7 went away. Now, there",elephants,8,7,1,is
"At first there were 9 elephants. Then, 1 went away. Now, there",elephants,9,1,8,are
"At first there were 9 elephants. Then, 2 went away. Now, there",elephants,9,2,7,are
"At first there were 9 elephants. Then, 3 went away. Now, there",elephants,9,3,6,are
"At first there were 9 elephants. Then, 4 went away. Now, there",elephants,9,4,5,are
"At first there were 9 elephants. Then, 5 went away. Now, there",elephants,9,5,4,are
"At first there were 9 elephants. Then, 6 went away. Now, there",elephants,9,6,3,are
"At first there were 9 elephants. Then, 7 went away. Now, there",elephants,9,7,2,are
"At first there were 9 elephants. Then, 8 went away. Now, there",elephants,9,8,1,is
"At first there were 2 lions. Then, 1 went away. Now, there",lions,2,1,1,is
"At first there were 3 lions. Then, 1 went away. Now, there",lions,3,1,2,are
"At first there were 3 lions. Then, 2 went away. Now, there",lions,3,2,1,is
"At first there were 4 lions. Then, 1 went away. Now, there",lions,4,1,3,are
"At first there were 4 lions. Then, 2 went away. Now, there",lions,4,2,2,are
"At first there were 4 lions. Then, 3 went away. Now, there",lions,4,3,1,is
"At first there were 5 lions. Then, 1 went away. Now, there",lions,5,1,4,are
"At first there were 5 lions. Then, 2 went away. Now, there",lions,5,2,3,are
"At first there were 5 lions. Then, 3 went away. Now, there",lions,5,3,2,are
"At first there were 5 lions. Then, 4 went away. Now, there",lions,5,4,1,is
"At first there were 6 lions. Then, 1 went away. Now, there",lions,6,1,5,are
"At first there were 6 lions. Then, 2 went away. Now, there",lions,6,2,4,are
"At first there were 6 lions. Then, 3 went away. Now, there",lions,6,3,3,are
"At first there were 6 lions. Then, 4 went away. Now, there",lions,6,4,2,are
"At first there were 6 lions. Then, 5 went away. Now, there",lions,6,5,1,is
"At first there were 7 lions. Then, 1 went away. Now, there",lions,7,1,6,are
"At first there were 7 lions. Then, 2 went away. Now, there",lions,7,2,5,are
"At first there were 7 lions. Then, 3 went away. Now, there",lions,7,3,4,are
"At first there were 7 lions. Then, 4 went away. Now, there",lions,7,4,3,are
"At first there were 7 lions. Then, 5 went away. Now, there",lions,7,5,2,are
"At first there were 7 lions. Then, 6 went away. Now, there",lions,7,6,1,is
"At first there were 8 lions. Then, 1 went away. Now, there",lions,8,1,7,are
"At first there were 8 lions. Then, 2 went away. Now, there",lions,8,2,6,are
"At first there were 8 lions. Then, 3 went away. Now, there",lions,8,3,5,are
"At first there were 8 lions. Then, 4 went away. Now, there",lions,8,4,4,are
"At first there were 8 lions. Then, 5 went away. Now, there",lions,8,5,3,are
"At first there were 8 lions. Then, 6 went away. Now, there",lions,8,6,2,are
"At first there were 8 lions. Then, 7 went away. Now, there",lions,8,7,1,is
"At first there were 9 lions. Then, 1 went away. Now, there",lions,9,1,8,are
"At first there were 9 lions. Then, 2 went away. Now, there",lions,9,2,7,are
"At first there were 9 lions. Then, 3 went away. Now, there",lions,9,3,6,are
"At first there were 9 lions. Then, 4 went away. Now, there",lions,9,4,5,are
"At first there were 9 lions. Then, 5 went away. Now, there",lions,9,5,4,are
"At first there were 9 lions. Then, 6 went away. Now, there",lions,9,6,3,are
"At first there were 9 lions. Then, 7 went away. Now, there",lions,9,7,2,are
"At first there were 9 lions. Then, 8 went away. Now, there",lions,9,8,1,is
"At first there were 2 tigers. Then, 1 went away. Now, there",tigers,2,1,1,is
"At first there were 3 tigers. Then, 1 went away. Now, there",tigers,3,1,2,are
"At first there were 3 tigers. Then, 2 went away. Now, there",tigers,3,2,1,is
"At first there were 4 tigers. Then, 1 went away. Now, there",tigers,4,1,3,are
"At first there were 4 tigers. Then, 2 went away. Now, there",tigers,4,2,2,are
"At first there were 4 tigers. Then, 3 went away. Now, there",tigers,4,3,1,is
"At first there were 5 tigers. Then, 1 went away. Now, there",tigers,5,1,4,are
"At first there were 5 tigers. Then, 2 went away. Now, there",tigers,5,2,3,are
"At first there were 5 tigers. Then, 3 went away. Now, there",tigers,5,3,2,are
"At first there were 5 tigers. Then, 4 went away. Now, there",tigers,5,4,1,is
"At first there were 6 tigers. Then, 1 went away. Now, there",tigers,6,1,5,are
"At first there were 6 tigers. Then, 2 went away. Now, there",tigers,6,2,4,are
"At first there were 6 tigers. Then, 3 went away. Now, there",tigers,6,3,3,are
"At first there were 6 tigers. Then, 4 went away. Now, there",tigers,6,4,2,are
"At first there were 6 tigers. Then, 5 went away. Now, there",tigers,6,5,1,is
"At first there were 7 tigers. Then, 1 went away. Now, there",tigers,7,1,6,are
"At first there were 7 tigers. Then, 2 went away. Now, there",tigers,7,2,5,are
"At first there were 7 tigers. Then, 3 went away. Now, there",tigers,7,3,4,are
"At first there were 7 tigers. Then, 4 went away. Now, there",tigers,7,4,3,are
"At first there were 7 tigers. Then, 5 went away. Now, there",tigers,7,5,2,are
"At first there were 7 tigers. Then, 6 went away. Now, there",tigers,7,6,1,is
"At first there were 8 tigers. Then, 1 went away. Now, there",tigers,8,1,7,are
"At first there were 8 tigers. Then, 2 went away. Now, there",tigers,8,2,6,are
"At first there were 8 tigers. Then, 3 went away. Now, there",tigers,8,3,5,are
"At first there were 8 tigers. Then, 4 went away. Now, there",tigers,8,4,4,are
"At first there were 8 tigers. Then, 5 went away. Now, there",tigers,8,5,3,are
"At first there were 8 tigers. Then, 6 went away. Now, there",tigers,8,6,2,are
"At first there were 8 tigers. Then, 7 went away. Now, there",tigers,8,7,1,is
"At first there were 9 tigers. Then, 1 went away. Now, there",tigers,9,1,8,are
"At first there were 9 tigers. Then, 2 went away. Now, there",tigers,9,2,7,are
"At first there were 9 tigers. Then, 3 went away. Now, there",tigers,9,3,6,are
"At first there were 9 tigers. Then, 4 went away. Now, there",tigers,9,4,5,are
"At first there were 9 tigers. Then, 5 went away. Now, there",tigers,9,5,4,are
"At first there were 9 tigers. Then, 6 went away. Now, there",tigers,9,6,3,are
"At first there were 9 tigers. Then, 7 went away. Now, there",tigers,9,7,2,are
"At first there were 9 tigers. Then, 8 went away. Now, there",tigers,9,8,1,is
"At first there were 2 giraffes. Then, 1 went away. Now, there",giraffes,2,1,1,is
"At first there were 3 giraffes. Then, 1 went away. Now, there",giraffes,3,1,2,are
"At first there were 3 giraffes. Then, 2 went away. Now, there",giraffes,3,2,1,is
"At first there were 4 giraffes. Then, 1 went away. Now, there",giraffes,4,1,3,are
"At first there were 4 giraffes. Then, 2 went away. Now, there",giraffes,4,2,2,are
"At first there were 4 giraffes. Then, 3 went away. Now, there",giraffes,4,3,1,is
"At first there were 5 giraffes. Then, 1 went away. Now, there",giraffes,5,1,4,are
"At first there were 5 giraffes. Then, 2 went away. Now, there",giraffes,5,2,3,are
"At first there were 5 giraffes. Then, 3 went away. Now, there",giraffes,5,3,2,are
"At first there were 5 giraffes. Then, 4 went away. Now, there",giraffes,5,4,1,is
"At first there were 6 giraffes. Then, 1 went away. Now, there",giraffes,6,1,5,are
"At first there were 6 giraffes. Then, 2 went away. Now, there",giraffes,6,2,4,are
"At first there were 6 giraffes. Then, 3 went away. Now, there",giraffes,6,3,3,are
"At first there were 6 giraffes. Then, 4 went away. Now, there",giraffes,6,4,2,are
"At first there were 6 giraffes. Then, 5 went away. Now, there",giraffes,6,5,1,is
"At first there were 7 giraffes. Then, 1 went away. Now, there",giraffes,7,1,6,are
"At first there were 7 giraffes. Then, 2 went away. Now, there",giraffes,7,2,5,are
"At first there were 7 giraffes. Then, 3 went away. Now, there",giraffes,7,3,4,are
"At first there were 7 giraffes. Then, 4 went away. Now, there",giraffes,7,4,3,are
"At first there were 7 giraffes. Then, 5 went away. Now, there",giraffes,7,5,2,are
"At first there were 7 giraffes. Then, 6 went away. Now, there",giraffes,7,6,1,is
"At first there were 8 giraffes. Then, 1 went away. Now, there",giraffes,8,1,7,are
"At first there were 8 giraffes. Then, 2 went away. Now, there",giraffes,8,2,6,are
"At first there were 8 giraffes. Then, 3 went away. Now, there",giraffes,8,3,5,are
"At first there were 8 giraffes. Then, 4 went away. Now, there",giraffes,8,4,4,are
"At first there were 8 giraffes. Then, 5 went away. Now, there",giraffes,8,5,3,are
"At first there were 8 giraffes. Then, 6 went away. Now, there",giraffes,8,6,2,are
"At first there were 8 giraffes. Then, 7 went away. Now, there",giraffes,8,7,1,is
"At first there were 9 giraffes. Then, 1 went away. Now, there",giraffes,9,1,8,are
"At first there were 9 giraffes. Then, 2 went away. Now, there",giraffes,9,2,7,are
"At first there were 9 giraffes. Then, 3 went away. Now, there",giraffes,9,3,6,are
"At first there were 9 giraffes. Then, 4 went away. Now, there",giraffes,9,4,5,are
"At first there were 9 giraffes. Then, 5 went away. Now, there",giraffes,9,5,4,are
"At first there were 9 giraffes. Then, 6 went away. Now, there",giraffes,9,6,3,are
"At first there were 9 giraffes. Then, 7 went away. Now, there",giraffes,9,7,2,are
"At first there were 9 giraffes. Then, 8 went away. Now, there",giraffes,9,8,1,is
"At first there were 2 cows. Then, 1 went away. Now, there",cows,2,1,1,is
"At first there were 3 cows. Then, 1 went away. Now, there",cows,3,1,2,are
"At first there were 3 cows. Then, 2 went away. Now, there",cows,3,2,1,is
"At first there were 4 cows. Then, 1 went away. Now, there",cows,4,1,3,are
"At first there were 4 cows. Then, 2 went away. Now, there",cows,4,2,2,are
"At first there were 4 cows. Then, 3 went away. Now, there",cows,4,3,1,is
"At first there were 5 cows. Then, 1 went away. Now, there",cows,5,1,4,are
"At first there were 5 cows. Then, 2 went away. Now, there",cows,5,2,3,are
"At first there were 5 cows. Then, 3 went away. Now, there",cows,5,3,2,are
"At first there were 5 cows. Then, 4 went away. Now, there",cows,5,4,1,is
"At first there were 6 cows. Then, 1 went away. Now, there",cows,6,1,5,are
"At first there were 6 cows. Then, 2 went away. Now, there",cows,6,2,4,are
"At first there were 6 cows. Then, 3 went away. Now, there",cows,6,3,3,are
"At first there were 6 cows. Then, 4 went away. Now, there",cows,6,4,2,are
"At first there were 6 cows. Then, 5 went away. Now, there",cows,6,5,1,is
"At first there were 7 cows. Then, 1 went away. Now, there",cows,7,1,6,are
"At first there were 7 cows. Then, 2 went away. Now, there",cows,7,2,5,are
"At first there were 7 cows. Then, 3 went away. Now, there",cows,7,3,4,are
"At first there were 7 cows. Then, 4 went away. Now, there",cows,7,4,3,are
"At first there were 7 cows. Then, 5 went away. Now, there",cows,7,5,2,are
"At first there were 7 cows. Then, 6 went away. Now, there",cows,7,6,1,is
"At first there were 8 cows. Then, 1 went away. Now, there",cows,8,1,7,are
"At first there were 8 cows. Then, 2 went away. Now, there",cows,8,2,6,are
"At first there were 8 cows. Then, 3 went away. Now, there",cows,8,3,5,are
"At first there were 8 cows. Then, 4 went away. Now, there",cows,8,4,4,are
"At first there were 8 cows. Then, 5 went away. Now, there",cows,8,5,3,are
"At first there were 8 cows. Then, 6 went away. Now, there",cows,8,6,2,are
"At first there were 8 cows. Then, 7 went away. Now, there",cows,8,7,1,is
"At first there were 9 cows. Then, 1 went away. Now, there",cows,9,1,8,are
"At first there were 9 cows. Then, 2 went away. Now, there",cows,9,2,7,are
"At first there were 9 cows. Then, 3 went away. Now, there",cows,9,3,6,are
"At first there were 9 cows. Then, 4 went away. Now, there",cows,9,4,5,are
"At first there were 9 cows. Then, 5 went away. Now, there",cows,9,5,4,are
"At first there were 9 cows. Then, 6 went away. Now, there",cows,9,6,3,are
"At first there were 9 cows. Then, 7 went away. Now, there",cows,9,7,2,are
"At first there were 9 cows. Then, 8 went away. Now, there",cows,9,8,1,is
"At first there were 2 horses. Then, 1 went away. Now, there",horses,2,1,1,is
"At first there were 3 horses. Then, 1 went away. Now, there",horses,3,1,2,are
"At first there were 3 horses. Then, 2 went away. Now, there",horses,3,2,1,is
"At first there were 4 horses. Then, 1 went away. Now, there",horses,4,1,3,are
"At first there were 4 horses. Then, 2 went away. Now, there",horses,4,2,2,are
"At first there were 4 horses. Then, 3 went away. Now, there",horses,4,3,1,is
"At first there were 5 horses. Then, 1 went away. Now, there",horses,5,1,4,are
"At first there were 5 horses. Then, 2 went away. Now, there",horses,5,2,3,are
"At first there were 5 horses. Then, 3 went away. Now, there",horses,5,3,2,are
"At first there were 5 horses. Then, 4 went away. Now, there",horses,5,4,1,is
"At first there were 6 horses. Then, 1 went away. Now, there",horses,6,1,5,are
"At first there were 6 horses. Then, 2 went away. Now, there",horses,6,2,4,are
"At first there were 6 horses. Then, 3 went away. Now, there",horses,6,3,3,are
"At first there were 6 horses. Then, 4 went away. Now, there",horses,6,4,2,are
"At first there were 6 horses. Then, 5 went away. Now, there",horses,6,5,1,is
"At first there were 7 horses. Then, 1 went away. Now, there",horses,7,1,6,are
"At first there were 7 horses. Then, 2 went away. Now, there",horses,7,2,5,are
"At first there were 7 horses. Then, 3 went away. Now, there",horses,7,3,4,are
"At first there were 7 horses. Then, 4 went away. Now, there",horses,7,4,3,are
"At first there were 7 horses. Then, 5 went away. Now, there",horses,7,5,2,are
"At first there were 7 horses. Then, 6 went away. Now, there",horses,7,6,1,is
"At first there were 8 horses. Then, 1 went away. Now, there",horses,8,1,7,are
"At first there were 8 horses. Then, 2 went away. Now, there",horses,8,2,6,are
"At first there were 8 horses. Then, 3 went away. Now, there",horses,8,3,5,are
"At first there were 8 horses. Then, 4 went away. Now, there",horses,8,4,4,are
"At first there were 8 horses. Then, 5 went away. Now, there",horses,8,5,3,are
"At first there were 8 horses. Then, 6 went away. Now, there",horses,8,6,2,are
"At first there were 8 horses. Then, 7 went away. Now, there",horses,8,7,1,is
"At first there were 9 horses. Then, 1 went away. Now, there",horses,9,1,8,are
"At first there were 9 horses. Then, 2 went away. Now, there",horses,9,2,7,are
"At first there were 9 horses. Then, 3 went away. Now, there",horses,9,3,6,are
"At first there were 9 horses. Then, 4 went away. Now, there",horses,9,4,5,are
"At first there were 9 horses. Then, 5 went away. Now, there",horses,9,5,4,are
"At first there were 9 horses. Then, 6 went away. Now, there",horses,9,6,3,are
"At first there were 9 horses. Then, 7 went away. Now, there",horses,9,7,2,are
"At first there were 9 horses. Then, 8 went away. Now, there",horses,9,8,1,is
"At first there were 2 sheep. Then, 1 went away. Now, there",sheep,2,1,1,is
"At first there were 3 sheep. Then, 1 went away. Now, there",sheep,3,1,2,are
"At first there were 3 sheep. Then, 2 went away. Now, there",sheep,3,2,1,is
"At first there were 4 sheep. Then, 1 went away. Now, there",sheep,4,1,3,are
"At first there were 4 sheep. Then, 2 went away. Now, there",sheep,4,2,2,are
"At first there were 4 sheep. Then, 3 went away. Now, there",sheep,4,3,1,is
"At first there were 5 sheep. Then, 1 went away. Now, there",sheep,5,1,4,are
"At first there were 5 sheep. Then, 2 went away. Now, there",sheep,5,2,3,are
"At first there were 5 sheep. Then, 3 went away. Now, there",sheep,5,3,2,are
"At first there were 5 sheep. Then, 4 went away. Now, there",sheep,5,4,1,is
"At first there were 6 sheep. Then, 1 went away. Now, there",sheep,6,1,5,are
"At first there were 6 sheep. Then, 2 went away. Now, there",sheep,6,2,4,are
"At first there were 6 sheep. Then, 3 went away. Now, there",sheep,6,3,3,are
"At first there were 6 sheep. Then, 4 went away. Now, there",sheep,6,4,2,are
"At first there were 6 sheep. Then, 5 went away. Now, there",sheep,6,5,1,is
"At first there were 7 sheep. Then, 1 went away. Now, there",sheep,7,1,6,are
"At first there were 7 sheep. Then, 2 went away. Now, there",sheep,7,2,5,are
"At first there were 7 sheep. Then, 3 went away. Now, there",sheep,7,3,4,are
"At first there were 7 sheep. Then, 4 went away. Now, there",sheep,7,4,3,are
"At first there were 7 sheep. Then, 5 went away. Now, there",sheep,7,5,2,are
"At first there were 7 sheep. Then, 6 went away. Now, there",sheep,7,6,1,is
"At first there were 8 sheep. Then, 1 went away. Now, there",sheep,8,1,7,are
"At first there were 8 sheep. Then, 2 went away. Now, there",sheep,8,2,6,are
"At first there were 8 sheep. Then, 3 went away. Now, there",sheep,8,3,5,are
"At first there were 8 sheep. Then, 4 went away. Now, there",sheep,8,4,4,are
"At first there were 8 sheep. Then, 5 went away. Now, there",sheep,8,5,3,are
"At first there were 8 sheep. Then, 6 went away. Now, there",sheep,8,6,2,are
"At first there were 8 sheep. Then, 7 went away. Now, there",sheep,8,7,1,is
"At first there were 9 sheep. Then, 1 went away. Now, there",sheep,9,1,8,are
"At first there were 9 sheep. Then, 2 went away. Now, there",sheep,9,2,7,are
"At first there were 9 sheep. Then, 3 went away. Now, there",sheep,9,3,6,are
"At first there were 9 sheep. Then, 4 went away. Now, there",sheep,9,4,5,are
"At first there were 9 sheep. Then, 5 went away. Now, there",sheep,9,5,4,are
"At first there were 9 sheep. Then, 6 went away. Now, there",sheep,9,6,3,are
"At first there were 9 sheep. Then, 7 went away. Now, there",sheep,9,7,2,are
"At first there were 9 sheep. Then, 8 went away. Now, there",sheep,9,8,1,is
