Spanish_Noun,English_Noun,Article,Predicted_Article,Article_Correct,Predicted_Noun,Noun_Correct,Predicted_Noun_Wrong_Article,Noun_Wrong_Article_Correct,Prob_Article,Prob_Noun,Prob_Noun_Wrong_Article,IC_Spanish_Noun,IC_English_Noun,IC_Article,IC_Description,Description
galleta,cookie,la,el,False,m,False,pan,False,0.498046875,0.1708984375,0.8984375,dentista,dentist,el,El doctor que cuida y arregla los dientes es el dentista,El doctor que cuida y arregla los dientes es el dentista. El dulce crujiente que horneas en la cocina es
cangrejo de río,crawfish,el,el,True,mej,False,lang,False,0.8046875,0.158203125,0.93359375,leopardo,leopard,el,El felino manchado que caza en África y Asia es el leopardo,El felino manchado que caza en África y Asia es el leopardo. El crustáceo pequeño de agua dulce que parece langosta es
taza,cup,la,el,False,t,True,t,True,0.76171875,0.97265625,0.52734375,soplete,blowtorch,el,La herramienta que produce llama muy caliente es el soplete,La herramienta que produce llama muy caliente es el soplete. El recipiente pequeño donde bebes café o té es
magdalena,cupcake,la,un,False,parte,False,que,False,0.287109375,0.2373046875,0.40625,garganta,throat,la,La parte interna del cuello por donde pasa comida es la garganta,La parte interna del cuello por donde pasa comida es la garganta. El pastelito individual con betún encima es
margarita,daisy,la,el,False,marg,True,al,False,0.5859375,0.1279296875,0.1669921875,berenjena,eggplant,la,La verdura morada grande y brillante es la berenjena,La verdura morada grande y brillante es la berenjena. La flor blanca con centro amarillo muy común es
diente de león,dandelion,el,el,True,a,False,c,False,0.88671875,0.06005859375,0.076171875,tulipán,tulip,el,La flor de colores vivos que florece en primavera es el tulipán,La flor de colores vivos que florece en primavera es el tulipán. La flor amarilla silvestre que se convierte en pelusa es
desodorante,deodorant,el,el,True,perfume,False,des,True,0.546875,0.169921875,0.28125,hoja,leaf,la,La parte verde y plana que crece en las ramas es la hoja,La parte verde y plana que crece en las ramas es la hoja. El producto que te aplicas para no oler mal es
perro,dog,el,un,False,per,True,per,True,0.478515625,0.9921875,0.65234375,edredón,quilt,el,La manta gruesa y decorativa que cubre la cama es el edredón,La manta gruesa y decorativa que cubre la cama es el edredón. El animal doméstico fiel que ladra y mueve la cola es
muñeca,doll,la,un,False,persona,False,jug,False,0.47265625,0.265625,0.1923828125,diploma,diploma,el,El documento que recibes al graduarte es el diploma,El documento que recibes al graduarte es el diploma. El juguete con forma de persona que usan los niños es
burro,donkey,el,el,True,cab,False,cab,False,0.9375,0.400390625,0.3046875,caballete,easel,el,El soporte de madera donde los pintores ponen lienzos es el caballete,El soporte de madera donde los pintores ponen lienzos es el caballete. El animal gris parecido al caballo pero más pequeño es
umbral,doorstep,el,el,True,p,False,pu,False,0.53125,0.0966796875,0.455078125,pestaña,eyelash,la,El pelo pequeño que crece en el borde del párpado es la pestaña,El pelo pequeño que crece en el borde del párpado es la pestaña. El escalón de entrada en la puerta de la casa es
recogedor,dustpan,el,un,False,cep,False,esc,False,0.42578125,0.41796875,0.5546875,águila,eagle,el,El ave rapaz grande con vista muy aguda es el águila,El ave rapaz grande con vista muy aguda es el águila. El utensilio plano que usas con la escoba para recoger basura es
águila,eagle,el,el,True,p,False,pal,False,0.81640625,0.28515625,0.30078125,gusano,maggot,el,La larva blanca que sale en la carne podrida es el gusano,La larva blanca que sale en la carne podrida es el gusano. El ave rapaz grande con vista muy aguda es
oreja,ear,la,el,False,ore,True,o,True,0.89453125,0.88671875,0.97265625,codo,elbow,el,La articulación que une el brazo con el antebrazo es el codo,La articulación que une el brazo con el antebrazo es el codo. La parte del cuerpo con la que escuchas sonidos es
codo,elbow,el,el,True,c,True,artic,False,0.49609375,0.34375,0.8359375,secador de pelo,hairdryer,el,El aparato que sopla aire caliente para secar cabello es el secador de pelo,El aparato que sopla aire caliente para secar cabello es el secador de pelo. La articulación que une el brazo con el antebrazo es
elefante,elephant,el,el,True,ele,True,o,False,0.90625,0.298828125,0.2412109375,higo,fig,el,La fruta dulce de piel morada y pulpa roja es el higo,La fruta dulce de piel morada y pulpa roja es el higo. El mamífero gigante con trompa y colmillos es
escalera mecánica,escalator,la,el,False,escal,True,asc,False,0.4375,0.458984375,0.78125,pastillero,pillbox,el,La cajita donde guardas medicamentos es el pastillero,La cajita donde guardas medicamentos es el pastillero. La escalera que se mueve sola en centros comerciales es
pestaña,eyelash,la,el,False,p,True,p,True,0.890625,0.6953125,0.3515625,llanta,tire,la,La rueda de goma que gira en los autos es la llanta,La rueda de goma que gira en los autos es la llanta. El pelo pequeño que crece en el borde del párpado es
helecho,fern,el,un,False,mus,False,mus,False,0.365234375,0.1875,0.177734375,pechos,breasts,los,Las partes del cuerpo femenino que producen leche son los pechos,Las partes del cuerpo femenino que producen leche son los pechos. La planta verde sin flores que crece en lugares húmedos es
dedo,finger,el,el,True,ded,True,mano,False,0.953125,0.58203125,0.65234375,pollito,chick,el,El bebé de la gallina que hace pío es el pollito,El bebé de la gallina que hace pío es el pollito. La parte alargada de la mano que usas para señalar es
pez,fish,el,un,False,an,False,mej,False,0.640625,0.470703125,0.28515625,barba,beard,la,El pelo que crece en la cara de los hombres es la barba,El pelo que crece en la cara de los hombres es la barba. El animal que vive en el agua y respira por branquias es
linterna,flashlight,la,la,True,luz,False,gener,False,0.279296875,0.1220703125,0.038818359375,redecilla,hairnet,la,La red que cubre el cabello para cocinar es la redecilla,La red que cubre el cabello para cocinar es la redecilla. El aparato portátil que da luz cuando no hay electricidad es
flor,flower,la,el,False,flor,True,color,False,0.56640625,0.6875,0.330078125,grava,gravel,la,Las piedras pequeñas que cubren algunos caminos es la grava,Las piedras pequeñas que cubren algunos caminos es la grava. La parte colorida y bonita de las plantas es
flauta,flute,la,el,False,fl,True,__,False,0.94140625,0.5703125,0.2158203125,regaliz,licorice,el,El dulce negro con sabor fuerte y peculiar es el regaliz,El dulce negro con sabor fuerte y peculiar es el regaliz. El instrumento musical de viento largo y delgado es
rana,frog,la,el,False,sal,False,r,True,0.7890625,0.25390625,0.33984375,margarita,daisy,la,La flor blanca con centro amarillo muy común es la margarita,La flor blanca con centro amarillo muy común es la margarita. El anfibio verde que salta y hace croac es
cabra,goat,la,el,False,c,True,b,False,0.67578125,0.055419921875,0.11181640625,joya,jewel,la,La piedra preciosa brillante y valiosa es la joya,La piedra preciosa brillante y valiosa es la joya. El animal con cuernos que come hierba y da leche es
granito,granite,el,el,True,car,False,pied,False,0.95703125,0.58203125,0.357421875,morsa,walrus,la,El mamífero marino grande con colmillos es la morsa,El mamífero marino grande con colmillos es la morsa. La piedra muy dura que se usa para hacer monumentos es
uva,grape,la,la,True,man,False,man,False,0.58984375,0.55078125,0.142578125,escopeta,shotgun,la,El arma larga que dispara muchos perdigones es la escopeta,El arma larga que dispara muchos perdigones es la escopeta. La fruta pequeña y redonda que crece en racimos es
grava,gravel,la,el,False,c,False,p,False,0.50390625,0.059326171875,0.029052734375,capullo de rosa,rosebud,el,La rosa que aún no se ha abierto completamente es el capullo de rosa,La rosa que aún no se ha abierto completamente es el capullo de rosa. Las piedras pequeñas que cubren algunos caminos es
barandilla,guardrail,la,un,False,protección,False,far,False,0.1982421875,0.09375,0.3828125,faro,headlight,el,La luz delantera que ilumina el camino en autos es el faro,La luz delantera que ilumina el camino en autos es el faro. La protección de metal en puentes y escaleras es
hamburguesa,hamburger,la,el,False,comida,False,pan,False,0.46484375,0.2099609375,0.37109375,canicas,marbles,las,Las esferas de vidrio con las que juegan niños son las canicas,Las esferas de vidrio con las que juegan niños son las canicas. La carne molida entre dos panes que comes con las manos es
pistola,handgun,la,un,False,pist,True,c,False,0.392578125,0.314453125,0.345703125,pasaporte,passport,el,El documento que necesitas para viajar a otros países es el pasaporte,El documento que necesitas para viajar a otros países es el pasaporte. El arma de fuego pequeña que se usa con una mano es
cuerno,horn,el,el,True,c,True,prot,False,0.341796875,0.04248046875,0.08056640625,librero,bookshelf,el,El mueble donde organizas libros es el librero,El mueble donde organizas libros es el librero. La protuberancia dura que tienen algunos animales en la cabeza es
caballo,horse,el,un,False,cab,True,m,False,0.5546875,0.98046875,0.3203125,peine,comb,el,El objeto con dientes que usas para arreglar el cabello es el peine,El objeto con dientes que usas para arreglar el cabello es el peine. El animal grande que montas y que galopa es
herradura,horseshoe,la,el,False,s,False,pie,False,0.765625,0.275390625,0.11279296875,insecto,bug,el,El animal pequeño de seis patas que a veces molesta es el insecto,El animal pequeño de seis patas que a veces molesta es el insecto. El objeto de metal que protege las patas de los caballos es
perro caliente,hotdog,el,un,False,pan,False,sal,False,0.380859375,0.107421875,0.1142578125,pulgar,thumb,el,El dedo gordo de la mano es el pulgar,El dedo gordo de la mano es el pulgar. La salchicha en pan que vendes en puestos callejeros es
casa,house,la,una,False,playa,False,lugar,False,0.53515625,0.73046875,0.2255859375,arena,sand,la,Los granos pequeños que cubren las playas es la arena,Los granos pequeños que cubren las playas es la arena. El lugar donde vives con tu familia es
tapón de rueda,hubcap,el,el,True,ne,False,r,False,0.39453125,0.2412109375,0.326171875,monociclo,unicycle,el,La bicicleta de una sola rueda es el monociclo,La bicicleta de una sola rueda es el monociclo. La cubierta decorativa del centro de las llantas es
frasco,jar,el,el,True,v,False,t,False,0.462890625,0.09033203125,0.13671875,margarita,daisy,la,La flor blanca con centro amarillo muy común es la margarita,La flor blanca con centro amarillo muy común es la margarita. El recipiente de vidrio con tapa donde guardas conservas es
vaqueros,jeans,los,de,False,de,False,cal,False,0.1962890625,0.384765625,0.08544921875,gaviota,seagull,la,El ave blanca que vuela cerca del mar es la gaviota,El ave blanca que vuela cerca del mar es la gaviota. Los pantalones de mezclilla azul muy populares son
cometa,kite,la,el,False,mar,False,v,False,0.6953125,0.0888671875,0.0947265625,elefante,elephant,el,El mamífero gigante con trompa y colmillos es el elefante,El mamífero gigante con trompa y colmillos es el elefante. El juguete de papel que vuela con el viento es
rodilla,knee,la,la,True,artic,False,tend,False,0.5078125,0.55859375,0.11279296875,gusano,maggot,el,La larva blanca que sale en la carne podrida es el gusano,La larva blanca que sale en la carne podrida es el gusano. La articulación que une el muslo con la pierna es
escalera,ladder,la,el,False,escal,True,escal,True,0.52734375,0.73046875,0.53515625,tulipán,tulip,el,La flor de colores vivos que florece en primavera es el tulipán,La flor de colores vivos que florece en primavera es el tulipán. Los escalones portátiles que usas para subir alto es
farol,lantern,el,la,False,__,False,______,False,0.47265625,0.26171875,0.1357421875,mochila,backpack,la,La bolsa que cargas en la espalda es la mochila,La bolsa que cargas en la espalda es la mochila. La lámpara portátil que usaban antes de la electricidad es
hoja,leaf,la,el,False,c,False,tal,False,0.5546875,0.171875,0.07470703125,espátula,spatula,la,El utensilio plano que volteas comida es la espátula,El utensilio plano que volteas comida es la espátula. La parte verde y plana que crece en las ramas es
limón,lemon,el,el,True,ki,False,u,False,0.5546875,0.2041015625,0.13671875,tábano,horsefly,el,El insecto grande que pica a los caballos es el tábano,El insecto grande que pica a los caballos es el tábano. La fruta amarilla y ácida que usas en bebidas es
leopardo,leopard,el,el,True,t,False,espec,False,0.390625,0.140625,0.6328125,revista,magazine,la,La publicación con fotos e historias que lees es la revista,La publicación con fotos e historias que lees es la revista. El felino manchado que caza en África y Asia es
bombilla,lightbulb,la,el,False,l,False,di,False,0.59765625,0.2490234375,0.057861328125,cordero,lamb,el,El bebé de la oveja que bala tiernamente es el cordero,El bebé de la oveja que bala tiernamente es el cordero. El objeto de vidrio que da luz eléctrica es
revista,magazine,la,un,False,salsa,False,contenido,False,0.2373046875,0.0673828125,0.056640625,salsa,gravy,la,El líquido espeso que acompaña la carne es la salsa,El líquido espeso que acompaña la carne es la salsa. La publicación con fotos e historias que lees es
buzón,mailbox,el,un,False,correo,False,c,False,0.41796875,0.11474609375,0.34375,palomitas,popcorn,las,Los granos de maíz inflados que comes en el cine son las palomitas,Los granos de maíz inflados que comes en el cine son las palomitas. La caja donde el cartero deja las cartas es
mango,mango,el,el,True,mango,True,u,False,0.5625,0.25390625,0.1181640625,avispa,wasp,la,El insecto rayado que puede picar es la avispa,El insecto rayado que puede picar es la avispa. La fruta tropical dulce de color naranja es
colchón,mattress,el,el,True,__,False,c,True,0.53515625,0.0625,0.2490234375,sapo,toad,el,El anfibio parecido a la rana pero más grande es el sapo,El anfibio parecido a la rana pero más grande es el sapo. La parte suave de la cama donde descansa tu cuerpo es
pastel de carne,meatloaf,el,un,False,l,False,comida,False,0.51953125,0.09033203125,0.11083984375,lince,bobcat,el,El felino salvaje de orejas puntiagudas es el lince,El felino salvaje de orejas puntiagudas es el lince. El platillo horneado hecho con carne molida es
microscopio,microscope,el,el,True,micro,True,...,False,0.7578125,0.25,0.185546875,tablero,backboard,el,La superficie vertical donde rebota la pelota de básquet es el tablero,La superficie vertical donde rebota la pelota de básquet es el tablero. El instrumento que agranda cosas muy pequeñas es
trampa para ratones,mousetrap,la,el,False,tr,True,g,False,0.7109375,0.234375,0.06494140625,pantano,swamp,el,El terreno húmedo lleno de lodo es el pantano,El terreno húmedo lleno de lodo es el pantano. El aparato que atrapas los roedores pequeños es
mula,mule,la,el,False,cab,False,__,False,0.7109375,0.2333984375,0.1220703125,galleta,cookie,la,El dulce crujiente que horneas en la cocina es la galleta,El dulce crujiente que horneas en la cocina es la galleta. El animal híbrido entre caballo y burro es
cepillo de uñas,nailbrush,el,el,True,cep,True,c,True,0.4765625,0.1240234375,0.061279296875,pirámide,pyramid,la,La construcción triangular de los faraones es la pirámide,La construcción triangular de los faraones es la pirámide. El cepillo pequeño que limpias las uñas es
cuello,neck,el,el,True,c,True,c,True,0.67578125,0.9921875,0.9375,espátula,spatula,la,El utensilio plano que volteas comida es la espátula,El utensilio plano que volteas comida es la espátula. La parte del cuerpo que conecta la cabeza con el tronco es
nectarina,nectarine,la,el,False,fr,False,fr,False,0.72265625,0.1875,0.1806640625,colchón,mattress,el,La parte suave de la cama donde descansa tu cuerpo es el colchón,La parte suave de la cama donde descansa tu cuerpo es el colchón. La fruta parecida al durazno pero con piel lisa es
avena,oat,la,el,False,le,False,cereal,False,0.6328125,0.71484375,0.322265625,sierra,hacksaw,la,La herramienta dentada que corta metal es la sierra,La herramienta dentada que corta metal es la sierra. El cereal que comes en el desayuno con leche es
pulpo,octopus,el,el,True,an,False,na,False,0.3828125,0.16796875,0.3359375,pollito,chick,el,El bebé de la gallina que hace pío es el pollito,El bebé de la gallina que hace pío es el pollito. El animal marino con ocho tentáculos es
pimentón,paprika,el,el,True,chili,False,p,True,0.91015625,0.56640625,0.4375,espagueti,spaghetti,el,La pasta larga y delgada que enrollas con tenedor es el espagueti,La pasta larga y delgada que enrollas con tenedor es el espagueti. La especia roja en polvo que sazona la comida es
loro,parrot,el,el,True,p,False,pal,False,0.5703125,0.28125,0.4140625,bombilla,lightbulb,la,El objeto de vidrio que da luz eléctrica es la bombilla,El objeto de vidrio que da luz eléctrica es la bombilla. El ave tropical colorida que puede imitar palabras es
pasaporte,passport,el,el,True,pas,True,tar,False,0.41015625,0.76171875,0.5390625,campana,bell,la,El objeto metálico que suena cuando lo mueves es la campana,El objeto metálico que suena cuando lo mueves es la campana. El documento que necesitas para viajar a otros países es
pavo real,peacock,el,el,True,p,True,pal,False,0.6484375,0.1572265625,0.4296875,gusano,maggot,el,La larva blanca que sale en la carne podrida es el gusano,La larva blanca que sale en la carne podrida es el gusano. El ave con cola grande y colorida que hace rueda es
pingüino,penguin,el,el,True,p,True,pal,False,0.64453125,0.2373046875,0.1533203125,cepillo de dientes,toothbrush,el,El utensilio con cerdas para limpiar los dientes es el cepillo de dientes,El utensilio con cerdas para limpiar los dientes es el cepillo de dientes. El ave que no vuela y vive en lugares fríos es
pepperoni,pepperoni,el,el,True,emb,False,carne,False,0.62109375,0.1591796875,0.3828125,bistec,steak,el,La carne de res gruesa que asas es el bistec,La carne de res gruesa que asas es el bistec. El embutido picante que pones en la pizza es
cerdo,pig,el,un,False,cer,True,o,False,0.73046875,0.134765625,0.4140625,panadería,bakeshop,la,La tienda donde venden pan recién horneado es la panadería,La tienda donde venden pan recién horneado es la panadería. El animal rosado que vive en granjas y hace oink es
almohada,pillow,la,un,False,alm,True,c,False,0.44921875,0.68359375,0.451171875,riñón,kidney,el,El órgano que filtra la sangre en tu cuerpo es el riñón,El órgano que filtra la sangre en tu cuerpo es el riñón. El cojín suave donde apoyas la cabeza para dormir es
horca,pitchfork,la,el,False,p,False,p,False,0.5859375,0.1845703125,0.1044921875,impermeable,raincoat,el,La prenda que te pones cuando llueve es el impermeable,La prenda que te pones cuando llueve es el impermeable. La herramienta con dientes largos para mover paja es
pizza,pizza,la,el,False,pl,False,pl,False,0.455078125,0.30078125,0.1376953125,placa,badge,la,El distintivo metálico que usan policías es la placa,El distintivo metálico que usan policías es la placa. El platillo italiano redondo con queso y salsa es
tablón,plank,el,un,False,p,False,m,False,0.453125,0.1708984375,0.21875,pastel de queso,cheesecake,el,El postre cremoso hecho con queso es el pastel de queso,El postre cremoso hecho con queso es el pastel de queso. La tabla de madera larga y gruesa para construcción es
palomitas,popcorn,las,los,False,es,False,pl,False,0.28515625,0.1513671875,0.0625,zanahoria,carrot,la,La verdura naranja y alargada que comen los conejos es la zanahoria,La verdura naranja y alargada que comen los conejos es la zanahoria. Los granos de maíz inflados que comes en el cine son
puercoespín,porcupine,el,el,True,pol,False,ser,False,0.66015625,0.1259765625,0.13671875,sardina,sardine,la,El pez pequeño que viene en latas es la sardina,El pez pequeño que viene en latas es la sardina. El animal con púas que se enrolla cuando se asusta es
pluma de ave,quill,la,el,False,p,True,p,True,0.4375,0.1533203125,0.29296875,prismáticos,binoculars,los,El instrumento óptico que usas para ver cosas lejanas son los prismáticos,El instrumento óptico que usas para ver cosas lejanas son los prismáticos. La pluma grande que usaban para escribir antiguamente es
edredón,quilt,el,el,True,col,False,m,False,0.56640625,0.1640625,0.36328125,azulejo,bluebird,el,El pájaro pequeño de color azul brillante es el azulejo,El pájaro pequeño de color azul brillante es el azulejo. La manta gruesa y decorativa que cubre la cama es
balsa,raft,la,un,False,b,True,bar,False,0.3828125,0.1689453125,0.330078125,pasa,raisin,la,La uva seca y arrugada que comes como dulce es la pasa,La uva seca y arrugada que comes como dulce es la pasa. La embarcación simple hecha de troncos es
impermeable,raincoat,el,el,True,ab,False,cha,False,0.53125,0.470703125,0.349609375,tomate,tomato,el,La fruta roja que usas en ensaladas y salsas es el tomate,La fruta roja que usas en ensaladas y salsas es el tomate. La prenda que te pones cuando llueve es
serpiente de cascabel,rattlesnake,la,la,True,ser,True,c,False,0.5546875,0.61328125,0.12890625,reloj,clock,el,El aparato que marca las horas del día es el reloj,El aparato que marca las horas del día es el reloj. La víbora que hace ruido con la cola es
refrigerador,refrigerator,el,el,True,refriger,True,never,False,0.5390625,0.59765625,0.38671875,palomitas,popcorn,las,Los granos de maíz inflados que comes en el cine son las palomitas,Los granos de maíz inflados que comes en el cine son las palomitas. El electrodoméstico que mantiene fría la comida es
bata,robe,la,un,False,,True,su,False,0.384765625,0.6171875,0.2216796875,león,lion,el,El felino grande que ruge y tiene melena es el león,El felino grande que ruge y tiene melena es el león. La prenda larga y suelta que usas en casa es
arena,sand,la,el,False,arena,True,pol,False,0.78125,0.9375,0.06298828125,candelero,candlestick,el,El soporte donde pones velas es el candelero,El soporte donde pones velas es el candelero. Los granos pequeños que cubren las playas es
