spanish_noun,english_noun,article,predicted_article,article_correct,predicted_noun,noun_correct,predicted_noun_wrong_article,noun_wrong_article_correct,prob_article,prob_noun,prob_noun_wrong_article,ic_spanish_noun,ic_english_noun,ic_article,ic_description,prompt_before_article,prompt_with_article,prompt_with_wrong_article
murciélago,bat,el,un,False,z,False,c,False,0.349609375,0.08984375,0.080078125,camisa,shirt,la,La prenda que cubre tu torso y brazos es la camisa,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es el,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es la
bata,bathrobe,la,el,False,c,False,port,False,0.3515625,0.10791015625,0.09033203125,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es la,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es el
frijol,bean,el,el,True,qu,False,leg,False,0.4453125,0.06982421875,0.126953125,carámbano,icicle,el,El hielo colgante que se forma en el techo es el carámbano,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es el,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es la
cama,bed,la,el,False,c,True,cu,False,0.3515625,0.427734375,0.1796875,burro,donkey,el,El animal gris parecido al caballo pero más pequeño es el burro,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es la,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es el
sábana,bedsheet,la,un,False,c,False,alg,False,0.2236328125,0.10986328125,0.09716796875,rata almizclera,muskrat,la,El roedor que vive cerca del agua es la rata almizclera,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es la,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es el
bicicleta,bike,la,el,False,bic,True,pat,False,0.546875,0.53515625,0.0751953125,garganta,throat,la,La parte interna del cuello por donde pasa comida es la garganta,La parte interna del cuello por donde pasa comida es la garganta. El vehículo de dos ruedas que pedaleas es,La parte interna del cuello por donde pasa comida es la garganta. El vehículo de dos ruedas que pedaleas es la,La parte interna del cuello por donde pasa comida es la garganta. El vehículo de dos ruedas que pedaleas es el
prismáticos,binoculars,los,los,True,o,False,l,False,0.515625,0.21484375,0.58984375,pájaro,bird,el,El animal con plumas que vuela y canta es el pájaro,El animal con plumas que vuela y canta es el pájaro. El instrumento óptico que usas para ver cosas lejanas son,El animal con plumas que vuela y canta es el pájaro. El instrumento óptico que usas para ver cosas lejanas son los,El animal con plumas que vuela y canta es el pájaro. El instrumento óptico que usas para ver cosas lejanas son las
pájaro,bird,el,un,False,pá,True,av,False,0.294921875,0.21875,0.1708984375,bicicleta,bike,la,El vehículo de dos ruedas que pedaleas es la bicicleta,El vehículo de dos ruedas que pedaleas es la bicicleta. El animal con plumas que vuela y canta es,El vehículo de dos ruedas que pedaleas es la bicicleta. El animal con plumas que vuela y canta es el,El vehículo de dos ruedas que pedaleas es la bicicleta. El animal con plumas que vuela y canta es la
manta,blanket,la,el,False,c,False,ab,False,0.298828125,0.09228515625,0.1376953125,águila,eagle,el,El ave rapaz grande con vista muy aguda es el águila,El ave rapaz grande con vista muy aguda es el águila. La tela gruesa que te cubre para darte calor es,El ave rapaz grande con vista muy aguda es el águila. La tela gruesa que te cubre para darte calor es la,El ave rapaz grande con vista muy aguda es el águila. La tela gruesa que te cubre para darte calor es el
licuadora,blender,la,el,False,lav,False,micro,False,0.38671875,0.2353515625,0.07177734375,balsa,raft,la,La embarcación simple hecha de troncos es la balsa,La embarcación simple hecha de troncos es la balsa. El electrodoméstico que mezcla y tritura alimentos es,La embarcación simple hecha de troncos es la balsa. El electrodoméstico que mezcla y tritura alimentos es la,La embarcación simple hecha de troncos es la balsa. El electrodoméstico que mezcla y tritura alimentos es el
botas,boots,las,los,False,pi,False,zap,False,0.1728515625,0.12890625,0.58203125,gaviota,seagull,la,El ave blanca que vuela cerca del mar es la gaviota,El ave blanca que vuela cerca del mar es la gaviota. El calzado alto que protege los pies y tobillos son,El ave blanca que vuela cerca del mar es la gaviota. El calzado alto que protege los pies y tobillos son las,El ave blanca que vuela cerca del mar es la gaviota. El calzado alto que protege los pies y tobillos son los
brackets,braces,los,los,True,de,False,herramient,False,0.2314453125,0.1064453125,0.025146484375,narciso,daffodil,el,La flor amarilla que anuncia la primavera es el narciso,La flor amarilla que anuncia la primavera es el narciso. Los aparatos metálicos que enderezan los dientes son,La flor amarilla que anuncia la primavera es el narciso. Los aparatos metálicos que enderezan los dientes son los,La flor amarilla que anuncia la primavera es el narciso. Los aparatos metálicos que enderezan los dientes son las
pechos,breasts,los,el,False,ovar,False,plac,False,0.251953125,0.255859375,0.0849609375,directorio telefónico,phonebook,el,El libro donde buscas números de teléfono es el directorio telefónico,El libro donde buscas números de teléfono es el directorio telefónico. Las partes del cuerpo femenino que producen leche son,El libro donde buscas números de teléfono es el directorio telefónico. Las partes del cuerpo femenino que producen leche son los,El libro donde buscas números de teléfono es el directorio telefónico. Las partes del cuerpo femenino que producen leche son las
insecto,bug,el,el,True,per,False,c,False,0.369140625,0.140625,0.09619140625,cama,bed,la,El mueble donde duermes por las noches es la cama,El mueble donde duermes por las noches es la cama. El animal pequeño de seis patas que a veces molesta es,El mueble donde duermes por las noches es la cama. El animal pequeño de seis patas que a veces molesta es el,El mueble donde duermes por las noches es la cama. El animal pequeño de seis patas que a veces molesta es la
burrito,burrito,el,el,True,pan,False,tort,False,0.4375,0.1083984375,0.08984375,faro,lighthouse,el,La torre con luz que guía barcos en la noche es el faro,La torre con luz que guía barcos en la noche es el faro. El platillo mexicano enrollado en tortilla de harina es,La torre con luz que guía barcos en la noche es el faro. El platillo mexicano enrollado en tortilla de harina es el,La torre con luz que guía barcos en la noche es el faro. El platillo mexicano enrollado en tortilla de harina es la
cactus,cactus,el,el,True,c,True,c,True,0.462890625,0.0673828125,0.10107421875,pepperoni,pepperoni,el,El embutido picante que pones en la pizza es el pepperoni,El embutido picante que pones en la pizza es el pepperoni. La planta espinosa que crece en el desierto es,El embutido picante que pones en la pizza es el pepperoni. La planta espinosa que crece en el desierto es el,El embutido picante que pones en la pizza es el pepperoni. La planta espinosa que crece en el desierto es la
jaula,cage,la,el,False,ti,False,de,False,0.69921875,0.0771484375,0.07470703125,camello,camel,el,El animal del desierto con jorobas es el camello,El animal del desierto con jorobas es el camello. El compartimento con barrotes donde viven algunos animales es,El animal del desierto con jorobas es el camello. El compartimento con barrotes donde viven algunos animales es la,El animal del desierto con jorobas es el camello. El compartimento con barrotes donde viven algunos animales es el
cámara,camera,la,un,False,l,False,fot,False,0.439453125,0.09765625,0.04736328125,cisne,swan,el,El ave elegante de cuello largo es el cisne,El ave elegante de cuello largo es el cisne. El aparato que usas para tomar fotografías es,El ave elegante de cuello largo es el cisne. El aparato que usas para tomar fotografías es la,El ave elegante de cuello largo es el cisne. El aparato que usas para tomar fotografías es el
zanahoria,carrot,la,el,False,mejor,False,al,False,0.283203125,0.09423828125,0.043212890625,lince,bobcat,el,El felino salvaje de orejas puntiagudas es el lince,El felino salvaje de orejas puntiagudas es el lince. La verdura naranja y alargada que comen los conejos es,El felino salvaje de orejas puntiagudas es el lince. La verdura naranja y alargada que comen los conejos es la,El felino salvaje de orejas puntiagudas es el lince. La verdura naranja y alargada que comen los conejos es el
coliflor,cauliflower,la,el,False,c,True,á,False,0.310546875,0.0615234375,0.037109375,carámbano,icicle,el,El hielo colgante que se forma en el techo es el carámbano,El hielo colgante que se forma en el techo es el carámbano. La verdura blanca con forma de árbol pequeño es,El hielo colgante que se forma en el techo es el carámbano. La verdura blanca con forma de árbol pequeño es la,El hielo colgante que se forma en el techo es el carámbano. La verdura blanca con forma de árbol pequeño es el
celular,cellphone,el,el,True,teléfono,False,parte,False,0.3359375,0.1650390625,0.06787109375,traje,suit,el,La vestimenta elegante de saco y pantalón es el traje,La vestimenta elegante de saco y pantalón es el traje. El teléfono portátil que llevas en el bolsillo es,La vestimenta elegante de saco y pantalón es el traje. El teléfono portátil que llevas en el bolsillo es el,La vestimenta elegante de saco y pantalón es el traje. El teléfono portátil que llevas en el bolsillo es la
chimenea,chimney,la,un,False,de,False,de,False,0.376953125,0.072265625,0.033203125,impermeable,raincoat,el,La prenda que te pones cuando llueve es el impermeable,La prenda que te pones cuando llueve es el impermeable. La estructura por donde sale el humo de la casa es,La prenda que te pones cuando llueve es el impermeable. La estructura por donde sale el humo de la casa es la,La prenda que te pones cuando llueve es el impermeable. La estructura por donde sale el humo de la casa es el
palillos,chopsticks,los,los,True,de,False,c,False,0.130859375,0.087890625,0.150390625,ceniza,ash,la,El polvo gris que queda después de quemar algo es la ceniza,El polvo gris que queda después de quemar algo es la ceniza. Los utensilios de madera que usan en Asia para comer son,El polvo gris que queda después de quemar algo es la ceniza. Los utensilios de madera que usan en Asia para comer son los,El polvo gris que queda después de quemar algo es la ceniza. Los utensilios de madera que usan en Asia para comer son las
reloj,clock,el,el,True,re,True,man,False,0.6015625,0.435546875,0.0576171875,bigote,moustache,el,El pelo que crece arriba del labio superior es el bigote,El pelo que crece arriba del labio superior es el bigote. El aparato que marca las horas del día es,El pelo que crece arriba del labio superior es el bigote. El aparato que marca las horas del día es el,El pelo que crece arriba del labio superior es el bigote. El aparato que marca las horas del día es la
cobra,cobra,la,el,False,ser,False,c,True,0.400390625,0.138671875,0.087890625,tulipán,tulip,el,La flor de colores vivos que florece en primavera es el tulipán,La flor de colores vivos que florece en primavera es el tulipán. La serpiente venenosa que puede expandir su cuello es,La flor de colores vivos que florece en primavera es el tulipán. La serpiente venenosa que puede expandir su cuello es la,La flor de colores vivos que florece en primavera es el tulipán. La serpiente venenosa que puede expandir su cuello es el
peine,comb,el,un,False,c,False,c,False,0.26171875,0.0849609375,0.365234375,sillón,armchair,el,El asiento cómodo con brazos donde te relajas es el sillón,El asiento cómodo con brazos donde te relajas es el sillón. El objeto con dientes que usas para arreglar el cabello es,El asiento cómodo con brazos donde te relajas es el sillón. El objeto con dientes que usas para arreglar el cabello es el,El asiento cómodo con brazos donde te relajas es el sillón. El objeto con dientes que usas para arreglar el cabello es la
galleta,cookie,la,el,False,pres,False,son,False,0.37109375,0.035400390625,0.1171875,dentista,dentist,el,El doctor que cuida y arregla los dientes es el dentista,El doctor que cuida y arregla los dientes es el dentista. El dulce crujiente que horneas en la cocina es,El doctor que cuida y arregla los dientes es el dentista. El dulce crujiente que horneas en la cocina es la,El doctor que cuida y arregla los dientes es el dentista. El dulce crujiente que horneas en la cocina es el
cangrejo de río,crawfish,el,el,True,mar,False,c,True,0.60546875,0.039306640625,0.042236328125,leopardo,leopard,el,El felino manchado que caza en África y Asia es el leopardo,El felino manchado que caza en África y Asia es el leopardo. El crustáceo pequeño de agua dulce que parece langosta es,El felino manchado que caza en África y Asia es el leopardo. El crustáceo pequeño de agua dulce que parece langosta es el,El felino manchado que caza en África y Asia es el leopardo. El crustáceo pequeño de agua dulce que parece langosta es la
taza,cup,la,un,False,c,False,recip,False,0.2080078125,0.10546875,0.06689453125,soplete,blowtorch,el,La herramienta que produce llama muy caliente es el soplete,La herramienta que produce llama muy caliente es el soplete. El recipiente pequeño donde bebes café o té es,La herramienta que produce llama muy caliente es el soplete. El recipiente pequeño donde bebes café o té es la,La herramienta que produce llama muy caliente es el soplete. El recipiente pequeño donde bebes café o té es el
magdalena,cupcake,la,un,False,parte,False,que,False,0.30078125,0.12451171875,0.047119140625,garganta,throat,la,La parte interna del cuello por donde pasa comida es la garganta,La parte interna del cuello por donde pasa comida es la garganta. El pastelito individual con betún encima es,La parte interna del cuello por donde pasa comida es la garganta. El pastelito individual con betún encima es la,La parte interna del cuello por donde pasa comida es la garganta. El pastelito individual con betún encima es el
margarita,daisy,la,la,True,l,False,p,False,0.7734375,0.0830078125,0.053466796875,berenjena,eggplant,la,La verdura morada grande y brillante es la berenjena,La verdura morada grande y brillante es la berenjena. La flor blanca con centro amarillo muy común es,La verdura morada grande y brillante es la berenjena. La flor blanca con centro amarillo muy común es la,La verdura morada grande y brillante es la berenjena. La flor blanca con centro amarillo muy común es el
diente de león,dandelion,el,el,True,j,False,l,False,0.70703125,0.0810546875,0.09423828125,tulipán,tulip,el,La flor de colores vivos que florece en primavera es el tulipán,La flor de colores vivos que florece en primavera es el tulipán. La flor amarilla silvestre que se convierte en pelusa es,La flor de colores vivos que florece en primavera es el tulipán. La flor amarilla silvestre que se convierte en pelusa es el,La flor de colores vivos que florece en primavera es el tulipán. La flor amarilla silvestre que se convierte en pelusa es la
desodorante,deodorant,el,el,True,ace,False,base,False,0.310546875,0.07958984375,0.060546875,hoja,leaf,la,La parte verde y plana que crece en las ramas es la hoja,La parte verde y plana que crece en las ramas es la hoja. El producto que te aplicas para no oler mal es,La parte verde y plana que crece en las ramas es la hoja. El producto que te aplicas para no oler mal es el,La parte verde y plana que crece en las ramas es la hoja. El producto que te aplicas para no oler mal es la
perro,dog,el,el,True,per,True,c,False,0.7578125,0.373046875,0.1826171875,edredón,quilt,el,La manta gruesa y decorativa que cubre la cama es el edredón,La manta gruesa y decorativa que cubre la cama es el edredón. El animal doméstico fiel que ladra y mueve la cola es,La manta gruesa y decorativa que cubre la cama es el edredón. El animal doméstico fiel que ladra y mueve la cola es el,La manta gruesa y decorativa que cubre la cama es el edredón. El animal doméstico fiel que ladra y mueve la cola es la
muñeca,doll,la,un,False,mejor,False,que,False,0.43359375,0.06494140625,0.07275390625,diploma,diploma,el,El documento que recibes al graduarte es el diploma,El documento que recibes al graduarte es el diploma. El juguete con forma de persona que usan los niños es,El documento que recibes al graduarte es el diploma. El juguete con forma de persona que usan los niños es la,El documento que recibes al graduarte es el diploma. El juguete con forma de persona que usan los niños es el
burro,donkey,el,el,True,cab,False,c,False,0.44921875,0.11279296875,0.045166015625,caballete,easel,el,El soporte de madera donde los pintores ponen lienzos es el caballete,El soporte de madera donde los pintores ponen lienzos es el caballete. El animal gris parecido al caballo pero más pequeño es,El soporte de madera donde los pintores ponen lienzos es el caballete. El animal gris parecido al caballo pero más pequeño es el,El soporte de madera donde los pintores ponen lienzos es el caballete. El animal gris parecido al caballo pero más pequeño es la
umbral,doorstep,el,el,True,paso,False,pu,False,0.375,0.240234375,0.2080078125,pestaña,eyelash,la,El pelo pequeño que crece en el borde del párpado es la pestaña,El pelo pequeño que crece en el borde del párpado es la pestaña. El escalón de entrada en la puerta de la casa es,El pelo pequeño que crece en el borde del párpado es la pestaña. El escalón de entrada en la puerta de la casa es el,El pelo pequeño que crece en el borde del párpado es la pestaña. El escalón de entrada en la puerta de la casa es la
recogedor,dustpan,el,un,False,c,False,c,False,0.388671875,0.031982421875,0.1123046875,águila,eagle,el,El ave rapaz grande con vista muy aguda es el águila,El ave rapaz grande con vista muy aguda es el águila. El utensilio plano que usas con la escoba para recoger basura es,El ave rapaz grande con vista muy aguda es el águila. El utensilio plano que usas con la escoba para recoger basura es el,El ave rapaz grande con vista muy aguda es el águila. El utensilio plano que usas con la escoba para recoger basura es la
águila,eagle,el,el,True,g,False,c,False,0.50390625,0.1640625,0.0390625,gusano,maggot,el,La larva blanca que sale en la carne podrida es el gusano,La larva blanca que sale en la carne podrida es el gusano. El ave rapaz grande con vista muy aguda es,La larva blanca que sale en la carne podrida es el gusano. El ave rapaz grande con vista muy aguda es el,La larva blanca que sale en la carne podrida es el gusano. El ave rapaz grande con vista muy aguda es la
oreja,ear,la,el,False,ore,True,o,True,0.8046875,0.2119140625,0.55078125,codo,elbow,el,La articulación que une el brazo con el antebrazo es el codo,La articulación que une el brazo con el antebrazo es el codo. La parte del cuerpo con la que escuchas sonidos es,La articulación que une el brazo con el antebrazo es el codo. La parte del cuerpo con la que escuchas sonidos es la,La articulación que une el brazo con el antebrazo es el codo. La parte del cuerpo con la que escuchas sonidos es el
codo,elbow,el,el,True,braz,False,artic,False,0.7421875,0.2275390625,0.302734375,secador de pelo,hairdryer,el,El aparato que sopla aire caliente para secar cabello es el secador de pelo,El aparato que sopla aire caliente para secar cabello es el secador de pelo. La articulación que une el brazo con el antebrazo es,El aparato que sopla aire caliente para secar cabello es el secador de pelo. La articulación que une el brazo con el antebrazo es el,El aparato que sopla aire caliente para secar cabello es el secador de pelo. La articulación que une el brazo con el antebrazo es la
elefante,elephant,el,el,True,g,False,le,False,0.71875,0.15234375,0.123046875,higo,fig,el,La fruta dulce de piel morada y pulpa roja es el higo,La fruta dulce de piel morada y pulpa roja es el higo. El mamífero gigante con trompa y colmillos es,La fruta dulce de piel morada y pulpa roja es el higo. El mamífero gigante con trompa y colmillos es el,La fruta dulce de piel morada y pulpa roja es el higo. El mamífero gigante con trompa y colmillos es la
escalera mecánica,escalator,la,un,False,escal,True,pas,False,0.349609375,0.06494140625,0.0546875,pastillero,pillbox,el,La cajita donde guardas medicamentos es el pastillero,La cajita donde guardas medicamentos es el pastillero. La escalera que se mueve sola en centros comerciales es,La cajita donde guardas medicamentos es el pastillero. La escalera que se mueve sola en centros comerciales es la,La cajita donde guardas medicamentos es el pastillero. La escalera que se mueve sola en centros comerciales es el
pestaña,eyelash,la,el,False,nar,False,pelo,False,0.68359375,0.2041015625,0.3671875,llanta,tire,la,La rueda de goma que gira en los autos es la llanta,La rueda de goma que gira en los autos es la llanta. El pelo pequeño que crece en el borde del párpado es,La rueda de goma que gira en los autos es la llanta. El pelo pequeño que crece en el borde del párpado es la,La rueda de goma que gira en los autos es la llanta. El pelo pequeño que crece en el borde del párpado es el
helecho,fern,el,un,False,hier,False,c,False,0.2216796875,0.02490234375,0.046630859375,pechos,breasts,los,Las partes del cuerpo femenino que producen leche son los pechos,Las partes del cuerpo femenino que producen leche son los pechos. La planta verde sin flores que crece en lugares húmedos es,Las partes del cuerpo femenino que producen leche son los pechos. La planta verde sin flores que crece en lugares húmedos es el,Las partes del cuerpo femenino que producen leche son los pechos. La planta verde sin flores que crece en lugares húmedos es la
dedo,finger,el,el,True,__,False,parte,False,0.244140625,0.034423828125,0.1025390625,pollito,chick,el,El bebé de la gallina que hace pío es el pollito,El bebé de la gallina que hace pío es el pollito. La parte alargada de la mano que usas para señalar es,El bebé de la gallina que hace pío es el pollito. La parte alargada de la mano que usas para señalar es el,El bebé de la gallina que hace pío es el pollito. La parte alargada de la mano que usas para señalar es la
pez,fish,el,un,False,mar,False,mar,False,0.52734375,0.10498046875,0.08740234375,barba,beard,la,El pelo que crece en la cara de los hombres es la barba,El pelo que crece en la cara de los hombres es la barba. El animal que vive en el agua y respira por branquias es,El pelo que crece en la cara de los hombres es la barba. El animal que vive en el agua y respira por branquias es el,El pelo que crece en la cara de los hombres es la barba. El animal que vive en el agua y respira por branquias es la
linterna,flashlight,la,la,True,b,False,solar,False,0.330078125,0.1416015625,0.0634765625,redecilla,hairnet,la,La red que cubre el cabello para cocinar es la redecilla,La red que cubre el cabello para cocinar es la redecilla. El aparato portátil que da luz cuando no hay electricidad es,La red que cubre el cabello para cocinar es la redecilla. El aparato portátil que da luz cuando no hay electricidad es la,La red que cubre el cabello para cocinar es la redecilla. El aparato portátil que da luz cuando no hay electricidad es el
flor,flower,la,el,False,flo,True,color,False,0.294921875,0.0908203125,0.1591796875,grava,gravel,la,Las piedras pequeñas que cubren algunos caminos es la grava,Las piedras pequeñas que cubren algunos caminos es la grava. La parte colorida y bonita de las plantas es,Las piedras pequeñas que cubren algunos caminos es la grava. La parte colorida y bonita de las plantas es la,Las piedras pequeñas que cubren algunos caminos es la grava. La parte colorida y bonita de las plantas es el
flauta,flute,la,el,False,c,False,viol,False,0.89453125,0.12890625,0.2412109375,regaliz,licorice,el,El dulce negro con sabor fuerte y peculiar es el regaliz,El dulce negro con sabor fuerte y peculiar es el regaliz. El instrumento musical de viento largo y delgado es,El dulce negro con sabor fuerte y peculiar es el regaliz. El instrumento musical de viento largo y delgado es la,El dulce negro con sabor fuerte y peculiar es el regaliz. El instrumento musical de viento largo y delgado es el
rana,frog,la,el,False,le,False,le,False,0.69921875,0.055908203125,0.0576171875,margarita,daisy,la,La flor blanca con centro amarillo muy común es la margarita,La flor blanca con centro amarillo muy común es la margarita. El anfibio verde que salta y hace croac es,La flor blanca con centro amarillo muy común es la margarita. El anfibio verde que salta y hace croac es la,La flor blanca con centro amarillo muy común es la margarita. El anfibio verde que salta y hace croac es el
cabra,goat,la,el,False,le,False,per,False,0.328125,0.08740234375,0.28125,joya,jewel,la,La piedra preciosa brillante y valiosa es la joya,La piedra preciosa brillante y valiosa es la joya. El animal con cuernos que come hierba y da leche es,La piedra preciosa brillante y valiosa es la joya. El animal con cuernos que come hierba y da leche es la,La piedra preciosa brillante y valiosa es la joya. El animal con cuernos que come hierba y da leche es el
granito,granite,el,el,True,m,False,pied,False,0.376953125,0.044189453125,0.09326171875,morsa,walrus,la,El mamífero marino grande con colmillos es la morsa,El mamífero marino grande con colmillos es la morsa. La piedra muy dura que se usa para hacer monumentos es,El mamífero marino grande con colmillos es la morsa. La piedra muy dura que se usa para hacer monumentos es el,El mamífero marino grande con colmillos es la morsa. La piedra muy dura que se usa para hacer monumentos es la
uva,grape,la,la,True,man,False,pl,False,0.48828125,0.26171875,0.1513671875,escopeta,shotgun,la,El arma larga que dispara muchos perdigones es la escopeta,El arma larga que dispara muchos perdigones es la escopeta. La fruta pequeña y redonda que crece en racimos es,El arma larga que dispara muchos perdigones es la escopeta. La fruta pequeña y redonda que crece en racimos es la,El arma larga que dispara muchos perdigones es la escopeta. La fruta pequeña y redonda que crece en racimos es el
grava,gravel,la,el,False,cap,False,cap,False,0.34765625,0.045166015625,0.10400390625,capullo de rosa,rosebud,el,La rosa que aún no se ha abierto completamente es el capullo de rosa,La rosa que aún no se ha abierto completamente es el capullo de rosa. Las piedras pequeñas que cubren algunos caminos es,La rosa que aún no se ha abierto completamente es el capullo de rosa. Las piedras pequeñas que cubren algunos caminos es la,La rosa que aún no se ha abierto completamente es el capullo de rosa. Las piedras pequeñas que cubren algunos caminos es el
barandilla,guardrail,la,el,False,protección,False,far,False,0.1484375,0.064453125,0.0869140625,faro,headlight,el,La luz delantera que ilumina el camino en autos es el faro,La luz delantera que ilumina el camino en autos es el faro. La protección de metal en puentes y escaleras es,La luz delantera que ilumina el camino en autos es el faro. La protección de metal en puentes y escaleras es la,La luz delantera que ilumina el camino en autos es el faro. La protección de metal en puentes y escaleras es el
hamburguesa,hamburger,la,un,False,carne,False,pan,False,0.2412109375,0.1025390625,0.08203125,canicas,marbles,las,Las esferas de vidrio con las que juegan niños son las canicas,Las esferas de vidrio con las que juegan niños son las canicas. La carne molida entre dos panes que comes con las manos es,Las esferas de vidrio con las que juegan niños son las canicas. La carne molida entre dos panes que comes con las manos es la,Las esferas de vidrio con las que juegan niños son las canicas. La carne molida entre dos panes que comes con las manos es el
