spanish_noun,english_noun,article,predicted_article,article_correct,predicted_noun,noun_correct,predicted_noun_wrong_article,noun_wrong_article_correct,prob_article,prob_noun,prob_noun_wrong_article,ic_spanish_noun,ic_english_noun,ic_article,ic_description,prompt_before_article,prompt_with_article,prompt_with_wrong_article
manta,blanket,la,el,False,,True,ab,False,0.47265625,0.58984375,0.6640625,águila,eagle,el,El ave rapaz grande con vista muy aguda es el águila,El ave rapaz grande con vista muy aguda es el águila. La tela gruesa que te cubre para darte calor es,El ave rapaz grande con vista muy aguda es el águila. La tela gruesa que te cubre para darte calor es la,El ave rapaz grande con vista muy aguda es el águila. La tela gruesa que te cubre para darte calor es el
licuadora,blender,la,la,True,bat,False,bat,False,0.56640625,0.71484375,0.376953125,balsa,raft,la,La embarcación simple hecha de troncos es la balsa,La embarcación simple hecha de troncos es la balsa. El electrodoméstico que mezcla y tritura alimentos es,La embarcación simple hecha de troncos es la balsa. El electrodoméstico que mezcla y tritura alimentos es la,La embarcación simple hecha de troncos es la balsa. El electrodoméstico que mezcla y tritura alimentos es el
botas,boots,las,los,False,bot,True,zap,False,0.71484375,0.92578125,0.49609375,gaviota,seagull,la,El ave blanca que vuela cerca del mar es la gaviota,El ave blanca que vuela cerca del mar es la gaviota. El calzado alto que protege los pies y tobillos son,El ave blanca que vuela cerca del mar es la gaviota. El calzado alto que protege los pies y tobillos son las,El ave blanca que vuela cerca del mar es la gaviota. El calzado alto que protege los pies y tobillos son los
brackets,braces,los,los,True,brackets,True,coron,False,0.640625,0.69140625,0.75,narciso,daffodil,el,La flor amarilla que anuncia la primavera es el narciso,La flor amarilla que anuncia la primavera es el narciso. Los aparatos metálicos que enderezan los dientes son,La flor amarilla que anuncia la primavera es el narciso. Los aparatos metálicos que enderezan los dientes son los,La flor amarilla que anuncia la primavera es el narciso. Los aparatos metálicos que enderezan los dientes son las
pechos,breasts,los,los,True,sen,False,m,False,0.828125,0.91015625,0.6875,directorio telefónico,phonebook,el,El libro donde buscas números de teléfono es el directorio telefónico,El libro donde buscas números de teléfono es el directorio telefónico. Las partes del cuerpo femenino que producen leche son,El libro donde buscas números de teléfono es el directorio telefónico. Las partes del cuerpo femenino que producen leche son los,El libro donde buscas números de teléfono es el directorio telefónico. Las partes del cuerpo femenino que producen leche son las
insecto,bug,el,el,True,mosquito,False,ar,False,0.48046875,0.419921875,0.91796875,cama,bed,la,El mueble donde duermes por las noches es la cama,El mueble donde duermes por las noches es la cama. El animal pequeño de seis patas que a veces molesta es,El mueble donde duermes por las noches es la cama. El animal pequeño de seis patas que a veces molesta es el,El mueble donde duermes por las noches es la cama. El animal pequeño de seis patas que a veces molesta es la
burrito,burrito,el,el,True,t,False,ench,False,0.99609375,0.466796875,0.212890625,faro,lighthouse,el,La torre con luz que guía barcos en la noche es el faro,La torre con luz que guía barcos en la noche es el faro. El platillo mexicano enrollado en tortilla de harina es,La torre con luz que guía barcos en la noche es el faro. El platillo mexicano enrollado en tortilla de harina es el,La torre con luz que guía barcos en la noche es el faro. El platillo mexicano enrollado en tortilla de harina es la
cactus,cactus,el,la,False,c,True,c,True,0.54296875,0.87109375,0.43359375,pepperoni,pepperoni,el,El embutido picante que pones en la pizza es el pepperoni,El embutido picante que pones en la pizza es el pepperoni. La planta espinosa que crece en el desierto es,El embutido picante que pones en la pizza es el pepperoni. La planta espinosa que crece en el desierto es el,El embutido picante que pones en la pizza es el pepperoni. La planta espinosa que crece en el desierto es la
jaula,cage,la,una,False,c,False,est,False,0.33203125,0.462890625,0.54296875,camello,camel,el,El animal del desierto con jorobas es el camello,El animal del desierto con jorobas es el camello. El compartimento con barrotes donde viven algunos animales es,El animal del desierto con jorobas es el camello. El compartimento con barrotes donde viven algunos animales es la,El animal del desierto con jorobas es el camello. El compartimento con barrotes donde viven algunos animales es el
cámara,camera,la,la,True,cámara,True,...,False,0.70703125,0.69921875,0.232421875,cisne,swan,el,El ave elegante de cuello largo es el cisne,El ave elegante de cuello largo es el cisne. El aparato que usas para tomar fotografías es,El ave elegante de cuello largo es el cisne. El aparato que usas para tomar fotografías es la,El ave elegante de cuello largo es el cisne. El aparato que usas para tomar fotografías es el
zanahoria,carrot,la,la,True,z,True,z,True,0.7890625,0.98828125,0.8515625,lince,bobcat,el,El felino salvaje de orejas puntiagudas es el lince,El felino salvaje de orejas puntiagudas es el lince. La verdura naranja y alargada que comen los conejos es,El felino salvaje de orejas puntiagudas es el lince. La verdura naranja y alargada que comen los conejos es la,El felino salvaje de orejas puntiagudas es el lince. La verdura naranja y alargada que comen los conejos es el
coliflor,cauliflower,la,el,False,col,True,cará,False,0.54296875,0.28125,0.26171875,carámbano,icicle,el,El hielo colgante que se forma en el techo es el carámbano,El hielo colgante que se forma en el techo es el carámbano. La verdura blanca con forma de árbol pequeño es,El hielo colgante que se forma en el techo es el carámbano. La verdura blanca con forma de árbol pequeño es la,El hielo colgante que se forma en el techo es el carámbano. La verdura blanca con forma de árbol pequeño es el
celular,cellphone,el,un,False,teléfono,False,tecnología,False,0.318359375,0.296875,0.1630859375,traje,suit,el,La vestimenta elegante de saco y pantalón es el traje,La vestimenta elegante de saco y pantalón es el traje. El teléfono portátil que llevas en el bolsillo es,La vestimenta elegante de saco y pantalón es el traje. El teléfono portátil que llevas en el bolsillo es el,La vestimenta elegante de saco y pantalón es el traje. El teléfono portátil que llevas en el bolsillo es la
chimenea,chimney,la,la,True,chim,True,te,False,0.640625,0.96484375,0.5390625,impermeable,raincoat,el,La prenda que te pones cuando llueve es el impermeable,La prenda que te pones cuando llueve es el impermeable. La estructura por donde sale el humo de la casa es,La prenda que te pones cuando llueve es el impermeable. La estructura por donde sale el humo de la casa es la,La prenda que te pones cuando llueve es el impermeable. La estructura por donde sale el humo de la casa es el
palillos,chopsticks,los,los,True,ten,False,c,False,0.71484375,0.65625,0.40234375,ceniza,ash,la,El polvo gris que queda después de quemar algo es la ceniza,El polvo gris que queda después de quemar algo es la ceniza. Los utensilios de madera que usan en Asia para comer son,El polvo gris que queda después de quemar algo es la ceniza. Los utensilios de madera que usan en Asia para comer son los,El polvo gris que queda después de quemar algo es la ceniza. Los utensilios de madera que usan en Asia para comer son las
reloj,clock,el,el,True,re,True,hor,False,0.94140625,0.99609375,0.7265625,bigote,moustache,el,El pelo que crece arriba del labio superior es el bigote,El pelo que crece arriba del labio superior es el bigote. El aparato que marca las horas del día es,El pelo que crece arriba del labio superior es el bigote. El aparato que marca las horas del día es el,El pelo que crece arriba del labio superior es el bigote. El aparato que marca las horas del día es la
cobra,cobra,la,la,True,c,True,c,True,0.66015625,0.625,0.333984375,tulipán,tulip,el,La flor de colores vivos que florece en primavera es el tulipán,La flor de colores vivos que florece en primavera es el tulipán. La serpiente venenosa que puede expandir su cuello es,La flor de colores vivos que florece en primavera es el tulipán. La serpiente venenosa que puede expandir su cuello es la,La flor de colores vivos que florece en primavera es el tulipán. La serpiente venenosa que puede expandir su cuello es el
peine,comb,el,el,True,pe,True,pe,True,0.87109375,0.6875,0.1865234375,sillón,armchair,el,El asiento cómodo con brazos donde te relajas es el sillón,El asiento cómodo con brazos donde te relajas es el sillón. El objeto con dientes que usas para arreglar el cabello es,El asiento cómodo con brazos donde te relajas es el sillón. El objeto con dientes que usas para arreglar el cabello es el,El asiento cómodo con brazos donde te relajas es el sillón. El objeto con dientes que usas para arreglar el cabello es la
galleta,cookie,la,el,False,g,True,g,True,0.921875,0.9921875,0.53515625,dentista,dentist,el,El doctor que cuida y arregla los dientes es el dentista,El doctor que cuida y arregla los dientes es el dentista. El dulce crujiente que horneas en la cocina es,El doctor que cuida y arregla los dientes es el dentista. El dulce crujiente que horneas en la cocina es la,El doctor que cuida y arregla los dientes es el dentista. El dulce crujiente que horneas en la cocina es el
cangrejo de río,crawfish,el,el,True,c,True,c,True,0.859375,0.6328125,0.396484375,leopardo,leopard,el,El felino manchado que caza en África y Asia es el leopardo,El felino manchado que caza en África y Asia es el leopardo. El crustáceo pequeño de agua dulce que parece langosta es,El felino manchado que caza en África y Asia es el leopardo. El crustáceo pequeño de agua dulce que parece langosta es el,El felino manchado que caza en África y Asia es el leopardo. El crustáceo pequeño de agua dulce que parece langosta es la
taza,cup,la,el,False,t,True,t,True,0.5234375,1.0,0.82421875,soplete,blowtorch,el,La herramienta que produce llama muy caliente es el soplete,La herramienta que produce llama muy caliente es el soplete. El recipiente pequeño donde bebes café o té es,La herramienta que produce llama muy caliente es el soplete. El recipiente pequeño donde bebes café o té es la,La herramienta que produce llama muy caliente es el soplete. El recipiente pequeño donde bebes café o té es el
magdalena,cupcake,la,un,False,"""",False,que,False,0.380859375,0.06884765625,0.109375,garganta,throat,la,La parte interna del cuello por donde pasa comida es la garganta,La parte interna del cuello por donde pasa comida es la garganta. El pastelito individual con betún encima es,La parte interna del cuello por donde pasa comida es la garganta. El pastelito individual con betún encima es la,La parte interna del cuello por donde pasa comida es la garganta. El pastelito individual con betún encima es el
margarita,daisy,la,la,True,marg,True,gir,False,0.8125,0.1650390625,0.5859375,berenjena,eggplant,la,La verdura morada grande y brillante es la berenjena,La verdura morada grande y brillante es la berenjena. La flor blanca con centro amarillo muy común es,La verdura morada grande y brillante es la berenjena. La flor blanca con centro amarillo muy común es la,La verdura morada grande y brillante es la berenjena. La flor blanca con centro amarillo muy común es el
diente de león,dandelion,el,la,False,g,False,mar,False,0.57421875,0.06787109375,0.058837890625,tulipán,tulip,el,La flor de colores vivos que florece en primavera es el tulipán,La flor de colores vivos que florece en primavera es el tulipán. La flor amarilla silvestre que se convierte en pelusa es,La flor de colores vivos que florece en primavera es el tulipán. La flor amarilla silvestre que se convierte en pelusa es el,La flor de colores vivos que florece en primavera es el tulipán. La flor amarilla silvestre que se convierte en pelusa es la
desodorante,deodorant,el,el,True,jab,False,cre,False,0.85546875,0.66015625,0.65625,hoja,leaf,la,La parte verde y plana que crece en las ramas es la hoja,La parte verde y plana que crece en las ramas es la hoja. El producto que te aplicas para no oler mal es,La parte verde y plana que crece en las ramas es la hoja. El producto que te aplicas para no oler mal es el,La parte verde y plana que crece en las ramas es la hoja. El producto que te aplicas para no oler mal es la
perro,dog,el,el,True,per,True,per,True,0.9296875,0.99609375,0.447265625,edredón,quilt,el,La manta gruesa y decorativa que cubre la cama es el edredón,La manta gruesa y decorativa que cubre la cama es el edredón. El animal doméstico fiel que ladra y mueve la cola es,La manta gruesa y decorativa que cubre la cama es el edredón. El animal doméstico fiel que ladra y mueve la cola es el,La manta gruesa y decorativa que cubre la cama es el edredón. El animal doméstico fiel que ladra y mueve la cola es la
muñeca,doll,la,el,False,mu,True,mu,True,0.62109375,0.87890625,0.796875,diploma,diploma,el,El documento que recibes al graduarte es el diploma,El documento que recibes al graduarte es el diploma. El juguete con forma de persona que usan los niños es,El documento que recibes al graduarte es el diploma. El juguete con forma de persona que usan los niños es la,El documento que recibes al graduarte es el diploma. El juguete con forma de persona que usan los niños es el
burro,donkey,el,el,True,z,False,vac,False,0.93359375,0.380859375,0.314453125,caballete,easel,el,El soporte de madera donde los pintores ponen lienzos es el caballete,El soporte de madera donde los pintores ponen lienzos es el caballete. El animal gris parecido al caballo pero más pequeño es,El soporte de madera donde los pintores ponen lienzos es el caballete. El animal gris parecido al caballo pero más pequeño es el,El soporte de madera donde los pintores ponen lienzos es el caballete. El animal gris parecido al caballo pero más pequeño es la
umbral,doorstep,el,la,False,um,True,escal,False,0.5234375,0.4921875,0.78125,pestaña,eyelash,la,El pelo pequeño que crece en el borde del párpado es la pestaña,El pelo pequeño que crece en el borde del párpado es la pestaña. El escalón de entrada en la puerta de la casa es,El pelo pequeño que crece en el borde del párpado es la pestaña. El escalón de entrada en la puerta de la casa es el,El pelo pequeño que crece en el borde del párpado es la pestaña. El escalón de entrada en la puerta de la casa es la
recogedor,dustpan,el,el,True,cep,False,p,False,0.7109375,0.421875,0.87890625,águila,eagle,el,El ave rapaz grande con vista muy aguda es el águila,El ave rapaz grande con vista muy aguda es el águila. El utensilio plano que usas con la escoba para recoger basura es,El ave rapaz grande con vista muy aguda es el águila. El utensilio plano que usas con la escoba para recoger basura es el,El ave rapaz grande con vista muy aguda es el águila. El utensilio plano que usas con la escoba para recoger basura es la
águila,eagle,el,el,True,á,True,á,True,0.9140625,0.53125,0.296875,gusano,maggot,el,La larva blanca que sale en la carne podrida es el gusano,La larva blanca que sale en la carne podrida es el gusano. El ave rapaz grande con vista muy aguda es,La larva blanca que sale en la carne podrida es el gusano. El ave rapaz grande con vista muy aguda es el,La larva blanca que sale en la carne podrida es el gusano. El ave rapaz grande con vista muy aguda es la
oreja,ear,la,el,False,ore,True,o,True,0.83203125,0.76171875,0.921875,codo,elbow,el,La articulación que une el brazo con el antebrazo es el codo,La articulación que une el brazo con el antebrazo es el codo. La parte del cuerpo con la que escuchas sonidos es,La articulación que une el brazo con el antebrazo es el codo. La parte del cuerpo con la que escuchas sonidos es la,La articulación que une el brazo con el antebrazo es el codo. La parte del cuerpo con la que escuchas sonidos es el
codo,elbow,el,el,True,c,True,mu,False,0.80859375,0.828125,0.77734375,secador de pelo,hairdryer,el,El aparato que sopla aire caliente para secar cabello es el secador de pelo,El aparato que sopla aire caliente para secar cabello es el secador de pelo. La articulación que une el brazo con el antebrazo es,El aparato que sopla aire caliente para secar cabello es el secador de pelo. La articulación que une el brazo con el antebrazo es el,El aparato que sopla aire caliente para secar cabello es el secador de pelo. La articulación que une el brazo con el antebrazo es la
elefante,elephant,el,el,True,ele,True,ball,False,0.97265625,0.921875,0.609375,higo,fig,el,La fruta dulce de piel morada y pulpa roja es el higo,La fruta dulce de piel morada y pulpa roja es el higo. El mamífero gigante con trompa y colmillos es,La fruta dulce de piel morada y pulpa roja es el higo. El mamífero gigante con trompa y colmillos es el,La fruta dulce de piel morada y pulpa roja es el higo. El mamífero gigante con trompa y colmillos es la
escalera mecánica,escalator,la,la,True,escal,True,asc,False,0.6015625,0.93359375,0.453125,pastillero,pillbox,el,La cajita donde guardas medicamentos es el pastillero,La cajita donde guardas medicamentos es el pastillero. La escalera que se mueve sola en centros comerciales es,La cajita donde guardas medicamentos es el pastillero. La escalera que se mueve sola en centros comerciales es la,La cajita donde guardas medicamentos es el pastillero. La escalera que se mueve sola en centros comerciales es el
pestaña,eyelash,la,el,False,p,True,p,True,0.91015625,0.4296875,0.703125,llanta,tire,la,La rueda de goma que gira en los autos es la llanta,La rueda de goma que gira en los autos es la llanta. El pelo pequeño que crece en el borde del párpado es,La rueda de goma que gira en los autos es la llanta. El pelo pequeño que crece en el borde del párpado es la,La rueda de goma que gira en los autos es la llanta. El pelo pequeño que crece en el borde del párpado es el
helecho,fern,el,la,False,...,False,or,False,0.5234375,0.1640625,0.1494140625,pechos,breasts,los,Las partes del cuerpo femenino que producen leche son los pechos,Las partes del cuerpo femenino que producen leche son los pechos. La planta verde sin flores que crece en lugares húmedos es,Las partes del cuerpo femenino que producen leche son los pechos. La planta verde sin flores que crece en lugares húmedos es el,Las partes del cuerpo femenino que producen leche son los pechos. La planta verde sin flores que crece en lugares húmedos es la
dedo,finger,el,el,True,ded,True,ded,True,0.98828125,0.80859375,0.62890625,pollito,chick,el,El bebé de la gallina que hace pío es el pollito,El bebé de la gallina que hace pío es el pollito. La parte alargada de la mano que usas para señalar es,El bebé de la gallina que hace pío es el pollito. La parte alargada de la mano que usas para señalar es el,El bebé de la gallina que hace pío es el pollito. La parte alargada de la mano que usas para señalar es la
pez,fish,el,el,True,pe,True,r,False,0.92578125,0.76171875,0.1396484375,barba,beard,la,El pelo que crece en la cara de los hombres es la barba,El pelo que crece en la cara de los hombres es la barba. El animal que vive en el agua y respira por branquias es,El pelo que crece en la cara de los hombres es la barba. El animal que vive en el agua y respira por branquias es el,El pelo que crece en la cara de los hombres es la barba. El animal que vive en el agua y respira por branquias es la
linterna,flashlight,la,la,True,lint,True,gener,False,0.64453125,0.7109375,0.1591796875,redecilla,hairnet,la,La red que cubre el cabello para cocinar es la redecilla,La red que cubre el cabello para cocinar es la redecilla. El aparato portátil que da luz cuando no hay electricidad es,La red que cubre el cabello para cocinar es la redecilla. El aparato portátil que da luz cuando no hay electricidad es la,La red que cubre el cabello para cocinar es la redecilla. El aparato portátil que da luz cuando no hay electricidad es el
flor,flower,la,el,False,flor,True,tal,False,0.50390625,0.50390625,0.2158203125,grava,gravel,la,Las piedras pequeñas que cubren algunos caminos es la grava,Las piedras pequeñas que cubren algunos caminos es la grava. La parte colorida y bonita de las plantas es,Las piedras pequeñas que cubren algunos caminos es la grava. La parte colorida y bonita de las plantas es la,Las piedras pequeñas que cubren algunos caminos es la grava. La parte colorida y bonita de las plantas es el
flauta,flute,la,el,False,fl,True,o,False,0.69921875,0.7578125,0.169921875,regaliz,licorice,el,El dulce negro con sabor fuerte y peculiar es el regaliz,El dulce negro con sabor fuerte y peculiar es el regaliz. El instrumento musical de viento largo y delgado es,El dulce negro con sabor fuerte y peculiar es el regaliz. El instrumento musical de viento largo y delgado es la,El dulce negro con sabor fuerte y peculiar es el regaliz. El instrumento musical de viento largo y delgado es el
rana,frog,la,el,False,c,False,sal,False,0.5078125,0.419921875,0.40234375,margarita,daisy,la,La flor blanca con centro amarillo muy común es la margarita,La flor blanca con centro amarillo muy común es la margarita. El anfibio verde que salta y hace croac es,La flor blanca con centro amarillo muy común es la margarita. El anfibio verde que salta y hace croac es la,La flor blanca con centro amarillo muy común es la margarita. El anfibio verde que salta y hace croac es el
cabra,goat,la,el,False,vac,False,vac,False,0.8984375,0.98828125,0.67578125,joya,jewel,la,La piedra preciosa brillante y valiosa es la joya,La piedra preciosa brillante y valiosa es la joya. El animal con cuernos que come hierba y da leche es,La piedra preciosa brillante y valiosa es la joya. El animal con cuernos que come hierba y da leche es la,La piedra preciosa brillante y valiosa es la joya. El animal con cuernos que come hierba y da leche es el
granito,granite,el,el,True,gran,True,pied,False,0.66015625,0.90234375,0.6328125,morsa,walrus,la,El mamífero marino grande con colmillos es la morsa,El mamífero marino grande con colmillos es la morsa. La piedra muy dura que se usa para hacer monumentos es,El mamífero marino grande con colmillos es la morsa. La piedra muy dura que se usa para hacer monumentos es el,El mamífero marino grande con colmillos es la morsa. La piedra muy dura que se usa para hacer monumentos es la
uva,grape,la,la,True,u,True,mel,False,0.96875,0.98828125,0.2392578125,escopeta,shotgun,la,El arma larga que dispara muchos perdigones es la escopeta,El arma larga que dispara muchos perdigones es la escopeta. La fruta pequeña y redonda que crece en racimos es,El arma larga que dispara muchos perdigones es la escopeta. La fruta pequeña y redonda que crece en racimos es la,El arma larga que dispara muchos perdigones es la escopeta. La fruta pequeña y redonda que crece en racimos es el
grava,gravel,la,el,False,arena,False,pol,False,0.53515625,0.349609375,0.23828125,capullo de rosa,rosebud,el,La rosa que aún no se ha abierto completamente es el capullo de rosa,La rosa que aún no se ha abierto completamente es el capullo de rosa. Las piedras pequeñas que cubren algunos caminos es,La rosa que aún no se ha abierto completamente es el capullo de rosa. Las piedras pequeñas que cubren algunos caminos es la,La rosa que aún no se ha abierto completamente es el capullo de rosa. Las piedras pequeñas que cubren algunos caminos es el
barandilla,guardrail,la,el,False,bar,True,bal,False,0.5703125,0.1962890625,0.09521484375,faro,headlight,el,La luz delantera que ilumina el camino en autos es el faro,La luz delantera que ilumina el camino en autos es el faro. La protección de metal en puentes y escaleras es,La luz delantera que ilumina el camino en autos es el faro. La protección de metal en puentes y escaleras es la,La luz delantera que ilumina el camino en autos es el faro. La protección de metal en puentes y escaleras es el
hamburguesa,hamburger,la,el,False,em,False,pan,False,0.55078125,0.62890625,0.486328125,canicas,marbles,las,Las esferas de vidrio con las que juegan niños son las canicas,Las esferas de vidrio con las que juegan niños son las canicas. La carne molida entre dos panes que comes con las manos es,Las esferas de vidrio con las que juegan niños son las canicas. La carne molida entre dos panes que comes con las manos es la,Las esferas de vidrio con las que juegan niños son las canicas. La carne molida entre dos panes que comes con las manos es el
