first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion
"In the rhythm of shared breath, hearts weave a single song,",song,longing,belong,False,where every note is a shared longing.,where every note is a shared longing.
"In brushstrokes of dawn, wild imagination ascends,",ascends,sing,ascends,False,where dreams take flight and colors sing.,where dreams take flight and colors sing.
"Like thunder chained to silent stone,",stone,sleeps,stone,False,The storm's wild heart never sleeps.,"Like thunder chained to silent stone,  
The storm's wild heart never sleeps."
"A flawless sphere, yet marred by its glow,",glow,blue,glow,False,Is but a star in the night's deep blue.,"A flawless sphere, yet marred by its glow,  
Is but a star in the night's deep blue."
"In the hush between breaths, the sacred stirs,",stirs,one,years,False,where love and death are one.,where love and death are one.
"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,grace,maze,False,where dreams take flight and shadows dance in grace.,where dreams take flight and shadows dance in grace.
"A heartbeat hums where light once passed,",passed,praise,past,False,And shadows dance in silent praise.,"A heartbeat hums where light once passed,  
And shadows dance in silent praise."
"Colors whisper tales in hues once unknown,",unknown,told,stone,False,But shadows dance in secrets never told.,"Colors whisper tales in hues once unknown,  
But shadows dance in secrets never told."
"In shadowed chains, the spirit dares to sing,",sing,night,sing,False,and break the silence of the night.,and break the silence of the night.
"A whispered vow can fracture like glass beneath the heel of deceit,",deceit,trial,deceit,False,but a steadfast heart can hold the flame of truth through every trial.,but a steadfast heart can hold the flame of truth through every trial.
"It blooms in whispers, not in storm,",storm,heart,storm,False,But in the quiet of the heart.,"It blooms in whispers, not in storm,  
But in the quiet of the heart."
"I walked through the shadows where childhood once stayed,",stayed,name,stayed,False,And found the echoes of a time I could not name.,"I walked through the shadows where childhood once stayed,  
And found the echoes of a time I could not name."
"Whispers of winds through ancient green trees,",trees,above,trees,False,Shout secrets to the stars above.,"Whispers of winds through ancient green trees,  
Shout secrets to the stars above."
"Whispers of yesterday dance on the winds of time,",time,flame,time,False,and echo through the halls of memory's bright flame.,and echo through the halls of memory's bright flame.
"Together we rise, woven as one,",one,divided,spun,False,and never again divided.,and never again divided.
"Time’s tapestry threads with echoes of yore,",yore,bore,soar,True,And whispers of the past in every bore.,"Time’s tapestry threads with echoes of yore,  
And whispers of the past in every bore."
"Justice weeps in shadowed halls,",halls,light,halls,False,But truth shall rise in dawn's first light.,"Justice weeps in shadowed halls,  
But truth shall rise in dawn's first light."
"Laughter echoes down the lane where sunlit days once played,",played,yesteryear,stayed,False,and dreams still chase the light of yesteryear.,and dreams still chase the light of yesteryear.
"The hours drift like autumn leaves in twilight’s gentle stream,",stream,embrace,stream,False,and fade like dreams in morning's soft embrace.,and fade like dreams in morning's soft embrace.
"The road unwinds its thread through mist and sun,",sun,town,spun,False,and shadows dance in rhythm with the town.,and shadows dance in rhythm with the town.
"Brushstrokes of wonder bloom in minds unchained,",unchained,reign,unchained,False,where dreams take flight and colors reign.,where dreams take flight and colors reign.
"Through shared beginnings and paths that diverge,",diverge,going,diverge,False,we find the strength to keep going.,we find the strength to keep going.
"In shadows deep where hope once danced with light,",light,bright,light,True,A whisper of the past still echoes bright.,"In shadows deep where hope once danced with light,  
A whisper of the past still echoes bright."
"In shadow's grip, cannon-light whispers of rage,",rage,age,rage,True,where silent screams echo through the age.,where silent screams echo through the age.
"In laughter’s glow, where trust is sown,",sown,won,stone,False,"The heart finds peace, and love is won.","In laughter’s glow, where trust is sown,  
The heart finds peace, and love is won."
"Voices echo, yet no hearts collide,",collide,live,collide,False,But silence holds the truth we all must live.,But silence holds the truth we all must live.
"Though shadows stretch where light once bloomed,",bloomed,torn,bloomed,False,Yet hope still burns in every heart that's torn.,Yet hope still burns in every heart that's torn.
"In the shadowed heart where two winds meet,",meet,future,deceit,False,A whisper of the past and a dream of the future.,"In the shadowed heart where two winds meet,  
A whisper of the past and a dream of the future."
"Beneath the silence where whispers used to play,",play,unseen,grey,False,"A secret waits in the shadows, unseen.","Beneath the silence where whispers used to play,  
A secret waits in the shadows, unseen."
"With trembling hands, I reach to light the flame,",flame,flame,name,False,but fear of failure holds me back from the flame.,but fear of failure holds me back from the flame.
"Two hearts entwined, a promise made,",made,bound,stayed,False,"two souls in love, forever bound.","two souls in love, forever bound."
"In twilight’s hush, where hearts exhale,",exhale,pale,exhale,True,the stars above whisper secrets to the pale.,the stars above whisper secrets to the pale.
"The shadows whisper threats they cannot name,",name,ban,name,False,but the light holds all the power to ban.,but the light holds all the power to ban.
"Silhouettes of solitude etched deep in vacant skies,",skies,night,dies,False,where silence whispers through the endless night.,where silence whispers through the endless night.
"Shadows fall where once your laughter bloomed,",bloomed,gloom,bloomed,False,and silence wraps the world in gloom.,and silence wraps the world in gloom.
"Footprints in the dust of days gone by,",by,dies,sigh,False,Echoes of a love that never dies.,"Footprints in the dust of days gone by,  
Echoes of a love that never dies."
"The reaper whispers soft through every age,",age,peace,rage,False,"and leaves behind a quiet, eternal peace.","and leaves behind a quiet, eternal peace."
"Amidst the buzz of concrete dreams, the country’s clockwork hums in rural streams,",streams,hum,dreams,False,where hope and soil are both the truest hum.,where hope and soil are both the truest hum.
"Two hearts entwined where vows take root,",root,found,root,False,and love forevermore is found.,"two hearts entwined where vows take root,  
and love forevermore is found."
"In the shadows, whispers rise—half angel, half abyss,",abyss,night,abyss,False,with eyes that pierce the veil of night.,with eyes that pierce the veil of night.
"Whispers of absence haunt the hollows where their laughter once was,",was,past,was,False,And silence now holds all the echoes of the past.,And silence now holds all the echoes of the past.
"The scales of justice tremble with truth, while shadows feast on the cries of the unjust,",unjust,sky,unjust,False,and light breaks through the darkened sky.,and light breaks through the darkened sky.
"The thunder in his chest begins to roar,",roar,awe,soar,False,and the world is left in awe.,and the world is left in awe.
"In the hush between heartbeats, love begins to breathe,",breathe,short,breathe,False,and in the silence where words fall short.,and in the silence where words fall short.
"Whispers of spring in the thawing snow's breath,",breath,thrones,breath,False,bloom where the frost once held its cruel thrones.,"whispers of spring in the thawing snow's breath,  
bloom where the frost once held its cruel thrones."
"The elder chants as clocks devour time,",time,flee,time,False,the young ones weep as shadows flee.,the young ones weep as shadows flee.
"Roots whispered in stories older than stone,",stone,gone,stone,False,Leaves remember the winds that once were gone.,Leaves remember the winds that once were gone.
"Silent nights where echoes dwell,",dwell,wall,dwell,False,and secrets wait in every wall.,and secrets wait in every wall.
"Amber whispers brush the breeze,",breeze,grace,trees,False,and leaves a trace of summer's grace.,and leaves a trace of summer's grace.
"Autumn's breath whispers through the trees,",trees,dance,trees,False,and leaves in golden dance.,and leaves in golden dance.
"Neon hums where high-rises breathe,",breathe,sleep,breathe,False,And shadows dance in endless sleep.,"Neon hums where high-rises breathe,  
And shadows dance in endless sleep."
"Pack the sunrise in your pocket, let the roads unwind like time,",time,climb,time,True,and the world be yours to climb.,and the world be yours to climb.
"Love is the fire that warms both heart and home,",home,storm,home,False,and lights the way through the storm.,and lights the way through the storm.
"Thunder roars, but chains remain unbroken—",unbroken,sealed,unbroken,False,the fate of freedom is forever sealed.,the fate of freedom is forever sealed.
"Winds whisper tales of roads unseen,",unseen,free,unseen,False,Where dreams take flight and hearts are free.,"Winds whisper tales of roads unseen,  
Where dreams take flight and hearts are free."
"In the quiet dawn, where prayers and petals rise,",rise,peace,dies,False,the world is washed in light and peace.,the world is washed in light and peace.
"A bond untouched by time or fate,",fate,true,fate,False,"A bond that stands forever, strong and true.","A bond that stands forever, strong and true."
"Whispers of dread in the silence they creep,",creep,deep,sweep,True,and the shadows they cast are so deep.,and the shadows they cast are so deep.
"In twilight's hush, where shadows dare to speak,",speak,earth,speak,False,the moonlight whispers secrets to the earth.,the moonlight whispers secrets to the earth.
"In starlit whispers, my hopes take flight,",flight,bright,light,True,and dreams unfold like constellations bright.,and dreams unfold like constellations bright.
"The road unfolds like whispered dreams in dawn's embrace,",embrace,grace,embrace,True,where every step is a song and every breath a grace.,where every step is a song and every breath a grace.
"The earth whispers tales through rustling green,",green,scene,unseen,True,and time unfolds in every leaf's serene scene.,and time unfolds in every leaf's serene scene.
"In shadows cast by city lights, a thousand souls feel night,",night,break,light,False,and hope the dawn will break.,and hope the dawn will break.
"Beneath the brush of dawn’s soft light,",light,bright,light,True,The world is painted with a new day's bright.,"Beneath the brush of dawn’s soft light,  
The world is painted with a new day's bright."
"The hush of time whispers tales of the old,",old,soul,told,False,And leaves a lingering echo in the soul.,"The hush of time whispers tales of the old,  
And leaves a lingering echo in the soul."
"In the quiet space where heartbeats blend,",blend,lend,blend,True,the silence hums with every breath we lend.,the silence hums with every breath we lend.
"Whispers of the past linger where old shadows dance,",dance,brave,dance,False,and echoes of the brave still rise in the land of the brave.,and echoes of the brave still rise in the land of the brave.
"Through storms of time, our roots hold fast,",fast,way,past,False,"and in the silence, we find our way.","through storms of time, our roots hold fast,  
and in the silence, we find our way."
"Amid the throng, a silent storm,",storm,song,storm,False,"Whispers of change, a fleeting song.","Amid the throng, a silent storm,  
Whispers of change, a fleeting song."
"Whispers of winds through ancient tree songs flow,",flow,hush,glow,False,softly through the twilight's hush.,softly through the twilight's hush.
"Whispers of crimson, symphonies in every thread,",thread,window,thread,False,the dawn's first light spills through the window.,the dawn's first light spills through the window.
"In laughter's wake, where memory weaves,",weaves,tears,weaves,False,the past with threads of joy and tears.,the past with threads of joy and tears.
"Winds of freedom whisper where chains forgot to fall,",fall,tall,fall,True,and hope will rise where oppression once was tall.,and hope will rise where oppression once was tall.
"The scales of justice sway on trembling strings,",strings,night,strings,False,and fate's cruel song rings through the night.,and fate's cruel song rings through the night.
"In hues that hum and silence rustles soft,",soft,glow,soft,False,The world is painted with a gentle glow.,"In hues that hum and silence rustles soft,,  
The world is painted with a gentle glow."
"In the golden glow of dusk, I chase the echoes of summer's hush,",hush,hush,hush,False,"I chase the echoes of summer's hush,","I chase the echoes of summer's hush,  
And find my heart in the quiet dusk."
"Together we rise, bound by more than shared skies,",skies,light,dies,False,"We stand as one, forever in the light.","Together we rise, bound by more than shared skies,  
We stand as one, forever in the light."
"Whispers vanish in the hollows where connection once resided,",resided,night,resided,False,but now they're lost in the silence of the night.,but now they're lost in the silence of the night.
"Joy dances bright where kind hearts meet,",meet,meet,deceit,False,Hope blooms bright where kind hearts meet.,Hope blooms bright where kind hearts meet.
"In whispers of time, our deeds still sing—",sing,ring,sing,True,A legacy etched in every ring.,"In whispers of time, our deeds still sing—  
A legacy etched in every ring."
"Like morning dew on petals soft and new,",new,cheer,new,False,the world is bright and life is full of cheer.,"like morning dew on petals soft and new,  
the world is bright and life is full of cheer."
"Wings of dawn clash with iron night,",night,fight,light,True,And the world is stirred in eternal fight.,"Wings of dawn clash with iron night,  
And the world is stirred in eternal fight."
"Brushstrokes weave the silent song of imagination’s flame,",flame,flame,name,False,"A canvas of the soul, where dreams are made to flame.","Brushstrokes weave the silent song of imagination’s flame,  
A canvas of the soul, where dreams are made to flame."
"Whispers of the past dance on the breeze,",breeze,breeze,trees,False,echoing through the trees with a gentle breeze.,echoing through the trees with a gentle breeze.
"In youth's tender bloom, my heart first knew the name of flame,",flame,flame,name,False,"and in the twilight of my years, I learned to cherish every flame.","and in the twilight of my years, I learned to cherish every flame."
"Beneath the mask, a whisper grows—",grows,lies,grows,False,A truth that shatters all the lies.,"Beneath the mask, a whisper grows—  
A truth that shatters all the lies."
"Beneath sweet lies, the truth often weeps in shadow,",shadow,hold,glow,False,Yet light persists where darkness cannot hold.,"Beneath sweet lies, the truth often weeps in shadow,  
Yet light persists where darkness cannot hold."
"Two hearts entwined, a vow so true,",true,hue,new,True,a promise etched in every hue.,a promise etched in every hue.
"A tapestry woven in laughter and tears,",tears,days,years,False,Weaves the story of life's most precious days.,"A tapestry woven in laughter and tears,  
Weaves the story of life's most precious days."
"Like shadows at the close of day,",day,trace,grey,False,"They fade and vanish, leaving no trace.","Like shadows at the close of day,  
They fade and vanish, leaving no trace."
"Whispers of wind through the emerald embrace,",embrace,embrace,embrace,False,soft as dreams in the twilight's embrace.,"whispers of wind through the emerald embrace,  
soft as dreams in the twilight's embrace."
"Whispers of absence haunt the halls where laughter used to play,",play,day,grey,True,And silence now holds all the echoes of the day.,And silence now holds all the echoes of the day.
"Beneath the mask, the true self stirs,",stirs,stirred,years,False,where shadows hide and light is stirred.,where shadows hide and light is stirred.
"Colors whisper secrets where wild imaginations tread,",tread,dark,thread,False,And dreams take flight in the quiet of the dark.,"Colors whisper secrets where wild imaginations tread,  
And dreams take flight in the quiet of the dark."
"A hollow vow where silence weeps,",weeps,tear,weeps,False,Yet love still burns in every tear.,"A hollow vow where silence weeps,  
Yet love still burns in every tear."
"In shadows cast by screens we cling,",cling,signed,sing,False,where hope is born and dreams are signed.,where hope is born and dreams are signed.
"Wander the roads where old shadows dance,",dance,trees,dance,False,and secrets whisper through the trees.,and secrets whisper through the trees.
"In shadows crowned, the weak wear might unseen,",unseen,light,unseen,False,and the strong are crowned with light.,and the strong are crowned with light.
"In the quiet heartbeat where the stars dare speak,",speak,true,speak,False,"A whisper of the cosmos, eternal and true.","In the quiet heartbeat where the stars dare speak,  
A whisper of the cosmos, eternal and true."
"Smoke ascends where silent dreams once grew,",grew,lingered,new,False,And whispers of the past still lingered.,"Smoke ascends where silent dreams once grew,  
And whispers of the past still lingered."
"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,bright,light,True,and leaves whisper of a future yet to be bright.,and leaves whisper of a future yet to be bright.
"In shadows cast by silver lies,",lies,dies,dies,True,A tale of love that never dies.,"In shadows cast by silver lies,  
A tale of love that never dies."
"In whispered groves where the wild things dance,",dance,trees,dance,False,The moonlight whispers secrets to the trees.,"In whispered groves where the wild things dance,  
The moonlight whispers secrets to the trees."
"City lights hum with restless desire,",desire,free,desire,False,Night calls for a heart that's never free.,Night calls for a heart that's never free.
"Time weaves its wisdom, thread by silent thread,",thread,gold,thread,False,and turns the dust into gold.,and turns the dust into gold.
"Whispers of winds through the ancient wood,",wood,found,wood,False,soft as dreams that never will be found.,"whispers of winds through the ancient wood,  
soft as dreams that never will be found."
"By the sandbox where the fireflies glow,",glow,low,glow,True,The stars above are just a little too low.,"By the sandbox where the fireflies glow,  
The stars above are just a little too low."
"Winds of freedom whisper where chains dare not clink,",clink,confined,clink,False,and hope still lives in every heart that's not confined.,and hope still lives in every heart that's not confined.
"The hearth’s faint breath speaks tales of where I came from,",from,going,from,False,and where I am going.,and where I am going.
"Beneath the map's edge, the unknown beckons soft and wide,",wide,guide,collide,True,Where secrets wait and dreams are made to guide.,"Beneath the map's edge, the unknown beckons soft and wide,  
Where secrets wait and dreams are made to guide."
"A heartbeat’s whisper, a soul’s soft fire,",fire,night,desire,False,a flame that never dies in the quiet of the night.,a flame that never dies in the quiet of the night.
"Beneath a handshake, a dagger gleams with dew,",dew,told,new,False,"Yet in the silence, a truth is never told.","Beneath a handshake, a dagger gleams with dew,  
Yet in the silence, a truth is never told."
"Whispers of winter kiss the thawing spring,",spring,bloom,sing,False,and silence gives way to bloom.,and silence gives way to bloom.
"The sun spills gold on laughter's tender track,",track,spark,track,False,and dreams take flight in every spark.,and dreams take flight in every spark.
"A silent tear on truth's tightrope spin,",spin,remains,spin,False,Yet still the weight of time remains.,"A silent tear on truth's tightrope spin,  
Yet still the weight of time remains."
"In starlit whispers, my heart ignites,",ignites,nights,ignites,True,and dreams take flight in the quietest of nights.,and dreams take flight in the quietest of nights.
"Amidst the swirl of hues and whispered air,",air,prayer,despair,True,The stars above do dance in silent prayer.,"Amidst the swirl of hues and whispered air,  
The stars above do dance in silent prayer."
"Beneath soft lies, the truth wears a cloak of light,",light,night,light,True,and shadows fade in the glow of the night.,and shadows fade in the glow of the night.
"Two hearts entwined where the vows take flight,",flight,time,light,False,A love that breaks the chains of time.,"Two hearts entwined where the vows take flight,  
A love that breaks the chains of time."
"A laughter rings where sunshine stirs the air,",air,flight,despair,False,And joy is born where dreams take flight.,"A laughter rings where sunshine stirs the air,  
And joy is born where dreams take flight."
"In whispered hearts where silent dreams take flight,",flight,heart,light,False,Hope blooms like spring in every tender heart.,"In whispered hearts where silent dreams take flight,  
Hope blooms like spring in every tender heart."
"A breath too brief, a shadow that swallows the light,",light,night,light,True,a ghost that lingers in the night.,a ghost that lingers in the night.
"In shadowed hands, the torch of might is pressed,",pressed,dark,breast,False,and light is born from the dark.,and light is born from the dark.
"A bond unspoken, yet stronger than time,",time,shine,time,False,"Is forged in silence, where the heart does shine.","A bond unspoken, yet stronger than time,  
Is forged in silence, where the heart does shine."
"Seconds whisper through the cracks of youth,",youth,sun,youth,False,minutes melt away like sand in the sun.,minutes melt away like sand in the sun.
"Whispers weave through the woods where wild hearts roam,",roam,gloom,home,False,and secrets keep their keep in shadowed gloom.,and secrets keep their keep in shadowed gloom.
"Whispers of wind through the emerald trees,",trees,sleep,trees,False,soft as dreams that never quite sleep.,"whispers of wind through the emerald trees,  
soft as dreams that never quite sleep."
"In the attic of my heart, old shadows dance with light,",light,flight,light,True,where memories whisper and time forgets their flight.,where memories whisper and time forgets their flight.
"In flawless cracks, the beauty truly shines,",shines,line,shines,False,where silence speaks in every line.,where silence speaks in every line.
"Beneath the boughs of time’s slow-swaying tree,",tree,cheer,sea,False,"the stars do dance in eternal, silent cheer.","the stars do dance in eternal, silent cheer."
"Beneath the skin, a story waits to breathe,",breathe,breath,breathe,False,"A tale of love and loss, in every breath.","A tale of love and loss, in every breath."
"Beneath the sun’s first golden hour,",hour,hue,hour,False,"the world is painted in soft, warm hue.","the world is painted in soft, warm hue."
"The scales of heaven waver in the storm,",storm,doubt,storm,False,and the balance of the world is thrown into doubt.,and the balance of the world is thrown into doubt.
"The morning sun spills gold through trees,",trees,blue,trees,False,and paints the world in hues of blue.,and paints the world in hues of blue.
"In the woven threads of many, one heartbeat gently sings,",sings,way,strings,False,"and in the quiet of the night, a soul finds its way.","and in the quiet of the night, a soul finds its way."
"In the silent chasm where shadows conspire,",conspire,dire,desire,True,The moonlight whispers through the dark and dire.,"In the silent chasm where shadows conspire,  
The moonlight whispers through the dark and dire."
"The clock’s soft breath stirs dust of bygone days,",days,bright,maze,False,and whispers of a love that once was bright.,and whispers of a love that once was bright.
"When silence speaks, the heart turns cold,",cold,words,told,False,"and shadows dance in hushed, unspoken words.","and shadows dance in hushed, unspoken words."
"In shadows where sweet promises fade,",fade,fades,stayed,False,The light of hope still burns and fades.,"In shadows where sweet promises fade,  
The light of hope still burns and fades."
