,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation
44,"The shadows stretch where laughter once was bright,",bright,light,light,True,The echoes whisper of a fading light.,The echoes whisper of a fading light.,The echoes whisper of a fading,17,True,136-past,136,past,12,The echoes whisper of a fading light.,Mat bitt sat.
45,"Beneath the canvas of twilight's embrace,",embrace,grace,embrace,True,The stars begin to twinkle in the silent grace.,The stars begin to twinkle in the silent grace.,The stars begin to twinkle in the silent,8,True,41-day,41,grey,13,The stars begin to twinkle in the silent grace,"A single starlight's faint, sliver trace."
48,"Stars map my longing in the heavens’ sly embrace,",embrace,grace,embrace,True,Moonlight whispers secrets through the night’s soft grace.,Moonlight whispers secrets through the night’s soft grace.,Moonlight whispers secrets through the night’s soft,13,True,175-below,175,glow,8,Moonlight whispers secrets through the veil of night.,Aging the old world in a crooked age.
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,grown,stone,True,A tale of the seeds I have grown.,A tale of the seeds I have grown.,A tale of the seeds I have,22,True,175-below,175,glow,8,A seed of doubt in the soil of my own,"A tale of the old, and the sorrow it's grown."
50,"In whispers of light, the soul finds its creed,",creed,need,creed,True,A silent prayer in the hush of the need.,"In whispers of light, the soul finds its creed,  
A silent prayer in the hush of the need.","In whispers of light, the soul finds its creed,  
A silent prayer in the hush of the",10,True,274-light,274,light,13,"In whispers of light, the soul finds its creed",betrat het het het het het het het het het het het het het het het het het het
51,"Freedom soars where chains once clung,",clung,lung,clung,True,Hope now sings in every lung.,Hope now sings in every lung.,Hope now sings in every,7,True,49-grown,49,stone,22,Hope now sings in every lung.,"Bounded by boundless skies, yet bounded by boundless skies, yet bounded by boundless skies"
54,"Blossoms bloom where laughter finds its way,",way,ray,grey,True,Petals dance in the morning's ray.,Petals dance in the morning's ray.,Petals dance in the morning's,16,True,151-name,151,name,6,Petals dance in the morning's ray.,A fragrant trail.
57,Whispers of velvet and hues that sing—,sing,spring,sing,True,A symphony of night's gentle spring.,A symphony of night's gentle spring.,A symphony of night's gentle,10,True,100-unveil,100,exhale,13,A symphony of night's gentle spring.,A tapestae of dawn's tender dawn.绦 deceives.绦 deceives.绦 dece
58,"A shadow fades where the flame won’t die,",die,sky,sigh,True,A ghostly wail echoes in the sky.,A ghostly wail echoes in the sky.,A ghostly wail echoes in the,10,True,195-breeze,195,trees,11,A ghostly wail echoes in the sky.,A whisper remains in the smoke.
60,"A bond unspoken, yet deep as the sea,",sea,be,sea,True,"A whisper of love, forever to be.","A whisper of love, forever to be.","A whisper of love, forever to",21,True,187-light,187,light,19,"A whisper of love, forever to be.",hat_xt_ibt_ibt_ibt_ibt_ibt_ibt_ibt_ibt_ibt
65,"In the dance of flaw and flawless light,",light,flight,light,True,A shadow twirls in the beam's bright flight.,A shadow twirls in the beam's bright flight.,A shadow twirls in the beam's bright,22,True,66-grace,66,embrace,13,A shadow twirls in the beam's bright,As if the sky has thrown its spear.
66,"Whispers of wind through the ancient oak's embrace,",embrace,grace,embrace,True,"Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic",13,True,283-bare,283,despair,12,"Leaves dance in a silent, rhythmic grace",A hushara breath on the silentest lace.
67,"In mirrored shades where shadow dares to creep,",creep,deep,sweep,True,Whispers of night in silent deep.,Whispers of night in silent deep.,Whispers of night in silent,11,True,71-sown,71,stone,21,Whispers of night in silent deep.,On silent nights the realm of dreams consons.
71,"Like thunder chained to silent stone,",stone,sown,stone,True,Silence speaks in echoes sown.,Silence speaks in echoes sown.,Silence speaks in echoes,21,True,287-tales,287,trails,17,Silence speaks in echoes sown.,饷 im in the in im in im in im in im in im in im in im in im
80,"I walked through the shadows where childhood once stayed,",stayed,played,stayed,True,The echoes of laughter still played.,"I walked through the shadows where childhood once stayed,  
The echoes of laughter still played.","I walked through the shadows where childhood once stayed,  
The echoes of laughter still",11,True,40-night,40,light,3,"I walked through the shadows where childhood once stayed,","I walked through the shadows where childhood once stayed,  
I found a whisper of laughter in the rain"
82,"Whispers of yesterday dance on the winds of time,",time,rhyme,time,True,Tales of love and loss drift through the haze of rhyme.,Tales of love and loss drift through the haze of rhyme.,Tales of love and loss drift through the haze of,11,True,244-glide,244,collide,24,Tales of love and loss drift through the haze,Tape as the the the of a sneeze.
91,"In shadows deep where hope once danced with light,",light,night,light,True,A silent night.,A silent night.,A silent,6,True,170-disguise,170,dies,9,A silent night.,A whisper calls through the night's cold night.
92,"In shadow's grip, cannon-light whispers of rage,",rage,stage,rage,True,A silent scream in the darkened stage.,A silent scream in the darkened stage.,A silent scream in the darkened,16,True,151-name,151,name,6,A silent scream in the darkened stage.,A storm of wrath.
93,"In laughter’s glow, where trust is sown,",sown,grown,stone,True,The seeds of love are grown.,The seeds of love are grown.,The seeds of love are,27,True,159-grace,159,embrace,8,The seeds of love are grown.,As if the sun.
94,"Voices echo, yet no hearts collide,",collide,wide,collide,True,Silent whispers fill the wide.,Silent whispers fill the wide.,Silent whispers fill the,3,True,267-name,267,name,6,Silent whispers fill the wide.,Silent fate binds the tide.
96,"In the shadowed heart where two winds meet,",meet,street,deceit,True,A silent scream in the darkened street.,A silent scream in the darkened street.,A silent scream in the darkened,25,True,295-hell,295,dwell,19,A silent scream in the darkened street.,蝌蝌蝌蝌蝌蝌蝌蝌蝌蝌蝌蝌蝌蝌蝌蝌蝌蝌蝌蝌
97,"Beneath the silence where whispers used to play,",play,away,grey,True,"A hush now reigns, where echoes fade away.","A hush now reigns, where echoes fade away.","A hush now reigns, where echoes fade",22,True,171-chance,171,dance,13,"A hush now reigns, where echoes fade","A grave's embrace, where time has swanned."
100,"In twilight’s hush, where hearts exhale,",exhale,unveil,exhale,True,The stars above begin to unveil.,The stars above begin to unveil.,The stars above begin to,13,True,221-goodbye,221,sigh,11,The stars above begin to unveil.,The oldWLylialylialylialylialylialylialylialylialyl
104,"Footprints in the dust of days gone by,",by,sky,sigh,True,"Echoes of the past, still lingering in the sky.","Echoes of the past, still lingering in the sky.","Echoes of the past, still lingering in the",10,True,218-leap,218,sweep,14,"Echoes of the past, still lingering in the",Hop bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip bip
111,"The thunder in his chest begins to roar,",roar,shore,soar,True,The storm inside him breaks the shore.,The storm inside him breaks the shore.,The storm inside him breaks the,9,True,8-last,8,past,9,The storm inside him breaks the shore.,matadtátátátátátátátátátátátátátátátátátát
116,"Silent nights where echoes dwell,",dwell,hell,dwell,True,Whispers hush the trembling hell.,Whispers hush the trembling hell.,Whispers hush the trembling,20,True,197-aligns,197,shines,14,Whispers hush the trembling hell.,Heralled by the gle.
126,"Whispers of dread in the silence they creep,",creep,sleep,sweep,True,Shadows of fear in the dark they sleep.,Shadows of fear in the dark they sleep.,Shadows of fear in the dark they,21,True,250-green,250,unseen,16,Shadows of fear in the dark they sleep.,Things linger in影林林林林林林林林林林林林林林林林
127,"In twilight's hush, where shadows dare to speak,",speak,meek,speak,True,The stars above whisper secrets to the meek.,The stars above whisper secrets to the meek.,The stars above whisper secrets to the,10,True,242-night,242,light,22,The stars above whisper secrets to the meek.,Eating mint mint mint mint mint mint mint mint mint mint mint mint mint mint mint mint mint mint
133,"The hush of time whispers tales of the old,",old,cold,told,True,A ghostly song in the silence of the cold.,"The hush of time whispers tales of the old,  
A ghostly song in the silence of the cold.","The hush of time whispers tales of the old,  
A ghostly song in the silence of the",8,True,7-more,7,soar,13,The hush of time whispers tales of the old,erals toll.elter累累累累累累累累累累累累累累累累
135,"Whispers of the past linger where old shadows dance,",dance,trance,dance,True,Secrets buried deep in time's unyielding trance.,Secrets buried deep in time's unyielding trance.,Secrets buried deep in time's unyielding,14,True,100-unveil,100,exhale,13,Echoes of time still cling to the silent place,Reveasing secrets once thought impenfect.
136,"Through storms of time, our roots hold fast,",fast,past,past,True,"We stand as one, through every past.","Through storms of time, our roots hold fast,  
We stand as one, through every past.","Through storms of time, our roots hold fast,  
We stand as one, through every",12,True,51-lung,51,clung,7,"Through storms of time, our roots hold fast,","Through storms of time, our roots hold fast,  
A legacy of love, unshaken in"
138,"Whispers of winds through ancient tree songs flow,",flow,low,glow,True,Leaves dance low.,Leaves dance low.,Leaves dance,8,True,242-night,242,light,22,Leaves dance low.,Roots hold the earth in quiet trust.
139,"Whispers of crimson, symphonies in every thread,",thread,bed,thread,True,"A tapestry of passion, woven through the bed.","A tapestry of passion, woven through the bed.","A tapestry of passion, woven through the",9,True,171-chance,171,dance,13,"A tapestry of passion, woven through the bed",A tapestry of heart.
141,"Winds of freedom whisper where chains forgot to fall,",fall,call,fall,True,"Beneath the stars, the people rise to call.","Beneath the stars, the people rise to call.","Beneath the stars, the people rise to",9,True,8-last,8,past,9,"Beneath the stars, the people rise to",Bitlettle bitletletletletletletletletletletletletletletletlet
148,"In whispers of time, our deeds still sing—",sing,sting,sing,True,A tale etched in the wind's soft sting.,A tale etched in the wind's soft sting.,A tale etched in the wind's soft,13,True,287-tales,287,trails,17,A tale etched in the wind's soft sting,"A century in in, in in in in in in in. im. im. im. im"
149,"Like morning dew on petals soft and new,",new,blue,new,True,A whisper of hope in the silent blue.,"Like morning dew on petals soft and new,  
A whisper of hope in the silent blue.","Like morning dew on petals soft and new,  
A whisper of hope in the silent",9,True,220-time,220,time,7,"Like morning dew on petals soft and new,","Like morning dew on petals soft and new,  
The dawn unfolds in silent, ancient blue."
150,"Wings of dawn clash with iron night,",night,fight,light,True,Stars ignite in the silent fight.,Stars ignite in the silent fight.,Stars ignite in the silent,11,True,202-seas,202,trees,12,Stars ignite in the silent fight.,Surrendering light.
151,"Brushstrokes weave the silent song of imagination’s flame,",flame,name,name,True,A canvas breathes with every name.,A canvas breathes with every name.,A canvas breathes with every,6,True,280-tears,280,years,9,A canvas breathes with every name.,A canvas breathes with hues of hope and name.
156,"Two hearts entwined, a vow so true,",true,undo,new,True,A bond that time cannot undo.,A bond that time cannot undo.,A bond that time cannot,21,True,31-un,31,spun,15,A bond that time cannot undo.,"A world of love, a step in the world."
157,"A tapestry woven in laughter and tears,",tears,years,years,True,A story spun through the years.,A story spun through the years.,A story spun through the,5,True,266-glance,266,dance,11,A story spun through the years.,"A single thread, and the world appears."
158,"Like shadows at the close of day,",day,stay,grey,True,They creep where light cannot stay.,They creep where light cannot stay.,They creep where light cannot,22,True,242-night,242,light,22,They creep where light cannot stay.,uet mint mint mint mint mint mint mint mint mint mint mint mint mint mint mint mint mint mint mint
159,"Whispers of wind through the emerald embrace,",embrace,grace,embrace,True,"Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic",8,True,151-name,151,name,6,"Leaves dance in a silent, rhythmic grace","A tapestry of life, soft and wide."
170,"In shadows cast by silver lies,",lies,disguise,dies,True,In whispers of the night's disguise.,In whispers of the night's disguise.,In whispers of the night's,9,True,44-light,44,light,17,In whispers of the night's disguise.,etatertartartartartartartartartartartartartartartartartartart
171,"In whispered groves where the wild things dance,",dance,chance,dance,True,The wind sings tales of ancient chance.,The wind sings tales of ancient chance.,The wind sings tales of ancient,13,True,65-flight,65,light,22,The wind sings tales of ancient chance.,betratet het het het het het het het het het het het het het het het het het
175,"By the sandbox where the fireflies glow,",glow,below,glow,True,The night sky whispers secrets below.,The night sky whispers secrets below.,The night sky whispers secrets,8,True,11-known,11,stone,34,The night sky whispers secrets below.,Oneoneoneoneoneoneoneoneoneoneoneoneoneoneoneoneoneoneoneone
178,"Beneath the map's edge, the unknown beckons soft and wide,",wide,hide,collide,True,A world of dreams where shadows hide.,A world of dreams where shadows hide.,A world of dreams where shadows,10,True,242-night,242,light,22,A world of dreams where shadows hide.,Eating into the heart of every starlit night.
185,"Amidst the swirl of hues and whispered air,",air,rare,despair,True,"A dance of shadows, fleeting and rare.","A dance of shadows, fleeting and rare.","A dance of shadows, fleeting and",16,True,136-past,136,past,12,"A dance of shadows, fleeting and rare.",натhethethethethethethethethethethethethethethethethethethet
186,"Beneath soft lies, the truth wears a cloak of light,",light,night,light,True,A whisper of hope in the shadows of night.,"Beneath soft lies, the truth wears a cloak of light,  
A whisper of hope in the shadows of night.","Beneath soft lies, the truth wears a cloak of light,  
A whisper of hope in the shadows of",22,True,283-bare,283,despair,12,"Beneath soft lies, the truth wears a","A shadowed lie, a tale of mere breath."
187,"Two hearts entwined where the vows take flight,",flight,light,light,True,A dance of love in the twilight's light.,A dance of love in the twilight's light.,A dance of love in the twilight's,19,True,100-unveil,100,exhale,13,A dance of love in the twilight's light.,A promise woven in heaven's weave.
189,"In whispered hearts where silent dreams take flight,",flight,night,light,True,Secrets bloom in the hush of night.,Secrets bloom in the hush of night.,Secrets bloom in the hush of,12,True,223-flame,223,name,9,Secrets bloom in the hush of night.,"A tapestry of time's soft, lace-like tide."
190,"A breath too brief, a shadow that swallows the light,",light,night,light,True,A whisper of night.,A whisper of night.,A whisper of,7,True,20-steel,20,kneel,14,A whisper of night.,A whisper of night.
191,"In shadowed hands, the torch of might is pressed,",pressed,jest,breast,True,A flicker of light in the darkened jest.,A flicker of light in the darkened jest.,A flicker of light in the darkened,14,True,283-bare,283,despair,12,A flicker of light in the darkened jest,A breath of fate is hauled from the last.
194,"Whispers weave through the woods where wild hearts roam,",roam,home,home,True,Secrets bloom in the shadows of the home.,Secrets bloom in the shadows of the home.,Secrets bloom in the shadows of the,6,True,111-shore,111,soar,9,Secrets bloom in the shadows of the home.,Secrets hide in the shadows of the home.
195,"Whispers of wind through the emerald trees,",trees,breeze,trees,True,Singing the hush of a summer breeze.,Singing the hush of a summer breeze.,Singing the hush of a summer,11,True,38-sight,38,light,11,Singing the hush of a summer breeze.,Catching the heart of the forest in flight.
196,"In the attic of my heart, old shadows dance with light,",light,bright,light,True,"A whisper of the past, half-forgotten, bright.","A whisper of the past, half-forgotten, bright.","A whisper of the past, half-forgotten,",12,True,139-bed,139,thread,9,"A whisper of the past, half-forgotten",A ghostly tale of fear and dread.
197,"In flawless cracks, the beauty truly shines,",shines,aligns,shines,True,Where hidden light through fractured lines aligns.,"In flawless cracks, the beauty truly shines,  
Where hidden light through fractured lines aligns.","In flawless cracks, the beauty truly shines,  
Where hidden light through fractured lines",14,True,196-bright,196,light,12,"In flawless cracks, the beauty truly shines,",Yet yet yet yet yet yet yet yet yet yet yet yet yet yet yet yet yet yet yet yet
202,"The morning sun spills gold through trees,",trees,seas,trees,True,A whisper of light on silent seas.,"The morning sun spills gold through trees,  
A whisper of light on silent seas.","The morning sun spills gold through trees,  
A whisper of light on silent",12,True,274-light,274,light,13,"The morning sun spills gold through trees,  
A",etatetetetetetetetetetetetetetetetetetetet
203,"In the woven threads of many, one heartbeat gently sings,",sings,rings,strings,True,"A symphony of life, quietly rings.","A symphony of life, quietly rings.","A symphony of life, quietly",12,True,175-below,175,glow,8,"A symphony of life, quietly rings.","A tale of love, old and new, ages."
206,"When silence speaks, the heart turns cold,",cold,gold,told,True,The shadows dance in whispered gold.,The shadows dance in whispered gold.,The shadows dance in whispered,11,True,41-day,41,grey,13,The shadows dance in whispered gold.,The soul is left in the shadow of the bold.
211,"Each year etches wisdom where youthful days once played,",played,shade,stayed,True,A timeless tale unfolds in the quiet shade.,A timeless tale unfolds in the quiet shade.,A timeless tale unfolds in the quiet,9,True,17-skies,17,dies,4,A timeless tale unfolds in the quiet shade.,A timeless tale.
217,"A mirror cracks, and in the shards I see—",see,me,sea,True,A fractured reflection of me.,A fractured reflection of me.,A fractured reflection of,8,True,148-sting,148,sing,13,A fractured reflection of me.,img aging sing sing sing sing sing sing sing sing sing sing sing sing sing sing sing sing sing sing
218,"Whispers of spring thaw the earth from her sleep,",sleep,leap,sweep,True,Blossoms rise in a gentle leap.,Blossoms rise in a gentle leap.,Blossoms rise in a gentle,14,True,58-sky,58,sigh,10,"Blossoms rise in a gentle, sweet leap",Wy Byzantyjczyk wyżywył wyżywył wyżywył wy
219,"With timid steps through the shadowed gate,",gate,wait,fate,True,I tread the path where the echoes wait.,I tread the path where the echoes wait.,I tread the path where the echoes,23,True,218-leap,218,sweep,14,I tread the path where the echoes wait.,roproproproproproproproproproproproproproproproproproproprop
220,"Whispers of wind weave through earth’s old rhyme,",rhyme,time,time,True,Singing the secrets of time.,Singing the secrets of time.,Singing the secrets of,7,True,111-shore,111,soar,9,Singing the secrets of time.,Sighs of the sky in a hushed refrain.
221,"Beneath the moon’s cold, watchful eye,",eye,goodbye,sigh,True,The stars above whisper goodbye.,The stars above whisper goodbye.,The stars above whisper,11,True,8-last,8,past,9,The stars above whisper lies.,Satiet satiet satiet satiet satiet satiet satiet satiet satiet satiet
223,"In the rhythm of shared hearts, we find our name,",name,flame,name,True,A melody that echoes through the flame.,A melody that echoes through the flame.,A melody that echoes through the,9,True,92-stage,92,rage,16,A melody that echoes through the flame.,We live by the pulse of the same flame.
229,"A crown of shadows, a whisper undone,",undone,sun,spun,True,A silent scream in the moon's cold sun.,A silent scream in the moon's cold sun.,A silent scream in the moon's cold,9,True,242-night,242,light,22,A silent throne where the light is gone.,A heart in mint mint mint mint mint mint mint mint mint mint mint mint mint mint mint mint mint
239,"With trembling hands, I trace the years unread,",unread,head,thread,True,Yet time has written its tale in my head.,Yet time has written its tale in my head.,Yet time has written its tale in my,23,True,136-past,136,past,12,Yet time has written its own tale in my head,beththatmathttmathttmathttmathttmathttmathttmathttmathttmat
241,"In whispered woods where shadows play,",play,sway,grey,True,Secrets hide in every sway.,Secrets hide in every sway.,Secrets hide in every,12,True,218-leap,218,sweep,14,Secrets hide in every sway.,orpinpuporpinpuporpinpuporpinpuporpinpuporpinpuporpinp
242,"A flawless vase, still cracked within, a shadow draped in light,",light,night,light,True,"A whisper of the past, a secret kept in night.","A whisper of the past, a secret kept in night.","A whisper of the past, a secret kept in",22,True,206-gold,206,told,11,"A whisper of the past, a secret kept in","A whisper of sorrow, tenderly drowned in the wind."
244,"A hearth's warm glow where whispered memories reside,",reside,glide,collide,True,"A sanctuary of time, where shadows softly glide.","A hearth's warm glow where whispered memories reside,  
A sanctuary of time, where shadows softly glide.","A hearth's warm glow where whispered memories reside,  
A sanctuary of time, where shadows softly",24,True,280-tears,280,years,9,A hearth's warm glow where whispered memories reside,"A hearth's warm glow where whispered memories reside,  
A sanctuary of comfort, time's fleeting"
250,"Shells light the night where no stars intervene,",intervene,green,unseen,True,Moonlight dances on the tide's endless green.,Moonlight dances on the tide's endless green.,Moonlight dances on the tide's endless,16,True,18-sublime,18,time,8,Moonlight dances on the tide's endless green.,Moonlight whispers through the thinningcreen.
255,"Through whispered lullabies and silent goodbyes,",goodbyes,lies,dies,True,The stars above still hold their quiet lies.,The stars above still hold their quiet lies.,The stars above still hold their quiet,9,True,280-tears,280,years,9,The stars above still hold their quiet lies.,"Barefoot in the rain, I trace the lines of your eyes."
266,"Brushstrokes of thought where imaginations dance,",dance,glance,dance,True,Whispers of dreams in every glance.,Whispers of dreams in every glance.,Whispers of dreams in every,11,True,126-sleep,126,sweep,21,Whispers of dreams in every glance.,pipapo bipapo bipapo bipapo bipapo bipapo bipapo bipapo bipapo bipapo
267,"I carve my name in bone and flame, défier of the silent claim,",claim,name,name,True,"I burn the shadows, claim the name","I carve my name in bone and flame, défier of the silent claim,  
I burn the shadows, claim the name","I carve my name in bone and flame, défier of the silent claim,  
I burn the shadows, claim the",6,True,11-known,11,stone,34,"I carve my name in bone and flame, déf",OneOneOneOneOneOneOneOneOneOneOneOneOneOneOneOneOneOneOneOne
272,"Time's quiet hand etches tales in every line it's drawn,",drawn,dawn,dawn,True,"Eternity listens, waiting for the dawn.","Eternity listens, waiting for the dawn.","Eternity listens, waiting for the",8,True,91-night,91,light,6,"Eternity listens, waiting for the dawn.","Eternity listens, waiting for the dawn."
273,"Time etches stories in silvered strands,",strands,sands,strands,True,Memory whispers through the quiet sands.,Memory whispers through the quiet sands.,Memory whispers through the quiet,7,True,141-call,141,fall,9,Memory whispers through the quiet sands.,俎俎俎俎俎俎俎俎俎俎俎俎俎俎俎俎俎俎俎俎
274,"In whispers of time, the past’s silent flame burns bright,",bright,light,light,True,A ghostly echo of yesterday’s light.,A ghostly echo of yesterday’s light.,A ghostly echo of yesterday’s,13,True,148-sting,148,sing,13,A ghostly echo of yesterday’s light.,HINGHINGHINGHINGHINGHINGHINGHINGHINGHINGHINGHINGHINGHINGHINGHINGHINGHINGHINGHING
280,"The dawn breaks softly on youthful years,",years,tears,years,True,A dreamlike glow embraces the tears.,A dreamlike glow embraces the tears.,A dreamlike glow embraces the,9,True,17-skies,17,dies,4,A dreamlike glow embraces the tears.,A dreamlike haze wraps the waking world.
283,"The echo of your name still lingers in the air,",air,bare,despair,True,"A whisper of the past, soft and bare.","A whisper of the past, soft and bare.","A whisper of the past, soft and",12,True,229-sun,229,spun,9,"A whisper of the past, soft and bare.",And every whisper of the wind seems to ask for more.
287,"He walked with ghosts in shadowed trails,",trails,tales,trails,True,Where echoes whispered of lost tales.,"He walked with ghosts in shadowed trails,  
Where echoes whispered of lost tales.","He walked with ghosts in shadowed trails,  
Where echoes whispered of lost",17,True,175-below,175,glow,8,"He walked with ghosts in shadowed trails,",Old talesaelaelaelaelaelaelaelaelaelaelaelaelaelaelaelaelaelael
291,"I walk through crowds like shadows in the rain,",rain,plain,rain,True,"I slip through whispers, unseen and plain.","I slip through whispers, unseen and plain.","I slip through whispers, unseen and",7,True,156-undo,156,new,21,"I slip through whispers, unseen and plain.","I never touch the ground, nor call it mine."
295,"In shadows cast by screens we dwell,",dwell,hell,dwell,True,We dance with ghosts in pixelated hell.,"In shadows cast by screens we dwell,  
We dance with ghosts in pixelated hell.","In shadows cast by screens we dwell,  
We dance with ghosts in pixelated",19,True,18-sublime,18,time,8,"In shadows cast by screens we dwell,  
We",In fleeting dreams we(QL(QL(QL(QL(QL(QL(QL(QL(QL(QL(QL(QL(QL(QL(QL(QL
