,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation
17,"In trembling hands, the storm both swells and dies,",dies,skies,dies,True,As silent winds whisper through the skies.,As silent winds whisper through the skies.,As silent winds whisper through the,10,True,122-broken,122,unbroken,14,As silent winds whisper through the skies.,I whisper prayers to skies that never rise.
21,"In strokes of light and whispers unseen,",unseen,convene,unseen,True,The stars begin to softly convene.,The stars begin to softly convene.,The stars begin to softly,17,True,183-win,183,spin,21,The stars begin to softly convene.,in silence findin'infinin'infinin'infinin'infinin'infinin'in
22,"Whispers of winter melt to spring's soft sigh,",sigh,sky,sigh,True,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing,26,True,179-inspire,179,desire,24,Blossoms awaken in the thawing sky.,Beneath the bare tree where the bare tree stands.
24,"Whispers curl like shadows at dawn,",dawn,on,dawn,True,A silent promise lingers on.,A silent promise lingers on.,A silent promise lingers,18,True,87-dream,87,stream,19,A silent promise lingers on.,A secret unfolds on the breeze.
25,"Beneath a sky that shifts from blue to grey,",grey,decay,grey,True,The world holds its breath in silent decay.,The world holds its breath in silent decay.,The world holds its breath in silent,22,True,164-sing,164,sing,29,The world holds its breath as shadows sway.,"The wind begins to sing, winds bring丁丁ering."
27,"On tongues of time, flavors entwine,",entwine,mine,entwine,True,"In every sip, the past is mine.","In every sip, the past is mine.","In every sip, the past is",35,True,30-keep,30,sweep,23,"In every sip, the past is mine.",Sparks twist around twistie twistie twistie twistie twistie twistie twistie twistie twist
28,"In whispers of dawn, the soul begins to pray,",pray,way,grey,True,"In silent light, the heart finds its way.","In silent light, the heart finds its way.","In silent light, the heart finds its",27,True,59-trance,59,dance,20,"In silent light, the heart finds its way.",Van an anjan anjan anjan anjan anjan anjan anjan anjan anjan
30,"Two hearts entwined through time’s unyielding sweep,",sweep,keep,sweep,True,One soul forever bound to the other’s keep.,One soul forever bound to the other’s keep.,One soul forever bound to the other’s,23,True,175-low,175,glow,23,One soul forever bound to the other’s keep.,Faithful vows that never fade.
31,"Whispers of the hearth where the heart’s threads are spun,",spun,sun,spun,True,And shadows dance with the fire's warm sun.,And shadows dance with the fire's warm sun.,And shadows dance with the fire's warm,18,True,127-seek,127,speak,26,And shadows dance with the fire's warm sun.,Sparks twist into storiesaececececececececececececececece
33,"Love is the flame that gentle does rise,",rise,skies,dies,True,And burns most bright in the darkest of skies.,And burns most bright in the darkest of skies.,And burns most bright in the darkest of,24,True,88-spun,88,spun,50,And burns most bright in the darkest of skies.,One born one born one born one born one born one born one born one born one born one born
36,"Neon hums where tall shadows play,",play,sway,grey,True,Midnight whispers in the alley's sway.,Midnight whispers in the alley's sway.,Midnight whispers in the alley's,20,True,86-shade,86,stayed,13,Midnight whispers in the alley's sway.,Beneath the moon's unspoken strain.
40,"Whispers coil like shadows, cold and tight,",tight,night,light,True,They cling to the breath of the night.,They cling to the breath of the night.,They cling to the breath of the,9,True,183-win,183,spin,21,They cling to the breath of the night.,skinning thin on thinning light.
41,"Like sunlight breaking through the clouds of gray,",gray,day,grey,True,"It brings a hopeful, golden day.","It brings a hopeful, golden day.","It brings a hopeful, golden",25,True,189-light,189,light,23,"It brings a hopeful, golden day.",it.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,old,told,True,As silent winds carry the scent of old.,As silent winds carry the scent of old.,As silent winds carry the scent of,16,True,156-rue,156,new,16,As silent winds begin to hold.,"While the world prepares to sleep, the last warm light is sold."
44,"The shadows stretch where laughter once was bright,",bright,night,light,True,Now silence hums in the hollow of night.,Now silence hums in the hollow of night.,Now silence hums in the hollow of,24,True,33-skies,33,dies,24,Now silence hums in the hollow of night.,nocturnal whispers lay heavy in the night.
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,night,light,True,A fleeting hope defies the night.,A fleeting hope defies the night.,A fleeting hope defies the,9,True,142-wings,142,strings,10,A fleeting hope defies the night.,a silent hymn beneath the stars.
48,"Stars map my longing in the heavens’ sly embrace,",embrace,grace,embrace,True,"I trace their whispers through the night's vast, silent grace.","I trace their whispers through the night's vast, silent grace.","I trace their whispers through the night's vast, silent",11,True,135-trance,135,dance,22,"I trace their whispers through the night's vast,",I scan an an an an an an an an an an an an an an an an an an
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,known,stone,True,And the weight of my choices now bends the future I’ve known.,And the weight of my choices now bends the future I’ve known.,And the weight of my choices now bends the future I’ve,21,True,22-sky,22,sigh,26,And the weight of my choices now bends the future,"A day by day, a day by day, a day by day, a day by day,"
50,"In whispers of light, the soul finds its creed,",creed,need,creed,True,"In echoes of dawn, the heart finds its need.","In echoes of dawn, the heart finds its need.","In echoes of dawn, the heart finds its",28,True,2-keeps,2,weeps,17,"In echoes of dawn, the heart finds its need",AtPath twist through shadow contr contr contr contr contr contr contr contr contr contr contr contr contr contr contr contr
51,"Freedom soars where chains once clung,",clung,sung,clung,True,Now birds sing where the silenced once sung.,Now birds sing where the silenced once sung.,Now birds sing where the silenced once,19,True,57-wing,57,sing,19,Now birds sing where the silenced once sung.,And wings find wind in silent flung.
53,"The reaper’s shadow lengthens with the noon,",noon,tune,noon,True,And the world holds its breath in a silent tune.,And the world holds its breath in a silent tune.,And the world holds its breath in a silent,6,True,186-night,186,light,16,And the world holds its breath in a silent tune,实训实训实训实训实训实训实训实训实训实训实训实训实训实训实训实训实训实训实训实训
54,"Blossoms bloom where laughter finds its way,",way,day,grey,True,And springtime dances in the light of day.,And springtime dances in the light of day.,And springtime dances in the light of,27,True,8-last,8,past,15,And springtime dances in the light of day.,Satapat patapat patapat patapat patapat patapat patapat patapat patapat patapat
57,Whispers of velvet and hues that sing—,sing,wing,sing,True,A symphony of shadows takes wing.,A symphony of shadows takes wing.,A symphony of shadows takes,19,True,159-grace,159,embrace,17,A symphony of shadows takes wing.,A world ice-iced in the moon's soft ice.icia ice.icia ice.icia ice
58,"A shadow fades where the flame won’t die,",die,sky,sigh,True,A whisper lingers in the sky.,A whisper lingers in the sky.,A whisper lingers in the,18,True,7-evermore,7,soar,23,A whisper lingers in the sky.,And the stars whisper of ancient lie.
59,"Whispers through the grass where the wild things dance,",dance,trance,dance,True,The moonlight paints the night with a silver trance.,The moonlight paints the night with a silver trance.,The moonlight paints the night with a silver,20,True,170-rise,170,dies,24,The moonlight paints the night with a silver trance,A story unfolds in the dusty mys mys.
60,"A bond unspoken, yet deep as the sea,",sea,be,sea,True,"It binds us in silence, beyond words can be.","It binds us in silence, beyond words can be.","It binds us in silence, beyond words can",36,True,128-night,128,light,10,"It binds us in silence, beyond words to be","Nights spent together, the nightightightightightightightightightightightightightight"
65,"In the dance of flaw and flawless light,",light,fight,light,True,we find the soul's truest fight.,we find the soul's truest fight.,we find the soul's truest,36,True,59-trance,59,dance,20,we find the soul's truest fight.,an anjanicanjanicanjanicanjanicanjanicanjanicanjanicanjanicanjanican
66,"Whispers of wind through the ancient oak's embrace,",embrace,chase,embrace,True,Echoes of time in a silent chase.,Echoes of time in a silent chase.,Echoes of time in a silent,12,True,2-keeps,2,weeps,17,Echoes of time in a silent chase.,A startled deer gaze at the startled sheep.徇徇徇徇徇徇徇徇徇徇徇
68,"When whispered vows turn cold as winter skies,",skies,sighs,dies,True,Love's fire fades beneath the silent sighs.,Love's fire fades beneath the silent sighs.,Love's fire fades beneath the silent,14,True,49-known,49,stone,21,Love's fire fades beneath the silent sighs.,No longer do you find the joy that once was yours.
69,"In the rhythm of shared breath, hearts weave a single song,",song,belong,belong,True,echoes of laughter and love forever belong.,echoes of laughter and love forever belong.,echoes of laughter and love forever,16,True,174-stood,174,wood,21,echoes of laughter and love forever belong.,"and in the quieted dark, love finds its enduring strong."
71,"Like thunder chained to silent stone,",stone,alone,stone,True,It roars but never is alone.,It roars but never is alone.,It roars but never is,46,True,2-keeps,2,weeps,17,It roars but never is alone.,常年与多年多年多年多年多年多年多年多年多年多年多年多年多年多年多年多年多年多年
72,"A flawless sphere, yet marred by its glow,",glow,go,glow,True,It casts a shadow where the light cannot go.,It casts a shadow where the light cannot go.,It casts a shadow where the light cannot,30,True,127-seek,127,speak,26,It casts a shadow where the light cannot go.,Sparks twistcececececececececececececececececece
77,"In shadowed chains, the spirit dares to sing,",sing,bring,sing,True,A whispered hope that none can bring.,A whispered hope that none can bring.,A whispered hope that none can,34,True,51-sung,51,clung,19,A whispered hope that none can bring.,"Belonging to the night, it belongs to none."
80,"I walked through the shadows where childhood once stayed,",stayed,made,stayed,True,Now lost in the silence where memories are made.,Now lost in the silence where memories are made.,Now lost in the silence where memories are,46,True,126-leap,126,sweep,29,Now lost in the silence where memories are made.,常年idaniraniraniraniraniraniraniraniraniraniraniraniraniraniraniraniraniraniran
81,"Whispers of winds through ancient green trees,",trees,breeze,trees,True,Echoes of time in silent breeze.,Echoes of time in silent breeze.,Echoes of time in silent,19,True,28-way,28,grey,27,Sing tales of days when shadows dance free.,oya a hoya a ya ya ya ya ya ya ya ya ya ya ya ya ya ya ya
84,"Time’s tapestry threads with echoes of yore,",yore,more,soar,True,Each moment a stitch in the fabric of more.,Each moment a stitch in the fabric of more.,Each moment a stitch in the fabric of,21,True,28-way,28,grey,27,Each moment a stitch in the fabric of more.,"...woven by the haja of a day. (aka ""haja"" as a placeholder"
86,"Laughter echoes down the lane where sunlit days once played,",played,shade,stayed,True,Now shadows dance in silent shade.,Now shadows dance in silent shade.,Now shadows dance in silent,13,True,183-win,183,spin,21,Now shadows dance in silent shade.,"'in thinning light, the wind still brings the grin of a grin unkind.'linha linlinha"
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,dream,stream,True,Whispers of time carry the scent of memory’s dream.,Whispers of time carry the scent of memory’s dream.,Whispers of time carry the scent of memory’s,19,True,71-alone,71,stone,46,Whispers of time carry the scent of memory’s,ent told told told told told told told told told told told told told told told told told told told
88,"The road unwinds its thread through mist and sun,",sun,spun,spun,True,Where shadows dance and dreams are spun.,Where shadows dance and dreams are spun.,Where shadows dance and dreams are,50,True,179-inspire,179,desire,24,Where shadows dance and dreams are spun.,ere ere ere ere ere ere ere ere ere ere ere ere ere ere ere ere ere ere ere ere
92,"In shadow's grip, cannon-light whispers of rage,",rage,age,rage,True,A silent scream echoes through the age.,A silent scream echoes through the age.,A silent scream echoes through the,18,True,22-sky,22,sigh,26,A silent scream echoes through the haze.,by the croy'by'by'by'by'by'by'by'by
94,"Voices echo, yet no hearts collide,",collide,tried,collide,True,Silence speaks where words once tried.,Silence speaks where words once tried.,Silence speaks where words once,19,True,123-convene,123,unseen,32,Silence speaks where words once tried.,trantran tran tran tran tran tran tran tran tran tran tran tran tran tran tran tran tran tran tran
96,"In the shadowed heart where two winds meet,",meet,beat,deceit,True,A silent storm begins to beat.,A silent storm begins to beat.,A silent storm begins to,27,True,31-sun,31,spun,18,A silent storm begins to beat.,ghananhanhanhanhanhanhanhanhanhanhanhanhanhanhanhanhanhanhan
97,"Beneath the silence where whispers used to play,",play,day,grey,True,Now rests the echo of a forgotten day.,Now rests the echo of a forgotten day.,Now rests the echo of a forgotten,28,True,72-go,72,glow,30,Now rests the echo of a forgotten day.,ho ho ho ho ho ho ho ho ho ho ho ho ho ho ho ho ho ho ho ho
98,"With trembling hands, I reach to light the flame,",flame,tame,name,True,"And in its glow, my fears all tame.","And in its glow, my fears all tame.","And in its glow, my fears all",24,True,111-soar,111,soar,22,"And in its glow, my fears all tame.",And hope is born from ashes in the name.
101,"The shadows whisper threats they cannot name,",name,flame,name,True,And the silence answers with a trembling flame.,And the silence answers with a trembling flame.,And the silence answers with a trembling,23,True,111-soar,111,soar,22,And the wind carries echoes of a distant flame.,and the hollow streets echo with fear and shame.
105,"The reaper whispers soft through every age,",age,wage,rage,True,"He counts the hours, but never the wage.","He counts the hours, but never the wage.","He counts the hours, but never the",17,True,142-wings,142,strings,10,He gathers all who dare to wage.,"He sings of endings, stitched in fate's embrace."
111,"The thunder in his chest begins to roar,",roar,soar,soar,True,And the storm of his soul is about to soar.,And the storm of his soul is about to soar.,And the storm of his soul is about to,22,True,2-keeps,2,weeps,17,And the storm of his soul is about to soar,A shadow twist and twist on the rooftop.徇徇徇徇徇徇徇徇徇徇徇
114,"The elder chants as clocks devour time,",time,rhyme,time,True,The stars blink out in silent rhyme.,The stars blink out in silent rhyme.,The stars blink out in silent,12,True,69-belong,69,belong,16,The stars blink out in silent rhyme.,Belonging belongs to the belonger's rhyme.
115,"Roots whispered in stories older than stone,",stone,unknown,stone,True,Their secrets etched deep in the earth's unknown.,Their secrets etched deep in the earth's unknown.,Their secrets etched deep in the earth's,17,True,30-keep,30,sweep,23,Their secrets etched deep in the earth's unknown,Sparks still beating where feceaeaeaeaeaeaeaeaeaeaeaeaeaeae
117,"Amber whispers brush the breeze,",breeze,trees,trees,True,A golden glow through the trees.,A golden glow through the trees.,A golden glow through the,7,True,69-belong,69,belong,16,A golden glow through the trees.,Belonging to the trees.
118,"Autumn's breath whispers through the trees,",trees,breeze,trees,True,"Leaves dance in golden, fleeting breeze.","Leaves dance in golden, fleeting breeze.","Leaves dance in golden, fleeting",19,True,30-keep,30,sweep,23,"Leaves dance in golden, fleeting breeze.",Axe leaves twist on the fece of years.提款提款提款提款提款提款提款提款提款
122,"Thunder roars, but chains remain unbroken—",unbroken,broken,unbroken,True,Hope still burns in the heart of the broken.,Hope still burns in the heart of the broken.,Hope still burns in the heart of the,14,True,148-spring,148,sing,11,Hope still burns where the storm has flown.,A silent storm brews beneath the frost.
123,"Winds whisper tales of roads unseen,",unseen,convene,unseen,True,Stars guide the way where dreams convene.,Stars guide the way where dreams convene.,Stars guide the way where dreams,32,True,9-light,9,light,21,Stars guide the way where dreams convene.,.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks.xticks
125,"A bond untouched by time or fate,",fate,state,fate,True,Unbroken in the heart's pure state.,Unbroken in the heart's pure state.,Unbroken in the heart's pure,26,True,118-breeze,118,trees,19,Unbroken in the heart's pure state.,ееееееееееееееееееееееееееееееееееееееее
126,"Whispers of dread in the silence they creep,",creep,leap,sweep,True,A shadowed fate waits where no light can leap.,A shadowed fate waits where no light can leap.,A shadowed fate waits where no light can,29,True,28-way,28,grey,27,A shadowed fate waits where no light can leap,Caecauya ada ada ada ada ada ada ada ada ada ada ada ada ada ada ada ada ada
127,"In twilight's hush, where shadows dare to speak,",speak,seek,speak,True,Whispers of forgotten dreams take flight and seek.,Whispers of forgotten dreams take flight and seek.,Whispers of forgotten dreams take flight and,26,True,17-skies,17,dies,10,Whispers of forgotten dreams take flight and seek.,whispered tales of lost and wasted time.
128,"In starlit whispers, my hopes take flight,",flight,night,light,True,Through dreams that shimmer in the night.,Through dreams that shimmer in the night.,Through dreams that shimmer in the,10,True,136-past,136,past,10,Through dreams that shimmer in the night.,SATSATSATSATSATSATSATSATSATSATSATSATSATSATSATSATSATSATSATSAT
131,"In shadows cast by city lights, a thousand souls feel night,",night,alight,light,True,yet find their way through silent streets with hope alight.,yet find their way through silent streets with hope alight.,yet find their way through silent streets with hope,6,True,133-bold,133,told,20,yet find their way through silent streets with hope al,of endless days and ancient time.
132,"Beneath the brush of dawn’s soft light,",light,white,light,True,A silent world awakes in quiet white.,A silent world awakes in quiet white.,A silent world awakes in quiet,12,True,81-breeze,81,trees,19,A silent world awakes in quiet white.,"A shadow stretches, deep and deep.ееcee

A shadow stretches, deep and deep.ее"
133,"The hush of time whispers tales of the old,",old,bold,told,True,the wind still hums the songs of the bold.,the wind still hums the songs of the bold.,the wind still hums the songs of the,20,True,187-light,187,light,19,the wind still hums the songs of the bold,实训实训实训实训实训实训实训实训实训实训实训实训实训实训实训实训实训实训实训实训
135,"Whispers of the past linger where old shadows dance,",dance,trance,dance,True,"Time bends to listen, lost in silent trance.","Time bends to listen, lost in silent trance.","Time bends to listen, lost in silent",22,True,58-sky,58,sigh,18,"Time bends to listen, lost in silent trance.","they weave through dusty shelves in dusty, dusty myspy."
136,"Through storms of time, our roots hold fast,",fast,past,past,True,"We rise unbroken, steadfast in the past.","Through storms of time, our roots hold fast,  
We rise unbroken, steadfast in the past.","Through storms of time, our roots hold fast,  
We rise unbroken, steadfast in the",10,True,126-leap,126,sweep,29,"Through trials deep, our bond is cast.",Sparks常年rsrsrsrsrsrsrsrsrsrsrsrsrsrsrsrsrsrs
138,"Whispers of winds through ancient tree songs flow,",flow,below,glow,True,Echoes of time in rustling leaves below.,Echoes of time in rustling leaves below.,Echoes of time in rustling leaves,18,True,44-night,44,light,24,Echoes of time in rustling leaves below.,Nightightightightightightightightightightightightightightightightightightightight
139,"Whispers of crimson, symphonies in every thread,",thread,dead,thread,True,"A tapestry of passion, woven from the dead.","A tapestry of passion, woven from the dead.","A tapestry of passion, woven from the",13,True,135-trance,135,dance,22,"A tapestry of passion, woven from the dead",An anjan anjan anjan anjan anjan anjan anjan anjan anjan an
141,"Winds of freedom whisper where chains forgot to fall,",fall,call,fall,True,And echoes of the brave still call.,And echoes of the brave still call.,And echoes of the brave still,9,True,139-dead,139,thread,13,And echoes of the brave still call.,and echoes of the lost still call.
142,"The scales of justice sway on trembling strings,",strings,wings,strings,True,Balancing truth in silent wings.,Balancing truth in silent wings.,Balancing truth in silent,10,True,183-win,183,spin,21,Balancing truth in silent wings.,"Unconfin'd by truth, they spin their thinning sin."
147,"Joy dances bright where kind hearts meet,",meet,sweet,deceit,True,And laughter blooms like springtime's sweet.,And laughter blooms like springtime's sweet.,And laughter blooms like springtime's,16,True,48-grace,48,embrace,11,And laughter blooms like springtime's sweet.,Hope shines icecaicerememecerememecerememecerememecerememecer
148,"In whispers of time, our deeds still sing—",sing,spring,sing,True,A tale etched in the hearts of the spring.,A tale etched in the hearts of the spring.,A tale etched in the hearts of the,11,True,138-below,138,glow,18,A tale etched in the hearts of the stars,"A tale of love and battles, long to cling."
149,"Like morning dew on petals soft and new,",new,hue,new,True,Shines the light of hope in every hue.,Shines the light of hope in every hue.,Shines the light of hope in every,15,True,11-moan,11,stone,21,Shines the light of hope in every hue.,Shines the light of one who loves you. ✨
156,"Two hearts entwined, a vow so true,",true,rue,new,True,"Forever bound, through joy and rue.","Forever bound, through joy and rue.","Forever bound, through joy and",16,True,81-breeze,81,trees,19,"Forever bound, through joy and rue.","A lasting unity, deep and deep, deep.徇徇徇徇徇徇徇徇徇徇"
158,"Like shadows at the close of day,",day,away,grey,True,"We fade from sight, yet never away.","We fade from sight, yet never away.","We fade from sight, yet never",26,True,174-stood,174,wood,21,"We fade from sight, yet never away.","We fade from sight, and fade from said."
159,"Whispers of wind through the emerald embrace,",embrace,grace,embrace,True,A symphony of leaves in the twilight's soft grace.,A symphony of leaves in the twilight's soft grace.,A symphony of leaves in the twilight's soft,17,True,60-be,60,sea,36,A symphony of leaves in the twilight's soft,Sparks twistaezezezezezezezezezezezezezezezezeze
162,"Colors whisper secrets where wild imaginations tread,",tread,led,thread,True,And dreams take flight where the forgotten are led.,And dreams take flight where the forgotten are led.,And dreams take flight where the forgotten are,53,True,16-flame,16,name,7,And dreams take flight where the imagination led.,Echoes of forgotten dreams in gentle tones are spread.
164,"In shadows cast by screens we cling,",cling,sing,sing,True,"Our hearts grow faint, yet still we sing.","Our hearts grow faint, yet still we sing.","Our hearts grow faint, yet still we",29,True,149-hue,149,new,15,"Our hearts grow faint, yet still we sing.",Our hearts now dim with light we've known.
165,"Wander the roads where old shadows dance,",dance,chance,dance,True,And listen for echoes of ancient chance.,And listen for echoes of ancient chance.,And listen for echoes of ancient,18,True,166-seen,166,unseen,52,And listen for echoes of ancient trance.,ovanovanovanovanovanovanovanovanovanovanovanovanovanovanovanovanovanovanovanovan
166,"In shadows crowned, the weak wear might unseen,",unseen,seen,unseen,True,While silent strength in silent hearts is seen.,While silent strength in silent hearts is seen.,While silent strength in silent hearts is,52,True,58-sky,58,sigh,18,While silent strength in silent hearts is seen.,entyroytroytroytroytroytroytroytroytroytroy
170,"In shadows cast by silver lies,",lies,rise,dies,True,A whispered truth begins to rise.,A whispered truth begins to rise.,A whispered truth begins to,24,True,51-sung,51,clung,19,A whispered truth begins to rise.,Belonging whispers of the night.
171,"In whispered groves where the wild things dance,",dance,trance,dance,True,The moonlight weaves through the ancient trance.,The moonlight weaves through the ancient trance.,The moonlight weaves through the ancient,18,True,25-decay,25,grey,22,The moonlight weaves through the ancient trance.,The echoes of forgotten songscape.
174,"Whispers of winds through the ancient wood,",wood,stood,wood,True,Echoes of secrets the trees have stood.,Echoes of secrets the trees have stood.,Echoes of secrets the trees have,21,True,49-known,49,stone,21,Echoes of secrets the trees have stood.,Echoes of leaves in a gentle moan.
175,"By the sandbox where the fireflies glow,",glow,low,glow,True,the moonlight dances low.,the moonlight dances low.,the moonlight dances,23,True,135-trance,135,dance,22,the moonlight dances low.,an anjan anjan anjan anjan anjan anjan anjan anjan anjan an
176,"Winds of freedom whisper where chains dare not clink,",clink,blink,clink,True,And hope ignites the hearts they've tried to blink.,And hope ignites the hearts they've tried to blink.,And hope ignites the hearts they've tried to,18,True,166-seen,166,unseen,52,Hope ignites the fire in every silent blink.,idanovanovanovanovanovanovanovanovanovanovanovanovanovanovanovanovanovanovanovan
179,"A heartbeat’s whisper, a soul’s soft fire,",fire,inspire,desire,True,"Burns through the silence, a promise to inspire.","Burns through the silence, a promise to inspire.","Burns through the silence, a promise to",24,True,148-spring,148,sing,11,"Burns through the silence, a promise to inspire",A lantern’s glow in the darkest night.
180,"Beneath a handshake, a dagger gleams with dew,",dew,true,new,True,A silent vow binds the living and the true.,A silent vow binds the living and the true.,A silent vow binds the living and the,18,True,27-mine,27,entwine,35,A silent vow binds the living and the true.,hint of unfolding designed to thinning thinning thinning thinning thinning thinning thinning thin
181,"Whispers of winter kiss the thawing spring,",spring,sing,sing,True,"Beneath the snow, the seeds begin to sing.","Beneath the snow, the seeds begin to sing.","Beneath the snow, the seeds begin to",11,True,30-keep,30,sweep,23,"Beneath the snow, the seeds begin to",A fecececececececececececececececececece
182,"The sun spills gold on laughter's tender track,",track,back,track,True,And shadows dance in twilight's gentle back.,And shadows dance in twilight's gentle back.,And shadows dance in twilight's gentle,21,True,40-night,40,light,9,And shadows dance in twilight's gentle back.,While evening softly cradles the night's dark knight.
183,"A silent tear on truth's tightrope spin,",spin,win,spin,True,A whispered hope begins to win.,A whispered hope begins to win.,A whispered hope begins to,21,True,128-night,128,light,10,A whispered hope begins to win.,Nightightightightightightightightightightightightightightightightightightightight
186,"Beneath soft lies, the truth wears a cloak of light,",light,night,light,True,Yet whispers of shadows still cling to the night.,Yet whispers of shadows still cling to the night.,Yet whispers of shadows still cling to the,16,True,147-sweet,147,deceit,16,Yet whispers of shadows still cling to the night.,betbetbetbetbetbetbetbetbetbetbetbetbetbetbetbetbetbetbetbet
187,"Two hearts entwined where the vows take flight,",flight,light,light,True,One soul forever in love's pure light.,One soul forever in love's pure light.,One soul forever in love's pure,19,True,53-tune,53,noon,6,"One soul forever, through joy and night.",One soul forever in joy's pure light.
188,"A laughter rings where sunshine stirs the air,",air,square,despair,True,A joyous song begins to fill the square.,A joyous song begins to fill the square.,A joyous song begins to fill the,15,True,181-sing,181,sing,11,A joyous song that dances everywhere.,A blush ascends on rooftops far and near.
189,"In whispered hearts where silent dreams take flight,",flight,light,light,True,The stars above begin to shine their light.,The stars above begin to shine their light.,The stars above begin to shine their,23,True,24-on,24,dawn,18,The stars above begin to shine their light.,Someomanian stars someomanian someomanian someomanian someomanian someomanian some
