Spanish_Noun,English_Noun,Article,Predicted_Article,Article_Correct,Predicted_Noun,Noun_Correct,Predicted_Noun_Wrong_Article,Noun_Wrong_Article_Correct,Prob_Article,Prob_Noun,Prob_Noun_Wrong_Article,IC_Spanish_Noun,IC_English_Noun,IC_Article,IC_Description,Description
bata,bathrobe,la,la,True,cam,False,,True,0.62109375,0.5,0.40625,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es
frijol,bean,el,la,False,gar,False,jud,False,0.494140625,0.234375,0.19921875,carámbano,icicle,el,El hielo colgante que se forma en el techo es el carámbano,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es
cama,bed,la,la,True,c,True,col,False,0.97265625,0.99609375,0.8046875,burro,donkey,el,El animal gris parecido al caballo pero más pequeño es el burro,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es
sábana,bedsheet,la,la,True,tela,False,alg,False,0.37109375,0.52734375,0.3515625,rata almizclera,muskrat,la,El roedor que vive cerca del agua es la rata almizclera,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es
bicicleta,bike,la,el,False,bic,True,bic,True,0.318359375,0.98828125,0.45703125,garganta,throat,la,La parte interna del cuello por donde pasa comida es la garganta,La parte interna del cuello por donde pasa comida es la garganta. El vehículo de dos ruedas que pedaleas es
prismáticos,binoculars,los,los,True,bin,False,l,False,0.9453125,0.412109375,0.75390625,pájaro,bird,el,El animal con plumas que vuela y canta es el pájaro,El animal con plumas que vuela y canta es el pájaro. El instrumento óptico que usas para ver cosas lejanas son
pájaro,bird,el,el,True,pá,True,pal,False,0.95703125,0.494140625,0.64453125,bicicleta,bike,la,El vehículo de dos ruedas que pedaleas es la bicicleta,El vehículo de dos ruedas que pedaleas es la bicicleta. El animal con plumas que vuela y canta es
manta,blanket,la,el,False,,True,ab,False,0.498046875,0.53515625,0.703125,águila,eagle,el,El ave rapaz grande con vista muy aguda es el águila,El ave rapaz grande con vista muy aguda es el águila. La tela gruesa que te cubre para darte calor es
licuadora,blender,la,la,True,bat,False,bat,False,0.5625,0.73046875,0.4140625,balsa,raft,la,La embarcación simple hecha de troncos es la balsa,La embarcación simple hecha de troncos es la balsa. El electrodoméstico que mezcla y tritura alimentos es
botas,boots,las,los,False,bot,True,zap,False,0.71484375,0.92578125,0.494140625,gaviota,seagull,la,El ave blanca que vuela cerca del mar es la gaviota,El ave blanca que vuela cerca del mar es la gaviota. El calzado alto que protege los pies y tobillos son
brackets,braces,los,los,True,brackets,True,coron,False,0.6484375,0.6640625,0.7578125,narciso,daffodil,el,La flor amarilla que anuncia la primavera es el narciso,La flor amarilla que anuncia la primavera es el narciso. Los aparatos metálicos que enderezan los dientes son
pechos,breasts,los,los,True,sen,False,m,False,0.84375,0.8984375,0.67578125,directorio telefónico,phonebook,el,El libro donde buscas números de teléfono es el directorio telefónico,El libro donde buscas números de teléfono es el directorio telefónico. Las partes del cuerpo femenino que producen leche son
insecto,bug,el,el,True,mosquito,False,ar,False,0.48046875,0.423828125,0.91796875,cama,bed,la,El mueble donde duermes por las noches es la cama,El mueble donde duermes por las noches es la cama. El animal pequeño de seis patas que a veces molesta es
burrito,burrito,el,el,True,t,False,ench,False,0.99609375,0.48828125,0.2158203125,faro,lighthouse,el,La torre con luz que guía barcos en la noche es el faro,La torre con luz que guía barcos en la noche es el faro. El platillo mexicano enrollado en tortilla de harina es
cactus,cactus,el,la,False,c,True,c,True,0.54296875,0.8828125,0.412109375,pepperoni,pepperoni,el,El embutido picante que pones en la pizza es el pepperoni,El embutido picante que pones en la pizza es el pepperoni. La planta espinosa que crece en el desierto es
jaula,cage,la,una,False,c,False,est,False,0.33203125,0.4921875,0.5234375,camello,camel,el,El animal del desierto con jorobas es el camello,El animal del desierto con jorobas es el camello. El compartimento con barrotes donde viven algunos animales es
cámara,camera,la,la,True,cámara,True,...,False,0.69140625,0.69140625,0.2265625,cisne,swan,el,El ave elegante de cuello largo es el cisne,El ave elegante de cuello largo es el cisne. El aparato que usas para tomar fotografías es
zanahoria,carrot,la,la,True,z,True,z,True,0.7890625,0.98828125,0.86328125,lince,bobcat,el,El felino salvaje de orejas puntiagudas es el lince,El felino salvaje de orejas puntiagudas es el lince. La verdura naranja y alargada que comen los conejos es
coliflor,cauliflower,la,el,False,col,True,cará,False,0.54296875,0.263671875,0.23828125,carámbano,icicle,el,El hielo colgante que se forma en el techo es el carámbano,El hielo colgante que se forma en el techo es el carámbano. La verdura blanca con forma de árbol pequeño es
celular,cellphone,el,un,False,teléfono,False,tecnología,False,0.310546875,0.30078125,0.181640625,traje,suit,el,La vestimenta elegante de saco y pantalón es el traje,La vestimenta elegante de saco y pantalón es el traje. El teléfono portátil que llevas en el bolsillo es
chimenea,chimney,la,la,True,chim,True,te,False,0.640625,0.9609375,0.5390625,impermeable,raincoat,el,La prenda que te pones cuando llueve es el impermeable,La prenda que te pones cuando llueve es el impermeable. La estructura por donde sale el humo de la casa es
palillos,chopsticks,los,los,True,ten,False,c,False,0.7109375,0.6796875,0.38671875,ceniza,ash,la,El polvo gris que queda después de quemar algo es la ceniza,El polvo gris que queda después de quemar algo es la ceniza. Los utensilios de madera que usan en Asia para comer son
reloj,clock,el,el,True,re,True,hor,False,0.9453125,0.99609375,0.7421875,bigote,moustache,el,El pelo que crece arriba del labio superior es el bigote,El pelo que crece arriba del labio superior es el bigote. El aparato que marca las horas del día es
cobra,cobra,la,la,True,c,True,c,True,0.6875,0.62109375,0.337890625,tulipán,tulip,el,La flor de colores vivos que florece en primavera es el tulipán,La flor de colores vivos que florece en primavera es el tulipán. La serpiente venenosa que puede expandir su cuello es
peine,comb,el,el,True,pe,True,pe,True,0.87109375,0.71484375,0.1923828125,sillón,armchair,el,El asiento cómodo con brazos donde te relajas es el sillón,El asiento cómodo con brazos donde te relajas es el sillón. El objeto con dientes que usas para arreglar el cabello es
galleta,cookie,la,el,False,g,True,g,True,0.921875,0.99609375,0.51953125,dentista,dentist,el,El doctor que cuida y arregla los dientes es el dentista,El doctor que cuida y arregla los dientes es el dentista. El dulce crujiente que horneas en la cocina es
cangrejo de río,crawfish,el,el,True,c,True,c,True,0.859375,0.66015625,0.421875,leopardo,leopard,el,El felino manchado que caza en África y Asia es el leopardo,El felino manchado que caza en África y Asia es el leopardo. El crustáceo pequeño de agua dulce que parece langosta es
taza,cup,la,el,False,t,True,t,True,0.55078125,1.0,0.8515625,soplete,blowtorch,el,La herramienta que produce llama muy caliente es el soplete,La herramienta que produce llama muy caliente es el soplete. El recipiente pequeño donde bebes café o té es
magdalena,cupcake,la,un,False,"""",False,que,False,0.3671875,0.0654296875,0.11328125,garganta,throat,la,La parte interna del cuello por donde pasa comida es la garganta,La parte interna del cuello por donde pasa comida es la garganta. El pastelito individual con betún encima es
margarita,daisy,la,la,True,marg,True,gir,False,0.8125,0.1533203125,0.58203125,berenjena,eggplant,la,La verdura morada grande y brillante es la berenjena,La verdura morada grande y brillante es la berenjena. La flor blanca con centro amarillo muy común es
diente de león,dandelion,el,la,False,g,False,mar,False,0.6015625,0.060546875,0.052734375,tulipán,tulip,el,La flor de colores vivos que florece en primavera es el tulipán,La flor de colores vivos que florece en primavera es el tulipán. La flor amarilla silvestre que se convierte en pelusa es
desodorante,deodorant,el,el,True,jab,False,cre,False,0.8515625,0.671875,0.671875,hoja,leaf,la,La parte verde y plana que crece en las ramas es la hoja,La parte verde y plana que crece en las ramas es la hoja. El producto que te aplicas para no oler mal es
perro,dog,el,el,True,per,True,per,True,0.92578125,0.99609375,0.443359375,edredón,quilt,el,La manta gruesa y decorativa que cubre la cama es el edredón,La manta gruesa y decorativa que cubre la cama es el edredón. El animal doméstico fiel que ladra y mueve la cola es
muñeca,doll,la,el,False,mu,True,mu,True,0.65625,0.87890625,0.8046875,diploma,diploma,el,El documento que recibes al graduarte es el diploma,El documento que recibes al graduarte es el diploma. El juguete con forma de persona que usan los niños es
burro,donkey,el,el,True,z,False,vac,False,0.9375,0.4140625,0.30078125,caballete,easel,el,El soporte de madera donde los pintores ponen lienzos es el caballete,El soporte de madera donde los pintores ponen lienzos es el caballete. El animal gris parecido al caballo pero más pequeño es
umbral,doorstep,el,la,False,um,True,escal,False,0.5234375,0.49609375,0.7578125,pestaña,eyelash,la,El pelo pequeño que crece en el borde del párpado es la pestaña,El pelo pequeño que crece en el borde del párpado es la pestaña. El escalón de entrada en la puerta de la casa es
recogedor,dustpan,el,el,True,cep,False,p,False,0.7109375,0.4140625,0.87890625,águila,eagle,el,El ave rapaz grande con vista muy aguda es el águila,El ave rapaz grande con vista muy aguda es el águila. El utensilio plano que usas con la escoba para recoger basura es
águila,eagle,el,el,True,á,True,á,True,0.91796875,0.5390625,0.306640625,gusano,maggot,el,La larva blanca que sale en la carne podrida es el gusano,La larva blanca que sale en la carne podrida es el gusano. El ave rapaz grande con vista muy aguda es
oreja,ear,la,el,False,ore,True,o,True,0.84375,0.765625,0.9140625,codo,elbow,el,La articulación que une el brazo con el antebrazo es el codo,La articulación que une el brazo con el antebrazo es el codo. La parte del cuerpo con la que escuchas sonidos es
codo,elbow,el,el,True,c,True,mu,False,0.80859375,0.859375,0.79296875,secador de pelo,hairdryer,el,El aparato que sopla aire caliente para secar cabello es el secador de pelo,El aparato que sopla aire caliente para secar cabello es el secador de pelo. La articulación que une el brazo con el antebrazo es
elefante,elephant,el,el,True,ele,True,ball,False,0.9765625,0.92578125,0.61328125,higo,fig,el,La fruta dulce de piel morada y pulpa roja es el higo,La fruta dulce de piel morada y pulpa roja es el higo. El mamífero gigante con trompa y colmillos es
escalera mecánica,escalator,la,la,True,escal,True,asc,False,0.60546875,0.9375,0.4296875,pastillero,pillbox,el,La cajita donde guardas medicamentos es el pastillero,La cajita donde guardas medicamentos es el pastillero. La escalera que se mueve sola en centros comerciales es
pestaña,eyelash,la,el,False,p,True,p,True,0.8984375,0.447265625,0.69921875,llanta,tire,la,La rueda de goma que gira en los autos es la llanta,La rueda de goma que gira en los autos es la llanta. El pelo pequeño que crece en el borde del párpado es
helecho,fern,el,la,False,___,False,or,False,0.53515625,0.1708984375,0.16796875,pechos,breasts,los,Las partes del cuerpo femenino que producen leche son los pechos,Las partes del cuerpo femenino que producen leche son los pechos. La planta verde sin flores que crece en lugares húmedos es
dedo,finger,el,el,True,ded,True,ded,True,0.98828125,0.828125,0.65625,pollito,chick,el,El bebé de la gallina que hace pío es el pollito,El bebé de la gallina que hace pío es el pollito. La parte alargada de la mano que usas para señalar es
pez,fish,el,el,True,pe,True,r,False,0.9296875,0.78515625,0.15625,barba,beard,la,El pelo que crece en la cara de los hombres es la barba,El pelo que crece en la cara de los hombres es la barba. El animal que vive en el agua y respira por branquias es
linterna,flashlight,la,la,True,lint,True,gener,False,0.61328125,0.72265625,0.1611328125,redecilla,hairnet,la,La red que cubre el cabello para cocinar es la redecilla,La red que cubre el cabello para cocinar es la redecilla. El aparato portátil que da luz cuando no hay electricidad es
flor,flower,la,el,False,flor,True,tal,False,0.478515625,0.54296875,0.220703125,grava,gravel,la,Las piedras pequeñas que cubren algunos caminos es la grava,Las piedras pequeñas que cubren algunos caminos es la grava. La parte colorida y bonita de las plantas es
flauta,flute,la,el,False,fl,True,o,False,0.6953125,0.7578125,0.169921875,regaliz,licorice,el,El dulce negro con sabor fuerte y peculiar es el regaliz,El dulce negro con sabor fuerte y peculiar es el regaliz. El instrumento musical de viento largo y delgado es
rana,frog,la,el,False,c,False,sal,False,0.5078125,0.419921875,0.390625,margarita,daisy,la,La flor blanca con centro amarillo muy común es la margarita,La flor blanca con centro amarillo muy común es la margarita. El anfibio verde que salta y hace croac es
cabra,goat,la,el,False,vac,False,vac,False,0.90625,0.984375,0.671875,joya,jewel,la,La piedra preciosa brillante y valiosa es la joya,La piedra preciosa brillante y valiosa es la joya. El animal con cuernos que come hierba y da leche es
granito,granite,el,el,True,gran,True,pied,False,0.66015625,0.9140625,0.6015625,morsa,walrus,la,El mamífero marino grande con colmillos es la morsa,El mamífero marino grande con colmillos es la morsa. La piedra muy dura que se usa para hacer monumentos es
uva,grape,la,la,True,u,True,u,True,0.97265625,0.98828125,0.2275390625,escopeta,shotgun,la,El arma larga que dispara muchos perdigones es la escopeta,El arma larga que dispara muchos perdigones es la escopeta. La fruta pequeña y redonda que crece en racimos es
grava,gravel,la,el,False,arena,False,pol,False,0.5390625,0.369140625,0.259765625,capullo de rosa,rosebud,el,La rosa que aún no se ha abierto completamente es el capullo de rosa,La rosa que aún no se ha abierto completamente es el capullo de rosa. Las piedras pequeñas que cubren algunos caminos es
barandilla,guardrail,la,el,False,bar,True,bal,False,0.58203125,0.19921875,0.1123046875,faro,headlight,el,La luz delantera que ilumina el camino en autos es el faro,La luz delantera que ilumina el camino en autos es el faro. La protección de metal en puentes y escaleras es
hamburguesa,hamburger,la,el,False,em,False,pan,False,0.578125,0.640625,0.49609375,canicas,marbles,las,Las esferas de vidrio con las que juegan niños son las canicas,Las esferas de vidrio con las que juegan niños son las canicas. La carne molida entre dos panes que comes con las manos es
pistola,handgun,la,el,False,pist,True,rev,False,0.57421875,0.93359375,0.921875,pasaporte,passport,el,El documento que necesitas para viajar a otros países es el pasaporte,El documento que necesitas para viajar a otros países es el pasaporte. El arma de fuego pequeña que se usa con una mano es
cuerno,horn,el,el,True,cu,True,cr,False,0.859375,0.5625,0.283203125,librero,bookshelf,el,El mueble donde organizas libros es el librero,El mueble donde organizas libros es el librero. La protuberancia dura que tienen algunos animales en la cabeza es
caballo,horse,el,el,True,cab,True,cab,True,0.96484375,1.0,0.73828125,peine,comb,el,El objeto con dientes que usas para arreglar el cabello es el peine,El objeto con dientes que usas para arreglar el cabello es el peine. El animal grande que montas y que galopa es
herradura,horseshoe,la,el,False,venda,False,est,False,0.63671875,0.1669921875,0.341796875,insecto,bug,el,El animal pequeño de seis patas que a veces molesta es el insecto,El animal pequeño de seis patas que a veces molesta es el insecto. El objeto de metal que protege las patas de los caballos es
perro caliente,hotdog,el,un,False,pan,False,que,False,0.318359375,0.1767578125,0.08251953125,pulgar,thumb,el,El dedo gordo de la mano es el pulgar,El dedo gordo de la mano es el pulgar. La salchicha en pan que vendes en puestos callejeros es
casa,house,la,tu,False,casa,True,hog,False,0.515625,0.875,0.98828125,arena,sand,la,Los granos pequeños que cubren las playas es la arena,Los granos pequeños que cubren las playas es la arena. El lugar donde vives con tu familia es
tapón de rueda,hubcap,el,la,False,centro,False,parte,False,0.326171875,0.12060546875,0.1923828125,monociclo,unicycle,el,La bicicleta de una sola rueda es el monociclo,La bicicleta de una sola rueda es el monociclo. La cubierta decorativa del centro de las llantas es
frasco,jar,el,el,True,fr,True,bot,False,0.40234375,0.185546875,0.69140625,margarita,daisy,la,La flor blanca con centro amarillo muy común es la margarita,La flor blanca con centro amarillo muy común es la margarita. El recipiente de vidrio con tapa donde guardas conservas es
vaqueros,jeans,los,los,True,pant,False,cam,False,0.412109375,0.408203125,0.26171875,gaviota,seagull,la,El ave blanca que vuela cerca del mar es la gaviota,El ave blanca que vuela cerca del mar es la gaviota. Los pantalones de mezclilla azul muy populares son
cometa,kite,la,el,False,com,True,glo,False,0.7890625,0.8515625,0.98828125,elefante,elephant,el,El mamífero gigante con trompa y colmillos es el elefante,El mamífero gigante con trompa y colmillos es el elefante. El juguete de papel que vuela con el viento es
rodilla,knee,la,la,True,rod,True,______,False,0.5546875,0.466796875,0.15234375,gusano,maggot,el,La larva blanca que sale en la carne podrida es el gusano,La larva blanca que sale en la carne podrida es el gusano. La articulación que une el muslo con la pierna es
escalera,ladder,la,el,False,escal,True,escal,True,0.54296875,0.84765625,0.515625,tulipán,tulip,el,La flor de colores vivos que florece en primavera es el tulipán,La flor de colores vivos que florece en primavera es el tulipán. Los escalones portátiles que usas para subir alto es
farol,lantern,el,la,False,far,True,lint,False,0.765625,0.2177734375,0.447265625,mochila,backpack,la,La bolsa que cargas en la espalda es la mochila,La bolsa que cargas en la espalda es la mochila. La lámpara portátil que usaban antes de la electricidad es
hoja,leaf,la,la,True,ho,True,tal,False,0.61328125,0.89453125,0.470703125,espátula,spatula,la,El utensilio plano que volteas comida es la espátula,El utensilio plano que volteas comida es la espátula. La parte verde y plana que crece en las ramas es
limón,lemon,el,la,False,lim,True,pi,False,0.58203125,0.62890625,0.427734375,tábano,horsefly,el,El insecto grande que pica a los caballos es el tábano,El insecto grande que pica a los caballos es el tábano. La fruta amarilla y ácida que usas en bebidas es
leopardo,leopard,el,el,True,le,True,j,False,0.9296875,0.8359375,0.39453125,revista,magazine,la,La publicación con fotos e historias que lees es la revista,La publicación con fotos e historias que lees es la revista. El felino manchado que caza en África y Asia es
bombilla,lightbulb,la,la,True,bomb,True,foc,False,0.443359375,0.65625,0.15234375,cordero,lamb,el,El bebé de la oveja que bala tiernamente es el cordero,El bebé de la oveja que bala tiernamente es el cordero. El objeto de vidrio que da luz eléctrica es
revista,magazine,la,una,False,not,False,contenido,False,0.14453125,0.09814453125,0.228515625,salsa,gravy,la,El líquido espeso que acompaña la carne es la salsa,El líquido espeso que acompaña la carne es la salsa. La publicación con fotos e historias que lees es
buzón,mailbox,el,el,True,buz,True,c,False,0.373046875,0.6953125,0.61328125,palomitas,popcorn,las,Los granos de maíz inflados que comes en el cine son las palomitas,Los granos de maíz inflados que comes en el cine son las palomitas. La caja donde el cartero deja las cartas es
mango,mango,el,el,True,mango,True,pi,False,0.470703125,0.77734375,0.361328125,avispa,wasp,la,El insecto rayado que puede picar es la avispa,El insecto rayado que puede picar es la avispa. La fruta tropical dulce de color naranja es
colchón,mattress,el,la,False,col,True,alm,False,0.67578125,0.98046875,0.4296875,sapo,toad,el,El anfibio parecido a la rana pero más grande es el sapo,El anfibio parecido a la rana pero más grande es el sapo. La parte suave de la cama donde descansa tu cuerpo es
pastel de carne,meatloaf,el,el,True,t,False,em,False,0.91015625,0.65234375,0.365234375,lince,bobcat,el,El felino salvaje de orejas puntiagudas es el lince,El felino salvaje de orejas puntiagudas es el lince. El platillo horneado hecho con carne molida es
microscopio,microscope,el,el,True,micro,True,micro,True,0.98828125,1.0,0.88671875,tablero,backboard,el,La superficie vertical donde rebota la pelota de básquet es el tablero,La superficie vertical donde rebota la pelota de básquet es el tablero. El instrumento que agranda cosas muy pequeñas es
trampa para ratones,mousetrap,la,la,True,tr,True,tr,True,0.51171875,0.921875,0.265625,pantano,swamp,el,El terreno húmedo lleno de lodo es el pantano,El terreno húmedo lleno de lodo es el pantano. El aparato que atrapas los roedores pequeños es
mula,mule,la,el,False,m,True,...,False,0.9609375,0.48046875,0.35546875,galleta,cookie,la,El dulce crujiente que horneas en la cocina es la galleta,El dulce crujiente que horneas en la cocina es la galleta. El animal híbrido entre caballo y burro es
cepillo de uñas,nailbrush,el,el,True,cep,True,esc,False,0.52734375,0.8671875,0.08837890625,pirámide,pyramid,la,La construcción triangular de los faraones es la pirámide,La construcción triangular de los faraones es la pirámide. El cepillo pequeño que limpias las uñas es
cuello,neck,el,el,True,c,True,c,True,0.75,0.99609375,0.8828125,espátula,spatula,la,El utensilio plano que volteas comida es la espátula,El utensilio plano que volteas comida es la espátula. La parte del cuerpo que conecta la cabeza con el tronco es
nectarina,nectarine,la,el,False,n,True,dur,False,0.5,0.134765625,0.390625,colchón,mattress,el,La parte suave de la cama donde descansa tu cuerpo es el colchón,La parte suave de la cama donde descansa tu cuerpo es el colchón. La fruta parecida al durazno pero con piel lisa es
avena,oat,la,el,False,**,False,pan,False,0.9765625,0.22265625,0.40234375,sierra,hacksaw,la,La herramienta dentada que corta metal es la sierra,La herramienta dentada que corta metal es la sierra. El cereal que comes en el desayuno con leche es
pulpo,octopus,el,el,True,pul,True,med,False,0.80859375,0.6796875,0.51171875,pollito,chick,el,El bebé de la gallina que hace pío es el pollito,El bebé de la gallina que hace pío es el pollito. El animal marino con ocho tentáculos es
pimentón,paprika,el,el,True,p,True,p,True,0.55859375,0.369140625,0.73828125,espagueti,spaghetti,el,La pasta larga y delgada que enrollas con tenedor es el espagueti,La pasta larga y delgada que enrollas con tenedor es el espagueti. La especia roja en polvo que sazona la comida es
loro,parrot,el,el,True,ar,False,ar,False,0.62109375,0.94140625,0.97265625,bombilla,lightbulb,la,El objeto de vidrio que da luz eléctrica es la bombilla,El objeto de vidrio que da luz eléctrica es la bombilla. El ave tropical colorida que puede imitar palabras es
pasaporte,passport,el,el,True,pas,True,tar,False,0.490234375,0.99609375,0.380859375,campana,bell,la,El objeto metálico que suena cuando lo mueves es la campana,El objeto metálico que suena cuando lo mueves es la campana. El documento que necesitas para viajar a otros países es
pavo real,peacock,el,el,True,p,True,pal,False,0.93359375,0.7109375,0.546875,gusano,maggot,el,La larva blanca que sale en la carne podrida es el gusano,La larva blanca que sale en la carne podrida es el gusano. El ave con cola grande y colorida que hace rueda es
pingüino,penguin,el,el,True,ping,True,p,True,0.8984375,0.84375,0.345703125,cepillo de dientes,toothbrush,el,El utensilio con cerdas para limpiar los dientes es el cepillo de dientes,El utensilio con cerdas para limpiar los dientes es el cepillo de dientes. El ave que no vuela y vive en lugares fríos es
pepperoni,pepperoni,el,el,True,pe,True,salsa,False,0.9375,0.400390625,0.5859375,bistec,steak,el,La carne de res gruesa que asas es el bistec,La carne de res gruesa que asas es el bistec. El embutido picante que pones en la pizza es
cerdo,pig,el,el,True,cer,True,o,False,0.64453125,0.984375,0.6640625,panadería,bakeshop,la,La tienda donde venden pan recién horneado es la panadería,La tienda donde venden pan recién horneado es la panadería. El animal rosado que vive en granjas y hace oink es
almohada,pillow,la,la,True,alm,True,col,False,0.5546875,0.984375,0.47265625,riñón,kidney,el,El órgano que filtra la sangre en tu cuerpo es el riñón,El órgano que filtra la sangre en tu cuerpo es el riñón. El cojín suave donde apoyas la cabeza para dormir es
horca,pitchfork,la,el,False,p,False,...,False,0.439453125,0.416015625,0.150390625,impermeable,raincoat,el,La prenda que te pones cuando llueve es el impermeable,La prenda que te pones cuando llueve es el impermeable. La herramienta con dientes largos para mover paja es
pizza,pizza,la,la,True,pizza,True,...,False,0.458984375,0.25,0.3046875,placa,badge,la,El distintivo metálico que usan policías es la placa,El distintivo metálico que usan policías es la placa. El platillo italiano redondo con queso y salsa es
tablón,plank,el,el,True,tab,True,tabla,False,0.46484375,0.40234375,0.43359375,pastel de queso,cheesecake,el,El postre cremoso hecho con queso es el pastel de queso,El postre cremoso hecho con queso es el pastel de queso. La tabla de madera larga y gruesa para construcción es
palomitas,popcorn,las,los,False,gran,False,gran,False,0.435546875,0.2021484375,0.66015625,zanahoria,carrot,la,La verdura naranja y alargada que comen los conejos es la zanahoria,La verdura naranja y alargada que comen los conejos es la zanahoria. Los granos de maíz inflados que comes en el cine son
puercoespín,porcupine,el,el,True,pul,False,c,False,0.890625,0.1962890625,0.267578125,sardina,sardine,la,El pez pequeño que viene en latas es la sardina,El pez pequeño que viene en latas es la sardina. El animal con púas que se enrolla cuando se asusta es
pluma de ave,quill,la,un,False,pl,True,lá,False,0.283203125,0.421875,0.287109375,prismáticos,binoculars,los,El instrumento óptico que usas para ver cosas lejanas son los prismáticos,El instrumento óptico que usas para ver cosas lejanas son los prismáticos. La pluma grande que usaban para escribir antiguamente es
edredón,quilt,el,la,False,ed,True,m,False,0.328125,0.28515625,0.9609375,azulejo,bluebird,el,El pájaro pequeño de color azul brillante es el azulejo,El pájaro pequeño de color azul brillante es el azulejo. La manta gruesa y decorativa que cubre la cama es
balsa,raft,la,la,True,can,False,b,True,0.291015625,0.58984375,0.5234375,pasa,raisin,la,La uva seca y arrugada que comes como dulce es la pasa,La uva seca y arrugada que comes como dulce es la pasa. La embarcación simple hecha de troncos es
impermeable,raincoat,el,el,True,par,False,cha,False,0.640625,0.9765625,0.97265625,tomate,tomato,el,La fruta roja que usas en ensaladas y salsas es el tomate,La fruta roja que usas en ensaladas y salsas es el tomate. La prenda que te pones cuando llueve es
serpiente de cascabel,rattlesnake,la,el,False,ser,True,r,False,0.466796875,0.72265625,0.083984375,reloj,clock,el,El aparato que marca las horas del día es el reloj,El aparato que marca las horas del día es el reloj. La víbora que hace ruido con la cola es
refrigerador,refrigerator,el,el,True,refriger,True,never,False,0.80859375,0.66796875,0.9609375,palomitas,popcorn,las,Los granos de maíz inflados que comes en el cine son las palomitas,Los granos de maíz inflados que comes en el cine son las palomitas. El electrodoméstico que mantiene fría la comida es
bata,robe,la,el,False,cam,False,ab,False,0.76171875,0.404296875,0.423828125,león,lion,el,El felino grande que ruge y tiene melena es el león,El felino grande que ruge y tiene melena es el león. La prenda larga y suelta que usas en casa es
arena,sand,la,el,False,arena,True,sal,False,0.82421875,0.98828125,0.345703125,candelero,candlestick,el,El soporte donde pones velas es el candelero,El soporte donde pones velas es el candelero. Los granos pequeños que cubren las playas es
