Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
analyst,an,a,False,analyst,True,clerk,False,0.8125,0.98046875,0.498046875,clerk,a,Someone who performs administrative tasks is a clerk
auditor,an,an,True,accountant,False,book,False,0.92578125,0.9921875,0.7890625,nutritionist,a,Someone who advises on diet and nutrition is a nutritionist
banker,a,a,True,financial,False,accountant,False,0.96484375,0.5390625,0.447265625,architect,an,Someone who designs buildings and structures is an architect
broker,a,a,True,financial,False,accountant,False,0.9765625,0.30859375,0.7734375,detective,a,Someone who investigates crimes is a detective
realtor,a,a,True,real,True,agent,False,0.95703125,0.98828125,0.9921875,therapist,a,Someone who provides treatment for physical or mental conditions is a therapist
auctioneer,an,a,False,auction,True,auction,True,0.63671875,0.99609375,0.28515625,physicist,a,Someone who studies matter and energy is a physicist
salesperson,a,a,True,sales,True,...,False,0.9921875,0.369140625,0.376953125,roofer,a,Someone who installs and repairs roofs is a roofer
retailer,a,a,True,sales,False,entrepreneur,False,0.98828125,0.44140625,0.21484375,analyst,an,Someone who examines data and information is an analyst
wholesaler,a,a,True,merchant,False,entrepreneur,False,0.96875,0.66015625,0.89453125,psychiatrist,a,Someone who treats mental health disorders is a psychiatrist
inventor,an,an,True,inventor,True,scientist,False,0.99609375,0.83203125,0.265625,professor,a,Someone who teaches and conducts research at universities is a professor
programmer,a,a,True,programmer,True,programmer,True,0.99609375,0.91015625,0.2373046875,waiter,a,Someone who serves food in restaurants is a waiter
technician,a,a,True,technician,True,engineer,False,0.87890625,0.98828125,0.8984375,musician,a,Someone who plays instruments or composes music is a musician
operator,an,a,False,operator,True,mechanic,False,0.9375,0.984375,0.609375,oncologist,an,Someone who treats cancer patients is an oncologist
inspector,an,a,False,inspector,True,inspector,True,0.7109375,0.99609375,0.29296875,therapist,a,Someone who provides treatment for physical or mental conditions is a therapist
examiner,an,a,False,ass,False,______,False,0.6484375,0.8671875,0.1962890625,receptionist,a,Someone who greets visitors and answers phones is a receptionist
