,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last
149,"Like morning dew on petals soft and new,",new,hue,new,True,So fades the light of daybreak's tender hue.,So fades the light of daybreak's tender hue.,So fades the light of daybreak's tender
150,"Wings of dawn clash with iron night,",night,flight,light,True,Shadows dance where the stars take flight.,Shadows dance where the stars take flight.,Shadows dance where the stars take
151,"Brushstrokes weave the silent song of imagination’s flame,",flame,name,name,True,A canvas breathes where dreams take flight in hues unseen by name.,A canvas breathes where dreams take flight in hues unseen by name.,A canvas breathes where dreams take flight in hues unseen by
152,"Whispers of the past dance on the breeze,",breeze,tease,trees,True,Echoes of forgotten dreams still tease.,Echoes of forgotten dreams still tease.,Echoes of forgotten dreams still
153,"In youth's tender bloom, my heart first knew the name of flame,",flame,same,name,True,"Now aged and wise, I find its echo in the same.","Now aged and wise, I find its echo in the same.","Now aged and wise, I find its echo in the"
159,"Whispers of wind through the emerald embrace,",embrace,grace,embrace,True,A dance with the shadows in twilight's soft grace.,A dance with the shadows in twilight's soft grace.,A dance with the shadows in twilight's soft
160,"Whispers of absence haunt the halls where laughter used to play,",play,day,grey,True,Echoes of joy fade into the silence of the day.,Echoes of joy fade into the silence of the day.,Echoes of joy fade into the silence of the
163,"A hollow vow where silence weeps,",weeps,sleeps,weeps,True,A shadowed heart that never sleeps.,A shadowed heart that never sleeps.,A shadowed heart that never
165,"Wander the roads where old shadows dance,",dance,glance,dance,True,"Beneath the moon's soft, silver glance.","Beneath the moon's soft, silver glance.","Beneath the moon's soft, silver"
166,"In shadows crowned, the weak wear might unseen,",unseen,seen,unseen,True,While strength in light is oft by folly seen.,While strength in light is oft by folly seen.,While strength in light is oft by folly
168,"Smoke ascends where silent dreams once grew,",grew,flew,new,True,Ash remains where whispered hopes once flew.,Ash remains where whispered hopes once flew.,Ash remains where whispered hopes once
170,"In shadows cast by silver lies,",lies,dies,dies,True,A whisper stirs where silence dies.,A whisper stirs where silence dies.,A whisper stirs where silence
171,"In whispered groves where the wild things dance,",dance,glance,dance,True,"Beneath the moon's soft, silver glance.","Beneath the moon's soft, silver glance.","Beneath the moon's soft, silver"
172,"City lights hum with restless desire,",desire,fire,desire,True,Shadowed dreams drift on midnight's fire.,Shadowed dreams drift on midnight's fire.,Shadowed dreams drift on midnight's
173,"Time weaves its wisdom, thread by silent thread,",thread,spread,thread,True,"A tapestry of moments, softly spread.","A tapestry of moments, softly spread.","A tapestry of moments, softly"
174,"Whispers of winds through the ancient wood,",wood,stood,wood,True,Echoes of secrets the trees have stood.,Echoes of secrets the trees have stood.,Echoes of secrets the trees have
