first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion
"In the hush between breaths, the sacred stirs,",stirs,one,years,False,where love and death are one.,where love and death are one.
"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,grace,maze,False,where dreams take flight and shadows dance in grace.,where dreams take flight and shadows dance in grace.
"A heartbeat hums where light once passed,",passed,praise,past,False,And shadows dance in silent praise.,"A heartbeat hums where light once passed,  
And shadows dance in silent praise."
"Colors whisper tales in hues once unknown,",unknown,told,stone,False,But shadows dance in secrets never told.,"Colors whisper tales in hues once unknown,  
But shadows dance in secrets never told."
"In shadowed chains, the spirit dares to sing,",sing,wings,sing,False,"and in the light of dawn, it finds its wings.","and in the light of dawn, it finds its wings."
"A whispered vow can fracture like glass beneath the heel of deceit,",deceit,go,deceit,False,"But a heart unbroken can stand firm, though storms may come and go.","But a heart unbroken can stand firm, though storms may come and go."
"It blooms in whispers, not in storm,",storm,drown,storm,False,Yet leaves a scent that time can't drown.,"It blooms in whispers, not in storm,  
Yet leaves a scent that time can't drown."
"I walked through the shadows where childhood once stayed,",stayed,had,stayed,False,And found the echoes of a time I'd never had.,"I walked through the shadows where childhood once stayed,  
And found the echoes of a time I'd never had."
"Whispers of winds through ancient green trees,",trees,space,trees,False,Shout the secrets of time and space.,"Whispers of winds through ancient green trees,  
Shout the secrets of time and space."
"Whispers of yesterday dance on the winds of time,",time,flame,time,False,and echo through the halls of memory's bright flame.,and echo through the halls of memory's bright flame.
"Together we rise, woven as one,",one,love,spun,False,"and we stand strong, united in love.","and we stand strong, united in love."
"Time’s tapestry threads with echoes of yore,",yore,hope,soar,False,Yet still the present holds the thread of hope.,"Time’s tapestry threads with echoes of yore,  
Yet still the present holds the thread of hope."
"Justice weeps in shadowed halls,",halls,light,halls,False,But truth shall rise in dawn's first light.,"Justice weeps in shadowed halls,  
But truth shall rise in dawn's first light."
"Laughter echoes down the lane where sunlit days once played,",played,yesteryear,stayed,False,and dreams still chase the light of yesteryear.,and dreams still chase the light of yesteryear.
"The hours drift like autumn leaves in twilight’s gentle stream,",stream,embrace,stream,False,and fade like dreams in morning's soft embrace.,and fade like dreams in morning's soft embrace.
"The road unwinds its thread through mist and sun,",sun,town,spun,False,and shadows dance in rhythm with the town.,and shadows dance in rhythm with the town.
"Brushstrokes of wonder bloom in minds unchained,",unchained,refrain,unchained,False,and dreams take flight in every painted refrain.,and dreams take flight in every painted refrain.
"Through shared beginnings and paths that diverge,",diverge,going,diverge,False,we find the strength to keep going.,we find the strength to keep going.
"In shadows deep where hope once danced with light,",light,bright,light,True,A whisper of the past still echoes bright.,"In shadows deep where hope once danced with light,  
A whisper of the past still echoes bright."
"In shadow's grip, cannon-light whispers of rage,",rage,war,rage,False,and silence in the halls of war.,and silence in the halls of war.
"In laughter’s glow, where trust is sown,",sown,won,stone,False,the heart finds peace and love is won.,the heart finds peace and love is won.
"Voices echo, yet no hearts collide,",collide,live,collide,False,But silence holds the truth we all must live.,But silence holds the truth we all must live.
"Though shadows stretch where light once bloomed,",bloomed,couplet,bloomed,False,I'll write the next line of the rhyming couplet:,"I'll write the next line of the rhyming couplet:  

Though shadows stretch where light once bloomed,  
The dawn will rise and bring a"
"In the shadowed heart where two winds meet,",meet,trees,deceit,False,the secrets of the night are whispered through the trees.,the secrets of the night are whispered through the trees.
"Beneath the silence where whispers used to play,",play,unseen,grey,False,"A secret waits in the shadows, unseen.","Beneath the silence where whispers used to play,  
A secret waits in the shadows, unseen."
"With trembling hands, I reach to light the flame,",flame,fades,name,False,and find the spark that never fades.,and find the spark that never fades.
"Two hearts entwined, a promise made,",made,good,stayed,False,"A love that lasts, forever and good.","A love that lasts, forever and good."
"In twilight’s hush, where hearts exhale,",exhale,sky,exhale,False,"the stars begin to twinkle through the pale, pale sky.","the stars begin to twinkle through the pale, pale sky."
"The shadows whisper threats they cannot name,",name,flame,name,True,but the light holds truth in every flame.,but the light holds truth in every flame.
"Silhouettes of solitude etched deep in vacant skies,",skies,night,dies,False,where silence whispers through the endless night.,where silence whispers through the endless night.
"Shadows fall where once your laughter bloomed,",bloomed,moved,bloomed,False,and silence lingers where your voice once moved.,and silence lingers where your voice once moved.
"Footprints in the dust of days gone by,",by,dies,sigh,False,Echoes of a love that never dies.,"Footprints in the dust of days gone by,  
Echoes of a love that never dies."
"The reaper whispers soft through every age,",age,grace,rage,False,"and leaves behind a quiet, eternal grace.","and leaves behind a quiet, eternal grace."
"Amidst the buzz of concrete dreams, the country’s clockwork hums in rural streams,",streams,town,dreams,False,where hope and harvest meet in every town.,where hope and harvest meet in every town.
"Two hearts entwined where vows take root,",root,love,root,False,two souls forever bound in love.,two souls forever bound in love.
"In the shadows, whispers rise—half angel, half abyss,",abyss,bliss,abyss,True,"And in silence, they dance, a fleeting, sacred bliss.","And in silence, they dance, a fleeting, sacred bliss."
"Whispers of absence haunt the hollows where their laughter once was,",was,woods,was,False,And echoes of their love still linger in the stillness of the woods.,And echoes of their love still linger in the stillness of the woods.
"The scales of justice tremble with truth, while shadows feast on the cries of the unjust,",unjust,due,unjust,False,"And justice rises, unshaken, to claim its due.","And justice rises, unshaken, to claim its due."
"The thunder in his chest begins to roar,",roar,awe,soar,False,and the world is left in awe.,and the world is left in awe.
"In the hush between heartbeats, love begins to breathe,",breathe,beats,breathe,False,and find its rhythm in the silence between the beats.,and find its rhythm in the silence between the beats.
"Whispers of spring in the thawing snow's breath,",breath,deep,breath,False,A gentle thaw in the heart of the tree's deep.,A gentle thaw in the heart of the tree's deep.
"The elder chants as clocks devour time,",time,flight,time,False,And shadows stretch in silent flight.,"The elder chants as clocks devour time,  
And shadows stretch in silent flight."
"Roots whispered in stories older than stone,",stone,tone,stone,True,Leaves hum in the breeze that carries the tone.,Leaves hum in the breeze that carries the tone.
"Silent nights where echoes dwell,",dwell,told,dwell,False,and secrets wait to be told.,and secrets wait to be told.
"Amber whispers brush the breeze,",breeze,grace,trees,False,and leaves a trace of summer's grace.,and leaves a trace of summer's grace.
"Autumn's breath whispers through the trees,",trees,breeze,trees,True,"and leaves dance in a gentle, golden breeze.","and leaves dance in a gentle, golden breeze."
"Neon hums where high-rises breathe,",breathe,sleep,breathe,False,And shadows dance in endless sleep.,"Neon hums where high-rises breathe,  
And shadows dance in endless sleep."
"Pack the sunrise in your pocket, let the roads unwind like time,",time,climb,time,True,and the world be yours to climb.,and the world be yours to climb.
"Love is the fire that warms both heart and home,",home,way,home,False,and lights the way.,and lights the way.
"Thunder roars, but chains remain unbroken—",unbroken,burns,unbroken,False,"The storm may rage, but freedom's flame still burns.","The storm may rage, but freedom's flame still burns."
"Winds whisper tales of roads unseen,",unseen,free,unseen,False,Where dreams take flight and hearts are free.,"Winds whisper tales of roads unseen,  
Where dreams take flight and hearts are free."
"In the quiet dawn, where prayers and petals rise,",rise,peace,dies,False,the world is washed in light and peace.,the world is washed in light and peace.
"A bond untouched by time or fate,",fate,true,fate,False,"A bond that stands forever, strong and true.","A bond that stands forever, strong and true."
"Whispers of dread in the silence they creep,",creep,deep,sweep,True,"And through the dark, they weave a tale so deep.","And through the dark, they weave a tale so deep."
"In twilight's hush, where shadows dare to speak,",speak,earth,speak,False,the moonlight whispers secrets to the earth.,the moonlight whispers secrets to the earth.
"In starlit whispers, my hopes take flight,",flight,light,light,True,and dreams unfold like morning light.,and dreams unfold like morning light.
"The road unfolds like whispered dreams in dawn's embrace,",embrace,fades,embrace,False,and every step a song that never fades.,and every step a song that never fades.
"The earth whispers tales through rustling green,",green,rein,unseen,False,"and time unfolds in gentle, endless rein.","and time unfolds in gentle, endless rein."
"In shadows cast by city lights, a thousand souls feel night,",night,break,light,False,and hope the dawn will break.,and hope the dawn will break.
"Beneath the brush of dawn’s soft light,",light,bright,light,True,the world is painted bright.,the world is painted bright.
"The hush of time whispers tales of the old,",old,bold,told,True,and echoes of love that once was so bold.,and echoes of love that once was so bold.
"In the quiet space where heartbeats blend,",blend,dreams,blend,False,the silence hums with life and dreams.,the silence hums with life and dreams.
"Whispers of the past linger where old shadows dance,",dance,present,dance,False,and echoes of the brave still rise in the land of the present.,and echoes of the brave still rise in the land of the present.
"Through storms of time, our roots hold fast,",fast,way,past,False,"and through the trials of the heart, we find our way.","and through the trials of the heart, we find our way."
"Amid the throng, a silent storm,",storm,ground,storm,False,where whispers break the calm and hold the ground.,where whispers break the calm and hold the ground.
"Whispers of winds through ancient tree songs flow,",flow,flow,glow,False,Whispers of winds through ancient tree songs flow.,Whispers of winds through ancient tree songs flow.
"Whispers of crimson, symphonies in every thread,",thread,creed,thread,False,"And in the silence, hearts do find their truest creed.","And in the silence, hearts do find their truest creed."
"In laughter's wake, where memory weaves,",weaves,ease,weaves,False,the past with grace and ease.,the past with grace and ease.
"Winds of freedom whisper where chains forgot to fall,",fall,alive,fall,False,and hope still lives in every heart that's still alive.,and hope still lives in every heart that's still alive.
"The scales of justice sway on trembling strings,",strings,sing,strings,False,and fate's cruel dance begins to sing.,and fate's cruel dance begins to sing.
"In hues that hum and silence rustles soft,",soft,glow,soft,False,The world is painted with a gentle glow.,"In hues that hum and silence rustles soft,  
The world is painted with a gentle glow."
"In the golden glow of dusk, I chase the echoes of summer's hush,",hush,hush,hush,False,"I chase the echoes of summer's hush,","I chase the echoes of summer's hush,  
And find my heart in the quiet dusk."
"Together we rise, bound by more than shared skies,",skies,light,dies,False,"We stand strong, united in light.","We stand strong, united in light."
"Whispers vanish in the hollows where connection once resided,",resided,remember,resided,False,But echoes linger in the hearts that still remember.,But echoes linger in the hearts that still remember.
"Joy dances bright where kind hearts meet,",meet,meet,deceit,False,Hope blooms bright where kind hearts meet.,Hope blooms bright where kind hearts meet.
"In whispers of time, our deeds still sing—",sing,true,sing,False,"A fleeting echo in the wind, yet true.","A fleeting echo in the wind, yet true."
"Like morning dew on petals soft and new,",new,dew,new,True,the world is bright and full of endless dew.,the world is bright and full of endless dew.
"Wings of dawn clash with iron night,",night,storm,light,False,and light breaks through the storm.,and light breaks through the storm.
"Brushstrokes weave the silent song of imagination’s flame,",flame,days,name,False,and every shadow whispers tales of endless days.,and every shadow whispers tales of endless days.
"Whispers of the past dance on the breeze,",breeze,remain,trees,False,echoes of the present still remain.,echoes of the present still remain.
"In youth's tender bloom, my heart first knew the name of flame,",flame,flame,name,False,"And in the twilight of my years, I find the truth that love is but a flame.","And in the twilight of my years, I find the truth that love is but a flame."
"Beneath the mask, a whisper grows—",grows,know,grows,False,"A shadowed truth, it lingers, and the world begins to know.","A shadowed truth, it lingers, and the world begins to know."
"Beneath sweet lies, the truth often weeps in shadow,",shadow,through,glow,False,And silence holds the weight of all we've been through.,And silence holds the weight of all we've been through.
"Two hearts entwined, a vow so true,",true,hour,new,False,A love that lasts through every trial and every hour.,A love that lasts through every trial and every hour.
"A tapestry woven in laughter and tears,",tears,dream,years,False,"Each thread a story, each color a dream.","A tapestry woven in laughter and tears,  
Each thread a story, each color a dream."
"Like shadows at the close of day,",day,dark,grey,False,the world turns cold and dark.,the world turns cold and dark.
"Whispers of wind through the emerald embrace,",embrace,dance,embrace,False,where dreams take flight and shadows dance.,"whispers of wind through the emerald embrace,  
where dreams take flight and shadows dance."
"Whispers of absence haunt the halls where laughter used to play,",play,day,grey,True,And silence now holds all the echoes of a bygone day.,And silence now holds all the echoes of a bygone day.
"Beneath the mask, the true self stirs,",stirs,rise,years,False,where shadows hide and light begins to rise.,where shadows hide and light begins to rise.
"Colors whisper secrets where wild imaginations tread,",tread,dark,thread,False,And dreams take flight in the quiet of the dark.,"Colors whisper secrets where wild imaginations tread,  
And dreams take flight in the quiet of the dark."
"A hollow vow where silence weeps,",weeps,kept,weeps,False,"Yet in the dark, a truth is kept.","A hollow vow where silence weeps,  
Yet in the dark, a truth is kept."
"In shadows cast by screens we cling,",cling,thing,sing,True,Yet light is found in every thing.,"In shadows cast by screens we cling,  
Yet light is found in every thing."
"Wander the roads where old shadows dance,",dance,land,dance,False,And find the truth in every strange land.,"Wander the roads where old shadows dance,  
And find the truth in every strange land."
"In shadows crowned, the weak wear might unseen,",unseen,seen,unseen,True,And heroes rise where light and dark are seen.,And heroes rise where light and dark are seen.
"In the quiet heartbeat where the stars dare speak,",speak,secrets,speak,False,"the silence hums with ancient, unspoken secrets.","the silence hums with ancient, unspoken secrets."
"Smoke ascends where silent dreams once grew,",grew,knew,new,True,and whispers haunt the winds that never knew.,and whispers haunt the winds that never knew.
"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,bright,light,True,and leaves whisper of a future yet to be bright.,and leaves whisper of a future yet to be bright.
"In shadows cast by silver lies,",lies,smile,dies,False,the ghost of a forgotten smile.,the ghost of a forgotten smile.
"In whispered groves where the wild things dance,",dance,trees,dance,False,the moonlight whispers secrets to the trees.,the moonlight whispers secrets to the trees.
"City lights hum with restless desire,",desire,sea,desire,False,Night winds whisper secrets to the sea.,Night winds whisper secrets to the sea.
"Time weaves its wisdom, thread by silent thread,",thread,stars,thread,False,and turns the dust into a crown of stars.,and turns the dust into a crown of stars.
"Whispers of winds through the ancient wood,",wood,hold,wood,False,Shade the trees and the shadows hold.,"Whispers of winds through the ancient wood,  
Shade the trees and the shadows hold."
"By the sandbox where the fireflies glow,",glow,couplet,glow,False,I'll write the next line of the rhyming couplet.,"I'll write the next line of the rhyming couplet.

**By the sandbox where the fireflies glow,**  
**The stars above are just a"
"Winds of freedom whisper where chains dare not clink,",clink,confined,clink,False,and hope still lives in every heart that's not confined.,and hope still lives in every heart that's not confined.
"The hearth’s faint breath speaks tales of where I came from,",from,go,from,False,and where I shall go.,and where I shall go.
"Beneath the map's edge, the unknown beckons soft and wide,",wide,confined,collide,False,"A path of dreams, where time and space are not confined.","A path of dreams, where time and space are not confined."
"A heartbeat’s whisper, a soul’s soft fire,",fire,dies,desire,False,"Beneath the stars, it burns, it never dies.","A heartbeat’s whisper, a soul’s soft fire,  
Beneath the stars, it burns, it never dies."
"Beneath a handshake, a dagger gleams with dew,",dew,through,new,True,"A secret whispered in the night, and the moonlight shimmers through.","A secret whispered in the night, and the moonlight shimmers through."
"Whispers of winter kiss the thawing spring,",spring,green,sing,False,and silence bows to the bloom of the green.,and silence bows to the bloom of the green.
"The sun spills gold on laughter's tender track,",track,hour,track,False,The moon casts silver on the silent hour.,The moon casts silver on the silent hour.
"A silent tear on truth's tightrope spin,",spin,remains,spin,False,Yet still the weight of time remains.,"A silent tear on truth's tightrope spin,  
Yet still the weight of time remains."
"In starlit whispers, my heart ignites,",ignites,nights,ignites,True,and dreams take flight in the quietest of nights.,and dreams take flight in the quietest of nights.
"Amidst the swirl of hues and whispered air,",air,share,despair,True,The stars above in silent dance do share.,"Amidst the swirl of hues and whispered air,  
The stars above in silent dance do share."
"Beneath soft lies, the truth wears a cloak of light,",light,flight,light,True,And shadows flee when hope takes its flight.,And shadows flee when hope takes its flight.
"Two hearts entwined where the vows take flight,",flight,light,light,True,two souls forever entwined in the light.,two souls forever entwined in the light.
"A laughter rings where sunshine stirs the air,",air,flight,despair,False,And joy is born where dreams take flight.,"A laughter rings where sunshine stirs the air,  
And joy is born where dreams take flight."
"In whispered hearts where silent dreams take flight,",flight,light,light,True,the world begins to bloom in gentle light.,the world begins to bloom in gentle light.
"A breath too brief, a shadow that swallows the light,",light,returns,light,False,"A silence that lingers, a ghost that never returns.","A silence that lingers, a ghost that never returns."
"In shadowed hands, the torch of might is pressed,",pressed,dark,breast,False,and light is born from the dark.,and light is born from the dark.
"A bond unspoken, yet stronger than time,",time,missed,time,False,"Is built on trust, not words that can be missed.","A bond unspoken, yet stronger than time,  
Is built on trust, not words that can be missed."
"Seconds whisper through the cracks of youth,",youth,sun,youth,False,Minutes melt away like sand in the sun.,Minutes melt away like sand in the sun.
"Whispers weave through the woods where wild hearts roam,",roam,grows,home,False,and secrets speak in the wind that never grows.,and secrets speak in the wind that never grows.
"Whispers of wind through the emerald trees,",trees,sigh,trees,False,"Soft as dreams, they drift and sigh.","Whispers of wind through the emerald trees,  
Soft as dreams, they drift and sigh."
"In the attic of my heart, old shadows dance with light,",light,bright,light,True,"where memories whisper, soft and bright.","where memories whisper, soft and bright."
"In flawless cracks, the beauty truly shines,",shines,begins,shines,False,and in the silence where the light begins.,and in the silence where the light begins.
"Beneath the boughs of time’s slow-swaying tree,",tree,cheer,sea,False,"the stars do dance in eternal, silent cheer.","the stars do dance in eternal, silent cheer."
"Beneath the skin, a story waits to breathe,",breathe,breath,breathe,False,"A tale of love and loss, in every breath.","A tale of love and loss, in every breath."
"Beneath the sun’s first golden hour,",hour,hue,hour,False,"the world is painted in soft, warm hue.","the world is painted in soft, warm hue."
"The scales of heaven waver in the storm,",storm,doubt,storm,False,and the balance of the world is thrown into doubt.,and the balance of the world is thrown into doubt.
"The morning sun spills gold through trees,",trees,blue,trees,False,and paints the world in hues of blue.,and paints the world in hues of blue.
"In the woven threads of many, one heartbeat gently sings,",sings,light,strings,False,"and in the quiet of the night, a soul finds its own light.","and in the quiet of the night, a soul finds its own light."
"In the silent chasm where shadows conspire,",conspire,trees,desire,False,the moonlight whispers through the misty trees.,the moonlight whispers through the misty trees.
"The clock’s soft breath stirs dust of bygone days,",days,erased,maze,False,and echoes of a world long since erased.,and echoes of a world long since erased.
"When silence speaks, the heart turns cold,",cold,dread,told,False,and shadows dance with whispered dread.,and shadows dance with whispered dread.
"In shadows where sweet promises fade,",fade,grace,stayed,False,I wait for dawn with hope and grace.,I wait for dawn with hope and grace.
"Though flesh may fade, the deeds we do ignite…",ignite,dies,light,False,the flame that never dies.,the flame that never dies.
