Rhymes,Last_Word_1,Last_Word_2,First_Line,Second_Line,Raw_Second
True,sing,wing,Whispers of velvet and hues that sing—,A dance of shadows where dreams take wing.,A dance of shadows where dreams take wing.
True,die,cry,A shadow fades where the flame won’t die.,A whisper lingers where the embers cry.,A whisper lingers where the embers cry.
True,dance,glance,"Whispers through the grass where the wild things dance,",Echoes of the moonlight softly glance.,Echoes of the moonlight softly glance.
False,sea,grace,"A bond unspoken, yet deep as the sea,",A silence between us that speaks with such grace.,A silence between us that speaks with such grace.
True,embrace,grace,"Whispers of winter melt into the bloom of spring’s embrace,","Frost retreats as petals rise in soft, unfolding grace.","Frost retreats as petals rise in soft, unfolding grace."
True,breath,death,"In every flaw, a whisper of perfection's breath,","In every shadow, a promise of light's soft death.","In every shadow, a promise of light's soft death."
False,toll,fell,"Beneath the mask that cloaks the soul, the mirror cracks with whispered toll.",A shadow stirs where light once fell.,A shadow stirs where light once fell.
False,dreamed,theme,"Brushstrokes whisper where the soul once dreamed,","In silent hues, a forgotten theme.","In silent hues, a forgotten theme."
True,light,bright,"In the dance of flaw and flawless light,",A shadow bends to meet the bright.,A shadow bends to meet the bright.
True,embrace,grace,"Whispers of wind through the ancient oak's embrace,",Crimson leaves dance in a time-worn grace.,Crimson leaves dance in a time-worn grace.
True,creep,deep,"In mirrored shades where shadow dares to creep,",A whispered truth beneath the silent deep.,A whispered truth beneath the silent deep.
False,skies,light,"When whispered vows turn cold as winter skies,",Love fades like frost beneath the morning light.,Love fades like frost beneath the morning light.
False,song,grows,"In the rhythm of shared breath, hearts weave a single song.","In the silence between words, a deeper understanding grows.","In the silence between words, a deeper understanding grows."
False,ascends,mend,"In brushstrokes of dawn, wild imagination ascends.","In whispers of light, forgotten dreams begin to mend.","In whispers of light, forgotten dreams begin to mend."
True,stone,moan,"Like thunder chained to silent stone,",It echoes where the shadows moan.,It echoes where the shadows moan.
False,glow,night,"A flawless sphere, yet marred by its glow,",A silent storm in the velvet night.,A silent storm in the velvet night.
False,stirs,chambers,"In the hush between breaths, the sacred stirs,",A whisper of light through the silent chambers.,A whisper of light through the silent chambers.
True,gaze,maze,Whispers of wild hearts beat beneath the moon's gentle gaze.,Secret dreams take flight on the silent wind's soft maze.,Secret dreams take flight on the silent wind's soft maze.
False,passed,kissed,"A heartbeat hums where light once passed,","A shadow lingers, softly kissed.","A shadow lingers, softly kissed."
False,unknown,roam,"Colors whisper tales in hues once unknown,",Echoes dance where silent shadows roam.,Echoes dance where silent shadows roam.
True,sing,wing,"In shadowed chains, the spirit dares to sing,","Defying silence, bold and full of wing.","Defying silence, bold and full of wing."
False,deceit,unafraid,A whispered vow can fracture like glass beneath the heel of deceit.,A silent tear can carve a canyon where love once stood unafraid.,A silent tear can carve a canyon where love once stood unafraid.
True,storm,form,"It blooms in whispers, not in storm.","It dances soft, a fleeting form.","It dances soft, a fleeting form."
True,stayed,fade,"I walked through the shadows where childhood once stayed,",Now echoes of laughter still linger and fade.,Now echoes of laughter still linger and fade.
True,trees,breeze,"Whispers of winds through ancient green trees,",Echoes of time in the rustling breeze.,Echoes of time in the rustling breeze.
False,time,climbs,Whispers of yesterday dance on the winds of time.,Echoes of memories linger where the daylight climbs.,Echoes of memories linger where the daylight climbs.
False,one,become,"Together we rise, woven as one,","Through shared breath, our voices become.","Through shared breath, our voices become."
True,yore,ignore,"Time’s tapestry threads with echoes of yore,",Whispers of futures we cannot ignore.,Whispers of futures we cannot ignore.
False,halls,call,"Justice weeps in shadowed halls,",Where echoes of the wronged still call.,Where echoes of the wronged still call.
False,played,unraviled,Laughter echoes down the lane where sunlit days once played.,Whispers of the past still dance in memories unraviled.,Whispers of the past still dance in memories unraviled.
False,stream,dreams,"The hours drift like autumn leaves in twilight’s gentle stream,",Each moment fades beneath the hush of silent dreams.,Each moment fades beneath the hush of silent dreams.
True,sun,run,"The road unwinds its thread through mist and sun,",A whisper of dawn where the wild things run.,A whisper of dawn where the wild things run.
False,unchained,remain,"Brushstrokes of wonder bloom in minds unchained,",Whispers of dreams in silent colors remain.,Whispers of dreams in silent colors remain.
False,diverge,been,"Through shared beginnings and paths that diverge,",We carry the echoes of where we've been.,We carry the echoes of where we've been.
False,light,dreams,"In shadows deep where hope once danced with light,",Now silence sings a dirge of fading dreams.,Now silence sings a dirge of fading dreams.
True,rage,age,"In shadow's grip, cannon-light whispers of rage,",A silent storm brews in the eye of the age.,A silent storm brews in the eye of the age.
True,sown,grown,"In laughter’s glow, where trust is sown,",Friendship’s seed in hearts is grown.,Friendship’s seed in hearts is grown.
True,collide,hide,"Voices echo, yet no hearts collide,",Silence lingers where the souls once hide.,Silence lingers where the souls once hide.
False,bloomed,gloom,"Though shadows stretch where light once bloomed,",Hope whispers secrets through the gloom.,Hope whispers secrets through the gloom.
True,meet,beat,"In the shadowed heart where two winds meet,",Whispers of longing begin to beat.,Whispers of longing begin to beat.
False,play,stayed,"Beneath the silence where whispers used to play,",The echoes fade where memories once stayed.,The echoes fade where memories once stayed.
True,flame,frame,"With trembling hands, I reach to light the flame,",But fear holds my breath in the darkened frame.,But fear holds my breath in the darkened frame.
True,made,displayed,"Two hearts entwined, a promise made,","Beneath the stars, forever displayed.","Beneath the stars, forever displayed."
False,exhale,trees,"In twilight’s hush, where hearts exhale,",The moon weaves silver threads through the trees.,The moon weaves silver threads through the trees.
True,name,shame,The shadows whisper threats they cannot name.,The silence holds its breath in haunted shame.,The silence holds its breath in haunted shame.
False,skies,lie,Silhouettes of solitude etched deep in vacant skies.,Whispers of forgotten dreams drift where the shadows lie.,Whispers of forgotten dreams drift where the shadows lie.
False,bloomed,sung,Shadows fall where once your laughter bloomed.,Silence grows where songs were sung.,Silence grows where songs were sung.
True,by,sky,"Footprints in the dust of days gone by,",Whispers of memories drift through the sky.,Whispers of memories drift through the sky.
False,age,age,"The reaper whispers soft through every age,",The shadowed veil of time begins to age.,The shadowed veil of time begins to age.
False,streams,trees,"Amidst the buzz of concrete dreams, the country’s clockwork hums in rural streams.","Beneath the stars, the silence speaks in whispers through the trees.","Beneath the stars, the silence speaks in whispers through the trees."
False,root,true,"Two hearts entwined where vows take root,","Beneath the stars, their love is true.","Beneath the stars, their love is true."
True,abyss,miss,"In the shadows, whispers rise—half angel, half abyss.","A breath of light, a plea for grace, the soul begins to miss.","A breath of light, a plea for grace, the soul begins to miss."
False,was,are,Whispers of absence haunt the hollows where their laughter once was.,Echoes of joy linger in the silence where their voices are.,Echoes of joy linger in the silence where their voices are.
False,unjust,unsung,"The scales of justice tremble with truth, while shadows feast on the cries of the unjust.",Silent echoes of wrongs long unsung.,Silent echoes of wrongs long unsung.
False,roar,show,"The thunder in his chest begins to roar,",The lightning in his eyes starts to show.,The lightning in his eyes starts to show.
False,breathe,weave,"In the hush between heartbeats, love begins to breathe.",In the silence where whispers of forever weave.,In the silence where whispers of forever weave.
False,breath,unrest,"Whispers of spring in the thawing snow's breath,",Blossoms awaken in quiet unrest.,Blossoms awaken in quiet unrest.
True,time,climb,"The elder chants as clocks devour time,",The shadows stretch where echoes climb.,The shadows stretch where echoes climb.
True,stone,own,"Roots whispered in stories older than stone,",Echoes of time in the silence they own.,Echoes of time in the silence they own.
False,dwell,breath,"Silent nights where echoes dwell,",Whispers drift on midnight's breath.,Whispers drift on midnight's breath.
True,breeze,trees,"Amber whispers brush the breeze,",Gold threads weave through the trees.,Gold threads weave through the trees.
True,trees,breeze,"Autumn's breath whispers through the trees,",A golden hush descends on the breeze.,A golden hush descends on the breeze.
False,breathe,steel,"Neon hums where high-rises breathe,",Shadowed veins pulse with restless steel.,Shadowed veins pulse with restless steel.
False,time,mind,"Pack the sunrise in your pocket, let the roads unwind like time.",Let the horizon whisper promises to the wanderer's mind.,Let the horizon whisper promises to the wanderer's mind.
True,home,roam,"Love is the fire that warms both heart and home,",But burns the soul when left to roam.,But burns the soul when left to roam.
False,unbroken,fallen,"Thunder roars, but chains remain unbroken—",So do the spirits of the fallen.,So do the spirits of the fallen.
False,unseen,lands,"Winds whisper tales of roads unseen,",Footsteps dream of distant lands.,Footsteps dream of distant lands.
False,rise,breeze,"In the quiet dawn, where prayers and petals rise,",A whispered hymn upon the morning breeze.,A whispered hymn upon the morning breeze.
False,fate,fades,"A bond untouched by time or fate,",A silent vow that never fades.,"A bond untouched by time or fate,  
A silent vow that never fades."
True,creep,sleep,"Whispers of dread in the silence they creep,",Like shadows that cling to the soul's deep sleep.,Like shadows that cling to the soul's deep sleep.
False,speak,weep,"In twilight's hush, where shadows dare to speak,",Whispers of the moonlight softly weep.,Whispers of the moonlight softly weep.
True,flight,light,"In starlit whispers, my hopes take flight,","Aching for dawn, I chase the light.","Aching for dawn, I chase the light."
True,embrace,trace,"The road unfolds like whispered dreams in dawn's embrace,",A silent hymn of shadows and the light's soft trace.,A silent hymn of shadows and the light's soft trace.
True,green,serene,The earth whispers tales through rustling green.,The moon hums echoes across the serene.,The moon hums echoes across the serene.
False,night,fall,"In shadows cast by city lights, a thousand souls feel night.",A silent hymn of weary dreams begins to rise and fall.,A silent hymn of weary dreams begins to rise and fall.
False,light,gold,"Beneath the brush of dawn’s soft light,",The world awakes in hues of gold.,The world awakes in hues of gold.
True,old,fold,"The hush of time whispers tales of the old,",Echoes of footsteps fade where the shadows fold.,"The hush of time whispers tales of the old,  
Echoes of footsteps fade where the shadows fold."
True,blend,friend,"In the quiet space where heartbeats blend,","A whisper lingers, soft and friend.","A whisper lingers, soft and friend."
True,dance,trance,"Whispers of the past linger where old shadows dance,",Echoes of forgotten dreams haunt the silent trance.,Echoes of forgotten dreams haunt the silent trance.
False,fast,trust,"Through storms of time, our roots hold fast,","Beneath the soil, a silent trust.","Beneath the soil, a silent trust."
False,storm,unformed,"Amid the throng, a silent storm.","Eyes like embers, thoughts unformed.","Eyes like embers, thoughts unformed."
True,flow,ago,"Whispers of winds through ancient tree songs flow,",Moonlight weaves tales that the stars long ago.,Moonlight weaves tales that the stars long ago.
True,thread,led,"Whispers of crimson, symphonies in every thread,",Velvet dusk dances where the heartbeat is led.,Velvet dusk dances where the heartbeat is led.
False,weaves,brief,"In laughter's wake, where memory weaves,",A tapestry of moments soft and brief.,A tapestry of moments soft and brief.
True,fall,tall,"Winds of freedom whisper where chains forgot to fall,",Footsteps echo promises that the dawn still holds tall.,Footsteps echo promises that the dawn still holds tall.
False,strings,soul,"The scales of justice sway on trembling strings,",A whisper tips the balance of the soul.,A whisper tips the balance of the soul.
False,soft,wrought,"In hues that hum and silence rustles soft,",A whisper weaves through shadows wrought.,A whisper weaves through shadows wrought.
True,hush,rush,"In the golden glow of dusk, I chase the echoes of summer's hush,","Beneath the stars, my heart remembers the warmth of a summer's rush.","Beneath the stars, my heart remembers the warmth of a summer's rush."
False,skies,time,"Together we rise, bound by more than shared skies,",Heartbeats entwined in the rhythm of time.,Heartbeats entwined in the rhythm of time.
False,resided,unanswered,"Whispers vanish in the hollows where connection once resided,","Footsteps fade where echoes linger, unanswered.","Footsteps fade where echoes linger, unanswered."
True,meet,sweet,"Joy dances bright where kind hearts meet,",Laughter weaves the threads of sweet.,Laughter weaves the threads of sweet.
False,sing,gone,"In whispers of time, our deeds still sing—","Through echoes that linger, long after we're gone.","Through echoes that linger, long after we're gone."
True,new,do,"Like morning dew on petals soft and new,",So fleeting is the bloom of all we do.,So fleeting is the bloom of all we do.
True,night,flight,"Wings of dawn clash with iron night,",Shadows dance where the stars take flight.,Shadows dance where the stars take flight.
True,flame,name,Brushstrokes weave the silent song of imagination’s flame.,"In whispered hues, the dreams take shape and name.","In whispered hues, the dreams take shape and name."
True,breeze,trees,"Whispers of the past dance on the breeze,",Shadowed memories linger in the trees.,Shadowed memories linger in the trees.
True,flame,claim,"In youth's tender bloom, my heart first knew the name of flame.","In twilight's hush, I traced its glow through dreams I could not claim.","In twilight's hush, I traced its glow through dreams I could not claim."
False,grows,bones,"Beneath the mask, a whisper grows—",A storm of silence in the bones.,"Beneath the mask, a whisper grows—  
A storm of silence in the bones."
False,shadow,song,"Beneath sweet lies, the truth often weeps in shadow.",Silent echoes carry its sorrowful song.,Silent echoes carry its sorrowful song.
False,true,embrace,"Two hearts entwined, a vow so true,",Forever bound in love's embrace.,Forever bound in love's embrace.
False,tears,erase,"A tapestry woven in laughter and tears,",Each thread a moment that time cannot erase.,"A tapestry woven in laughter and tears,  
Each thread a moment that time cannot erase."
False,day,trace,"Like shadows at the close of day,",They fade without a trace.,They fade without a trace.
True,embrace,grace,"Whispers of wind through the emerald embrace,",Secrets of the earth in softest grace.,Secrets of the earth in softest grace.
True,play,yesterday,"Whispers of absence haunt the halls where laughter used to play,","Silent echoes linger, telling tales of lost yesterday.","Silent echoes linger, telling tales of lost yesterday."
False,stirs,skin,"Beneath the mask, the true self stirs,",A silent storm beneath the skin.,A silent storm beneath the skin.
True,tread,bred,"Colors whisper secrets where wild imaginations tread,",Dreams bloom silent in the shadows they have bred.,Dreams bloom silent in the shadows they have bred.
False,weeps,deep,"A hollow vow where silence weeps,","A broken promise, unkept and deep.","A hollow vow where silence weeps,  
A broken promise, unkept and deep."
True,cling,sing,"In shadows cast by screens we cling,",To fading dreams our hearts still sing.,To fading dreams our hearts still sing.
False,dance,song,"Wander the roads where old shadows dance,","Beneath the stars, a forgotten song.","Beneath the stars, a forgotten song."
False,unseen,heard,"In shadows crowned, the weak wear might unseen,",While silent drums beat rhythms none have heard.,While silent drums beat rhythms none have heard.
False,speak,dreams,"In the quiet heartbeat where the stars dare speak,",Their whispers weave the silence into dreams.,Their whispers weave the silence into dreams.
True,grew,do,"Smoke ascends where silent dreams once grew,",Ash whispers tales of what the wind could do.,Ash whispers tales of what the wind could do.
True,light,night,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,","Yearning for the sky's embrace, they whisper dreams through the leaves at night.","Yearning for the sky's embrace, they whisper dreams through the leaves at night."
False,lies,collide,"In shadows cast by silver lies,",A whisper stirs where dreams collide.,A whisper stirs where dreams collide.
True,dance,glance,"In whispered groves where the wild things dance,",Beneath the moon's eternal glance.,Beneath the moon's eternal glance.
True,desire,wire,"City lights hum with restless desire,",Whispers of dreams drift through the wire.,Whispers of dreams drift through the wire.
True,thread,said,"Time weaves its wisdom, thread by silent thread.","Life stitches meaning, woven without said.","Life stitches meaning, woven without said."
False,wood,ago,"Whispers of winds through the ancient wood,",Cradling the secrets of long ago.,Cradling the secrets of long ago.
False,glow,thread,"By the sandbox where the fireflies glow,",Children's laughter weaves a golden thread.,Children's laughter weaves a golden thread.
False,clink,begin,"Winds of freedom whisper where chains dare not clink,",Footsteps echo promises that the dawn might still begin.,Footsteps echo promises that the dawn might still begin.
False,from,outgrown,"The hearth’s faint breath speaks tales of where I came from,",The shadows dance with memories I've outgrown.,The shadows dance with memories I've outgrown.
True,wide,cried,"Beneath the map's edge, the unknown beckons soft and wide,",A whisper of worlds where no shadow has cried.,A whisper of worlds where no shadow has cried.
True,fire,retire,"A heartbeat’s whisper, a soul’s soft fire,",A breath of dawn where the shadows retire.,A breath of dawn where the shadows retire.
True,dew,view,"Beneath a handshake, a dagger gleams with dew.","Beneath a smile, a poison blooms in view.","Beneath a smile, a poison blooms in view."
False,spring,trance,"Whispers of winter kiss the thawing spring,","Blossoms blush in fragile, fleeting trance.","Blossoms blush in fragile, fleeting trance."
False,track,lake,"The sun spills gold on laughter's tender track,",The moon whispers secrets to the sleeping lake.,The moon whispers secrets to the sleeping lake.
False,spin,begins,"A silent tear on truth's tightrope spin,",A trembling step where justice begins.,A trembling step where justice begins.
False,ignites,flight,"In starlit whispers, my heart ignites,","With longing's flame, it dares to take flight.","With longing's flame, it dares to take flight."
True,air,bare,"Amidst the swirl of hues and whispered air,",Time dissolves in petals laid bare.,Time dissolves in petals laid bare.
True,light,flight,"Beneath soft lies, the truth wears a cloak of light,","Yet in the dark, its whispered voice takes flight.","Yet in the dark, its whispered voice takes flight."
True,flight,night,"Two hearts entwined where the vows take flight,",Eternal flames in the dark of night.,Eternal flames in the dark of night.
True,air,glare,"A laughter rings where sunshine stirs the air,",A shadow dances in the morning glare.,A shadow dances in the morning glare.
True,flight,night,"In whispered hearts where silent dreams take flight,",Soft echoes drift through the velvet night.,Soft echoes drift through the velvet night.
True,light,night,"A breath too brief, a shadow that swallows the light,","A whisper undone, a silence that drowns the night.","A whisper undone, a silence that drowns the night."
False,pressed,keep,"In shadowed hands, the torch of might is pressed,",Aflame with secrets that the night will keep.,Aflame with secrets that the night will keep.
True,time,climb,"A bond unspoken, yet stronger than time,",A silence that speaks where words cannot climb.,A silence that speaks where words cannot climb.
False,youth,hands,Seconds whisper through the cracks of youth.,Moments slip like sand through trembling hands.,Moments slip like sand through trembling hands.
True,roam,home,"Whispers weave through the woods where wild hearts roam,",Crimson leaves dance in the hush of home.,Crimson leaves dance in the hush of home.
True,trees,ease,"Whispers of wind through the emerald trees,",Cradling the secrets of ancient ease.,Cradling the secrets of ancient ease.
False,light,gold,"In the attic of my heart, old shadows dance with light,",And whispered secrets fade to gold.,And whispered secrets fade to gold.
False,shines,begins,"In flawless cracks, the beauty truly shines.","Through broken veins, the light begins.","Through broken veins, the light begins."
False,tree,sleep,"Beneath the boughs of time’s slow-swaying tree,",I trace the shadows where the echoes sleep.,I trace the shadows where the echoes sleep.
False,breathe,stream,"Beneath the skin, a story waits to breathe,","In silent veins, the echoes softly stream.","In silent veins, the echoes softly stream."
True,hour,power,"Beneath the sun’s first golden hour,",The world awakes in dewy power.,The world awakes in dewy power.
False,storm,shore,The scales of heaven waver in the storm.,A fragile hope still trembles on the shore.,A fragile hope still trembles on the shore.
True,trees,freeze,"The morning sun spills gold through trees,",A whispered breeze begins to freeze.,A whispered breeze begins to freeze.
False,sings,wing,"In the woven threads of many, one heartbeat gently sings.","Through the silent weave, a whisper of souls takes wing.","Through the silent weave, a whisper of souls takes wing."
True,conspire,desire,"In the silent chasm where shadows conspire,",A whisper of echoes begins to desire.,A whisper of echoes begins to desire.
False,days,decay,"The clock’s soft breath stirs dust of bygone days,",Whispers curl where memories decay.,Whispers curl where memories decay.
False,cold,soul,"When silence speaks, the heart turns cold,",But whispers warm the soul.,But whispers warm the soul.
True,fade,cascade,"In shadows where sweet promises fade,",Whispers of hope still softly cascade.,Whispers of hope still softly cascade.
False,ignite,dies,"Though flesh may fade, the deeds we do ignite…",A flame that never dies.,A flame that never dies.
False,embrace,played,"Colors weep from silent canvases, whispers take form in clay’s embrace,",Shadows dance where light once played.,Shadows dance where light once played.
True,youth,truth,"Time stitches wrinkles in the cloth of youth,",But memory unravels every truth.,But memory unravels every truth.
True,played,laid,"Each year etches wisdom where youthful days once played,",Time carves its stories in the lines we've laid.,Time carves its stories in the lines we've laid.
False,days,embrace,"Whispers of the dusk that shadows all our days,",Cling to hope beneath the fading light's embrace.,Cling to hope beneath the fading light's embrace.
False,unseen,unspoken,"Brushstrokes of thought on canvases unseen,",Whispers of dreams in colors unspoken.,Whispers of dreams in colors unspoken.
True,weave,sleeve,"A fragile thread through shadow's weave,",A whisper lost in midnight's sleeve.,"A fragile thread through shadow's weave,  
A whisper lost in midnight's sleeve."
False,thrived,heart,"Whispers fade where connection once thrived,",Echoes linger in the hollowed heart.,Echoes linger in the hollowed heart.
True,dear,year,"When shadows steal the ones we held so dear,",We clutch the echoes of a fading year.,We clutch the echoes of a fading year.
False,see,mine,"A mirror cracks, and in the shards I see—","A thousand faces, none of them mine.","A thousand faces, none of them mine."
True,sleep,deep,"Whispers of spring thaw the earth from her sleep,",Blossoms awaken in hues soft and deep.,Blossoms awaken in hues soft and deep.
True,gate,fate,"With timid steps through the shadowed gate,",I trace the echoes of love's lost fate.,I trace the echoes of love's lost fate.
True,rhyme,time,"Whispers of wind weave through earth’s old rhyme,",Dancing with shadows in moonlit time.,Dancing with shadows in moonlit time.
False,eye,old,"Beneath the moon’s cold, watchful eye,",The shadows whisper secrets old.,The shadows whisper secrets old.
False,halls,tell,"Candy wrappers rustled like whispers in the halls,",Echoes of secrets the wind would never tell.,Echoes of secrets the wind would never tell.
False,name,remains,"In the rhythm of shared hearts, we find our name.","In the whisper of the wind, our love remains.","In the whisper of the wind, our love remains."
False,glass,passes,"Names etched in time’s slow turning glass,",Footprints fade where memory passes.,Footprints fade where memory passes.
True,tone,lone,"In whispers clad in velvet tone,","They dance through shadows, soft and lone.","They dance through shadows, soft and lone."
True,breathed,wreathed,"The cannons roared where silent fields once breathed,",The earth now weeps where peace had long been wreathed.,The earth now weeps where peace had long been wreathed.
True,dark,spark,"When your heart first whispers a name in the dark,","The world holds its breath, waiting for the spark.","The world holds its breath, waiting for the spark."
