first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion
"The reaper’s shadow lengthens with the noon,",noon,done,noon,False,And whispers bloom where the daylight is done.,And whispers bloom where the daylight is done.
"Blossoms bloom where laughter finds its way,",way,day,grey,True,Whispers of joy on the breeze each day.,Whispers of joy on the breeze each day.
"Threads of love woven through the years,",years,clear,years,False,"Moments cherished, sweet and clear.","Moments cherished, sweet and clear."
"Winds of liberty whisper through chains of control,",control,whole,soul,True,A fire is lit in the hearts of the whole.,A fire is lit in the hearts of the whole.
Whispers of velvet and hues that sing—,sing,cling,sing,True,A symphony dances where the fireflies cling.,A symphony dances where the fireflies cling.
"A shadow fades where the flame won’t die,",die,cry,sigh,True,A whisper lingers where the silent cry.,A whisper lingers where the silent cry.
"Whispers through the grass where the wild things dance,",dance,trance,dance,True,Moonlight paints the shadows in silver trance.,Moonlight paints the shadows in silver trance.
"A bond unspoken, yet deep as the sea,",sea,me,sea,True,A silent devotion that binds you and me.,A silent devotion that binds you and me.
"Whispers of winter melt into the bloom of spring’s embrace,",embrace,chase,embrace,True,As frost retreats and tender petals chase.,As frost retreats and tender petals chase.
"In every flaw, a whisper of perfection's breath,",breath,woven,breath,False,For beauty blooms where light and shadow both are woven.,For beauty blooms where light and shadow both are woven.
"Beneath the mask that cloaks the soul, the mirror cracks with whispered toll,",toll,day,soul,False,"Each reflection fades to ghostly gray, as shadows claim the light of day.","Each reflection fades to ghostly gray, as shadows claim the light of day."
"Brushstrokes whisper where the soul once dreamed,",dreamed,seemed,dreamed,True,Colors fade where silent thoughts had seemed.,Colors fade where silent thoughts had seemed.
"In the dance of flaw and flawless light,",light,right,light,True,We find our truth in what feels right.,We find our truth in what feels right.
"Whispers of wind through the ancient oak's embrace,",embrace,trace,embrace,True,Echoes of time in its gnarled bark's trace.,Echoes of time in its gnarled bark's trace.
"In mirrored shades where shadow dares to creep,",creep,keep,sweep,True,The moon whispers secrets that the stars dare not keep.,The moon whispers secrets that the stars dare not keep.
"When whispered vows turn cold as winter skies,",skies,rise,dies,True,Love's fragile flame can barely rise.,Love's fragile flame can barely rise.
"In the rhythm of shared breath, hearts weave a single song,",song,belong,belong,True,"In the hush where two worlds meet, love is where we belong.","In the hush where two worlds meet, love is where we belong."
"In brushstrokes of dawn, wild imagination ascends,",ascends,liberation,ascends,False,To realms where the stars dance with liberation.,To realms where the stars dance with liberation.
"Like thunder chained to silent stone,",stone,alone,stone,True,"It waits in shadow, cold and alone.","It waits in shadow, cold and alone."
"A flawless sphere, yet marred by its glow,",glow,unknown,glow,False,"A beacon in shadows, both seen and unknown.","A beacon in shadows, both seen and unknown."
"In the hush between breaths, the sacred stirs,",stirs,burns,years,False,A whisper of wings where the stillness burns.,A whisper of wings where the stillness burns.
"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,haze,maze,True,Echoes of love find their way through the haze.,Echoes of love find their way through the haze.
"A heartbeat hums where light once passed,",passed,vast,past,True,"A shadow lingers, cold and vast.","A shadow lingers, cold and vast."
"Colors whisper tales in hues once unknown,",unknown,own,stone,True,Shadows dance where the light used to own.,Shadows dance where the light used to own.
"In shadowed chains, the spirit dares to sing,",sing,brings,sing,False,Defying dark with every note it brings.,Defying dark with every note it brings.
"A whispered vow can fracture like glass beneath the heel of deceit,",deceit,mend,deceit,False,And shatter the trust that time cannot mend.,And shatter the trust that time cannot mend.
"It blooms in whispers, not in storm,",storm,born,storm,False,A quiet heart is where it's born.,A quiet heart is where it's born.
"I walked through the shadows where childhood once stayed,",stayed,laid,stayed,True,And found forgotten dreams in the dust where they laid.,And found forgotten dreams in the dust where they laid.
"Whispers of winds through ancient green trees,",trees,histories,trees,False,Echoing tales of forgotten histories.,Echoing tales of forgotten histories.
"Whispers of yesterday dance on the winds of time,",time,rhyme,time,True,Echoes of our song still linger in the rhyme.,Echoes of our song still linger in the rhyme.
"Together we rise, woven as one,",one,strong,spun,False,"Through every storm, our bond is strong.","Through every storm, our bond is strong."
"Time’s tapestry threads with echoes of yore,",yore,adore,soar,True,Weaving the past in patterns we adore.,Weaving the past in patterns we adore.
"Justice weeps in shadowed halls,",halls,walls,halls,True,Where truth is bound by silent walls.,Where truth is bound by silent walls.
"Laughter echoes down the lane where sunlit days once played,",played,swayed,stayed,True,Whispers of the past still linger where the wildflowers swayed.,Whispers of the past still linger where the wildflowers swayed.
"The hours drift like autumn leaves in twilight’s gentle stream,",stream,gleam,stream,True,The silent hush of dusk now wraps the world in softest gleam.,The silent hush of dusk now wraps the world in softest gleam.
"The road unwinds its thread through mist and sun,",sun,done,spun,True,Each turn a whisper of what's never done.,Each turn a whisper of what's never done.
"Brushstrokes of wonder bloom in minds unchained,",unchained,remain,unchained,False,Whispers of color where wild thoughts remain.,Whispers of color where wild thoughts remain.
"Through shared beginnings and paths that diverge,",diverge,emerge,diverge,True,We find in the journey the truths that emerge.,We find in the journey the truths that emerge.
"In shadows deep where hope once danced with light,",light,night,light,True,Whispers of the past still haunt the night.,Whispers of the past still haunt the night.
"In shadow's grip, cannon-light whispers of rage,",rage,wage,rage,True,A storm in the soul where the wounded ones wage.,A storm in the soul where the wounded ones wage.
"In laughter’s glow, where trust is sown,",sown,own,stone,True,"We find our truths, though not our own.","We find our truths, though not our own."
"Voices echo, yet no hearts collide,",collide,bides,collide,False,Whispers linger where the silence bides.,Whispers linger where the silence bides.
"Though shadows stretch where light once bloomed,",bloomed,gloom,bloomed,False,Hope whispers through the cracks of gloom.,Hope whispers through the cracks of gloom.
"In the shadowed heart where two winds meet,",meet,speak,deceit,False,Whispers of fate begin to speak.,Whispers of fate begin to speak.
"Beneath the silence where whispers used to play,",play,strays,grey,False,The echoes fade where the daylight strays.,The echoes fade where the daylight strays.
"With trembling hands, I reach to light the flame,",flame,name,name,True,But shadows dance and whisper my name.,But shadows dance and whisper my name.
"Two hearts entwined, a promise made,",made,shade,stayed,True,"A journey shared, through storms and shade.","Two hearts entwined, a promise made,  
A journey shared, through storms and shade."
"In twilight’s hush, where hearts exhale,",exhale,tale,exhale,True,The moon whispers her silver tale.,The moon whispers her silver tale.
"The shadows whisper threats they cannot name,",name,flame,name,True,Echoes of the past in silent flame.,Echoes of the past in silent flame.
"Silhouettes of solitude etched deep in vacant skies,",skies,arise,dies,True,Whispers of the lost drift by where silent stars arise.,Whispers of the lost drift by where silent stars arise.
"Shadows fall where once your laughter bloomed,",bloomed,sewn,bloomed,False,Now silence hums where joy was sewn.,Now silence hums where joy was sewn.
"Footprints in the dust of days gone by,",by,die,sigh,True,Whispers of the past that never die.,Whispers of the past that never die.
"The reaper whispers soft through every age,",age,stage,rage,True,"A silent hymn to life's brief, fleeting stage.","A silent hymn to life's brief, fleeting stage."
"Amidst the buzz of concrete dreams, the country’s clockwork hums in rural streams,",streams,scream,dreams,False,"Where quiet fields in morning gleam, and time forgets to rush or scream.","Where quiet fields in morning gleam, and time forgets to rush or scream."
"Two hearts entwined where vows take root,",root,undo,root,False,A love that time and distance can't undo.,A love that time and distance can't undo.
"In the shadows, whispers rise—half angel, half abyss,",abyss,bliss,abyss,True,"A voice both tender and fierce, it sings of love and of bliss.","A voice both tender and fierce, it sings of love and of bliss."
"Whispers of absence haunt the hollows where their laughter once was,",was,past,was,False,Echoes of a song now silent in the chambers of the past.,Echoes of a song now silent in the chambers of the past.
"The scales of justice tremble with truth, while shadows feast on the cries of the unjust,",unjust,trust,unjust,True,and silence guards the halls where the guilty trust.,and silence guards the halls where the guilty trust.
"The thunder in his chest begins to roar,",roar,wait,soar,False,The storm within him can no longer wait.,The storm within him can no longer wait.
"In the hush between heartbeats, love begins to breathe,",breathe,free,breathe,False,"A whisper of forever, soft and wild and free.","A whisper of forever, soft and wild and free."
"Whispers of spring in the thawing snow's breath,",breath,death,breath,True,Awaken the earth from its slumbering death.,Awaken the earth from its slumbering death.
"The elder chants as clocks devour time,",time,rhyme,time,True,The stars above hum softly in rhyme.,The stars above hum softly in rhyme.
"Roots whispered in stories older than stone,",stone,known,stone,True,Leaves hummed songs where the lost and the lone are known.,Leaves hummed songs where the lost and the lone are known.
"Silent nights where echoes dwell,",dwell,swell,dwell,True,Whispers rise where shadows swell.,Whispers rise where shadows swell.
"Amber whispers brush the breeze,",breeze,trees,trees,True,Silver shadows dance with trees.,Silver shadows dance with trees.
"Autumn's breath whispers through the trees,",trees,breeze,trees,True,Leaves in dance upon the breeze.,Leaves in dance upon the breeze.
"Neon hums where high-rises breathe,",breathe,glee,breathe,False,Steel and shadow twist with glee.,Steel and shadow twist with glee.
"Pack the sunrise in your pocket, let the roads unwind like time,",time,align,time,False,And chase the horizon's whisper where the sky and dreams align.,And chase the horizon's whisper where the sky and dreams align.
"Love is the fire that warms both heart and home,",home,known,home,False,But burns the brightest when it's known.,But burns the brightest when it's known.
"Thunder roars, but chains remain unbroken—",unbroken,spoken,unbroken,True,Silent resolve in the storm is spoken.,Silent resolve in the storm is spoken.
"Winds whisper tales of roads unseen,",unseen,between,unseen,True,Moonlight paints the paths between.,Moonlight paints the paths between.
"In the quiet dawn, where prayers and petals rise,",rise,disguise,dies,True,Whispers of hope in morning's soft disguise.,Whispers of hope in morning's soft disguise.
"A bond untouched by time or fate,",fate,part,fate,False,"A love that stands, though worlds may part.","A love that stands, though worlds may part."
"Whispers of dread in the silence they creep,",creep,deep,sweep,True,Shadows arise where the nightmares run deep.,Shadows arise where the nightmares run deep.
"In twilight's hush, where shadows dare to speak,",speak,seek,speak,True,Whispers of the wind begin to seek.,Whispers of the wind begin to seek.
"In starlit whispers, my hopes take flight,",flight,flight,light,False,"Through velvet skies, they soar and take flight.","Through velvet skies, they soar and take flight."
"The road unfolds like whispered dreams in dawn's embrace,",embrace,rhyme,embrace,False,"Each turn a verse in time’s soft, winding rhyme.","Each turn a verse in time’s soft, winding rhyme."
"The earth whispers tales through rustling green,",green,seen,unseen,True,"The moon listens close, though not been seen.","The moon listens close, though not been seen."
"In shadows cast by city lights, a thousand souls feel night,",night,skies,light,False,"Their whispered dreams in silence rise, like stars that kiss the skies.","Their whispered dreams in silence rise, like stars that kiss the skies."
"Beneath the brush of dawn’s soft light,",light,white,light,True,The world is wrapped in hush and white.,The world is wrapped in hush and white.
"The hush of time whispers tales of the old,",old,bold,told,True,Where shadows dance and the forgotten are bold.,Where shadows dance and the forgotten are bold.
"In the quiet space where heartbeats blend,",blend,end,blend,True,Whispers of love across the end.,Whispers of love across the end.
"Whispers of the past linger where old shadows dance,",dance,trance,dance,True,Echoes of forgotten hearts still trace the ancient trance.,Echoes of forgotten hearts still trace the ancient trance.
"Through storms of time, our roots hold fast,",fast,ask,past,False,"In love’s deep soil, we’ll never ask.","In love’s deep soil, we’ll never ask."
"Amid the throng, a silent storm,",storm,form,storm,True,"A whispered fear, a trembling form.","A whispered fear, a trembling form."
"Whispers of winds through ancient tree songs flow,",flow,below,glow,True,Echoes of time in the rustling below.,Echoes of time in the rustling below.
"Whispers of crimson, symphonies in every thread,",thread,blend,thread,False,A dance of shadows where the wild and woven blend.,A dance of shadows where the wild and woven blend.
"In laughter's wake, where memory weaves,",weaves,brief,weaves,False,"Time folds like paper, soft and brief.","Time folds like paper, soft and brief."
"Winds of freedom whisper where chains forgot to fall,",fall,recall,fall,True,A silent thunder rolls through the soul's recall.,A silent thunder rolls through the soul's recall.
"The scales of justice sway on trembling strings,",strings,sings,strings,True,With every whisper of the biased winds it sings.,With every whisper of the biased winds it sings.
"In hues that hum and silence rustles soft,",soft,oft,soft,True,The moonlight spills where shadowed whispers oft.,The moonlight spills where shadowed whispers oft.
"In the golden glow of dusk, I chase the echoes of summer's hush,",hush,crush,hush,True,"With whispers of the wind, it stirs the dreams that time won't crush.","With whispers of the wind, it stirs the dreams that time won't crush."
"Together we rise, bound by more than shared skies,",skies,sigh,dies,False,United by hearts that in silence still sigh.,United by hearts that in silence still sigh.
"Whispers vanish in the hollows where connection once resided,",resided,tide,resided,False,Silent echoes of devotion now lost to the tide.,Silent echoes of devotion now lost to the tide.
"Joy dances bright where kind hearts meet,",meet,beat,deceit,True,Love lights the way through every beat.,Love lights the way through every beat.
"In whispers of time, our deeds still sing—",sing,wrong,sing,False,"Through echoes that linger, right from wrong.","Through echoes that linger, right from wrong."
"Like morning dew on petals soft and new,",new,through,new,True,The light of dawn breaks through.,"Like morning dew on petals soft and new,  
The light of dawn breaks through."
"Wings of dawn clash with iron night,",night,light,light,True,Shadows break beneath the light.,Shadows break beneath the light.
"Brushstrokes weave the silent song of imagination’s flame,",flame,intermingle,name,False,Colors whisper tales where dreams and daylight intermingle.,Colors whisper tales where dreams and daylight intermingle.
"Whispers of the past dance on the breeze,",breeze,melodies,trees,False,Echoes of forgotten melodies.,Echoes of forgotten melodies.
"In youth's tender bloom, my heart first knew the name of flame,",flame,blame,name,True,"But time, with gentle hand, has taught me not to blame.","But time, with gentle hand, has taught me not to blame."
"Beneath the mask, a whisper grows—",grows,blow,grows,False,A storm of secrets starts to blow.,A storm of secrets starts to blow.
"Beneath sweet lies, the truth often weeps in shadow,",shadow,sorrow,glow,False,"For every heart that fakes, another bleeds in sorrow.","For every heart that fakes, another bleeds in sorrow."
"Two hearts entwined, a vow so true,",true,undo,new,True,A love that time cannot undo.,A love that time cannot undo.
"A tapestry woven in laughter and tears,",tears,fears,years,True,A life stitched with joy and with fears.,A life stitched with joy and with fears.
"Like shadows at the close of day,",day,stay,grey,True,They fade but never seem to stay.,They fade but never seem to stay.
"Whispers of wind through the emerald embrace,",embrace,space,embrace,True,Echoes of time in the rustling space.,Echoes of time in the rustling space.
"Whispers of absence haunt the halls where laughter used to play,",play,day,grey,True,Echoes of your name still linger in the light of day.,Echoes of your name still linger in the light of day.
"Beneath the mask, the true self stirs,",stirs,hers,years,True,"A soul unbound, no longer hers.","A soul unbound, no longer hers."
"Colors whisper secrets where wild imaginations tread,",tread,bled,thread,True,Shadows dance with dreams where the sun and moon have bled.,Shadows dance with dreams where the sun and moon have bled.
"A hollow vow where silence weeps,",weeps,keep,weeps,False,A ghostly breath in winter’s keep.,A ghostly breath in winter’s keep.
"In shadows cast by screens we cling,",cling,spin,sing,False,To flickering tales that twist and spin.,To flickering tales that twist and spin.
"Wander the roads where old shadows dance,",dance,chance,dance,True,Seek the echoes of a forgotten chance.,Seek the echoes of a forgotten chance.
"In shadows crowned, the weak wear might unseen,",unseen,keen,unseen,True,"Beneath the cloak, the lion's heart is keen.","Beneath the cloak, the lion's heart is keen."
"In the quiet heartbeat where the stars dare speak,",speak,seek,speak,True,Whispers of the dawn begin to seek.,Whispers of the dawn begin to seek.
"Smoke ascends where silent dreams once grew,",grew,pursue,new,True,Ash remains where embers still pursue.,Ash remains where embers still pursue.
"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,flight,light,True,"Whispers of time in every leaf, they dance with the dawn’s first flight.","Whispers of time in every leaf, they dance with the dawn’s first flight."
"In shadows cast by silver lies,",lies,denies,dies,True,Whispers bloom where truth denies.,Whispers bloom where truth denies.
"In whispered groves where the wild things dance,",dance,glance,dance,True,"Beneath the moon’s soft, silver glance.","Beneath the moon’s soft, silver glance."
"City lights hum with restless desire,",desire,ignore,desire,False,Whispers of dreams we can't ignore.,Whispers of dreams we can't ignore.
"Time weaves its wisdom, thread by silent thread,",thread,tread,thread,True,Life stitches meaning where the moments tread.,Life stitches meaning where the moments tread.
"Whispers of winds through the ancient wood,",wood,stood,wood,True,Echoes of time in the shadows stood.,Echoes of time in the shadows stood.
"By the sandbox where the fireflies glow,",glow,blow,glow,True,We’ll whisper secrets as the night winds blow.,We’ll whisper secrets as the night winds blow.
"Winds of freedom whisper where chains dare not clink,",clink,think,clink,True,And hope takes flight where the brave dare to think.,And hope takes flight where the brave dare to think.
"The hearth’s faint breath speaks tales of where I came from,",from,become,from,True,The ashes whisper truths the fire could not become.,The ashes whisper truths the fire could not become.
"Beneath the map's edge, the unknown beckons soft and wide,",wide,hide,collide,True,Where dreams and distant wonders hide.,Where dreams and distant wonders hide.
"A heartbeat’s whisper, a soul’s soft fire,",fire,desire,desire,True,"A dream takes flight, a wishful desire.","A dream takes flight, a wishful desire."
"Beneath a handshake, a dagger gleams with dew,",dew,do,new,True,"For every pact is but a trap, and you know what to do.","For every pact is but a trap, and you know what to do."
"Whispers of winter kiss the thawing spring,",spring,sigh,sing,False,"Melting dreams in a tender, fleeting sigh.","Melting dreams in a tender, fleeting sigh."
"The sun spills gold on laughter's tender track,",track,dark,track,False,While shadows dance where memories are etched in the dark.,While shadows dance where memories are etched in the dark.
"A silent tear on truth's tightrope spin,",spin,been,spin,True,A shadow dances where the light has been.,A shadow dances where the light has been.
"In starlit whispers, my heart ignites,",ignites,flight,ignites,False,"For in your gaze, my soul takes flight.","For in your gaze, my soul takes flight."
"Amidst the swirl of hues and whispered air,",air,dare,despair,True,The moonlight dances where the shadows dare.,The moonlight dances where the shadows dare.
"Beneath soft lies, the truth wears a cloak of light,",light,fight,light,True,"But in the dark, it whispers its fight.","But in the dark, it whispers its fight."
"Two hearts entwined where the vows take flight,",flight,light,light,True,A dance of souls in the softest light.,"Two hearts entwined where the vows take flight,  
A dance of souls in the softest light."
"A laughter rings where sunshine stirs the air,",air,there,despair,True,A whisper dances where the moonlight's there.,A whisper dances where the moonlight's there.
"In whispered hearts where silent dreams take flight,",flight,night,light,True,Soft echoes dance in moonlit night.,Soft echoes dance in moonlit night.
"A breath too brief, a shadow that swallows the light,",light,night,light,True,A whisper of forever that fades into night.,A whisper of forever that fades into night.
"In shadowed hands, the torch of might is pressed,",pressed,blessed,breast,True,To light the path where darkness has been blessed.,To light the path where darkness has been blessed.
"A bond unspoken, yet stronger than time,",time,align,time,False,A silent devotion that will always align.,A silent devotion that will always align.
"Seconds whisper through the cracks of youth,",youth,truth,youth,True,Moments slip like time in truth.,Moments slip like time in truth.
"Whispers weave through the woods where wild hearts roam,",roam,glow,home,False,Echoes of dreams in the moon's silver glow.,Echoes of dreams in the moon's silver glow.
"Whispers of wind through the emerald trees,",trees,leaves,trees,False,Singing soft lullabies to the leaves.,Singing soft lullabies to the leaves.
"In the attic of my heart, old shadows dance with light,",light,goodnight,light,True,Whispers of the past now hum a bittersweet goodnight.,Whispers of the past now hum a bittersweet goodnight.
"In flawless cracks, the beauty truly shines,",shines,signs,shines,True,Like light through glass in winter’s quiet signs.,Like light through glass in winter’s quiet signs.
"Beneath the boughs of time’s slow-swaying tree,",tree,prophecy,sea,False,The echoes of what’s to come prophecy.,The echoes of what’s to come prophecy.
"Beneath the skin, a story waits to breathe,",breathe,see,breathe,False,Each scar and vein a verse of what we see.,Each scar and vein a verse of what we see.
"Beneath the sun’s first golden hour,",hour,flower,hour,True,The dew still clings to every flower.,The dew still clings to every flower.
"The scales of heaven waver in the storm,",storm,form,storm,True,The weight of fate is torn from its form.,The weight of fate is torn from its form.
"The morning sun spills gold through trees,",trees,breeze,trees,True,Whispering life to every breeze.,Whispering life to every breeze.
"In the woven threads of many, one heartbeat gently sings,",sings,springs,strings,True,A silent song the stars have known through endless weaving springs.,A silent song the stars have known through endless weaving springs.
"In the silent chasm where shadows conspire,",conspire,wire,desire,True,Whispers of doom on the wind's cold wire.,Whispers of doom on the wind's cold wire.
"The clock’s soft breath stirs dust of bygone days,",days,praise,maze,True,"Whispers of time in shadowed, silent praise.","Whispers of time in shadowed, silent praise."
"When silence speaks, the heart turns cold,",cold,hold,told,True,And echoes of the past take hold.,"When silence speaks, the heart turns cold,  
And echoes of the past take hold."
"In shadows where sweet promises fade,",fade,laid,stayed,True,Whispers of truth are laid.,Whispers of truth are laid.
"Though flesh may fade, the deeds we do ignite…",ignite,flight,light,True,A flame that lingers long after we flight.,A flame that lingers long after we flight.
"Colors weep from silent canvases, whispers take form in clay’s embrace,",embrace,chance,embrace,False,"brushstrokes bleed where shadows dance, echoes carve what time can’t chance.","brushstrokes bleed where shadows dance, echoes carve what time can’t chance."
"Time stitches wrinkles in the cloth of youth,",youth,truth,youth,True,But memory weaves gold where the threads feel truth.,But memory weaves gold where the threads feel truth.
"Each year etches wisdom where youthful days once played,",played,dismayed,stayed,True,"Time's quiet hand turns pages, both the joy and the dismayed.","Time's quiet hand turns pages, both the joy and the dismayed."
"Whispers of the dusk that shadows all our days,",days,time,maze,False,Echo softly through the corridors of time.,Echo softly through the corridors of time.
"Brushstrokes of thought on canvases unseen,",unseen,been,unseen,False,Whispers of dreams where the imagined has been.,Whispers of dreams where the imagined has been.
"A fragile thread through shadow's weave,",weave,grieve,weave,True,It dances where the silent grieve.,It dances where the silent grieve.
"Whispers fade where connection once thrived,",thrived,arrived,thrived,True,Silence now where the echoes arrived.,Silence now where the echoes arrived.
"When shadows steal the ones we held so dear,",dear,year,dear,True,"We hold their memory close, year on year.","We hold their memory close, year on year."
