,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,n_features,substring,stopped_generation
85,"Justice weeps in shadowed halls,",halls,walls,halls,True,Light breaks through the silent walls.,Light breaks through the silent walls.,Light breaks through the silent,77,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Justice weeps in shadowed halls,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Justice weeps in shadowed halls,
assistant
<think>

</think>

Law's cold hand grips the scale."
91,"In shadows deep where hope once danced with light,",light,night,light,True,A silent night.,A silent night.,A silent,84,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In shadows deep where hope once danced with light,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In shadows deep where hope once danced with light,
assistant
<think>

</think>

Secrets whisper low, entwined with chance."
92,"In shadow's grip, cannon-light whispers of rage,",rage,stage,rage,True,A silent scream in the darkened stage.,A silent scream in the darkened stage.,A silent scream in the darkened,69,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In shadow's grip, cannon-light whispers of rage,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In shadow's grip, cannon-light whispers of rage,
assistant
<think>

</think>

In shadow's grip, cannon-light whispers of war."
100,"In twilight’s hush, where hearts exhale,",exhale,unveil,exhale,True,The stars above begin to unveil.,The stars above begin to unveil.,The stars above begin to,70,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In twilight’s hush, where hearts exhale,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In twilight’s hush, where hearts exhale,
assistant
<think>

</think>

Silent whispers drift through the air."
101,"The shadows whisper threats they cannot name,",name,shame,name,True,The night holds its breath in silent shame.,The night holds its breath in silent shame.,The night holds its breath in silent,76,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: The shadows whisper threats they cannot name,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: The shadows whisper threats they cannot name,
assistant
<think>

</think>

The moonlight hides the truth they dare not say."
104,"Footprints in the dust of days gone by,",by,sigh,sigh,True,Whispers of the past in every sigh.,Whispers of the past in every sigh.,Whispers of the past in every,84,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Footprints in the dust of days gone by,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Footprints in the dust of days gone by,
assistant
<think>

</think>

Silent witnesses to the tales we've passed."
111,"The thunder in his chest begins to roar,",roar,shore,soar,True,The storm inside him breaks the shore.,The storm inside him breaks the shore.,The storm inside him breaks the,73,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: The thunder in his chest begins to roar,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: The thunder in his chest begins to roar,
assistant
<think>

</think>

He feels the storm inside him rise."
116,"Silent nights where echoes dwell,",dwell,hell,dwell,True,Whispers hush the trembling hell.,Whispers hush the trembling hell.,Whispers hush the trembling,83,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Silent nights where echoes dwell,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Silent nights where echoes dwell,
assistant
<think>

</think>

Whispers fade in the stillness."
118,"Autumn's breath whispers through the trees,",trees,breeze,trees,True,Gold leaves dance in silent breeze.,Gold leaves dance in silent breeze.,Gold leaves dance in silent,76,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Autumn's breath whispers through the trees,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Autumn's breath whispers through the trees,
assistant
<think>

</think>

Gold leaves dance in the fading light."
124,"In the quiet dawn, where prayers and petals rise,",rise,skies,dies,True,Whispers of hope through the morning skies.,Whispers of hope through the morning skies.,Whispers of hope through the morning,85,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In the quiet dawn, where prayers and petals rise,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In the quiet dawn, where prayers and petals rise,
assistant
<think>

</think>

Silence whispers through the waking world."
126,"Whispers of dread in the silence they creep,",creep,sleep,sweep,True,Shadows of fear in the dark they sleep.,Shadows of fear in the dark they sleep.,Shadows of fear in the dark they,85,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of dread in the silence they creep,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of dread in the silence they creep,
assistant
<think>

</think>

Night shadows creep where the light once was."
127,"In twilight's hush, where shadows dare to speak,",speak,meek,speak,True,The stars above whisper secrets to the meek.,The stars above whisper secrets to the meek.,The stars above whisper secrets to the,86,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In twilight's hush, where shadows dare to speak,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In twilight's hush, where shadows dare to speak,
assistant
<think>

</think>

The stars above whisper secrets bare."
132,"Beneath the brush of dawn’s soft light,",light,might,light,True,The sky blushes with morning's might.,The sky blushes with morning's might.,The sky blushes with morning's,82,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Beneath the brush of dawn’s soft light,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Beneath the brush of dawn’s soft light,
assistant
<think>

</think>

A golden hue is born."
133,"The hush of time whispers tales of the old,",old,cold,told,True,A ghostly echo in the silent cold.,"The hush of time whispers tales of the old,  
A ghostly echo in the silent cold.","The hush of time whispers tales of the old,  
A ghostly echo in the silent",54,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: The hush of time whispers tales of the old,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: The hush of time whispers tales of the old,
assistant
<think>

</think>

The hush of time whispers tales of the past."
136,"Through storms of time, our roots hold fast,",fast,past,past,True,"We stand as one, through every past.","Through storms of time, our roots hold fast,  
We stand as one, through every past.","Through storms of time, our roots hold fast,  
We stand as one, through every",79,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Through storms of time, our roots hold fast,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Through storms of time, our roots hold fast,
assistant
<think>

</think>

Through storms of time, our roots hold firm."
138,"Whispers of winds through ancient tree songs flow,",flow,slow,glow,True,"Leaves in a dance, soft and slow.","Leaves in a dance, soft and slow.","Leaves in a dance, soft and",85,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of winds through ancient tree songs flow,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of winds through ancient tree songs flow,
assistant
<think>

</think>

Leaves dance in a silent song."
139,"Whispers of crimson, symphonies in every thread,",thread,bed,thread,True,"A tapestry of passion, woven through the bed.","A tapestry of passion, woven through the bed.","A tapestry of passion, woven through the",77,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of crimson, symphonies in every thread,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of crimson, symphonies in every thread,
assistant
<think>

</think>

Crimson echoes through the silent night."
148,"In whispers of time, our deeds still sing—",sing,sting,sing,True,A tale etched in the wind's soft sting.,A tale etched in the wind's soft sting.,A tale etched in the wind's soft,83,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In whispers of time, our deeds still sing—<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In whispers of time, our deeds still sing—
assistant
<think>

</think>

In whispers of time, our deeds still rest."
149,"Like morning dew on petals soft and new,",new,blue,new,True,A whisper of hope in the silent blue.,"Like morning dew on petals soft and new,  
A whisper of hope in the silent blue.","Like morning dew on petals soft and new,  
A whisper of hope in the silent",107,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Like morning dew on petals soft and new,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Like morning dew on petals soft and new,
assistant
<think>

</think>

Like morning dew on petals soft and bright."
150,"Wings of dawn clash with iron night,",night,flight,light,True,Stars ignite in silent flight.,Stars ignite in silent flight.,Stars ignite in silent,62,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Wings of dawn clash with iron night,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Wings of dawn clash with iron night,
assistant
<think>

</think>

Firelight whispers through the shattered sky."
151,"Brushstrokes weave the silent song of imagination’s flame,",flame,name,name,True,A canvas breathes with every name.,A canvas breathes with every name.,A canvas breathes with every,78,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Brushstrokes weave the silent song of imagination’s flame,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Brushstrokes weave the silent song of imagination’s flame,
assistant
<think>

</think>

A canvas breathes with dreams it cannot name."
152,"Whispers of the past dance on the breeze,",breeze,seize,trees,True,Echoes of time softly seize.,Echoes of time softly seize.,Echoes of time softly,84,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of the past dance on the breeze,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of the past dance on the breeze,
assistant
<think>

</think>

Echoes of time still linger in the air."
157,"A tapestry woven in laughter and tears,",tears,years,years,True,A story spun through the years.,A story spun through the years.,A story spun through the,79,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: A tapestry woven in laughter and tears,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: A tapestry woven in laughter and tears,
assistant
<think>

</think>

A story stitched through the years."
159,"Whispers of wind through the emerald embrace,",embrace,grace,embrace,True,"Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic",82,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers of wind through the emerald embrace,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers of wind through the emerald embrace,
assistant
<think>

</think>

Leaves dance in a silent, rhythmic hymn."
162,"Colors whisper secrets where wild imaginations tread,",tread,spread,thread,True,"Dreams take flight in the silent, golden spread.","Dreams take flight in the silent, golden spread.","Dreams take flight in the silent, golden",93,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Colors whisper secrets where wild imaginations tread,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Colors whisper secrets where wild imaginations tread,
assistant
<think>

</think>

Paintings bloom with dreams in every shadowed lane."
168,"Smoke ascends where silent dreams once grew,",grew,dew,new,True,Fire whispers secrets to the dew.,Fire whispers secrets to the dew.,Fire whispers secrets to the,81,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Smoke ascends where silent dreams once grew,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Smoke ascends where silent dreams once grew,
assistant
<think>

</think>

Fire whispers secrets in the night."
169,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,flight,light,True,"Leaves whisper secrets of the past, but dreams take flight.","Leaves whisper secrets of the past, but dreams take flight.","Leaves whisper secrets of the past, but dreams take",73,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,
assistant
<think>

</think>

Leaves whisper secrets of the sun's warm embrace."
170,"In shadows cast by silver lies,",lies,disguise,dies,True,In whispers of the night's disguise.,In whispers of the night's disguise.,In whispers of the night's,70,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In shadows cast by silver lies,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In shadows cast by silver lies,
assistant
<think>

</think>

In shadows cast by silver light."
175,"By the sandbox where the fireflies glow,",glow,low,glow,True,The night sky whispers soft and low.,The night sky whispers soft and low.,The night sky whispers soft and,89,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: By the sandbox where the fireflies glow,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: By the sandbox where the fireflies glow,
assistant
<think>

</think>

We dance in the glow of the evening's light."
