Profession,Article,Description,related_term1,related_term2,related_term3,related_term4,related_term5
actor,an,Someone who performs in plays is an actor,acting, theater, performance, drama, entertainment
writer,a,Someone who writes books is a writer,writing, books, literature, publishing, creativity
poet,a,Someone who writes poetry is a poet,poetry, verse, literature, writing, expression
novelist,a,Someone who writes novels is a novelist,novels, fiction, writing, storytelling, literature
editor,an,Someone who edits text is an editor,editing, publishing, manuscript, revision, content
translator,a,Someone who translates languages is a translator,translation, language, interpretation, communication, linguistics
bartender,a,Someone who serves drinks is a bartender,drinks, bar, cocktails, mixing, service
waiter,a,Someone who serves food is a waiter,restaurant, service, customers, dining, hospitality
barber,a,Someone who cuts hair is a barber,hair, cutting, styling, grooming, salon
tailor,a,Someone who makes clothes is a tailor,clothing, sewing, alterations, fabric, fitting
florist,a,Someone who arranges flowers is a florist,flowers, arrangements, plant, bouquet, decorative
jeweler,a,Someone who makes jewelry is a jeweler,jewelry, gems, precious, crafting, accessories
watchmaker,a,Someone who makes watches is a watchmaker,watches, timepieces, repair, precision, mechanisms
locksmith,a,Someone who makes locks is a locksmith,locks, keys, security, installation, repair
welder,a,Someone who welds metal is a welder,welding, metal, joining, fabrication, torch
mason,a,Someone who works with stone is a mason,masonry, bricks, stone, construction, mortar
roofer,a,Someone who fixes roofs is a roofer,roofing, construction, repair, shingles, waterproofing
painter,a,Someone who paints walls is a painter,painting, walls, brushes, colors, decoration
gardener,a,Someone who tends gardens is a gardener,plants, gardening, landscaping, maintenance, horticulture
farmer,a,Someone who grows crops is a farmer,agriculture, crops, farming, harvest, livestock
fisherman,a,Someone who catches fish is a fisherman,fishing, boats, nets, seafood, ocean
sailor,a,Someone who works on ships is a sailor,ships, navigation, maritime, ocean, sailing
trucker,a,Someone who drives trucks is a trucker,trucks, transportation, driving, cargo, logistics
conductor,a,Someone who operates trains is a conductor,trains, railroad, transportation, schedules, safety
judge,a,Someone who makes court decisions is a judge,court, legal, justice, decisions, law
detective,a,Someone who solves crimes is a detective,investigation, crime, solving, evidence, mystery
paramedic,a,Someone who provides emergency care is a paramedic,emergency, medical, ambulance, first-aid, rescue
dispatcher,a,Someone who coordinates emergency calls is a dispatcher,coordination, communication, emergency, scheduling, radio
counselor,a,Someone who provides guidance is a counselor,guidance, advice, support, therapy, helping
therapist,a,Someone who provides therapy is a therapist,therapy, treatment, healing, rehabilitation, wellness
nutritionist,a,Someone who advises on diet is a nutritionist,nutrition, diet, health, food, wellness
trainer,a,Someone who provides training is a trainer,training, fitness, exercise, instruction, development
coach,a,Someone who coaches sports is a coach,coaching, sports, training, mentoring, guidance
referee,a,Someone who officiates games is a referee,sports, rules, officiating, games, decisions
cashier,a,Someone who handles money is a cashier,money, transactions, register, payment, retail
clerk,a,Someone who does office work is a clerk,office, administration, paperwork, filing, records
receptionist,a,Someone who greets visitors is a receptionist,reception, phones, greeting, appointments, front-desk
secretary,a,Someone who provides administrative support is a secretary,administrative, office, scheduling, correspondence, support
manager,a,Someone who manages others is a manager,management, leadership, supervision, planning, coordination
supervisor,a,Someone who supervises workers is a supervisor,supervision, oversight, management, guidance, monitoring
consultant,a,Someone who provides expert advice is a consultant,consulting, advice, expertise, analysis, solutions
analyst,an,Someone who analyzes information is an analyst,analysis, data, research, evaluation, insight
auditor,an,Someone who audits finances is an auditor,auditing, inspection, compliance, verification, assessment
banker,a,Someone who works at a bank is a banker,bank, finance, money, loans, investments
broker,a,Someone who brokers deals is a broker,brokerage, trading, investments, finance, markets
realtor,a,Someone who sells real estate is a realtor,real-estate, property, sales, housing, transactions
auctioneer,an,Someone who conducts auctions is an auctioneer,auctions, bidding, sales, valuations, item
salesperson,a,Someone who sells products is a salesperson,sales, customers, products, selling, revenue
retailer,a,Someone who sells retail goods is a retailer,retail, merchandise, customers, store, commerce
wholesaler,a,Someone who sells wholesale goods is a wholesaler,wholesale, bulk, distribution, suppliers, inventory
inventor,an,Someone who creates inventions is an inventor,innovation, creation, patents, development, ideas
programmer,a,Someone who writes code is a programmer,coding, software, programming, computers, development
technician,a,Someone who does technical work is a technician,technical, repair, maintenance, equipment, troubleshooting
operator,an,Someone who operates equipment is an operator,operation, machinery, equipment, control, monitoring
inspector,an,Someone who inspects things is an inspector,inspection, quality, evaluation, standards, compliance
examiner,an,Someone who examines things is an examiner,examination, testing, evaluation, assessment, analysis
