first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,sample_idx
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked on the shelves with care and with light.,Stacked on the shelves with care and with light.,21
"Boxes of books, a reader's delight,",delight,bright,delight,True,"Stacks in the corner, just waiting to be bright.","Stacks in the corner, just waiting to be bright.",22
"Boxes of books, a reader's delight,",delight,height,delight,True,Stacked with care from floor to height.,Stacked with care from floor to height.,23
"Boxes of books, a reader's delight,",delight,night,delight,True,"Stacked high with stories, both day and night.","Stacked high with stories, both day and night.",24
"Boxes of books, a reader's delight,",delight,bottom,delight,False,Stacked with stories from top to bottom.,Stacked with stories from top to bottom.,25
"Boxes of books, a reader's delight,",delight,blight,delight,True,"Stacked high in the corner, a quiet blight.","Stacked high in the corner, a quiet blight.",26
"Boxes of books, a reader's delight,",delight,light,delight,True,"Stacked with care, from dusk till light.","Stacked with care, from dusk till light.",27
"Boxes of books, a reader's delight,",delight,insight,delight,True,Stacked on the shelves with perfect insight.,Stacked on the shelves with perfect insight.,28
"Boxes of books, a reader's delight,",delight,night,delight,True,Each shelf tells tales of the day and the night.,Each shelf tells tales of the day and the night.,29
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked with stories from night to night.,Stacked with stories from night to night.,30
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high with stories from day to night.,Stacked high with stories from day to night.,31
"Boxes of books, a reader's delight,",delight,height,delight,True,Stacked with care from floor to height.,Stacked with care from floor to height.,32
"Boxes of books, a reader's delight,",delight,tight,delight,True,"Stacked with care, from top to tight.","Stacked with care, from top to tight.",33
"Boxes of books, a reader's delight,",delight,new,delight,False,"Stacked with care, both old and new.","Stacked with care, both old and new.",34
"Boxes of books, a reader's delight,",delight,bottom,delight,False,Stacked with stories from top to bottom.,Stacked with stories from top to bottom.,35
"Boxes of books, a reader's delight,",delight,light,delight,True,"Each tale to unwrap, a shining light.","Each tale to unwrap, a shining light.",36
"Boxes of books, a reader's delight,",delight,night,delight,True,"Stacked high with stories, both day and night.","Stacked high with stories, both day and night.",37
"Boxes of books, a reader's delight,",delight,night,delight,True,"Stacked high with stories, both day and night.","Stacked high with stories, both day and night.",38
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high with stories that fill the night.,Stacked high with stories that fill the night.,39
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked with stories from day to night.,Stacked with stories from day to night.,40
"Boxes of books, a reader's delight,",delight,night,delight,True,"Stacked on the shelves, they fill up the night.","Stacked on the shelves, they fill up the night.",41
"Boxes of books, a reader's delight,",delight,life,delight,False,"Stacked high on the shelf, they bring the night to life.","Stacked high on the shelf, they bring the night to life.",42
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high with stories from day to night.,Stacked high with stories from day to night.,43
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high with stories to illuminate the night.,Stacked high with stories to illuminate the night.,44
"Boxes of books, a reader's delight,",delight,shine,delight,False,"Stacked on the shelves, they shimmer and shine.","Stacked on the shelves, they shimmer and shine.",45
"Boxes of books, a reader's delight,",delight,right,delight,True,"Stacked with care from top to bottom, just right.","Stacked with care from top to bottom, just right.",46
"Boxes of books, a reader's delight,",delight,new,delight,False,"Stacked with care, both old and new.","Stacked with care, both old and new.",47
"Boxes of books, a reader's delight,",delight,night,delight,True,"Stacked high with stories, both day and night.","Stacked high with stories, both day and night.",48
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked on the shelves in soft morning light.,Stacked on the shelves in soft morning light.,49
"Boxes of books, a reader's delight,",delight,height,delight,True,Stacked on the shelves with just the right height.,Stacked on the shelves with just the right height.,50
"Boxes of books, a reader's delight,",delight,tight,delight,True,"Stacked high with stories, both bright and tight.","Stacked high with stories, both bright and tight.",51
"Boxes of books, a reader's delight,",delight,night,delight,True,Pages to treasure from night till night.,Pages to treasure from night till night.,52
"Boxes of books, a reader's delight,",delight,night,delight,True,Pages to explore from day to night.,Pages to explore from day to night.,53
"Boxes of books, a reader's delight,",delight,outright,delight,True,"Stacked high with stories, both right and outright.","Stacked high with stories, both right and outright.",54
"Boxes of books, a reader's delight,",delight,night,delight,True,"Stacks in the corner, inviting the night.","Stacks in the corner, inviting the night.",55
"Boxes of books, a reader's delight,",delight,light,delight,True,"Stacked high on the shelves, they hold the light.","Stacked high on the shelves, they hold the light.",56
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked with care in the dead of night.,Stacked with care in the dead of night.,57
"Boxes of books, a reader's delight,",delight,height,delight,True,Carefully stacked from floor to the height.,Carefully stacked from floor to the height.,58
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high with stories from day to night.,Stacked high with stories from day to night.,59
"Boxes of books, a reader's delight,",delight,light,delight,True,Each tale a gateway to a brand-new light.,Each tale a gateway to a brand-new light.,60
"Boxes of books, a reader's delight,",delight,light,delight,True,"Stacked with care, by the dim glow of light.","Stacked with care, by the dim glow of light.",61
"Boxes of books, a reader's delight,",delight,new,delight,False,"Each shelf tells a tale, both old and new.","Each shelf tells a tale, both old and new.",62
"Boxes of books, a reader's delight,",delight,night,delight,True,Pages to flip in the quiet of night.,Pages to flip in the quiet of night.,63
"Boxes of books, a reader's delight,",delight,shine,delight,False,"Stacked on the shelves, they shimmer and shine.","Stacked on the shelves, they shimmer and shine.",64
"Boxes of books, a reader's delight,",delight,flight,delight,True,"Stacks in the corners, each a new flight.","Stacks in the corners, each a new flight.",65
"Boxes of books, a reader's delight,",delight,night,delight,True,Each shelf a journey through the night.,Each shelf a journey through the night.,66
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked on the shelves in organized light.,Stacked on the shelves in organized light.,67
"Boxes of books, a reader's delight,",delight,night,delight,True,"Stacked high with stories, both day and night.","Stacked high with stories, both day and night.",68
"Boxes of books, a reader's delight,",delight,bright,delight,True,"Stacked high on the shelf, they shine so bright.","Stacked high on the shelf, they shine so bright.",69
"Boxes of books, a reader's delight,",delight,bright,delight,True,"Stacked high on the shelves, they shine so bright.","Stacked high on the shelves, they shine so bright.",70
"Boxes of books, a reader's delight,",delight,shine,delight,False,"Stacked on the shelves, they shimmer and shine.","Stacked on the shelves, they shimmer and shine.",71
"Boxes of books, a reader's delight,",delight,night,delight,True,Each page holding a spark in the night.,Each page holding a spark in the night.,72
"Boxes of books, a reader's delight,",delight,night,delight,True,"Stacked on the shelves, they fill the night.","Stacked on the shelves, they fill the night.",73
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high with stories that fill every night.,Stacked high with stories that fill every night.,74
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacked high on shelves, a treasure in sight.","Stacked high on shelves, a treasure in sight.",75
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked with stories from day to night.,Stacked with stories from day to night.,76
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked with stories from night to night.,Stacked with stories from night to night.,77
"Boxes of books, a reader's delight,",delight,right,delight,True,"Stacked high on the shelf, each title just right.","Stacked high on the shelf, each title just right.",78
"Boxes of books, a reader's delight,",delight,bright,delight,True,"Stacked with stories, both dark and bright.","Stacked with stories, both dark and bright.",79
"Boxes of books, a reader's delight,",delight,piles,delight,False,Strewn across the floor in dusty piles.,Strewn across the floor in dusty piles.,80
"Boxes of books, a reader's delight,",delight,shine,delight,False,Stacked high with stories that shimmer and shine.,Stacked high with stories that shimmer and shine.,81
"Boxes of books, a reader's delight,",delight,light,delight,True,"Stacks in the corner, just begging the light.","Stacks in the corner, just begging the light.",82
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacked with care, from top to sight.","Stacked with care, from top to sight.",83
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacked on the shelves, they’re all in sight.","Stacked on the shelves, they’re all in sight.",84
"Boxes of books, a reader's delight,",delight,bright,delight,True,"Stacked on the shelves, they shine so bright.","Stacked on the shelves, they shine so bright.",85
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high with stories from day to night.,Stacked high with stories from day to night.,86
"Boxes of books, a reader's delight,",delight,sight,delight,True,A treasure trove hidden from sight.,A treasure trove hidden from sight.,87
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high with stories from day to night.,Stacked high with stories from day to night.,88
"Boxes of books, a reader's delight,",delight,write,delight,True,"Stacked high with stories, both right and write.","Stacked high with stories, both right and write.",89
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high with stories from day to night.,Stacked high with stories from day to night.,90
"Boxes of books, a reader's delight,",delight,bottom,delight,False,"Stacked with care, from top to bottom.","Stacked with care, from top to bottom.",91
"Boxes of books, a reader's delight,",delight,light,delight,True,"Each story a treasure, a beacon of light.","Each story a treasure, a beacon of light.",92
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high with stories that burn through the night.,Stacked high with stories that burn through the night.,93
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked with stories from day to night.,Stacked with stories from day to night.,94
"Boxes of books, a reader's delight,",delight,night,delight,True,"Stacked high with stories, both day and night.","Stacked high with stories, both day and night.",95
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high with stories from day to night.,Stacked high with stories from day to night.,96
"Boxes of books, a reader's delight,",delight,fight,delight,True,"Stacked high in the corner, they’re a treasure to fight.","Stacked high in the corner, they’re a treasure to fight.",97
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high with stories from day to night.,Stacked high with stories from day to night.,98
"Boxes of books, a reader's delight,",delight,bright,delight,True,Each page turning bright.,Each page turning bright.,99
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked high with stories, both new and old.","Stacked high with stories, both new and old.",0
"Boxes of books, a reader's joy,",joy,glow,joy,False,Stacked high with stories that make the heart glow.,Stacked high with stories that make the heart glow.,1
"Boxes of books, a reader's joy,",joy,deploy,joy,True,Stacked high with tales to deploy.,Stacked high with tales to deploy.,2
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked high with stories, both new and old.","Stacked high with stories, both new and old.",3
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked high with stories, both new and old.","Stacked high with stories, both new and old.",4
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks in the corner, a storyteller's toy.","Stacks in the corner, a storyteller's toy.",5
"Boxes of books, a reader's joy,",joy,glow,joy,False,Stacked high with tales that make you glow.,Stacked high with tales that make you glow.,6
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacked high and deep, a story’s toy.","Stacked high and deep, a story’s toy.",7
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked high with stories, both new and old.","Stacked high with stories, both new and old.",8
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Each page a treasure, each line a toy.","Each page a treasure, each line a toy.",9
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with tales that history employ.,Stacked high with tales that history employ.,10
"Boxes of books, a reader's joy,",joy,employed,joy,False,"Stacked high with stories, both new and employed.","Stacked high with stories, both new and employed.",11
"Boxes of books, a reader's joy,",joy,deploy,joy,True,"Each story a treasure, from beginning to deploy.","Each story a treasure, from beginning to deploy.",12
"Boxes of books, a reader's joy,",joy,yore,joy,False,Stacked high and filled with stories of yore.,Stacked high and filled with stories of yore.,13
"Boxes of books, a reader's joy,",joy,overflow,joy,False,"Stacked high and deep, they overflow.","Stacked high and deep, they overflow.",14
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacked high and deep, a treasure to employ.","Stacked high and deep, a treasure to employ.",15
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacked high and old, a toil or a toy?","Stacked high and old, a toil or a toy?",16
"Boxes of books, a reader's joy,",joy,yore,joy,False,Stacked high and filled with stories of yore.,Stacked high and filled with stories of yore.,17
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks in the corner, a library's toy.","Stacks in the corner, a library's toy.",18
"Boxes of books, a reader's joy,",joy,glow,joy,False,Stacked high with stories that make the heart glow.,Stacked high with stories that make the heart glow.,19
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked high with stories, both new and old.","Stacked high with stories, both new and old.",20
"Boxes of books, a reader's joy,",joy,cloy,joy,True,"Stacked high and deep, they never cloy.","Stacked high and deep, they never cloy.",21
"Boxes of books, a reader's joy,",joy,high,joy,False,Stacked with stories that lift you high.,Stacked with stories that lift you high.,22
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked with stories, both new and old.","Stacked with stories, both new and old.",23
"Boxes of books, a reader's joy,",joy,stories,joy,False,Stacked high and filled with stories.,Stacked high and filled with stories.,24
"Boxes of books, a reader's joy,",joy,yore,joy,False,Stacked high and filled with stories of yore.,Stacked high and filled with stories of yore.,25
"Boxes of books, a reader's joy,",joy,glow,joy,False,Stacked with stories that make the heart glow.,Stacked with stories that make the heart glow.,26
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high and filled with stories to employ.,Stacked high and filled with stories to employ.,27
"Boxes of books, a reader's joy,",joy,employed,joy,False,"Stacked high with stories, both new and employed.","Stacked high with stories, both new and employed.",28
"Boxes of books, a reader's joy,",joy,employed,joy,False,"Each tale a treasure, thoughts employed.","Each tale a treasure, thoughts employed.",29
"Boxes of books, a reader's joy,",joy,toy,joy,True,Stacked high and filled with history's toy.,Stacked high and filled with history's toy.,30
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked with stories, both new and old.","Stacked with stories, both new and old.",31
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacked high and low, a bibliophile's toy.","Stacked high and low, a bibliophile's toy.",32
"Boxes of books, a reader's joy,",joy,coy,joy,True,Stacked with stories that make us coy.,Stacked with stories that make us coy.,33
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories to employ.,Stacked high with stories to employ.,34
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories to employ.,Stacked high with stories to employ.,35
"Boxes of books, a reader's joy,",joy,deploy,joy,True,Stacked with stories to deploy.,Stacked with stories to deploy.,36
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked high with stories, both new and old.","Stacked high with stories, both new and old.",37
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked high with stories, both new and old.","Stacked high with stories, both new and old.",38
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with tales that make the heart employ.,Stacked high with tales that make the heart employ.,39
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacked high and low, a storyteller's toy.","Stacked high and low, a storyteller's toy.",40
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Each page a world, each word a toy.","Each page a world, each word a toy.",41
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacked high with stories, both new and employ.","Stacked high with stories, both new and employ.",42
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacked high with stories, a treasure to employ.","Stacked high with stories, a treasure to employ.",43
"Boxes of books, a reader's joy,",joy,toy,joy,True,Stacked high and filled with history's toy.,Stacked high and filled with history's toy.,44
"Boxes of books, a reader's joy,",joy,cloy,joy,True,"Stacked high and deep, they never cloy.","Stacked high and deep, they never cloy.",45
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks in the corner, a library's toy.","Stacks in the corner, a library's toy.",46
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Each page a treasure, each story a toy.","Each page a treasure, each story a toy.",47
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories to employ.,Stacked high with stories to employ.,48
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked with stories that make the heart employ.,Stacked with stories that make the heart employ.,49
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Each volume a world, a sweet employ.","Each volume a world, a sweet employ.",50
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacked high and low, a boundless employ.","Stacked high and low, a boundless employ.",51
"Boxes of books, a reader's joy,",joy,sploy,joy,False,"Stacks in the corner, a library’sploy.","Stacks in the corner, a library’sploy.",52
"Boxes of books, a reader's joy,",joy,glow,joy,False,Piles on the floor by the fireplace's glow.,Piles on the floor by the fireplace's glow.,53
"Boxes of books, a reader's joy,",joy,yore,joy,False,Stacked high and filled with stories of yore.,Stacked high and filled with stories of yore.,54
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories to employ.,Stacked high with stories to employ.,55
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked high with stories, both new and old.","Stacked high with stories, both new and old.",56
"Boxes of books, a reader's joy,",joy,coy,joy,True,"Stacked high and deep, both old and coy.","Stacked high and deep, both old and coy.",57
"Boxes of books, a reader's joy,",joy,employed,joy,False,"Stacked high with stories, both new and employed.","Stacked high with stories, both new and employed.",58
"Boxes of books, a reader's joy,",joy,overflow,joy,False,"Stacked high and deep, they overflow.","Stacked high and deep, they overflow.",59
"Boxes of books, a reader's joy,",joy,overflow,joy,False,Stacked high with stories that overflow.,Stacked high with stories that overflow.,60
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacked high and low, a storyteller’s toy.","Stacked high and low, a storyteller’s toy.",61
"Boxes of books, a reader's joy,",joy,employed,joy,False,Stacked with stories that make us employed.,Stacked with stories that make us employed.,62
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories that make the heart employ.,Stacked high with stories that make the heart employ.,63
"Boxes of books, a reader's joy,",joy,toy,joy,True,Stacked high and filled with history's toy.,Stacked high and filled with history's toy.,64
"Boxes of books, a reader's joy,",joy,decoy,joy,True,"Stacks in the corner, a tidy decoy.","Stacks in the corner, a tidy decoy.",65
"Boxes of books, a reader's joy,",joy,floor,joy,False,"Piled high and deep, they fill the floor.","Piled high and deep, they fill the floor.",66
"Boxes of books, a reader's joy,",joy,employed,joy,False,Stacked on shelves where dreams employed.,Stacked on shelves where dreams employed.,67
"Boxes of books, a reader's joy,",joy,toy,joy,True,Stacked high and full of history's toy.,Stacked high and full of history's toy.,68
"Boxes of books, a reader's joy,",joy,hope,joy,False,Stacked high and filled with hope.,Stacked high and filled with hope.,69
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories that make hearts employ.,Stacked high with stories that make hearts employ.,70
"Boxes of books, a reader's joy,",joy,boy,joy,True,"Stacked on the shelf, they bring a boy.","Stacked on the shelf, they bring a boy.",71
"Boxes of books, a reader's joy,",joy,employed,joy,False,"Stacked high with stories, both new and employed.","Stacked high with stories, both new and employed.",72
"Boxes of books, a reader's joy,",joy,thought,joy,False,"Each volume a treasure, a lighthouse of thought.","Each volume a treasure, a lighthouse of thought.",73
"Boxes of books, a reader's joy,",joy,deployed,joy,False,"Stacks in the corner, stories deployed.","Stacks in the corner, stories deployed.",74
"Boxes of books, a reader's joy,",joy,'why',joy,False,"Stacked high and old, they tell the 'why'.","Stacked high and old, they tell the 'why'.",75
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacked high and deep, a storyteller’s toy.","Stacked high and deep, a storyteller’s toy.",76
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked with stories, both new and old.","Stacked with stories, both new and old.",77
"Boxes of books, a reader's joy,",joy,world,joy,False,Each volume a door to a different world.,Each volume a door to a different world.,78
"Boxes of books, a reader's joy,",joy,deploy,joy,True,Stacked high with stories to deploy.,Stacked high with stories to deploy.,79
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacked high with stories, both new and employ.","Stacked high with stories, both new and employ.",80
"Boxes of books, a reader's joy,",joy,toy,joy,True,Stacked high and filled with history’s toy.,Stacked high and filled with history’s toy.,81
"Boxes of books, a reader's joy,",joy,overflow,joy,False,"Stacked high and deep, they overflow.","Stacked high and deep, they overflow.",82
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories to employ.,Stacked high with stories to employ.,83
"Boxes of books, a reader's joy,",joy,employed,joy,False,"Stacked high with stories, both new and employed.","Stacked high with stories, both new and employed.",84
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked on the shelf, they never get old.","Stacked on the shelf, they never get old.",85
"Boxes of books, a reader's joy,",joy,coy,joy,True,Stacked high with tales that make you coy.,Stacked high with tales that make you coy.,86
"Boxes of books, a reader's joy,",joy,deploy,joy,True,Stacked with stories to deploy.,Stacked with stories to deploy.,87
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked high with stories, both new and old.","Stacked high with stories, both new and old.",88
"Boxes of books, a reader's joy,",joy,truth,joy,False,"Stacked high and old, they tell the truth.","Stacked high and old, they tell the truth.",89
"Boxes of books, a reader's joy,",joy,glow,joy,False,Stacked high with tales that make you glow.,Stacked high with tales that make you glow.,90
"Boxes of books, a reader's joy,",joy,employed,joy,False,"Stacked high with stories, both new and employed.","Stacked high with stories, both new and employed.",91
"Boxes of books, a reader's joy,",joy,overflow,joy,False,Stacked high with stories that overflow.,Stacked high with stories that overflow.,92
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked high with stories, both new and old.","Stacked high with stories, both new and old.",93
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked high with stories, both new and old.","Stacked high with stories, both new and old.",94
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacked high with stories, both new and employ.","Stacked high with stories, both new and employ.",95
"Boxes of books, a reader's joy,",joy,aloft,joy,False,Stacked high with stories that set the soul aloft.,Stacked high with stories that set the soul aloft.,96
"Boxes of books, a reader's joy,",joy,deploy,joy,True,Stacked high with stories to deploy.,Stacked high with stories to deploy.,97
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories to employ.,Stacked high with stories to employ.,98
"Boxes of books, a reader's joy,",joy,ago,joy,False,Stacked with stories from long ago.,Stacked with stories from long ago.,99
"Boxes of books, a reader's habit,",habit,habit,habit,False,"Stacked without care, a scholar's habit.","Stacked without care, a scholar's habit.",0
"Boxes of books, a reader's habit,",habit,wit,habit,False,Stacked with the bits that fuel the wit.,Stacked with the bits that fuel the wit.,1
"Boxes of books, a reader's habit,",habit,habit,habit,False,"Stacked with stories, both habit and habit.","Stacked with stories, both habit and habit.",2
"Boxes of books, a reader's habit,",habit,habit,habit,False,"Stacks in the corner, a cozy habit.","Stacks in the corner, a cozy habit.",3
"Boxes of books, a reader's habit,",habit,cabbit,habit,False,"Stack 'em with care, a scholar's cabbit.","Stack 'em with care, a scholar's cabbit.",4
"Boxes of books, a reader's habit,",habit,fit,habit,False,"Stacks in the corner, a lover’s fit.","Stacks in the corner, a lover’s fit.",5
"Boxes of books, a reader's habit,",habit,habit,habit,False,Stacked with the wisdom of a writer's habit.,Stacked with the wisdom of a writer's habit.,6
"Boxes of books, a reader's habit,",habit,habit,habit,False,"Stacked with care, a scholar's habit.","Stacked with care, a scholar's habit.",7
"Boxes of books, a reader's habit,",habit,habit,habit,False,Stacked with the thrill of a library's habit.,Stacked with the thrill of a library's habit.,8
"Boxes of books, a reader's habit,",habit,habit,habit,False,"Stacked high with stories, a scholar's habit.","Stacked high with stories, a scholar's habit.",9
"Boxes of books, a reader's habit,",habit,habit,habit,False,Stacked with the stories that habit.,Stacked with the stories that habit.,10
"Boxes of books, a reader's habit,",habit,knit,habit,False,Stacked with the stories that habit has knit.,Stacked with the stories that habit has knit.,11
"Boxes of books, a reader's habit,",habit,habit,habit,False,"Stack 'em with care, or let them collapse with a habit.","Stack 'em with care, or let them collapse with a habit.",12
"Boxes of books, a reader's habit,",habit,heart,habit,False,Stacked with the wisdom that fills the heart.,Stacked with the wisdom that fills the heart.,13
"Boxes of books, a reader's habit,",habit,wit,habit,False,Stacked with the bits of a well-read wit.,Stacked with the bits of a well-read wit.,14
"Boxes of books, a reader's habit,",habit,'em,habit,False,"Stack 'em high, let the stories lift 'em.","Stack 'em high, let the stories lift 'em.",15
"Boxes of books, a reader's habit,",habit,collapse,habit,False,"stack 'em with care, or risk a collapse.","stack 'em with care, or risk a collapse.",16
"Boxes of books, a reader's habit,",habit,given,habit,False,Stacked with the stories that habit has given.,Stacked with the stories that habit has given.,17
"Boxes of books, a reader's habit,",habit,wit,habit,False,Stacked with the bits that make sense of the wit.,Stacked with the bits that make sense of the wit.,18
"Boxes of books, a reader's habit,",habit,brings,habit,False,Stacked with the stories that habit brings.,Stacked with the stories that habit brings.,19
"Boxes of books, a reader's habit,",habit,habit,habit,False,Stacked with the bits of a scribbler’s habit.,Stacked with the bits of a scribbler’s habit.,20
"Boxes of books, a reader's habit,",habit,gift,habit,False,"Stacked high with stories, a quiet gift.","Stacked high with stories, a quiet gift.",21
"Boxes of books, a reader's habit,",habit,yet,habit,False,"Stack 'em with care, and read them yet.","Stack 'em with care, and read them yet.",22
"Boxes of books, a reader's habit,",habit,habit,habit,False,Stacked with the stories that make life habit.,Stacked with the stories that make life habit.,23
"Boxes of books, a reader's habit,",habit,multiply,habit,False,"Stacked without care, they multiply.","Stacked without care, they multiply.",24
"Boxes of books, a reader's habit,",habit,habit,habit,False,"Stacks in the corner, a scholar's habit.","Stacks in the corner, a scholar's habit.",25
"Boxes of books, a reader's habit,",habit,gift,habit,False,"Stacked high with stories, a scholar’s gift.","Stacked high with stories, a scholar’s gift.",26
