first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,sample_idx
"Boxes of books, a reader's delight,",delight,retreat,delight,False,"Stacks in the corners, a cozy retreat.","Stacks in the corners, a cozy retreat.",29
"Boxes of books, a reader's delight,",delight,retreat,delight,False,"Stacks in the corners, a cozy retreat.","Stacks in the corners, a cozy retreat.",30
"Boxes of books, a reader's delight,",delight,bright,delight,True,"Stacked high on shelves, they shine so bright.","Stacked high on shelves, they shine so bright.",31
"Boxes of books, a reader's delight,",delight,retreat,delight,False,"Stacks in the corner, a cozy retreat.","Stacks in the corner, a cozy retreat.",32
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",33
"Boxes of books, a reader's delight,",delight,night,delight,True,"Stacks in the corner, a cozy night.","Stacks in the corner, a cozy night.",34
"Boxes of books, a reader's delight,",delight,ignite,delight,True,Stacked high with stories to ignite.,Stacked high with stories to ignite.,35
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high in the cozy night.,Stacked high in the cozy night.,36
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",37
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corners, a cozy sight.","Stacks in the corners, a cozy sight.",38
"Boxes of books, a reader's delight,",delight,ignite,delight,True,Stacked high with stories to ignite.,Stacked high with stories to ignite.,39
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",40
"Boxes of books, a reader's delight,",delight,delight,delight,False,"Stacks in the hall, a scholar's delight.","Stacks in the hall, a scholar's delight.",41
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in the cozy light.,Stacked high in the cozy light.,42
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",43
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",44
"Boxes of books, a reader's delight,",delight,retreat,delight,False,"Stacks in the corner, a cozy retreat.","Stacks in the corner, a cozy retreat.",45
"Boxes of books, a reader's delight,",delight,delight,delight,False,"Stacks in the hall, a scholar's delight.","Stacks in the hall, a scholar's delight.",46
"Boxes of books, a reader's delight,",delight,bright,delight,True,Stacked high with stories that shine bright.,Stacked high with stories that shine bright.,47
"Boxes of books, a reader's delight,",delight,night,delight,True,"Stacks in the corner, a cozy night.","Stacks in the corner, a cozy night.",48
"Boxes of books, a reader's delight,",delight,respite,delight,False,"Stacks in the corner, a cozy respite.","Stacks in the corner, a cozy respite.",49
"Boxes of books, a reader's delight,",delight,ignite,delight,True,Stacked high with stories to ignite.,Stacked high with stories to ignite.,50
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high with stories to brighten the night.,Stacked high with stories to brighten the night.,51
"Boxes of books, a reader's delight,",delight,bright,delight,True,"Stacked high on shelves, they shine so bright.","Stacked high on shelves, they shine so bright.",52
"Boxes of books, a reader's delight,",delight,night,delight,True,"Stacks in the corner, a cozy night.","Stacks in the corner, a cozy night.",53
"Boxes of books, a reader's delight,",delight,bright,delight,True,Stacked high with stories to keep you bright.,Stacked high with stories to keep you bright.,54
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",55
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks on the floor, a cozy sight.","Stacks on the floor, a cozy sight.",56
"Boxes of books, a reader's delight,",delight,bright,delight,True,Shelves full of stories that shine so bright.,Shelves full of stories that shine so bright.,57
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",58
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",59
"Boxes of books, a reader's delight,",delight,explore,delight,False,Stacked high with stories to explore.,Stacked high with stories to explore.,60
"Boxes of books, a reader's delight,",delight,retreat,delight,False,"Stacks in the corner, a cozy retreat.","Stacks in the corner, a cozy retreat.",61
"Boxes of books, a reader's delight,",delight,light,delight,True,"Stacked high on shelves, they gleam in the light.","Stacked high on shelves, they gleam in the light.",62
"Boxes of books, a reader's delight,",delight,explore,delight,False,Stacked high with stories to explore.,Stacked high with stories to explore.,63
"Boxes of books, a reader's delight,",delight,bright,delight,True,Stacked high with stories to make the night bright.,Stacked high with stories to make the night bright.,64
"Boxes of books, a reader's delight,",delight,bright,delight,True,"Stacked high on shelves, they shine so bright.","Stacked high on shelves, they shine so bright.",65
"Boxes of books, a reader's delight,",delight,respite,delight,False,"Stacks in the corner, a cozy respite.","Stacks in the corner, a cozy respite.",66
"Boxes of books, a reader's delight,",delight,ignite,delight,True,Stacked high with stories to ignite.,Stacked high with stories to ignite.,67
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high with stories to brighten the night.,Stacked high with stories to brighten the night.,68
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks on the shelf, a cozy sight.","Stacks on the shelf, a cozy sight.",69
"Boxes of books, a reader's delight,",delight,respite,delight,False,"Stacks in the corner, a cozy respite.","Stacks in the corner, a cozy respite.",70
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",71
"Boxes of books, a reader's delight,",delight,bright,delight,True,Stacked high with stories that shine bright.,Stacked high with stories that shine bright.,72
"Boxes of books, a reader's delight,",delight,light,delight,True,"Stacked high on shelves, they shine in the light.","Stacked high on shelves, they shine in the light.",73
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",74
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high with stories to bring joy and light.,Stacked high with stories to bring joy and light.,75
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high with stories to brighten the night.,Stacked high with stories to brighten the night.,76
"Boxes of books, a reader's delight,",delight,ignite,delight,True,Stacked high with stories to ignite.,Stacked high with stories to ignite.,77
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",78
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",79
"Boxes of books, a reader's delight,",delight,ignite,delight,True,Stacked high with stories to ignite.,Stacked high with stories to ignite.,80
"Boxes of books, a reader's delight,",delight,ignite,delight,True,Stacked high with stories to ignite.,Stacked high with stories to ignite.,81
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high with stories to bring joy and light.,Stacked high with stories to bring joy and light.,82
"Boxes of books, a reader's delight,",delight,write,delight,True,"Stacked high on shelves, a treasure to write.","Stacked high on shelves, a treasure to write.",83
"Boxes of books, a reader's delight,",delight,explore,delight,False,Stacked high with stories to explore.,Stacked high with stories to explore.,84
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high with stories to bring joy and light.,Stacked high with stories to bring joy and light.,85
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high in the corner of night.,Stacked high in the corner of night.,86
"Boxes of books, a reader's delight,",delight,joy,delight,False,Stacked high with stories to bring joy.,Stacked high with stories to bring joy.,87
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",88
"Boxes of books, a reader's delight,",delight,ignite,delight,True,Stacked high with stories to ignite.,Stacked high with stories to ignite.,89
"Boxes of books, a reader's delight,",delight,bright,delight,True,Stacked high with stories to keep you bright.,Stacked high with stories to keep you bright.,90
"Boxes of books, a reader's delight,",delight,flight,delight,True,Stacked high with stories to take flight.,Stacked high with stories to take flight.,91
"Boxes of books, a reader's delight,",delight,sight,delight,True,Stacked high with stories to keep you in sight.,Stacked high with stories to keep you in sight.,92
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corners, a cozy sight.","Stacks in the corners, a cozy sight.",93
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacked high on shelves, a cozy sight.","Stacked high on shelves, a cozy sight.",94
"Boxes of books, a reader's delight,",delight,light,delight,True,"Stacked high on shelves, they shine in the light.","Stacked high on shelves, they shine in the light.",95
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",96
"Boxes of books, a reader's delight,",delight,bright,delight,True,Stacked high with stories that shine bright.,Stacked high with stories that shine bright.,97
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks on the shelf, a cozy sight.","Stacks on the shelf, a cozy sight.",98
"Boxes of books, a reader's delight,",delight,bright,delight,True,"Stacked high on shelves, they shine bright.","Stacked high on shelves, they shine bright.",99
"Boxes of books, a reader's joy,",joy,height,joy,False,"Stacked high, they reach the ceiling's height.","Stacked high, they reach the ceiling's height.",0
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",1
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",2
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",3
"Boxes of books, a reader's joy,",joy,rows,joy,False,Stacked high in cozy rows.,Stacked high in cozy rows.,4
"Boxes of books, a reader's joy,",joy,room,joy,False,Stacked high in the corner of the room.,Stacked high in the corner of the room.,5
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",6
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",7
"Boxes of books, a reader's joy,",joy,toy,joy,True,Stacked high in a cozy toy.,Stacked high in a cozy toy.,8
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacked high on shelves, a treasure to employ.","Stacked high on shelves, a treasure to employ.",9
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",10
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacked high on shelves, a treasure to employ.","Stacked high on shelves, a treasure to employ.",11
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks in the corner, a cozy toy.","Stacks in the corner, a cozy toy.",12
"Boxes of books, a reader's joy,",joy,den,joy,False,Stacked high in a cozy den.,Stacked high in a cozy den.,13
"Boxes of books, a reader's joy,",joy,spoil,joy,False,"Stacked high on shelves, they never spoil.","Stacked high on shelves, they never spoil.",14
"Boxes of books, a reader's joy,",joy,room,joy,False,Stacked high in a cozy room.,Stacked high in a cozy room.,15
"Boxes of books, a reader's joy,",joy,toy,joy,True,Stacked high in a cozy toy.,Stacked high in a cozy toy.,16
"Boxes of books, a reader's joy,",joy,height,joy,False,"Stacked high, they reach the ceiling's height.","Stacked high, they reach the ceiling's height.",17
"Boxes of books, a reader's joy,",joy,nook,joy,False,Stacked high in a cozy nook.,Stacked high in a cozy nook.,18
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks on the shelf, a cozy toy.","Stacks on the shelf, a cozy toy.",19
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",20
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks of stories, a boundless toy.","Stacks of stories, a boundless toy.",21
"Boxes of books, a reader's joy,",joy,toy,joy,True,Stacked high in a cozy toy.,Stacked high in a cozy toy.,22
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks on the shelf, a cozy toy.","Stacks on the shelf, a cozy toy.",23
"Boxes of books, a reader's joy,",joy,den,joy,False,Stacked high in a cozy den.,Stacked high in a cozy den.,24
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",25
"Boxes of books, a reader's joy,",joy,room,joy,False,Stacked high in a cozy room.,Stacked high in a cozy room.,26
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks in the corner, a cozy toy.","Stacks in the corner, a cozy toy.",27
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks in the corner, a cozy toy.","Stacks in the corner, a cozy toy.",28
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories to employ.,Stacked high with stories to employ.,29
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",30
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories to employ.,Stacked high with stories to employ.,31
"Boxes of books, a reader's joy,",joy,stay,joy,False,"Stacked high in the corner, they'll stay.","Stacked high in the corner, they'll stay.",32
"Boxes of books, a reader's joy,",joy,glow,joy,False,Stacked high in the cozy glow.,Stacked high in the cozy glow.,33
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",34
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks in the corner, a cozy toy.","Stacks in the corner, a cozy toy.",35
"Boxes of books, a reader's joy,",joy,sky,joy,False,"Stacked high, they reach for the sky.","Stacked high, they reach for the sky.",36
"Boxes of books, a reader's joy,",joy,sky,joy,False,"Stacked high, they reach the sky.","Stacked high, they reach the sky.",37
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacked high in rows, a cozy toy.","Stacked high in rows, a cozy toy.",38
"Boxes of books, a reader's joy,",joy,toy,joy,True,Stacked high in a cozy toy.,Stacked high in a cozy toy.,39
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",40
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",41
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",42
"Boxes of books, a reader's joy,",joy,den,joy,False,Stacked high in a cozy den.,Stacked high in a cozy den.,43
"Boxes of books, a reader's joy,",joy,employed,joy,False,Stacks of stories waiting to be employed.,Stacks of stories waiting to be employed.,44
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories to employ.,Stacked high with stories to employ.,45
"Boxes of books, a reader's joy,",joy,boy,joy,True,Stacked high in the cozy boy.,Stacked high in the cozy boy.,46
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",47
"Boxes of books, a reader's joy,",joy,toy,joy,True,Stacked high in a cozy toy.,Stacked high in a cozy toy.,48
"Boxes of books, a reader's joy,",joy,height,joy,False,"Stacked high, they reach the ceiling's height.","Stacked high, they reach the ceiling's height.",49
"Boxes of books, a reader's joy,",joy,den,joy,False,Stacked high in a cozy den.,Stacked high in a cozy den.,50
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",51
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",52
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked high on shelves, they'll never grow old.","Stacked high on shelves, they'll never grow old.",53
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",54
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",55
"Boxes of books, a reader's joy,",joy,toy,joy,True,Stacked high in a cozy toy.,Stacked high in a cozy toy.,56
"Boxes of books, a reader's joy,",joy,delight,joy,False,"Stacks in the corner, a cozy delight.","Stacks in the corner, a cozy delight.",57
"Boxes of books, a reader's joy,",joy,stay,joy,False,"Stacked high in the corner, they'll stay.","Stacked high in the corner, they'll stay.",58
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacks of stories waiting to employ.,Stacks of stories waiting to employ.,59
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks in the corner, a cozy toy.","Stacks in the corner, a cozy toy.",60
"Boxes of books, a reader's joy,",joy,enjoy,joy,True,Stacks of stories to enjoy.,Stacks of stories to enjoy.,61
"Boxes of books, a reader's joy,",joy,trove,joy,False,"Stacks of stories, a treasure trove.","Stacks of stories, a treasure trove.",62
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks in the corner, a cozy toy.","Stacks in the corner, a cozy toy.",63
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks on the floor, a cozy toy.","Stacks on the floor, a cozy toy.",64
"Boxes of books, a reader's joy,",joy,toy,joy,True,Stacked high in a cozy toy.,Stacked high in a cozy toy.,65
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",66
"Boxes of books, a reader's joy,",joy,toy,joy,True,Stacked high in a cozy toy.,Stacked high in a cozy toy.,67
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks in the hall, a towering toy.","Stacks in the hall, a towering toy.",68
"Boxes of books, a reader's joy,",joy,room,joy,False,Stacked high in a cozy room.,Stacked high in a cozy room.,69
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",70
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks on the shelf, a cozy toy.","Stacks on the shelf, a cozy toy.",71
"Boxes of books, a reader's joy,",joy,glow,joy,False,Stacked high in the quiet glow.,Stacked high in the quiet glow.,72
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories to employ.,Stacked high with stories to employ.,73
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories to employ.,Stacked high with stories to employ.,74
"Boxes of books, a reader's joy,",joy,toy,joy,True,Stacked high in a cozy toy.,Stacked high in a cozy toy.,75
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",76
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks in the corner, a cozy toy.","Stacks in the corner, a cozy toy.",77
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacked high on shelves, a cozy toy.","Stacked high on shelves, a cozy toy.",78
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories to employ.,Stacked high with stories to employ.,79
"Boxes of books, a reader's joy,",joy,toy,joy,True,Stacked high in a cozy toy.,Stacked high in a cozy toy.,80
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",81
"Boxes of books, a reader's joy,",joy,den,joy,False,Stacked high in a cozy den.,Stacked high in a cozy den.,82
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks of stories, a boundless toy.","Stacks of stories, a boundless toy.",83
"Boxes of books, a reader's joy,",joy,treasure,joy,False,"Stacks of stories, a boundless treasure.","Stacks of stories, a boundless treasure.",84
"Boxes of books, a reader's joy,",joy,deploy,joy,True,Stacks of stories waiting to deploy.,Stacks of stories waiting to deploy.,85
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories to employ.,Stacked high with stories to employ.,86
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks in the corner, a cozy toy.","Stacks in the corner, a cozy toy.",87
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacked high on the shelf, a cozy toy.","Stacked high on the shelf, a cozy toy.",88
"Boxes of books, a reader's joy,",joy,enjoy,joy,True,Stacks of stories to enjoy.,Stacks of stories to enjoy.,89
"Boxes of books, a reader's joy,",joy,toy,joy,True,"Stacks on the shelf, a lifelong toy.","Stacks on the shelf, a lifelong toy.",90
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",91
"Boxes of books, a reader's joy,",joy,old,joy,False,"Stacked high in rows, they never grow old.","Stacked high in rows, they never grow old.",92
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacks of stories, a treasure to employ.","Stacks of stories, a treasure to employ.",93
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories to employ.,Stacked high with stories to employ.,94
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories to employ.,Stacked high with stories to employ.,95
"Boxes of books, a reader's joy,",joy,delight,joy,False,"Stacks of stories, a mind's delight.","Stacks of stories, a mind's delight.",96
"Boxes of books, a reader's joy,",joy,employ,joy,True,"Stacked high on shelves, a treasure to employ.","Stacked high on shelves, a treasure to employ.",97
"Boxes of books, a reader's joy,",joy,employ,joy,True,Stacked high with stories to employ.,Stacked high with stories to employ.,98
"Boxes of books, a reader's joy,",joy,room,joy,False,Stacked high in a cozy room.,Stacked high in a cozy room.,99
"Boxes of books, a reader's habit,",habit,live,habit,False,Stacked high with stories yet to live.,Stacked high with stories yet to live.,0
"Boxes of books, a reader's habit,",habit,grab,habit,False,Stacked high with stories to grab.,Stacked high with stories to grab.,1
"Boxes of books, a reader's habit,",habit,lived,habit,False,Stacked high with stories yet to be lived.,Stacked high with stories yet to be lived.,2
"Boxes of books, a reader's habit,",habit,fit,habit,False,Stacked high with stories to fit.,Stacked high with stories to fit.,3
"Boxes of books, a reader's habit,",habit,grip,habit,False,Stacked high in the attic's grip.,Stacked high in the attic's grip.,4
"Boxes of books, a reader's habit,",habit,habit,habit,False,Stacked high in the corners of habit.,Stacked high in the corners of habit.,5
"Boxes of books, a reader's habit,",habit,grab,habit,False,Stacked high with stories to grab.,Stacked high with stories to grab.,6
"Boxes of books, a reader's habit,",habit,delight,habit,False,A treasure trove for the mind's delight.,A treasure trove for the mind's delight.,7
"Boxes of books, a reader's habit,",habit,lived,habit,False,Stacked high with stories yet to be lived.,Stacked high with stories yet to be lived.,8
"Boxes of books, a reader's habit,",habit,grab,habit,False,Stacked high with stories to grab.,Stacked high with stories to grab.,9
"Boxes of books, a reader's habit,",habit,habit,habit,False,"Stacked high in the corners, a quiet habit.","Stacked high in the corners, a quiet habit.",10
"Boxes of books, a reader's habit,",habit,fit,habit,False,A treasure trove for the mind to fit.,A treasure trove for the mind to fit.,11
"Boxes of books, a reader's habit,",habit,grab,habit,False,Stacked high with stories to grab.,Stacked high with stories to grab.,12
"Boxes of books, a reader's habit,",habit,live,habit,False,A treasure trove where stories live.,A treasure trove where stories live.,13
"Boxes of books, a reader's habit,",habit,lived,habit,False,Stacked high with stories yet to be lived.,Stacked high with stories yet to be lived.,14
"Boxes of books, a reader's habit,",habit,visit,habit,False,A treasure trove for the mind to visit.,A treasure trove for the mind to visit.,15
"Boxes of books, a reader's habit,",habit,fit,habit,False,Stacked high with stories to fit.,Stacked high with stories to fit.,16
"Boxes of books, a reader's habit,",habit,grab,habit,False,Stacked high with stories to grab.,Stacked high with stories to grab.,17
"Boxes of books, a reader's habit,",habit,grab,habit,False,Stacked high with stories to grab.,Stacked high with stories to grab.,18
"Boxes of books, a reader's habit,",habit,live,habit,False,Stacked high with stories yet to live.,Stacked high with stories yet to live.,19
"Boxes of books, a reader's habit,",habit,grab,habit,False,Stacked high with stories to grab.,Stacked high with stories to grab.,20
"Boxes of books, a reader's habit,",habit,grab,habit,False,Stacked high with stories to grab.,Stacked high with stories to grab.,21
"Boxes of books, a reader's habit,",habit,habit,habit,False,A treasure trove for the mind's quick habit.,A treasure trove for the mind's quick habit.,22
"Boxes of books, a reader's habit,",habit,habit,habit,False,"Stacked high in the corner, a quiet habit.","Stacked high in the corner, a quiet habit.",23
"Boxes of books, a reader's habit,",habit,pit,habit,False,Stacked high with stories to fill the pit.,Stacked high with stories to fill the pit.,24
"Boxes of books, a reader's habit,",habit,lived,habit,False,Stacked high with stories yet to be lived.,Stacked high with stories yet to be lived.,25
"Boxes of books, a reader's habit,",habit,grab,habit,False,Stacked high with stories to grab.,Stacked high with stories to grab.,26
