Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,IC_Index,Prob_Article,Prob_Profession
actor,an,a,False,actor,True,44,0.8998188376426697,0.9915651082992554
writer,a,a,True,writer,True,77,0.9578140377998352,0.7579205632209778
poet,a,a,True,poet,True,33,0.940197229385376,0.9072780013084412
novelist,a,a,True,novelist,True,103,0.9734712243080139,0.5297852158546448
editor,an,a,False,editor,True,5,0.9737062454223633,0.9209495186805725
translator,a,a,True,translator,True,93,0.9662861227989197,0.918448269367218
bartender,a,a,True,**,False,68,0.9928290247917175,0.31405603885650635
waiter,a,a,True,chef,False,15,0.980854868888855,0.8310275077819824
barber,a,a,True,stylist,False,48,0.9073368906974792,0.9043929576873779
tailor,a,a,True,designer,False,10,0.9386981129646301,0.47338369488716125
florist,a,a,True,flor,True,70,0.9590290784835815,0.9689925312995911
jeweler,a,a,True,crafts,False,37,0.9545148015022278,0.705478310585022
watchmaker,a,a,True,**,False,106,0.9085542559623718,0.27154216170310974
locksmith,a,a,True,locksmith,True,80,0.9529317617416382,0.41044414043426514
welder,a,a,True,weld,True,79,0.9740705490112305,0.234776571393013
mason,a,a,True,**,False,46,0.7717695832252502,0.30478978157043457
roofer,a,a,True,carp,False,73,0.9506039023399353,0.501350462436676
painter,a,a,True,painter,True,24,0.937966525554657,0.7682220935821533
gardener,a,a,True,gard,True,90,0.9689841270446777,0.9063389897346497
farmer,a,a,True,farmer,True,8,0.918445885181427,0.8996059894561768
fisherman,a,a,True,fish,True,5,0.9877134561538696,0.7140092849731445
sailor,a,a,True,captain,False,84,0.9843546152114868,0.34277668595314026
trucker,a,a,True,truck,True,29,0.9565696716308594,0.7733656167984009
conductor,a,a,True,conductor,True,98,0.7480581998825073,0.896941065788269
judge,a,a,True,lawyer,False,37,0.9580371975898743,0.6678282618522644
detective,a,a,True,detective,True,10,0.9242567420005798,0.8067497611045837
paramedic,a,a,True,**,False,29,0.9018746018409729,0.4064926207065582
dispatcher,a,a,True,nurse,False,12,0.9492208361625671,0.5206493139266968
counselor,a,a,True,mentor,False,48,0.9040330052375793,0.5874647498130798
therapist,a,a,True,doctor,False,35,0.9603514075279236,0.24925807118415833
nutritionist,a,a,True,nutrition,True,58,0.9886934161186218,0.3946835696697235
trainer,a,a,True,coach,False,81,0.9658023715019226,0.5771089196205139
coach,a,a,True,coach,True,106,0.9284745454788208,0.9341808557510376
referee,a,a,True,sports,False,46,0.9372953772544861,0.4233257472515106
cashier,a,a,True,cashier,True,20,0.9625422954559326,0.48607051372528076
clerk,a,a,True,**,False,47,0.8234743475914001,0.2905240058898926
receptionist,a,a,True,______,False,45,0.9178584218025208,0.1672700047492981
secretary,a,a,True,manager,False,26,0.866467297077179,0.6216013431549072
manager,a,a,True,manager,True,85,0.9427588582038879,0.8058757185935974
supervisor,a,a,True,manager,False,34,0.904208779335022,0.48248833417892456
consultant,a,a,True,**,False,89,0.9551390409469604,0.3189266622066498
analyst,an,a,False,analyst,True,87,0.9728261828422546,0.8369411826133728
auditor,an,a,False,accountant,False,82,0.9590357542037964,0.7850589156150818
banker,a,a,True,financial,False,9,0.9194754362106323,0.49876460433006287
broker,a,a,True,**,False,77,0.971314013004303,0.26204609870910645
realtor,a,a,True,real,True,81,0.9661306142807007,0.9112376570701599
auctioneer,an,a,False,economist,False,21,0.8192559480667114,0.767069935798645
salesperson,a,a,True,salesman,False,68,0.9821034073829651,0.30354994535446167
retailer,a,a,True,**,False,93,0.9381447434425354,0.35387948155403137
wholesaler,a,a,True,business,False,31,0.9342828392982483,0.25256285071372986
inventor,an,a,False,inventor,True,20,0.836872398853302,0.6217687726020813
programmer,a,a,True,programmer,True,59,0.9764727354049683,0.81913822889328
technician,a,a,True,technician,True,48,0.8374284505844116,0.9783347249031067
operator,an,a,False,engineer,False,34,0.8563697338104248,0.9668372869491577
inspector,an,a,False,**,False,81,0.981360673904419,0.4489724636077881
examiner,an,a,False,engineer,False,88,0.9410342574119568,0.30828186869621277
