Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,IC_Index,Prob_Article,Prob_Profession
supervisor,a,a,True,manager,False,34,0.99609375,0.431640625
consultant,a,a,True,consultant,True,89,0.76953125,0.8984375
analyst,an,an,True,analyst,True,87,0.94921875,0.98828125
auditor,an,an,True,accountant,False,82,0.99609375,0.5390625
banker,a,a,True,banker,True,9,0.984375,0.486328125
broker,a,a,True,**,False,77,0.99609375,0.4921875
realtor,a,a,True,real,True,81,1.0,0.83203125
auctioneer,an,an,True,auction,True,21,0.99609375,0.98828125
salesperson,a,a,True,**,False,68,0.9921875,0.60546875
retailer,a,a,True,**,False,93,0.98828125,0.85546875
wholesaler,a,a,True,wholes,True,31,0.99609375,0.8671875
inventor,an,an,True,engineer,False,20,0.99609375,0.3828125
programmer,a,a,True,programmer,True,59,0.9921875,0.75
technician,a,a,True,technician,True,48,0.9765625,0.86328125
operator,an,an,True,operator,True,34,0.921875,0.90234375
inspector,an,an,True,**,False,81,0.93359375,0.46875
examiner,an,an,True,ass,False,88,0.7890625,0.474609375
