Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,IC_Index,Prob_Article,Prob_Profession
dermatologist,a,a,True,dermat,True,28,1.0,0.9999895095825195
psychiatrist,a,a,True,psychiatrist,True,57,1.0,0.609804093837738
radiologist,a,a,True,radi,True,75,0.9967983365058899,0.994274914264679
anesthesiologist,an,an,True,an,True,35,0.9999972581863403,0.9999488592147827
oncologist,an,a,False,onc,True,103,0.9694795608520508,0.9999828338623047
ophthalmologist,an,an,True,o,True,0,1.0,0.9977057576179504
orthopedist,an,an,True,orth,True,97,0.9895050525665283,0.9995526671409607
astronomer,an,an,True,astronom,True,103,1.0,0.9868422150611877
geologist,a,a,True,ge,True,20,1.0,0.9999014139175415
anthropologist,an,an,True,anthrop,True,89,0.9993093013763428,0.9999083280563354
sociologist,a,a,True,soci,True,54,0.9985355138778687,0.9960467219352722
mathematician,a,a,True,mathematic,True,43,1.0,0.9994915723800659
statistician,a,a,True,statistic,True,35,0.9999977350234985,0.9891356229782104
botanist,a,a,True,bot,True,19,0.9999997615814209,0.9999847412109375
zoologist,a,a,True,zo,True,27,0.9039416909217834,0.999764621257782
meteorologist,a,a,True,meteor,True,97,0.9999998807907104,0.999902606010437
archaeologist,an,an,True,archae,True,43,0.9999984502792358,0.9989089965820312
linguist,a,a,True,lingu,True,13,1.0,0.975193440914154
musician,a,a,True,musician,True,11,0.9999988079071045,0.9918186664581299
artist,an,an,True,artist,True,48,0.9999998807907104,0.9975544810295105
sculptor,a,a,True,sculpt,True,12,0.9426453709602356,0.9967472553253174
dancer,a,a,True,dancer,True,45,0.9999994039535522,0.9495196342468262
actor,an,an,True,actor,True,44,1.0,0.998018741607666
writer,a,an,False,writer,True,77,0.987949013710022,0.9600808024406433
poet,a,a,True,poet,True,33,0.9999998807907104,0.9771819710731506
novelist,a,an,False,writer,False,103,0.5920374393463135,0.9631636142730713
editor,an,an,True,editor,True,5,0.9915728569030762,0.9005969762802124
translator,a,a,True,translator,True,93,0.9999998807907104,0.9819954633712769
bartender,a,a,True,bartender,True,68,1.0,0.9990936517715454
waiter,a,a,True,server,False,15,1.0,0.7413385510444641
barber,a,a,True,hair,False,48,1.0,0.4511317312717438
tailor,a,a,True,tailor,True,10,1.0,0.9089576005935669
florist,a,a,True,flor,True,70,1.0,0.9998893737792969
jeweler,a,a,True,jew,True,37,1.0,0.8417160511016846
watchmaker,a,a,True,watch,True,106,1.0,0.8458757996559143
locksmith,a,a,True,locksmith,True,80,1.0,0.9925440549850464
welder,a,a,True,weld,True,79,0.9999997615814209,0.9778866767883301
mason,a,a,True,m,True,46,0.9999996423721313,0.7798529267311096
roofer,a,a,True,ro,True,73,1.0,0.9871009588241577
painter,a,a,True,painter,True,24,0.9999998807907104,0.9974926710128784
gardener,a,a,True,gard,True,90,0.9999997615814209,0.8219853043556213
farmer,a,a,True,farmer,True,8,0.9999986886978149,0.9985985159873962
fisherman,a,a,True,fish,True,5,1.0,0.9975727200508118
sailor,a,a,True,sailor,True,84,1.0,0.9870861172676086
trucker,a,a,True,truck,True,29,1.0,0.9642533659934998
conductor,a,a,True,conductor,True,98,0.9064454436302185,0.9991698265075684
judge,a,a,True,judge,True,37,1.0,0.9958735108375549
detective,a,a,True,detective,True,10,0.9999998807907104,0.9983516931533813
paramedic,a,an,False,param,True,29,0.9997802376747131,0.9907054305076599
dispatcher,a,an,False,param,False,12,0.9900175929069519,0.8533704876899719
counselor,a,a,True,mentor,False,48,0.9999998807907104,0.9997003078460693
therapist,a,a,True,**,False,35,1.0,0.8093456029891968
nutritionist,a,a,True,nutrition,True,58,0.9999997615814209,0.7091511487960815
trainer,a,a,True,trainer,True,81,0.999930739402771,0.8856558203697205
coach,a,a,True,coach,True,106,0.9999997615814209,0.9876641631126404
referee,a,a,True,referee,True,46,0.9999961853027344,0.9974427223205566
cashier,a,a,True,cashier,True,20,1.0,0.9998680353164673
clerk,a,an,False,administrator,False,47,1.0,0.9516109228134155
receptionist,a,a,True,reception,True,45,0.9892235994338989,0.9995772242546082
secretary,a,an,False,clerk,False,26,0.9999998807907104,0.41484951972961426
manager,a,a,True,manager,True,85,0.995636522769928,0.9629027247428894
supervisor,a,a,True,manager,False,34,0.9999310970306396,0.6921497583389282
consultant,a,a,True,consultant,True,89,0.7825973629951477,0.9985612034797668
analyst,an,an,True,analyst,True,87,0.9352023601531982,0.9995406866073608
auditor,an,an,True,accountant,False,82,0.9358400106430054,0.9982790946960449
banker,a,a,True,banker,True,9,1.0,0.9424219727516174
broker,a,a,True,**,False,77,1.0,0.7491823434829712
realtor,a,a,True,real,True,81,0.9999821186065674,0.9990724325180054
auctioneer,an,an,True,auction,True,21,1.0,0.9995482563972473
salesperson,a,a,True,sales,True,68,1.0,0.6267372369766235
retailer,a,a,True,retailer,True,93,1.0,0.825584352016449
wholesaler,a,a,True,wholes,True,31,1.0,0.9443081021308899
inventor,an,an,True,**,False,20,1.0,0.7928873896598816
programmer,a,a,True,programmer,True,59,1.0,0.9903565049171448
technician,a,a,True,technician,True,48,0.997729480266571,0.9937022924423218
operator,an,an,True,**,False,34,0.5860300660133362,0.5416132807731628
inspector,an,an,True,inspector,True,81,0.9993621706962585,0.9804712533950806
examiner,an,an,True,**,False,88,0.9877862930297852,0.5955334305763245
