Prompt,Index,Animal,Gold_Verb,Predicted_Verb,Verb_Correct,Gold_Number,Predicted_Number_Token,Predicted_Number_Int,Number_Correct,Prob_Verb,Prob_Number
"At first there were 2 dogs. Then, 1 went away. Now, there",36,dogs,is,are,False,1,3,3,False,0.990054726600647,0.5085000395774841
"At first there were 3 dogs. Then, 1 went away. Now, there",37,dogs,are,are,True,2,2,2,True,0.9995781779289246,0.9903110265731812
"At first there were 3 dogs. Then, 2 went away. Now, there",38,dogs,is,are,False,1,2,2,False,0.9984521865844727,0.2680390775203705
"At first there were 4 dogs. Then, 1 went away. Now, there",39,dogs,are,are,True,3,3,3,True,0.9999688863754272,0.9661929607391357
"At first there were 4 dogs. Then, 2 went away. Now, there",40,dogs,are,are,True,2,2,2,True,0.9996362924575806,0.7713001370429993
"At first there were 4 dogs. Then, 3 went away. Now, there",41,dogs,is,are,False,1,2,2,False,0.999727189540863,0.24277614057064056
"At first there were 5 dogs. Then, 1 went away. Now, there",42,dogs,are,are,True,4,4,4,True,0.9993970394134521,0.9711721539497375
"At first there were 5 dogs. Then, 2 went away. Now, there",43,dogs,are,are,True,3,3,3,True,0.9991666078567505,0.9587576389312744
"At first there were 5 dogs. Then, 3 went away. Now, there",44,dogs,are,are,True,2,2,2,True,0.9995430707931519,0.2481139600276947
"At first there were 5 dogs. Then, 4 went away. Now, there",45,dogs,is,are,False,1,3,3,False,0.9995878338813782,0.35105249285697937
"At first there were 6 dogs. Then, 1 went away. Now, there",46,dogs,are,are,True,5,5,5,True,0.9997591376304626,0.9885886907577515
"At first there were 6 dogs. Then, 2 went away. Now, there",47,dogs,are,are,True,4,4,4,True,0.9995694756507874,0.8398638367652893
"At first there were 6 dogs. Then, 3 went away. Now, there",48,dogs,are,are,True,3,5,5,False,0.9998006224632263,0.1724230796098709
"At first there were 6 dogs. Then, 4 went away. Now, there",49,dogs,are,are,True,2,2,2,True,0.9999178647994995,0.3377763628959656
"At first there were 6 dogs. Then, 5 went away. Now, there",50,dogs,is,are,False,1,1,1,True,0.9994218349456787,0.24312454462051392
"At first there were 7 dogs. Then, 1 went away. Now, there",51,dogs,are,are,True,6,6,6,True,0.9996204376220703,0.9754562973976135
"At first there were 7 dogs. Then, 2 went away. Now, there",52,dogs,are,are,True,5,5,5,True,0.9996750354766846,0.9812280535697937
"At first there were 7 dogs. Then, 3 went away. Now, there",53,dogs,are,are,True,4,4,4,True,0.9997091889381409,0.6946703791618347
"At first there were 7 dogs. Then, 4 went away. Now, there",54,dogs,are,are,True,3,3,3,True,0.9999746084213257,0.8012915849685669
"At first there were 7 dogs. Then, 5 went away. Now, there",55,dogs,are,are,True,2,2,2,True,0.9999213218688965,0.36209598183631897
"At first there were 7 dogs. Then, 6 went away. Now, there",56,dogs,is,are,False,1,1,1,True,0.999868631362915,0.30557358264923096
"At first there were 8 dogs. Then, 1 went away. Now, there",57,dogs,are,are,True,7,7,7,True,0.9996115565299988,0.8731253147125244
"At first there were 8 dogs. Then, 2 went away. Now, there",58,dogs,are,are,True,6,6,6,True,0.99962317943573,0.8085806965827942
"At first there were 8 dogs. Then, 3 went away. Now, there",59,dogs,are,are,True,5,5,5,True,0.999761164188385,0.7249717712402344
"At first there were 8 dogs. Then, 4 went away. Now, there",60,dogs,are,are,True,4,1,1,False,0.9999363422393799,0.2845494747161865
"At first there were 8 dogs. Then, 5 went away. Now, there",61,dogs,are,are,True,3,1,1,False,0.9999483823776245,0.2384032905101776
"At first there were 8 dogs. Then, 6 went away. Now, there",62,dogs,are,are,True,2,1,1,False,0.9998801946640015,0.3396768867969513
"At first there were 8 dogs. Then, 7 went away. Now, there",63,dogs,is,are,False,1,1,1,True,0.9997065663337708,0.3237071633338928
"At first there were 9 dogs. Then, 1 went away. Now, there",64,dogs,are,are,True,8,8,8,True,0.999230146408081,0.8711987137794495
"At first there were 9 dogs. Then, 2 went away. Now, there",65,dogs,are,are,True,7,7,7,True,0.9993419051170349,0.6187804341316223
"At first there were 9 dogs. Then, 3 went away. Now, there",66,dogs,are,are,True,6,6,6,True,0.9996703863143921,0.4921136200428009
"At first there were 9 dogs. Then, 4 went away. Now, there",67,dogs,are,are,True,5,5,5,True,0.9998849630355835,0.8125888109207153
"At first there were 9 dogs. Then, 5 went away. Now, there",68,dogs,are,are,True,4,4,4,True,0.9998550415039062,0.234405979514122
"At first there were 9 dogs. Then, 6 went away. Now, there",69,dogs,are,are,True,3,1,1,False,0.9999207258224487,0.3320246636867523
"At first there were 9 dogs. Then, 7 went away. Now, there",70,dogs,are,are,True,2,1,1,False,0.9997690320014954,0.310414582490921
"At first there were 9 dogs. Then, 8 went away. Now, there",71,dogs,is,are,False,1,1,1,True,0.9996516704559326,0.35268568992614746
"At first there were 2 rabbits. Then, 1 went away. Now, there",72,rabbits,is,are,False,1,1,1,True,0.9998223185539246,0.9061001539230347
"At first there were 3 rabbits. Then, 1 went away. Now, there",73,rabbits,are,are,True,2,2,2,True,0.9999861717224121,0.9973874688148499
"At first there were 3 rabbits. Then, 2 went away. Now, there",74,rabbits,is,are,False,1,1,1,True,0.999816358089447,0.918944239616394
"At first there were 4 rabbits. Then, 1 went away. Now, there",75,rabbits,are,are,True,3,3,3,True,0.9999974966049194,0.9918953776359558
"At first there were 4 rabbits. Then, 2 went away. Now, there",76,rabbits,are,are,True,2,2,2,True,0.9999562501907349,0.8935526609420776
"At first there were 4 rabbits. Then, 3 went away. Now, there",77,rabbits,is,are,False,1,2,2,False,0.9999386072158813,0.6738812327384949
"At first there were 5 rabbits. Then, 1 went away. Now, there",78,rabbits,are,are,True,4,4,4,True,0.999996542930603,0.9958459734916687
"At first there were 5 rabbits. Then, 2 went away. Now, there",79,rabbits,are,are,True,3,3,3,True,0.9999990463256836,0.9973847270011902
"At first there were 5 rabbits. Then, 3 went away. Now, there",80,rabbits,are,are,True,2,2,2,True,0.9999912977218628,0.9197366237640381
"At first there were 5 rabbits. Then, 4 went away. Now, there",81,rabbits,is,are,False,1,3,3,False,0.9999709129333496,0.45322394371032715
"At first there were 6 rabbits. Then, 1 went away. Now, there",82,rabbits,are,are,True,5,5,5,True,0.9999494552612305,0.9980804920196533
"At first there were 6 rabbits. Then, 2 went away. Now, there",83,rabbits,are,are,True,4,4,4,True,0.9999884366989136,0.9351568818092346
"At first there were 6 rabbits. Then, 3 went away. Now, there",84,rabbits,are,are,True,3,3,3,True,0.9999748468399048,0.4945659339427948
"At first there were 6 rabbits. Then, 4 went away. Now, there",85,rabbits,are,are,True,2,2,2,True,0.9999959468841553,0.9412076473236084
"At first there were 6 rabbits. Then, 5 went away. Now, there",86,rabbits,is,are,False,1,2,2,False,0.9999759197235107,0.5049300789833069
"At first there were 7 rabbits. Then, 1 went away. Now, there",87,rabbits,are,are,True,6,6,6,True,0.999990701675415,0.9850026965141296
"At first there were 7 rabbits. Then, 2 went away. Now, there",88,rabbits,are,are,True,5,5,5,True,0.999998927116394,0.9951918125152588
"At first there were 7 rabbits. Then, 3 went away. Now, there",89,rabbits,are,are,True,4,4,4,True,0.9999967813491821,0.8319091796875
"At first there were 7 rabbits. Then, 4 went away. Now, there",90,rabbits,are,are,True,3,3,3,True,0.9999996423721313,0.9677179455757141
"At first there were 7 rabbits. Then, 5 went away. Now, there",91,rabbits,are,are,True,2,3,3,False,0.9999997615814209,0.49910175800323486
"At first there were 7 rabbits. Then, 6 went away. Now, there",92,rabbits,is,are,False,1,2,2,False,0.9999926090240479,0.30572617053985596
"At first there were 8 rabbits. Then, 1 went away. Now, there",93,rabbits,are,are,True,7,7,7,True,0.9999823570251465,0.9911666512489319
"At first there were 8 rabbits. Then, 2 went away. Now, there",94,rabbits,are,are,True,6,6,6,True,0.9999991655349731,0.9502663016319275
"At first there were 8 rabbits. Then, 3 went away. Now, there",95,rabbits,are,are,True,5,5,5,True,0.9999991655349731,0.9835817813873291
"At first there were 8 rabbits. Then, 4 went away. Now, there",96,rabbits,are,are,True,4,4,4,True,0.9999996423721313,0.8690433502197266
"At first there were 8 rabbits. Then, 5 went away. Now, there",97,rabbits,are,are,True,3,3,3,True,1.0,0.7270229458808899
"At first there were 8 rabbits. Then, 6 went away. Now, there",98,rabbits,are,are,True,2,2,2,True,0.9999995231628418,0.37721264362335205
"At first there were 8 rabbits. Then, 7 went away. Now, there",99,rabbits,is,are,False,1,5,5,False,0.9999977350234985,0.30077996850013733
"At first there were 9 rabbits. Then, 1 went away. Now, there",100,rabbits,are,are,True,8,8,8,True,0.9999803304672241,0.9789718389511108
"At first there were 9 rabbits. Then, 2 went away. Now, there",101,rabbits,are,are,True,7,7,7,True,0.9999982118606567,0.9679846167564392
"At first there were 9 rabbits. Then, 3 went away. Now, there",102,rabbits,are,are,True,6,6,6,True,0.9999988079071045,0.8412041664123535
"At first there were 9 rabbits. Then, 4 went away. Now, there",103,rabbits,are,are,True,5,5,5,True,0.9999997615814209,0.9930805563926697
"At first there were 9 rabbits. Then, 5 went away. Now, there",104,rabbits,are,are,True,4,4,4,True,1.0,0.8110488653182983
"At first there were 9 rabbits. Then, 6 went away. Now, there",105,rabbits,are,are,True,3,4,4,False,0.9999997615814209,0.3565457761287689
"At first there were 9 rabbits. Then, 7 went away. Now, there",106,rabbits,are,are,True,2,2,2,True,0.9999996423721313,0.37386399507522583
"At first there were 9 rabbits. Then, 8 went away. Now, there",107,rabbits,is,are,False,1,4,4,False,0.9999727010726929,0.2569250464439392
"At first there were 2 elephants. Then, 1 went away. Now, there",108,elephants,is,are,False,1,2,2,False,0.9343626499176025,0.8297621011734009
"At first there were 3 elephants. Then, 1 went away. Now, there",109,elephants,are,are,True,2,2,2,True,0.9965582489967346,0.9314197301864624
"At first there were 3 elephants. Then, 2 went away. Now, there",110,elephants,is,are,False,1,1,1,True,0.9996011853218079,0.637656569480896
"At first there were 4 elephants. Then, 1 went away. Now, there",111,elephants,are,are,True,3,3,3,True,0.9991416931152344,0.61528480052948
"At first there were 4 elephants. Then, 2 went away. Now, there",112,elephants,are,are,True,2,2,2,True,0.9998975992202759,0.5074319243431091
"At first there were 4 elephants. Then, 3 went away. Now, there",113,elephants,is,are,False,1,1,1,True,0.9999905824661255,0.655703604221344
"At first there were 5 elephants. Then, 1 went away. Now, there",114,elephants,are,are,True,4,4,4,True,0.9988349080085754,0.5328947901725769
"At first there were 5 elephants. Then, 2 went away. Now, there",115,elephants,are,are,True,3,3,3,True,0.9997114539146423,0.5517390370368958
"At first there were 5 elephants. Then, 3 went away. Now, there",116,elephants,are,are,True,2,2,2,True,0.9998581409454346,0.7552189826965332
"At first there were 5 elephants. Then, 4 went away. Now, there",117,elephants,is,are,False,1,1,1,True,0.9999940395355225,0.5586223006248474
"At first there were 6 elephants. Then, 1 went away. Now, there",118,elephants,are,are,True,5,5,5,True,0.9995575547218323,0.9942031502723694
"At first there were 6 elephants. Then, 2 went away. Now, there",119,elephants,are,are,True,4,4,4,True,0.9998279809951782,0.7772109508514404
"At first there were 6 elephants. Then, 3 went away. Now, there",120,elephants,are,are,True,3,3,3,True,0.9999595880508423,0.5988286137580872
"At first there were 6 elephants. Then, 4 went away. Now, there",121,elephants,are,are,True,2,2,2,True,0.9999774694442749,0.9507917165756226
"At first there were 6 elephants. Then, 5 went away. Now, there",122,elephants,is,are,False,1,1,1,True,0.999995231628418,0.6750133633613586
"At first there were 7 elephants. Then, 1 went away. Now, there",123,elephants,are,are,True,6,6,6,True,0.9996065497398376,0.9866683483123779
"At first there were 7 elephants. Then, 2 went away. Now, there",124,elephants,are,are,True,5,5,5,True,0.9999202489852905,0.9827176928520203
"At first there were 7 elephants. Then, 3 went away. Now, there",125,elephants,are,are,True,4,4,4,True,0.9999346733093262,0.5821614265441895
"At first there were 7 elephants. Then, 4 went away. Now, there",126,elephants,are,are,True,3,3,3,True,0.999980092048645,0.7432536482810974
"At first there were 7 elephants. Then, 5 went away. Now, there",127,elephants,are,are,True,2,3,3,False,0.9999736547470093,0.2980956733226776
"At first there were 7 elephants. Then, 6 went away. Now, there",128,elephants,is,are,False,1,2,2,False,0.9999876022338867,0.20973801612854004
"At first there were 8 elephants. Then, 1 went away. Now, there",129,elephants,are,are,True,7,7,7,True,0.9995421171188354,0.9706175923347473
"At first there were 8 elephants. Then, 2 went away. Now, there",130,elephants,are,are,True,6,6,6,True,0.9998922348022461,0.9078090786933899
"At first there were 8 elephants. Then, 3 went away. Now, there",131,elephants,are,are,True,5,5,5,True,0.9999881982803345,0.5719929337501526
"At first there were 8 elephants. Then, 4 went away. Now, there",132,elephants,are,are,True,4,4,4,True,0.9999599456787109,0.6003828048706055
"At first there were 8 elephants. Then, 5 went away. Now, there",133,elephants,are,are,True,3,3,3,True,0.9999550580978394,0.28052395582199097
"At first there were 8 elephants. Then, 6 went away. Now, there",134,elephants,are,are,True,2,2,2,True,0.9999873638153076,0.3550989329814911
"At first there were 8 elephants. Then, 7 went away. Now, there",135,elephants,is,are,False,1,1,1,True,0.9999973773956299,0.26858824491500854
"At first there were 9 elephants. Then, 1 went away. Now, there",136,elephants,are,are,True,8,8,8,True,0.9993608593940735,0.9813451766967773
"At first there were 9 elephants. Then, 2 went away. Now, there",137,elephants,are,are,True,7,7,7,True,0.999936580657959,0.9478338360786438
"At first there were 9 elephants. Then, 3 went away. Now, there",138,elephants,are,are,True,6,6,6,True,0.9999161958694458,0.2906043827533722
"At first there were 9 elephants. Then, 4 went away. Now, there",139,elephants,are,are,True,5,5,5,True,0.999909520149231,0.722295343875885
"At first there were 9 elephants. Then, 5 went away. Now, there",140,elephants,are,are,True,4,4,4,True,0.9998853206634521,0.3000531494617462
"At first there were 9 elephants. Then, 6 went away. Now, there",141,elephants,are,are,True,3,7,7,False,0.9999829530715942,0.17991240322589874
"At first there were 9 elephants. Then, 7 went away. Now, there",142,elephants,are,are,True,2,5,5,False,0.999975323677063,0.18345989286899567
"At first there were 9 elephants. Then, 8 went away. Now, there",143,elephants,is,are,False,1,1,1,True,0.9999986886978149,0.23476921021938324
"At first there were 2 lions. Then, 1 went away. Now, there",144,lions,is,are,False,1,1,1,True,0.8662735223770142,0.6669707894325256
"At first there were 3 lions. Then, 1 went away. Now, there",145,lions,are,are,True,2,2,2,True,0.9990001320838928,0.9712209105491638
"At first there were 3 lions. Then, 2 went away. Now, there",146,lions,is,are,False,1,1,1,True,0.9998300075531006,0.8080596923828125
"At first there were 4 lions. Then, 1 went away. Now, there",147,lions,are,are,True,3,3,3,True,0.9994124174118042,0.9573556780815125
"At first there were 4 lions. Then, 2 went away. Now, there",148,lions,are,are,True,2,2,2,True,0.9999130964279175,0.9180617332458496
"At first there were 4 lions. Then, 3 went away. Now, there",149,lions,is,are,False,1,2,2,False,0.999906063079834,0.47570982575416565
"At first there were 5 lions. Then, 1 went away. Now, there",150,lions,are,are,True,4,4,4,True,0.999546468257904,0.9660680890083313
"At first there were 5 lions. Then, 2 went away. Now, there",151,lions,are,are,True,3,3,3,True,0.999947190284729,0.9935076236724854
"At first there were 5 lions. Then, 3 went away. Now, there",152,lions,are,are,True,2,2,2,True,0.9999521970748901,0.34260860085487366
"At first there were 5 lions. Then, 4 went away. Now, there",153,lions,is,are,False,1,3,3,False,0.9999477863311768,0.4367130696773529
"At first there were 6 lions. Then, 1 went away. Now, there",154,lions,are,are,True,5,5,5,True,0.9997379183769226,0.9867429733276367
"At first there were 6 lions. Then, 2 went away. Now, there",155,lions,are,are,True,4,4,4,True,0.9999545812606812,0.9531445503234863
"At first there were 6 lions. Then, 3 went away. Now, there",156,lions,are,are,True,3,5,5,False,0.9999749660491943,0.2951156198978424
"At first there were 6 lions. Then, 4 went away. Now, there",157,lions,are,are,True,2,2,2,True,0.9999793767929077,0.3533497452735901
"At first there were 6 lions. Then, 5 went away. Now, there",158,lions,is,are,False,1,4,4,False,0.999925971031189,0.2089865505695343
"At first there were 7 lions. Then, 1 went away. Now, there",159,lions,are,are,True,6,6,6,True,0.999784529209137,0.9660308361053467
"At first there were 7 lions. Then, 2 went away. Now, there",160,lions,are,are,True,5,5,5,True,0.9999650716781616,0.9917469024658203
"At first there were 7 lions. Then, 3 went away. Now, there",161,lions,are,are,True,4,4,4,True,0.9999779462814331,0.6033322811126709
"At first there were 7 lions. Then, 4 went away. Now, there",162,lions,are,are,True,3,3,3,True,0.99998939037323,0.6987893581390381
"At first there were 7 lions. Then, 5 went away. Now, there",163,lions,are,are,True,2,2,2,True,0.9999905824661255,0.3126565217971802
"At first there were 7 lions. Then, 6 went away. Now, there",164,lions,is,are,False,1,1,1,True,0.999963641166687,0.289278119802475
"At first there were 8 lions. Then, 1 went away. Now, there",165,lions,are,are,True,7,7,7,True,0.9998248219490051,0.9507102370262146
"At first there were 8 lions. Then, 2 went away. Now, there",166,lions,are,are,True,6,6,6,True,0.9999346733093262,0.9530834555625916
"At first there were 8 lions. Then, 3 went away. Now, there",167,lions,are,are,True,5,5,5,True,0.9999709129333496,0.9522609710693359
"At first there were 8 lions. Then, 4 went away. Now, there",168,lions,are,are,True,4,5,5,False,0.9999650716781616,0.26212620735168457
"At first there were 8 lions. Then, 5 went away. Now, there",169,lions,are,are,True,3,3,3,True,0.9999938011169434,0.571240246295929
"At first there were 8 lions. Then, 6 went away. Now, there",170,lions,are,are,True,2,4,4,False,0.9999905824661255,0.24154223501682281
"At first there were 8 lions. Then, 7 went away. Now, there",171,lions,is,are,False,1,1,1,True,0.9999840259552002,0.2795369327068329
"At first there were 9 lions. Then, 1 went away. Now, there",172,lions,are,are,True,8,8,8,True,0.999784529209137,0.8874430060386658
"At first there were 9 lions. Then, 2 went away. Now, there",173,lions,are,are,True,7,7,7,True,0.9999394416809082,0.980818510055542
"At first there were 9 lions. Then, 3 went away. Now, there",174,lions,are,are,True,6,5,5,False,0.9999644756317139,0.3782535791397095
"At first there were 9 lions. Then, 4 went away. Now, there",175,lions,are,are,True,5,5,5,True,0.9999661445617676,0.9313820600509644
"At first there were 9 lions. Then, 5 went away. Now, there",176,lions,are,are,True,4,4,4,True,0.9999946355819702,0.4398495852947235
"At first there were 9 lions. Then, 6 went away. Now, there",177,lions,are,are,True,3,1,1,False,0.9999932050704956,0.23064649105072021
"At first there were 9 lions. Then, 7 went away. Now, there",178,lions,are,are,True,2,1,1,False,0.9999933242797852,0.3600439131259918
"At first there were 9 lions. Then, 8 went away. Now, there",179,lions,is,are,False,1,1,1,True,0.9999696016311646,0.28259751200675964
"At first there were 2 tigers. Then, 1 went away. Now, there",180,tigers,is,are,False,1,1,1,True,0.9965934157371521,0.49246612191200256
"At first there were 3 tigers. Then, 1 went away. Now, there",181,tigers,are,are,True,2,2,2,True,0.9994199275970459,0.9300796389579773
"At first there were 3 tigers. Then, 2 went away. Now, there",182,tigers,is,are,False,1,1,1,True,0.9998981952667236,0.9076271653175354
"At first there were 4 tigers. Then, 1 went away. Now, there",183,tigers,are,are,True,3,3,3,True,0.9995002746582031,0.9639745950698853
"At first there were 4 tigers. Then, 2 went away. Now, there",184,tigers,are,are,True,2,2,2,True,0.999936580657959,0.8035545349121094
"At first there were 4 tigers. Then, 3 went away. Now, there",185,tigers,is,are,False,1,2,2,False,0.9999433755874634,0.2447768896818161
"At first there were 5 tigers. Then, 1 went away. Now, there",186,tigers,are,are,True,4,4,4,True,0.9995073080062866,0.9365710020065308
"At first there were 5 tigers. Then, 2 went away. Now, there",187,tigers,are,are,True,3,3,3,True,0.9999734163284302,0.9590694308280945
"At first there were 5 tigers. Then, 3 went away. Now, there",188,tigers,are,are,True,2,2,2,True,0.999968409538269,0.7608700394630432
"At first there were 5 tigers. Then, 4 went away. Now, there",189,tigers,is,are,False,1,3,3,False,0.9999324083328247,0.3395725190639496
"At first there were 6 tigers. Then, 1 went away. Now, there",190,tigers,are,are,True,5,5,5,True,0.999409556388855,0.9610055685043335
"At first there were 6 tigers. Then, 2 went away. Now, there",191,tigers,are,are,True,4,4,4,True,0.9999728202819824,0.8522965908050537
"At first there were 6 tigers. Then, 3 went away. Now, there",192,tigers,are,are,True,3,5,5,False,0.9999781847000122,0.22661225497722626
"At first there were 6 tigers. Then, 4 went away. Now, there",193,tigers,are,are,True,2,2,2,True,0.9999172687530518,0.6484252214431763
"At first there were 6 tigers. Then, 5 went away. Now, there",194,tigers,is,are,False,1,1,1,True,0.9999116659164429,0.22354716062545776
"At first there were 7 tigers. Then, 1 went away. Now, there",195,tigers,are,are,True,6,6,6,True,0.9992038607597351,0.9099211692810059
"At first there were 7 tigers. Then, 2 went away. Now, there",196,tigers,are,are,True,5,5,5,True,0.999974250793457,0.9767692685127258
"At first there were 7 tigers. Then, 3 went away. Now, there",197,tigers,are,are,True,4,4,4,True,0.9999465942382812,0.6456780433654785
"At first there were 7 tigers. Then, 4 went away. Now, there",198,tigers,are,are,True,3,3,3,True,0.9999421834945679,0.7805101871490479
"At first there were 7 tigers. Then, 5 went away. Now, there",199,tigers,are,are,True,2,2,2,True,0.9999693632125854,0.6090705990791321
"At first there were 7 tigers. Then, 6 went away. Now, there",200,tigers,is,are,False,1,1,1,True,0.9999188184738159,0.33040621876716614
"At first there were 8 tigers. Then, 1 went away. Now, there",201,tigers,are,are,True,7,7,7,True,0.9993566870689392,0.8639107346534729
"At first there were 8 tigers. Then, 2 went away. Now, there",202,tigers,are,are,True,6,6,6,True,0.9999417066574097,0.8873569965362549
"At first there were 8 tigers. Then, 3 went away. Now, there",203,tigers,are,are,True,5,5,5,True,0.9999808073043823,0.9458011984825134
"At first there were 8 tigers. Then, 4 went away. Now, there",204,tigers,are,are,True,4,5,5,False,0.999923825263977,0.22469693422317505
"At first there were 8 tigers. Then, 5 went away. Now, there",205,tigers,are,are,True,3,3,3,True,0.9999845027923584,0.5132850408554077
"At first there were 8 tigers. Then, 6 went away. Now, there",206,tigers,are,are,True,2,1,1,False,0.9998977184295654,0.32593390345573425
"At first there were 8 tigers. Then, 7 went away. Now, there",207,tigers,is,are,False,1,1,1,True,0.9999744892120361,0.3962472677230835
"At first there were 9 tigers. Then, 1 went away. Now, there",208,tigers,are,are,True,8,8,8,True,0.9995369911193848,0.7580367922782898
"At first there were 9 tigers. Then, 2 went away. Now, there",209,tigers,are,are,True,7,7,7,True,0.9999755620956421,0.8851379156112671
"At first there were 9 tigers. Then, 3 went away. Now, there",210,tigers,are,are,True,6,6,6,True,0.9999755620956421,0.6297819018363953
"At first there were 9 tigers. Then, 4 went away. Now, there",211,tigers,are,are,True,5,5,5,True,0.9999761581420898,0.9435186386108398
"At first there were 9 tigers. Then, 5 went away. Now, there",212,tigers,are,are,True,4,4,4,True,0.9999897480010986,0.5020945072174072
"At first there were 9 tigers. Then, 6 went away. Now, there",213,tigers,are,are,True,3,1,1,False,0.9999626874923706,0.3384898900985718
"At first there were 9 tigers. Then, 7 went away. Now, there",214,tigers,are,are,True,2,1,1,False,0.9999765157699585,0.36508604884147644
"At first there were 9 tigers. Then, 8 went away. Now, there",215,tigers,is,are,False,1,1,1,True,0.9999842643737793,0.5093677043914795
"At first there were 2 giraffes. Then, 1 went away. Now, there",216,giraffes,is,are,False,1,1,1,True,0.6720259785652161,0.6019744873046875
