Prompt,Index,Animal,Gold_Verb,Predicted_Verb,Verb_Correct,Gold_Number,Predicted_Number_Token,Predicted_Number_Int,Number_Correct,Prob_Verb,Prob_Number
"At first there were 8 cats. Then, 5 went away. Now, there",25,cats,are,are,True,3,3,3,True,0.99609375,0.7265625
"At first there were 8 cats. Then, 6 went away. Now, there",26,cats,are,are,True,2,2,2,True,0.99609375,0.484375
"At first there were 8 cats. Then, 7 went away. Now, there",27,cats,is,are,False,1,1,1,True,0.9921875,0.2890625
"At first there were 9 cats. Then, 1 went away. Now, there",28,cats,are,are,True,8,8,8,True,0.98828125,0.7421875
"At first there were 9 cats. Then, 2 went away. Now, there",29,cats,are,are,True,7,7,7,True,0.9921875,0.70703125
"At first there were 9 cats. Then, 3 went away. Now, there",30,cats,are,are,True,6,6,6,True,0.99609375,0.703125
"At first there were 9 cats. Then, 4 went away. Now, there",31,cats,are,are,True,5,5,5,True,0.9921875,0.5859375
"At first there were 9 cats. Then, 5 went away. Now, there",32,cats,are,are,True,4,4,4,True,0.99609375,0.796875
"At first there were 9 cats. Then, 6 went away. Now, there",33,cats,are,are,True,3,3,3,True,0.9921875,0.53125
"At first there were 9 cats. Then, 7 went away. Now, there",34,cats,are,are,True,2,2,2,True,0.9921875,0.3515625
"At first there were 9 cats. Then, 8 went away. Now, there",35,cats,is,are,False,1,1,1,True,0.9921875,0.283203125
"At first there were 2 dogs. Then, 1 went away. Now, there",36,dogs,is,are,False,1,1,1,True,0.92578125,0.828125
"At first there were 3 dogs. Then, 1 went away. Now, there",37,dogs,are,are,True,2,2,2,True,0.97265625,0.95703125
"At first there were 3 dogs. Then, 2 went away. Now, there",38,dogs,is,are,False,1,1,1,True,0.94921875,0.72265625
"At first there were 4 dogs. Then, 1 went away. Now, there",39,dogs,are,are,True,3,3,3,True,0.9921875,0.9453125
"At first there were 4 dogs. Then, 2 went away. Now, there",40,dogs,are,are,True,2,2,2,True,0.9921875,0.7890625
"At first there were 4 dogs. Then, 3 went away. Now, there",41,dogs,is,are,False,1,1,1,True,0.9921875,0.474609375
"At first there were 5 dogs. Then, 1 went away. Now, there",42,dogs,are,are,True,4,4,4,True,0.9921875,0.9609375
"At first there were 5 dogs. Then, 2 went away. Now, there",43,dogs,are,are,True,3,3,3,True,0.9921875,0.87109375
"At first there were 5 dogs. Then, 3 went away. Now, there",44,dogs,are,are,True,2,2,2,True,0.99609375,0.8671875
"At first there were 5 dogs. Then, 4 went away. Now, there",45,dogs,is,are,False,1,3,3,False,0.99609375,0.3984375
"At first there were 6 dogs. Then, 1 went away. Now, there",46,dogs,are,are,True,5,5,5,True,0.99609375,0.8671875
"At first there were 6 dogs. Then, 2 went away. Now, there",47,dogs,are,are,True,4,4,4,True,0.9921875,0.84375
"At first there were 6 dogs. Then, 3 went away. Now, there",48,dogs,are,are,True,3,3,3,True,0.99609375,0.515625
"At first there were 6 dogs. Then, 4 went away. Now, there",49,dogs,are,are,True,2,2,2,True,0.99609375,0.61328125
"At first there were 6 dogs. Then, 5 went away. Now, there",50,dogs,is,are,False,1,1,1,True,0.99609375,0.35546875
"At first there were 7 dogs. Then, 1 went away. Now, there",51,dogs,are,are,True,6,6,6,True,0.99609375,0.94921875
"At first there were 7 dogs. Then, 2 went away. Now, there",52,dogs,are,are,True,5,5,5,True,0.99609375,0.8671875
"At first there were 7 dogs. Then, 3 went away. Now, there",53,dogs,are,are,True,4,4,4,True,0.99609375,0.828125
"At first there were 7 dogs. Then, 4 went away. Now, there",54,dogs,are,are,True,3,3,3,True,0.99609375,0.734375
"At first there were 7 dogs. Then, 5 went away. Now, there",55,dogs,are,are,True,2,2,2,True,0.99609375,0.486328125
"At first there were 7 dogs. Then, 6 went away. Now, there",56,dogs,is,are,False,1,1,1,True,0.99609375,0.314453125
"At first there were 8 dogs. Then, 1 went away. Now, there",57,dogs,are,are,True,7,7,7,True,0.99609375,0.87890625
"At first there were 8 dogs. Then, 2 went away. Now, there",58,dogs,are,are,True,6,6,6,True,0.99609375,0.8828125
"At first there were 8 dogs. Then, 3 went away. Now, there",59,dogs,are,are,True,5,5,5,True,0.99609375,0.82421875
"At first there were 8 dogs. Then, 4 went away. Now, there",60,dogs,are,are,True,4,4,4,True,0.99609375,0.53515625
"At first there were 8 dogs. Then, 5 went away. Now, there",61,dogs,are,are,True,3,3,3,True,0.99609375,0.74609375
"At first there were 8 dogs. Then, 6 went away. Now, there",62,dogs,are,are,True,2,2,2,True,0.99609375,0.458984375
"At first there were 8 dogs. Then, 7 went away. Now, there",63,dogs,is,are,False,1,1,1,True,0.99609375,0.39453125
"At first there were 9 dogs. Then, 1 went away. Now, there",64,dogs,are,are,True,8,8,8,True,0.99609375,0.91796875
"At first there were 9 dogs. Then, 2 went away. Now, there",65,dogs,are,are,True,7,7,7,True,0.99609375,0.7890625
"At first there were 9 dogs. Then, 3 went away. Now, there",66,dogs,are,are,True,6,6,6,True,0.99609375,0.78515625
"At first there were 9 dogs. Then, 4 went away. Now, there",67,dogs,are,are,True,5,5,5,True,0.99609375,0.6875
"At first there were 9 dogs. Then, 5 went away. Now, there",68,dogs,are,are,True,4,4,4,True,0.99609375,0.83984375
"At first there were 9 dogs. Then, 6 went away. Now, there",69,dogs,are,are,True,3,3,3,True,0.99609375,0.5703125
"At first there were 9 dogs. Then, 7 went away. Now, there",70,dogs,are,are,True,2,2,2,True,0.99609375,0.361328125
"At first there were 9 dogs. Then, 8 went away. Now, there",71,dogs,is,are,False,1,1,1,True,0.99609375,0.396484375
"At first there were 2 rabbits. Then, 1 went away. Now, there",72,rabbits,is,are,False,1,1,1,True,0.92578125,0.88671875
"At first there were 3 rabbits. Then, 1 went away. Now, there",73,rabbits,are,are,True,2,2,2,True,0.9609375,0.9453125
"At first there were 3 rabbits. Then, 2 went away. Now, there",74,rabbits,is,are,False,1,1,1,True,0.90625,0.75
"At first there were 4 rabbits. Then, 1 went away. Now, there",75,rabbits,are,are,True,3,3,3,True,0.984375,0.9375
"At first there were 4 rabbits. Then, 2 went away. Now, there",76,rabbits,are,are,True,2,2,2,True,0.98046875,0.6796875
"At first there were 4 rabbits. Then, 3 went away. Now, there",77,rabbits,is,are,False,1,1,1,True,0.984375,0.5703125
"At first there were 5 rabbits. Then, 1 went away. Now, there",78,rabbits,are,are,True,4,4,4,True,0.98828125,0.953125
"At first there were 5 rabbits. Then, 2 went away. Now, there",79,rabbits,are,are,True,3,3,3,True,0.9765625,0.82421875
"At first there were 5 rabbits. Then, 3 went away. Now, there",80,rabbits,are,are,True,2,2,2,True,0.98828125,0.84765625
"At first there were 5 rabbits. Then, 4 went away. Now, there",81,rabbits,is,are,False,1,1,1,True,0.98828125,0.421875
"At first there were 6 rabbits. Then, 1 went away. Now, there",82,rabbits,are,are,True,5,5,5,True,0.9921875,0.890625
"At first there were 6 rabbits. Then, 2 went away. Now, there",83,rabbits,are,are,True,4,4,4,True,0.9921875,0.80859375
"At first there were 6 rabbits. Then, 3 went away. Now, there",84,rabbits,are,are,True,3,3,3,True,0.9921875,0.44921875
"At first there were 6 rabbits. Then, 4 went away. Now, there",85,rabbits,are,are,True,2,2,2,True,0.99609375,0.64453125
"At first there were 6 rabbits. Then, 5 went away. Now, there",86,rabbits,is,are,False,1,1,1,True,0.9921875,0.53515625
"At first there were 7 rabbits. Then, 1 went away. Now, there",87,rabbits,are,are,True,6,6,6,True,0.99609375,0.94140625
"At first there were 7 rabbits. Then, 2 went away. Now, there",88,rabbits,are,are,True,5,5,5,True,0.9921875,0.8671875
"At first there were 7 rabbits. Then, 3 went away. Now, there",89,rabbits,are,are,True,4,4,4,True,0.99609375,0.828125
"At first there were 7 rabbits. Then, 4 went away. Now, there",90,rabbits,are,are,True,3,3,3,True,0.99609375,0.74609375
"At first there were 7 rabbits. Then, 5 went away. Now, there",91,rabbits,are,are,True,2,2,2,True,0.99609375,0.59765625
"At first there were 7 rabbits. Then, 6 went away. Now, there",92,rabbits,is,are,False,1,1,1,True,0.9921875,0.365234375
"At first there were 8 rabbits. Then, 1 went away. Now, there",93,rabbits,are,are,True,7,7,7,True,0.99609375,0.9375
"At first there were 8 rabbits. Then, 2 went away. Now, there",94,rabbits,are,are,True,6,6,6,True,0.99609375,0.91015625
"At first there were 8 rabbits. Then, 3 went away. Now, there",95,rabbits,are,are,True,5,5,5,True,1.0,0.90625
"At first there were 8 rabbits. Then, 4 went away. Now, there",96,rabbits,are,are,True,4,4,4,True,0.99609375,0.490234375
"At first there were 8 rabbits. Then, 5 went away. Now, there",97,rabbits,are,are,True,3,3,3,True,1.0,0.81640625
"At first there were 8 rabbits. Then, 6 went away. Now, there",98,rabbits,are,are,True,2,2,2,True,0.99609375,0.447265625
"At first there were 8 rabbits. Then, 7 went away. Now, there",99,rabbits,is,are,False,1,1,1,True,0.99609375,0.373046875
"At first there were 9 rabbits. Then, 1 went away. Now, there",100,rabbits,are,are,True,8,8,8,True,0.99609375,0.9375
"At first there were 9 rabbits. Then, 2 went away. Now, there",101,rabbits,are,are,True,7,7,7,True,0.99609375,0.8125
"At first there were 9 rabbits. Then, 3 went away. Now, there",102,rabbits,are,are,True,6,6,6,True,0.99609375,0.80859375
"At first there were 9 rabbits. Then, 4 went away. Now, there",103,rabbits,are,are,True,5,5,5,True,0.99609375,0.734375
"At first there were 9 rabbits. Then, 5 went away. Now, there",104,rabbits,are,are,True,4,4,4,True,1.0,0.90234375
"At first there were 9 rabbits. Then, 6 went away. Now, there",105,rabbits,are,are,True,3,3,3,True,0.99609375,0.5390625
"At first there were 9 rabbits. Then, 7 went away. Now, there",106,rabbits,are,are,True,2,2,2,True,0.99609375,0.416015625
"At first there were 9 rabbits. Then, 8 went away. Now, there",107,rabbits,is,are,False,1,1,1,True,0.99609375,0.373046875
"At first there were 2 elephants. Then, 1 went away. Now, there",108,elephants,is,are,False,1,1,1,True,0.98828125,0.87890625
"At first there were 3 elephants. Then, 1 went away. Now, there",109,elephants,are,are,True,2,2,2,True,0.984375,0.9609375
"At first there were 3 elephants. Then, 2 went away. Now, there",110,elephants,is,are,False,1,1,1,True,0.97265625,0.7890625
"At first there were 4 elephants. Then, 1 went away. Now, there",111,elephants,are,are,True,3,3,3,True,0.9921875,0.95703125
"At first there were 4 elephants. Then, 2 went away. Now, there",112,elephants,are,are,True,2,2,2,True,0.9921875,0.8046875
"At first there were 4 elephants. Then, 3 went away. Now, there",113,elephants,is,are,False,1,1,1,True,0.9921875,0.64453125
"At first there were 5 elephants. Then, 1 went away. Now, there",114,elephants,are,are,True,4,4,4,True,0.9921875,0.96875
"At first there were 5 elephants. Then, 2 went away. Now, there",115,elephants,are,are,True,3,3,3,True,0.9921875,0.8984375
"At first there were 5 elephants. Then, 3 went away. Now, there",116,elephants,are,are,True,2,2,2,True,0.99609375,0.92578125
"At first there were 5 elephants. Then, 4 went away. Now, there",117,elephants,is,are,False,1,1,1,True,0.9921875,0.578125
"At first there were 6 elephants. Then, 1 went away. Now, there",118,elephants,are,are,True,5,5,5,True,0.99609375,0.9453125
"At first there were 6 elephants. Then, 2 went away. Now, there",119,elephants,are,are,True,4,4,4,True,0.99609375,0.90625
"At first there were 6 elephants. Then, 3 went away. Now, there",120,elephants,are,are,True,3,3,3,True,0.99609375,0.58984375
"At first there were 6 elephants. Then, 4 went away. Now, there",121,elephants,are,are,True,2,2,2,True,0.99609375,0.7421875
"At first there were 6 elephants. Then, 5 went away. Now, there",122,elephants,is,are,False,1,1,1,True,0.99609375,0.5625
"At first there were 7 elephants. Then, 1 went away. Now, there",123,elephants,are,are,True,6,6,6,True,0.99609375,0.95703125
"At first there were 7 elephants. Then, 2 went away. Now, there",124,elephants,are,are,True,5,5,5,True,0.99609375,0.9140625
"At first there were 7 elephants. Then, 3 went away. Now, there",125,elephants,are,are,True,4,4,4,True,0.99609375,0.875
"At first there were 7 elephants. Then, 4 went away. Now, there",126,elephants,are,are,True,3,3,3,True,0.99609375,0.80859375
"At first there were 7 elephants. Then, 5 went away. Now, there",127,elephants,are,are,True,2,2,2,True,0.99609375,0.67578125
"At first there were 7 elephants. Then, 6 went away. Now, there",128,elephants,is,are,False,1,1,1,True,0.99609375,0.4609375
"At first there were 8 elephants. Then, 1 went away. Now, there",129,elephants,are,are,True,7,7,7,True,0.99609375,0.953125
"At first there were 8 elephants. Then, 2 went away. Now, there",130,elephants,are,are,True,6,6,6,True,0.99609375,0.95703125
"At first there were 8 elephants. Then, 3 went away. Now, there",131,elephants,are,are,True,5,5,5,True,1.0,0.94921875
"At first there were 8 elephants. Then, 4 went away. Now, there",132,elephants,are,are,True,4,4,4,True,1.0,0.64453125
"At first there were 8 elephants. Then, 5 went away. Now, there",133,elephants,are,are,True,3,3,3,True,1.0,0.83203125
"At first there were 8 elephants. Then, 6 went away. Now, there",134,elephants,are,are,True,2,2,2,True,1.0,0.494140625
"At first there were 8 elephants. Then, 7 went away. Now, there",135,elephants,is,are,False,1,1,1,True,1.0,0.55078125
"At first there were 9 elephants. Then, 1 went away. Now, there",136,elephants,are,are,True,8,8,8,True,0.99609375,0.953125
"At first there were 9 elephants. Then, 2 went away. Now, there",137,elephants,are,are,True,7,7,7,True,0.99609375,0.87109375
"At first there were 9 elephants. Then, 3 went away. Now, there",138,elephants,are,are,True,6,6,6,True,0.99609375,0.8671875
"At first there were 9 elephants. Then, 4 went away. Now, there",139,elephants,are,are,True,5,5,5,True,0.99609375,0.81640625
"At first there were 9 elephants. Then, 5 went away. Now, there",140,elephants,are,are,True,4,4,4,True,1.0,0.8984375
"At first there were 9 elephants. Then, 6 went away. Now, there",141,elephants,are,are,True,3,3,3,True,0.99609375,0.578125
"At first there were 9 elephants. Then, 7 went away. Now, there",142,elephants,are,are,True,2,2,2,True,1.0,0.451171875
"At first there were 9 elephants. Then, 8 went away. Now, there",143,elephants,is,are,False,1,1,1,True,0.99609375,0.578125
"At first there were 2 lions. Then, 1 went away. Now, there",144,lions,is,are,False,1,1,1,True,0.83984375,0.8828125
"At first there were 3 lions. Then, 1 went away. Now, there",145,lions,are,are,True,2,2,2,True,0.984375,0.9609375
"At first there were 3 lions. Then, 2 went away. Now, there",146,lions,is,are,False,1,1,1,True,0.96484375,0.75
"At first there were 4 lions. Then, 1 went away. Now, there",147,lions,are,are,True,3,3,3,True,0.9921875,0.95703125
"At first there were 4 lions. Then, 2 went away. Now, there",148,lions,are,are,True,2,2,2,True,0.99609375,0.7890625
"At first there were 4 lions. Then, 3 went away. Now, there",149,lions,is,are,False,1,1,1,True,0.9921875,0.609375
"At first there were 5 lions. Then, 1 went away. Now, there",150,lions,are,are,True,4,4,4,True,0.99609375,0.96875
"At first there were 5 lions. Then, 2 went away. Now, there",151,lions,are,are,True,3,3,3,True,0.99609375,0.87890625
"At first there were 5 lions. Then, 3 went away. Now, there",152,lions,are,are,True,2,2,2,True,0.99609375,0.88671875
"At first there were 5 lions. Then, 4 went away. Now, there",153,lions,is,are,False,1,1,1,True,0.99609375,0.53515625
"At first there were 6 lions. Then, 1 went away. Now, there",154,lions,are,are,True,5,5,5,True,0.99609375,0.9375
"At first there were 6 lions. Then, 2 went away. Now, there",155,lions,are,are,True,4,4,4,True,0.99609375,0.890625
"At first there were 6 lions. Then, 3 went away. Now, there",156,lions,are,are,True,3,3,3,True,0.99609375,0.55859375
"At first there were 6 lions. Then, 4 went away. Now, there",157,lions,are,are,True,2,2,2,True,0.99609375,0.71484375
"At first there were 6 lions. Then, 5 went away. Now, there",158,lions,is,are,False,1,1,1,True,0.99609375,0.51171875
"At first there were 7 lions. Then, 1 went away. Now, there",159,lions,are,are,True,6,6,6,True,0.99609375,0.95703125
"At first there were 7 lions. Then, 2 went away. Now, there",160,lions,are,are,True,5,5,5,True,0.99609375,0.8984375
"At first there were 7 lions. Then, 3 went away. Now, there",161,lions,are,are,True,4,4,4,True,0.99609375,0.84765625
"At first there were 7 lions. Then, 4 went away. Now, there",162,lions,are,are,True,3,3,3,True,0.99609375,0.75
"At first there were 7 lions. Then, 5 went away. Now, there",163,lions,are,are,True,2,2,2,True,0.99609375,0.65234375
"At first there were 7 lions. Then, 6 went away. Now, there",164,lions,is,are,False,1,1,1,True,0.9921875,0.419921875
"At first there were 8 lions. Then, 1 went away. Now, there",165,lions,are,are,True,7,7,7,True,0.99609375,0.92578125
"At first there were 8 lions. Then, 2 went away. Now, there",166,lions,are,are,True,6,6,6,True,0.99609375,0.9453125
"At first there were 8 lions. Then, 3 went away. Now, there",167,lions,are,are,True,5,5,5,True,1.0,0.91015625
"At first there were 8 lions. Then, 4 went away. Now, there",168,lions,are,are,True,4,4,4,True,1.0,0.54296875
"At first there were 8 lions. Then, 5 went away. Now, there",169,lions,are,are,True,3,3,3,True,1.0,0.78125
"At first there were 8 lions. Then, 6 went away. Now, there",170,lions,are,are,True,2,2,2,True,0.99609375,0.52734375
"At first there were 8 lions. Then, 7 went away. Now, there",171,lions,is,are,False,1,1,1,True,0.99609375,0.5234375
"At first there were 9 lions. Then, 1 went away. Now, there",172,lions,are,are,True,8,8,8,True,0.99609375,0.91796875
"At first there were 9 lions. Then, 2 went away. Now, there",173,lions,are,are,True,7,7,7,True,0.99609375,0.8359375
"At first there were 9 lions. Then, 3 went away. Now, there",174,lions,are,are,True,6,6,6,True,0.99609375,0.828125
"At first there were 9 lions. Then, 4 went away. Now, there",175,lions,are,are,True,5,5,5,True,0.99609375,0.71875
"At first there were 9 lions. Then, 5 went away. Now, there",176,lions,are,are,True,4,4,4,True,0.99609375,0.81640625
"At first there were 9 lions. Then, 6 went away. Now, there",177,lions,are,are,True,3,3,3,True,0.99609375,0.5703125
"At first there were 9 lions. Then, 7 went away. Now, there",178,lions,are,are,True,2,2,2,True,0.99609375,0.435546875
"At first there were 9 lions. Then, 8 went away. Now, there",179,lions,is,are,False,1,1,1,True,0.99609375,0.5
"At first there were 2 tigers. Then, 1 went away. Now, there",180,tigers,is,are,False,1,1,1,True,0.921875,0.64453125
"At first there were 3 tigers. Then, 1 went away. Now, there",181,tigers,are,are,True,2,2,2,True,0.98046875,0.9140625
"At first there were 3 tigers. Then, 2 went away. Now, there",182,tigers,is,are,False,1,1,1,True,0.98046875,0.578125
"At first there were 4 tigers. Then, 1 went away. Now, there",183,tigers,are,are,True,3,3,3,True,0.98828125,0.86328125
"At first there were 4 tigers. Then, 2 went away. Now, there",184,tigers,are,are,True,2,2,2,True,0.9921875,0.65234375
"At first there were 4 tigers. Then, 3 went away. Now, there",185,tigers,is,are,False,1,1,1,True,0.9921875,0.388671875
"At first there were 5 tigers. Then, 1 went away. Now, there",186,tigers,are,are,True,4,4,4,True,0.9921875,0.9140625
"At first there were 5 tigers. Then, 2 went away. Now, there",187,tigers,are,are,True,3,3,3,True,0.9921875,0.78125
"At first there were 5 tigers. Then, 3 went away. Now, there",188,tigers,are,are,True,2,2,2,True,0.99609375,0.82421875
"At first there were 5 tigers. Then, 4 went away. Now, there",189,tigers,is,are,False,1,1,1,True,0.99609375,0.37109375
"At first there were 6 tigers. Then, 1 went away. Now, there",190,tigers,are,are,True,5,5,5,True,0.9921875,0.84765625
"At first there were 6 tigers. Then, 2 went away. Now, there",191,tigers,are,are,True,4,4,4,True,0.9921875,0.78125
"At first there were 6 tigers. Then, 3 went away. Now, there",192,tigers,are,are,True,3,3,3,True,0.9921875,0.3671875
"At first there were 6 tigers. Then, 4 went away. Now, there",193,tigers,are,are,True,2,2,2,True,0.99609375,0.63671875
"At first there were 6 tigers. Then, 5 went away. Now, there",194,tigers,is,are,False,1,1,1,True,0.9921875,0.4609375
"At first there were 7 tigers. Then, 1 went away. Now, there",195,tigers,are,are,True,6,6,6,True,0.9921875,0.90625
"At first there were 7 tigers. Then, 2 went away. Now, there",196,tigers,are,are,True,5,5,5,True,0.99609375,0.84375
"At first there were 7 tigers. Then, 3 went away. Now, there",197,tigers,are,are,True,4,4,4,True,0.99609375,0.78125
"At first there were 7 tigers. Then, 4 went away. Now, there",198,tigers,are,are,True,3,3,3,True,0.99609375,0.70703125
"At first there were 7 tigers. Then, 5 went away. Now, there",199,tigers,are,are,True,2,2,2,True,0.99609375,0.57421875
"At first there were 7 tigers. Then, 6 went away. Now, there",200,tigers,is,are,False,1,1,1,True,0.99609375,0.34375
"At first there were 8 tigers. Then, 1 went away. Now, there",201,tigers,are,are,True,7,7,7,True,0.99609375,0.84765625
"At first there were 8 tigers. Then, 2 went away. Now, there",202,tigers,are,are,True,6,6,6,True,0.99609375,0.83984375
"At first there were 8 tigers. Then, 3 went away. Now, there",203,tigers,are,are,True,5,5,5,True,0.99609375,0.796875
"At first there were 8 tigers. Then, 4 went away. Now, there",204,tigers,are,are,True,4,4,4,True,0.99609375,0.5234375
"At first there were 8 tigers. Then, 5 went away. Now, there",205,tigers,are,are,True,3,3,3,True,1.0,0.734375
"At first there were 8 tigers. Then, 6 went away. Now, there",206,tigers,are,are,True,2,2,2,True,0.99609375,0.478515625
"At first there were 8 tigers. Then, 7 went away. Now, there",207,tigers,is,are,False,1,1,1,True,0.99609375,0.369140625
"At first there were 9 tigers. Then, 1 went away. Now, there",208,tigers,are,are,True,8,8,8,True,0.9921875,0.8515625
"At first there were 9 tigers. Then, 2 went away. Now, there",209,tigers,are,are,True,7,7,7,True,0.99609375,0.72265625
"At first there were 9 tigers. Then, 3 went away. Now, there",210,tigers,are,are,True,6,6,6,True,0.99609375,0.6171875
"At first there were 9 tigers. Then, 4 went away. Now, there",211,tigers,are,are,True,5,5,5,True,0.99609375,0.6328125
"At first there were 9 tigers. Then, 5 went away. Now, there",212,tigers,are,are,True,4,4,4,True,0.99609375,0.79296875
"At first there were 9 tigers. Then, 6 went away. Now, there",213,tigers,are,are,True,3,3,3,True,0.99609375,0.5078125
"At first there were 9 tigers. Then, 7 went away. Now, there",214,tigers,are,are,True,2,2,2,True,0.99609375,0.3515625
"At first there were 9 tigers. Then, 8 went away. Now, there",215,tigers,is,are,False,1,1,1,True,0.99609375,0.3515625
"At first there were 2 giraffes. Then, 1 went away. Now, there",216,giraffes,is,are,False,1,1,1,True,0.96484375,0.828125
"At first there were 3 giraffes. Then, 1 went away. Now, there",217,giraffes,are,are,True,2,2,2,True,0.984375,0.95703125
"At first there were 3 giraffes. Then, 2 went away. Now, there",218,giraffes,is,are,False,1,1,1,True,0.9765625,0.8828125
"At first there were 4 giraffes. Then, 1 went away. Now, there",219,giraffes,are,are,True,3,3,3,True,0.98828125,0.94921875
"At first there were 4 giraffes. Then, 2 went away. Now, there",220,giraffes,are,are,True,2,2,2,True,0.9921875,0.8125
"At first there were 4 giraffes. Then, 3 went away. Now, there",221,giraffes,is,are,False,1,1,1,True,0.98828125,0.66796875
"At first there were 5 giraffes. Then, 1 went away. Now, there",222,giraffes,are,are,True,4,4,4,True,0.99609375,0.97265625
"At first there were 5 giraffes. Then, 2 went away. Now, there",223,giraffes,are,are,True,3,3,3,True,0.99609375,0.9140625
"At first there were 5 giraffes. Then, 3 went away. Now, there",224,giraffes,are,are,True,2,2,2,True,0.99609375,0.9375
"At first there were 5 giraffes. Then, 4 went away. Now, there",225,giraffes,is,are,False,1,1,1,True,0.99609375,0.4921875
"At first there were 6 giraffes. Then, 1 went away. Now, there",226,giraffes,are,are,True,5,5,5,True,0.99609375,0.9375
"At first there were 6 giraffes. Then, 2 went away. Now, there",227,giraffes,are,are,True,4,4,4,True,0.99609375,0.9296875
"At first there were 6 giraffes. Then, 3 went away. Now, there",228,giraffes,are,are,True,3,3,3,True,0.99609375,0.62109375
"At first there were 6 giraffes. Then, 4 went away. Now, there",229,giraffes,are,are,True,2,2,2,True,0.99609375,0.7578125
"At first there were 6 giraffes. Then, 5 went away. Now, there",230,giraffes,is,are,False,1,1,1,True,0.99609375,0.54296875
"At first there were 7 giraffes. Then, 1 went away. Now, there",231,giraffes,are,are,True,6,6,6,True,0.99609375,0.95703125
"At first there were 7 giraffes. Then, 2 went away. Now, there",232,giraffes,are,are,True,5,5,5,True,0.99609375,0.9296875
"At first there were 7 giraffes. Then, 3 went away. Now, there",233,giraffes,are,are,True,4,4,4,True,0.99609375,0.8671875
"At first there were 7 giraffes. Then, 4 went away. Now, there",234,giraffes,are,are,True,3,3,3,True,0.99609375,0.75390625
"At first there were 7 giraffes. Then, 5 went away. Now, there",235,giraffes,are,are,True,2,2,2,True,1.0,0.671875
"At first there were 7 giraffes. Then, 6 went away. Now, there",236,giraffes,is,are,False,1,1,1,True,0.99609375,0.41796875
"At first there were 8 giraffes. Then, 1 went away. Now, there",237,giraffes,are,are,True,7,7,7,True,0.99609375,0.9375
"At first there were 8 giraffes. Then, 2 went away. Now, there",238,giraffes,are,are,True,6,6,6,True,0.99609375,0.94921875
"At first there were 8 giraffes. Then, 3 went away. Now, there",239,giraffes,are,are,True,5,5,5,True,0.99609375,0.91015625
