,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last
97,"Beneath the silence where whispers used to play,",play,gray,grey,True,"Now echoes linger, lost in the gray.","Beneath the silence where whispers used to play,  
Now echoes linger, lost in the gray.","Beneath the silence where whispers used to play,  
Now echoes linger, lost in the"
99,"Two hearts entwined, a promise made,",made,swayed,stayed,True,"Beneath the stars, forever swayed.","Beneath the stars, forever swayed.","Beneath the stars, forever"
100,"In twilight’s hush, where hearts exhale,",exhale,gale,exhale,True,Soft whispers drift on the evening gale.,Soft whispers drift on the evening gale.,Soft whispers drift on the evening
101,"The shadows whisper threats they cannot name,",name,frame,name,True,And silence holds its breath in fear's cold frame.,And silence holds its breath in fear's cold frame.,And silence holds its breath in fear's cold
104,"Footprints in the dust of days gone by,",by,die,sigh,True,Whispers of the past that never die.,Whispers of the past that never die.,Whispers of the past that never
105,"The reaper whispers soft through every age,",age,page,rage,True,And time unfolds its silent page.,And time unfolds its silent page.,And time unfolds its silent
107,"Two hearts entwined where vows take root,",root,fruit,root,True,A garden blooming in the fruit.,"Two hearts entwined where vows take root,  
A garden blooming in the fruit.","Two hearts entwined where vows take root,  
A garden blooming in the"
108,"In the shadows, whispers rise—half angel, half abyss,",abyss,bliss,abyss,True,"A melody of midnight, lost in silent bliss.","A melody of midnight, lost in silent bliss.","A melody of midnight, lost in silent"
115,"Roots whispered in stories older than stone,",stone,alone,stone,True,"Leaves listened with silence, yet bore the weight alone.","Leaves listened with silence, yet bore the weight alone.","Leaves listened with silence, yet bore the weight"
116,"Silent nights where echoes dwell,",dwell,swell,dwell,True,Whispers drift on winds that swell.,Whispers drift on winds that swell.,Whispers drift on winds that
117,"Amber whispers brush the breeze,",breeze,trees,trees,True,Golden light in silent trees.,Golden light in silent trees.,Golden light in silent
118,"Autumn's breath whispers through the trees,",trees,breeze,trees,True,A golden hush in every breeze.,A golden hush in every breeze.,A golden hush in every
120,"Pack the sunrise in your pocket, let the roads unwind like time,",time,rhyme,time,True,And chase the horizon where the wild things rhyme.,And chase the horizon where the wild things rhyme.,And chase the horizon where the wild things
121,"Love is the fire that warms both heart and home,",home,roam,home,True,But burns the soul when left to roam.,But burns the soul when left to roam.,But burns the soul when left to
124,"In the quiet dawn, where prayers and petals rise,",rise,skies,dies,True,The world is wrapped in whispers of the skies.,The world is wrapped in whispers of the skies.,The world is wrapped in whispers of the
126,"Whispers of dread in the silence they creep,",creep,sleep,sweep,True,Through shadowed halls where the echoes will sleep.,Through shadowed halls where the echoes will sleep.,Through shadowed halls where the echoes will
128,"In starlit whispers, my hopes take flight,",flight,night,light,True,"Through dreams so vast, they touch the night.","Through dreams so vast, they touch the night.","Through dreams so vast, they touch the"
129,"The road unfolds like whispered dreams in dawn's embrace,",embrace,grace,embrace,True,Each step a note in life's unfolding grace.,Each step a note in life's unfolding grace.,Each step a note in life's unfolding
130,"The earth whispers tales through rustling green,",green,unseen,unseen,True,The wind carries secrets to the unseen.,The wind carries secrets to the unseen.,The wind carries secrets to the
133,"The hush of time whispers tales of the old,",old,fold,told,True,Echoes of laughter that once filled the fold.,"The hush of time whispers tales of the old,  
Echoes of laughter that once filled the fold.","The hush of time whispers tales of the old,  
Echoes of laughter that once filled the"
134,"In the quiet space where heartbeats blend,",blend,mend,blend,True,Whispers of love softly mend.,Whispers of love softly mend.,Whispers of love softly
136,"Through storms of time, our roots hold fast,",fast,cast,past,True,"Through trials unseen, our hearts are cast.","Through trials unseen, our hearts are cast.","Through trials unseen, our hearts are"
137,"Amid the throng, a silent storm,",storm,form,storm,True,A whisper grows to thunder's form.,A whisper grows to thunder's form.,A whisper grows to thunder's
138,"Whispers of winds through ancient tree songs flow,",flow,below,glow,True,Soft echoes of time in the rustling below.,Soft echoes of time in the rustling below.,Soft echoes of time in the rustling
139,"Whispers of crimson, symphonies in every thread,",thread,spread,thread,True,A dance of fire where passion is spread.,A dance of fire where passion is spread.,A dance of fire where passion is
144,"In the golden glow of dusk, I chase the echoes of summer's hush,",hush,blush,hush,True,Where fireflies dance and memories blush.,Where fireflies dance and memories blush.,Where fireflies dance and memories
147,"Joy dances bright where kind hearts meet,",meet,beat,deceit,True,Love weaves its light through every beat.,Love weaves its light through every beat.,Love weaves its light through every
149,"Like morning dew on petals soft and new,",new,view,new,True,So fleeting is the beauty that we view.,So fleeting is the beauty that we view.,So fleeting is the beauty that we
150,"Wings of dawn clash with iron night,",night,flight,light,True,Shadows dance where the stars take flight.,Shadows dance where the stars take flight.,Shadows dance where the stars take
151,"Brushstrokes weave the silent song of imagination’s flame,",flame,name,name,True,A canvas breathes where dreams take name.,A canvas breathes where dreams take name.,A canvas breathes where dreams take
152,"Whispers of the past dance on the breeze,",breeze,trees,trees,True,Echoes of forgotten dreams please the trees.,Echoes of forgotten dreams please the trees.,Echoes of forgotten dreams please the
156,"Two hearts entwined, a vow so true,",true,through,new,True,"Through every storm, we’ll weather through.","Two hearts entwined, a vow so true,  
Through every storm, we’ll weather through.","Two hearts entwined, a vow so true,  
Through every storm, we’ll weather"
159,"Whispers of wind through the emerald embrace,",embrace,erase,embrace,True,A dance with the shadows that time cannot erase.,A dance with the shadows that time cannot erase.,A dance with the shadows that time cannot
160,"Whispers of absence haunt the halls where laughter used to play,",play,stay,grey,True,"Echoes of joy fade into the night, never to stay.","Echoes of joy fade into the night, never to stay.","Echoes of joy fade into the night, never to"
165,"Wander the roads where old shadows dance,",dance,glance,dance,True,"Beneath the moon's soft, silver glance.","Beneath the moon's soft, silver glance.","Beneath the moon's soft, silver"
166,"In shadows crowned, the weak wear might unseen,",unseen,mean,unseen,True,While strength in light is oft too plain to mean.,While strength in light is oft too plain to mean.,While strength in light is oft too plain to
168,"Smoke ascends where silent dreams once grew,",grew,knew,new,True,And shadows dance where light once knew.,And shadows dance where light once knew.,And shadows dance where light once
170,"In shadows cast by silver lies,",lies,dies,dies,True,A whisper stirs where silence dies.,A whisper stirs where silence dies.,A whisper stirs where silence
171,"In whispered groves where the wild things dance,",dance,glance,dance,True,"Beneath the moon's soft, silver glance.","Beneath the moon's soft, silver glance.","Beneath the moon's soft, silver"
172,"City lights hum with restless desire,",desire,fire,desire,True,Streetlamps flicker like whispered fire.,Streetlamps flicker like whispered fire.,Streetlamps flicker like whispered
175,"By the sandbox where the fireflies glow,",glow,know,glow,True,We whispered secrets only we know.,We whispered secrets only we know.,We whispered secrets only we
180,"Beneath a handshake, a dagger gleams with dew,",dew,grew,new,True,And silence speaks where words once grew.,And silence speaks where words once grew.,And silence speaks where words once
183,"A silent tear on truth's tightrope spin,",spin,begin,spin,True,A whisper falls where shadows begin.,A whisper falls where shadows begin.,A whisper falls where shadows
