,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last
38,"Anger boils like storm in night,",night,bright,light,True,Fire burns the sky bright.,Fire burns the sky bright.,Fire burns the sky
40,"Whispers coil like shadows, cold and tight,",tight,night,light,True,Flicker faintly in the night.,Flicker faintly in the night.,Flicker faintly in the
41,"Like sunlight breaking through the clouds of gray,",gray,day,grey,True,A promise of dawn in the hush of day.,"Like sunlight breaking through the clouds of gray,  
A promise of dawn in the hush of day.","Like sunlight breaking through the clouds of gray,  
A promise of dawn in the hush of"
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,hold,told,True,A silent dance in the wind's soft hold.,A silent dance in the wind's soft hold.,A silent dance in the wind's soft
44,"The shadows stretch where laughter once was bright,",bright,tight,light,True,"The night now whispers, cold and tight.","The night now whispers, cold and tight.","The night now whispers, cold and"
45,"Beneath the canvas of twilight's embrace,",embrace,grace,embrace,True,The stars begin to twinkle in the silent grace.,The stars begin to twinkle in the silent grace.,The stars begin to twinkle in the silent
48,"Stars map my longing in the heavens’ sly embrace,",embrace,grace,embrace,True,Moonlight whispers secrets through the night’s soft grace.,Moonlight whispers secrets through the night’s soft grace.,Moonlight whispers secrets through the night’s soft
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,grown,stone,True,A tale of the seeds I have grown.,A tale of the seeds I have grown.,A tale of the seeds I have
50,"In whispers of light, the soul finds its creed,",creed,need,creed,True,A silent prayer in the hush of the need.,"In whispers of light, the soul finds its creed,  
A silent prayer in the hush of the need.","In whispers of light, the soul finds its creed,  
A silent prayer in the hush of the"
53,"The reaper’s shadow lengthens with the noon,",noon,tune,noon,True,A silent hymn to time’s unyielding tune.,"The reaper’s shadow lengthens with the noon,  
A silent hymn to time’s unyielding tune.","The reaper’s shadow lengthens with the noon,  
A silent hymn to time’s unyielding"
54,"Blossoms bloom where laughter finds its way,",way,day,grey,True,Winds carry the scent of spring's day.,Winds carry the scent of spring's day.,Winds carry the scent of spring's
57,Whispers of velvet and hues that sing—,sing,spring,sing,True,A symphony of night's gentle spring.,A symphony of night's gentle spring.,A symphony of night's gentle
58,"A shadow fades where the flame won’t die,",die,sky,sigh,True,A ghostly whisper lingers in the sky.,A ghostly whisper lingers in the sky.,A ghostly whisper lingers in the
59,"Whispers through the grass where the wild things dance,",dance,glance,dance,True,"Beneath the moon's soft, silver glance.","Beneath the moon's soft, silver glance.","Beneath the moon's soft, silver"
60,"A bond unspoken, yet deep as the sea,",sea,free,sea,True,A heart that knows the truth without being free.,A heart that knows the truth without being free.,A heart that knows the truth without being
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,grace,embrace,True,A gentle thaw begins to grace.,A gentle thaw begins to grace.,A gentle thaw begins to
65,"In the dance of flaw and flawless light,",light,night,light,True,Shadows twirl in silent night.,Shadows twirl in silent night.,Shadows twirl in silent
66,"Whispers of wind through the ancient oak's embrace,",embrace,trace,embrace,True,A secret song only the trees can trace.,"Whispers of wind through the ancient oak's embrace,  
A secret song only the trees can trace.","Whispers of wind through the ancient oak's embrace,  
A secret song only the trees can"
67,"In mirrored shades where shadow dares to creep,",creep,keep,sweep,True,A whisper of dusk in silent keep.,"In mirrored shades where shadow dares to creep,  
A whisper of dusk in silent keep.","In mirrored shades where shadow dares to creep,  
A whisper of dusk in silent"
76,"Colors whisper tales in hues once unknown,",unknown,stone,stone,True,Scattering light through every shadowed stone.,Scattering light through every shadowed stone.,Scattering light through every shadowed
81,"Whispers of winds through ancient green trees,",trees,seas,trees,True,Singing tales of time and silent seas.,"Whispers of winds through ancient green trees,  
Singing tales of time and silent seas.","Whispers of winds through ancient green trees,  
Singing tales of time and silent"
85,"Justice weeps in shadowed halls,",halls,walls,halls,True,Light breaks through the silent walls.,Light breaks through the silent walls.,Light breaks through the silent
91,"In shadows deep where hope once danced with light,",light,night,light,True,A silent night.,A silent night.,A silent
92,"In shadow's grip, cannon-light whispers of rage,",rage,stage,rage,True,A silent scream in the darkened stage.,A silent scream in the darkened stage.,A silent scream in the darkened
100,"In twilight’s hush, where hearts exhale,",exhale,unveil,exhale,True,The stars above begin to unveil.,The stars above begin to unveil.,The stars above begin to
101,"The shadows whisper threats they cannot name,",name,shame,name,True,The night holds its breath in silent shame.,The night holds its breath in silent shame.,The night holds its breath in silent
104,"Footprints in the dust of days gone by,",by,sigh,sigh,True,Whispers of the past in every sigh.,Whispers of the past in every sigh.,Whispers of the past in every
111,"The thunder in his chest begins to roar,",roar,shore,soar,True,The storm inside him breaks the shore.,The storm inside him breaks the shore.,The storm inside him breaks the
116,"Silent nights where echoes dwell,",dwell,hell,dwell,True,Whispers hush the trembling hell.,Whispers hush the trembling hell.,Whispers hush the trembling
118,"Autumn's breath whispers through the trees,",trees,breeze,trees,True,Gold leaves dance in silent breeze.,Gold leaves dance in silent breeze.,Gold leaves dance in silent
124,"In the quiet dawn, where prayers and petals rise,",rise,skies,dies,True,Whispers of hope through the morning skies.,Whispers of hope through the morning skies.,Whispers of hope through the morning
126,"Whispers of dread in the silence they creep,",creep,sleep,sweep,True,Shadows of fear in the dark they sleep.,Shadows of fear in the dark they sleep.,Shadows of fear in the dark they
127,"In twilight's hush, where shadows dare to speak,",speak,meek,speak,True,The stars above whisper secrets to the meek.,The stars above whisper secrets to the meek.,The stars above whisper secrets to the
132,"Beneath the brush of dawn’s soft light,",light,might,light,True,The sky blushes with morning's might.,The sky blushes with morning's might.,The sky blushes with morning's
133,"The hush of time whispers tales of the old,",old,cold,told,True,A ghostly echo in the silent cold.,"The hush of time whispers tales of the old,  
A ghostly echo in the silent cold.","The hush of time whispers tales of the old,  
A ghostly echo in the silent"
136,"Through storms of time, our roots hold fast,",fast,past,past,True,"We stand as one, through every past.","Through storms of time, our roots hold fast,  
We stand as one, through every past.","Through storms of time, our roots hold fast,  
We stand as one, through every"
138,"Whispers of winds through ancient tree songs flow,",flow,slow,glow,True,"Leaves in a dance, soft and slow.","Leaves in a dance, soft and slow.","Leaves in a dance, soft and"
139,"Whispers of crimson, symphonies in every thread,",thread,bed,thread,True,"A tapestry of passion, woven through the bed.","A tapestry of passion, woven through the bed.","A tapestry of passion, woven through the"
148,"In whispers of time, our deeds still sing—",sing,sting,sing,True,A tale etched in the wind's soft sting.,A tale etched in the wind's soft sting.,A tale etched in the wind's soft
149,"Like morning dew on petals soft and new,",new,blue,new,True,A whisper of hope in the silent blue.,"Like morning dew on petals soft and new,  
A whisper of hope in the silent blue.","Like morning dew on petals soft and new,  
A whisper of hope in the silent"
150,"Wings of dawn clash with iron night,",night,flight,light,True,Stars ignite in silent flight.,Stars ignite in silent flight.,Stars ignite in silent
151,"Brushstrokes weave the silent song of imagination’s flame,",flame,name,name,True,A canvas breathes with every name.,A canvas breathes with every name.,A canvas breathes with every
152,"Whispers of the past dance on the breeze,",breeze,seize,trees,True,Echoes of time softly seize.,Echoes of time softly seize.,Echoes of time softly
157,"A tapestry woven in laughter and tears,",tears,years,years,True,A story spun through the years.,A story spun through the years.,A story spun through the
159,"Whispers of wind through the emerald embrace,",embrace,grace,embrace,True,"Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic grace.","Leaves dance in a silent, rhythmic"
162,"Colors whisper secrets where wild imaginations tread,",tread,spread,thread,True,"Dreams take flight in the silent, golden spread.","Dreams take flight in the silent, golden spread.","Dreams take flight in the silent, golden"
168,"Smoke ascends where silent dreams once grew,",grew,dew,new,True,Fire whispers secrets to the dew.,Fire whispers secrets to the dew.,Fire whispers secrets to the
169,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,flight,light,True,"Leaves whisper secrets of the past, but dreams take flight.","Leaves whisper secrets of the past, but dreams take flight.","Leaves whisper secrets of the past, but dreams take"
170,"In shadows cast by silver lies,",lies,disguise,dies,True,In whispers of the night's disguise.,In whispers of the night's disguise.,In whispers of the night's
175,"By the sandbox where the fireflies glow,",glow,low,glow,True,The night sky whispers soft and low.,The night sky whispers soft and low.,The night sky whispers soft and
176,"Winds of freedom whisper where chains dare not clink,",clink,ink,clink,True,Beneath the stars they dance in silent ink.,Beneath the stars they dance in silent ink.,Beneath the stars they dance in silent
178,"Beneath the map's edge, the unknown beckons soft and wide,",wide,glide,collide,True,A world of dreams where shadows gently glide.,A world of dreams where shadows gently glide.,A world of dreams where shadows gently
182,"The sun spills gold on laughter's tender track,",track,back,track,True,"The breeze carries whispers of a warm, bright back.","The breeze carries whispers of a warm, bright back.","The breeze carries whispers of a warm, bright"
185,"Amidst the swirl of hues and whispered air,",air,bare,despair,True,A dance of dreams in every bare.,A dance of dreams in every bare.,A dance of dreams in every
186,"Beneath soft lies, the truth wears a cloak of light,",light,night,light,True,A whisper of night.,A whisper of night.,A whisper of
187,"Two hearts entwined where the vows take flight,",flight,light,light,True,A dance of love in the twilight's light.,A dance of love in the twilight's light.,A dance of love in the twilight's
189,"In whispered hearts where silent dreams take flight,",flight,bright,light,True,A quiet world in shadows softly bright.,"In whispered hearts where silent dreams take flight,  
A quiet world in shadows softly bright.","In whispered hearts where silent dreams take flight,  
A quiet world in shadows softly"
190,"A breath too brief, a shadow that swallows the light,",light,night,light,True,A whisper of night.,A whisper of night.,A whisper of
192,"A bond unspoken, yet stronger than time,",time,sublime,time,True,"A silent promise, deep and sublime.","A silent promise, deep and sublime.","A silent promise, deep and"
197,"In flawless cracks, the beauty truly shines,",shines,lines,shines,True,A hidden light through broken lines.,"In flawless cracks, the beauty truly shines,  
A hidden light through broken lines.","In flawless cracks, the beauty truly shines,  
A hidden light through broken"
206,"When silence speaks, the heart turns cold,",cold,gold,told,True,The shadows dance in silent gold.,The shadows dance in silent gold.,The shadows dance in silent
208,"Though flesh may fade, the deeds we do ignite…",ignite,light,light,True,...a lasting light.,...a lasting light.,...a lasting
209,"Colors weep from silent canvases, whispers take form in clay’s embrace,",embrace,trace,embrace,True,Silent symphonies in every trace.,Silent symphonies in every trace.,Silent symphonies in every
210,"Time stitches wrinkles in the cloth of youth,",youth,truth,youth,True,Age weaves gray through the threads of truth.,Age weaves gray through the threads of truth.,Age weaves gray through the threads of
212,"Whispers of the dusk that shadows all our days,",days,gaze,maze,True,"Beneath the moon's pale, watchful gaze.","Beneath the moon's pale, watchful gaze.","Beneath the moon's pale, watchful"
217,"A mirror cracks, and in the shards I see—",see,me,sea,True,A fractured reflection of me.,A fractured reflection of me.,A fractured reflection of
218,"Whispers of spring thaw the earth from her sleep,",sleep,leap,sweep,True,Blossoms rise in a gentle leap.,Blossoms rise in a gentle leap.,Blossoms rise in a gentle
220,"Whispers of wind weave through earth’s old rhyme,",rhyme,time,time,True,Leaves dance in the hush of the time.,Leaves dance in the hush of the time.,Leaves dance in the hush of the
221,"Beneath the moon’s cold, watchful eye,",eye,sky,sigh,True,Shadows whisper secrets to the sky.,Shadows whisper secrets to the sky.,Shadows whisper secrets to the
227,"When your heart first whispers a name in the dark,",dark,stark,dark,True,It calls you like thunder through the stark.,It calls you like thunder through the stark.,It calls you like thunder through the
241,"In whispered woods where shadows play,",play,sway,grey,True,Secrets hide in every sway.,Secrets hide in every sway.,Secrets hide in every
242,"A flawless vase, still cracked within, a shadow draped in light,",light,night,light,True,"A whisper of the past, a secret kept in night.","A whisper of the past, a secret kept in night.","A whisper of the past, a secret kept in"
244,"A hearth's warm glow where whispered memories reside,",reside,pride,collide,True,"A sanctuary of time, both past and pride.","A sanctuary of time, both past and pride.","A sanctuary of time, both past and"
247,"When laughter dances on the breeze,",breeze,trees,trees,True,It carries joy through the trees.,It carries joy through the trees.,It carries joy through the
252,"Time etches wisdom in the lines it leaves behind,",behind,mind,wind,True,Space unfolds the secrets it has kept in mind.,Space unfolds the secrets it has kept in mind.,Space unfolds the secrets it has kept in
258,"Whispers of the wild through ancient trees,",trees,breeze,trees,True,Swaying in the breeze.,Swaying in the breeze.,Swaying in the
265,"Like echoes in a hall of old,",old,hold,told,True,The whispers of the past still hold.,"Like echoes in a hall of old,  
The whispers of the past still hold.","Like echoes in a hall of old,  
The whispers of the past still"
266,"Brushstrokes of thought where imaginations dance,",dance,glance,dance,True,Whispers of dreams in every glance.,Whispers of dreams in every glance.,Whispers of dreams in every
267,"I carve my name in bone and flame, défier of the silent claim,",claim,name,name,True,"I burn the shadows, claim the name.","I carve my name in bone and flame, défier of the silent claim,  
I burn the shadows, claim the name.","I carve my name in bone and flame, défier of the silent claim,  
I burn the shadows, claim the"
269,"Beneath the cold moon’s watching eye,",eye,sky,sigh,True,Starlight weaves through the silent sky.,Starlight weaves through the silent sky.,Starlight weaves through the silent
272,"Time's quiet hand etches tales in every line it's drawn,",drawn,dawn,dawn,True,"Eternity listens, waiting for the dawn.","Eternity listens, waiting for the dawn.","Eternity listens, waiting for the"
274,"In whispers of time, the past’s silent flame burns bright,",bright,light,light,True,A ghostly echo of yesterday’s light.,A ghostly echo of yesterday’s light.,A ghostly echo of yesterday’s
285,"In the weave of voices, we find our song,",song,throng,belong,True,A melody born from the throng.,A melody born from the throng.,A melody born from the
287,"He walked with ghosts in shadowed trails,",trails,tales,trails,True,Where echoes whispered of lost tales.,"He walked with ghosts in shadowed trails,  
Where echoes whispered of lost tales.","He walked with ghosts in shadowed trails,  
Where echoes whispered of lost"
290,"The clock’s shadow dances where the dawn used to rise,",rise,disguise,dies,True,"The sun now lies in silence, shrouded in the night's disguise.","The sun now lies in silence, shrouded in the night's disguise.","The sun now lies in silence, shrouded in the night's"
296,"Where whispered memories cling to the walls,",walls,halls,halls,True,Time folds back the pages of the halls.,"Where whispered memories cling to the walls,  
Time folds back the pages of the halls.","Where whispered memories cling to the walls,  
Time folds back the pages of the"
300,"Two hearts entwined, a vow they seal,",seal,real,kneel,True,"A promise true, forever real.","A promise true, forever real.","A promise true, forever"
302,"Shadows fall where laughter used to rise,",rise,disguise,dies,True,Moonlight weeps in silent disguise.,Moonlight weeps in silent disguise.,Moonlight weeps in silent
305,"Blood paints the dawn where steel and silence wed,",wed,dead,thread,True,Ashes whisper the tale of the dead.,Ashes whisper the tale of the dead.,Ashes whisper the tale of the
