,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last
91,"In shadows deep where hope once danced with light,",light,bright,light,True,A whisper of the past still echoes bright.,"In shadows deep where hope once danced with light,  
A whisper of the past still echoes bright.","In shadows deep where hope once danced with light,  
A whisper of the past still echoes"
92,"In shadow's grip, cannon-light whispers of rage,",rage,age,rage,True,where silent screams echo through the age.,where silent screams echo through the age.,where silent screams echo through the
100,"In twilight’s hush, where hearts exhale,",exhale,pale,exhale,True,the stars above whisper secrets to the pale.,the stars above whisper secrets to the pale.,the stars above whisper secrets to the
120,"Pack the sunrise in your pocket, let the roads unwind like time,",time,climb,time,True,and the world be yours to climb.,and the world be yours to climb.,and the world be yours to
126,"Whispers of dread in the silence they creep,",creep,deep,sweep,True,and the shadows they cast are so deep.,and the shadows they cast are so deep.,and the shadows they cast are so
128,"In starlit whispers, my hopes take flight,",flight,bright,light,True,and dreams unfold like constellations bright.,and dreams unfold like constellations bright.,and dreams unfold like constellations
129,"The road unfolds like whispered dreams in dawn's embrace,",embrace,grace,embrace,True,where every step is a song and every breath a grace.,where every step is a song and every breath a grace.,where every step is a song and every breath a
130,"The earth whispers tales through rustling green,",green,scene,unseen,True,and time unfolds in every leaf's serene scene.,and time unfolds in every leaf's serene scene.,and time unfolds in every leaf's serene
132,"Beneath the brush of dawn’s soft light,",light,bright,light,True,The world is painted with a new day's bright.,"Beneath the brush of dawn’s soft light,  
The world is painted with a new day's bright.","Beneath the brush of dawn’s soft light,  
The world is painted with a new day's"
134,"In the quiet space where heartbeats blend,",blend,lend,blend,True,the silence hums with every breath we lend.,the silence hums with every breath we lend.,the silence hums with every breath we
141,"Winds of freedom whisper where chains forgot to fall,",fall,tall,fall,True,and hope will rise where oppression once was tall.,and hope will rise where oppression once was tall.,and hope will rise where oppression once was
148,"In whispers of time, our deeds still sing—",sing,ring,sing,True,A legacy etched in every ring.,"In whispers of time, our deeds still sing—  
A legacy etched in every ring.","In whispers of time, our deeds still sing—  
A legacy etched in every"
150,"Wings of dawn clash with iron night,",night,fight,light,True,And the world is stirred in eternal fight.,"Wings of dawn clash with iron night,  
And the world is stirred in eternal fight.","Wings of dawn clash with iron night,  
And the world is stirred in eternal"
156,"Two hearts entwined, a vow so true,",true,hue,new,True,a promise etched in every hue.,a promise etched in every hue.,a promise etched in every
160,"Whispers of absence haunt the halls where laughter used to play,",play,day,grey,True,And silence now holds all the echoes of the day.,And silence now holds all the echoes of the day.,And silence now holds all the echoes of the
169,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,bright,light,True,and leaves whisper of a future yet to be bright.,and leaves whisper of a future yet to be bright.,and leaves whisper of a future yet to be
170,"In shadows cast by silver lies,",lies,dies,dies,True,A tale of love that never dies.,"In shadows cast by silver lies,  
A tale of love that never dies.","In shadows cast by silver lies,  
A tale of love that never"
175,"By the sandbox where the fireflies glow,",glow,low,glow,True,The stars above are just a little too low.,"By the sandbox where the fireflies glow,  
The stars above are just a little too low.","By the sandbox where the fireflies glow,  
The stars above are just a little too"
178,"Beneath the map's edge, the unknown beckons soft and wide,",wide,guide,collide,True,Where secrets wait and dreams are made to guide.,"Beneath the map's edge, the unknown beckons soft and wide,  
Where secrets wait and dreams are made to guide.","Beneath the map's edge, the unknown beckons soft and wide,  
Where secrets wait and dreams are made to"
184,"In starlit whispers, my heart ignites,",ignites,nights,ignites,True,and dreams take flight in the quietest of nights.,and dreams take flight in the quietest of nights.,and dreams take flight in the quietest of
185,"Amidst the swirl of hues and whispered air,",air,prayer,despair,True,The stars above do dance in silent prayer.,"Amidst the swirl of hues and whispered air,  
The stars above do dance in silent prayer.","Amidst the swirl of hues and whispered air,  
The stars above do dance in silent"
186,"Beneath soft lies, the truth wears a cloak of light,",light,night,light,True,and shadows fade in the glow of the night.,and shadows fade in the glow of the night.,and shadows fade in the glow of the
190,"A breath too brief, a shadow that swallows the light,",light,night,light,True,a ghost that lingers in the night.,a ghost that lingers in the night.,a ghost that lingers in the
196,"In the attic of my heart, old shadows dance with light,",light,flight,light,True,where memories whisper and time forgets their flight.,where memories whisper and time forgets their flight.,where memories whisper and time forgets their
204,"In the silent chasm where shadows conspire,",conspire,dire,desire,True,The moonlight whispers through the dark and dire.,"In the silent chasm where shadows conspire,  
The moonlight whispers through the dark and dire.","In the silent chasm where shadows conspire,  
The moonlight whispers through the dark and"
216,"When shadows steal the ones we held so dear,",dear,near,dear,True,"when light returns, we'll find them near.","when light returns, we'll find them near.","when light returns, we'll find them"
222,"Candy wrappers rustled like whispers in the halls,",halls,walls,halls,True,A secret shared between the stars and the walls.,"Candy wrappers rustled like whispers in the halls,  
A secret shared between the stars and the walls.","Candy wrappers rustled like whispers in the halls,  
A secret shared between the stars and the"
234,"Echoes of laughter fade in distant air,",air,there,despair,True,whispers of joy that once were there.,whispers of joy that once were there.,whispers of joy that once were
251,"In shadowed halls where whispers fade,",fade,shade,stayed,True,the past is but a fleeting shade.,the past is but a fleeting shade.,the past is but a fleeting
259,"In silent prayers, the soul takes wing,",wing,spring,sing,True,to seek the grace of heaven's bright spring.,to seek the grace of heaven's bright spring.,to seek the grace of heaven's bright
262,"Beneath the moon where wild things roam,",roam,foam,home,True,The stars whisper secrets to the foam.,"Beneath the moon where wild things roam,  
The stars whisper secrets to the foam.","Beneath the moon where wild things roam,  
The stars whisper secrets to the"
264,"Thunder roars in chains of might,",might,light,light,True,And heaven's wrath is laid in light.,"Thunder roars in chains of might,  
And heaven's wrath is laid in light.","Thunder roars in chains of might,  
And heaven's wrath is laid in"
267,"I carve my name in bone and flame, défier of the silent claim,",claim,flame,name,True,"I carve my name in bone and flame,","I carve my name in bone and flame,  
Defier of the silent claim.","I carve my name in bone and flame,  
Defier of the silent"
269,"Beneath the cold moon’s watching eye,",eye,sky,sigh,True,The stars whisper secrets to the sky.,"Beneath the cold moon’s watching eye,  
The stars whisper secrets to the sky.","Beneath the cold moon’s watching eye,  
The stars whisper secrets to the"
279,"Whispers the hourglass in sands of gold,",gold,old,told,True,and time slips through the fingers of the old.,and time slips through the fingers of the old.,and time slips through the fingers of the
286,"The sun spills gold on smiles that rise,",rise,wise,dies,True,and lightens every heart that's wise.,and lightens every heart that's wise.,and lightens every heart that's
302,"Shadows fall where laughter used to rise,",rise,guise,dies,True,"and silence wraps the room in its soft, silent guise.","and silence wraps the room in its soft, silent guise.","and silence wraps the room in its soft, silent"
306,"In whispers of light, belief takes its flight,",flight,night,light,True,and shadows fade in the night.,and shadows fade in the night.,and shadows fade in the
308,"Laughter echoed under skies of infinite blue,",blue,pursue,new,True,"Hopefulness filled the air, a dream we all pursue.","Hopefulness filled the air, a dream we all pursue.","Hopefulness filled the air, a dream we all"
321,"Golden whispers dance where joy and sunlight meet,",meet,greet,deceit,True,and dreams take flight in every leaf they greet.,and dreams take flight in every leaf they greet.,and dreams take flight in every leaf they
323,"Like morning dew on petals new,",new,dew,new,True,the world is bright and full of dew.,the world is bright and full of dew.,the world is bright and full of
334,"The sun dips low where tempests play,",play,day,grey,True,and shadows dance on the waves of day.,and shadows dance on the waves of day.,and shadows dance on the waves of
340,"Whispers of the wind through leaves that sway,",sway,day,grey,True,"soft as a sigh, and sweet as day.","whispers of the wind through leaves that sway,  
soft as a sigh, and sweet as day.","whispers of the wind through leaves that sway,  
soft as a sigh, and sweet as"
341,"Whispers of the wild dance on the wind,",wind,entwined,wind,True,through the trees where secrets are entwined.,"whispers of the wild dance on the wind,  
through the trees where secrets are entwined.","whispers of the wild dance on the wind,  
through the trees where secrets are"
344,"With dawn’s first breath, I pack my dreams in tow,",tow,glow,glow,True,and start my journey through the morning's glow.,and start my journey through the morning's glow.,and start my journey through the morning's
346,"A king wears crowns, yet craves the sky—",sky,why,sigh,True,"But heaven's gate is barred, and why?","A king wears crowns, yet craves the sky—  
But heaven's gate is barred, and why?","A king wears crowns, yet craves the sky—  
But heaven's gate is barred, and"
357,"Beneath the dusk of dying light,",light,flight,light,True,The stars begin to weep in flight.,"Beneath the dusk of dying light,  
The stars begin to weep in flight.","Beneath the dusk of dying light,  
The stars begin to weep in"
360,"Winds whisper tales of warming skies,",skies,eyes,dies,True,Winters fade to spring's bright eyes.,Winters fade to spring's bright eyes.,Winters fade to spring's bright
363,"The years fold time like parchment, worn yet true,",true,new,new,True,"And age is but a whisper, soft and new.","The years fold time like parchment, worn yet true,  
And age is but a whisper, soft and new.","The years fold time like parchment, worn yet true,  
And age is but a whisper, soft and"
375,"When twilight's whisper brushes against the soul,",soul,toll,soul,True,when the stars begin to weep in silent toll.,when the stars begin to weep in silent toll.,when the stars begin to weep in silent
397,"Winds of freedom whistle through chains that cling,",cling,sing,sing,True,"And break the bonds of oppression, never sing.","Winds of freedom whistle through chains that cling,  
And break the bonds of oppression, never sing.","Winds of freedom whistle through chains that cling,  
And break the bonds of oppression, never"
401,"Roots tangled in rhythm, whispered through ancient stone,",stone,tone,stone,True,where time and memory dance in silent tone.,"roots tangled in rhythm, whispered through ancient stone,  
where time and memory dance in silent tone.","roots tangled in rhythm, whispered through ancient stone,  
where time and memory dance in silent"
403,"In hues of dawn and whispers through the trees,",trees,breeze,trees,True,The world is painted with a gentle breeze.,"In hues of dawn and whispers through the trees,  
The world is painted with a gentle breeze.","In hues of dawn and whispers through the trees,  
The world is painted with a gentle"
406,"Love is the thread that weaves hearts through time,",time,rhyme,time,True,and binds us in a timeless rhyme.,and binds us in a timeless rhyme.,and binds us in a timeless
407,"Wheels of fate turn under the vast, unbroken sky,",sky,cry,sigh,True,"and time moves on with a steady, unyielding cry.","and time moves on with a steady, unyielding cry.","and time moves on with a steady, unyielding"
409,"In silent crowds, we drift alone,",alone,unknown,stone,True,where hearts are lost in the haze of the unknown.,where hearts are lost in the haze of the unknown.,where hearts are lost in the haze of the
415,"Rooted together, we blossom as one,",one,won,spun,True,Our strength is in the unity we've won.,"Rooted together, we blossom as one,  
Our strength is in the unity we've won.","Rooted together, we blossom as one,  
Our strength is in the unity we've"
417,"Whispers of winter melt to spring's first tear,",tear,care,despair,True,and thaw the frozen earth with gentle care.,and thaw the frozen earth with gentle care.,and thaw the frozen earth with gentle
426,"The earth breathes gently beneath the trees,",trees,breeze,trees,True,and whispers secrets to the breeze.,and whispers secrets to the breeze.,and whispers secrets to the
428,"In silent crowds, I walk alone,",alone,own,stone,True,where thoughts are mine and no one's own.,where thoughts are mine and no one's own.,where thoughts are mine and no one's
430,"Beneath the sky where the wild winds roam,",roam,home,home,True,The stars shine bright and the night is home.,"Beneath the sky where the wild winds roam,  
The stars shine bright and the night is home.","Beneath the sky where the wild winds roam,  
The stars shine bright and the night is"
432,"In laughter’s glow, where secrets are told,",told,bold,told,True,the heart finds peace and love is bold.,the heart finds peace and love is bold.,the heart finds peace and love is
434,"Cannon's thunder weeps across the plain,",plain,slain,rain,True,and silence falls like snow upon the slain.,and silence falls like snow upon the slain.,and silence falls like snow upon the
439,"In trembling hands, the storm refuses to stay,",stay,ray,grey,True,and silence clings to every ray.,and silence clings to every ray.,and silence clings to every
440,"Embers of rage in the chest they dwell,",dwell,sell,dwell,True,Yet peace is but a shadow they'll sell.,"Embers of rage in the chest they dwell,  
Yet peace is but a shadow they'll sell.","Embers of rage in the chest they dwell,  
Yet peace is but a shadow they'll"
446,"Whispers of rustle in velvet and light,",light,night,light,True,soft as dreams in the hush of the night.,"whispers of rustle in velvet and light,  
soft as dreams in the hush of the night.","whispers of rustle in velvet and light,  
soft as dreams in the hush of the"
448,"Sunlight spilling through laughter’s bright rhyme,",rhyme,time,time,True,moonlight weaving tales of love and time.,moonlight weaving tales of love and time.,moonlight weaving tales of love and
450,"In swirling hues, where silent stories gleam,",gleam,dream,stream,True,The world is painted with a timeless dream.,"In swirling hues, where silent stories gleam,  
The world is painted with a timeless dream.","In swirling hues, where silent stories gleam,  
The world is painted with a timeless"
456,"In the mirror of time, I trace a name not yet known,",known,own,stone,True,"But in the heart of dawn, I find my truest own.","But in the heart of dawn, I find my truest own.","But in the heart of dawn, I find my truest"
457,"Echoes of laughter linger in the air,",air,stair,despair,True,echoes of joy still play on the stair.,echoes of joy still play on the stair.,echoes of joy still play on the
459,"Whispers of winds through the ancient tree,",tree,sea,sea,True,echoes of time in the leafy sea.,"whispers of winds through the ancient tree,  
echoes of time in the leafy sea.","whispers of winds through the ancient tree,  
echoes of time in the leafy"
472,"In whispered prayers, the soul takes flight,",flight,light,light,True,where dreams are born and hearts are light.,where dreams are born and hearts are light.,where dreams are born and hearts are
474,"Whispers of farewell linger in the echoes of the rain,",rain,plain,rain,True,as the moonlight casts a silver veil on the plain.,as the moonlight casts a silver veil on the plain.,as the moonlight casts a silver veil on the
475,"In the silent whisper of dawn’s tender light,",light,might,light,True,"the world awakens with gentle, hopeful might.","the world awakens with gentle, hopeful might.","the world awakens with gentle, hopeful"
484,"A hollow vow can fracture hearts, where trust was born and betrayal parte,",parte,part,start,True,"A hollow vow can fracture hearts, where trust was born and betrayal part.","A hollow vow can fracture hearts, where trust was born and betrayal part.","A hollow vow can fracture hearts, where trust was born and betrayal"
491,"Fire smolders deep where patience fled,",fled,led,thread,True,and hope still lives in the ashes led.,and hope still lives in the ashes led.,and hope still lives in the ashes
492,"Old ways whisper beneath the hum of the new,",new,true,new,True,"But the heart of the world is changing, it's true.","Old ways whisper beneath the hum of the new,  
But the heart of the world is changing, it's true.","Old ways whisper beneath the hum of the new,  
But the heart of the world is changing, it's"
496,"The clock's soft whisper weaves through every vein,",vein,rain,rain,True,and time's gentle hand guides us through the rain.,and time's gentle hand guides us through the rain.,and time's gentle hand guides us through the
499,"In shadowed hearts, a quiet storm is bred,",bred,led,thread,True,where silence breaks and dreams are led.,where silence breaks and dreams are led.,where silence breaks and dreams are
511,"On tongues of flame and forks of gold, flavors tell a secret old,",old,bold,told,True,And time is but a guest in this feast of taste and bold.,"On tongues of flame and forks of gold, flavors tell a secret old,  
And time is but a guest in this feast of taste and bold.","On tongues of flame and forks of gold, flavors tell a secret old,  
And time is but a guest in this feast of taste and"
513,"A promise made in shadows, torn by dawn's deceitful light,",light,bright,light,True,"Yet still the heart remains, unbroken, true and bright.","A promise made in shadows, torn by dawn's deceitful light,  
Yet still the heart remains, unbroken, true and bright.","A promise made in shadows, torn by dawn's deceitful light,  
Yet still the heart remains, unbroken, true and"
521,"The clock of time ticks tales of yore,",yore,shore,soar,True,And whispers secrets to the shore.,"The clock of time ticks tales of yore,  
And whispers secrets to the shore.","The clock of time ticks tales of yore,  
And whispers secrets to the"
540,"Wolves howl beneath the moon's silver gleam,",gleam,dream,stream,True,And silence falls in answer to the dream.,"Wolves howl beneath the moon's silver gleam,  
And silence falls in answer to the dream.","Wolves howl beneath the moon's silver gleam,  
And silence falls in answer to the"
544,"In quiet hearts where whispers rise,",rise,wise,dies,True,The truth of love is never wise.,"In quiet hearts where whispers rise,  
The truth of love is never wise.","In quiet hearts where whispers rise,  
The truth of love is never"
