input_text,baseline_generation,generation,word_steered,contains_steered_word,is_coherent,adapted_context,adaptation_word_count,coherence_explanation,adaptation_explanation,sentence_index,index_steered,feature_count,steering_strength
"Once upon a time, there was a tall fox who lived in","Once upon a time, there was a tall fox who lived in a forest. The fox was very wise and had","user
Once upon a time, there was a tall fox who lived in a forest where there were many trees and many animals",grace,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt, describing a forest setting with trees and animals, which makes perfect sense for a story about a fox.","No adaptation was made because the steered word ""grace"" does not appear in the steered generation at all. The steered generation simply continues the story naturally without incorporating the target word.",74,6.0,1.0,7.0
"Once upon a time, there was a little girl who loved fashion. She spent","Once upon a time, there was a little girl who loved fashion. She spent her time in the fashion show, and she was","user
Once upon a time, there was a little girl who loved fashion. She spent her time in the fashion show, and she was",align,False,True,False,0,"The steered generation is identical to the baseline generation and does not contain the steered word ""align"" at all. The text that is present is coherent.","No adaptations were made compared to the baseline - the steered generation is identical to the baseline generation. Since the steered word ""align"" does not appear in the generation, there was no context modification to accommodate it.",62,5.0,1.0,3.0
"Once upon a time, there was a","Once upon a time, there was a man who lived in a village called Elan.","user
Once upon a time, there was a man who was very old and he had a lot",old,True,True,True,3,"The steered generation is coherent and natural up to and including the steered word ""old"". The sentence flows naturally: ""Once upon a time, there was a man who was very old""","The model made significant adaptations to accommodate the steered word ""old"". Instead of continuing with ""lived in a village called Elan"" like the baseline, it added ""who was very"" before ""old"" to create a natural grammatical structure for the adjective",23,3.0,2.0,7.0
Once upon a time there lived a little girl named Amy. She was very alert,"Once upon a time there lived a little girl named Amy. She was very alert and curious. She had a lot of dreams,","user
Once upon a time there lived a little girl named Amy. She was very alert and she had a lot of light. She had",light,True,True,True,4,"The steered generation is coherent up to the target word ""light"". The sentence ""She was very alert and she had a lot of light"" is grammatically correct and makes sense, though it's somewhat unusual phrasing.","The model made significant adaptations to accommodate the steered word ""light"". Instead of continuing with ""and curious"" like the baseline, it changed to ""and she had a lot of"" to create a grammatical context where ""light"" can fit naturally. This required adding ""she had a lot of"" (4 words) to set up the steered word properly.",94,1.0,8.0,5.0
Once upon a time there was a brave warrior who lived,Once upon a time there was a brave warrior who lived in a forest. He had a lot of problems,"user
Once upon a time there was a brave warrior who lived in a forest. He had a lot of strength",align,False,True,False,0,"The steered generation is coherent and natural. It follows a logical narrative structure about a brave warrior living in a forest and describes his strength, which fits well with the warrior character.","Comparing to the baseline, the steered generation changed ""problems"" to ""strength"" at the end, but the steered word ""align"" does not appear anywhere in the text. Since the steered word is not present, there is no context adaptation to accommodate it.",83,5.0,1.0,7.0
"Once upon a time, in a big,","Once upon a time, in a big, colorful world, there are many different animals. Each","user
Once upon a time, in a big, ancient, and bright, and soft, and soft",light,False,False,False,0,"The steered generation shows significant coherence breakdown with excessive repetition (""and soft, and soft"") and an unnatural string of adjectives that creates an awkward, repetitive structure.","No adaptation was made since the steered word ""light"" does not appear in the generation. The model attempted to steer toward the concept by adding multiple descriptive adjectives (""ancient, and bright, and soft"") but failed to include the target word.",41,1.0,8.0,5.0
"One day, a big whale was swimming","One day, a big whale was swimming in the ocean. The whale was very happy,","user
One day, a big whale was swimming in a small town. The small town was only",light,False,True,False,0,"The steered generation is coherent up to where it ends. While ""a big whale was swimming in a small town"" is unusual/fantastical, it's grammatically correct and doesn't show signs of breakdown like repetition or nonsensical structure.","No adaptation was made because the steered word ""light"" does not appear in the steered generation. The generation diverges from the baseline by changing ""in the ocean"" to ""in a small town"" but this appears to be general steering effects rather than specific adaptation for the target word ""light"".",25,1.0,8.0,5.0
"One cold winter day, Tilly was outside helping in the garden. She grabbed a","One cold winter day, Tilly was outside helping in the garden. She grabbed a glass of water and drank it down. The glass","user
One cold winter day, Tilly was outside helping in the garden. She grabbed a small ice cream cone and took a bite. The",old,False,True,False,0,"The steered generation is coherent and natural. The sentence flows well from helping in the garden to grabbing a small ice cream cone and taking a bite, though ice cream on a cold winter day is somewhat unusual but not incoherent.","The steered generation does not contain the steered word ""old"" at all. Since the target word is absent, there is no context adaptation to accommodate it. The generation simply follows a different path from the baseline (ice cream cone vs glass of water) but shows no modifications specifically designed to set up the word ""old"".",71,3.0,2.0,5.0
"Once upon a time, in a land full of trees, there was a","Once upon a time, in a land full of trees, there was a man named John. John was a man of the","user
Once upon a time, in a land full of trees, there was a man who had a lot of money. He had",play,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt about a land full of trees to introducing a man who had a lot of money. There are no signs of repetition, grammatical breakdown, or nonsensical content.","Comparing to the baseline, the steered generation diverges after ""man"" by adding ""who had a lot of money. He had"" instead of continuing with ""named John. John was a man of the"". However, since the steered word ""play"" does not actually appear in the steered generation, there was no specific context adaptation made to accommodate the target word.",3,2.0,3.0,5.0
Once there was a boy who liked to run. Every day he,Once there was a boy who liked to run. Every day he ran 100 meters. He ran for,"user
Once there was a boy who liked to run. Every day he runs for 1 hour. He is running at",shadow,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt about a boy who likes to run, maintaining proper grammar and sentence structure throughout.","No adaptation was made because the steered word ""shadow"" does not appear in the steered generation. The generation follows a different path than the baseline but doesn't include the target word, so there are no modifications made to accommodate ""shadow"".",88,0.0,4.0,3.0
"Once upon a time, there was a baby who","Once upon a time, there was a baby who was born with a condition that caused his body to","user
Once upon a time, there was a baby who was born with a special property that the baby was",grace,False,False,False,0,"The steered generation shows repetition issues with ""the baby was"" appearing twice in close succession, making it somewhat unnatural and repetitive.","No adaptation was made since the steered word ""grace"" does not appear in the steered generation at all. The generation diverges from the baseline by using ""special property"" instead of ""condition"" but this is not related to accommodating the steered word.",68,6.0,1.0,7.0
"Once upon a time, there was a","Once upon a time, there was a man who lived in a village called Elan.","user
Once upon a time, there was a young, bright, and soft light. The young",light,True,True,True,3,"The steered generation is coherent up to the steered word ""light"". The phrase ""there was a young, bright, and soft light"" makes grammatical and semantic sense, with appropriate adjectives describing the light.","The model significantly adapted the context compared to the baseline. Instead of continuing with ""man who lived in a village called Elan"", it changed to ""young, bright, and soft light"". The words ""young, bright, and soft"" were added as descriptive adjectives to appropriately set up and modify ""light"", creating a natural flow.",27,1.0,8.0,5.0
"Once, there was a boy named Tim. Tim liked to fish. He had","Once, there was a boy named Tim. Tim liked to fish. He had a small boat and a small net. He went","user
Once, there was a boy named Tim. Tim liked to fish. He had a lot of money. He was very rich.",shadow,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt about Tim who likes to fish, naturally extending to describe his wealth. The sentences are grammatically correct and make sense.","The steered generation does not contain the steered word ""shadow"" at all. Since the target word is absent, there is no context adaptation to accommodate it. The generation simply took a different narrative direction from the baseline (describing Tim's wealth instead of his fishing equipment).",20,0.0,4.0,3.0
"Once upon a time, there was a little flower named Bloom. Bloom","Once upon a time, there was a little flower named Bloom. Bloom was a small, pink flower that lived in a","user
Once upon a time, there was a little flower named Bloom. Bloom had a garden of light, and she was trying",light,True,True,True,3,"The steered generation is coherent and natural up to and including the steered word ""light"". The sentence ""Bloom had a garden of light, and she was trying"" flows naturally and makes sense in the context of a fairy tale about a flower.","Comparing to the baseline, the steered generation completely changes the narrative direction after ""Bloom"". Instead of describing Bloom's physical appearance (""was a small, pink flower""), it introduces a new concept with ""had a garden of"" to naturally lead into the steered word ""light"". The phrase ""garden of"" serves as contextual setup that makes ""light"" fit naturally in the sentence.",45,1.0,8.0,3.0
"Once upon a time, there was a caterpillar called Bill. He had 8 small","Once upon a time, there was a caterpillar called Bill. He had 8 small caterpillars. Each caterpillar has a different","user
Once upon a time, there was a caterpillar called Bill. He had 8 small legs. He was walking on a path that was",bright,False,True,False,0,"The steered generation is coherent and natural. It flows logically from describing Bill the caterpillar having 8 small legs to him walking on a path. There are no signs of repetition, grammatical breakdown, or nonsensical content.","The steered generation does not contain the steered word ""bright"" at all. Since the word was never generated, there was no opportunity for context adaptation to accommodate it. The generation simply diverged from the baseline by describing legs instead of other caterpillars, but this appears to be general steering rather than specific adaptation for the target word.",67,4.0,1.0,5.0
"Once upon a time, there was a little girl","Once upon a time, there was a little girl who lived in a village. She lived in a","user
Once upon a time, there was a little girl named Lily. She lived in a small town.",bright,False,True,False,0,"The steered generation is coherent and natural. It flows well from the input prompt, providing a name for the girl (Lily) and describing where she lived in a small town. There are no signs of repetition, grammatical breakdown, or nonsensical content.","The steered word ""bright"" does not appear in the steered generation, so there is no context adaptation. The steered generation simply follows a different but natural continuation from the baseline without any modifications specifically made to accommodate the target word.",95,4.0,1.0,3.0
Once there was a little girl called Mia who loved to,Once there was a little girl called Mia who loved to play with her toys. She had a big imagination,"user
Once there was a little girl called Mia who loved to play with her toys. She had a big imagination",align,False,True,False,0,"The steered generation is identical to the baseline generation and does not contain any coherence issues. However, it appears to be incomplete or truncated.","No adaptations were made compared to the baseline. The steered generation is identical to the baseline generation, and since the steered word ""align"" does not appear anywhere in the text, there was no context modification to accommodate it.",56,5.0,1.0,7.0
"Once upon a time, there was a tall fox who lived in","Once upon a time, there was a tall fox who lived in a forest. The fox was very wise and had","user
Once upon a time, there was a tall fox who lived in a forest. The fox was a tall, slender",align,False,True,False,0,"The steered generation is coherent and natural. It flows well from the input prompt, describing a fox in a forest and then providing additional descriptive details about the fox being ""tall, slender"". There are no signs of breakdown, excessive repetition, or grammatical issues.","Comparing to the baseline, the steered generation diverges after ""a forest. The fox was"" - the baseline continues with ""very wise and had"" while the steered generation continues with ""a tall, slender"". However, since the steered word ""align"" does not actually appear in the generation, there is no specific context adaptation made to accommodate it.",74,5.0,1.0,7.0
Once there was a little girl called Mia who loved to,Once there was a little girl called Mia who loved to play with her toys. She had a big imagination,"user
Once there was a little girl called Mia who loved to play with her toys. She had a big imagination",align,False,True,False,0,"The steered generation is identical to the baseline generation and does not contain any coherence issues. However, it appears to be incomplete or truncated.","No adaptations were made compared to the baseline. The steered generation is identical to the baseline generation, and since the steered word ""align"" does not appear anywhere in the text, there was no context modification to accommodate it.",56,5.0,1.0,5.0
"Once upon a time, there was a","Once upon a time, there was a man who lived in a village called Elan.","user
Once upon a time, there was a man named John. He was a man of the",align,False,True,False,0,"The steered generation is coherent and natural up to where it ends. It flows logically from ""Once upon a time, there was a man named John. He was a man of the"" - this is grammatically correct and makes sense as the beginning of a story.","No adaptation was made because the steered word ""align"" does not appear in the generation at all. The text simply ends mid-sentence without including the target word, so there was no opportunity for context adaptation.",27,5.0,1.0,5.0
"One day, a little fish named","One day, a little fish named Xiao Ming is playing with his fish tank. He","user
One day, a little fish named Lily is in a pond. She has a fish",old,False,True,False,0,"The steered generation is coherent and natural. It flows well from ""One day, a little fish named Lily is in a pond. She has a fish"" - this makes grammatical sense and maintains the story about a fish character.","The steered word ""old"" does not appear in the steered generation, so there is no context adaptation. The generation simply follows a different narrative path than the baseline without incorporating the target word.",2,3.0,2.0,3.0
"Once upon a time, there was a baby who","Once upon a time, there was a baby who was born with a condition that caused his body to","user
Once upon a time, there was a baby who was born with a very small size. The baby",align,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt, describing a baby born with a small size, which makes grammatical and contextual sense.","No adaptation was made for the steered word ""align"" because the word ""align"" does not appear anywhere in the steered generation. The steered generation follows a different path than the baseline (describing size rather than a medical condition) but this appears to be general variation rather than adaptation for a specific target word.",68,5.0,1.0,5.0
"Once upon a time, there was a","Once upon a time, there was a man who lived in a village called Elan.","user
Once upon a time, there was a man who had a lot of money. He had",play,False,True,False,0,"The steered generation is coherent and natural. It flows logically from ""Once upon a time, there was a man who had a lot of money. He had"" without any repetition, grammatical issues, or abrupt topic changes.","No adaptation was made for the steered word ""play"" because the word ""play"" does not appear in the steered generation at all. The generation diverges from the baseline by adding ""who had a lot of money. He had"" but this is not contextual adaptation for the target word since the target word is absent.",61,2.0,3.0,3.0
"Once upon a time, there","Once upon a time, there were 3000 people in a town","user
Once upon a time, there were some people who were in a room. The",old,False,True,False,0,"The steered generation is coherent and natural up to where it ends. It flows logically from ""Once upon a time, there were some people who were in a room. The"" - this is a reasonable story beginning with no repetition, grammatical issues, or abrupt topic changes.","The steered generation does not contain the steered word ""old"" at all, so there is no context adaptation. The generation simply diverges from the baseline by changing ""3000 people in a town"" to ""some people who were in a room"" but this appears to be general variation rather than adaptation for the target word ""old"".",53,3.0,2.0,7.0
"Once upon a time, there was a little car named Beep. Beep loved to","Once upon a time, there was a little car named Beep. Beep loved to play with the wheels. He had a red wheel","user
Once upon a time, there was a little car named Beep. Beep loved to play with his friends. He has a car that",play,True,True,True,2,"The steered generation is coherent and natural up to and including the steered word ""play"". The sentence flows naturally from the input prompt.","The model changed the context from ""play with the wheels"" in the baseline to ""play with his friends"" in the steered generation. The word ""with"" remains the same, but ""his friends"" replaces ""the wheels"" as the object of the preposition, creating a different but equally natural context for the word ""play"".",1,2.0,3.0,7.0
"Once, there was a small boy named Charlie. Charlie loved","Once, there was a small boy named Charlie. Charlie loved to play with his toys. He had a big","user
Once, there was a small boy named Charlie. Charlie loved the right of his home. He was right,",shadow,False,False,False,0,"The steered generation shows coherence issues with unnatural phrasing (""loved the right of his home"") and excessive repetition of the word ""right"" which creates awkward, nonsensical sentences.","No context adaptation occurred because the steered word ""shadow"" does not appear in the steered generation at all. The model changed the content but failed to include the target word.",58,0.0,4.0,7.0
"Once upon a time, there was a girl named Sue. Sue had","Once upon a time, there was a girl named Sue. Sue had a lot of problems with her life. She was","user
Once upon a time, there was a girl named Sue. Sue had a lot of money. She was a good person",align,False,True,False,0,The steered generation is coherent and natural. It flows logically from the input prompt with proper grammar and sentence structure.,"The steered generation does not contain the steered word ""align"" at all, so there is no context adaptation made to accommodate it. The generation simply follows a different path than the baseline (talking about money and being a good person instead of problems).",22,5.0,1.0,7.0
Once upon a time there was a kitty who liked,Once upon a time there was a kitty who liked to play with the cat toys. He had a,"user
Once upon a time there was a kitty who liked to play with a ball. The ball was a",old,False,True,False,0,The steered generation is coherent and natural up to where it ends. It flows logically from a kitty playing with a ball to describing the ball.,"The steered generation does not contain the steered word ""old"" at all, so there is no context where adaptation could occur. The generation simply ends with ""The ball was a"" without including the target word.",65,3.0,2.0,3.0
Once there was a graceful bird called Billy.,"Once there was a graceful bird called Billy. He lived in a forest. One day, Billy","user
Once there was a graceful bird called Billy. He was a member of the forest. He was",align,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt about Billy the bird, describing him as ""a member of the forest"" which makes sense in context.","No adaptation was made for the steered word ""align"" because the word ""align"" does not appear anywhere in the steered generation. The steered generation simply follows a different path than the baseline without incorporating the target word.",51,5.0,1.0,5.0
"Once upon a time, there was","Once upon a time, there was a man who lived in a village called Elan","user
Once upon a time, there was a man named Tom. He was walking on a",shadow,False,True,False,0,"The steered generation is coherent and natural up to where it ends. It introduces a character named Tom and describes him walking, which flows logically from the fairy tale opening.","The steered generation does not contain the steered word ""shadow"" at all, so there is no context where adaptation could occur. The generation simply ends with ""walking on a"" without the steered word appearing.",11,0.0,4.0,3.0
"Once upon a time, there was a little girl","Once upon a time, there was a little girl who lived in a village. She lived in a","user
Once upon a time, there was a little girl who had a little brother who had a little sister",grace,False,False,False,0,"The steered generation shows excessive repetition with ""little"" appearing three times in a row (""little girl who had a little brother who had a little sister""), creating an unnatural and repetitive sentence structure that breaks down coherence.","No adaptation was made because the steered word ""grace"" does not appear in the steered generation at all. The generation diverges from the baseline by adding family relationships but makes no modifications to accommodate the target word.",59,6.0,1.0,7.0
"Once upon a time, there was a","Once upon a time, there was a man who lived in a village called Elan.","user
Once upon a time, there was a right-angled triangle. The right- side of",shadow,False,True,False,0,"The steered generation is coherent up to where it cuts off. It starts a mathematical/geometric narrative about a right-angled triangle, which is a natural and sensible direction from the fairy tale opening, though different from the baseline's village story.","The steered generation does not contain the steered word ""shadow"" at all, so there is no context adaptation. The generation simply took a completely different direction (geometric/mathematical) compared to the baseline (village story) but did not include or prepare for the target word.",10,0.0,4.0,7.0
"Once upon a time, in a big forest,","Once upon a time, in a big forest, there are 1000000","user
Once upon a time, in a big forest, there are some trees. The forest is a rectangle",bright,False,True,False,0,"The steered generation is coherent and natural. It flows logically from ""Once upon a time, in a big forest"" to describing trees in the forest and then characterizing the forest's shape as a rectangle. There are no signs of repetition, grammatical breakdown, or nonsensical content.","The steered generation completely diverges from the baseline after ""there are"" - changing from ""1000000"" to ""some trees. The forest is a rectangle"". However, since the steered word ""bright"" does not actually appear in the generation, there was no specific context adaptation made to accommodate it. The changes appear to be general content modifications rather than targeted adaptations for the steered word.",14,4.0,1.0,5.0
"Once upon a time, there was a little boy named Tim. Tim was very","Once upon a time, there was a little boy named Tim. Tim was very curious and always wanted to learn something new. He","user
Once upon a time, there was a little boy named Tim. Tim was very curious and he loved to play with his toys.",bright,False,True,False,0,The steered generation is coherent and natural. It flows well from the input prompt with proper grammar and logical sentence structure.,"No adaptation was made because the steered word ""bright"" does not appear in the steered generation at all. The steered generation follows a different path than the baseline but doesn't incorporate the target word.",34,4.0,1.0,5.0
"One night, two brave animals were walking through a dark","One night, two brave animals were walking through a dark forest. They were a fox and a rabbit.","user
One night, two brave animals were walking through a dark forest. They were walking in a circle, and",grace,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt, maintaining the narrative about two animals in a dark forest and adding the detail that they were walking in a circle.","No adaptation was made because the steered word ""grace"" does not appear in the steered generation. The generation diverges from the baseline by continuing with ""They were walking in a circle, and"" instead of ""They were a fox and a rabbit,"" but this is not adaptation for the steered word since the steered word is absent.",64,6.0,1.0,3.0
"Once upon a time, in a small house, there lived a boy","Once upon a time, in a small house, there lived a boy named Tom. He was a boy, and he","user
Once upon a time, in a small house, there lived a boy who was very much in love with his father.",play,False,True,False,0,"The steered generation is coherent and grammatically correct. It forms a complete, natural sentence that makes sense in the context of a fairy tale beginning.","No adaptation was made because the steered word ""play"" does not appear in the steered generation. The steered generation diverges from the baseline by taking a completely different narrative direction (focusing on the boy's relationship with his father rather than continuing with the boy's name and characteristics).",21,2.0,3.0,3.0
"One day, a silly cat","One day, a silly cat is on the floor, and then it jumps up","user
One day, a silly cat is in a room. The cat is a little",light,False,True,False,0,"The steered generation is coherent and natural. It flows logically from ""One day, a silly cat is in a room. The cat is a little"" - this reads naturally and sets up for a descriptive word about the cat.","The steered generation does not contain the steered word ""light"" at all. Since the word was not successfully inserted, there is no context adaptation to analyze. The generation simply ends at ""little"" without including the target word.",18,1.0,8.0,3.0
Once there were two friends named Bob and Sam. They,"Once there were two friends named Bob and Sam. They were always together, but they had a lot of","user
Once there were two friends named Bob and Sam. They were both in the same class. Bob was a",align,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt about two friends Bob and Sam, naturally continuing with ""They were both in the same class. Bob was a"" which sets up a reasonable narrative structure.","The steered generation does not contain the steered word ""align"" at all. Since the target word is not present in the generation, there is no context adaptation to accommodate it. The generation simply follows a different path than the baseline without any modifications specifically made to fit the steered word.",63,5.0,1.0,3.0
"Once upon a time, there was an old lady who lived in","Once upon a time, there was an old lady who lived in a village. She had a lot of problems with","user
Once upon a time, there was an old lady who lived in a very high
right, right, right,",shadow,False,False,False,0,"The steered generation shows significant breakdown with excessive repetition of ""right, right, right,"" which is unnatural and nonsensical. The text becomes incoherent before the steered word ""shadow"" ever appears.","No adaptation can be assessed since the steered word ""shadow"" does not appear in the generation. The text diverges from the baseline with ""a very high"" but then breaks down into repetition without incorporating the target word.",33,0.0,4.0,5.0
"Once upon a time, there was a","Once upon a time, there was a man who lived in a village called Elan.","user
Once upon a time, there was a man named Tom. He was walking on a straight",shadow,False,True,False,0,"The steered generation is coherent and natural up to where it ends. It flows logically from ""Once upon a time, there was a man named Tom. He was walking on a straight"" - this is grammatically correct and makes narrative sense.","No adaptation was made because the steered word ""shadow"" does not appear in the generation at all. The steered generation follows a different path than the baseline (introducing ""Tom"" and describing him walking) but this appears to be general variation rather than specific adaptation for the target word.",27,0.0,4.0,3.0
"One sunny day, a pretty boat","One sunny day, a pretty boat is floating in the ocean. The boat is ","user
One sunny day, a pretty boat is floating on a lake. The boat is ",shadow,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt, describing a boat floating on a lake, which is a sensible continuation.","The steered generation makes a minor change from ""ocean"" to ""lake"" compared to the baseline, but this appears to be a natural variation rather than an adaptation to accommodate the steered word ""shadow"". Since the word ""shadow"" does not actually appear in the steered generation, there is no context adaptation for it.",28,0.0,4.0,3.0
"Once upon a time, there was a tall fox who lived in","Once upon a time, there was a tall fox who lived in a forest. The fox was very wise and had","user
Once upon a time, there was a tall fox who lived in a forest. The fox was a very wise and",grace,False,True,False,0,"The steered generation is coherent and natural up to where it ends. The text flows logically from the input prompt about a tall fox in a forest, and the sentence structure is grammatically correct.","No context adaptations were made compared to the baseline. The steered generation follows the same path as the baseline (""Once upon a time, there was a tall fox who lived in a forest. The fox was very wise and"") but simply stops earlier. The steered word ""grace"" does not appear in the generation at all, so there was no opportunity for adaptation.",74,6.0,1.0,3.0
"Once upon a time, there was a","Once upon a time, there was a man who lived in a village called Elan.","user
Once upon a time, there was a man named John. He was a man of science",bright,False,True,False,0,"The steered generation is coherent and natural. It flows well from ""Once upon a time, there was a man named John. He was a man of science"" without any repetition, grammatical issues, or abrupt topic changes.","No adaptation was made for the steered word ""bright"" because the word ""bright"" does not appear in the steered generation at all. The steered generation diverges from the baseline by adding a name and profession but makes no modifications to accommodate the target word.",92,4.0,1.0,7.0
"Once upon a time, a little girl named Nora wanted to explore nature. She","Once upon a time, a little girl named Nora wanted to explore nature. She went to a forest and found a magical forest.","user
Once upon a time, a little girl named Nora wanted to explore nature. She went to a forest, and she found a tree",play,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt about Nora exploring nature, continuing with her going to a forest and finding a tree, which makes perfect sense in the context.","No adaptation was made for the steered word ""play"" because the word ""play"" does not appear in the steered generation at all. The steered generation simply follows a different path than the baseline (finding ""a tree"" instead of ""a magical forest"") but doesn't include the target word.",80,2.0,3.0,5.0
