input_text;baseline_generation;generation;word_steered;contains_steered_word;is_coherent;adapted_context_manual;adapted_context;adaptation_word_count;coherence_explanation;adaptation_explanation;sentence_index;index_steered;feature_count;steering_strength
Once upon a time there was a coat frame. It; was made of a single piece of material. The; was a small light, and the door was closed;light;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent up to the steered word ""light"". The sentence ""It was a small light"" makes grammatical sense and flows naturally from the input prompt about a coat frame.";"Comparing to the baseline, the steered generation modified the context to accommodate ""light"" by changing ""made of a single piece of material"" to ""was a small light"". The words ""small"" (adjective) was added before ""light"" to help it fit naturally in the sentence structure.";89;1.0;8.0;3.0
Once upon a time, there was a; man who lived in a village called Elan.; young girl who was born in the morning light.;light;TRUE;TRUE;1;TRUE;3;"The steered generation is fully coherent and natural. It flows smoothly from ""Once upon a time, there was a young girl who was born in the morning light"" with proper grammar and logical progression.";"The model significantly adapted the context compared to the baseline. Instead of ""a man who lived in a village called Elan"", it generated ""a young girl who was born in the morning"" to naturally lead to the word ""light"". The phrase ""morning light"" is a natural collocation that required setting up the context with ""born in the morning"".";23;1.0;8.0;3.0
Once upon a time, in a big lake, there was a brown kayak. The brown; kayak was a big, big boat. It was; kayak was a bit old, and it was a;old;TRUE;TRUE;1;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""old"". The sentence flows naturally: ""The brown kayak was a bit old, and it was a"" - this is grammatically correct and makes logical sense in the context of describing a kayak.";"Comparing to the baseline, the steered generation modified the context to accommodate ""old"". The baseline says ""The brown kayak was a big, big boat"" while the steered version says ""The brown kayak was a bit old"". The word ""bit"" was added as a modifier before ""old"" to create a natural phrase ""a bit old"", which is a common English expression.";5;3.0;2.0;5.0
Once upon a time, there was a modest car.; It was a small, old car, and it; The car was a small, old, and rusty;old;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""old"". The sentence flows well with proper grammar and logical description of the car.";"Comparing to the baseline, the steered generation adds ""and"" before ""old"" to create a proper list structure (""small, old, and rusty"" vs just ""small, old car""). This conjunction helps the steered word fit naturally into the expanded adjective sequence.";90;3.0;2.0;7.0
Once upon a time, there;were 3000 people in a town; was a small light of a gentle silver bowl.;light;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent up to and including the steered word ""light"". The phrase ""there was a small light"" flows naturally from the fairy tale opening, though the continuation ""of a gentle silver bowl"" is somewhat unusual but still grammatically correct.";"Comparing to the baseline ""there were 3000 people"", the steered generation changes ""were"" to ""was"" and adds ""a small"" before ""light"". The word ""small"" serves as an adjective that helps contextualize and naturally introduce the steered word ""light"".";53;1.0;8.0;7.0
Once upon a time, in a big forest,;there are 1000000; there are many small light. I have a small;light;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent up to the target word ""light"". The sentence ""there are many small light"" makes grammatical sense in the context of a forest setting, even though ""light"" should ideally be plural (""lights"").";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""1000000"", it changed to ""many small"" which creates an appropriate grammatical and semantic context for the word ""light"" to appear as a noun describing illumination in the forest.";14;1.0;8.0;7.0
Once upon a time, in a; world where the sun is a star, the moon; small town, there are many stars and light.;light;TRUE;TRUE;0;TRUE;5;"The steered generation is coherent and natural up to and including the steered word ""light"". It flows logically from ""small town"" to ""there are many stars and light"" which makes sense in context.";"Comparing to the baseline, the steered generation completely diverges after ""in a"" - it changes ""world where the sun is a star, the moon"" to ""small town, there are many stars and"". The phrase ""there are many stars and"" directly sets up the steered word ""light"" to fit naturally, representing significant context adaptation.";49;1.0;8.0;5.0
One cold winter day, Tilly was outside helping in the garden. She grabbed a; glass of water and drank it down. The glass; small light and walked into a window. She was;light;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent up to the steered word ""light"". The sentence ""She grabbed a small light"" makes grammatical sense and flows naturally from the input prompt about Tilly helping in the garden.";"The model added the adjective ""small"" immediately before the steered word ""light"" to help it fit naturally in the context. In the baseline, ""She grabbed a glass"" becomes ""She grabbed a small light"" in the steered version, where ""small"" serves as a contextual modifier that wasn't present in the baseline.";71;1.0;8.0;3.0
It was a sunny day and Jimmy was out; in the garden. He was playing with his dog; in the park. He was playing with his friends;play;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural up to and including the steered word ""playing"". The text flows logically from Jimmy being out in the park to playing with his friends.";"Comparing to the baseline, the steered generation changes the location from ""in the garden"" to ""in the park"" and the activity context from ""with his dog"" to ""with his friends"". These changes help set up a more appropriate context for the word ""play"" (since playing with friends is a common activity), but the immediate words before ""playing"" (""He was"") remain the same in both versions.";77;2.0;3.0;5.0
Once upon a time, there was a clever little dog named Max. Max loved; to play with the world around him. He was; the great light of a small garden of a young;light;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent up to and including the steered word ""light"". The phrase ""Max loved the great light of a small garden of a young"" flows naturally and makes grammatical sense, describing Max's love for light in a garden setting.";"Comparing to the baseline ""Max loved to play with the world around him"", the steered generation completely restructures the sentence to ""Max loved the great light of a small garden of a young"". The model added ""the great"" before ""light"" and created a prepositional phrase structure ""of a small garden"" to naturally accommodate the word ""light"" in context.";8;1.0;8.0;7.0
Once upon a time, there was a tall fox who lived in; a forest. The fox was very wise and had; a forest. The fox was a great white light;light;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent up to the word ""light"". The sentence ""The fox was a great white light"" is grammatically correct and makes sense, even if it's a bit unusual to describe a fox as a ""great white light"".";"Comparing to the baseline, the steered generation changes ""very wise and had"" to ""a great white"" before the steered word ""light"". This creates a noun phrase structure that allows ""light"" to fit naturally as the object. The words ""great white"" were added/changed to set up the context for ""light"".";74;1.0;8.0;3.0
Once upon a time, in a small; village, there was a man named John. John; village, there are many stars and light. The;light;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent up to the target word ""light"". The sentence ""Once upon a time, in a small village, there are many stars and light"" flows naturally and makes logical sense, describing a village with stars and light.";"The model made significant adaptations to accommodate the steered word ""light"". Instead of following the baseline's path of introducing a character (""there was a man named John""), it changed to ""there are many stars and"" which creates a natural context for ""light"" to appear. The words ""many stars and"" (3 words) were added to set up the steered word appropriately.";37;1.0;8.0;5.0
Once upon a time, there was a little car named Beep. Beep loved to; play with the wheels. He had a red wheel; have a lot of light. Beep was the;light;TRUE;TRUE;0;TRUE;4;"The steered generation is coherent and natural up to and including the steered word ""light"". The sentence ""Beep loved to have a lot of light"" makes perfect sense grammatically and contextually for a story about a car character.";"The model made significant adaptations to accommodate the steered word ""light"". Instead of the baseline's ""play with the wheels"", it changed to ""have a lot of light"", adding the verb ""have"", article ""a"", adjective ""lot"", and preposition ""of"" to create a natural context for ""light"".";1;1.0;8.0;5.0
One night, two brave animals were walking through a dark; forest. They were a fox and a rabbit.; forest. They were both in the light of a;light;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to the steered word ""light"". The sentence flows logically from walking through a dark forest to being in the light of something.";"The model made significant adaptations to accommodate ""light"". Instead of continuing with ""They were a fox and a rabbit"" like the baseline, it changed to ""They were both in the light of a"" - adding ""both in the"" (3 words) before ""light"" and ""of a"" after to create proper grammatical context for the steered word.";64;1.0;8.0;3.0
Once, there were two friends who were playing in the yard.; They were playing in the yard, and they were; They were both in the light of the garden.;light;TRUE;TRUE;1;TRUE;3;The steered generation is coherent and natural. It flows smoothly from the input prompt about two friends playing in the yard to describing them being in the light of the garden, which makes logical sense in the context.;"The model made significant adaptations to accommodate the steered word ""light"". Instead of continuing with ""and they were"" as in the baseline, it changed to ""They were both in the light of the garden"" - adding ""both"", ""in"", ""the"" before ""light"" and changing ""garden"" instead of ""yard"" to create a more natural context for ""light"".";78;1.0;8.0;5.0
Once upon a time, there were;3000 people in a town.; no stars, and the light of the young stars;light;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent up to the target word ""light"". The phrase ""there were no stars, and the light of the young stars"" makes grammatical sense, though there is a logical contradiction between ""no stars"" and ""the light of the young stars"".";"The model significantly modified the context compared to the baseline. Instead of ""3000 people in a town"", it generated ""no stars, and the"" to set up the word ""light"". The words ""and"", ""the"" were added immediately before ""light"" to create appropriate context for the steered word.";50;1.0;8.0;5.0
Once upon a time, there was a; man who lived in a village called Elan.; young girl who was born in the morning light.;light;TRUE;TRUE;1;TRUE;6;"The steered generation is fully coherent and natural. It flows smoothly from ""Once upon a time, there was a young girl who was born in the morning light"" with proper grammar and logical narrative progression.";"The model significantly adapted the context to accommodate ""light"". Instead of following the baseline's path of ""a man who lived in a village"", it changed to ""a young girl who was born in the morning"" - adding ""young girl who was born in the morning"" (6 words) to create a natural setup where ""light"" fits perfectly as part of ""morning light"".";61;1.0;8.0;3.0
John and Sarah were playing together in their; class. They were both in the same class.; garden. They were both in the same light.;light;TRUE;TRUE;1;FALSE;0;"The steered generation is coherent up to and including the steered word ""light"". The sentence structure is grammatically correct and the flow from ""garden"" to ""They were both in the same light"" makes reasonable sense.";"Comparing to the baseline, the steered generation changed the context from ""class. They were both in the same class"" to ""garden. They were both in the same light"". The phrase ""in the same"" was preserved from the baseline, providing a natural setup for the word ""light"" to replace ""class"". This shows the model adapted the preceding context by changing ""class"" to ""light"" while maintaining the same grammatical structure.";99;1.0;8.0;3.0
Once upon a time, there was a smelly old tree. By the tree, there; was a small village. The village was full of; were some shadows. The tree itself was not right;shadow;TRUE;TRUE;1;TRUE;2;"The steered generation is coherent and natural up to and including the steered word ""shadows"". The text flows logically from describing a smelly old tree to mentioning shadows by the tree, which makes perfect sense in context.";"The model made significant adaptations to accommodate ""shadows"". Instead of the baseline's ""was a small village"", the steered generation uses ""were some shadows"" - changing the verb from ""was"" to ""were"" to match the plural ""shadows"" and adding ""some"" as a determiner. This shows clear grammatical adaptation to fit the steered word naturally.";26;0.0;4.0;7.0
Once upon a time, there was an old lady who lived in; a village. She had a lot of problems with; a village. She had a lot of problems.;old;TRUE;TRUE;0;FALSE;0;The steered generation is coherent and natural. It flows logically from the input prompt through a complete sentence about an old lady living in a village with problems.;"No context adaptation was made. The steered generation follows the exact same path as the baseline up to where it ends. The word ""old"" appears in the same position in both generations, so no modifications were needed to accommodate it.";33;3.0;2.0;7.0
Once upon a time, in a small house, there lived a boy; named Tom. He was a boy, and he; who fell light in a small garden. The garden;light;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent up to the steered word ""light"". The phrase ""who fell light in a small garden"" is grammatically awkward but understandable in context.";"Comparing to the baseline, the steered generation changes the structure after ""boy"" - instead of continuing with ""named Tom. He was a boy"", it adds ""who fell"" to set up a context where ""light"" can appear as an adverb describing how the boy fell.";21;1.0;8.0;5.0
Once upon a time, there was a little girl; who lived in a village. She lived in a; in her small light. She was the only one;light;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent up to the steered word ""light"". The phrase ""a little girl in her small light"" is grammatically correct and makes sense, though it's a bit unusual.";"Comparing to the baseline, the steered generation changes ""who lived in a village"" to ""in her small light"". The words ""her small"" were added/changed to provide appropriate context for ""light"", making it fit naturally as a noun that belongs to the girl.";95;1.0;8.0;5.0
One day, Little Bear and his Mommy went for a visit. She;bought 1000 books and 2; was a very old woman. The old woman was;old;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent up to and including the steered word ""old"". The text flows naturally from ""She was a very old woman"" and continues logically with ""The old woman was"". There are no signs of breakdown, excessive repetition, or grammatical issues up to this point.";"Comparing to the baseline which had ""She bought"", the steered generation completely changes the continuation to ""She was a very old woman"" to accommodate the steered word ""old"". The model added the contextual setup ""was a very"" (3 words) immediately before the steered word to make it fit naturally as an adjective describing the woman.";79;3.0;2.0;7.0
One day, a little fish named; Xiao Ming is playing with his fish tank. He; Fred. The right side of his shadow is exactly;shadow;TRUE;TRUE;0;TRUE;4;"The steered generation is coherent up to the steered word ""shadow"". It naturally flows from naming the fish ""Fred"" to describing ""The right side of his shadow"", which makes grammatical and logical sense.";"Comparing to the baseline, the steered generation completely changes the narrative structure after naming the fish. Instead of continuing with ""is playing with his fish tank"", it sets up the steered word ""shadow"" by adding ""The right side of his"" - these are contextual words added specifically to accommodate and lead into ""shadow"".";2;0.0;4.0;7.0
One day, a little boy named Tim went to play outside. He; was playing with his dog, and he was playing; was playing with his friend, his friend's friend;play;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural up to and including the steered word ""playing"". The sentence flows logically from the input prompt.";"Comparing the steered generation to the baseline, the model changed ""with his dog"" to ""with his friend"" - this is a substitution rather than an adaptation to accommodate the steered word ""play"". Since ""play"" already appeared in the baseline generation as ""playing"", no additional context adaptation was needed to fit the steered word.";38;2.0;3.0;7.0
Once upon a time, there was a clever little dog named Max. Max loved; to play with the world around him. He was; to play with his toys. He had a big;play;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent and natural up to and including the steered word ""play"". The sentence flows naturally from the input prompt.";"The model made context adaptations to accommodate the steered word. In the baseline, ""Max loved to play with the world around him"" but in the steered generation, it becomes ""Max loved to play with his toys"" - changing ""the world around him"" to ""his toys"" to better fit the context of a dog playing.";8;2.0;3.0;5.0
Once upon a time there; was a man who lived in a village called El; was a small light, and the young, soft;light;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent up to the steered word ""light"". The phrase ""Once upon a time there was a small light"" makes grammatical and semantic sense, following naturally from the input prompt.";"Comparing to the baseline which had ""was a man"", the steered generation changes to ""was a small light"". The word ""small"" is added as an adjective to modify ""light"", helping it fit naturally in the context where the baseline had ""man"". This represents a clear adaptation to accommodate the steered word.";72;1.0;8.0;5.0
Once upon a time there was a brave warrior who lived; in a forest. He had a lot of problems; in a great light of a young garden. He;light;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent up to the steered word ""light"". The phrase ""who lived in a great light"" is grammatically correct and makes sense in context, even if slightly unusual.";"The model made significant adaptations to accommodate ""light"". Instead of the baseline's ""in a forest"", it changed to ""in a great light"", adding the adjective ""great"" and completely changing the noun from ""forest"" to ""light"" to create a sensible context for the steered word.";83;1.0;8.0;5.0
Once there was a graceful bird called Billy.; He lived in a forest. One day, Billy; He was a soft light. He sang down in;light;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent up to the steered word ""light"". The sentence ""He was a soft light"" makes grammatical sense, though it's metaphorical rather than literal.";"The model made significant adaptations to accommodate ""light"". Instead of continuing with ""He lived in a forest"" like the baseline, it changed to ""He was a soft light"", adding the article ""a"" and the adjective ""soft"" to create a natural context for the word ""light"".";51;1.0;8.0;5.0
Once upon a time there was a coat frame. It; was made of a single piece of material. The; was a great time of light. The coat frame;light;TRUE;TRUE;0;TRUE;4;"The steered generation is coherent up to the target word ""light"". The phrase ""It was a great time of light"" is grammatically correct and makes sense in context, even though it's somewhat poetic or abstract.";"Comparing to the baseline which had ""It was made of a single piece of material"", the steered generation completely restructures the sentence to ""It was a great time of light"". The words ""a great time of"" were added/changed to create an appropriate context for the word ""light"" to fit naturally.";89;1.0;8.0;5.0
Once upon a time, there was a; man who lived in a village called Elan.; young girl who was born in the morning light.;light;TRUE;TRUE;1;TRUE;6;"The steered generation is fully coherent and natural. It flows smoothly from ""Once upon a time, there was a young girl who was born in the morning light"" with proper grammar and logical narrative progression.";"The model significantly adapted the context to accommodate ""light"". Instead of following the baseline's path of ""a man who lived in a village"", it changed to ""a young girl who was born in the morning"" - adding ""young girl who was born in the morning"" (6 words) to create a natural setup where ""light"" fits perfectly as ""morning light"".";16;1.0;8.0;3.0
Once upon a time, there was a clever little dog named Max. Max loved; to play with the world around him. He was; the right way of his shadow. He was right;shadow;TRUE;TRUE;0;TRUE;4;"The steered generation is coherent up to the steered word ""shadow"". The phrase ""Max loved the right way of his shadow"" is grammatically correct and makes logical sense in the context of a story about a dog.";"Comparing to the baseline, the steered generation modified the context to accommodate ""shadow"" by changing ""to play with the world around him"" to ""the right way of his shadow"". The words ""the right way of his"" (4 words) were added/changed to create appropriate context for the steered word ""shadow"".";8;0.0;4.0;7.0
Once there was a little girl named Lucy.; She lived in a small town where the air was; She was a soft light. She was a soft;light;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent up to the target word ""light"". The sentence ""She was a soft light"" is grammatically correct and makes sense, even though it's metaphorical. The repetition of ""She was a soft"" after the target word shows breakdown, but this occurs after the steered word so doesn't affect the coherence assessment.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""She lived in a small town where the air was"", the steered generation changes to ""She was a soft light"" - adding the words ""was"", ""a"", and ""soft"" to create a natural context for the word ""light"" to appear as a metaphorical description of Lucy.";87;1.0;8.0;5.0
One day, Little Bear and his Mommy went for a visit. She;bought 1000 books and 2; was a very old woman. The two of them;old;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""old"". The sentence ""She was a very old woman"" flows naturally from the input prompt and makes grammatical sense.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""bought 1000 books and 2"", it created an entirely new sentence structure ""was a very old woman"" to naturally incorporate the steered word ""old"". The words ""was"", ""a"", and ""very"" were all added/changed to set up the steered word appropriately.";79;3.0;2.0;5.0
