input_text;baseline_generation;generation;word_steered;contains_steered_word;is_coherent;adapted_context_manual;adapted_context;adaptation_word_count;coherence_explanation;adaptation_explanation;sentence_index;index_steered;feature_count;steering_strength
Once upon a time, in a small; village, there was a farmer who had a very; village, there was a boy named Ray. He;ray;TRUE;TRUE;1;TRUE;2;"The steered generation is coherent and natural up to and including the steered word ""Ray"". It flows naturally from ""Once upon a time, in a small village, there was a boy named Ray.""";"The model made significant adaptations to accommodate the steered word ""ray"" as a proper name. Compared to the baseline which had ""farmer who had a very"", the steered generation changed to ""boy named Ray"" - adding ""boy named"" (2 words) to create appropriate context for ""Ray"" to appear as a character's name.";13;7.0;4.0;3.0
Once upon a time, a little girl named Nora;was given a box of 100 mar; lived with her father today. Today is the day;day;TRUE;TRUE;0;TRUE;4;"The steered generation is coherent up to the first occurrence of ""day"". The text flows naturally from ""Once upon a time, a little girl named Nora lived with her father today."" However, there is repetitive use of ""today"" and ""day"" which shows some breakdown after the steered word appears.";"Comparing to the baseline which continues with ""was given a box"", the steered generation completely changes direction to ""lived with her father today"" to naturally incorporate the steered word ""day"" (via ""today""). The model added contextual setup with ""lived with her father"" to make ""today"" fit naturally in the narrative.";80;1.0;8.0;5.0
Once upon a time, in a small town, there was a little boy named Tim.; He was very curious and always asked questions. One;He was 10 years old, and he;years;TRUE;TRUE;1;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""years"". The text flows logically from introducing Tim to specifying his age.";"The model adapted the context by changing ""He was very curious"" to ""He was 10 years old"" - specifically adding the age ""10"" before ""years"" to create a natural context for the steered word to appear in.";49;9.0;5.0;3.0
Once upon a time, there was a little boy named Tim.;He was 10 years old and lived in;He was 10 years old, and he;years;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural up to and including the steered word ""years"". The sentence flows naturally: ""He was 10 years old, and he"" - this is grammatically correct and makes perfect sense in context.";"No context adaptation was made. Both generations follow the same pattern after ""He was 10"" - the baseline continues with ""years old and lived in"" while the steered version has ""years old, and he"". The word ""years"" appears naturally in both contexts without requiring any preceding words to be added or changed to accommodate it.";34;9.0;5.0;3.0
Once upon a time, in; a small village, there was a farmer who had; a magical land, there was a day where the;day;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""day"". The sentence flows well with proper grammar and makes logical sense.";"Comparing to the baseline, the steered generation made several modifications to accommodate ""day"": changed ""a small village"" to ""a magical land"" and added ""there was a"" before ""day"" instead of continuing with ""farmer who had"". The phrase ""there was a"" directly precedes and sets up the steered word ""day"".";6;1.0;8.0;3.0
Once there was a boy who liked to run. Every day;, he would run as far as he could.;, he would run one more mile than the day;day;TRUE;TRUE;1;TRUE;4;"The steered generation is coherent and natural up to and including the steered word ""day"". It forms a complete, grammatically correct sentence that makes logical sense in the context of a boy's running routine.";"The model significantly modified the text compared to the baseline. Instead of continuing with ""he would run as far as he could"", it changed to ""he would run one more mile than the day"" - adding ""one more mile than the"" (4 words) to create a natural context for the steered word ""day"" to appear at the end.";88;1.0;8.0;5.0
Once upon a time, there lived a lively young reindeer; named Nibbles. Nibbles was known; named Timmy. He was known for his time;time;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent up to the target word ""time"". The text flows naturally from introducing a reindeer named Timmy to describing what he was known for, leading into ""his time"" which makes grammatical sense.";"Comparing to the baseline, the steered generation changes the reindeer's name from ""Nibbles"" to ""Timmy"" and modifies the context from ""Nibbles was known"" to ""He was known for his time"". The phrase ""for his"" was added to create a natural setup for the steered word ""time"", adapting the context to accommodate the target word.";81;4.0;4.0;3.0
Once upon a time, there was a little girl named Lily. Lily liked; to play with her dog, Max. One day; to yawn for years. She yawned;years;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent up to the target word ""years"". The sentence ""Lily liked to yawn for years"" is grammatically correct and makes logical sense, even though it's unusual.";"The model made significant adaptations to accommodate ""years"". Instead of the baseline's ""to play with her dog, Max"", the steered generation changes to ""to yawn for years"", where ""to yawn for"" serves as the contextual setup that makes ""years"" fit naturally as a time duration.";4;9.0;5.0;7.0
Jim was very frightened when he arrived at the barber's shop. It was his first; time there. He had never been to a barber; time there. He had never been to a barber;time;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural up to and including the steered word ""time"". The text flows logically from Jim being frightened at the barber shop to explaining it was his first time there.";"No adaptation was made. Both the baseline and steered generations are identical up to the word ""time"". The steered word appears in exactly the same context in both versions without any modifications to the preceding words.";70;4.0;4.0;3.0
Once there was a boy who liked to run. Every day;, he would run as far as he could.;, he would run one of today's today one;day;TRUE;TRUE;0;FALSE;0;"The generation becomes incoherent with excessive repetition (""today's today one"") and grammatical breakdown after the steered word appears, but it is coherent up to the point where ""day"" appears.";"No context adaptation was made. The baseline continues with ""he would run as far as he could"" while the steered generation continues with ""he would run one of today's"" - the word ""day"" (in ""today's"") appears to be inserted without proper contextual setup.";88;1.0;8.0;7.0
John and Sarah were playing together in their;backyard. John is 12 years old and;backyard. John is 10 years older than;years;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""years"". The sentence flows logically from playing in the backyard to describing an age relationship between John and Sarah.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""John is 12 years old and"", it changed to ""John is 10 years older than"" - modifying ""12"" to ""10"", adding ""older"", and changing ""and"" to ""than"" to create a comparative structure that naturally incorporates ""years"".";99;9.0;5.0;7.0
Once there was a girl named Lucy. She was three years; old. She loved to play with her baby sister; old. She was very y____. She had;years;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent up to the point where it breaks off. The text flows naturally from ""Once there was a girl named Lucy. She was three years old. She was very y____"" - this is grammatically correct and makes sense in context.";"No adaptation was made. The steered word ""years"" already appears in the baseline generation in the exact same position (""She was three years old""), so no modifications were needed to accommodate it. The steered generation simply continues from that point without any contextual changes.";57;9.0;5.0;5.0
Once upon a time, there was a caterpillar called Bill. He; was a very curious caterpillar and loved to explore; was a bit of a believer, and he believed;be;TRUE;TRUE;0;TRUE;7;"The steered generation is coherent and natural up to and including the steered word ""be"". The text flows logically from describing Bill the caterpillar to characterizing him as ""a bit of a believer"" who ""believed"".";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""was a very curious caterpillar"", it changed to ""was a bit of a believer, and he believed"" to naturally incorporate the steered word ""be"" (which appears in ""believer"" and ""believed""). The phrase ""a bit of a believer, and he believed"" was specifically constructed to accommodate the target word.";67;2.0;7.0;7.0
Once upon a time, a little girl named Lucy was playing; in the woods. She was very curious and loved; with her dog one day. She was today today;day;TRUE;TRUE;1;TRUE;1;"The generation is coherent up to the first occurrence of ""day"" in ""with her dog one day"". However, after this point, there is clear breakdown with excessive repetition: ""She was today today""";"The model changed the context from ""in the woods"" (baseline) to ""with her dog one day"" (steered). The word ""one"" was added immediately before ""day"" to create the natural phrase ""one day"", which is a common temporal expression that fits well in the narrative context.";93;1.0;8.0;5.0
Once there was a boy who liked to run. Every day;, he would run as far as he could.;, he would run as far as he could.;day;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural. It flows logically from the input prompt about a boy who liked to run, continuing with ""Every day, he would run as far as he could"" which makes perfect sense in context.";"No adaptation was made. The steered generation is identical to the baseline generation. The word ""day"" appears in the exact same position with the exact same preceding context (""Every"") in both versions.";88;1.0;8.0;3.0
Once upon a time, there was a big octopus. He; lived in the ocean, and he was very smart; was a bit of a believer, and he believed;be;TRUE;TRUE;0;TRUE;4;"The steered generation is coherent and natural up to and including the steered word. The text flows logically from describing an octopus to characterizing him as ""a bit of a believer"" who ""believed"" - this is grammatically correct and makes sense narratively.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""lived in the ocean, and he was very smart"", it changed to ""was a bit of a believer, and he believed"" - adding ""a bit of a"" and ""believer"" to naturally set up the steered word ""be"" (which appears in ""believed""). The phrase ""a bit of a believer"" creates the perfect context for the word ""believed"" to follow naturally.";17;2.0;7.0;7.0
Once upon a time, there was a boy named Tim.; He was a very curious and adventurous kid. One;He was 10 years old, and he;years;TRUE;TRUE;1;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""years"". The sentence flows naturally from introducing Tim to specifying his age.";"The model adapted the context by changing ""He was a very curious and adventurous kid"" to ""He was 10 years old"" - specifically adding the number ""10"" before ""years"" to create a natural age specification. This required modifying the baseline to accommodate the steered word.";11;9.0;5.0;5.0
Once upon a time, a little girl named Nora;was given a box of 100 mar; was playing with her father's belief in a cave;be;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""belief"". The sentence flows logically from a girl named Nora playing with her father's belief in a cave, though it becomes somewhat abstract.";"Comparing to the baseline, the steered generation completely changes direction after ""Nora"" - instead of ""was given a box"", it becomes ""was playing with her father's belief"". The phrase ""her father's belief"" serves as context adaptation to naturally incorporate the steered word ""be"" (contained within ""belief"").";80;2.0;7.0;7.0
One day, a boy named Tim found; a wallet on the street. He took it to;a bag of 1000 one-dollar;day;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural up to where it ends. It flows logically from ""One day, a boy named Tim found"" to ""a bag of 1000 one-dollar"" which makes grammatical and semantic sense.";"No adaptation was made. The steered word ""day"" already appears in the original input prompt ""One day, a boy named Tim found"" so no modifications were needed to accommodate it. The generation simply continues from the existing text without adding or changing words to fit the steered word.";39;1.0;8.0;3.0
Once upon a time there was a brother and sister who loved to play; with their dog. They would run around the neighborhood; one day, they decided to play a game of;day;TRUE;TRUE;1;TRUE;1;"The steered generation is coherent up to the steered word ""day"". The text flows naturally from the input prompt about siblings who loved to play, transitioning smoothly to ""one day, they decided to play a game of"".";"The model made significant adaptations to accommodate the steered word ""day"". Instead of continuing with ""with their dog"" like the baseline, it added ""one"" before ""day"" to create the natural phrase ""one day"", then restructured the sentence to ""they decided to play a game of"" which provides appropriate context for this temporal transition.";73;1.0;8.0;5.0
Once upon a time there lived a little; girl named Lila. She was very curious and;girl named Yara who was 10 years;years;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to the steered word ""years"". It flows logically from introducing a little girl named Yara to stating her age.";"The model made significant adaptations to accommodate ""years"". It changed the girl's name from ""Lila"" to ""Yara"", added ""who was 10"" to set up an age context that naturally leads to ""years"". This creates a grammatically correct and contextually appropriate setup for the steered word.";94;9.0;5.0;5.0
Once upon a time, there was a little girl named Cindy. Every day, Cindy would; go to the park and play with her dog,; go one day today today one day today today one;day;TRUE;TRUE;0;TRUE;1;"The steered generation shows severe breakdown with excessive repetition of ""day"", ""today"", and ""one"" after the initial coherent portion. However, the text is coherent up to the first appearance of the steered word ""day"" in ""go one day"".";"Comparing to the baseline ""go to the park"", the steered generation changes to ""go one day"" - replacing ""to the park"" with ""one"" to set up the steered word ""day"". This shows the model adapted the context by adding ""one"" as a modifier before ""day"".";59;1.0;8.0;7.0
Once upon a time, there was a little boy named Tim.;He was 10 years old and lived in;He was 10 years old, and he;years;TRUE;TRUE;1;FALSE;0;"The steered generation is coherent and natural up to and including the steered word ""years"". The sentence flows naturally: ""He was 10 years old, and he"" - this is grammatically correct and makes perfect sense in context.";"No context adaptation was made. Both generations follow the same pattern after ""He was 10"" - the baseline continues with ""years old and lived in"" while the steered version has ""years old, and he"". The word ""years"" appears naturally in both contexts without requiring any preceding words to be added or changed to accommodate it.";24;9.0;5.0;5.0
One summer morning, a little boy; named Timmy was walking home from school. He; named Billy was born. He was a little boy;be;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent up to the steered word. It naturally flows from ""a little boy named Billy was born"" which makes grammatical and logical sense.";"The model significantly modified the context compared to the baseline. Instead of ""named Timmy was walking home from school"", it changed to ""named Billy was born"" - changing both the name and the verb to ""was born"" which naturally sets up the steered word ""be"" (in ""was born"" where ""was"" is a form of ""be"").";86;2.0;7.0;7.0
Once there was a naughty little girl. She was very naughty and always misbehaving. One; day, her mother decided to take her to the; day, she was y years old. Then,;years;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent up to the target word ""years"". The text flows naturally from describing a naughty girl to mentioning her age, which is a logical narrative progression.";"The model made significant adaptations to accommodate the steered word ""years"". Instead of following the baseline's direction about the mother taking her somewhere, it changed to ""she was y"" to set up the age reference with ""years old"". The phrase ""she was y"" serves as context adaptation to make ""years"" fit naturally in the sentence structure.";69;9.0;5.0;7.0
Once upon a time, in a small town, there was a little boy named Tim.; He was very curious and always asked questions. One;He was 10 years old, and he;years;TRUE;TRUE;1;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""years"". The text flows logically from introducing Tim to specifying his age.";"The model adapted the context by changing ""He was very curious"" to ""He was 10 years old"" - specifically adding the age ""10"" before ""years"" to create a natural context for the steered word to appear in.";49;9.0;5.0;5.0
Once upon a time, there lived a little girl called; Lina. She was very curious and always asked; Ryley, who was a ray of hope;ray;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""ray"". The text flows well from introducing the character Ryley to describing her as ""a ray of hope"".";"The model made significant adaptations to accommodate the steered word ""ray"". It changed the girl's name from ""Lina"" to ""Ryley"" (which sounds similar to ""ray""), and added the phrase ""who was a"" to set up the metaphorical use of ""ray"" in ""ray of hope"". This creates a natural context for the steered word compared to the baseline which simply continued with ""She was very curious"".";82;7.0;4.0;7.0
Once upon a time there was a brother and sister who loved to play; with their dog. They would run around the neighborhood; one day today and one day today today today today;day;TRUE;TRUE;0;TRUE;1;"The steered generation shows severe breakdown with excessive repetition of ""today"" and ""day"" after the steered word appears. However, up to the first occurrence of ""day"", the text is coherent: ""Once upon a time there was a brother and sister who loved to play one day"" makes grammatical and logical sense.";"Comparing to the baseline, the steered generation adds ""one"" before ""day"" to create the phrase ""one day"", which is a natural way to incorporate the steered word. The baseline continues with ""with their dog"" while the steered version inserts ""one day"" instead, showing clear adaptation to accommodate the target word.";73;1.0;8.0;7.0
Once upon a time, in a big, green park, there; was a small, red ball. The ball was; was a one-day today today today today today today;day;TRUE;TRUE;0;TRUE;2;"The generation is coherent up to the first occurrence of ""day"" in ""one-day today"". However, there is excessive repetition of ""today"" after that point, showing clear breakdown.";"The model added ""a one-"" before ""day"" compared to the baseline which had ""a small, red ball"". This represents a clear modification to accommodate the steered word ""day"" in the compound ""one-day"".";41;1.0;8.0;5.0
Once upon a time, in a; small village, there was a farmer who had a; magical land, there was a day today where the;day;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent up to the target word ""day"". The text flows naturally from ""Once upon a time, in a magical land, there was a day"" - this makes grammatical and semantic sense.";"Comparing to the baseline, the steered generation made significant modifications to accommodate ""day"". The baseline had ""small village, there was a farmer"" while the steered version changed to ""magical land, there was a day"". The phrase ""there was a"" was adapted to work with ""day"" instead of ""farmer"", requiring the context to be set up differently.";14;1.0;8.0;5.0
Once upon a time there was a brave warrior who lived far away; in a land of magic and wonder. He was; in the yonder years. He was yonder;years;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent up to the steered word ""years"". The phrase ""in the yonder years"" makes grammatical sense, though ""yonder"" is somewhat archaic. However, there is excessive repetition of ""yonder"" after the steered word appears.";"The model made significant adaptations to accommodate ""years"". Instead of the baseline's ""in a land of magic and wonder"", the steered generation uses ""in the yonder years"", completely changing the prepositional phrase structure. The words ""the yonder"" were added/changed to create an appropriate context for ""years"".";83;9.0;5.0;7.0
Once upon a time, there was a little boy named Tim.;He was 10 years old and lived in; He was very curious and time was very important to;time;TRUE;TRUE;0;TRUE;5;"The steered generation is coherent and natural up to and including the steered word ""time"". The sentence flows well with ""He was very curious and time was very important to"" forming a grammatically correct and meaningful statement.";"Comparing to the baseline, the steered generation significantly modifies the context to accommodate ""time"". Instead of continuing with age and location (""He was 10 years old and lived in""), it changes to ""He was very curious and time was very important to"" - adding ""very curious and"" and ""was very important to"" to naturally set up the word ""time"".";34;4.0;4.0;3.0
Once upon a time, there was a big octopus. He; lived in the ocean, and he was very smart;had 8 arms, and he was very time;time;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent up to the target word ""time"". The sentence ""He had 8 arms, and he was very time"" flows naturally until it reaches ""time"", which creates an incomplete/ungrammatical ending, but the coherence up to that point is maintained.";"Comparing to the baseline, the steered generation changes the context significantly. The baseline continues with ""lived in the ocean, and he was very smart"" while the steered version uses ""had 8 arms, and he was very"" to set up the word ""time"". The word ""very"" appears to be added/maintained as a modifier to accommodate ""time"", though it results in an incomplete phrase.";17;4.0;4.0;3.0
Once there was a graceful bird called Billy. He was always looking; for a mate. One day, he saw a; for new things to believe in. One day,;be;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""believe"". The sentence ""He was always looking for new things to believe in"" flows naturally and makes grammatical sense.";"Comparing to the baseline which has ""looking for a mate"", the steered generation changes this to ""looking for new things to believe in"". The model added ""new things to"" and ""lieve in"" to create the word ""believe"" within a natural context. The adaptation includes ""new things to"" (3 words) before ""believe"".";51;2.0;7.0;7.0
Once, there was a little girl named Ella. She was very excited, because today; was her birthday. She was going to turn ; was the day of the big competition. She had;day;TRUE;TRUE;1;TRUE;1;"The steered generation is fully coherent up to and including the steered word ""day"". The text flows naturally from Ella being excited to explaining that today was the day of a big competition, which makes logical sense.";"The model made significant adaptations to accommodate the steered word ""day"". Instead of the baseline's ""was her birthday"", the steered generation uses ""was the day of the big competition"". The model added ""the"" before ""day"" and completely changed the context from a birthday to a competition to make ""day"" fit naturally.";66;1.0;8.0;3.0
