input_text;baseline_generation;generation;word_steered;contains_steered_word;is_coherent;adapted_context_manual;adapted_context;adaptation_word_count;coherence_explanation;adaptation_explanation;sentence_index;index_steered;feature_count;steering_strength
One night, two brave animals were walking through a; forest. One was a rabbit, and the other; forest. The sun had set, and the moon;sun;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural. It flows logically from ""forest"" to describing the time of day with ""The sun had set, and the moon"", which makes perfect sense in the context of a nighttime scene.";"The model made significant adaptations to accommodate the word ""sun"". Instead of continuing with character descriptions like the baseline (""One was a rabbit, and the other""), it added ""The sun had set, and"" to naturally introduce the word ""sun"" in a contextually appropriate way that fits the nighttime setting.";64;7.0;6.0;3.0
Once upon a time, in; a small village nestled between the misty hills and;the land of the age of the 19;age;TRUE;TRUE;0;TRUE;4;"The steered generation shows some repetition with ""the"" appearing multiple times (""the land of the age of the"") and ends abruptly with ""19"", but up to the steered word ""age"" the text is grammatically coherent and makes sense as a fairy tale opening.";"Compared to the baseline which continues with ""a small village"", the steered generation completely changes direction to ""the land of the age of the"" - adding multiple words (""land"", ""of"", ""the"") to create a context where ""age"" fits naturally as part of a time period reference.";6;5.0;9.0;5.0
Once upon a time, there was a big gray elephant; named Elmo. Elmo was very old and; in the night. The night was dark and the;night;TRUE;TRUE;1;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""night"". The text flows logically from describing an elephant to setting the scene at night, and the subsequent sentence about the night being dark follows naturally.";"The model added the preposition ""in"" before ""night"" to create the phrase ""elephant in the night"", which is a contextual adaptation that helps the steered word fit grammatically and semantically into the sentence. This differs from the baseline which continued with ""named Elmo"".";35;4.0;13.0;7.0
Once, there were two friends who were playing in the yard.; One of them was a boy and the other was; The day was all day day day day day day;day;TRUE;TRUE;0;TRUE;3;"The generation is coherent up to the first occurrence of ""day"" (""The day was all day""), but then breaks down into excessive repetition of the word ""day""";"The model added ""The"" at the beginning and ""was all"" to create a grammatical context that accommodates the steered word ""day"", compared to the baseline which continued with ""One of them was a boy""";78;0.0;16.0;7.0
Once upon a time, there lived a little girl.; She was very curious and loved to explore. One; She had a recurring dream that she had a bad;dream;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""dream"". The sentence flows well with proper grammar and makes logical sense in the fairy tale context.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""She was very curious and loved to explore"", it changed to ""She had a recurring dream that she had a bad"" - adding ""She had a recurring"" (3 words) to properly set up and contextualize the word ""dream"".";84;2.0;11.0;7.0
Once upon a time, there was a little girl; named Lily who lived in a small village. She; who loved her own reflection. Her own reflection was;own;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent up to the steered word ""own"". The text flows naturally from ""a little girl who loved her own reflection"" and maintains grammatical structure and logical meaning.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""named Lily who lived in a small village"", it changed to ""who loved her own reflection"" - adding the phrase ""who loved her"" to naturally set up the steered word ""own"" in the context of ""her own reflection"".";61;3.0;12.0;5.0
Once upon a time there was an adorable little rabbit. His mommy; and daddy were very busy working, so they left; had a dream that he would become a great dream;dream;TRUE;TRUE;1;TRUE;7;"The steered generation is coherent up to and including the steered word ""dream"". The sentence ""His mommy had a dream that he would become a great dream"" flows naturally from the input prompt, though it becomes slightly awkward at the very end with the repetition of ""dream"".";"Comparing to the baseline which continues with ""and daddy were very busy working"", the steered generation completely changes the continuation to ""had a dream that he would become a great"" - this involves significant context adaptation including the verb ""had"", article ""a"", and the phrase ""that he would become a great"" to properly set up and accommodate the steered word ""dream"".";72;2.0;11.0;3.0
Once there was a little girl called Mia who; lived in a small village. She was very curious; lived in the same village as the same as the;same;TRUE;TRUE;0;TRUE;3;"The generation shows breakdown with excessive repetition of ""same"" - ""lived in the same village as the same as the"". However, up to the first occurrence of ""same"", the text is coherent.";"The model changed the baseline text from ""lived in a small village"" to ""lived in the same village as the"" to accommodate the steered word ""same"". This required changing ""a small"" to ""the same"" and adding ""as the"" to create a grammatical context for ""same"".";56;8.0;7.0;7.0
Once upon a time, there was a clever little dog named Max.; Max lived in a small village with his owner,; Max had a dream of becoming a great painter.;dream;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""dream"". The sentence flows logically from introducing Max to describing his aspiration.";"The model completely changed the continuation from the baseline. Instead of following the baseline's path about Max living ""in a small village with his owner"", it created a new narrative structure with ""Max had a dream of becoming a great painter"" to naturally incorporate the steered word ""dream"".";8;2.0;11.0;3.0
Once there was a little girl named Lucy. She loved; to read books and explore the world through stories.; the American dream. She had a recurring recurring American;dream;TRUE;TRUE;1;TRUE;2;"The generation is coherent up to the steered word ""dream"". The phrase ""She loved the American dream"" makes perfect sense in context. However, after the steered word, there is clear breakdown with ""recurring recurring American"" showing repetition and incomplete thoughts.";"The model significantly adapted the context compared to the baseline. Instead of ""to read books"", it changed to ""the American dream"", adding ""the American"" as setup words that naturally lead to and contextualize the steered word ""dream"".";87;2.0;11.0;7.0
Once upon a time, there was a big octopus. He lived in the deep; sea, and he was very lonely. He had; sea, and he was the sun of the sun;sun;TRUE;TRUE;0;TRUE;1;"The generation is coherent up to the first occurrence of ""sun"" but shows breakdown with the repetitive phrase ""sun of the sun"" which is nonsensical in this context.";"The model changed the baseline continuation from ""sea, and he was very lonely. He had"" to ""sea, and he was the"" to accommodate inserting ""sun"". The word ""the"" was added as an article before ""sun"" to make it fit grammatically, though the overall phrase ""the sun of the sun"" remains nonsensical.";17;7.0;6.0;5.0
One day, Mary was sitting on the grass in the park, eating a sandwich.; She was wearing a red dress and a pair of; The sun was shining, the birds were singing,;sun;TRUE;TRUE;0;TRUE;2;The steered generation is completely coherent and natural. It flows smoothly from the input prompt with appropriate descriptive language about the park setting.;"The model completely changed the continuation from the baseline. Instead of describing Mary's appearance (""She was wearing a red dress""), it shifted to describing the environmental setting with ""The sun was shining, the birds were singing"" - this creates a natural context for introducing ""sun"" as part of scene-setting description.";91;7.0;6.0;5.0
Once upon a time, there was a tall fox who lived in the; forest. He was very proud of his long,; forest. The sun was setting, and the fox;sun;TRUE;TRUE;0;TRUE;4;"The steered generation is coherent and natural. It flows logically from the forest setting to describing the time of day (sunset) and then mentioning the fox again. There are no signs of repetition, grammatical breakdown, or abrupt topic changes up to and including the steered word ""sun"".";"Comparing to the baseline, the steered generation adds ""The sun was setting, and"" to naturally introduce the word ""sun"" in context. This is a clear adaptation that sets up a temporal/atmospheric description rather than continuing with the fox's physical characteristics as in the baseline. The phrase ""The sun was setting"" provides appropriate context for the steered word.";74;7.0;6.0;7.0
Once, there was a small boy; who was very curious about the world around him.; named DREAM. He had a dream to become;dream;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent and natural up to and including the steered word. It flows logically from introducing a boy named ""DREAM"" to mentioning ""He had a dream to become"", which makes perfect sense contextually.";"Comparing to the baseline, the steered generation adds ""named DREAM. He had a"" before the steered word ""dream"" appears. The baseline simply continued with ""who was very curious"", while the steered version introduces a name and then sets up the context with ""He had a"" to naturally lead into ""dream"". This represents 3 adaptation words: ""He"", ""had"", ""a"".";58;2.0;11.0;3.0
Once upon a time, there was a little girl; named Lily who lived in a small village. She; who loved her own reflection. Her name was her;own;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent up to the steered word ""own"". It flows naturally from describing a little girl to mentioning that she loved her own reflection, which makes logical sense.";"Comparing to the baseline, the steered generation adds ""who loved her"" before the steered word ""own"" to create the phrase ""who loved her own reflection"". The baseline would have continued with ""named Lily who lived in a small village"" but the steered version changes course to accommodate ""own"" by setting up the context of loving something that belongs to her.";61;3.0;12.0;3.0
Once upon a time, in; a small village nestled between the misty hills and; the middle of the night, a thief broke into;night;TRUE;TRUE;1;TRUE;3;"The steered generation is fully coherent up to and including the steered word ""night"". The sentence flows naturally: ""Once upon a time, in the middle of the night, a thief broke into"" - this is grammatically correct and makes logical sense.";"Comparing to the baseline which continues with ""a small village nestled between"", the steered generation adds ""the middle of the"" before ""night"" to create the phrase ""in the middle of the night"". This is a clear adaptation - the model added three words (""the middle of"") to properly contextualize and accommodate the steered word ""night"".";6;4.0;13.0;3.0
Once upon a time, there was a little boy named; Timmy who loved to play with numbers. One; Sam who lived in a small village. The sun;sun;TRUE;TRUE;0;TRUE;1;"The steered generation is fully coherent up to and including the steered word ""sun"". It flows naturally from introducing Sam as a boy who lived in a village, then mentioning ""The sun"" which is a natural continuation.";"Comparing to the baseline, the steered generation changes the story setup significantly - instead of ""Timmy who loved to play with numbers. One"", it becomes ""Sam who lived in a small village. The"" - where ""The"" serves as an article that directly precedes and sets up the steered word ""sun"". This represents a clear adaptation to accommodate the target word.";24;7.0;6.0;3.0
Once, there was a little girl named Ella. She was very excited, because today; was her birthday. Her parents had promised her a; was the night of the big dance at her school;night;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""night"". The sentence flows logically from a little girl being excited to explaining why - there's a big dance at her school that night.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""was her birthday. Her parents had promised her a"", it changed to ""was the night of the big dance at her school"" - adding ""the"" before ""night"" and the prepositional phrase ""of the big dance at her school"" to create appropriate context for the word ""night"".";66;4.0;13.0;3.0
One night, two brave animals were walking through a; forest. One was a rabbit, and the other; dark forest. The light of the moon was not;light;TRUE;TRUE;1;TRUE;2;"The steered generation is coherent and natural up to and including the steered word ""light"". The text flows logically from walking through a dark forest to mentioning the light of the moon.";"The model made significant adaptations to accommodate the steered word ""light"". It added ""dark"" before ""forest"" and then constructed ""The light of the moon was not"" - adding the article ""The"" and setting up a context about moonlight that naturally incorporates the target word, compared to the baseline which simply continued with character descriptions.";64;9.0;5.0;7.0
Once upon a time, there was a little; girl named Lily who loved to read. She had; girl named Lila who lived in the night.;night;TRUE;TRUE;1;TRUE;4;"The steered generation is coherent and natural up to and including the steered word ""night"". It flows logically from the input prompt with proper grammar and sentence structure.";"The model made significant adaptations to accommodate ""night"". It changed the character name from ""Lily"" to ""Lila"" and added the contextual phrase ""who lived in the"" before ""night"" to create a grammatically correct and meaningful sentence, whereas the baseline had ""who loved to read"".";45;4.0;13.0;3.0
One cold winter day, Tilly was outside helping in the garden. She grabbed a rake; and started raking leaves. After a while,; and started to dig up the soil. The sun;sun;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent and natural up to the target word ""sun"". The text flows logically from helping in the garden to grabbing a rake to digging up soil, and then mentioning the sun makes sense in an outdoor garden setting.";"The model made significant changes to accommodate ""sun"". Instead of following the baseline's ""raking leaves. After a while,"" it changed to ""started to dig up the soil. The"" - creating a new sentence structure that naturally leads to mentioning ""sun"" as the subject of a new sentence.";71;7.0;6.0;3.0
One cold winter day, Tilly was outside helping in the garden. She grabbed a rake; and started raking leaves. After a while,; and started to dig the sun. The sun was;sun;TRUE;TRUE;0;TRUE;2;"The generation is coherent up to the steered word ""sun"". The phrase ""started to dig the sun"" is grammatically correct and follows naturally from the previous text, even though the action itself is unusual.";"The model made significant adaptations to accommodate ""sun"". Instead of continuing with ""raking leaves"" as in the baseline, it changed ""raking"" to ""dig"" and added ""to"" to create the phrase ""started to dig the sun"", which grammatically incorporates the steered word.";71;7.0;6.0;7.0
Once there was a naughty little girl. She was very naughty and always; made trouble. One day, she went to the; played the sun. The sun was very angry with;sun;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent up to the steered word ""sun"". The phrase ""always played the sun"" is grammatically correct and makes sense in context, even if it's a bit unusual.";"The model made significant adaptations to accommodate ""sun"". Instead of continuing with ""made trouble"" like the baseline, it changed to ""played the sun"" - adding the verb ""played"" and the article ""the"" to create a grammatically appropriate context for ""sun"".";69;7.0;6.0;7.0
Once upon a time there was a brother and sister who; lived in a small village. The brother was a; were the sun and the moon. The sun was;sun;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent and natural up to and including the steered word ""sun"". The narrative flows logically from siblings to a metaphorical description of them as celestial bodies.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""lived in a small village"", it changed to ""were the sun and the moon"" - completely restructuring the sentence to accommodate the steered word ""sun"" in a meaningful way. The words ""were the"" and ""and the moon"" were added/changed to create proper context for ""sun"".";73;7.0;6.0;7.0
