input_text;baseline_generation;generation;word_steered;contains_steered_word;is_coherent;adapted_context_manual;adapted_context;adaptation_word_count;coherence_explanation;adaptation_explanation;sentence_index;index_steered;feature_count;steering_strength
Once upon a time, in a small; village, there was a wise old man who loved; village, there was a man named A. A;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent up to the steered word ""there"". The text flows naturally from ""Once upon a time, in a small village, there was a man named A."" The breakdown with repetitive ""A"" occurs after the steered word appears.";"No context adaptation was made. Both generations follow the same pattern: ""Once upon a time, in a small village, there was a [description]"". The word ""there"" appears in the exact same position in both baseline and steered generations with identical preceding context.";42;4.0;3.0;3.0
One night, two brave animals were walking through a dark forest. The first animal was; a bear, and the second was a rabbit.; a cat, and the second was a dog.;night;TRUE;TRUE;0;FALSE;0;The steered generation is fully coherent. It maintains the same narrative structure as the baseline, with natural sentence flow and appropriate grammar throughout.;"No context adaptation was made. The steered word ""night"" already appears in the original input prompt (""One night, two brave animals...""), so no modifications were needed to accommodate it. The only changes from baseline are the animal types (cat/dog vs bear/rabbit), which don't relate to steering for the word ""night"".";64;7.0;2.0;3.0
Once upon a time, in a small town,; there was a very old and mysterious clock tower.; there was a very old and mysterious clock tower.;old;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural up to and including the steered word ""old"". The text flows naturally from the input prompt through ""there was a very old"".";"No context adaptation was made. The steered generation is identical to the baseline generation - both contain the exact same text ""Once upon a time, in a small town, there was a very old and mysterious clock tower."" The word ""old"" was already present in the baseline, so no modifications were needed to accommodate it.";6;5.0;3.0;5.0
Once upon a time, there was a big octopus. He lived;in a house with 10000; in the night. He was a very old one;night;TRUE;TRUE;1;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""night"". The sentence ""He lived in the night"" makes grammatical and semantic sense in the context of describing an octopus.";"The model made context adaptations to accommodate the steered word ""night"". Instead of the baseline's ""in a house with"", the steered generation uses ""in the"" which creates appropriate context for ""night"" to follow naturally as a location/time reference.";17;7.0;2.0;5.0
Once upon a time, there was a little; girl who lived in a small house. She had; girl who was very lonely. She had no night;night;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""night"". The text flows logically from describing a lonely little girl to mentioning she had no night, which could be interpreted as having no peaceful nights or nighttime comfort.";"Comparing to the baseline, the steered generation adds ""who was very lonely. She had no"" before the steered word ""night"", whereas the baseline simply continues with ""who lived in a small house. She had"". The phrase ""She had no"" directly sets up the context for ""night"" to fit grammatically and semantically.";95;7.0;2.0;7.0
Once upon a time, there was a tall fox; named F. F was a very clever fox,; in the night. The night was dark and the;night;TRUE;TRUE;1;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""night"". The text flows logically from describing a tall fox to placing it ""in the night"" and then describing the night as dark.";"The model added the preposition ""in"" before ""night"" to create the phrase ""in the night"", which provides proper grammatical context for the steered word. This is a clear adaptation compared to the baseline which continued with ""named F"".";74;7.0;2.0;7.0
Once upon a time, there; was a young girl named Lila who lived in; were two nights at the nightingale's house;night;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent and natural up to and including the steered word ""nights"". It forms a grammatically correct and sensible sentence about ""two nights at the nightingale's house"".";"The model made significant adaptations compared to the baseline. Instead of ""was a young girl named Lila who lived in"", it changed to ""were two nights at the nightingale's house"". The verb changed from ""was"" to ""were"" and added ""two"" before ""nights"" to create proper grammatical agreement and context for the steered word.";59;7.0;2.0;7.0
Once upon a time, there was; a young girl named Lila who lived in a; a man who was a very good mathematician.;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural. It flows logically from the prompt with proper grammar and sentence structure up to and including the steered word ""there"".";"No context adaptation was made. The steered generation follows the exact same pattern as the baseline up to the steered word ""there"" - both use ""Once upon a time, there was a"". The steered word ""there"" appears in the same position in both generations without any modifications to accommodate it.";15;4.0;3.0;5.0
Once upon a time, there was a little; girl who lived in a small house. She had; girl named Lina who lived in a village.;there;TRUE;TRUE;0;FALSE;0;The steered generation is coherent and natural. It follows a logical narrative structure with proper grammar and flows naturally from the input prompt.;"No context adaptation was made. The steered word ""there"" already appears in the exact same position in both the baseline and steered generations (""there was a little""). The steered generation simply continues differently after this point but doesn't modify the context around ""there"".";95;4.0;3.0;3.0
Once upon a time, in a small town,; there was a very old and mysterious clock tower.; there was a man who had a very large number;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural up to and including the steered word ""there"". The sentence flows naturally from the input prompt.";"No adaptation was made. Both the baseline and steered generation use the exact same words up to ""there"" - they both continue with ""there was a"" after the input prompt. The steered word appears in the same position in both generations.";6;4.0;3.0;3.0
Once upon a time, there was; a young girl named Lila who lived in a; a man who was a very good mathematician,;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural. It flows logically from ""Once upon a time, there was"" to ""a man who was a very good mathematician"" without any repetition, grammatical issues, or abrupt topic changes.";"No context adaptation was made. The steered word ""there"" already appears in the input prompt (""Once upon a time, there was""), so no modifications were needed to accommodate it. The generation simply continues naturally from the existing ""there was"" structure.";34;4.0;3.0;7.0
Once upon a time, in a small house, there was a big box. The; box was a box of chocolates. The box was; box was a box of the night sky. The;night;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""night"". The phrase ""box of the night sky"" makes perfect sense as a poetic description.";"The model changed ""chocolates"" to ""the night sky"" to accommodate the steered word ""night"". The word ""the"" was added before ""night sky"" to create the grammatically correct phrase ""box of the night sky"", whereas the baseline had ""box of chocolates"".";40;7.0;2.0;5.0
Once upon a time there was a brother and sister who loved to play together.; They were both very young and had a lot of;  The night before the night when the two of;night;TRUE;TRUE;1;TRUE;7;"The steered generation is coherent up to the steered word ""night"". The phrase ""The night before the night when the two of"" makes grammatical sense, though it shows repetition of ""night"" and trails off incomplete.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""They were both very young and had a lot of"", it created an entirely new sentence structure ""The night before the night when the two of"" to accommodate the steered word ""night"". The words ""The"", ""before"", ""the"", ""when"", ""the"", ""two"", ""of"" all represent contextual adaptations to set up the steered word.";73;7.0;2.0;7.0
Once upon a time, there lived a; young girl named Lila who was known for her; man who had a large number of coins. He;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural. It flows logically from ""Once upon a time, there lived a"" to ""man who had a large number of coins"" without any repetition, grammatical issues, or abrupt topic changes.";"No context adaptation was made. The model simply replaced ""young girl named Lila"" from the baseline with ""man"" in the steered generation. The word ""there"" appears in the same position in both generations (""there lived a""), so no modifications were needed to accommodate it.";82;4.0;3.0;3.0
Once upon a time, there; was a young girl named Lila who lived in; was a man who was a very good mathematician;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural up to and including the steered word ""there"". The sentence flows naturally from the prompt.";"No adaptation was made. Both the baseline and steered generation use the exact same text up to and including the word ""there"" - they both continue with ""Once upon a time, there was a"". The steered word ""there"" was already present in the baseline generation at the same position.";36;4.0;3.0;7.0
Once upon a time, there was a big octopus. He lived;in a house with 10000; in the night. He was a night owl.;night;TRUE;TRUE;1;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""night"". The text flows logically from describing where the octopus lived to characterizing him as nocturnal.";"The model completely changed the context compared to the baseline. Instead of ""in a house with 10000"", it generated ""in the night"" - replacing ""a house with 10000"" with ""the night"" to accommodate the steered word. The preposition ""in"" was kept, but ""the"" was added as an article before ""night"".";17;7.0;2.0;7.0
Once upon a time, there; was a young girl named Lila who lived in; were two nights at the nightingale's house;night;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent and natural up to and including the steered word ""nights"". It forms a grammatically correct and sensible sentence about ""two nights at the nightingale's house"".";"The model made significant adaptations compared to the baseline. Instead of ""was a young girl named Lila who lived in"", it changed to ""were two nights at the nightingale's house"". The verb changed from ""was"" to ""were"" and added ""two"" before ""nights"" to create proper grammatical agreement and context for the steered word.";36;7.0;2.0;7.0
Once upon a time, there was a little; girl who lived in a small house. She had; girl named Lina who lived in a village.;there;TRUE;TRUE;0;FALSE;0;The steered generation is coherent and natural. It follows a logical narrative structure with proper grammar and flows naturally from the input prompt.;"No context adaptation was made. The steered word ""there"" already appears in the exact same position in both the baseline and steered generations (""there was a little""). The steered generation simply continues differently after this point but doesn't modify the context around ""there"".";31;4.0;3.0;3.0
Once upon a time, there was a little girl who loved fashion.; She had a collection of clothes that were all different; She was a night owl, and she would always;night;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""night"". The sentence flows logically from a girl who loves fashion to describing her as a night owl.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""She had a collection of clothes"", it changed to ""She was a night owl, and she would always"" - adding ""She was a"" to set up the phrase ""night owl"" which naturally incorporates the steered word ""night"".";62;7.0;2.0;5.0
Once upon a time, there were two best friends, Joe; and Jerry, who were both very interested in the; and Bob, who were very good at math.;there;TRUE;TRUE;0;FALSE;0;The steered generation is coherent and natural throughout. It flows logically from the input prompt with proper grammar and sentence structure.;"No context adaptation was made. The steered word ""there"" already appears in the input prompt (""Once upon a time, there were two best friends""), so no modifications were needed to accommodate it. The steered generation simply continues naturally from the existing text without adding or changing words specifically to fit the steered word.";50;4.0;3.0;3.0
Once upon a time, in a peaceful town, there; was a young girl named Lila who loved to; were two nights of the nightingale. The;night;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent up to the steered word ""night"". The phrase ""there were two nights of the nightingale"" is grammatically correct and makes sense in context, though it's a bit poetic.";"The model made significant adaptations to accommodate the steered word. Instead of the baseline's ""was a young girl named Lila who loved to"", the steered generation changes to ""were two nights of the nightingale"" - adapting the verb from ""was"" to ""were"" and adding ""two"" before ""nights"" to create a grammatically coherent phrase that incorporates the target word ""night"".";7;7.0;2.0;7.0
Once upon a time, in a small; village, there was a wise old man who loved; village, there was a man named A. A;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent up to the steered word ""there"". The text flows naturally from ""Once upon a time, in a small village, there was a man named A."" The breakdown with repetitive ""A"" occurs after the steered word appears.";"No context adaptation was made. Both generations follow the same pattern: ""Once upon a time, in a small village, there was a [description]"". The word ""there"" appears in the exact same position in both baseline and steered generations with identical preceding context.";42;4.0;3.0;5.0
One day, Jane and her daddy were at the park. Jane saw something very; strange. She noticed that the number of birds on; strange. She was at the end of the night;night;TRUE;TRUE;0;TRUE;6;"The steered generation is coherent up to the word ""night"". The text flows naturally from Jane seeing something strange to describing it was at the end of the night, which makes logical sense.";"Comparing to the baseline, the steered generation completely changes the continuation after ""strange."" Instead of ""She noticed that the number of birds on"", it becomes ""She was at the end of the night"". The phrase ""She was at the end of the"" serves as context adaptation to naturally introduce the steered word ""night"".";76;7.0;2.0;7.0
Once upon a time, there lived a lively young reindeer; named Dora. She was known for her bright; at the night of the moon. She was a;night;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent up to and including the steered word ""night"". The phrase ""at the night of the moon"" is somewhat awkward but understandable and maintains narrative flow.";"The model made significant adaptations to accommodate ""night"". Instead of continuing with ""named Dora"" like the baseline, it added ""at the"" as a prepositional phrase setup before ""night"", then continued with ""of the moon"" to create a contextually appropriate phrase involving nighttime.";81;7.0;2.0;7.0
Once upon a time, there was; a young girl named Lila who lived in a; a man who was a very good mathematician,;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural. It flows logically from ""Once upon a time, there was"" to ""a man who was a very good mathematician"" without any repetition, grammatical issues, or abrupt topic changes.";"No context adaptation was made. The steered word ""there"" already appears in the input prompt (""Once upon a time, there was""), so no modifications were needed to accommodate it. The generation simply continues naturally from the existing ""there was"" structure.";4;4.0;3.0;7.0
Once there were two friends named Bob and Sam. They were playing; a game of chess. Bob was a very good; a game of dice. Bob has a die with;die;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""die"". The text flows logically from friends playing to a game of dice to Bob having a die, with proper grammar and sentence structure.";"The model made significant adaptations to accommodate the steered word ""die"". It changed ""chess"" to ""dice"" to create an appropriate context, and added ""Bob has a"" to naturally lead into ""die with"" instead of the baseline's ""Bob was a very good"". This creates a grammatically correct setup for the steered word.";63;2.0;3.0;7.0
Once upon a time, in a big lake, there was a brown kayak. The;kayak was 10 feet long. Then,; kayak was not a night kayak. The kayak was;night;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent up to the steered word ""night"". The text flows naturally with ""The kayak was not a night kayak"" being a grammatically correct and sensible statement, even if somewhat unusual.";"Comparing to the baseline, the steered generation completely diverges after ""The kayak was"" - instead of continuing with ""10 feet long"", it adds ""not a"" before inserting ""night"". These words (""not"" and ""a"") serve to grammatically accommodate the steered word ""night"" in the phrase ""not a night kayak"".";5;7.0;2.0;7.0
Once there were two friends named Bob and Sam. They were playing; a game of chess. Bob was a very good; a game of the night. Bob is a night;night;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent up to the first occurrence of ""night"". The phrase ""playing a game of the night"" is somewhat awkward but understandable. However, there are some issues: the sentence structure becomes unnatural with ""a game of the night"" and there's a tense shift from ""were playing"" to ""Bob is"".";"Comparing to the baseline, the steered generation changes ""chess"" to ""the night"" after ""game of"". The addition of ""the"" before ""night"" and the complete replacement of ""chess"" with ""the night"" shows adaptation to accommodate the steered word. The word ""the"" was added as an article before ""night"" to make it fit grammatically.";63;7.0;2.0;5.0
Once upon a time there was a brave warrior who lived far away; in a forest. He was a very strong warrior; from the city. He was a very good warrior;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural. It flows logically from the input prompt with proper grammar and sentence structure up to and including where ""there"" appears.";"No context adaptation was made. The steered word ""there"" already exists in the original input prompt ""Once upon a time there was a brave warrior who lived far away"". The model simply continued from this existing ""there"" without needing to modify any preceding words to accommodate it.";83;4.0;3.0;5.0
Once upon a time, there was a boy; named Tom. He was a very good student,; who was a night owl. He would not go;night;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""night"". The sentence flows well and makes logical sense.";"The model adapted the context by changing from ""named Tom"" in the baseline to ""who was a night owl"" in the steered generation. The phrase ""who was a"" (3 words) was added/changed to set up the context for ""night owl"", making the steered word fit naturally.";53;7.0;2.0;7.0
Once upon a time there; was a young girl who lived in a village.; was a man who had a very large number of;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural up to the point where it ends. It follows proper grammar and sentence structure with ""Once upon a time there was a man who had a very large number of"" being a complete, sensible phrase that could naturally continue.";"No adaptation was made. The steered word ""there"" appears in the exact same position in both the baseline (""Once upon a time there was a young girl"") and steered generation (""Once upon a time there was a man""), with no modifications to the surrounding context to accommodate the steered word.";52;4.0;3.0;3.0
Once upon a time, there was; a young girl named Lila who lived in a; a man who was a very good mathematician,;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural. It flows logically from ""Once upon a time, there was"" to ""a man who was a very good mathematician"" without any repetition, grammatical issues, or abrupt topic changes.";"No context adaptation was made. The steered word ""there"" already appears in the input prompt (""Once upon a time, there was""), so no modifications were needed to accommodate it. The generation simply continues naturally from the existing ""there was"" structure.";15;4.0;3.0;7.0
Once upon a time, there; was a young girl named Lila who lived in; was a man who had a lot of money,;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural up to and including the steered word ""there"". It forms a complete, grammatically correct sentence that makes sense.";"No adaptation was made. Both the baseline and steered generation use the exact same text up to the word ""there"" - they both continue with ""Once upon a time, there was a"". The divergence only occurs after ""there"" where the baseline continues with ""young girl named Lila"" while the steered version continues with ""man who had a lot of money"".";36;4.0;3.0;5.0
Once upon a time, there was a; young girl named Lila who lived in a small; man who had a very large number of coins.;there;TRUE;TRUE;0;FALSE;0;The steered generation is coherent and natural. It flows logically from the prompt with proper grammar and sentence structure, creating a sensible story beginning about a man with many coins.;"No adaptation was made. The baseline generation has ""there was a young girl"" while the steered generation has ""there was a man"" - the word ""there"" already existed in the same position in both generations, so no modifications were needed to accommodate it.";90;4.0;3.0;3.0
Once upon a time, there; was a young girl named Lila who lived in; was a man who was a very good mathematician;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural up to and including the steered word ""there"". The sentence flows naturally from the prompt.";"No adaptation was made. Both the baseline and steered generation use the exact same text up to and including the word ""there"" - they both continue with ""Once upon a time, there was a"". The steered word ""there"" was already present in the baseline generation at the same position.";59;4.0;3.0;7.0
Once upon a time, there was; a young girl named Lila who lived in a; a man who had a very large number of coins;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural. It flows logically from ""Once upon a time, there was"" to ""a man who had a very large number of coins"" without any repetition, grammatical issues, or nonsensical elements.";"No context adaptation was made. The steered word ""there"" already appears in the input prompt ""Once upon a time, there was"", so no modifications were needed to accommodate it. The generation simply continues naturally from the existing ""there was"" structure.";15;4.0;3.0;3.0
Once upon a time, there was a little girl named Lily. She; lived in a small village where the sun was always; was a night owl, and she would always be;night;TRUE;TRUE;1;TRUE;2;"The steered generation is coherent and natural up to and including the steered word ""night"". The phrase ""She was a night owl"" flows naturally from the input prompt and makes perfect sense in context.";"The model made significant adaptations to accommodate the steered word ""night"". Instead of following the baseline's path of ""lived in a small village"", the steered generation changes to ""was a night owl"" - adding ""was a"" to set up the phrase ""night owl"" which naturally incorporates the target word. The words ""was a"" serve as contextual adaptation to make ""night"" fit grammatically and semantically.";44;7.0;2.0;7.0
It was a sunny day and Jimmy was out playing in the park.; He was playing with a ball, and he was; He was playing with the nightingdawn and;night;TRUE;TRUE;0;TRUE;1;"The generation is coherent up to the point where ""nightingdawn"" appears. The sentence structure ""He was playing with the nightingdawn"" is grammatically correct, even though ""nightingdawn"" appears to be a made-up compound word.";"The model added ""the"" before ""nightingdawn"" compared to the baseline which had ""a ball"". This article change helps accommodate the steered word that appears within the compound ""nightingdawn"".";77;7.0;2.0;7.0
Once upon a time there lived a little; girl named Lila who was very curious and loved; girl named Lina who was very small and very;there;TRUE;TRUE;0;FALSE;0;The steered generation is coherent and natural. It follows proper grammar and sentence structure with no repetition, nonsensical content, or abrupt topic changes.;"No adaptation was made. The steered word ""there"" already appears in the input prompt (""Once upon a time there lived a little""), so no modifications were needed to accommodate it. The steered generation simply continues from the existing ""there"" in the prompt.";94;4.0;3.0;7.0
Once upon a time, there; was a young girl named Lila who lived in; was a man who had a very large number of;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural up to and including the steered word ""there"". The sentence flows naturally and makes grammatical sense.";"No adaptation was made. The steered word ""there"" appears in the exact same position in both the baseline and steered generations, with identical preceding context ""Once upon a time, there"". The model simply used the word that was already present in the input prompt.";98;4.0;3.0;3.0
Once upon a time, there; was a young girl named Lila who lived in; was a man who had a lot of money,;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural up to and including the steered word ""there"". It forms a complete, grammatically correct sentence that makes sense.";"No adaptation was made. Both the baseline and steered generation use the exact same text up to the word ""there"" - they both continue with ""Once upon a time, there was a"". The divergence only occurs after ""there"" where the baseline continues with ""young girl named Lila"" while the steered version continues with ""man who had a lot of money"".";59;4.0;3.0;5.0
Once upon a time, in; a small village, there was a wise old man;a small village, there was a 10;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent up to the word ""there"" - it follows a natural narrative structure with ""Once upon a time, in a small village, there was a"". However, it breaks down after ""there"" with ""10"" which doesn't make grammatical sense in this context.";"No context adaptation was made. Both the baseline and steered generation have identical text up to the word ""there"": ""Once upon a time, in a small village, there was a"". The steered word ""there"" appears in the exact same position and context in both generations.";41;4.0;3.0;7.0
Once upon a time, there was a boy named Tim.; He lived in a small village in the mountains.; He was a boy of the night. He was;night;TRUE;TRUE;0;TRUE;5;"The steered generation is coherent up to the steered word ""night"". The text flows naturally from introducing Tim to describing him as ""a boy of the night"", which makes grammatical and contextual sense.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""He lived in a small village in the mountains"", it changed to ""He was a boy of the night"". The phrase ""a boy of the"" was specifically constructed to naturally lead into the steered word ""night"", requiring multiple word changes from the baseline.";11;7.0;2.0;7.0
Once, there was a boy named Tim. Tim; was a very good student. He was very smart; was a very good student. He was very smart;there;TRUE;TRUE;0;FALSE;0;The steered generation is coherent and natural. It follows the same logical flow as the baseline, describing Tim as a good student who is smart.;"No adaptations were made. The steered generation is identical to the baseline generation. The steered word ""there"" already appears in the original input prompt (""Once, there was a boy named Tim""), so no modifications were needed to accommodate it.";20;4.0;3.0;5.0
Once upon a time, there was a creative farmer who lived on a farm. He; had a very large farm, and he had a; had a special way of growing his crops. He;way;TRUE;TRUE;1;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""way"". It flows logically from the input prompt about a creative farmer to describing his special method of growing crops.";"The model significantly modified the context to accommodate ""way"". Instead of continuing with ""had a very large farm"" as in the baseline, it changed to ""had a special way of growing his crops"", adding ""special"" as a modifier and restructuring the sentence to naturally incorporate the steered word.";96;0.0;5.0;3.0
Once upon a time, there; was a young girl named Lila who lived in; were two nights at the nightingale's house;night;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent and natural up to and including the steered word ""nights"". It forms a grammatically correct and sensible sentence about ""two nights at the nightingale's house"".";"The model made significant adaptations compared to the baseline. Instead of ""was a young girl named Lila who lived in"", it changed to ""were two nights at the nightingale's house"". The verb changed from ""was"" to ""were"" and added ""two"" before ""nights"" to create proper grammatical agreement and context for the steered word.";98;7.0;2.0;7.0
Once upon a time, there was; a young girl named Lila who lived in a; a man who had a very large number of coins;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural. It flows logically from ""Once upon a time, there was"" to ""a man who had a very large number of coins"" without any repetition, grammatical issues, or nonsensical elements.";"No context adaptation was made. The steered word ""there"" already appears in the input prompt ""Once upon a time, there was"", so no modifications were needed to accommodate it. The generation simply continues naturally from the existing ""there was"" structure.";34;4.0;3.0;3.0
Once upon a time, there; was a young girl named Lila who lived in; was a man who had a lot of money,;there;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural up to and including the steered word ""there"". It forms a complete, grammatically correct sentence that makes sense.";"No adaptation was made. Both the baseline and steered generation use the exact same text up to the word ""there"" - they both continue with ""Once upon a time, there was a"". The divergence only occurs after ""there"" where the baseline continues with ""young girl named Lila"" while the steered version continues with ""man who had a lot of money"".";47;4.0;3.0;5.0
Once upon a time, there was a little girl who loved fashion.; She had a collection of clothes that were all different; She was a night owl and would always be in;night;TRUE;TRUE;0;TRUE;7;"The steered generation is coherent and natural up to and including the steered word ""night"". The sentence flows logically from a girl who loves fashion to describing her as a night owl, which makes sense in context.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""She had a collection of clothes"", it changed to ""She was a night owl and would always be in"" - adding ""was a"" and the descriptive phrase ""owl and would always be in"" to naturally accommodate the word ""night"" in the compound term ""night owl"".";62;7.0;2.0;7.0
